,A,Crp,Fur
SRX5694439,0.20061385680000002,0.3143882568,1.337922803
SRX5694440,0.7400552092,0.1617989176,0.29294730900000004
SRX5694441,3.1339040046,-0.4081937196,0.9038915123000001
SRX5694442,1.0356588642,-1.7002395932,0.3475303811
SRX5694443,-0.222721848,0.1538530863,0.1461081123
SRX5694444,-0.5278050194,0.1414549701,-0.5047931029
SRX5694445,2.8460014255,-1.7943494913,-0.0963860097
SRX5694446,0.4762966073,0.2193526747,0.0642681642
SRX5694447,-0.9125515686000001,-0.3849941899,-0.5687338293
SRX5694448,-3.7469483373,-0.732440443,0.3758068667
SRX5694449,-1.1874130753,0.1017285234,-0.0819475583
SRX5694450,-0.8999969719,-0.2163555027,0.051113270100000004
SRX5694451,-0.9913402714,-0.1832599433,-0.5188799213
SRX5694452,2.0065347674,-0.9702752261,1.3284796005000001
SRX5694453,-1.0634474466,-0.7029806271,-0.42831274
SRX5694454,1.2709321539,0.2689052974,0.3853152326
SRX5694455,0.9106903899000001,-1.7485042558,0.2002885996
SRX5694456,-1.0912106019,0.2638014382,-0.050738027500000005
SRX5694457,0.3026009744,0.1813226141,0.2816577342
SRX5694459,0.7065883881,-0.0659537084,0.2553240309
SRX5694460,1.5709648838999999,-2.6935232182,-0.050013209600000004
SRX5694461,-2.6246304644,-0.24608755940000002,-0.4906930928
SRX5694462,1.376711379,-1.4072956342,-0.21113936760000002
SRX5694463,-0.24142436850000001,0.13500124700000002,0.0480338364
SRX5694464,-1.5740527107,-0.16266356510000002,-0.1506201971
SRX5694465,-0.48402206400000003,-0.08100398930000001,0.10842674740000001
SRX5694466,1.6747867559,-0.0203257193,0.36164030700000005
SRX5694467,-0.7438705026,-0.0864598209,-0.028866696900000002
SRX5694468,1.3975194705,0.09512308080000001,1.3411166713
SRX5694469,0.7138972386,0.056592892000000006,0.1894458983
SRX5694470,1.0329225095,-0.0203162279,-0.012323741800000001
SRX5694471,-0.6245694194,0.08127249760000001,-0.0956156261
SRX5694472,-1.2107895735,-0.42764759150000003,0.4640246576
SRX5694474,-0.5706839911,-0.3318785326,-0.4630555241
SRX5694475,-0.9229661379,-0.1072682971,-0.0421126405
SRX5694476,-0.3696711465,0.2832759084,-0.6720264656
SRX5694477,1.3216089613,-2.220698214,-0.6327040586
SRX5694478,-0.7148000754,-0.324421403,-0.068631683
SRX5694479,1.8871515912999999,-2.078741852,0.4188483109
SRX5694480,0.6564231166000001,-0.8986833081000001,0.5758221298
SRX5694481,-0.5219446583,-0.39061972300000003,-0.2833549239
SRX5694482,-0.8389094269,0.5302146851,-0.121409896
SRX5694483,-0.6764284878,-0.0648156579,-0.014439360600000001
SRX5694484,-1.4089771115,-0.2015433442,-0.43850402190000004
SRX5694485,-2.9005140094,0.0561230447,0.24091423920000002
SRX5694486,1.0738248361,0.1840419059,0.0229450333
SRX5694487,-0.46318058,-0.0687134662,-0.3495884295
SRX5694488,-0.5267219954,-0.0029101905,-0.6067594638
SRX5694489,1.8926059519,-0.2414092729,-0.130523151
SRX5694491,0.21998009400000001,-1.3992598427,-0.6168601113000001
SRX5694492,1.4357614399,-1.4757436121,-0.10246706500000001
SRX5694493,2.2520307988,-1.5239909109,1.3498864963
SRX5694494,-2.186243992,-0.5778881676000001,-0.2562040859
SRX5694495,0.8745198278,0.2383405456,0.672179446
SRX5694496,0.9392063413,0.2231626615,0.20705104600000002
SRX5694497,-0.5151607245000001,-0.6145709097000001,-0.6046674664
SRX5694498,-0.7592609385,0.0065499987,0.37935470130000004
SRX5694499,2.2323705557,-0.2166458346,-1.8605704420000002
SRX5694500,-1.0372869639,-0.6082655704000001,-0.0364565174
SRX5694501,0.8352259476,0.012213341,-0.2639155763
SRX5694502,0.46175740340000004,-0.8489028276,-2.7622205534
SRX5694503,-3.7207233118,-1.5276697252,-0.2132231823
SRX5694504,1.4449223111,0.23647347670000002,0.2064630466
SRX5694505,0.8665557396,-2.8546736802,0.0577428534
SRX5694506,-1.4350239165,-0.6676717403,-2.3568652096
SRX5694507,0.9427694633,0.10364661430000001,0.3200277955
SRX5694508,0.9516673123,-0.8174938777,0.6056430424
SRX5694509,-1.7367210367,-0.1972418484,0.0134003031
SRX5694510,0.5408807661,-0.2550231206,0.10668859060000001
SRX5694511,-1.0961486382,-0.1637807405,-0.0494546845
SRX5694512,0.7027872994000001,-1.3135012281,-0.8097365024000001
SRX5694513,-0.013710611000000001,-1.2176583871,0.8101006176000001
SRX5694514,1.2283592042,-2.7449780099,-0.3559069964
SRX5694515,-0.055822536900000004,0.1674650962,0.4551156994
SRX5694516,0.9126879018,0.7184192778,1.2268474971
SRX5694517,-0.9478904425,-0.0899811296,-0.20605385510000002
SRX5694518,-0.49498911240000004,-0.0284053616,-0.0493249346
SRX5694519,-0.5800330964,-0.4440190169,0.2139632804
SRX5694520,-2.504622667,-0.3742459546,-0.9844755649
SRX5694521,-0.48638035290000003,-0.0823108953,-0.1272964559
SRX5694522,-0.4901211572,0.19009073370000001,-0.21628696120000002
SRX5694523,-1.9095657733,0.1230572979,-1.0267400538
SRX5694524,1.8446970166,-0.3090692798,-0.3111905457
SRX5694525,0.7206820472000001,0.1271493457,0.2529200303
SRX5694526,-1.4642131228,-0.057352962300000004,-0.4619682342
SRX5694527,-0.29189047030000004,-0.7911037301,-0.2951551482
SRX5694528,2.7083642344000003,-2.2550692285,0.7855921914
SRX5694529,-2.2748528425,0.09459037740000001,-0.5429902316
SRX5694530,1.3666071285,-0.3417330189,-1.5336123418
SRX5694532,1.2291380147,-0.7655932475,0.2588343682
SRX5694533,-2.0425439817,-0.8230648089,0.6220929629
SRX5694534,1.9594085501,-1.0244460877,1.2394401836
SRX5694535,-0.4992438711,-0.3020521984,-2.2944195337
SRX5694536,-1.9023006019,0.0940214917,-0.546337307
SRX5694537,-1.0842044602,0.0455558508,0.08847196630000001
SRX5694538,-0.6443428491000001,0.22416250880000002,0.1839479357
SRX5694539,-0.5183128492,-0.4554145486,0.0094679772
SRX5694540,1.3644625781,-0.9496879326000001,-0.0293648918
SRX5694541,0.7109366856,-0.14394191280000002,-0.3464823681
SRX5694543,-0.2217976983,0.257330798,1.2105217473
SRX5694544,-1.5948657646000002,-0.3373228733,-0.41186003530000004
SRX5694545,-0.7739625658,0.035948117,-0.4174099093
SRX5694546,-1.3091051686,-0.3182627866,-0.3730734275
SRX5694547,-1.6084240875,-0.1118469182,0.19588775360000002
SRX5694548,-0.2955441897,-0.0372321217,-0.0031541915
SRX5694550,1.1326294388,-0.4922607946,0.41762297540000004
SRX5694551,-0.4347229596,-0.4416388787,-2.2622171398
SRX5694552,0.5785738041,0.0105278607,0.232968534
SRX5694553,1.0925703708,0.2876777482,0.3302543835
SRX5694554,-1.226427131,-0.1645882529,-0.3594998783
SRX5694555,1.6072794389,-0.8421746734000001,0.06828788670000001
SRX6072760,1.8041420887,-0.7797289048,-0.3091293717
SRX6072761,0.7975675913,-0.9412126322000001,-0.2476867748
SRX6072762,0.9896384105,-0.555678611,-0.1375804635
SRX6072763,1.3758237985,-0.38526479500000005,-0.1394691808
SRX6072764,1.8290500449,-1.0984957077,-0.4256180175
SRX6072765,0.6472239625,-0.4458656036,-0.08270790700000001
SRX6376491,1.5015947337000002,-0.23661516940000002,0.9332064710000001
SRX6376492,1.3068326534999999,-1.8181327083,0.5635600347
SRX6376493,0.5737378494,-2.037821897,0.3239852952
SRX6376494,0.4851556569,-2.2059426753,0.5102443348
SRX6376495,1.3281666731000001,-0.4792645071,0.40426799890000004
SRX6376496,0.9019348651,-0.054275376300000004,0.6526482373
SRX2723951,-0.29476021620000004,1.2971935035,0.3778135936
SRX2723952,-0.2218030414,2.020927993,0.14134090870000002
SRX2723953,-0.7915534413,0.5760517667,-0.6251469007
SRX2723954,-0.097568608,2.383091682,0.6218376215
SRX2723955,0.5526518153000001,1.2512872247,0.0857543283
SRX2723956,-0.7091153255,1.4331106707,0.24758132100000002
SRX2723957,-0.11033117220000001,0.1517886605,0.0461481408
SRX2723958,-0.4870135262,-0.2646015759,-1.2705249067
SRX2723959,-0.1277639864,0.256464884,0.1361474618
SRX2723960,-0.6721843103,0.9591927252,0.2687656366
SRX2723961,-0.4314501314,2.5388323397,0.4617807902
SRX2723962,-0.6040023634,0.9744724369000001,0.28188172170000003
SRX2723963,-0.16056175920000001,-0.30103145470000003,0.054636685500000004
SRX2723964,0.6846200876,1.2020478367,0.15496246200000002
SRX2723965,-0.2659110973,0.7380002376,0.3121187138
SRX2723966,0.028183889,0.0829169912,0.0138035004
SRX2723967,-0.024601457400000002,-0.075921268,-0.0782284993
SRX2723968,-0.0035824316000000003,-0.006995723200000001,0.0644249989
SRX6977206,-0.2808783654,-0.2546401567,-0.019950289700000002
SRX6977207,-0.30328381860000003,-0.30518404320000003,-0.1267881105
SRX6977208,-1.4668028211,-0.5181824078,0.1021867115
SRX6977209,-2.1607876015,-0.675081557,0.0980585441
SRX6977210,-1.9439075906,-0.7835359689,0.0754202181
SRX6977211,0.0481710205,0.2440588662,0.2583894056
SRX6977212,0.1039996073,-0.0309117965,-0.0691244917
SRX6977213,-0.1521706279,-0.21314706960000002,-0.1892649139
SRX6977214,-1.0275179475,-0.39514538390000004,-0.20818591
SRX1153733,0.0336794277,0.1831441383,-0.0316871123
SRX1153734,-0.0336794277,-0.1831441383,0.0316871123
SRX1153735,0.0861734801,-0.1003374077,0.0453055736
SRX1153736,0.2798920935,-0.0489066405,0.0911147029
SRX5204053,-3.9268524652,-0.1152614403,0.2520540591
SRX5204054,-2.6197247791000002,0.33069778580000003,0.34208968700000003
SRX5204055,-1.5602643368,0.0395780566,0.2858465444
SRX5204056,-1.5529239176,0.0799160108,0.5780864528
SRX5204057,-1.639451559,0.13476163600000002,0.5017651118
SRX5204058,-1.755903784,0.1271931801,0.5290245021000001
SRX5204059,-0.8952842573,0.3101981754,0.596460589
SRX5204060,-0.9804747542000001,0.16749059400000002,0.4463801021
SRX5204061,-2.0958975995,0.2033144985,0.4820870835
SRX5204062,-0.9578627465,0.0350800225,0.40486032110000003
SRX5204063,-1.2690744761000001,-0.018607714600000002,0.34088286760000003
SRX5204064,-1.5701142157999999,0.0177745832,0.1943758722
SRX5204065,-3.5903307646,0.1296212176,0.6256298539
SRX5204066,-3.3729356216,0.0410003929,0.6327614567000001
SRX5204067,-4.2746206627,0.1329939336,0.6377359451
SRX5204068,-1.5120139458000001,-0.0046637408,0.2619931942
SRX5204069,-2.2063404651,-0.0345939636,0.2474442312
SRX5204070,-2.7428887217,-0.0639964626,0.1590140583
SRX5204071,-2.3314140433,0.2637505564,0.38594499200000004
SRX5204072,-2.3826953509,0.1366857256,0.2343658496
SRX5204073,-3.1711909108,0.12908140170000001,0.39014394490000004
SRX5204074,-3.9962311035,-0.0130459532,0.18811319880000002
SRX5204075,-2.0309969483,-0.051017588700000005,0.2124506794
SRX5204076,-4.2887144574,-0.0771750924,0.2109134925
SRX5204077,-2.8142438912000003,0.0070308263,0.0761853915
SRX5204078,-2.696591148,-0.0562055273,0.0919281359
SRX5204079,-2.3627492693,-0.019864096300000002,0.0834800963
SRX5204080,-4.6914006947,0.1456210242,0.5144330075
SRX5204081,-3.4893722185,0.0296414633,0.3199411115
SRX5204082,-3.3447315726,0.1012229557,0.3218606906
SRX5204083,-1.4981721422,0.0599384649,0.2981018311
SRX5204084,-0.5735043619,0.1659899168,0.1894557258
SRX5204085,-1.6982300269000001,0.13117654180000002,0.24615529830000002
SRX5204086,-1.8937525251,-0.45115989980000004,0.2373091123
SRX5204087,-2.6379285479,-0.042227577700000005,0.3829640727
SRX5204088,-1.8911240118000001,-0.3036384238,0.2842929629
SRX5204089,-1.1905211532,0.0831416516,0.3008923362
SRX5204090,-0.9320850196,0.1639234027,0.1605794644
SRX5204091,-0.5229897734,-0.0031211273,0.09660391060000001
SRX5204092,-0.5615663263,-0.0810982225,0.5089992433
SRX5204093,-0.516890578,-0.1099524013,0.4420170532
SRX5204094,-0.6786601149,0.0403956206,0.4537280715
SRX5204095,-0.6707714069,0.2016413779,0.11793971110000001
SRX5204096,0.8234161990000001,-0.2203103585,-0.17206519210000001
SRX5204097,-0.152644792,0.0186689805,0.054125481
SRX683459,0.6400683868,-0.0666339028,-0.0486247704
SRX683460,-5.4331956572,0.503766096,0.0863759311
SRX683461,-0.41982089250000004,-0.1321270107,0.06502803530000001
SRX683462,-2.8489924898,0.4881845549,-0.3930604082
SRX683463,-0.2202474943,0.1987609135,-0.0164032649
SRX683464,-5.9464018739,0.5070739993,-0.1930249903
SRX683465,0.4043623639,-0.8734644257,-0.21200383960000002
SRX683466,-4.5715198927,0.0105121308,-0.5035215756
SRX683467,-0.2140165282,-0.3758395962,-0.2831256741
SRX683468,-3.3468480903,-0.080117849,-0.40118780330000003
SRX683469,-0.8821554682,-0.5751663553,-0.28666178810000004
SRX683470,-4.0912128652,-0.1688967908,-0.3067578717
SRX322077,-0.6952217945,-0.0693545751,-0.30128122220000003
SRX322078,-0.5927230959,-0.33321683020000004,-0.47141993120000003
SRX322079,0.5104398031,-0.0393089613,-0.3329440299
SRX322080,0.7215366951000001,-0.099687806,-0.0386088765
SRX322081,0.3012568172,0.25691065290000004,-0.037388450600000005
SRX322082,0.38988241020000003,0.162327729,0.0415518493
SRX322083,-0.15338383900000002,0.2204930321,0.4150982022
SRX322084,-0.3108100582,-0.4360373755,-0.29530520400000004
SRX322085,0.46419389720000004,0.2155443434,-0.1197929981
SRX2708592,3.1140742796,-1.2995977401,-0.3056682926
SRX2708593,2.1862943303,-1.3858488461,-0.8601750464
SRX2708594,1.6291790192,-1.1551255076,-0.1221941395
SRX2708595,0.5263072831,-0.0264047357,-0.1301458119
SRX2708596,-0.0732664012,0.1464903964,0.056128073800000004
SRX2708597,-0.4530408818,-0.1200856607,0.07401773810000001
SRX2708598,0.1710396955,-0.2522707463,-0.8608175296
SRX2708600,0.269747764,-0.2711134562,-0.3904483173
SRX2708601,1.5707979678,-0.0595239595,0.23874563000000001
SRX2708602,1.5088982126000001,0.5050291552,-0.7989603254000001
SRX2708603,1.1222611252,0.0660056332,0.1526927294
SRX3073814,0.4752843833,-0.13018558560000001,-0.1408672877
SRX3073815,-0.43158295090000004,-1.1339696385,-1.1689133452
SRX3073816,0.1378590079,-2.4550083112,-2.9631861775
SRX3073817,-0.0734882656,-4.1870252178,-3.5297433569
SRX3073818,0.896990613,-3.2111292318,-2.5668577838
SRX3073819,0.37797639720000004,0.3613869819,0.0678783641
SRX3073820,-0.40584610590000003,-0.6674396287000001,-1.8762897558
SRX3073821,-0.5841321699,-2.2221447579,-3.7489709361
SRX3073822,0.7245812181,-3.4198734015,-3.3741618451
SRX3073823,1.0726782093,-3.2339359789,-2.7276941132
SRX3073824,-0.4752843833,0.13018558560000001,0.1408672877
SRX3073825,-1.2380121915,-1.2511893155,-1.3181453672
SRX3073826,-0.7152916595000001,-2.3292575708,-3.2146543061
SRX3073827,-0.5579952845,-4.1135135934000004,-3.4136311076
SRX3073828,-1.4492280234,-3.434645459,-2.6486914409
SRX3073829,0.1420973238,0.1876233269,0.0521193676
SRX3073830,-0.68196765,-1.1638283926,-2.2745786592
SRX3073831,0.7814706547,-2.0312934097,-3.4177434893
SRX3073832,-0.154752782,-3.5341055024,-3.2793318816
SRX3073833,-1.6797213167,-3.0369515843,-2.2444235523
SRX2391456,0.2879586416,0.1036371583,0.1468104123
SRX2391457,-0.2522900434,-0.2296760947,0.030636091100000002
