,A,NagC,TyrR
42c__wt_42c__1,1.0500138531,7.5179352674,7.5267801848
42c__42c_ale1__1,20.3834675448,9.538331454,7.6688869606
42c__42c_ale2__1,12.7921640291,7.0675398245,6.9386070685
42c__42c_ale3__1,0.3418128436,7.483653221,7.255393482
42c__42c_ale4__1,1.0425114039,8.0298295423,7.5445742267
42c__42c_ale5__1,0.3124414064,7.4438808042,6.9552146840999995
42c__42c_ale6__1,15.29797088,9.9398068798,7.9078331397
42c__42c_ale8__1,13.2975469179,9.4027728179,7.8030218224
42c__42c_ale9__1,-0.9542575672,7.6087693209000005,7.1298038381
42c__42c_ale10__1,1.4144418366,8.2730518856,7.8484739863
ssw__wt_ac__1,1.7446524884999999,7.1430532117,7.2391763194
ssw__wt_glc__1,2.0843560045,7.1949700379,7.0868665988
ssw__wt_glyc__1,5.8001144999,7.3265179863,7.7515287651
ssw__wt_xyl__1,3.1831220872,7.6885036142,7.6477794255
ssw__glc_ale1__1,2.3324852868,7.6753177982,8.1132961827
ssw__glc_ale2__1,2.405526693,7.2063807626,7.9557683707999995
ssw__glc_ale3__1,2.3087385711,7.6788399839,8.1045019339
ssw__glyc_ale1__1,3.5451032447,7.2488748801,7.6596698335
ssw__glyc_ale2__1,6.4484248291,6.4031327164,7.3447738703
ssw__xyl_ale1__1,2.5437131712000003,7.4671407549,6.8066663056
ssw__xyl_ale2__1,3.3293661958,7.206055437,7.070827336
ssw__xyl_ale3__1,1.3572078711,7.1292637129,6.9362752786
ssw__glc_ac_ac2__1,5.5020968034,6.6079471571,6.6188258523
ssw__glc_ac_glc1__1,1.4831338449,8.0043387275,7.0348970369
ssw__glc_ac_glc2__1,3.9243618444,7.1295197942,7.4710077235
ssw__glc_glyc_glc__1,4.1292423298,7.0993331904,7.386398605
ssw__glc_glyc_glyc__1,5.6848821391,6.9942750993,6.9604604735
ssw__glc_xyl_glc__1,4.2655605599,6.7265269541,6.7462771342
ssw__glc_xyl_xyl__1,7.4705341307,6.5037180933,6.7095885683
pgi__glu4_delpgi__1,1.5842886527,7.6989509175,7.8542044695
pgi__pgi_ale1__1,0.9970155679,7.4394513163,7.3030952357
pgi__pgi_ale2__1,2.214839511,7.8654224937,7.8631218796
pgi__pgi_ale3__1,1.417621773,7.5088626307,7.1384483161
pgi__pgi_ale5__1,2.2164375834,7.1733837814,7.5493373393
pgi__pgi_ale6__1,2.6704395367,7.2292425432,7.3147864587
pgi__pgi_ale7__1,3.064993442,7.0852003169,7.3813635997
pgi__pgi_ale8__1,1.7780484907,7.2195281425,7.3708308024
ica__wt_glc__1,1.7523807988,6.7307691735,6.9961250168
ica__wt_glc__2,1.5623841251,6.8273298043,7.0624127017
ica__wt_glc__3,0.3749378157,7.0857355344,7.2734127376
ica__wt_glc__4,-0.6322767351,6.8906099467,7.3275025277
ica__arg_sbt__1,4.1352114752,7.0020179471,7.2572908184
ica__arg_sbt__2,3.5372194189,7.074519581,7.2247640144
ica__cytd_rib__1,5.413124497,7.0112354696,7.4802933378
ica__cytd_rib__2,5.7122506871,6.9089968945999995,7.577963142
ica__gth__1,0.8327240115000001,7.620173705,7.907621816
ica__gth__2,0.78128836,7.3438225527,7.9095154355
ica__leu_glcr__1,1.6381620370999999,7.389136963,7.246468941
ica__leu_glcr__2,1.8944301868000002,7.4257606322,7.1749534893
ica__met_glc__1,2.4966967703,6.7377271008,7.213640758
ica__met_glc__2,2.6233329689,6.8202965391,7.1113018594
ica__no3_anaero__1,-0.056599742300000006,7.4746321388,7.8180968277
ica__no3_anaero__2,-0.0077501657000000005,7.4791201951,7.7967669273
ica__phe_acgam__1,18.875008929,8.463058257,7.1345329574
ica__phe_acgam__2,18.7629838037,8.5164377023,7.0674960162
ica__thm_gal__1,3.1916561022,7.2122746784,7.1839304088
ica__thm_gal__2,3.5878169885,7.1514726708,7.2839918888
ica__tyr_glcn__1,2.358669433,6.8567120004,6.7898815618
ica__tyr_glcn__2,2.313019257,6.9108402163000004,6.9365412975
ica__ura_pyr__1,1.3517662430000001,7.1075910012,7.1421394697
ica__ura_pyr__2,1.747469817,7.1484000118,7.2104527822
ica__wt_glc__5,1.3408783858,7.0621707607,7.2885757315
ica__wt_glc__6,1.1039103757,7.2354060932,7.303178524
ica__bw_delpurR_cytd__1,1.3647880565000001,6.8822617268,7.0296815408
ica__bw_delpurR_cytd__2,1.1393183485,6.7438373605,7.0382563537
ica__ade_glc__1,-0.5408107447,7.238962662,7.1636360497
ica__ade_glc__2,-0.2260175375,7.176105109,7.2373344091
ytf__wt_glc__1,2.4992530896,6.9583454997,7.4128942623
ytf__wt_glc__2,1.9479708528000002,7.1413802819,7.697422288
ytf__delyafC__1,3.2291159472,7.3213747173,7.9280597351
ytf__delyafC__2,3.5368504598,7.3389441498,7.9784846318
ytf__delyeiE__1,1.7406353016,7.6118387661,7.7564173119
ytf__delyeiE__2,1.2816634275,7.3623861892,7.4931254051
ytf__delyiaJ__1,3.0231896241,7.3516031491,7.9587301996
ytf__delyiaJ__2,1.9114924145,7.372814557,7.9738682389
ytf__delyieP__1,2.8861228221,7.6525351872,8.1125465768
ytf__delyieP__2,1.7260455888,7.5746629267,7.9447367323
ytf__wt_ph5__1,0.16198073870000002,7.1287734303,7.4820588651
ytf__wt_ph5__2,0.6995086717,7.2599312061,7.4736782506
ytf__wt_ph8__1,1.5651437874,6.9878518828,7.4061420639
ytf__wt_ph8__2,1.4045500683,7.1626367531,7.3323973101
ytf__delybaO__1,3.9933509639,7.348313066,7.8400965404
ytf__delybaO__2,3.6786834861,7.4394777214,7.8951096959000004
ytf__delybaQ__1,1.0817347874,7.218595919,7.4825406088
ytf__delybaQ__2,0.9735691971,7.2334291538,7.4914364085
ytf__delybiH__1,2.5652347297,7.4196639429,7.9522603264
ytf__delybiH__2,3.5622519553,7.7282288117,8.0489828968
ytf__delydcI_ph5__1,0.7798274831,7.1914742578,7.3633472954
ytf__delydcI_ph5__2,0.8249587820000001,7.0845108471,7.3789838112
ytf__delydcI_ph8__1,2.1356106116999998,7.136405531,7.4045879017
ytf__delydcI_ph8__2,1.5181866046999999,7.0715996793,7.3292859517
ytf__delyddM__1,0.8009256555,7.4172687596,7.8271096909
ytf__delyddM__2,0.5251945489000001,7.3054086898,7.6981975324
ytf__delyheO__1,3.3336939083,7.3012444703,7.8981039958
ytf__delyheO__2,4.1724975968,7.2922547521,8.0380255842
fps__bw_glc__1,0.8394380840000001,7.1503164578,7.3511110682
fps__bw_glc__2,0.8903538991000001,7.01298155,7.2290534445
fps__fps_thrA_ale1__1,0.6697456011,7.3534645718,7.4636346275
fps__fps_thrA_ale1__2,0.7879563963,7.2511347206,7.4349057082
fps__fps_thrA_ale2__1,0.9640316569,7.3910705375,7.388667756
fps__fps_thrA_ale2__2,1.1985653581,7.4271487147,7.4279326991
fps__fps_serB_ale1__1,-0.4953938543,7.2583014855,7.5224078201
fps__fps_serB_ale1__2,-0.613733561,7.273388778,7.5392928606
fps__fps_serB_ale4__1,-0.7898473943000001,7.5581230243,7.7085002916
fps__fps_serB_ale4__2,-0.7030897314,7.6340990054999995,7.5896195479
fps__fps_ptsI_ale1__1,4.3925008077,6.7006141047,7.2564440881
fps__fps_ptsI_ale1__2,4.3428765978,7.0092090853,7.2600175505
fps__fps_ptsI_ale3__1,4.2196507902,6.9294715132,7.0965491492
fps__fps_ptsI_ale3__2,4.1062843204,6.8341676774,7.1586360987
pal__lyx_ale2_f6__1,4.1586975833,7.2149855148,7.1967525987
pal__lyx_ale2__1,5.0206038012,6.8076456459,6.6171583175
pal__lyx_ale2__2,5.0251551951,6.5595322007,6.4443454105
pal__lyx_ale4__1,5.0206038012,6.8076456459,6.6171583175
pal__lyx_ale4__2,5.0251551951,6.5595322007,6.4443454105
pal__5drib_ale10_f18__1,3.3540539349,6.721520622,6.8410586229
pal__5drib_ale10_f18__2,3.5905907669,6.7899275843,6.6418744801
pal__5drib_ale10__1,3.8516284046,7.2873016264,7.1102839051
pal__arab_ale14_f9__1,2.1864295945,7.0863047629,7.1336095168
pal__arab_ale14_f9__2,2.0291679183,6.8963285393,7.1310414796
pal__arab_ale14__1,2.0460988213,6.9856447387,7.0003118146
pal__arab_ale14__2,2.2943438403,7.0010545112,6.8890022108
pal__arab_ale16__1,3.6656885503,7.3100285691,6.9581423611
pal__arab_ale16__2,3.4515999636,7.1504118413,7.1525274619
pal__tartr_ale26_f10__1,3.3620330847,7.1944408544,6.7354491019000005
pal__tartr_ale26_f10__2,3.2970120873,7.1952689717,6.9407623329
pal__tartr_ale26__1,2.7762232698,7.12494728,6.7911660496
pal__tartr_ale26__2,1.7244330223,7.1624981959,6.8415018861
pal__tartr_ale28_f10__1,3.2796953923,7.146114424,7.3708514136
pal__tartr_ale28_f10__2,2.3355641909,7.1965031682,7.3501497337
pal__tartr_ale28__1,3.4687718346,7.0038846024,6.9453936260999996
pal__tartr_ale28__2,2.7288472819000003,7.1302569166,6.7860680896000005
efeU__delmenFentC_citr__1,1.0858899566,7.0152480288,7.3111852348
efeU__delmenFentC_citr__2,2.2968240283,6.9364908667,7.4444737779
efeU__delmenFentC__1,0.4073588851,7.5057286347000005,7.7906400136
efeU__delmenFentC__2,0.8397595352,7.6116507201,7.828735311
efeU__menFentC_ale39__1,4.0062259404,7.28774545,8.2771203244
efeU__menFentC_ale39__2,4.1956994439,7.231877247,8.1989065258
efeU__menFentC_ale29__1,3.986528675,7.6406614211,7.8980046314
efeU__menFentC_ale29__2,3.5568281546,7.5629701714,7.9844266504
efeU__menFentC_ale30__1,2.5192475474,6.7666206416,7.2872537272
efeU__menFentC_ale30__2,2.1482434648,6.8708095081,7.2079194736
efeU__menFentCubiC_ale36__1,0.7162669448,7.3381635707,7.5245547536
efeU__menFentCubiC_ale36__2,1.0274635652,7.4060438916999995,7.4778701502
efeU__menFentCubiC_ale37__1,0.6791543176,7.5012200691,7.5521188364
efeU__menFentCubiC_ale37__2,0.9452922492,7.4859916208,7.522704517
efeU__menFentCubiC_ale38__1,1.640506985,7.1846991199,7.2162668098000005
efeU__menFentCubiC_ale38__2,2.2918790924,6.9757117286,7.165574733
