,A,RbsR
minspan__wt_glc_anaero__2,-1.6966064222,4.1697829887
minspan__wt_trp__1,2.8185189776,4.9485856016
minspan__bw_delcra_glc__1,1.2632753297,4.5274217334
minspan__bw_delcra_glc__2,1.4291773819,4.4297436978
minspan__bw_delcra_trp__1,1.4386099543,4.6966332634
minspan__bw_delmntr__1,2.5417847836,5.1036727318
minspan__bw_delnac_ade__1,1.4441654962000001,4.9817707202
minspan__bw_delnac_glc__1,-0.4501942378,4.3525732589
cra_crp__wt_ac__1,5.8116820152,4.8662953638
cra_crp__wt_ac__2,6.8408817083999995,4.8239758641
cra_crp__wt_fru__1,3.7545988106,4.6637241012
cra_crp__wt_fru__2,2.4360618894,4.9536113488
cra_crp__delcra_ac__1,2.1682264925,5.0813270165
cra_crp__delcra_ac__2,1.9284247241,5.2379561661
cra_crp__delcra_fru__1,-1.9616966762999999,4.1439079293
cra_crp__delcra_fru__2,-1.7540331906,3.8696364148
cra_crp__delcra_glc__1,-0.1101298736,4.0518610826
cra_crp__delcra_glc__2,-0.3012744631,3.9578886338
rpoB__wt_031__1,6.0590255142,5.4097726833
rpoB__wt_044__1,2.4969179284000003,4.6882828729
rpoB__wt_lb__1,8.0032450244,5.4460742243
rpoB__wt_lb__2,7.6198072589,5.3175797376
rpoB__rpoBE546V_031__1,5.154590596,4.7957350019
rpoB__rpoBE546V_044__1,4.1665811077,4.3971757172
rpoB__rpoBE546V_lb__1,8.3446912335,5.1405053443
rpoB__rpoBE546V_lb__2,7.7075295716,5.3790866313
rpoB__rpoBE546V_glc__1,0.8917767849,4.6617057381
rpoB__rpoBE672K_glc__1,4.6518156929,3.7886340396
rpoB__rpoBE672K_glc__2,4.212002725,4.005116717
rpoB__rpoBE672K_lb__1,9.9849507577,4.7428360461
rpoB__rpoBE672K_lb__2,9.1117265061,4.6607498195
crp__wt_fru__1,2.2758623821,5.5983760999
crp__wt_glyc__1,3.5674779515,5.2762065332
crp__wt_glyc__2,3.6173926903,5.46768532
crp__delar1_glyc__1,0.2563090732,4.2571184654
crp__delar1_glyc__2,1.0586125286,4.5778962125
crp__delar1ar2_glyc__1,0.39079403760000003,4.5093230723
crp__delar1ar2_glyc__2,0.1962140682,3.8921843151
crp__delar1ar2_glyc__3,0.6141644359,4.1541879311
crp__delar2_glyc__1,4.5012947806,5.6308218467
crp__delar2_glyc__2,4.9907749169,5.4815293896
crp__delar2_glyc__3,4.1604664083,5.4466835886
crp__delcrp_fru__1,-3.3364067196000002,3.7190268706
crp__delcrp_fru__2,-3.676447681,3.8538658927
crp__delcrp_fru__3,-2.7334174926,4.1180873561
crp__delcrp_glc__1,-2.5651015192999997,3.9503495088
crp__delcrp_glc__2,-2.8239883461,3.6859832739
crp__delcrp_glc__3,-2.9145335018000003,4.1437346515
crp__delcrp_glyc__1,-2.4577661953,4.023571611
crp__delcrp_glyc__2,-2.1064237689,3.7627932712
crp__delcrp_glyc__3,-3.0860606227,3.2184360571
glu__glu_ale3__1,-3.7807967801,3.3846745948
glu__glu_ale4__1,2.0121818495,4.3803982262
glu__glu_ale5__1,-0.166704024,4.4949406307
glu__glu_ale6__1,5.7348916065,4.294471647
glu__glu_ale8__1,-0.0396628508,4.0651089501
glu__glu_ale9__1,0.8909439611000001,4.4166741168
glu__glu_ale10__1,-2.3225864355,3.4912292116
42c__wt_42c__1,3.0215712254,4.4675234876
42c__42c_ale1__1,4.0254219922,5.0304637736
42c__42c_ale2__1,5.5914903259,4.9450267187
42c__42c_ale3__1,2.3585017753,4.874572941
42c__42c_ale4__1,-0.14295841880000001,5.6888983427
42c__42c_ale5__1,1.7753518258,5.0424968039
42c__42c_ale6__1,3.8710988633000003,5.7950018751
42c__42c_ale8__1,1.6435279073,5.7162441094
42c__42c_ale9__1,2.8781713192,4.8106896525
42c__42c_ale10__1,1.3086816439,5.7996134657
ssw__wt_ac__1,3.5222146364,4.5368271136
ssw__wt_glc__1,1.7610139621,4.3223344582
ssw__wt_glyc__1,6.9359398678,6.6444941243999995
ssw__wt_xyl__1,-1.3380326358,4.6690511209
ssw__glc_ale1__1,0.8364348848000001,4.8938993588
ssw__glc_ale2__1,0.23789414220000002,3.6541387429
ssw__glc_ale3__1,0.5856102748,4.704213311
ssw__glyc_ale1__1,2.9853534596999998,5.0543884974
ssw__glyc_ale2__1,4.8063494345,4.7316081802
ssw__xyl_ale1__1,1.8842908354999999,4.3638330771
ssw__xyl_ale2__1,1.9966922777,5.257902381
ssw__xyl_ale3__1,-0.2669431565,4.8507599014
ssw__glc_ac_ac2__1,5.4375673508,5.2809018691
ssw__glc_ac_glc1__1,0.3826572587,4.8289358166
ssw__glc_ac_glc2__1,5.7870020757,5.152985629
ssw__glc_glyc_glc__1,0.8318293614000001,4.120877536
ssw__glc_glyc_glyc__1,1.8170268766,4.1866848192
ssw__glc_xyl_glc__1,-0.26880108010000003,4.0889186401
ssw__glc_xyl_xyl__1,1.1065424593,4.7033604693
pgi__glu4_delpgi__1,1.6923626702,4.2187044322
pgi__pgi_ale1__1,-0.9816221824,4.4064130898
pgi__pgi_ale2__1,-1.8729121849,4.1627892139
pgi__pgi_ale3__1,0.21098764020000002,4.3535922163
pgi__pgi_ale5__1,0.5780004032,3.9333410976
pgi__pgi_ale6__1,1.6994983469,4.5198913995000005
pgi__pgi_ale7__1,1.3961300793,4.5632319196
pgi__pgi_ale8__1,4.7167555228,4.2582226589
ica__wt_glc__1,2.9984087504,4.2411542359
ica__wt_glc__2,3.1865205791,4.2582585404
ica__wt_glc__3,2.417784292,4.3229921204
ica__wt_glc__4,1.9324188706,4.1455726029
ica__arg_sbt__1,4.7268101918,5.3714291627
ica__arg_sbt__2,4.5189699172,5.4285298873
ica__cytd_rib__1,17.3523921968,6.9844666182
ica__cytd_rib__2,16.882889125,6.9799056774
ica__gth__1,-6.3745442999,3.8639949988
ica__gth__2,-5.4372383456,3.9735930435
ica__leu_glcr__1,1.3143040458,4.8754943113
ica__leu_glcr__2,1.6503294428,4.9571369731
ica__met_glc__1,4.1840600034,4.7160578209
ica__met_glc__2,3.6691610699,4.3633692105
ica__no3_anaero__1,-3.345893532,4.1874599374
ica__no3_anaero__2,-3.1333393148,4.0454789277
ica__phe_acgam__1,2.483274721,4.4135338026
ica__phe_acgam__2,2.7626305493,4.4468247903
ica__thm_gal__1,3.2374314078,4.985456407
ica__thm_gal__2,3.6730725719,4.9387128659
ica__tyr_glcn__1,3.563199376,4.7004009903
ica__tyr_glcn__2,3.7399233537,4.536355978
ica__ura_pyr__1,2.6129215303,4.4497701816
ica__ura_pyr__2,3.1860283358,5.0699987657
ica__wt_glc__5,2.2156158994,4.6659122106
ica__wt_glc__6,1.5662900347000002,4.0859321148
ica__bw_delpurR_cytd__1,1.5997168169,4.0938562363
ica__bw_delpurR_cytd__2,2.341488417,4.0995737491
ica__ade_glc__1,2.3062420332,4.8583091861
ica__ade_glc__2,2.1466043028,4.5835845376
ytf__wt_glc__1,-0.24589836880000002,4.5925090251
ytf__wt_glc__2,-0.7316482898000001,4.3633986043
ytf__delyafC__1,0.24181439870000002,4.5860045803
ytf__delyafC__2,-0.2872570305,4.2723780009
ytf__delyeiE__1,0.16007307610000002,4.721095255
ytf__delyeiE__2,0.2783876658,4.4056048031
ytf__delyiaJ__1,-0.9739263071,4.3442696834
ytf__delyiaJ__2,-1.0712610458,4.7641255419
ytf__delyieP__1,-0.1603134501,4.7449154245
ytf__delyieP__2,-0.6264966307000001,4.3264041118
ytf__wt_ph5__1,0.6870163519,4.0362189796
ytf__wt_ph5__2,0.8190481675,4.9246799828
ytf__wt_ph8__1,-0.0653447066,3.7578854743
ytf__wt_ph8__2,0.1599313687,4.6059499695
ytf__delybaO__1,1.2128578546,4.8750658638
ytf__delybaO__2,0.6597664108,4.9225724172
ytf__delybaQ__1,0.5614691825,4.0812464402
ytf__delybaQ__2,0.21142055010000002,4.2609855228
ytf__delybiH__1,-0.5391712783,4.2730922958
ytf__delybiH__2,-0.5723375726000001,4.6765972737
ytf__delydcI_ph5__1,1.2055913151,4.4496651073
ytf__delydcI_ph5__2,0.6848575207,4.4803130255
ytf__delydcI_ph8__1,-0.1146764937,3.9044034907
ytf__delydcI_ph8__2,0.25572052230000003,4.4680839125
ytf__delyddM__1,-1.842152708,4.3661961968
ytf__delyddM__2,-1.2292989052,4.4291014552
ytf__delyheO__1,1.5209584833,4.736383816
ytf__delyheO__2,1.8727151419,4.9406510002
fps__bw_glc__1,1.5733385854000002,4.9811658843
fps__bw_glc__2,0.9607743679,4.4508753544
fps__fps_thrA_ale1__1,-1.1971927564,4.8951658066
fps__fps_thrA_ale1__2,-0.8578213107,4.4995113707
fps__fps_thrA_ale2__1,-1.4862310545000001,4.3335211062
fps__fps_thrA_ale2__2,-1.3905401829000001,4.5550123227
fps__fps_serB_ale1__1,-1.6491903451,4.7914958346
fps__fps_serB_ale1__2,-1.226725259,4.2729359716
fps__fps_serB_ale4__1,-3.2801142526,4.6953566605
fps__fps_serB_ale4__2,-3.9465857145000003,4.5130963792
fps__fps_ptsI_ale1__1,3.0657195009000002,5.1256631082
fps__fps_ptsI_ale1__2,3.1754170219,4.8236786901
fps__fps_ptsI_ale3__1,3.0632705578,4.9310856985000004
fps__fps_ptsI_ale3__2,3.0079599634,5.1072549434
pal__lyx_ale2_f6__1,8.9772673316,5.5008968034
pal__lyx_ale2__1,4.4476328645,4.5067694741
pal__lyx_ale2__2,5.0335686843,4.9491140284
pal__lyx_ale4__1,4.4476328645,4.5067694741
pal__lyx_ale4__2,5.0335686843,4.9491140284
pal__5drib_ale10_f18__1,28.3089860694,8.7384453466
pal__5drib_ale10_f18__2,28.4316055569,8.8425567296
pal__5drib_ale10__1,18.5065776221,9.1222766988
pal__arab_ale14_f9__1,2.6993727113,4.8229339714
pal__arab_ale14_f9__2,1.5865264775,4.4341350334000005
pal__arab_ale14__1,6.4384256647,4.946255131
pal__arab_ale14__2,7.1913072963,5.1255890981
pal__arab_ale16__1,0.33207746390000004,5.8329553537
pal__arab_ale16__2,0.3489746052,5.6062683439
pal__tartr_ale26_f10__1,6.0439404934,5.1929712831
pal__tartr_ale26_f10__2,6.1397001027,4.9001904867
pal__tartr_ale26__1,5.9335084188,5.2818681282
pal__tartr_ale26__2,6.1891108356,4.8981911773
pal__tartr_ale28_f10__1,6.6711845655,4.6074602926
pal__tartr_ale28_f10__2,6.0001428823,4.5476070242
pal__tartr_ale28__1,3.7580259119,4.464985591
pal__tartr_ale28__2,2.095654305,5.0893026489
efeU__delmenFentC_citr__1,1.2545935512,4.5766360867
efeU__delmenFentC_citr__2,0.6000768576000001,4.5158376783000005
efeU__delmenFentC__1,-1.6221624764,4.0080721236
efeU__delmenFentC__2,-1.4318134194,4.3368034497
efeU__menFentC_ale39__1,2.694097187,4.3594824547
efeU__menFentC_ale39__2,3.6456333267,4.5873020984
efeU__menFentC_ale29__1,2.1136508852,4.1693426719
efeU__menFentC_ale29__2,2.1002309323,4.2472599754
efeU__menFentC_ale30__1,2.3562219364,4.6456512284
efeU__menFentC_ale30__2,2.885853269,4.3233892686
efeU__menFentCubiC_ale36__1,-0.0759339799,4.2301168349000005
efeU__menFentCubiC_ale36__2,0.3029960523,4.4703320933
efeU__menFentCubiC_ale37__1,-2.0054236833,4.4429782387
efeU__menFentCubiC_ale37__2,-1.2952210259,4.217225777
efeU__menFentCubiC_ale38__1,-2.102694103,4.5759755313
efeU__menFentCubiC_ale38__2,-2.0683302656,4.3705176594
