,A,CcpA
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:4.0,0.2481420068,-0.0074878196
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:1.0,-0.0481022845,0.1372728148
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:2.0,1.2587319166,0.035238501900000004
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:3.0,0.5293920377,0.15375065770000002
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:4.0,1.402190265,0.1654719487
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:1.0,0.6727326683,-0.1148828987
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:2.0,-0.628991764,-0.131243836
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:3.0,-0.1078717321,-0.0132266394
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:4.0,0.6681800054,0.0145377868
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:1.0,0.2972896736,0.2550816269
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:2.0,0.4025251467,0.2394274663
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:3.0,0.5504628528000001,-0.0682860286
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:4.0,0.5502708661,0.0246158109
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:1.0,0.5609422372,0.059819230800000005
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:2.0,1.0276445029,0.1416722897
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:3.0,0.9490089729000001,0.16476836020000002
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:1.0,5.3775176093,1.1420998735
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:2.0,5.1502017274,1.1894051263
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:3.0,6.1193913152,1.2431356953
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:1.0,-1.8000343887999999,-0.1852279617
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:1.0,4.0618277432,0.21632817710000002
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:2.0,-1.2328323691,0.2448431391
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:2.0,3.234264687,0.31855820090000003
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:3.0,-1.7290886749,-0.19661285790000002
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:3.0,3.5746758873999998,0.0417758217
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:4.0,-1.3369843569,-0.4114742388
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:4.0,0.8845535369,0.4536113335
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:5.0,-0.3944225032,0.043828151
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:5.0,1.3117317635,0.3241518785
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:6.0,-0.8061888528000001,0.0013862071
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:6.0,0.3165875533,0.1387152634
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:1.0,-0.1174193808,0.0682546362
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:2.0,0.210301805,-0.1684760952
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:3.0,-0.09288242420000001,0.10022145900000001
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:1.0,-2.2378971803,-0.2553564199
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:2.0,-2.0652325092,-0.3096911211
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:3.0,-1.3309574661,-0.23521648820000002
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:1.0,0.1759530936,-0.4663711862
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:2.0,0.1647732715,-0.7469496539
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:3.0,0.046331167300000003,-0.4761240473
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:1.0,-1.2909084492,-0.6097591229
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:2.0,-1.4216471986,-0.6473846431
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:3.0,-1.336498235,-0.7103435252
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:1.0,10.1877340482,-0.1775808555
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:2.0,11.1305985824,-0.23294320270000002
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:3.0,10.7710269647,-0.18928924830000002
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:1.0,5.3610931716,0.1206859958
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:2.0,3.7297917958999998,-0.0197910029
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:3.0,4.3717409575,-0.0164295779
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:1.0,3.6016174557,-0.297172998
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:2.0,3.7388746730999998,-0.3873160862
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:3.0,3.613461633,-0.3803638367
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:1.0,6.5863023388,-0.2231052396
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:2.0,6.3536075702,-0.3844492338
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:3.0,6.4508597519,-0.6384012189
