,A,LysM
GDGT:80_2.4_stat:2,6.957236594302515,-0.2117311721529127
GDGT:80_2.4_stat:3,6.7869958435918125,-0.6000194117545519
GDGT:75_2.4_stat:3,6.277793396655822,-0.06491987070179127
GDGT:75_1.6_stat:2,1.0464932066021224,-0.15285708544285725
GDGT:80_1.6_stat:3,1.1360989482735668,-0.8672801324188315
GDGT:65_3.5_stat:3,11.974625563785677,0.32892392162143835
GDGT:75_1.6_log:1,1.8046638216647448,0.22951645621303385
GDGT:75_1.6_log:2,-0.7112932494226633,-0.0757003029602572
GDGT:80_2.4_log:2,0.42703628772948,0.3899251540674325
GDGT:75_1.6_stat:3,0.41180531671802784,-0.17519846544621842
GDGT:80_1.6_log:2,0.10369565904771197,-0.25740750294031045
GDGT:65_2.4_stat:1,0.13083725428625453,0.4516383029558266
GDGT:80_2.4_log:3,-1.6430675159209145,-0.024822801913696683
GDGT:80_3.5_stat:3,7.176933429241493,-0.18843224861921115
GDGT:65_2.4_log:1,3.0460995254528456,0.5179630937521775
GDGT:65_2.4_log:2,4.2147426391809955,0.12504489569781896
GDGT:80_3.5_log:1,-0.18066830120066465,-0.2794279562654145
GDGT:65_2.4_stat:2,3.0327072838125417,0.5640308204005322
GDGT:65_2.4_log:3,2.2975988025791287,0.30075660672449445
GDGT:65_1.6_log:1,2.4983906663299904,0.3905764997655403
GDGT:65_2.4_stat:3,-0.9774593606475606,0.4027794851403872
GDGT:75_2.4_log:3,0.7904302787836761,0.400369735333074
GDGT:80_3.5_log:2,-1.9140976097280369,0.0243997283597146
GDGT:80_3.5_log:3,-1.0744704195331547,0.01430294390448239
GDGT:65_1.6_log:2,3.62684355401794,0.1965181654343926
GDGT:65_1.6_log:3,2.895276480104217,0.33756332120730903
NutLim:t0:1,0.4320425906515863,0.02476016507394796
NutLim:t0:2,-0.4320425906515827,-0.02476016507394796
NutLim:t05:1,4.9694468323590595,-0.9722658983660644
NutLim:t05:2,0.019454967082556982,-0.8592194703021168
NutLim:t05:3,4.517252188926075,-1.030358984170869
NutLim:t1:1,4.439877645338425,-1.1546057041523747
NutLim:t1:2,0.08477156541644064,-0.6131354939734912
NutLim:t1:3,8.370236929913169,-1.4334734298644651
NutLim:t15:1,4.7458353981665935,-1.4711155524777169
NutLim:t15:2,9.829014173564747,-1.4427796360165006
NutLim:t15:3,6.342044152354157,-1.6967176603667005
NutLim:t2:1,3.4241664496546043,-1.525092642350821
NutLim:t2:2,8.097786419191662,-1.0768175555850659
NutLim:t2:3,3.126227321358067,-1.888323687238481
NutLim:t4:1,-0.4642983842883981,-2.154261174940713
NutLim:t4:2,-1.126930240401533,-2.282085873136377
UV_irr:wt0:1,0.11076957622647728,-0.005878494209916596
UV_irr:wt0:2,0.32907712999952776,0.07275194673902696
UV_irr:wt0:3,-0.4398467062260071,-0.06687345252911392
UV_irr:wt1:1,1.391673661263587,-0.5619491996211003
UV_irr:wt1:2,1.4165163992146668,-0.5922062079007713
UV_irr:wt1:3,1.8090733640266063,-0.8168795074800652
UV_irr:wt2:1,0.5052366093523721,-0.6748034296914582
UV_irr:wt2:2,1.9839518248711963,-0.6771523031391755
UV_irr:wt2:3,0.3703562465974243,-0.6830735615039725
UV_irr:mut0:1,0.1120046178076886,0.20721056134734891
UV_irr:mut0:2,0.334591893087672,0.2003896866771715
UV_irr:mut0:3,-0.2995716284841404,0.05097463978299288
UV_irr:mut1:1,-1.10384617966514,-0.4383656554568116
UV_irr:mut1:2,-1.0452216561157073,-0.7903837383872983
UV_irr:mut1:3,-1.3303194808422842,-0.7944364128715371
UV_irr:mut2:1,0.986724799327848,-0.4949992642887686
UV_irr:mut2:2,2.4472363592613835,-0.466877131967383
UV_irr:mut2:3,-0.26845890626940505,-0.7691651164713225
YtrA:overexpr:1,0.3176738813126129,0.2088756975095709
YtrA:overexpr:2,0.3404722750634491,0.08998682314141426
YtrA:overexpr:3,-0.3093279111057472,0.07534883580882301
YtrA:wt:1,0.17390259936482927,0.08386716894289492
YtrA:wt:2,-0.3916267574762527,-0.1237109057596868
YtrA:wt:3,0.21772415811141674,0.039843736816795434
