,A,GadE,GadX,GadW,RpoS,hns
SRX5694260,-1.4126259157,0.11608212080000001,-0.3299062304,0.27372301660000004,0.2482267076,0.1739432252
SRX5694261,-11.7992507998,-3.6358730242,-3.2226228409,-4.5456831867,0.022944085000000003,-0.6767263614
SRX5694262,-8.6931878557,-3.3287021187,-1.9566249129000002,-2.1820006428,-1.1664088354,-1.031702481
SRX5694263,-3.0147236348,-0.4397971825,-0.8786231087,-0.3016644752,0.2455560166,0.14700628870000002
SRX5694264,-1.0298405912,0.43782235220000004,-0.0761600344,-0.7817498318,-0.7270261651000001,-0.41701238430000004
SRX5694265,-2.2135111852,-0.5722216720000001,-1.1091857831,-1.3949916739,0.1246632279,-0.1614027818
SRX5694267,2.1640943916,1.2688724873,0.376795678,-0.0218773579,0.17891339180000002,0.3006681781
SRX5694268,-3.87085942,-1.363562354,-1.7436352791,-1.1795227811,0.8690290136000001,-0.0815327794
SRX5694269,-0.4129263355,-0.3072507333,-0.511696689,-0.6080245165,0.1019266675,0.0328928135
SRX5694271,-1.5997527871,-0.0924618771,-0.07581218590000001,-0.24398370160000002,-0.159521414,-0.10642851340000001
SRX5694273,-7.2807087668,-2.8772927939,-2.1267472409,-1.0926089695,-0.7117395496000001,0.6464433037
SRX5694274,-1.4885007568,-0.3623026205,-1.2403638727,-0.7418616888,0.2200444192,-0.0005954383
SRX5694275,-6.0533979309,-3.2839056054,-3.1051406477,-2.5828278875,-0.24488367700000002,-0.7840740106
SRX5694276,-7.3164746528,-2.4826404768,-0.3728021711,-0.45014896050000003,-0.6076757834000001,0.7946358242
SRX5694277,-2.2429756281,-0.6607328271,-0.9322027937,-0.5012943320000001,0.4192586639,-0.3573271824
SRX5694278,-5.5709480655,-0.7255561041,-0.8765831047,-0.3874958356,0.3345453216,1.536242647
SRX5694279,-0.9388218191000001,-0.027302434900000002,-0.40183986400000005,-0.42482587390000004,0.9291638342,-0.206662584
SRX5694280,-3.2997695216,-2.529356985,-2.4687764906,-1.4385209238,0.6945469896,0.48643795360000003
SRX5694281,2.3735852522,1.3632711,-0.7513260327,0.3485572799,0.7728686116,-0.5867027299
SRX5694282,-5.9302863657,-4.1068654799,-1.4329339531,-1.3178029966,1.381880559,1.5495831874000001
SRX5694283,-6.688844788,-2.282083813,-1.431567725,-1.3539580154,0.8471900986,0.5062316505
SRX5694284,-7.3884821276,-2.4563760988,-1.6205083346,-2.036579961,0.9445992575000001,0.2590986018
SRX5694285,-0.042521308300000005,-0.4437220542,-1.3468065535,-1.1294158264,-0.101510944,0.0087843152
SRX5694286,-3.9982011499,-2.1718149848,-2.3473347349,-1.740640889,-0.39254390580000004,-0.3992162387
SRX5694287,-2.4961986664999998,-0.43372625610000004,-0.4288208538,1.8952096850000002,1.6641543512,0.8313039999
SRX5694288,-1.035680013,0.6134386042000001,0.2573011581,-0.4356772155,-0.6444778476,-0.45174707410000003
SRX5694289,-0.2679733825,0.5352186476,-0.24775163050000001,-0.4819330909,-0.28779240840000003,0.46102281510000004
SRX5694290,-1.3721202938000001,0.38548183550000004,0.0183788918,-0.6346248517,-0.6870264622000001,-0.39522827390000004
SRX5694291,-1.1544265289,-0.406351615,0.2447267686,0.9366542116000001,-1.3007259393,-1.3338308134
SRX5694292,2.6036070204,0.6012156823,-0.36236828200000004,0.447430207,0.8062681238,-0.43565160620000004
SRX5694293,-0.7386201777,0.5584385489,-0.4192109835,-0.9842348676,-0.4039469799,0.038069885000000005
SRX5694294,3.0136087683,1.4629122597,0.1696465278,1.2143164398,-0.38068987460000003,-0.24636549170000002
SRX5694295,-0.34059085,0.5317937379000001,0.9935815526,1.2411860387,1.1971556762,-1.4046597106
SRX5694296,1.4319631492,1.0806453395,0.4317259873,0.6652820924,-0.0579672664,0.0952690145
SRX5694297,5.4640315223,3.4118167844,1.8701901873,1.0703736334,-1.1718080658,1.1708920348
SRX5694298,1.5372788118,0.8469387127,-0.9797652477000001,0.8524858004,-0.0579887361,-0.15364917820000001
SRX5694299,3.5652731842,0.7054832608,0.159103836,0.4371358145,-0.0090804595,-0.329062373
SRX5694300,-3.5542414404000002,-0.8408210866,-0.8223882814,-1.0193071192,-0.2858089984,0.6446787887000001
SRX5694301,2.0707912563,0.5953510284,-0.6188705213,0.4778983338,0.7487499111,-0.499017776
SRX5694302,-1.5560650585,-0.1172498515,-1.1899180729,-0.580259001,-0.2880430808,-0.4983299264
SRX5694303,-1.4941164504,0.2168853734,-1.3682942998,-1.4085220433,-0.4022624342,-0.9284528158
SRX5694304,-4.8606146331,-2.0109520715,-0.6600796003,-1.1587799748,-0.102787711,0.4696265652
SRX5694305,-4.6741401854,-1.3554149242,0.7591724793,0.4180517626,-0.5464442224,0.8807592262
SRX5694306,-1.1854262067,-3.2163431299,-0.4981753976,-2.0751650822,-0.7664779575,-3.003918591
SRX5694307,-7.7624146574,-3.2195393458,-1.5582623303,-1.2653036158,0.9269590489,2.0280958555
SRX5694308,-0.7717124334000001,-0.38003294530000004,-0.842764209,-0.8347901378,0.0122038535,0.1282549919
SRX5694309,-6.6982338261,-2.4037995264,-0.4543213488,-0.3020337236,-0.9940082433,1.4273784088
SRX5694310,-5.7490577368,-3.9474367155000003,-2.8879711853,-1.5665330675,2.0411292587,0.3338719368
SRX5694311,-6.7905273661,-2.7744955274,0.06966349100000001,0.4750816601,-0.3039589573,0.5479911068000001
SRX5694312,-10.6619916905,-4.9543248985,-1.9927050321,-2.3979780265,-1.2338569192,-1.8298625141
SRX5694313,-0.2110494621,2.0055429386,1.1298134488,2.170072863,1.5108161085,-1.2640210537
SRX5694315,-4.0406114808,-1.547670821,-1.3471602564,-1.248800724,0.0882130678,-0.21223886720000001
SRX5694317,-0.5837423157,1.6028198251,1.4323739718000001,3.040692951,1.863543381,0.33937007880000003
SRX5694319,-2.6147579081,-0.0464632497,0.5303945427,-0.6995963589,-0.7670528724,-0.2648527613
SRX5694320,-2.3109118428,-0.9607347717,0.22614956630000002,0.9938919358,-1.3988456439,-1.6065648687
SRX5694321,-1.649965767,0.7767468198,0.034567584900000004,0.5125120384,0.1389480637,0.7920205793
SRX5694322,-8.930758408500001,-4.9543248985,-1.258112722,-2.9538490659,0.6382039402,1.4962296247
SRX5694323,-2.2569339508,0.5971726587,0.1027261953,0.4305774778,0.6371311275,0.8860898538
SRX5694324,-6.6403305926,-2.7445693753000002,-0.177495377,0.6419124973,0.5891552134,1.1582991603
SRX5694325,-5.3937030082,-2.5253085899,-1.3730748544,-1.4414713383,1.1364192666,1.0332693507
SRX5694326,-0.5719915065,0.0351541105,-1.0915837913,-0.8993721645,-0.1227754323,-0.5443186423
SRX5694327,-6.3092701614,-3.0719010931,-3.0724238099,-0.9937902148000001,1.842083342,0.2748227025
SRX5694328,-1.2638509762,0.9054789811,1.1464631220000001,-0.25540222900000004,-0.3056609431,-0.4196697263
SRX5694329,2.7772588054,2.1786432003,1.2134750358,1.2517009074,-0.36055310500000004,0.8093676863
SRX5694330,-10.0754206701,-3.1429497140000002,-2.2041395746,-3.6904612311,-0.7452061929,-2.2776908039
SRX5694331,-1.866025652,0.1112741497,-0.08721752540000001,-0.3248625584,-0.19376253370000002,0.0793713315
SRX5694332,-3.1076421339,-0.3357663616,-0.5129801512000001,-0.0188302326,-0.1069060403,0.1558267021
SRX5694334,-4.2219235521,-2.1071603126,-1.6267876303,-0.8554400354,0.1476735541,-0.16419339230000002
SRX5694335,-0.7806203316,1.0444189645,1.6576436654000002,2.0845812926,0.2184687528,0.3623619817
SRX5694336,-6.3081063621,-2.1319087211,-0.5827990094000001,-0.8204157858000001,-0.3321838082,2.0592240575
SRX5694337,-3.8171205855,-1.6449659583,-1.7126764421,-0.9132800384,1.1410073011,0.37091103740000003
SRX5694338,-2.3903672595,-0.2625667256,-1.4560920614000001,-0.6856464837,0.5042714405000001,-0.6577122203
SRX5694339,-1.9221229467,0.5606130136,0.6265660686,-0.3771558396,-0.7028224034,-0.5185215767
SRX5694340,0.5848138577,-0.2263059536,-1.203651768,-0.6479121655,-0.3897788184,-1.0589715228
SRX5694341,-6.2103159772,-1.9675613194000001,0.0492532314,0.9087578616,0.6749000182,1.8291972353000001
SRX5694342,4.4969776996,2.6569698135,1.4053386570000002,1.0370060361,-1.0340379245,1.2003956974
SRX5694343,0.19225191,2.4871426115,2.7270269393,2.0655773802,-0.5313228746,-0.08934273300000001
SRX5694344,4.5004543899,2.4672997353,1.7210075158,0.960147626,-0.3395083618,0.6142965370000001
SRX5694345,-3.4692319007,-1.1728397895,-1.4782147131,-1.6317102306,-0.0744392624,0.260286065
SRX5694346,-2.4743403323,0.3833199228,-0.3767676439,0.6080636418,-0.17103448070000002,0.16706967650000001
SRX5694347,1.1917441664,0.6959005214,-0.3000431813,-0.3579142788,-0.3425261498,0.1257857565
SRX5694348,-1.0580733662,0.7176966884,-0.3829922609,1.2722308549,0.7875061899,-0.7342629081000001
SRX5694349,-2.2318437421,-0.2435831011,-1.5312679487,-0.7327210373,0.12003723670000001,-1.0978060964
SRX5694350,2.6976633076,1.7043420878000002,1.1626932107,2.0376670159,-0.7659405174,-0.2585618173
SRX5694351,-3.2432298825,0.0278922705,0.34066572310000004,0.18376735700000002,0.7263733076000001,1.1449067451000001
SRX5694352,0.0550957383,0.7114492885,-1.5200894457,-0.5973638894000001,-0.6013224671,-0.10031158700000001
SRX5694353,-1.8515685292000001,0.479893453,-0.12381166460000001,-0.5300398863,-0.8785134040000001,-0.7813179918000001
SRX5694354,-1.9806465661,0.25205146700000003,-1.4062341272,-0.218591113,0.7901452873,-0.3833516295
SRX5694356,-2.635290545,-0.057586964500000004,-0.6287617667000001,-0.8577849544,-1.0691180943,-0.9761935114
SRX5694357,3.9258402455,1.9121225458,0.8526378452000001,0.7401996772,-1.224876475,0.8141585597000001
SRX5694358,-1.0555080648,0.6097665779,0.2021108455,1.1001166972,-0.8674783247000001,-1.210879706
SRX5694359,-4.6422318873,-2.5994465329,-2.6027393814,-1.4400920118,-0.5275191918000001,-0.4207264389
SRX5694360,-6.2938972489000005,-3.1231140534,-2.6275901444,-1.9964506101000001,-0.5277439766,-0.1412390832
SRX5694361,-9.8513820687,-4.9543248985,-1.7014477846,-2.7183343802,0.5715646187,0.1566361058
SRX5694362,-4.2921745195,-3.1277425702,-2.4581859073,-4.8910971814,-0.4801473545,-1.6472988531000001
SRX5694363,-1.1674471702,0.4152760186,1.2581171051,0.5840687245,-0.2058316979,-0.5546784583000001
SRX5694364,-6.5831185819,-2.0180888102,-0.2178661539,0.10187227930000001,-0.4031858943,1.4076440849
SRX5694365,2.4156632378,-0.1948645188,1.3686681192,0.9922695331,0.5258567861,-0.4974307236
SRX5694366,-1.7496327538,-0.2520024628,-0.28383058240000003,-0.800287728,-1.0791491496,-0.6138928318
SRX5694367,-6.4904861275,-2.4599714223999998,-1.406122229,-1.2572790989,1.1625349641,1.2101434685
SRX5694368,-2.3308123233,-0.5039561531,-1.4850170806,-1.0287644981,-0.3946522053,-0.9458503599
SRX5694369,0.3343806033,0.06410913800000001,-1.1426991465,-0.3330580984,0.0892968809,-0.0662886848
SRX5694370,-4.1994240299,-0.6118013976000001,-0.8141824234,-0.3969086083,0.3895898545,0.368483396
SRX5694371,-5.8996720655,-1.9599985835,-1.0809776375,-0.2732299694,-0.9798657269000001,1.6497301401
SRX5694372,-2.857765828,-2.2889570474,-2.2510887843000003,-1.2344387918,-0.3558929129,-0.4935531869
SRX5694373,1.4806564512,1.799038221,1.4589715909,1.8366907833,-0.3203433341,-0.1927104984
SRX5694374,-2.6558409514,-1.2711502776999999,-0.7557081366,-0.1755166437,-1.8907045999,-1.5963441003
SRX5694375,0.427571046,0.2951519691,-1.6714548291,-0.9367536064,0.5235856839,-0.5282387860000001
SRX5694376,-4.1076770267,-2.9725627728,-2.4787426515,-4.8910971814,-0.6960164566,-0.9920622973000001
SRX5694377,-3.5743523802,-1.4445559099,-0.3935290685,0.0838947104,-1.5270626442,-1.6064739720999999
SRX5694378,-6.9891008374,-3.6698576791,-3.1224787433,-2.7318894662,-0.4634139386,-0.44548403010000004
SRX5694379,-0.6280829943,-1.2193333542,-2.9486539133000003,-1.0753116717,-0.5227460333,-1.1412490475000001
SRX5694380,-3.1234265635,-0.1906119209,-0.18754661320000002,0.6424118412000001,-0.6079369570000001,-0.2908981184
SRX5694381,4.4241811739,2.3123967012,0.4404051054,1.1715743885,-0.5831907388,1.5103860035999999
SRX5694382,-0.2411724597,1.3820300756,1.1711102859,0.1375857281,-0.5897015176,0.3167035141
SRX5694383,0.5405700793,0.571848851,-2.1828391598,-0.9067711859,0.33302975900000004,-0.6330348309
SRX5694384,-1.7762134961,-0.433570328,0.2429309094,-0.5309814011,-0.17128217310000002,0.07720167730000001
SRX5694385,-6.1904759926,-0.5164639072,1.2137537669,3.1129248237000002,0.6983107852,0.7627488997
SRX5694386,-8.7946956023,-3.0775866468,-1.1024621673,0.089950447,-0.047770770600000005,0.2124759349
SRX5694387,-1.4737056895,0.28145106740000003,0.0206374895,-0.659987785,-0.7783978846,-0.5871436333
SRX5694388,-6.0695939271,-1.8958507005,0.6898100468,0.8791769017000001,0.5795485447000001,1.3294801396
SRX5694389,3.942069566,0.6555329397,-1.3743196683,-0.9470324642,-0.4604892508,-1.4197035738000001
SRX5694390,1.0985978603,0.5721943913,-1.0668293136,-0.3240781942,0.5469985911,-0.6108595821
SRX5694391,1.210589079,1.0779205164,0.6245768559,2.5076182925,1.9391797668000001,0.2242706458
SRX5694392,5.6957436976,1.9622329109,-0.3094789572,0.7063442915,-0.18206983540000002,-0.35666103660000004
SRX5694393,-1.0538226559,0.0692182702,0.3356057732,-0.34629161010000004,-0.2625622673,0.0738984884
SRX5694394,-0.8602541108,-0.0967970304,-0.4240843804,0.220233277,0.6362886964000001,-0.433145702
SRX5694395,-1.3230234086000001,0.3333191813,1.3486063755,0.4160830991,-0.24292153970000002,-0.6412482763
SRX5694396,-3.1822120717,-0.2620286464,0.25340080930000003,0.26548519800000003,0.6048608691,1.1447981062
SRX5694397,-3.8392218444,-1.0495686776,-1.6253708915,-1.2279605187,0.7306458363,-0.6626112262
SRX5694398,-3.7376374635,-1.1150714301,-1.2911718066,-0.6423233591,0.47634399800000005,-0.8352204546
SRX5694399,3.1805882159,1.9029085629,1.6873485281,1.2214580611,-0.3464694589,-0.07028935430000001
SRX5694400,-2.0462129791,-0.6197874677,-1.6380481919,-1.2048870876,-0.2505482308,-0.7804220612
SRX5694401,-0.18620724100000002,-0.12775472400000001,-0.49721029310000003,-0.081813516,0.6124656474,0.18569160680000002
SRX5694402,-8.5385836135,-4.9543248985,-1.3993768753,0.0519022907,-0.0719270178,0.3072247456
SRX5694403,-5.4590866722,-1.7893360891,-0.6970904211000001,-1.04505682,0.6540059885,1.2287761301
SRX5694404,-2.0020467991,-0.13565808710000002,-0.6436700295000001,-0.029180954800000002,0.4711092564,-1.1055211989
SRX5694405,0.5704807482,1.5191894561,1.0658776417,1.4803294006,-0.5450956153000001,0.2912144672
SRX5694406,-4.3586175389,-0.3391652087,-1.2253160951,-0.11473524700000001,0.2452439907,1.3067637903
SRX5694407,-2.4087159106,0.059936557,-0.9999387465,-1.0600606308,-0.1035126536,-0.2170952891
SRX5694408,0.36790629080000004,0.5181622808,-0.34134591410000004,-0.4259850021,-0.009095269900000001,-0.3402805357
SRX5694409,-6.5337492832,-1.9162773740999999,1.6110508811000002,2.2387106573,1.087692968,0.3449596163
SRX5694410,-4.5272174509,-4.9543248985,-3.3560239774,-3.8632825184,-0.3560818886,-0.9369939924
SRX5694411,-3.3933264471,-1.9664685955,-1.9532054695,-1.0091629269,1.7535099344,0.3006550652
SRX5694412,-5.5028229401,-1.7601172909,-2.6726129792,-1.4221182586,0.5170498195000001,-0.6110272034
SRX5694413,-5.6893824875,-1.0594771918,-0.9882422247,-0.3206705268,-1.0193472069,-0.9274980556
SRX5694414,4.6700170816,2.4613174268,0.1399522441,0.8130415005,-0.523282682,1.7269776488000002
SRX5694415,2.4705966797,1.278167899,-0.5453488694,0.5443926844,0.43947406520000004,-0.5350652901
SRX5694416,0.1575505321,-0.030163769400000002,0.22966816110000002,-0.1223820494,0.0446724711,0.09109035780000001
SRX5694417,-1.2389416304,0.9148591133,-0.1029815256,-0.2441944158,-0.2893820741,0.6757333899
SRX5694418,-8.2611441409,-4.5166815677,-1.9456735139,-0.6653013488,-0.2117878394,0.7648344667
SRX5694419,-5.7796013932,-2.7467429878000003,-0.6032791315,-0.5302797124,-0.3179564891,1.9739008520999999
SRX5694420,3.2689240238,0.9267932156,-0.0946637461,0.1371072115,0.08899595980000001,-0.3114816063
SRX5694421,-4.8534207237,-0.7001653907000001,-0.6450425211,0.7793700425000001,0.028312995400000002,0.1444757966
SRX5694422,1.0133558797,1.8270244221,0.6500235939,1.9463973842,1.3392921219,0.5993323859
SRX5694423,-4.454771727,-1.6578827532,-1.6148922651,-1.2011162943,-0.9200105722,-0.6169352458
SRX5694424,-4.9709337367,-1.3195446075000001,-1.9851563352000001,-1.269186194,1.5403945842,0.4505654565
SRX5694425,-3.1814045599,-1.4320238697,-1.9797951042,-2.0677290612,0.5704792652,-0.9056669952
SRX5694426,-2.7795188401,-0.6072021213000001,-1.1715805594,-0.46579445480000004,0.1799193872,-0.2557922664
SRX5694427,2.0289049592,0.6436057614,-0.3400528087,0.0104689025,0.4667043355,-0.1750304766
SRX5694428,1.0579929385,0.3541610036,-0.8342393238,-0.1248935386,0.20339786340000002,-0.13199657380000002
SRX5694429,-4.8773704611,-2.8139210524,-1.8003626640000001,-1.6847850133,1.7636918297,0.6332512447
SRX5694430,2.1922847453,0.6788051904,-0.5567476294,-0.0470832166,0.3315411609,-0.08344082400000001
SRX5694431,-0.07856792,0.7832718772,0.49314829050000003,0.5276744011,-0.35813353740000003,-0.5125373796
SRX5694432,-6.3184450597,-2.2767975008,-2.7378240187,-2.5955616505,-0.36327625890000004,-0.7661698545000001
SRX5694433,-4.8979580549,-0.5876932126000001,-0.1151507559,-0.8553006082,-0.9242360812,-1.018450679
SRX5694434,-3.8500986039000002,-0.840905199,-1.131116067,-0.2959685241,1.1244853324,1.0728512748
SRX5694435,-5.8983123771,-1.8126983510999999,-0.0583735658,1.0162072457,0.2482560155,1.9625338574
SRX5694436,-4.8714028279,-0.819631941,1.7956901916999999,2.5364021452000003,0.6052921899,0.9587686390000001
SRX5694437,-1.9337784702,-0.2229935604,0.6878821351000001,1.8051813532,1.6927350389,0.9137308284000001
SRX5694438,1.9744183144,0.7803203105000001,-0.9037213132,0.249849701,0.4568848408,-0.40211033360000004
SRX5694439,-0.94849768,0.26814920130000003,0.07083677790000001,1.167048477,-0.9789359647,-0.9943194997
SRX5694440,-1.6250542813000002,-0.2494912223,0.5120405033000001,-0.4191395918,-0.16993395320000002,0.0767751608
SRX5694441,3.2278681571,2.0929095148,1.6203477468,1.0781019275000001,-0.30292878300000003,0.8459974857
SRX5694442,-6.0036638672,-1.9562912745,0.635566681,1.0763743969,0.5264198142000001,1.2299575267
SRX5694443,-0.5713023032,0.0198516907,-0.9308079283,-0.9788826219000001,0.2397725474,0.2648223071
SRX5694444,1.3695400253,0.6525305375,-1.8487120163,-0.6984002971000001,0.5519567652,-0.8771352847
SRX5694445,-6.3310346682,-3.0309320467,-0.0555601568,0.7573474003,-0.2960727922,0.7366439447
SRX5694446,-2.0661692668,0.7105428434000001,-0.0198128219,-0.7251003142,-0.9535799394000001,-0.7487939093
SRX5694447,1.2751650948,-0.5699347735,-1.5373330517000001,0.4155098595,0.1879820745,-0.42415313460000004
SRX5694448,-8.1946907155,-4.9543248985,-2.4361986097,-2.8194800238,-0.33462678430000004,-1.0305155459
SRX5694449,0.1575601039,0.1775386341,-1.1215918381,-0.5045200351,0.4853458886,-0.0643301091
SRX5694450,-3.7720981293999998,-2.6538506584,-2.4321687235000002,-3.9291861793000002,-1.5466922668,-1.923176533
SRX5694451,-2.4178169925,-0.9920698066,-0.9942600170000001,-1.0626506032,0.3364849925,0.32335372960000003
SRX5694452,-3.2403166505,-0.38855835320000004,-0.2741974699,-0.8520464807,0.5538937326,1.0271080185
SRX5694453,-5.2122784475,-1.1864130107,-2.3977767625,-4.8910971814,-0.9333736147,-0.8689705452
SRX5694454,-1.5703226097,-0.10067935880000001,-0.5544296793,-0.6073435347,-0.43851679990000003,-0.0143859672
SRX5694455,-5.1593228749,-1.7182570855,-0.6694465951,-0.5707622161,-0.6122638961,2.0160964001
SRX5694456,-1.1282477758,0.0152697274,-0.8690630574,-0.8157736804,0.0192414513,-0.3961870837
SRX5694457,1.0548035106,1.5946622867,1.4431127885000001,0.3737364373,-0.4865215724,-0.3950436946
SRX5694459,-0.39846693180000003,1.5283246176,0.42413899320000004,0.0470449177,-0.7272492188,-1.3104809708
SRX5694460,-6.8674411184,-3.5130073889,-0.0604874823,0.7870471791,-0.1476290305,1.9820999957
SRX5694461,-4.9597870839,-2.1602168227,-2.7032511374,-1.475133831,-0.46360405250000003,-0.7479972059000001
SRX5694462,-5.860098088,-0.800648118,-1.4899758357000001,-0.2735310862,0.4989539183,1.5313356168999999
SRX5694463,2.8593131707,0.862190372,-0.746403637,0.11343808300000001,0.3705406573,-0.8308938109
SRX5694464,-1.2152359472,-1.7302587630000001,-1.9912749897,-1.4631428822,-0.1438542033,-0.2876517577
SRX5694465,-1.5359989133,0.3597602901,-1.614866469,-1.1020331048,-0.5194117031000001,-1.1647466356
SRX5694466,1.0024083954,0.7855894254,0.4250607538,1.3462887513,2.0305828611,1.0126028366
SRX5694467,-2.725405114,-0.8601274002,-1.0789182811,-0.8991130558,-0.4654391383,-0.23134393590000002
SRX5694468,-2.5035729148,-0.38598095990000003,0.4634742079,1.1510409027,-1.4261023225,-1.3235992494
SRX5694469,2.7367023501,1.2264144497,-0.4937594751,0.3030818932,0.3766098639,0.2827389399
SRX5694470,0.8193491473000001,0.6927882937000001,-0.0441280617,0.2034799484,-0.1364564022,-0.1140011834
SRX5694471,-4.1937495429,-1.8437018802,-0.7105836766,-0.47946758250000004,0.1286029695,0.2780427714
SRX5694472,-3.9670868635,-0.7732126818,-0.6224827327,-0.4054211461,-0.0696890087,0.0204790629
SRX5694474,-4.9923726989,-1.7961446043,-2.1999183795,-2.3589073991,0.9030849996,-0.029360761200000002
SRX5694475,-1.9718694812000002,-0.4832030605,-0.9413710865,-1.0643842999,0.38838182590000003,0.4395643487
SRX5694476,0.5061876901,0.9385064175000001,-0.8457775122000001,-0.5737623721,-0.0550770701,-0.958255505
SRX5694477,-5.4289649814,-1.8486005624000001,-0.6120881462000001,0.139481466,-0.6307641964,1.3257530398
SRX5694478,2.9783363620000003,0.6152667638,-1.1074021042,0.2908816883,-0.2597921773,-0.2786624251
SRX5694479,-0.546820368,0.48579464400000005,1.43605493,2.0137494034,-0.1763272148,0.392395096
SRX5694480,0.9078302779,2.2753511285,2.4690046138,2.6251003421,-0.1529290586,-0.0721274882
SRX5694481,0.0845464314,-0.8478658908000001,-1.6781310877000002,0.707586028,0.2706568916,-0.7025263753000001
SRX5694482,-1.7647158632000002,0.49984832240000004,-0.4762555685,-0.6852902307000001,-0.8203963424,-0.1369099266
SRX5694483,0.7653945028,0.4813377729,-0.8435907248000001,-0.9363639311,0.1585795959,-0.2574074658
SRX5694484,-1.433561852,-0.7401862944,-1.2471686966,-1.1130481848,-0.1142251222,-0.7252147345000001
SRX5694485,-1.4241536773,0.324355968,0.4681539797,2.2785215816,1.8143817081,0.0455061807
SRX5694486,-2.0067460811,-0.27323419200000004,-0.7646396469000001,-1.5606311155,-0.4731728442,0.0256384562
SRX5694487,0.264282795,-1.0815214013,-1.6702290002,-1.0828972345,0.0620097399,0.0973618641
SRX5694488,-3.0213538726,-0.499557057,-1.2816115794,-0.4360595423,0.3949410132,-0.8848599586
SRX5694489,-4.7572996249,-1.0746204776,-0.9655765173,-1.1231442737,0.3263541776,0.5406534275
SRX5694491,-6.3630265235,-2.6641143781,-2.4990405855,-1.5133386045,-0.7083059624,0.2172296353
SRX5694492,-7.0256387193,-2.5632120738,-0.606471858,-0.6349601563,-0.851641096,0.7507628737
