,A,hns
abx_mega__teix_dmso__2,-2.5562745502,0.46102281510000004
abx_mega__nal_naoh__3,-0.7260389017000001,-0.39522827390000004
abx_mega__novo_h2o__2,-6.6056896889,-1.3338308134
abx_mega__dmso-10__2,1.1316638483,-0.43565160620000004
abx_mega__phos_h2o__3,-2.1581088206,0.038069885000000005
abx_mega__dmso-6__2,-1.160988988,-0.24636549170000002
abx_mega__rfp_ethanol__1,-0.6855529176,-1.4046597106
abx_mega__dmso-5__3,-1.6805574876,0.0952690145
abx_mega__amyc-d_dmso__1,-2.6566662441,1.1708920348
abx_mega__sxt_dmso__1,-4.6381335612,-0.15364917820000001
abx_mega__dmso-1__1,0.3408898144,-0.329062373
abx_mega__pen_h2o__1,-0.882809202,0.6446787887000001
abx_mega__dmso-10__3,0.2425771095,-0.499017776
abx_mega__nal_naoh__4,-1.1559942934,-0.4983299264
abx_mega__cip_naoh__1,-1.2311008897,-0.9284528158
abx_mega__pen_h2o__2,0.1439047106,0.4696265652
abx_mega__ery_dmso__2,-0.5405505592000001,0.8807592262
abx_mega__dmso-2__2,-2.1325905748,-3.003918591
abx_mega__van_dmso__2,-4.9402034262,2.0280958555
abx_mega__h2o-1b__1,0.9187180337,0.1282549919
abx_mega__ery_h2o__1,2.1089939239,1.4273784088
abx_mega__bacit_h2o__1,-4.647479533,0.3338719368
abx_mega__chl_h2o__2,1.4519808902,0.5479911068000001
abx_mega__str_h2o__2,-2.4702112199,-1.8298625141
abx_mega__rfp_ethanol__2,-3.2997924679,-1.2640210537
abx_mega__polmyx_h2o__2,-2.0637147428000002,-0.21223886720000001
abx_mega__tric_h2o__1,-2.0597787329,0.33937007880000003
abx_mega__cip_naoh__2,-2.5309715773,-0.2648527613
abx_mega__novo_h2o__3,-6.8493124155,-1.6065648687
abx_mega__bacit_dmso__1,-4.3016007232,0.7920205793
abx_mega__gen_h2o__1,-1.9487164863,1.4962296247
abx_mega__bacit_dmso__2,-4.2474899464,0.8860898538
abx_mega__chl_dmso__1,0.40744292730000004,1.1582991603
abx_mega__bacit_h2o__2,-3.8755441728,1.0332693507
abx_mega__lvx_dmso__1,-2.386810988,-0.5443186423
abx_mega__bacit_h2o__3,-3.1392324467,0.2748227025
abx_mega__nor_naoh__2,-2.0554636633,-0.4196697263
abx_mega__amyc-d_dmso__2,-2.7321975749,0.8093676863
abx_mega__polmyx_h2o__3,-1.7652456138,-2.2776908039
abx_mega__naoh-6__1,-1.1268712541,0.0793713315
abx_mega__cst_h2o__2,-0.6268857313,0.1558267021
abx_mega__h2o-1b__2,0.9535909004,-0.16419339230000002
abx_mega__rfp_h2o__1,-3.7521833678,0.3623619817
abx_mega__tet_h2o__1,1.7655393730000002,2.0592240575
abx_mega__flavo_dmso__1,-2.6629074002,0.37091103740000003
abx_mega__zeocin_h2o__1,-1.0577396318,-0.6577122203
abx_mega__nor_naoh__3,-2.7084235956000002,-0.5185215767
abx_mega__rach_dmso__2,-6.6947816236,-1.0589715228
abx_mega__thio_dmso__2,-0.2719496111,1.8291972353000001
abx_mega__amyc-d_dmso__3,-1.5485983614999999,1.2003956974
abx_mega__rif_dmso__2,-3.4041687306,-0.08934273300000001
abx_mega__amyc-d_dmso__4,-1.8645114092,0.6142965370000001
abx_mega__teix_dmso__3,-1.181300978,0.260286065
abx_mega__valin_dmso__1,-3.2270682439,0.16706967650000001
abx_mega__teix_dmso__4,-1.6092298978000001,0.1257857565
abx_mega__ethanol-10__1,-0.7319424759000001,-0.7342629081000001
abx_mega__inh_h2o__1,-1.7327225594,-1.0978060964
abx_mega__rif_dmso__3,-4.6081948836,-0.2585618173
abx_mega__van_dmso__3,-6.4758263868,1.1449067451000001
abx_mega__doxo_dmso__1,-1.4472840341,-0.10031158700000001
abx_mega__tmp_dmso__1,-1.2052531484,-0.7813179918000001
abx_mega__ethanol-10__2,-3.1490676656,-0.3833516295
abx_mega__tmp_dmso__2,-1.4665726018,-0.9761935114
abx_mega__amyc-d_dmso__5,-0.6723679668,0.8141585597000001
abx_mega__novo_h2o__4,-6.4888370238,-1.210879706
abx_mega__cro_h2o__2,-1.9125388545000002,-0.4207264389
abx_mega__cro_h2o__3,-1.9094329968000001,-0.1412390832
abx_mega__gen_h2o__2,-1.4469279872,0.1566361058
abx_mega__phos_h2o__4,-2.2504420858,-1.6472988531000001
abx_mega__metro_dmso__2,-2.6316270971,-0.5546784583000001
abx_mega__ery_h2o__2,-0.06666522230000001,1.4076440849
abx_mega__sacet_h2o__1,-6.1437378240000005,-0.4974307236
abx_mega__nal_naoh__5,-1.3284632396,-0.6138928318
abx_mega__bacit_h2o__4,-4.258697828,1.2101434685
abx_mega__cip_naoh__3,-1.5193229716999999,-0.9458503599
abx_mega__ethanol-8__1,-2.2099839444000002,-0.0662886848
abx_mega__h2o-8a__1,-1.4839527451,0.368483396
abx_mega__ery_h2o__3,1.8646719723,1.6497301401
abx_mega__flavo_dmso__2,-2.8010587327,-0.4935531869
abx_mega__rif_dmso__4,-4.8308626985,-0.1927104984
abx_mega__novo_h2o__5,-3.6847725298,-1.5963441003
abx_mega__teix_dmso__5,0.5403249219,-0.5282387860000001
abx_mega__naoh-2__1,0.6024390251,-0.9920622973000001
abx_mega__novo_h2o__6,-4.7103313658,-1.6064739720999999
abx_mega__ctx_h2o__3,-3.3197344565,-0.44548403010000004
abx_mega__rach_dmso__3,-9.0176235142,-1.1412490475000001
abx_mega__valin_dmso__2,-3.2066787818,-0.2908981184
abx_mega__amyc-d_dmso__6,-2.2942667417,1.5103860035999999
abx_mega__dox_dmso__2,-2.1141983809,0.3167035141
abx_mega__teix_dmso__6,0.0091215181,-0.6330348309
abx_mega__naoh-6__2,-0.5661767687,0.07720167730000001
abx_mega__inh_h2o__2,-7.1040662816,0.7627488997
abx_mega__chl_h2o__3,1.5841559013,0.2124759349
abx_mega__nal_naoh__6,-0.7874598507,-0.5871436333
abx_mega__chl_dmso__2,-0.3574532959,1.3294801396
abx_mega__rach_dmso__4,-4.3921348468,-1.4197035738000001
abx_mega__teix_dmso__7,0.7405192260000001,-0.6108595821
abx_mega__ceru_ethanol__1,-3.4022765527,0.2242706458
abx_mega__dmso-7__1,-3.9043275298,-0.35666103660000004
abx_mega__naoh-6__3,-0.7529719295,0.0738984884
abx_mega__phos_ethanol__2,0.38892548,-0.433145702
abx_mega__metro_dmso__3,-3.3205569074,-0.6412482763
abx_mega__van_dmso__4,-7.2670760425,1.1447981062
abx_mega__h2o-10__1,-1.8140911049000001,-0.6626112262
abx_mega__h2o-10__2,-2.1061597811,-0.8352204546
abx_mega__dmso-6__3,-1.0996958015,-0.07028935430000001
abx_mega__mem_dmso__1,-1.6359344989,-0.7804220612
abx_mega__ethanol-8__2,-2.6537732241,0.18569160680000002
abx_mega__chl_h2o__4,1.1078601219,0.3072247456
abx_mega__van_h2o__1,-1.3863901645,1.2287761301
abx_mega__dcs_h2o__1,1.5561466415,-1.1055211989
abx_mega__rif_dmso__5,-3.8724556694,0.2912144672
abx_mega__dox_dmso__3,-1.838566517,1.3067637903
abx_mega__mem_dmso__2,-2.0703243781,-0.2170952891
abx_mega__lvx_dmso__2,-2.1633440664,-0.3402805357
abx_mega__tet_h2o__2,2.7037423077,0.3449596163
abx_mega__phos_h2o__5,-2.1087616468,-0.9369939924
abx_mega__monac_dmso__1,-8.7653840615,0.3006550652
abx_mega__str_h2o__3,-4.8417609126,-0.6110272034
abx_mega__zeocin_h2o__2,-2.2304756241,-0.9274980556
abx_mega__amyc-d_dmso__7,-1.2496539187,1.7269776488000002
abx_mega__fidax_dmso__1,-0.1454015417,-0.5350652901
abx_mega__h2o-1a__1,-0.1583678574,0.09109035780000001
abx_mega__dox_dmso__4,-1.7914753646000001,0.6757333899
abx_mega__lzd_dmso__2,0.3414239109,0.7648344667
abx_mega__tet_h2o__3,0.8905804601,1.9739008520999999
abx_mega__dmso-1__2,0.4283830383,-0.3114816063
abx_mega__sxt_dmso__2,-2.5515895949000003,0.1444757966
abx_mega__tric_ethanol__2,-4.6628458464,0.5993323859
abx_mega__teix_dmso__8,-0.24291690840000002,-0.6169352458
abx_mega__ramo_h2o__2,-2.8239248922,0.4505654565
abx_mega__inh_h2o__3,-1.7227481087,-0.9056669952
abx_mega__cst_h2o__3,0.32241974090000003,-0.2557922664
abx_mega__dmso-9__1,-1.2750053545,-0.1750304766
abx_mega__ethanol-8__3,-2.6964443079000002,-0.13199657380000002
abx_mega__monac_dmso__2,-8.372577576,0.6332512447
abx_mega__dmso-9__2,-0.4379050433,-0.08344082400000001
abx_mega__metro_dmso__4,-2.6902101834,-0.5125373796
abx_mega__ctx_h2o__4,-1.4307825414,-0.7661698545000001
abx_mega__zeocin_h2o__3,-1.1929051645,-1.018450679
abx_mega__bacit_h2o__5,-4.1884659362,1.0728512748
abx_mega__reta_dmso__1,-1.4494431589,1.9625338574
abx_mega__ery_h2o__4,3.2878994609,0.9587686390000001
abx_mega__ceru_ethanol__2,-5.0682724208,0.9137308284000001
abx_mega__fidax_dmso__2,-0.3539763497,-0.40211033360000004
abx_mega__novo_dmso__1,-5.3388621134,-0.9943194997
abx_mega__naoh-6__4,-1.0740358095,0.0767751608
abx_mega__amyc-d_dmso__8,-2.7481878728,0.8459974857
abx_mega__chl_dmso__3,0.0793015535,1.2299575267
abx_mega__nal_naoh__7,-1.373823929,0.2648223071
abx_mega__teix_dmso__9,1.3996477328,-0.8771352847
abx_mega__ery_dmso__3,-1.0796596605,0.7366439447
abx_mega__tmp_dmso__3,-1.3036462345,-0.7487939093
abx_mega__sxt_dmso__3,-3.1109570644,-0.42415313460000004
abx_mega__polmyx_h2o__4,-2.3539428749,-1.0305155459
abx_mega__mem_dmso__3,-1.1291446140999999,-0.0643301091
abx_mega__nal_naoh__8,-2.7823513967,-1.923176533
abx_mega__pen_h2o__3,-1.0247969546,0.32335372960000003
abx_mega__van_dmso__5,-8.7306383938,1.0271080185
abx_mega__zeocin_h2o__4,-2.8166273519000002,-0.8689705452
abx_mega__h2o-6__2,-0.210121728,-0.0143859672
abx_mega__tet_h2o__4,1.0210583539,2.0160964001
abx_mega__nor_naoh__4,-0.9196724834000001,-0.3961870837
abx_mega__cip_naoh__4,-1.7679797271000002,-0.3950436946
abx_mega__tmp_dmso__4,-0.8143831448000001,-1.3104809708
abx_mega__reta_dmso__2,-1.5973420064,1.9820999957
abx_mega__mem_dmso__4,-1.9468440268,-0.7479972059000001
abx_mega__dox_dmso__5,0.9902165510000001,1.5313356168999999
abx_mega__tmp_dmso__5,-0.4492241777,-0.8308938109
abx_mega__flavo_dmso__3,-3.2239476084,-0.2876517577
abx_mega__tmp_dmso__6,-0.8122967798,-1.1647466356
abx_mega__ceru_ethanol__3,-6.1448662708,1.0126028366
abx_mega__teix_dmso__10,-1.0188408558,-0.23134393590000002
abx_mega__novo_h2o__7,-6.2211658744000005,-1.3235992494
abx_mega__fidax_dmso__3,-1.8351728379,0.2827389399
abx_mega__h2o-1a__2,0.4038886453,-0.1140011834
abx_mega__dcs_h2o__2,-0.4020236149,0.2780427714
abx_mega__cst_h2o__4,0.4048134732,0.0204790629
abx_mega__van_h2o__2,-2.2985231209,-0.029360761200000002
abx_mega__pen_h2o__4,-0.8262345662,0.4395643487
abx_mega__h2o-8b__2,-0.4654673496,-0.958255505
abx_mega__reta_dmso__3,-2.400250138,1.3257530398
abx_mega__dmso-7__2,-6.7790108934,-0.2786624251
abx_mega__rfp_h2o__2,-3.1134353159,0.392395096
abx_mega__rif_dmso__6,-4.6531169509,-0.0721274882
abx_mega__sxt_dmso__4,-4.4170699512,-0.7025263753000001
abx_mega__cip_naoh__5,-2.1583276559,-0.1369099266
abx_mega__dmso-9__3,-1.6439261361000002,-0.2574074658
abx_mega__mem_dmso__5,-1.6141281066,-0.7252147345000001
abx_mega__tric_h2o__2,-3.0417845826,0.0455061807
abx_mega__phos_h2o__6,-1.6371686023,0.0256384562
abx_mega__h2o-7__2,-2.8550116234000003,0.0973618641
abx_mega__h2o-10__3,-0.8719371294,-0.8848599586
abx_mega__h2o-8a__2,-2.1409014789,0.5406534275
abx_mega__thio_dmso__3,-2.5026311224,0.2172296353
abx_mega__lzd_dmso__3,0.9057691697,0.7507628737
abx_mega__monac_dmso__3,-6.5995526704,0.5452639171
abx_mega__polmyx_h2o__5,-1.7106175359,-0.26568005170000003
abx_mega__naoh-6__5,-0.5627794082,0.0841285715
abx_mega__teix_dmso__11,-1.6372295038,0.2074623988
abx_mega__van_h2o__3,-2.8535140716000003,0.1124846535
abx_mega__teix_dmso__12,-1.1755064096,-0.2450224828
abx_mega__dox_dmso__6,-4.20093131,-1.0155779588
abx_mega__teix_dmso__13,-7.2100113936,0.40581125370000004
abx_mega__h2o-7__3,-1.9857460582000002,-0.0542282217
abx_mega__str_h2o__4,-2.1543345143,-2.9378155799
abx_mega__tec_h2o__3,-3.2269938337,-0.3200129413
abx_mega__phos_h2o__7,-1.4759583053,0.1441304368
abx_mega__chl_h2o__5,1.8535014708,0.47527088300000003
abx_mega__polmyx_h2o__6,-2.0370487115,-2.5654841271
abx_mega__teix_dmso__14,-0.8819416063000001,0.1975259029
abx_mega__rif_dmso__7,-3.4426808712,0.2647319957
abx_mega__ramo_h2o__3,-3.7027955254,1.2775528383
abx_mega__fidax_dmso__4,-2.580340989,0.2603432292
abx_mega__teix_dmso__15,1.3395745098,-0.5445256282000001
abx_mega__thio_dmso__4,-1.1349961732,0.0948469767
abx_mega__rif_dmso__8,-5.8864264564,-0.6320639646
abx_mega__reta_dmso__4,-1.5431069835,1.4560009629000001
abx_mega__inh_h2o__4,-7.2265832089,-0.3249757767
abx_mega__novo_dmso__2,-4.8378593845,-1.1409297771
abx_mega__dcs_h2o__3,-0.33354196070000003,-0.777314911
abx_mega__h2o-8b__3,-1.161540229,0.0180990911
abx_mega__valin_dmso__3,-2.6384107611000003,0.08073145870000001
abx_mega__h2o-2__1,-3.3523942695,-1.0174599348
abx_mega__cro_h2o__4,-3.0774551462,0.09148157920000001
abx_mega__dcs_h2o__4,0.9646148329,-1.5476080252000002
abx_mega__str_h2o__5,-2.2310730497,-0.7477075316
abx_mega__h2o-8a__3,-2.2942508592,0.2071493403
abx_mega__dox_dmso__7,-1.6883364565,0.8525130146000001
abx_mega__doxo_dmso__2,-2.5702579797,-0.175856218
abx_mega__teix_dmso__16,-7.2450205085,0.2870256222
abx_mega__rfp_h2o__3,-3.0925206023,0.2407021481
abx_mega__ethanol-10__3,-3.0032764659,-0.6198402791000001
abx_mega__naoh-2__2,-2.8074582621,-0.9751571788000001
abx_mega__van_h2o__4,-2.1239508886,1.3099850778
abx_mega__sacet_h2o__2,-9.9188071583,-0.7183523508
abx_mega__monac_dmso__4,-8.0740799377,0.7760040404
abx_mega__h2o-2__2,-3.8290170305,-2.575634232
abx_mega__zeocin_h2o__5,-2.5831781977,-0.9130116927
abx_mega__nor_naoh__5,-0.8217234493000001,-0.44788224930000003
abx_mega__naoh-9__2,-0.3574571114,0.3148884245
abx_mega__dmso-7__3,-5.4630156455,-0.28971688570000004
abx_mega__van_h2o__5,-0.8183945109,1.3346327518
abx_mega__flavo_dmso__4,-1.7427468837000002,-0.5946219462
abx_mega__novo_dmso__3,-5.2950488859,-1.3247379993
abx_mega__polmyx_h2o__7,-2.0346920238,-0.44033934020000004
abx_mega__teix_dmso__17,0.44286818250000004,-0.629954507
abx_mega__doxo_dmso__3,-1.1757189353,-0.08006541610000001
abx_mega__mem_dmso__6,-0.7509444717,0.0653199613
abx_mega__h2o-1a__3,-0.2455207879,0.0229108257
abx_mega__bacit_dmso__3,-3.9676405855,0.6068103597
abx_mega__dox_dmso__8,-2.7119948514,-1.0974892677
abx_mega__teix_dmso__18,-2.6174679551,0.42388081310000003
abx_mega__h2o-6__3,-1.9737587767,-0.15407335730000002
abx_mega__pen_h2o__5,-0.804493777,0.5215772258
abx_mega__lzd_dmso__4,-0.0056569014,0.8160299542
abx_mega__daro__1,-0.1622742207,0.0071643614
abx_mega__solv__1,-0.4693559499,-0.2758306545
abx_mega__daro__2,-0.6606580424,0.19657312300000002
abx_mega__daro__3,-1.8811024577,0.249607336
abx_mega__solv__2,-0.3261628005,-0.36908601
abx_mega__solv__3,-1.4943633034000001,0.2020555698
abx_mega__dmso-4__1,-3.4739974593,-0.1806245025
abx_mega__kirr_dmso__1,0.2868204288,1.0700777325
abx_mega__kirr_dmso__2,0.9080195396,0.9891126338
abx_mega__kirr_dmso__3,-0.4365236588,1.0233108158
abx_mega__dmso-4__2,-3.0761544553,-0.3377527415
abx_mega__dmso-4__3,-2.3458666935,-0.2580387104
ackA_pta__dnaA46_del_ackA__1,-2.0038848055,0.3710506029
ackA_pta__dnaA46_del_ackA__2,-2.01322959,0.401816247
ackA_pta__dnaA46_del_ackA__3,-2.156491895,0.30867674040000004
ackA_pta__dnaA46_del_pta__1,-4.2697532289,0.9241273707000001
ackA_pta__dnaA46_del_pta__2,-3.1493536119,0.0695428277
ackA_pta__dnaA46_del_pta__3,-2.1047886693,0.4482329444
ackA_pta__dnaA46__1,-0.3185473759,0.38800892870000003
ackA_pta__dnaA46__2,-0.2778218959,0.202722579
ackA_pta__dnaA46__3,-0.1528063573,0.4881545801
ackA_pta__del_ackA__1,-2.6615555771,-0.6525915672
ackA_pta__del_ackA__2,-3.5531032771,1.0272800719
ackA_pta__del_ackA__3,-1.6999650164,0.5836160711
ackA_pta__del_pta__1,-2.1530295769,0.660080938
ackA_pta__del_pta__2,-2.328915324,0.4500184297
ackA_pta__del_pta__3,-2.1430360772,0.6290657146
ackA_pta__wt__1,-0.3072885838,-1.1453450687
ackA_pta__wt__2,0.0326561406,0.5426909510000001
ackA_pta__wt__3,0.2746324432,0.6026541177
anticancer__5fu__1,-3.358251273,-1.7049291793
anticancer__5fu__2,-2.3834654698,-1.7532154960000002
anticancer__cap__1,-3.2514952052,-0.2035640189
anticancer__cap__2,-3.5093975304000002,-0.3428166312
anticancer__cap__3,-3.5423029164,-0.4044848538
anticancer__wt__1,0.3315874764,0.3070499472
anticancer__wt__2,-0.12281134490000001,-0.0003716465
anticancer__wt__3,-0.20877613150000002,-0.3066783008
anticancer__5fu__3,-2.7048248803,-1.8693701647
bio_pln__aero_pln__1,-0.13311851900000002,0.1362162026
bio_pln__aero_pln__2,0.13311851900000002,-0.1362162026
bio_pln__anaero_pln__1,0.2730079468,0.0179326648
bio_pln__anaero_pln__2,0.6032055479,0.07307878450000001
biocide__bzcl_12h__1,0.2055122583,-0.8892273719
biocide__bzcl_12h__2,-1.8634528735,-0.42641077260000004
biocide__bzcl_12h__3,-0.5291961843,-0.7501256288
biocide__etoh_12h__1,-1.8109639725000002,0.2750663008
biocide__etoh_12h__2,-2.935699922,0.0447246627
biocide__etoh_12h__3,-1.5371111757,0.25780179070000003
biocide__gluald_12h__1,-1.6605060645,0.2477339858
biocide__gluald_12h__2,-1.3161879417,-0.017982531200000002
biocide__gluald_12h__3,-1.6555833290000002,-0.0578720459
biocide__h2o2_12h__1,-1.8082578192,-0.044741238700000005
biocide__h2o2_12h__2,-1.4367225953,-0.0823524238
biocide__h2o2_12h__3,-1.3411808512,-0.1002559282
biocide__2ppoh_12h__1,-1.7931845885,-0.0257625665
biocide__2ppoh_12h__2,-2.4532030498,0.0048004959
biocide__2ppoh_12h__3,-2.9096074036,-0.13391379550000002
biocide__paa_12h__1,-1.7982000263,-0.1532055752
biocide__paa_12h__2,-2.0800358695,-0.1453876681
biocide__paa_12h__3,-1.7643823953000002,-0.1806531498
biocide__phe_12h__1,-3.8070976574,-0.3963601042
biocide__phe_12h__2,-2.0566480987,-0.697170782
biocide__phe_12h__3,-2.1805457336,-0.5314356558000001
biocide__pvp-i_12h__1,-0.4043882676,-0.5246860377
biocide__pvp-i_12h__2,-0.8515337657000001,-1.0037411635
biocide__pvp-i_12h__3,-2.3022098741,-0.6690962555000001
biocide__bleach_12h__1,-0.8062842887,-0.5936032461
biocide__bleach_12h__2,-2.2732733857,-0.409602536
biocide__bleach_12h__3,-1.5979783437,-0.18285046430000002
biocide__chx_12h__1,-2.4604214016,-0.4631830243
biocide__chx_12h__2,-1.7832008706,-0.41369495700000003
biocide__chx_12h__3,-0.8695534904000001,-0.42314614580000004
biocide__bzcl_30m__1,1.5004910834,0.2166381639
biocide__bzcl_30m__2,-0.4478142015,0.4429351892
biocide__bzcl_30m__3,-0.2809101169,0.3164981414
biocide__phe_30m__1,2.1812032085,0.046280541200000004
biocide__phe_30m__2,0.09599714250000001,-0.3395036685
biocide__phe_30m__3,0.6360282535,-0.0217780978
biocide__pvp-i_30m__1,0.2206112938,0.1917236606
biocide__pvp-i_30m__2,0.5137558603,-0.0078599675
biocide__pvp-i_30m__3,-0.0760720953,0.095222578
biocide__ctrl_12h__1,0.0549131509,0.1213474841
biocide__ctrl_12h__2,0.7239450452,-0.0868919702
biocide__ctrl_12h__3,-0.9618767641,0.1390304637
biocide__ctrl_30m__1,0.5231527493,0.1921413179
biocide__ctrl_30m__2,0.2059378782,0.025826626000000002
biocide__ctrl_30m__3,-0.7290906274000001,-0.21796794390000002
clpP__wt__1,1.0982624345,0.0162499327
clpP__wt_DPTA__1,-2.1323141404,0.8758168691
clpP__wt__2,0.031103919,-0.4250061573
clpP__wt_DPTA__2,-1.109903529,0.8181061079
clpP__wt__3,-1.1293663535,0.4087562246
clpP__wt_DPTA__3,-0.2773272242,0.9379609579
clpP__delclpP__1,0.24201246210000002,-0.0973215234
clpP__delclpP_DPTA__1,0.2702016631,0.9247761808
clpP__delclpP__2,0.15113338040000002,0.21773937170000002
clpP__delclpP_DPTA__2,-0.7306268472,0.8753622433
clpP__delclpP__3,0.08999006500000001,0.19101327240000002
clpP__delclpP_DPTA__3,-2.6312587823999998,0.7903936147
colombos2__delydcR__1,0.3388643168,-0.0271986305
colombos2__delydcR__2,-1.4588583097,-0.0341198708
colombos2__delydcR__3,-0.0993090242,-0.1303382865
colombos2__delyjiR__1,-0.6284418345,-0.1890338976
colombos2__delyjiR__2,1.020646925,0.20257457780000002
colombos2__delyjiR__3,-1.7837494239,0.09874946180000001
colombos2__wt__1,-0.4170557983,0.21563450350000002
colombos2__wt__2,-0.0426554565,-0.24131350070000002
colombos2__wt__3,0.4597112548,0.0256789972
crp_k100__ar1_ar2__1,-0.221199429,-1.3397461374000001
crp_k100__ar1_ar2__2,-2.0972388847,-1.2801465744
crp_k100__ar1_ar2__3,-1.4957486092,-0.270459756
crp_k100__wt__1,1.1182668175,0.149710501
crp_k100__wt__2,-1.2005397666,-0.1349266602
crp_k100__wt__3,0.08227294900000001,-0.0147838408
crp_k100__K100Q__1,-4.113493332,-0.3675266184
crp_k100__K100Q__2,-1.9468030813000001,0.6267349808
crp_k100__K100R__1,1.5956404757,0.1879683133
crp_k100__K100R__2,2.9363598955,-0.27134201010000003
crp_k100__K100R__3,-0.2051198165,0.034448039
csrA__wt_t00__1,0.3946237167,-0.0930819828
csrA__wt_t02_30__1,-4.0698211587,-0.1729505029
csrA__wt_t05__1,-5.3298706222,-0.2365393695
csrA__wt_t10__1,-4.2467905845,-1.3530617542
csrA__wt_t15__1,-2.6053847626,-2.7368687368
csrA__delcsrA_t00__1,0.2513975764,0.0272063906
csrA__delcsrA_t02_30__1,-3.7822924054,-0.0696458992
csrA__delcsrA_t05__1,-4.6702312644,-0.7551533678
csrA__delcsrA_t10__1,-4.7403263187,-2.3526153391999998
csrA__delcsrA_t15__1,-2.4975839958,-2.5899896913
csrA__wt_t00__2,-0.3946237167,0.0930819828
csrA__wt_t02_30__2,-6.4380875048,-0.3180016841
csrA__wt_t05__2,-6.0800917854,-0.3747322127
csrA__wt_t10__2,-5.1544489822,-1.4789604596
csrA__wt_t15__2,-3.1870924632,-2.8640250365
csrA__delcsrA_t00__2,0.6952532610000001,0.0069709936
csrA__delcsrA_t02_30__2,-3.8263145106,-0.41992040610000003
csrA__delcsrA_t05__2,-3.6264525238000003,-0.6693104037000001
csrA__delcsrA_t10__2,-4.468319016,-1.9892137468
csrA__delcsrA_t15__2,-5.0464595605,-2.5617996198
cstr_pfr__str_0005m__1,0.056892270800000005,0.0543202478
cstr_pfr__str_0010m__1,-0.1417944336,-0.0272765165
cstr_pfr__str_0025m__1,1.057985135,0.2239011776
cstr_pfr__str_0045m__1,0.8677241142000001,0.1813346623
cstr_pfr__str_0075m__1,1.2326166815,0.1292188012
cstr_pfr__str_0120m__1,0.8726845845000001,0.1019474477
