,A,BfmR
MRP__0ug/ml__2.0,-0.0875123389,-0.7578466451
MRP__25ug/ml__1.0,-0.3192102056,0.9074956446
MRP__25ug/ml__2.0,0.5779127713000001,-1.030186082
MRP__100ug/ml__1.0,1.6443686605,-0.5327763641000001
MRP__100ug/ml__2.0,1.169402017,-0.9434980255000001
MRP__200ug/ml__1.0,1.3905560001000001,-0.5549952827
MRP__200ug/ml__2.0,0.35537847840000003,0.4988835702
growth__2h__1.0,-1.1348225847,-0.1159230215
growth__2h__2.0,1.1348225847,0.1159230215
growth__4h__1.0,-4.5007649452,-0.7016664069
growth__4h__2.0,-1.4200912175,0.3482680362
growth__6h__1.0,-6.1397383524,-2.2664322545
growth__6h__2.0,-3.9249702527,-0.7158609703000001
growth__8h__1.0,-7.9002602443,-2.0891873413
growth__8h__2.0,-4.1491436259,-1.440093422
growth__10h__1.0,-5.7399364494,-1.1959907205
growth__10h__2.0,-3.4595044078,-0.928413966
mutants__WT__1.0,1.0014701189,0.07080515500000001
mutants__WT__2.0,-1.0014701189,-0.07080515500000001
mutants__R7__1.0,-0.5113402738,-0.5055320830000001
mutants__R7__2.0,-0.9223077791000001,-0.7317910830000001
mutants__gacA__1.0,-0.4131995699,0.024824565
mutants__gacA__2.0,-0.5732542881,0.089160785
vacJ_LL-37__WT__1.0,0.1767792035,-0.0124000307
vacJ_LL-37__WT__2.0,-0.1767792035,0.0124000307
vacJ_LL-37__WT+LL-37__1.0,3.0421159214,0.0001793797
vacJ_LL-37__WT+LL-37__2.0,4.9631972213,-0.5029049137
vacJ_LL-37__vacJ__1.0,-2.8194957379,0.0666082323
vacJ_LL-37__vacJ__2.0,-2.075493797,-0.870384445
vacJ_LL-37__vacJ+LL-37__1.0,-1.8186522074,-0.34017391690000004
vacJ_LL-37__vacJ+LL-37__2.0,-2.605314568,-0.0680211804
