,A,RhaS,Crp
nac_ntrc__bw_delnac_csn__2,-2.2104181088,0.961354437,0.03216219
nac_ntrc__bw_delnac_cytd__1,-2.2373452626,-0.18549272600000002,0.29367586300000004
nac_ntrc__bw_delnac_cytd__2,-2.2182367312,0.028873017,0.22863865300000003
nac_ntrc__bw_delnac_gln__1,-2.2104798065,-0.0559879,0.505105143
nac_ntrc__bw_delnac_gln__2,-2.8063700838,-0.462502619,0.563775123
nac_ntrc__bw_delnac_nh4__1,-1.3742354813,-0.441324317,0.339165103
nac_ntrc__bw_delnac_nh4__2,-1.9035299569,-0.20032238900000002,0.360235063
misc__wt_no_te__1,0.19070887890000002,-0.255881737,0.32216916300000004
misc__wt_no_te__2,-0.2443484519,-0.29926252000000003,0.315987593
misc__bw_delcbl__1,-2.0000880084,-0.546496314,0.30577407300000004
misc__bw_delcbl__2,-1.6218933787,-0.159704765,0.322569413
misc__bw_delfabr__1,-1.3201725132,-0.269308276,0.194465293
misc__bw_delfabr__2,-1.5372653475,-0.014220157,0.13385438500000002
misc__bw_delfadr__1,-2.1076770652,-0.053609186,0.325118883
misc__bw_delfadr__2,-1.9427584869,0.03394243,0.343466333
misc__nitr_031__1,-0.34765333730000003,0.051912674000000006,0.215598863
omics__wt_glu__1,-0.1479847822,-0.32356359500000004,0.348125933
omics__wt_glu__2,-0.048015999999999996,0.22069972200000001,0.319898823
omics__wt_gly__1,-0.08848711890000001,0.010103260000000001,0.31218181300000003
omics__wt_gly__2,0.2779334556,-0.188711667,0.348980073
omics__wt_thr__1,5.1054696781,1.87595617,0.883560683
omics__wt_thr__2,3.6842921462,1.240463775,1.1275514229999999
omics__bw_ac__1,-1.4021297756,1.635360852,0.46435899300000005
omics__bw_ac__2,-1.5918332649,1.2828379650000001,0.46188222300000004
omics__bw_fum__1,-0.7395359202,1.175906546,0.44664785300000004
omics__bw_fum__2,-0.9401119234,1.274949879,0.49525865300000005
omics__bw_glc__1,-1.8071196214,-0.10440964,0.319951353
omics__bw_glc__2,-1.6579031190000002,-0.140444809,0.360933593
omics__bw_pyr__1,-1.1047461902,-0.155906184,0.8061810030000001
omics__bw_pyr__2,-1.3760053265,1.3079911499999999,0.764467493
ompr__wt_nacl__1,1.1579998195,-0.7842905950000001,-0.686581477
ompr__wt_nacl__2,1.6289777702000001,-0.472387092,-0.620927
ompr__bw_delompr_nacl__1,-0.2152087419,-0.6464410110000001,-1.046248202
ompr__bw_delompr_nacl__2,-0.5130361029,-0.406015915,-1.071490687
minspan__wt_ade__1,-0.40369574820000004,-0.180825796,-0.09169608400000001
minspan__wt_glc__2,-0.7854380846,-0.5005025470000001,-0.171476714
minspan__wt_glc__3,-0.1996950327,-0.327209694,-0.216511799
minspan__wt_glc__4,-1.68719391,-1.031864907,-0.237794143
minspan__wt_glc_anaero__1,-0.0196629633,-0.15305371,0.097308024
minspan__wt_glc_anaero__2,-1.7152231381,-0.9796166420000001,0.0007891440000000001
minspan__wt_trp__1,0.0502728838,0.311268522,0.37930993300000004
minspan__bw_delcra_glc__2,-1.3855618826,-0.465158055,0.207746483
minspan__bw_delcra_trp__1,-1.492643773,-0.5862281030000001,0.245706203
minspan__bw_delmntr__1,-1.9271014565,0.064785111,0.395080543
minspan__bw_delnac_ade__1,-1.6679333343,-0.14627145800000002,0.005806082000000001
minspan__bw_delnac_glc__1,-1.8733217423,-0.5309113870000001,0.19238992300000002
cra_crp__wt_ac__1,0.1580552386,0.9795736310000001,0.7848307330000001
cra_crp__wt_ac__2,0.41415041080000004,0.9201626860000001,0.774460393
cra_crp__wt_fru__1,0.2704580916,0.706853225,0.31349375300000004
cra_crp__wt_fru__2,0.2999172727,0.35904772900000004,0.373244063
cra_crp__delcra_ac__1,0.4720807886,1.280281968,0.205353913
cra_crp__delcra_ac__2,-0.3951112124,1.463515383,0.159225273
cra_crp__delcra_fru__1,0.12964104170000001,-0.535620626,0.12650519300000002
cra_crp__delcra_fru__2,-0.5378985306,-0.041672354,0.163147493
cra_crp__delcra_glc__1,-0.3125657899,-0.411275125,0.046791002000000005
cra_crp__delcra_glc__2,-0.15067297200000002,-0.301177825,-0.014761104
rpoB__wt_031__1,0.1902822458,1.58316045,0.271760703
rpoB__wt_044__1,0.033094515500000005,0.19167536300000002,0.20485867300000002
rpoB__wt_lb__1,0.907000121,1.526620724,0.24727295300000002
rpoB__wt_lb__2,0.8878615088,1.538417492,0.204154523
rpoB__rpoBE546V_031__1,-0.3682388553,0.863650334,0.45717146300000006
rpoB__rpoBE546V_044__1,-0.043790160200000004,0.982373715,0.376256283
rpoB__rpoBE546V_lb__1,1.1689597193,1.237959512,0.11748048200000001
rpoB__rpoBE546V_lb__2,0.5477125994,1.133218433,0.125422963
rpoB__rpoBE546V_glc__1,0.5007069684000001,0.130552587,-0.004082425000000001
rpoB__rpoBE672K_glc__1,-1.0361721452,-0.5674371570000001,-0.66628918
rpoB__rpoBE672K_glc__2,-0.0361580657,-1.5549815599999999,-0.570898456
rpoB__rpoBE672K_lb__1,0.1982864489,0.41751659700000004,-0.228845183
rpoB__rpoBE672K_lb__2,0.0153721025,0.166099393,-0.18410035800000002
crp__wt_fru__1,-0.34776051280000003,0.075048236,-0.134837475
crp__wt_glyc__1,-0.9953426922,0.119559494,-0.06971342200000001
crp__wt_glyc__2,-0.7035231390000001,0.16573643600000001,0.000271048
crp__delar1_glyc__1,0.6224564104,0.7140547460000001,0.768482663
crp__delar1_glyc__2,0.37777700140000003,1.066312072,0.980974663
crp__delar1ar2_glyc__1,-0.0773611917,0.900443403,0.29165508300000004
crp__delar1ar2_glyc__2,0.2917781506,0.526191472,0.25672264300000003
crp__delar1ar2_glyc__3,0.17768597660000002,0.23333040300000002,0.37124749300000004
crp__delar2_glyc__1,0.5734984439,2.268718783,1.429825303
crp__delar2_glyc__2,0.7546397926,2.344474061,1.300445483
crp__delar2_glyc__3,1.0598702678,2.046962001,1.236903523
crp__delcrp_fru__1,-0.1334804594,-0.30006222200000005,-9.852476477
crp__delcrp_fru__2,-0.1337407917,-0.11557279300000001,-9.107951936
crp__delcrp_fru__3,0.23643209380000002,-0.26678037400000004,-9.852476477
crp__delcrp_glc__1,-0.051173622700000004,-0.053585052,-9.025871704
crp__delcrp_glc__2,0.6784809139,0.26910899,-9.566616581
crp__delcrp_glc__3,0.07622525320000001,0.368728186,-9.852476477
crp__delcrp_glyc__1,0.40825448950000004,0.15383204,-9.852476477
crp__delcrp_glyc__2,-0.0382662204,-0.27575908400000004,-9.852476477
crp__delcrp_glyc__3,-0.2772484499,0.038543597000000006,-9.852476477
glu__glu_ale3__1,0.4228610906,-0.551667839,1.438555163
glu__glu_ale4__1,-0.078840807,-0.029652475,0.12370463300000001
glu__glu_ale5__1,-0.7147051668000001,-0.22083461000000001,0.23737495300000003
glu__glu_ale6__1,0.5293410705,-1.24940019,-0.266972174
glu__glu_ale8__1,-0.1726574179,-0.20944520400000002,1.5517659030000002
glu__glu_ale9__1,-0.2923006061,-0.556721255,0.736260553
glu__glu_ale10__1,-0.6906738382000001,-0.545025144,1.248499963
42c__wt_42c__1,-0.6268017401,-0.47380368,-0.022893763
42c__42c_ale1__1,0.7366649128,0.15729468,0.578078713
42c__42c_ale2__1,0.3126451885,-0.521094852,-0.001157444
42c__42c_ale3__1,0.350345666,-0.527570665,-0.163650862
42c__42c_ale4__1,0.8427393902,0.303963835,0.18829674300000002
42c__42c_ale5__1,-0.22610933760000002,0.13352598400000001,-0.255090408
42c__42c_ale6__1,1.2329846184,0.8333665830000001,0.584709813
42c__42c_ale8__1,0.5397766655,0.33336794200000003,0.898060053
42c__42c_ale9__1,-0.271735451,0.16468401300000002,0.234450913
42c__42c_ale10__1,0.8549011860000001,0.112791136,0.5824345430000001
ssw__wt_ac__1,1.0854607647,0.734216521,0.155824183
ssw__wt_glc__1,-0.730444729,-1.064514613,0.08995910700000001
ssw__wt_glyc__1,0.2513375276,1.127868967,0.264629563
ssw__wt_xyl__1,-0.9494728222000001,-0.151642955,0.615108903
ssw__glc_ale1__1,-0.7099580503,0.568470219,0.311997713
ssw__glc_ale2__1,-0.0002478208,-0.544337171,0.5353218630000001
ssw__glc_ale3__1,-0.48879903700000005,-0.546109668,0.445484003
ssw__glyc_ale1__1,-0.6003954355000001,0.5956417970000001,0.29887890300000003
ssw__glyc_ale2__1,-0.4052237121,-0.0013312999999999999,0.302115623
ssw__xyl_ale1__1,3.0739630378,1.332835199,-0.214788422
ssw__xyl_ale2__1,0.5699630889,1.199502023,0.026451149
ssw__xyl_ale3__1,2.1193928282,1.354944668,-0.313835929
ssw__glc_ac_ac2__1,-0.19491432390000002,-1.023272495,0.506935123
ssw__glc_ac_glc1__1,1.3422110925,0.383531161,-0.42053636400000005
ssw__glc_glyc_glc__1,-0.3213578592,0.26591633600000003,0.565682133
ssw__glc_glyc_glyc__1,2.6146117663,1.1248179010000001,0.307042493
ssw__glc_xyl_glc__1,-0.4119737867,-0.329421872,0.029020072
ssw__glc_xyl_xyl__1,0.9500419891,0.47954379,-0.24384744700000002
ica__wt_glc__1,0.044501963900000004,-0.667262918,-0.021205165
ica__wt_glc__2,-0.1237255699,-0.34401593900000005,-0.013075078
ica__wt_glc__3,-0.010082176200000001,-0.039075393,0.093050269
ica__wt_glc__4,-0.7200983715,0.165444863,0.39985849300000004
ica__arg_sbt__1,2.7054893346,0.663596661,0.172960833
ica__arg_sbt__2,-0.2952002267,0.285723753,0.493173503
ica__cytd_rib__1,1.198048693,1.6342415799999999,0.503238653
ica__cytd_rib__2,2.7624475699,1.969052405,0.486485123
ica__gth__1,0.38141822200000003,-0.15417656600000001,-0.34473195700000003
ica__gth__2,0.3627444769,0.045990299000000005,-0.550939686
ica__leu_glcr__1,0.015742242400000002,-0.10790505600000001,1.026079293
ica__leu_glcr__2,-0.3913543715,-0.63920317,0.9645909530000001
ica__met_glc__1,0.22551174710000002,-0.412791106,-0.0020434050000000003
ica__met_glc__2,0.0972456007,-0.40164873900000003,-0.06998529
ica__no3_anaero__1,-0.1232697363,-0.6526888240000001,0.166015523
ica__no3_anaero__2,-1.318975826,-0.368102686,0.165936663
ica__phe_acgam__1,-0.2196619512,-0.43730599000000003,0.08710832
ica__phe_acgam__2,-0.38852710500000004,-0.18900834600000002,0.073714532
ica__thm_gal__1,0.4361491142,0.639294286,0.419092283
ica__thm_gal__2,0.5972632908000001,0.7832350570000001,0.41257850300000004
ica__tyr_glcn__1,0.013662065000000001,-0.32979679900000003,0.211699823
ica__tyr_glcn__2,0.1106348058,-0.23325595100000002,0.24928939300000003
ica__ura_pyr__1,-0.592239862,-0.31318189900000004,0.823666823
ica__ura_pyr__2,-0.0109905731,0.682742839,1.104333543
ica__wt_glc__5,-0.4357286886,-0.242748485,0.31050345300000004
ica__wt_glc__6,-0.45782448080000004,-0.41668406,0.33765284300000004
ica__bw_delpurR_cytd__1,-1.0254409385,-0.7289062310000001,-0.141785767
ica__bw_delpurR_cytd__2,-0.2491589665,0.039188335000000005,0.255483463
ica__ade_glc__1,-0.3878259036,-0.33970583,0.27079068300000003
ica__ade_glc__2,-1.4814143615,-0.933833263,-0.10748262700000001
ytf__wt_glc__1,0.39849401970000004,0.07538439400000001,0.340002173
ytf__wt_glc__2,0.3357995227,-0.16350651200000002,0.487174103
ytf__delyafC__1,-0.4593554346,0.27534379000000003,0.518280163
ytf__delyafC__2,-0.5231048235,0.42452691800000003,0.5586262230000001
ytf__delyeiE__1,-0.6235382774,-0.001042799,0.452821843
ytf__delyeiE__2,-1.1415772363,0.045747675,0.36938018300000003
ytf__delyiaJ__1,0.0961854173,0.34224408300000003,0.49007886300000003
ytf__delyiaJ__2,-0.281921697,0.075657349,0.474334523
ytf__delyieP__1,-0.3889371365,-0.038630553000000005,0.830611623
ytf__delyieP__2,-0.6125770969000001,-0.34102327600000004,0.7498248230000001
ytf__wt_ph5__1,-0.082774888,-0.23784223100000002,0.39857596300000003
ytf__wt_ph5__2,0.3738909852,-0.139507877,0.474739703
ytf__wt_ph8__1,-0.7180285296000001,-1.070248958,0.27564292300000004
ytf__wt_ph8__2,-0.5674030061,0.12762500400000001,0.268154863
ytf__delybaO__1,0.1888029931,0.6615163,0.582376183
ytf__delybaO__2,-0.5200491150000001,0.241888026,0.636744023
ytf__delybaQ__1,-0.4561144033,0.09808953000000001,0.332940493
ytf__delybaQ__2,-0.6559141739000001,-0.35480397,0.32368551300000004
ytf__delybiH__1,0.1294695147,-0.202170379,0.636331983
ytf__delybiH__2,-0.1740934961,-0.056350216,0.554671843
ytf__delydcI_ph5__1,0.1508042399,-0.11343549,0.36809995300000004
ytf__delydcI_ph5__2,0.1711925618,-0.286286704,0.422601483
ytf__delydcI_ph8__1,-0.5365276261,-0.6062471770000001,0.363195763
ytf__delydcI_ph8__2,-0.7459313683000001,-0.6756758180000001,0.30711134300000004
ytf__delyddM__1,0.081971241,-0.12166642700000001,0.8218948030000001
ytf__delyddM__2,0.024584347200000002,-0.44067359,0.832054603
ytf__delyheO__1,0.12849279630000002,0.50575337,0.596168643
ytf__delyheO__2,-0.1423502679,0.301813928,0.633656513
fps__bw_glc__1,-0.8973218558,0.154249465,0.23073483300000003
fps__bw_glc__2,-1.4500423194,-0.30527612800000004,0.160408733
fps__fps_thrA_ale1__1,-1.5244489417,-0.8551637820000001,0.33273120300000003
fps__fps_thrA_ale1__2,-1.5691692862000002,0.022704453000000003,0.351625083
fps__fps_thrA_ale2__1,-1.0436584152,0.082398074,0.22966762300000002
fps__fps_thrA_ale2__2,-1.5787967584,-0.5051882040000001,0.288967533
fps__fps_serB_ale1__1,-1.8054175837000002,-0.134135793,0.263027813
fps__fps_serB_ale1__2,-1.6551514322,-0.148275239,0.38965776300000005
fps__fps_serB_ale4__1,-1.0964684104,-0.5069145230000001,0.20591431300000002
fps__fps_serB_ale4__2,-1.1595704254,-0.165861497,0.360213693
fps__fps_ptsI_ale1__1,-0.7065927146000001,0.370666351,0.045779202000000005
fps__fps_ptsI_ale1__2,-0.9252344584000001,0.735087139,0.144864783
fps__fps_ptsI_ale3__1,-1.0496643974,0.39901080600000005,0.252590313
fps__fps_ptsI_ale3__2,-0.8701536379,0.61088548,0.223236343
pal__lyx_ale2_f6__1,-0.8251249541000001,1.528567061,0.33342218300000004
pal__lyx_ale2__1,1.1474889934,1.487356939,0.264908103
pal__lyx_ale2__2,-0.2851787812,1.005934827,0.307141653
pal__lyx_ale4__1,0.2437226971,0.8846414850000001,-0.057655873
pal__lyx_ale4__2,0.5067515765,0.971807893,-0.070605865
pal__5drib_ale10_f18__1,2.0326631086,2.8307329450000003,-0.069139537
pal__5drib_ale10_f18__2,1.4702643412,2.344983843,-0.022394787000000003
pal__5drib_ale10__1,0.8455300663,2.03099701,0.401836273
pal__arab_ale14_f9__1,0.26631009580000004,0.60765119,0.24554710300000002
pal__arab_ale14_f9__2,0.314135712,0.192442409,0.412722073
pal__arab_ale14__1,-0.25573233030000003,0.099478225,0.376783933
pal__arab_ale14__2,-1.4833732062,-0.15754354,0.375609213
pal__arab_ale16__1,0.8738024366,1.224996735,0.029854537
pal__arab_ale16__2,1.2728417402,1.3809181160000001,0.109766425
pal__tartr_ale26_f10__1,0.29301350670000004,1.6810732480000001,0.311947293
pal__tartr_ale26_f10__2,0.22943099020000002,2.241254075,0.19927317300000003
pal__tartr_ale26__1,0.8378698737,1.884354432,0.385079333
pal__tartr_ale26__2,1.0264340145,1.992727922,0.334463263
pal__tartr_ale28_f10__1,0.4467468101,1.648182622,-0.0037122770000000004
pal__tartr_ale28_f10__2,0.44942640770000003,1.608803028,-0.098690551
pal__tartr_ale28__1,0.4848030499,1.16278707,0.272968543
pal__tartr_ale28__2,0.2542994675,0.8688197230000001,0.268494893
efeU__delmenFentC_citr__1,1.022473381,-0.042282744000000004,0.422197943
efeU__delmenFentC_citr__2,-0.3530913839,-0.194317697,0.567725263
efeU__delmenFentC__1,-0.5464496526,-0.807107871,0.6961985230000001
efeU__delmenFentC__2,0.126489858,0.019248435,0.736210653
efeU__menFentC_ale39__1,0.6057573722,0.015169689,0.5420487930000001
efeU__menFentC_ale39__2,0.3020033808,0.156209644,0.5730386230000001
efeU__menFentC_ale29__1,0.13765023610000002,-0.7129116050000001,0.911502773
efeU__menFentC_ale29__2,1.2096015128,-0.094789755,0.943276293
efeU__menFentC_ale30__1,2.3504452251,0.311820356,0.106685208
efeU__menFentC_ale30__2,0.4477403266,-0.546263029,0.063971556
efeU__menFentCubiC_ale36__1,-0.2301440642,-0.6027240150000001,0.821857583
efeU__menFentCubiC_ale36__2,0.044713856,-0.269653421,0.648169773
efeU__menFentCubiC_ale37__1,-0.3760441276,0.056707681,0.843077653
efeU__menFentCubiC_ale37__2,-1.0234403745,-0.089633374,0.8884085730000001
efeU__menFentCubiC_ale38__1,0.4801065598,-0.39018338300000005,0.348438943
efeU__menFentCubiC_ale38__2,1.309501811,-0.447728428,0.309908293
misc2__salc_glc__1,-0.8589345433000001,-0.804268775,-0.030941686000000003
misc2__salc_glc__2,-0.3479043968,-0.16740422300000002,-0.041858422
misc2__dbcn_glc__1,-0.6685210296,-1.375980577,-0.41418928400000005
misc2__dbcn_glc__2,-0.3787124204,-0.7321410220000001,-0.322180379
misc2__tyr_glc__1,0.4793329378,-0.06522974000000001,0.482338413
misc2__tyr_glc__2,0.060596811300000004,-0.08254758,0.519726133
misc2__arg_cytd__1,0.0633644565,-0.505021504,0.10509646700000001
misc2__arg_cytd__2,0.1305612724,-0.21784386600000002,0.09710128400000001
misc2__delyheO_pyr__1,0.3200548107,0.39489951100000004,1.000412783
misc2__delyheO_pyr__2,-0.1982527197,0.507025841,1.013481493
nquinone__delubiC__1,-0.4760415806,-0.63892258,0.44647993300000005
nquinone__delubiC__2,-0.3626813721,-0.34836906500000003,0.618285233
nquinone__ubiC_ale1__1,0.0928025338,-0.27163836,0.46214110300000005
nquinone__ubiC_ale1__2,0.0717532782,-0.042965457000000006,0.518639853
nquinone__ubiC_ale2__1,-0.5778047247,-0.23464737100000002,0.47472340300000004
nquinone__ubiC_ale2__2,-0.4270849136,-0.577097328,0.429799533
nquinone__ubiC_ale3__1,0.21687592160000002,-0.549921725,0.026469302
nquinone__ubiC_ale3__2,0.160502367,-0.803701984,0.09906102300000001
nquinone__ubiC_ale4__1,-0.5581243414,-0.33166691200000004,0.49321258300000004
nquinone__ubiC_ale4__2,-0.3631805772,-0.015278945,0.508607923
nquinone__delpdhR__1,-0.11974005280000001,-0.57481742,0.38566819300000005
nquinone__delpdhR__2,0.616353991,-0.509266473,0.362990173
quinone__glu_ale4__1,0.3183874257,-0.187497661,0.36842613300000004
quinone__glu_ale4__2,0.6740545708,0.27989326600000003,0.736125773
quinone__delmenF__1,-0.46648241640000004,-0.376845502,0.553279673
quinone__delmenF__2,0.2358957566,-0.597533816,0.42430167300000005
quinone__menF_ale5__1,-0.4636189536,0.35805870700000003,0.904530523
quinone__menF_ale5__2,-0.070667885,-0.412354157,0.929254393
quinone__menF_ale6__1,0.9776622429,-0.025283272000000002,0.9289372330000001
quinone__menF_ale6__2,0.0745229674,-0.189631441,0.9358953230000001
quinone__menF_ale7__1,1.8103629239,0.38248566700000003,0.8647486830000001
quinone__menF_ale7__2,1.6604438492,0.41252146100000003,0.829767083
quinone__menF_ale8__1,0.5239407613,0.285873845,1.000233243
quinone__menF_ale8__2,1.3401130087,0.32052852200000004,0.9954071830000001
quinone__delmenFubiC__1,-0.1658630227,-0.582155445,0.503242803
quinone__delmenFubiC__2,0.5387294269,-0.24853370500000002,0.5733612730000001
quinone__menFubiC_ale1__1,0.1284343959,-0.115310006,0.688985203
quinone__menFubiC_ale1__2,-0.3613949677,-0.341518941,0.689163233
quinone__menFubiC_ale2__1,0.5765045982,0.002718406,0.566404903
quinone__menFubiC_ale2__2,-0.5353925189000001,-0.5796567370000001,0.587592463
quinone__menFubiC_ale3__1,-0.3709236132,-1.192118018,0.10847917900000001
quinone__menFubiC_ale3__2,0.4241246698,-0.47387886500000004,0.14360144
quinone__menFubiC_ale4__1,-0.1704798012,0.067269329,1.042582673
quinone__menFubiC_ale4__2,-0.7058374913000001,-0.058000624,1.027989663
oxyR__wt_glc__1,-0.8199435486000001,-0.6379384640000001,0.09382866100000001
oxyR__wt_glc__2,-0.3731331988,-0.122569626,0.13043923
oxyR__wt_h2o2__1,-0.7006600967000001,-0.306423359,0.057576022000000004
oxyR__wt_h2o2__2,-0.4658280155,-0.61558519,0.46187418300000005
oxyR__glu_ale4__1,0.208836923,-0.156045561,0.7723290730000001
oxyR__glu_ale4__2,0.31646674420000004,-0.278516072,0.495795953
oxyR__glu_ale4_h2o2__1,0.1305844906,-0.11621592400000001,0.621328373
oxyR__glu_ale4_h2o2__2,-0.2593344708,-0.35903079200000004,0.486348433
oxyR__oxyR_ale17__1,-0.3439409556,-0.778599822,0.13801763
oxyR__oxyR_ale17__2,-0.3717231272,-0.8907175860000001,0.15520324300000002
oxyR__oxyR_ale17_h2o2__1,-0.7648606746000001,-0.86713481,0.211227453
oxyR__oxyR_ale17_h2o2__2,-0.5473932715000001,-0.6817544910000001,0.156206473
oxyR__oxyR_ale18__1,-0.40439243500000005,-0.538877355,-0.23326590800000002
oxyR__oxyR_ale18__2,-0.2759199813,-0.397759745,-0.08594182800000001
oxyR__oxyR_ale18_h2o2__1,-0.1702884466,-0.313743084,0.027939159
oxyR__oxyR_ale18_h2o2__2,-0.2396648526,-0.44301282500000005,0.095125363
oxyR__oxyR_ale19__1,-0.23321896660000002,-0.588535845,-0.186683067
oxyR__oxyR_ale19__2,-0.19109980070000002,-0.18544839700000001,-0.08065952300000001
oxyR__oxyR_ale19_h2o2__1,-0.1651342305,-0.302288014,-0.32169368600000003
oxyR__oxyR_ale19_h2o2__2,-0.5000998015,-0.580286433,-0.22926116100000002
oxyR__oxyR_ale20__1,-0.5338785329,-0.46910294,-0.29073972200000003
oxyR__oxyR_ale20__2,-0.7332594494,-0.9754055020000001,-0.328630297
oxyR__oxyR_ale20_h2o2__1,-0.6331108276,-0.411347369,-0.103214605
oxyR__oxyR_ale20_h2o2__2,-0.15670199170000002,-0.425077959,-0.05797147800000001
svns_pgi__BmePgi24_15__1,-0.4686744196,-0.278492318,0.20789728300000002
svns_pgi__BmePgi24_15__2,-0.3052000043,-0.039616803,0.288214413
svns_pgi__BmePgi24_26__1,-0.5466215928,-0.116115462,0.16856253300000001
svns_pgi__BmePgi24_26__2,-0.0675600044,-0.136549901,0.144982372
svns_pgi__BmePgi24_41__1,-0.0931012358,0.13488794,0.495849313
svns_pgi__BmePgi24_41__2,0.0240788299,-0.161855899,0.08223337900000001
svns_pgi__BmePgi24_52__1,0.019901924,-0.352308127,0.260077643
svns_pgi__BmePgi24_52__2,-0.0547080847,-0.342856649,0.110092349
svns_pgi__PaePgi2_34__1,0.22227587470000001,0.5023403820000001,0.946417433
svns_pgi__PaePgi2_34__2,0.0712562566,0.7474130290000001,0.980365153
svns_pgi__PaePgi2_63__1,0.7141482195000001,0.5899441790000001,0.9986914830000001
svns_pgi__PaePgi2_63__2,0.7748864011000001,0.061907183000000005,0.9749593430000001
svns_pgi__PaePgi24_54__1,0.0461592152,0.121763148,0.830338573
svns_pgi__PaePgi24_54__2,0.22608349660000002,0.543614923,0.926503413
svns_pgi__PaePgi24_90__1,0.3031431904,0.396929892,0.8096897230000001
svns_pgi__PaePgi24_90__2,0.1996925497,0.49602934,0.9991721830000001
abx_media__m9_ctrl__1,-0.1620043162,-0.708085635,-0.219087253
abx_media__m9_ctrl__2,-0.43914584840000004,-1.321128165,0.06872793
abx_media__rpmi_ctrl__1,0.41849123190000004,-0.777453013,0.181883243
abx_media__rpmi_ctrl__2,0.11431674700000001,-0.7663434440000001,0.46045822300000006
abx_media__camhb_ctrl__1,-0.2609668866,-2.226677481,-1.466715649
abx_media__camhb_ctrl__2,0.3343216397,-1.571827704,-1.564214307
abx_media__m9_mero__1,-0.41183332110000004,-1.220337138,0.10006032100000001
abx_media__m9_mero__2,0.0346762334,-1.125343763,-0.24440689100000001
abx_media__rpmi_mero__1,0.9777472816,-1.075633184,-0.15585906600000002
abx_media__rpmi_mero__2,1.2698068775,-1.020653614,0.12222331400000001
abx_media__camhb_mero__1,0.5451229823,-1.482724022,-2.568928611
abx_media__camhb_mero__2,0.6231315787,-1.240102567,-2.37205329
abx_media__m9_trisulf__1,-0.0663469433,-0.9068113510000001,-0.13952741600000002
abx_media__m9_trisulf__2,0.4306156926,-1.117243654,-0.121563182
abx_media__rpmi_trisulf__1,0.5169003804,-1.210212901,-1.138543574
abx_media__rpmi_trisulf__2,0.7584292198,-1.091311549,-1.125744815
abx_media__camhb_trisulf__1,0.3728466083,-1.2578804940000001,-0.616348749
abx_media__camhb_trisulf__2,0.4790717681,-0.7789009640000001,-0.651084973
abx_media__m9_cef__1,-0.0360619833,-0.929598039,-0.424559634
abx_media__m9_cef__2,0.2405994297,-0.675081448,-0.35219075800000005
abx_media__rpmi_cef__1,0.9214986141,-1.116498104,0.17718560300000002
abx_media__rpmi_cef__2,1.0903735167,-0.57622746,0.253641923
abx_media__camhb_cef__1,0.5052685084,-1.141361292,-0.8382274850000001
