,PA5314
SRX3324112,0.145503251
SRX3324113,-0.145503251
SRX3324116,0.513241692
SRX3324117,0.09237740500000001
SRX7058493,0.242488152
SRX7058498,-0.17134758600000002
SRX7058499,-0.09467405300000001
SRX7058500,0.018789967
SRX7058501,-0.10440341
SRX7058502,-0.8163144640000001
SRX7058503,-0.7660316180000001
SRX7058504,0.037959583000000005
SRX7058505,-0.7350648070000001
SRX7058506,-0.7117935980000001
SRX7058508,-0.883842396
SRX7058510,-0.11735907300000001
SRX7058511,-0.16308866200000002
SRX7058512,-0.516735645
SRX7058513,-0.585662538
SRX7058514,-0.6920090280000001
SRX7058515,-0.49006668700000006
SRX6874325,-0.008935595000000001
SRX6874326,0.149933291
SRX6874327,0.22771412600000002
SRX6874328,-0.28736161600000004
SRX6874329,-0.08135020800000001
SRX6874330,0.27501182900000004
SRX6874331,0.22983964
SRX6874332,0.04304695
SRX6874333,0.072010182
SRX6874334,-0.724456525
SRX2255950,-0.68694361
SRX2255951,-1.085979239
SRX2255954,-0.040959699999999995
SRX2255955,0.040959699999999995
