,A,PrpR,Cra,Crp,RpoN
SRX1125299,0.7287944547,1.2556219867,-0.2651798535,0.50143841,-0.2044310802
SRX5694250,-1.21560387,-0.7295218174,0.7869246933,-0.4516798918,1.436026237
SRX5694251,2.3213239086,-0.2041192554,-1.9643924144,-1.8893970692000002,-0.4394529035
SRX5694252,1.4361692136,1.1638488654,0.2616035103,-0.1701238306,0.8772278743
SRX5694253,0.5484628783000001,1.1709450252,0.0813911834,0.1340371706,0.48399777580000003
SRX5694254,3.1347560476,2.2971688859,-1.1465008338,-0.8477189713000001,0.5157631166000001
SRX5694255,1.830311441,-0.08223701850000001,-3.3721230493,0.1307715067,-0.47626519900000003
SRX5694256,-0.8261345825,-0.2206209717,0.11221218470000001,-0.2340068764,0.2802484757
SRX5694257,-0.42937277430000004,1.0600773551,-1.3980611692,-0.33700626310000004,0.5245333254
SRX5694258,-0.7497460009,0.193945578,0.2467512605,-0.2857852433,0.6253545409
SRX5694259,2.1516555803,0.3546634594,-2.6432952439,-2.9247054987,-1.1569223535
SRX5694260,-0.0944651661,0.0785707935,0.2581778823,0.0899715865,0.47138731170000003
SRX5694261,1.4032460679,0.724488629,-0.0287932522,-1.6070723407,1.1163565781
SRX5694262,-0.8253647613,1.1423578241,0.6316982481,-0.5390842036,1.0148136427
SRX5694263,-0.8866239398,-0.5618437991,0.0781090031,-0.0980165268,0.17737386800000002
SRX5694264,-0.9353369209,-0.3238098937,-0.4752620474,0.2016373309,0.29679740990000003
SRX5694265,-0.5470710738,-0.4066543527,0.4332073776,-0.2490351859,0.0454729513
SRX5694267,1.3227196219000001,1.2558593212,0.0325016821,0.0411821817,0.3122538416
SRX5694268,-0.40644936060000003,0.49995019760000003,0.3834597617,0.0231238538,0.2227196066
SRX5694269,-0.2310164925,0.3907235424,0.5965422085000001,0.0476350313,0.5063994107
SRX5694271,-0.7327543901,0.11643871880000001,0.1308253183,0.24713669740000002,0.3051735166
SRX5694273,1.1857382110999999,-0.1237264389,-0.8388425719,-1.5465123927,-0.5165923039
SRX5694274,-0.6710594480000001,0.0537784621,0.6751682776,0.2066153554,0.2233186073
SRX5694275,-0.0285277165,0.0581736724,0.9108492799000001,-0.5157335737000001,0.29327006640000003
SRX5694276,1.8276293570000002,0.1830898507,-1.1208930686,-1.8223907651,-0.4751825277
SRX5694277,-0.8752343514,0.3390158505,0.21406610210000002,0.36042412560000003,0.7141301084
SRX5694278,0.10492103230000001,0.2676397851,-0.4068578344,-1.3002511837,-0.1250149644
SRX5694279,-1.695078888,0.8441213301,0.44640647380000004,0.3379205155,0.1832669966
SRX5694280,-0.3884363595,0.4380029955,0.045534809600000004,-0.6834405493,0.24005400300000002
SRX5694281,-0.9933852151,0.3228413627,0.6982458443,0.1656640608,0.46972722450000004
SRX5694282,3.0420999167,-0.0330600948,-1.9874404964,-0.9934080376000001,-1.4643864076
SRX5694283,0.2853555499,0.33179053010000004,-0.38277561260000004,-0.3443110079,0.1260201991
SRX5694284,0.0424273327,-0.0583696375,-0.5035923001,-0.9407234058,0.3343991052
SRX5694285,-0.6424836126,-0.7295218174,1.0192005981,-0.0040549861000000005,0.4390523529
SRX5694286,0.062792081,-0.1550676848,0.7719019076,-0.1478341465,0.0244285967
SRX5694287,0.2136614286,0.4105487266,-0.052083887700000005,-0.1558928562,0.8885968622
SRX5694288,-0.7352097213000001,0.1769099002,-0.2371284206,0.2764607147,0.0717713583
SRX5694289,1.9035784894,1.2837194856,-0.0507022806,-0.14661147630000002,0.0577123861
SRX5694290,-0.5348592068,-0.10255269110000001,-0.5041378015,0.2201400917,0.3177105557
SRX5694291,2.0123560351,-0.0378608867,-3.2518194953,0.1874058842,-0.515894651
SRX5694292,-0.9717935540000001,0.730039709,0.5148069151,0.0513472187,0.5026956472
SRX5694293,-0.6561862707,-0.0727413079,0.2921819518,0.3866879371,0.25320663050000003
SRX5694294,1.3000267513,1.0532513042,0.09906589140000001,-0.0602559214,0.399044075
SRX5694295,0.8244555923,2.1790466396,-0.9248653221,-1.4743546362,-0.1980047811
SRX5694296,1.2655158292,0.253417544,0.0783119691,-0.13444608700000002,0.44623232
SRX5694297,2.7682968665,2.1260360481,-1.4474649046999999,-1.621907484,-1.6569644717
SRX5694298,0.309714827,-0.21985124620000002,0.24395055710000002,-0.0376343135,0.3805901292
SRX5694299,-1.364351024,-0.4652063551,-0.0396580453,-0.0810478849,0.1000790257
SRX5694300,-0.8747614602,-0.3119846238,-0.444195335,0.1296583874,-0.6047470268
SRX5694301,-1.0030010353,-0.2984865959,0.6848183492000001,0.2017965224,0.5817327388
SRX5694302,-0.33326214800000004,-0.0460313685,-0.2074547953,0.1490464558,0.4131544234
SRX5694303,-1.0117630552,-0.2491589729,-0.3665347619,0.2623448043,0.3139018471
SRX5694304,-0.4976814902,-0.09110621120000001,-0.3004042504,-0.22631582460000002,-0.4614786729
SRX5694305,5.9201518139000004,2.6618153505,-1.956959367,-1.9945889461,-0.8711782534
SRX5694306,-0.2547555678,1.491866294,1.1549827568,-0.303318389,1.6330404249
SRX5694307,2.4183547359,0.1541413225,-1.8424156250000001,-0.9213934478,-1.4325930877
SRX5694308,-0.2929428967,-0.2333658207,-0.4115024249,-0.5542551321,0.049925419000000006
SRX5694309,0.4480951494,-0.0799118107,-2.491041828,-2.4371824129,-0.8530769732
SRX5694310,1.3556883914,0.8627925789,-0.21317231320000002,-0.6975730314,0.06588176800000001
SRX5694311,1.5102126042,0.21717452680000002,-2.3858561979,-2.788252041,-1.1962969357
SRX5694312,-0.1362543996,-0.044563097600000004,0.5017693683000001,-0.46271994780000003,1.1805175986
SRX5694313,1.6605067720000002,1.7820726381,-0.380546541,-1.0117169578,0.0344397316
SRX5694315,0.0194910243,-0.1975607064,0.1581059554,-0.1729404675,0.0497336679
SRX5694317,-0.0465747678,0.9586208795000001,1.0830491121999999,0.2138522692,0.4801215364
SRX5694319,0.8373299373,0.7539974324000001,-0.282687005,0.22403181360000002,0.1248055101
SRX5694320,2.946329525,0.1516383412,-3.0070167331,-0.09237995040000001,-0.3918043912
SRX5694321,4.8379014633,2.607979189,-0.5811062264,-0.38942819040000004,0.0971589638
SRX5694322,2.0051334031,-0.1255022446,-0.6505409267000001,-1.1362642293,0.3781390592
SRX5694323,4.9636574835000005,2.5178860271,-0.38795174190000004,-0.41342659340000004,-0.0185690991
SRX5694324,2.7505272664,0.9982731827,-0.8694942068,-1.6036324816,-0.2968713899
SRX5694325,0.9288053752000001,0.009206223500000001,-1.0863040595,-0.5104274184,-0.2798995233
SRX5694326,-0.7096861432,-0.0081154354,0.1716691594,-0.1584196907,0.2366626578
SRX5694327,1.1708264907,0.5363855028,-0.29180052300000003,-0.6589226995,0.1175635035
SRX5694328,0.0093977325,-0.0182935933,-0.2578289723,0.1764471632,0.0778313483
SRX5694329,3.8294405283,2.7028224403000003,-1.1029578843,-0.5799739837,-0.482735487
SRX5694330,-0.2220289282,-0.7295218174,0.5883921036,-0.6950204566,1.1987243344
SRX5694331,-1.1264970596000001,-0.2585548393,-0.0315979718,0.245553549,0.3867353197
SRX5694332,3.0538013586,1.4814181976,-0.3307579353,-0.24882076420000002,-0.0592366311
SRX5694334,0.2578735947,0.4794861689,-0.5558390831000001,-1.0972302127,0.361309818
SRX5694335,3.0707361685,2.2763603558,-1.7615590003000001,-2.0210704043,0.1986005924
SRX5694336,0.8234685698,0.1950121622,-1.7568379058999999,-1.6584843203,-1.1852549083
SRX5694337,0.7041253469000001,-0.2199390638,0.1660500036,-0.2397944182,0.31348030800000004
SRX5694338,-0.8858842045,0.3307972591,0.48433845670000003,0.1989831632,0.1895157472
SRX5694339,0.3796924443,0.8081773517,-0.3263923486,0.10670366340000001,0.0003915057
SRX5694340,-0.7597632593,0.7532259332,0.46525192070000004,-0.1227589166,0.7509322677
SRX5694341,1.5608556059,0.33910455500000003,-2.0357395307,-1.4531793695,-1.2288856103999999
SRX5694342,2.1484642016,1.2956304851,-1.6318591136,-1.642695013,-2.0587907643
SRX5694343,5.4531079343,3.75365796,-0.4210968036,-0.659556922,0.5754528234
SRX5694344,1.0819657681,1.2564445083,-0.8271836069,-0.5482364304,-0.5423701563000001
SRX5694345,0.4230056298,0.33459776220000004,-0.235260515,-0.1455592358,-0.0655542478
SRX5694346,4.9381730168,2.9745536261,-0.5404264046,-0.6506498564000001,-0.43426283600000004
SRX5694347,0.9639889234000001,0.6697073090000001,-0.1281517943,-0.0665078507,0.27130681500000003
SRX5694348,-1.0610430726,-0.0791849097,0.8024695425,0.0163008612,0.40267153240000003
SRX5694349,0.6440763047,-0.7295218174,0.6949377064000001,0.3281616036,0.0766455533
SRX5694350,-0.3199053719,0.1516297118,-1.794658864,-1.3897674496999999,0.5938319508000001
SRX5694351,4.753295091,1.5124840763,-1.8545558817,-0.94657928,-0.6893900788
SRX5694352,-1.7517396411,1.1635612036,1.4236078071,-0.11358356480000001,0.3216071352
SRX5694353,-0.7085685861000001,0.438654382,-0.1422608386,0.2090437913,0.1661161452
SRX5694354,-0.5591567629,1.2765175105,0.8253414572000001,0.156288703,0.1536875017
SRX5694356,-0.8962653243,-0.0804029019,0.015944328900000002,0.1914919696,0.1318068886
SRX5694357,1.6124670537,-0.3066408677,-1.6910187156,-1.6521756011000002,-2.0873112251
SRX5694358,2.1101055775,2.3921306014,-2.0946863412,-0.2527058608,0.13625533880000001
SRX5694359,-0.1390029298,-0.7295218174,0.5257695536,-0.30657057660000003,0.1035761797
SRX5694360,0.096209603,-0.0271477052,0.2565888257,-0.2669976047,0.0686106756
SRX5694361,2.6773034979,0.4547520459,-0.5893973720000001,-1.0307723459,0.7751869361
SRX5694362,-0.7190452299,-0.3084170673,0.9156420854,-0.0309958632,1.2666739765
SRX5694363,-0.9525670796000001,0.3535513498,-1.1846501745,-0.3804310446,0.8183508658
SRX5694364,-0.7716770169,-0.7295218174,-2.2733299144,-2.3462003852,-0.602350214
SRX5694365,0.9145908311000001,0.7059812529,-0.3041345535,-0.6041545277,1.8751403472
SRX5694366,-0.6264014880000001,-0.08742337380000001,-0.6094488481,-0.054980210200000004,0.1431744405
SRX5694367,1.2423835465,0.4626716393,-1.0523985637,-0.7076949831,-0.25559654600000004
SRX5694368,-0.28260259730000004,-0.22035550140000001,-0.2124608039,0.1102525246,0.32443566830000004
SRX5694369,-0.6416381321,0.0483320005,1.1846757806000001,-0.0590977866,0.3540685267
SRX5694370,0.8230515635000001,0.3805948511,-0.1143937765,-0.22081801820000002,0.3335097184
SRX5694371,0.9112474022,-0.5221723642,-2.2488264197,-2.3057897995,-0.7729734864000001
SRX5694372,0.012334518800000001,-0.1989692126,0.5414791011,-0.3165443482,0.3623249183
SRX5694373,1.6827612955,1.5959933395,-1.7994636388,-1.5399098517,0.4264630231
SRX5694374,1.8835082952,-0.2174945742,-2.8797694036,-0.3411830033,-0.5119814499
SRX5694375,-0.6996050459,0.2085332083,0.7292042436,-0.0340696975,0.3829448741
SRX5694376,-0.6509943393000001,0.1511191704,0.1506402454,-0.31705369640000003,1.2563867105
SRX5694377,2.9733731124,-0.017400260600000002,-2.2825630053,-0.5697764494,-0.40610684150000004
SRX5694378,-0.3476290374,-0.1661337917,0.5598154293000001,-0.31765341210000003,0.2070871461
SRX5694379,-0.380222537,-0.5448279180000001,0.0412895322,-0.25011430100000004,0.8095988900000001
SRX5694380,5.0600816257,3.3164740296,-0.39142262170000003,-0.8373204843000001,-0.3638890656
SRX5694381,0.962766836,0.7233186291,-1.5052256722,-1.2728116676,-1.7587812473
SRX5694382,3.6758824023,2.4001125969,-0.4343343082,-0.025511662,-0.0236915871
SRX5694383,-0.6661290744,0.1515959359,0.9490607440000001,0.1480773849,0.2270913317
SRX5694384,-0.42121445760000004,-0.2262693627,-0.13238774720000002,0.1439389809,0.390126913
SRX5694385,-0.3168172561,0.2578659572,-0.282860869,0.0779751018,0.5741467445
SRX5694386,1.9088141278,0.0455734462,-1.5334891602,-2.8414442095,-0.8383837954000001
SRX5694387,-0.6164681462,-0.2695582922,-0.5990392219,0.0426535923,0.1949048065
SRX5694388,2.772134287,0.7423580343,-0.9108944941,-1.6022828696,-0.2965190891
SRX5694389,-0.2037776141,0.0650307304,0.6804196523,-0.0800003088,0.9072279491
SRX5694390,-1.0194686466,0.29677970670000003,0.7349275142,0.0001683552,0.4760578098
SRX5694391,-1.2499277007,0.010368857300000001,0.6911968565000001,0.1315329539,0.5942382494
SRX5694392,-0.8396060663,-0.1343049769,0.6084073021,-0.1486598298,0.5502041329
SRX5694393,-0.3070183242,-0.1176684306,0.0359138691,0.232671539,0.3985351669
SRX5694394,-0.928262043,-0.11191023230000001,0.5805534557,0.2168248136,0.4755069677
SRX5694395,-0.8022960418,0.15346813180000002,-1.2865579975,-0.3791651303,0.7593384199000001
SRX5694396,2.2415561445,1.0137589702,-1.8854855527,-0.8353134788000001,-0.9437514518000001
SRX5694397,-0.38522784790000003,0.1089982167,-0.3937749486,-0.0202364792,-0.0088024738
SRX5694398,-0.1475022986,0.2110460849,0.0569337061,-0.0607073754,0.11731256200000001
SRX5694399,-0.3009054531,0.5875885466,0.1522864267,-0.2527744328,0.4245258925
SRX5694400,-0.7344911302,-0.2321922421,0.1717118156,-0.1981004934,0.0221495772
SRX5694401,-0.12444667640000001,0.47281909450000004,1.0669769225,-0.021523506600000002,0.1553514222
SRX5694402,2.3495371299,0.8590787771,-1.5300362451,-2.6700349591,-0.9067002987
SRX5694403,0.1127810786,-0.7295218174,-0.9539721666000001,-0.9103162108,-0.7663768052000001
SRX5694404,-0.6780066775,0.0241550861,0.49571781130000003,0.0943710534,0.34302064460000004
SRX5694405,1.2425269806,0.9852325180000001,-0.3398812852,-0.1829334597,0.5641164744
SRX5694406,0.6205671565,0.16705464890000002,-0.40342935360000004,-0.3972091841,0.3852142324
SRX5694407,-0.2537840307,-0.033339025200000004,0.1689494005,-0.2638287498,-0.0143963799
SRX5694408,-0.1789565374,-0.10521102510000001,0.0972084373,0.0417388443,0.2120925827
SRX5694409,2.258109376,0.8110663258,-1.0433339282,-2.2693012292,-0.0535992765
SRX5694410,-1.225974898,-0.7295218174,0.6151469783,-0.1972134109,1.1368348911
SRX5694411,1.6798801413,0.5672632863,-0.8081406531,-0.8663395759,0.2581631515
SRX5694412,-0.1689096481,-0.16522381560000002,0.249143368,0.1259657223,0.2098929226
SRX5694413,6.8521370695,3.3482090125,0.4965244495,-0.6476176532,0.716158543
SRX5694414,-0.7294792553,0.5919842064,-1.209235546,-1.42088019,-1.8195500993
SRX5694415,-1.3419502547,0.3668424242,0.6527414339000001,0.007690172800000001,0.3895025579
SRX5694416,0.0593547923,-0.4402615634,0.075576312,0.0575483496,-0.014744452600000001
SRX5694417,0.9312173722,1.1820596366,-0.2659597963,0.2665585241,0.2542183783
SRX5694418,1.4807653847,0.9130970671,-1.8484214817,-1.9463157999,-0.8593610486000001
SRX5694419,0.9400943568000001,-0.0968582078,-1.436213482,-1.5689931018,-0.9487100239
SRX5694420,-0.6674850787000001,-0.0118833745,0.292098705,-0.0638843971,0.3007382105
SRX5694421,0.0319266732,0.0794833479,-0.6780960715000001,-0.6176702001000001,-0.1313019466
SRX5694422,-0.5440383321,0.619769943,0.48036271620000004,-0.058214080700000004,0.6589152801
SRX5694423,0.0152876209,-0.2410169107,-0.6009751059,-0.3208467193,-0.3706064465
SRX5694424,0.20380235870000002,0.33102099030000004,-0.1478295309,-0.3043319677,0.0097559328
SRX5694425,0.36518061960000003,-0.178287527,0.7750522138,0.2263080572,0.4438443918
SRX5694426,-0.4433482153,0.1572579509,-0.6969591940000001,-0.6604587882,0.093635272
SRX5694427,-0.6252608076,0.32428057180000003,0.47815821950000004,0.1652363888,0.5502023702000001
SRX5694428,-0.4589489175,-0.4820012268,0.9893608411,0.073808526,0.23941242100000001
SRX5694429,2.9750321169,0.5994194194,-1.2653026277000001,-1.4421129371,-0.7440725934
SRX5694430,-0.7099791269,0.0770404563,0.4184569051,0.0124821121,0.4683853437
SRX5694431,2.5696967399,1.8120608032,-1.1638421847,-0.0624036472,0.5657900501
SRX5694432,0.039941134100000004,-0.5554081995,0.5863456874,-0.3304413054,0.1570129421
SRX5694433,6.0874736673,3.9803580415,0.5650166218,-0.8187488844,0.7747464813
SRX5694434,6.5505146148,3.7395325119000002,-1.0984562915,-0.6212632720000001,-0.2931713245
SRX5694435,0.7303523470000001,-0.5032708419,-2.0109253777,-2.0377494386,-0.5449878411
SRX5694436,2.4097326913,0.3682949761,-1.3485028145,-2.3919325405,0.0784509131
SRX5694437,0.47190214540000003,1.5918243244,-0.5280297472000001,-0.2507206522,0.7547704340000001
SRX5694438,-0.43446315830000004,0.0090947825,0.6857065432,0.07346573220000001,0.3536250526
SRX5694439,1.8110325511,0.0671832983,-1.6318165128,0.3143882568,0.8746578005000001
SRX5694440,0.1503333014,-0.7295218174,-0.06482303040000001,0.1617989176,0.29936246310000003
SRX5694441,3.8217947385,1.9704145186000002,-1.0195210225,-0.4081937196,-0.4710809825
SRX5694442,2.0363881648,1.2711082495000001,-0.9328703077,-1.7002395932,-0.326672564
SRX5694443,-0.4273911141,-0.2786719091,0.4973491512,0.1538530863,0.3962943741
SRX5694444,-1.1423908284,-0.41269695780000004,0.8080966286,0.1414549701,0.37532094790000003
SRX5694445,2.8719959333,1.7678182769,-1.5690303947,-1.7943494913,-0.6216938097
SRX5694446,-1.6622619029,-0.1574451811,-0.193287018,0.2193526747,0.13931253130000001
SRX5694447,-0.6607576526000001,-0.1711996835,0.7843616708000001,-0.3849941899,0.558718774
SRX5694448,-0.8279685947000001,1.2940188749,0.2772773824,-0.732440443,0.9320456988
SRX5694449,-0.166978607,0.1853270766,0.4312175016,0.1017285234,0.3979415361
SRX5694450,-0.5314627703,-0.7295218174,0.1371330278,-0.2163555027,0.9156218947
SRX5694451,-0.7102216744000001,-0.045479243100000004,0.0880159845,-0.1832599433,0.0770701456
SRX5694452,1.7154094179000001,0.6691675075,-2.0064355262,-0.9702752261,-0.9236914394
SRX5694453,4.4858820458,3.5850188008,0.7160194373000001,-0.7029806271,0.8473467504000001
SRX5694454,-0.9165836692,-0.24468286820000001,-0.0219061857,0.2689052974,0.3170738315
SRX5694455,1.1007248088,-0.7295218174,-1.7401859745000001,-1.7485042558,-1.1251574594
SRX5694456,-0.2065871944,-0.2654916308,-0.13764546290000002,0.2638014382,0.39791129080000004
SRX5694457,0.0723655413,1.0813824001,-0.12439889450000001,0.1813226141,0.3648318555
SRX5694459,-1.3692135465,0.056769076,-0.4953257364,-0.0659537084,0.5319673363
SRX5694460,1.122415995,0.1177861764,-1.8144474763,-2.6935232182,-0.775060662
SRX5694461,-0.6012910492,-0.1505992921,0.6515780167,-0.24608755940000002,0.3689014584
SRX5694462,0.6794786886,0.2859931492,-0.6463130855,-1.4072956342,0.0294679464
SRX5694463,-1.0247035184,-0.1288958411,0.5590132598,0.13500124700000002,0.4541069357
SRX5694464,0.17714202980000002,-0.7295218174,0.7377327490000001,-0.16266356510000002,0.4279902372
SRX5694465,-0.7546235866000001,-0.1946538481,0.3955473585,-0.08100398930000001,0.3348146301
SRX5694466,0.2349200444,2.2667058476,-0.5943358821,-0.0203257193,0.8618926901
SRX5694467,-0.7511410641,-0.3510278831,-0.312031323,-0.0864598209,0.0201267037
SRX5694468,2.7359566352,0.7744250302,-2.7418967045000002,0.09512308080000001,-0.16178331940000001
SRX5694469,-0.5407761911,0.8356005268000001,0.0787107762,0.056592892000000006,0.37991272070000004
SRX5694470,-0.0925684865,0.34365250540000003,-0.0775931141,-0.0203162279,-0.037277264500000004
SRX5694471,-0.5298041868,-0.5390095563,0.0086808589,0.08127249760000001,0.3548311478
SRX5694472,-0.3202896476,0.3281173799,-0.5439747382,-0.42764759150000003,0.1030718915
SRX5694474,-0.3020260495,-0.4958506361,0.24816900530000002,-0.3318785326,-0.0312494943
SRX5694475,-0.9168060849,-0.2491319167,0.519782485,-0.1072682971,0.4373284991
SRX5694476,0.3764306409,0.5895580226,0.7406089015,0.2832759084,0.48419750240000003
SRX5694477,1.3965627911,-0.10432524280000001,-1.6564637059,-2.220698214,-0.7107889245
SRX5694478,-1.1961184607,0.5906073765000001,0.9828303522,-0.324421403,0.8456941073
SRX5694479,3.0987068092,1.6453657342999999,-1.9493855193,-2.078741852,0.344381459
SRX5694480,3.6785460097,2.8152470961000002,-0.7389979591,-0.8986833081000001,0.5506100709
SRX5694481,0.0323353507,-0.1595881297,0.5831883902,-0.39061972300000003,0.5508957859
SRX5694482,-0.9138454596000001,0.0359476319,-0.0400861278,0.5302146851,0.0168630616
SRX5694483,0.3556804054,0.0698723232,0.38496605300000003,-0.0648156579,0.39087303290000003
SRX5694484,-1.2201486727,-0.7295218174,0.3057779418,-0.2015433442,0.0445700484
SRX5694485,-1.1714910577,1.0592076196,1.0814096019,0.0561230447,0.7730122446000001
SRX5694486,-0.24187303970000001,0.0560168989,0.2956034265,0.1840419059,0.2524576478
SRX5694487,-0.0051779761,-0.4203264163,0.8273412322,-0.0687134662,0.4396618196
SRX5694488,-0.3362178045,-0.0693580354,-0.018987965000000002,-0.0029101905,0.0991312743
SRX5694489,0.3308266412,0.1200002231,-0.2574594905,-0.2414092729,0.2002313933
SRX5694491,1.7844219866,-0.364727876,-0.5142443918,-1.3992598427,-0.30735370970000003
SRX5694492,1.1683473799,0.1061915811,-1.1588349234,-1.4757436121,-0.5015458618
SRX5694493,2.6906072001,0.019627121,-2.0864197647,-1.5239909109,-0.9672754863
SRX5694494,-0.10244085200000001,-0.224498737,-0.1191076226,-0.5778881676000001,0.5316735566
SRX5694495,-1.1299451001,0.1718060543,-0.0897675072,0.2383405456,0.4761598155
SRX5694496,-0.3250294526,0.0358562234,0.0465704776,0.2231626615,0.0169839429
SRX5694497,0.5537399305,-0.2595013359,0.21144293290000002,-0.6145709097000001,-0.2305984282
SRX5694498,-1.2518581065,-0.2549272238,0.283038642,0.0065499987,0.3116507979
SRX5694499,-1.9063938525,0.3274755573,0.45653899740000004,-0.2166458346,1.5216893711
SRX5694500,-0.3178009304,0.08656215290000001,0.32208788390000004,-0.6082655704000001,0.2245963553
SRX5694501,-0.5789486443,0.012444367900000001,0.6984863627,0.012213341,0.1371741921
SRX5694502,-0.1589930119,0.9961360535,0.44962913320000003,-0.8489028276,1.1305458372000001
SRX5694503,1.0131634949,0.500836958,-0.29761332700000004,-1.5276697252,1.0538105626
SRX5694504,-0.38326460500000004,0.3972808128,0.24874925080000002,0.23647347670000002,0.1186262654
SRX5694505,1.7409169838,-0.2175433286,-2.5241991852,-2.8546736802,-1.0961085104
SRX5694506,2.0565714823,-0.7295218174,0.5041823862,-0.6676717403,1.1499602633000001
SRX5694507,-0.1335097445,-0.0542832939,-0.07935981040000001,0.10364661430000001,0.10986960450000001
SRX5694508,0.15577752920000001,1.1994404758,-0.5268674811,-0.8174938777,0.5247555823
SRX5694509,0.3971871153,-0.2464737769,-0.281593315,-0.1972418484,0.28553015200000004
SRX5694510,-0.1466568246,-0.1962751026,0.2033202929,-0.2550231206,0.1534864812
SRX5694511,-0.4290518706,0.3190662339,0.5636834894,-0.1637807405,0.4048724238
SRX5694512,0.9571493936000001,-0.26117738220000003,-0.8255073678,-1.3135012281,-0.6222267499
SRX5694513,4.2615319182,2.9109315333,-1.0206736848,-1.2176583871,0.4140184986
SRX5694514,1.3868846331,0.1718884543,-1.8980427306,-2.7449780099,-0.7268102176
SRX5694515,0.9197434078000001,1.1698021503,0.2258569543,0.1674650962,0.6849445812
SRX5694516,1.5619035846,-0.1936952254,-1.6487574424,0.7184192778,0.7372848823
SRX5694517,0.40496288220000004,-0.5137079068,0.09299178670000001,-0.0899811296,0.4539067214
SRX5694518,-0.6716995593,-0.23897784060000002,0.5694757752,-0.0284053616,0.32490079320000004
SRX5694519,-0.2608959899,1.0250741634,-0.6313929308,-0.4440190169,-0.12180968210000001
SRX5694520,2.1183200738,1.5825867848000001,0.8258952332,-0.3742459546,1.5449819276999999
SRX5694521,-0.3198056869,0.13558287930000001,0.29548445300000004,-0.0823108953,0.22832263900000002
SRX5694522,-0.8976176698,0.1844927582,0.5130989705,0.19009073370000001,0.5151084096
SRX5694523,-0.5451376824,-0.42384822320000004,0.4155179375,0.1230572979,0.3231262352
SRX5694524,0.7295478431,-0.2263692088,-0.1913457136,-0.3090692798,0.22258493570000001
SRX5694525,0.5060524381,-0.0447393631,-0.1410658997,0.1271493457,0.27905037790000004
SRX5694526,-1.3446776466,0.1031817359,1.4793937737,-0.057352962300000004,0.078736579
SRX5694527,-0.2297466799,-0.36750629220000003,0.1245718457,-0.7911037301,0.141757141
SRX5694528,2.5024777053,1.2151169161,-1.9795885468,-2.2550692285,-0.0217036996
SRX5694529,-0.8049341061,0.4392555018,1.1656597673,0.09459037740000001,0.35144685610000004
SRX5694530,0.2460847818,0.8547665084,0.7298784328,-0.3417330189,1.3397554379
SRX5694532,0.4053114212,-0.5513116007000001,-1.0022617801,-0.7655932475,-0.6558120901000001
SRX5694533,1.3105953334,2.4289882766,0.0681248837,-0.8230648089,1.8194889627
SRX5694534,3.1940974484,0.21774778390000002,-0.9495351296000001,-1.0244460877,-0.1014722777
SRX5694535,0.6254659669,-0.7295218174,1.0371807026,-0.3020521984,1.4152471684
SRX5694536,-0.3135991407,0.0502295564,0.4756949567,0.0940214917,0.1218754201
SRX5694537,-0.7719339303,0.007997826000000001,0.0868518041,0.0455558508,0.34099238190000003
SRX5694538,-0.2712869049,-0.1188313225,0.42244225,0.22416250880000002,0.5996398814
SRX5694539,-0.44473481330000003,-0.108745121,1.0194817082,-0.4554145486,0.8699823852
SRX5694540,0.8848503181,-0.246056392,-1.1289858779,-0.9496879326000001,-0.7245664336000001
