,A,rcsB
omics__bw_pyr__2,2.0783236838,9.3726839061
ompr__wt_nacl__1,8.5373120802,9.0646467789
ompr__wt_nacl__2,8.3813103567,9.0495305154
ompr__bw_delompr_nacl__1,19.9958806633,8.6665553852
ompr__bw_delompr_nacl__2,20.0633428362,8.6351421408
minspan__wt_ade__1,6.6027597513,9.6922891402
minspan__wt_glc__1,-0.0493006022,9.2397984166
minspan__wt_glc__2,1.244540957,9.3187769551
minspan__wt_glc__3,0.5718151283,9.3650510942
minspan__wt_glc__4,0.2661957397,9.3218879961
minspan__wt_glc_anaero__1,-0.17477470380000001,9.4930907772
minspan__wt_glc_anaero__2,-1.862062045,9.3998183045
minspan__wt_trp__1,0.1727798838,9.2242116655
minspan__bw_delcra_glc__1,0.4705281046,9.1483856609
minspan__bw_delcra_glc__2,0.1536435048,9.0167563623
minspan__bw_delcra_trp__1,0.2068049045,9.2524229775
minspan__bw_delmntr__1,0.3512259695,8.988658101
minspan__bw_delnac_ade__1,-0.23327285120000002,9.9003826411
minspan__bw_delnac_glc__1,1.3989354393,9.5205362621
cra_crp__wt_ac__1,0.8288721584000001,9.0381613966
cra_crp__wt_ac__2,1.3897222512,9.1466954547
cra_crp__wt_fru__1,0.9916735001,9.0891730531
cra_crp__wt_fru__2,0.6678846729,9.326686143
cra_crp__delcra_ac__1,1.4613206506,8.6594082846
cra_crp__delcra_ac__2,0.8817389261,8.6414354038
cra_crp__delcra_fru__1,2.239520385,9.0593106603
cra_crp__delcra_fru__2,1.5667801092,8.9580831684
cra_crp__delcra_glc__1,-0.3141504552,9.0666658086
cra_crp__delcra_glc__2,-0.1913222192,9.0126345267
rpoB__wt_031__1,-0.45795125600000003,9.1178541875
rpoB__wt_044__1,0.7383060569000001,9.2603381808
rpoB__wt_lb__1,-0.38327860350000004,9.2380032694
rpoB__wt_lb__2,0.2122327557,9.1059169463
rpoB__rpoBE546V_031__1,1.5897684028999999,9.3730616168
rpoB__rpoBE546V_044__1,3.2050904054,9.4568659737
rpoB__rpoBE546V_lb__1,-0.5990870029,9.0283774621
rpoB__rpoBE546V_lb__2,1.8377462827,8.9476014347
rpoB__rpoBE546V_glc__1,0.5441304689,9.089493818
rpoB__rpoBE672K_glc__1,2.6561776364,8.8524820085
rpoB__rpoBE672K_glc__2,2.5702004698,8.8435377548
rpoB__rpoBE672K_lb__1,1.0464649508,8.5520637947
rpoB__rpoBE672K_lb__2,1.4855231138,8.4110943054
crp__wt_fru__1,-0.289007137,9.0857920887
crp__wt_glyc__1,-0.7184868402,9.0213371809
crp__wt_glyc__2,-0.2953062146,8.9602532401
crp__delar1_glyc__1,1.7677441417000002,9.2096627239
crp__delar1_glyc__2,2.6304848339999998,9.2470316677
crp__delar1ar2_glyc__1,3.8241546228,9.2653345015
crp__delar1ar2_glyc__2,4.6811116418,9.2417016994
crp__delar1ar2_glyc__3,3.7970960645,9.2373298815
crp__delar2_glyc__1,-2.481032324,8.7831243425
crp__delar2_glyc__2,-1.039828275,8.9168328151
crp__delar2_glyc__3,-2.6722686393,8.9132857091
crp__delcrp_fru__1,22.6756390221,9.2183207309
crp__delcrp_fru__2,22.2049286776,9.1334839822
crp__delcrp_fru__3,22.1065096315,9.2093842211
crp__delcrp_glc__1,20.9681162487,9.081495817
crp__delcrp_glc__2,22.0553118656,9.1851498739
crp__delcrp_glc__3,21.6106365109,9.1503225002
crp__delcrp_glyc__1,18.4820361512,9.2174192426
crp__delcrp_glyc__2,19.3808448494,9.2521631617
crp__delcrp_glyc__3,19.5081392879,9.3630534089
glu__glu_ale3__1,-0.4655477886,8.9421030002
glu__glu_ale4__1,-0.50372598,8.6016226373
glu__glu_ale5__1,1.6118051299,8.7804906848
glu__glu_ale6__1,1.1321701382,8.4165761313
glu__glu_ale8__1,-0.2199604818,8.9975652971
glu__glu_ale9__1,-0.3214441984,8.9378509691
glu__glu_ale10__1,-0.0300648129,8.8516068629
42c__wt_42c__1,0.24352717670000001,8.9922668515
42c__42c_ale1__1,-1.4939284556,8.5782052776
42c__42c_ale2__1,-0.7725697291,8.5805203179
42c__42c_ale3__1,-0.4202432629,8.7543200253
42c__42c_ale4__1,-0.3498560365,8.8339888282
42c__42c_ale5__1,-0.5678720384,8.9008323914
42c__42c_ale6__1,-0.4166142148,8.220096573
42c__42c_ale8__1,0.3787623673,8.8535261969
42c__42c_ale9__1,-0.2300409491,8.5474156696
42c__42c_ale10__1,-0.554406814,8.593141703
ssw__wt_ac__1,-0.1602270076,8.8728058599
ssw__wt_glc__1,-0.19058378250000002,9.3535743605
ssw__wt_glyc__1,-0.5714822508,9.1101747726
ssw__wt_xyl__1,-2.0758683428999998,9.322146785
ssw__glc_ale1__1,-1.6671524058,9.0582868138
ssw__glc_ale2__1,0.4714418352,9.2992062281
ssw__glc_ale3__1,-1.5274200111,9.0470286997
ssw__glyc_ale1__1,-1.8496002954000001,8.7264262723
ssw__glyc_ale2__1,-0.7487859488,9.0089699532
ssw__xyl_ale1__1,4.1930109619,8.7408569702
ssw__xyl_ale2__1,0.939668747,8.8755397943
ssw__xyl_ale3__1,-0.1040728908,9.0052404629
ssw__glc_ac_ac2__1,1.7887663097000002,9.0601971131
ssw__glc_ac_glc1__1,-2.7265424418,8.7766588727
ssw__glc_ac_glc2__1,-0.8506377068000001,8.8950305755
ssw__glc_glyc_glc__1,-0.6806672286000001,8.8967546681
ssw__glc_glyc_glyc__1,-0.24342658800000003,8.6812297197
ssw__glc_xyl_glc__1,-0.28666833550000004,8.6833830393
ssw__glc_xyl_xyl__1,0.2958868679,8.827134450399999
pgi__glu4_delpgi__1,2.5605715928,8.986327482
pgi__pgi_ale1__1,27.9661951954,9.086169695
pgi__pgi_ale2__1,29.257318641,9.2827562067
pgi__pgi_ale3__1,30.6705381821,9.0773180546
pgi__pgi_ale5__1,13.9174067504,9.2434453858
pgi__pgi_ale6__1,6.8799072827,9.1591579606
pgi__pgi_ale7__1,4.3875480506,9.1295572113
pgi__pgi_ale8__1,5.6533287978,9.1663121303
ica__wt_glc__1,2.1928278702,9.071326598
ica__wt_glc__2,2.030458749,9.1080554806
ica__wt_glc__3,0.1549383557,9.0512424341
ica__wt_glc__4,-0.8318870329,9.3330076637
ica__arg_sbt__1,4.8131976954999995,8.8969492649
ica__arg_sbt__2,0.4559548684,9.0687948129
ica__cytd_rib__1,1.0371387875,8.9738285873
ica__cytd_rib__2,4.2550532902,8.9395339191
ica__gth__1,1.5008821067,9.0065694714
ica__gth__2,3.0811644655,8.8152588515
ica__leu_glcr__1,0.9732483517,9.5870850636
ica__leu_glcr__2,1.4282017,9.5575582307
ica__met_glc__1,0.46474830030000003,9.0010219457
ica__met_glc__2,0.7583104006,8.9841310713
ica__no3_anaero__1,-1.2049114057,9.3199357737
ica__no3_anaero__2,-0.7065052029000001,9.4192849527
ica__phe_acgam__1,0.3795390477,9.0770137647
ica__phe_acgam__2,0.8914933485000001,9.0411892291
ica__thm_gal__1,0.9449652025,8.9851441622
ica__thm_gal__2,2.3378177248,8.8885343196
ica__tyr_glcn__1,1.041476186,8.9735813363
ica__tyr_glcn__2,1.1437716977,8.9722287676
ica__ura_pyr__1,-0.264224839,9.3628256742
ica__ura_pyr__2,-0.7780326895,9.3661245686
ica__wt_glc__5,0.7946039549,9.2617250393
ica__wt_glc__6,0.08181993400000001,9.2685238695
ica__bw_delpurR_cytd__1,1.0927736197,9.0224429154
ica__bw_delpurR_cytd__2,2.9417352454000003,9.2641414339
ica__ade_glc__1,3.360253681,9.5677181907
ica__ade_glc__2,2.5102521492000003,9.5945553254
ytf__wt_glc__1,-0.9284783957,9.2044762151
ytf__wt_glc__2,-1.53305892,9.3193739597
ytf__delyafC__1,-2.2585612985,9.1137451492
ytf__delyafC__2,-1.8713528115,9.0779252912
ytf__delyeiE__1,-1.9449654327,9.2994215334
ytf__delyeiE__2,-1.8196639325000001,9.4234953439
ytf__delyiaJ__1,-1.4177521659,9.33799016
ytf__delyiaJ__2,-2.1162181573,9.4054696318
ytf__delyieP__1,-1.4091369678,9.3709072716
ytf__delyieP__2,-0.8430181465000001,9.3872855375
ytf__wt_ph5__1,-1.5675299015,9.3958429028
ytf__wt_ph5__2,0.3068813355,9.5053186836
ytf__wt_ph8__1,0.9353034625000001,9.2104382588
ytf__wt_ph8__2,2.534967831,9.3768767121
ytf__delybaO__1,-1.6667914826999999,9.1121989233
ytf__delybaO__2,-2.2822348448,9.1941233636
ytf__delybaQ__1,-1.8559540889,9.2204804489
ytf__delybaQ__2,-0.8448662008000001,9.2940621072
ytf__delybiH__1,-0.5836822918,9.3622217491
ytf__delybiH__2,-1.0577795422,9.3988679684
ytf__delydcI_ph5__1,-1.3320018767000001,9.4266935139
ytf__delydcI_ph5__2,-0.9586324631,9.4065020875
ytf__delydcI_ph8__1,0.7903245669000001,9.418728252
ytf__delydcI_ph8__2,1.5251890974,9.2755301679
ytf__delyddM__1,-1.1458086324,9.6722300835
ytf__delyddM__2,-1.3768218563,9.6080235557
ytf__delyheO__1,-2.0063405684,9.0314387856
ytf__delyheO__2,-2.0783223533,9.0670481025
fps__bw_glc__1,-0.7896153946000001,9.2790075629
fps__bw_glc__2,-1.4978787599,9.2505547051
fps__fps_thrA_ale1__1,-1.0698505597,9.4291058047
fps__fps_thrA_ale1__2,-0.7732367168000001,9.4166180028
fps__fps_thrA_ale2__1,0.5353713504000001,9.4441022649
fps__fps_thrA_ale2__2,0.0558815142,9.3689186294
fps__fps_serB_ale1__1,8.4639073022,9.2800965302
fps__fps_serB_ale1__2,9.0352017773,9.2798279025
fps__fps_serB_ale4__1,13.2589124231,9.4333261294
fps__fps_serB_ale4__2,14.0083219226,9.4341757157
fps__fps_ptsI_ale1__1,-1.0866871993,9.0934972699
fps__fps_ptsI_ale1__2,-0.31825674940000004,9.0887704738
fps__fps_ptsI_ale3__1,0.0319186281,8.944861088
fps__fps_ptsI_ale3__2,-0.7471215173,8.9407976672
pal__lyx_ale2_f6__1,0.2744185491,9.0305046946
pal__lyx_ale2__1,-1.8195746707,8.6292055557
pal__lyx_ale2__2,-1.318642158,8.4872714184
pal__lyx_ale4__1,-1.8195746707,8.6292055557
pal__lyx_ale4__2,-1.318642158,8.4872714184
pal__5drib_ale10_f18__1,1.547384392,8.5922927495
pal__5drib_ale10_f18__2,3.1768879819,8.708873919
pal__5drib_ale10__1,-0.053834278900000004,8.9074849554
pal__arab_ale14_f9__1,2.9718625623,9.1067478611
pal__arab_ale14_f9__2,0.0156024726,9.0935053195
pal__arab_ale14__1,-0.5524858709,8.9676696592
pal__arab_ale14__2,-1.1372756817,8.9089271628
pal__arab_ale16__1,0.9168704099,8.8339976606
pal__arab_ale16__2,1.3909325489,8.8537228154
pal__tartr_ale26_f10__1,0.4610876526,8.9919984107
pal__tartr_ale26_f10__2,-0.3578020796,8.9615525782
pal__tartr_ale26__1,-0.0153567984,8.8958631772
pal__tartr_ale26__2,-1.0471600042,8.9161778436
pal__tartr_ale28_f10__1,-0.1233207446,8.7047408742
pal__tartr_ale28_f10__2,0.702706916,8.7743046664
pal__tartr_ale28__1,-1.3817298876000002,8.7753402955
pal__tartr_ale28__2,-1.1231013536,8.9991157887
efeU__delmenFentC_citr__1,3.1270746489,9.1754593278
efeU__delmenFentC_citr__2,0.6451155375000001,9.1771670102
efeU__delmenFentC__1,2.4217558199,9.6713210491
efeU__delmenFentC__2,2.3084437964,9.6318972088
efeU__menFentC_ale39__1,0.2631260154,8.9304111561
efeU__menFentC_ale39__2,0.5981305606,9.0031740432
efeU__menFentC_ale29__1,0.7348388874,8.9315692251
efeU__menFentC_ale29__2,1.5242807147000001,8.9910321062
efeU__menFentC_ale30__1,3.6921852689,8.9697848462
efeU__menFentC_ale30__2,0.005238474700000001,8.9587738828
efeU__menFentCubiC_ale36__1,-0.5854132858000001,9.4416881205
efeU__menFentCubiC_ale36__2,0.035443374300000004,9.5059475313
efeU__menFentCubiC_ale37__1,-0.8996654278,9.6041169584
efeU__menFentCubiC_ale37__2,-0.9777808275000001,9.6344012741
efeU__menFentCubiC_ale38__1,6.0075969104,9.6256361029
efeU__menFentCubiC_ale38__2,6.5557298645,9.5899648179
