,A,NrdR,hns
SRX5694359,0.7550022866,-1.0085364629,-0.4207264389
SRX5694360,-0.864722037,0.0683147466,-0.1412390832
SRX5694361,-5.6512435669,-0.2455738319,0.1566361058
SRX5694362,-3.9126876678,-0.48584732490000004,-1.6472988531000001
SRX5694363,4.7370372526,0.2652696738,-0.5546784583000001
SRX5694364,-0.2645831712,-0.6467801297,1.4076440849
SRX5694365,-1.5573073044,0.08552387160000001,-0.4974307236
SRX5694366,4.7530852451,-0.3281302168,-0.6138928318
SRX5694367,-1.4562601759,-0.0931547633,1.2101434685
SRX5694368,3.9533392105000003,0.1841747464,-0.9458503599
SRX5694369,-2.5956603892,0.5089287818,-0.0662886848
SRX5694370,-0.6710585727,0.1888583534,0.368483396
SRX5694371,0.0110760822,-0.13824699999999998,1.6497301401
SRX5694372,0.5938594924,-0.23065938360000002,-0.4935531869
SRX5694373,2.561322485,-0.800223643,-0.1927104984
SRX5694374,11.2794648553,0.1432840532,-1.5963441003
SRX5694375,1.1849690588,0.4080453911,-0.5282387860000001
SRX5694376,1.4574658149,-0.8608178751000001,-0.9920622973000001
SRX5694377,9.668620368300001,-0.12747355670000002,-1.6064739720999999
SRX5694378,-0.1334452398,-0.3767332503,-0.44548403010000004
SRX5694379,2.9084053414,-0.1668465244,-1.1412490475000001
SRX5694380,2.3949219931,-0.3215010786,-0.2908981184
SRX5694381,-1.7723099262000002,0.5074713957,1.5103860035999999
SRX5694382,0.2996232628,-0.1678404406,0.3167035141
SRX5694383,1.2636517233,0.0026485673,-0.6330348309
SRX5694384,0.0776910317,-0.11121405470000001,0.07720167730000001
SRX5694385,-1.8734872788999999,1.9042837217000002,0.7627488997
SRX5694386,-1.6742875491,-0.1623882479,0.2124759349
SRX5694387,4.4954527613,-0.1905591025,-0.5871436333
SRX5694388,-4.9144049187,-0.790201507,1.3294801396
SRX5694389,2.4307961406,-0.103223359,-1.4197035738000001
SRX5694390,1.596501385,0.3606989459,-0.6108595821
SRX5694391,-3.0433979919,0.8728207339,0.2242706458
SRX5694392,1.6911377002,-0.056887519000000004,-0.35666103660000004
SRX5694393,0.5797530177,-0.06664213620000001,0.0738984884
SRX5694394,0.2159129729,0.4499655293,-0.433145702
SRX5694395,5.529639738,0.07550865450000001,-0.6412482763
SRX5694396,3.8457932477,0.2523053964,1.1447981062
SRX5694397,-0.485442024,-0.0833093072,-0.6626112262
SRX5694398,0.6184998742000001,0.1470609186,-0.8352204546
SRX5694399,1.7513339504,-0.020261436,-0.07028935430000001
SRX5694400,0.1079474017,-0.1950708942,-0.7804220612
SRX5694401,-3.233682286,0.8398013120000001,0.18569160680000002
SRX5694402,-1.2766094114,-0.22209246600000002,0.3072247456
SRX5694403,-0.5094901246,-0.45081495860000004,1.2287761301
SRX5694404,2.3824824682,0.0360133979,-1.1055211989
SRX5694405,1.0493027426000001,-0.0032872822,0.2912144672
SRX5694406,1.8472313735,0.3898697458,1.3067637903
SRX5694407,1.4345806484999999,0.0095421414,-0.2170952891
SRX5694408,0.3259270958,0.2850016274,-0.3402805357
SRX5694409,-3.873248427,0.5448199180000001,0.3449596163
SRX5694410,-0.9092735006,-0.9692317433000001,-0.9369939924
SRX5694411,1.8733430764,0.9469094884,0.3006550652
SRX5694412,-0.7265953387,0.0922470792,-0.6110272034
SRX5694413,-0.4809281307,-0.8800461395,-0.9274980556
SRX5694414,-3.3631008625,0.1969061481,1.7269776488000002
SRX5694415,0.556145348,0.2543132154,-0.5350652901
SRX5694416,-0.1454826307,-0.0314410867,0.09109035780000001
SRX5694417,0.8417794442000001,-0.005639747200000001,0.6757333899
SRX5694418,-2.3905264582,0.0551103571,0.7648344667
SRX5694419,-3.1158281725,-0.287094369,1.9739008520999999
SRX5694420,1.9171627941,0.0990805142,-0.3114816063
SRX5694421,2.4281652766,0.0014947869,0.1444757966
SRX5694422,-5.4929649677,1.0927036874,0.5993323859
SRX5694423,3.1871416799,-0.2622053661,-0.6169352458
SRX5694424,-1.1011503823,0.3385447717,0.4505654565
SRX5694425,-1.162907733,0.29016033420000004,-0.9056669952
SRX5694426,1.3074813251,0.2560018266,-0.2557922664
SRX5694427,-0.6635223443,0.5390537495000001,-0.1750304766
SRX5694428,-1.7959273756,0.7468085693000001,-0.13199657380000002
SRX5694429,2.864806718,1.272104364,0.6332512447
SRX5694430,-0.4388057557,0.4875822664,-0.08344082400000001
SRX5694431,3.2778877292,0.1951759167,-0.5125373796
SRX5694432,0.6724265309,-0.3833658656,-0.7661698545000001
SRX5694433,0.32339790300000004,-0.745021236,-1.018450679
SRX5694434,-1.2121232551,-0.2936383353,1.0728512748
SRX5694435,-2.3181339513,-0.1008379673,1.9625338574
SRX5694436,-2.5152087009,-0.024783484,0.9587686390000001
SRX5694437,-4.2081069691,0.567197617,0.9137308284000001
SRX5694438,-0.0163574587,0.3826461182,-0.40211033360000004
SRX5694439,8.6260781935,0.4114965622,-0.9943194997
SRX5694440,0.8529611622000001,-0.0559324146,0.0767751608
SRX5694441,-0.2051817757,-0.1897541507,0.8459974857
SRX5694442,-3.7575701287000003,-0.6112312238000001,1.2299575267
SRX5694443,-2.1593012816,0.10382222070000001,0.2648223071
SRX5694444,2.277208816,0.1371410921,-0.8771352847
SRX5694445,-3.295462406,0.0360867956,0.7366439447
SRX5694446,5.4471625939,-0.1904545352,-0.7487939093
SRX5694447,2.5802949703999998,-0.9349053075,-0.42415313460000004
SRX5694448,-1.0153747289,-1.0453275602,-1.0305155459
SRX5694449,-0.4227103043,0.27949603,-0.0643301091
SRX5694450,3.8514850385,-1.2928407776,-1.923176533
SRX5694451,-1.1230516021,0.2669729065,0.32335372960000003
SRX5694452,5.0511762141,0.3247331807,1.0271080185
SRX5694453,-0.0131866499,-0.6443928831,-0.8689705452
SRX5694454,0.08216519330000001,-0.317861367,-0.0143859672
SRX5694455,-2.8626701744,-0.6827166179,2.0160964001
SRX5694456,0.5396832043,0.4905839997,-0.3961870837
SRX5694457,3.1860960115,-0.060826458400000005,-0.3950436946
SRX5694459,7.7025431196,0.0083801554,-1.3104809708
SRX5694460,-4.0708443947,-0.0838196159,1.9820999957
SRX5694461,0.2889246737,-0.2603646992,-0.7479972059000001
SRX5694462,-1.809005305,-0.3300296035,1.5313356168999999
SRX5694463,3.2079002892,0.6016442157,-0.8308938109
SRX5694464,0.4193549599,-0.5236842220000001,-0.2876517577
SRX5694465,4.500506777,0.07095166680000001,-1.1647466356
SRX5694466,-8.5870461849,1.2094871473,1.0126028366
SRX5694467,0.9647976666,-0.2423567433,-0.23134393590000002
SRX5694468,9.1309366664,0.4421081436,-1.3235992494
SRX5694469,-0.9067131975,0.4124549978,0.2827389399
SRX5694470,0.5136291309000001,0.0020276021,-0.1140011834
SRX5694471,0.09748756800000001,0.35209512330000003,0.2780427714
SRX5694472,0.8944033092,-0.2479889669,0.0204790629
SRX5694474,-1.311446065,0.46270213130000004,-0.029360761200000002
SRX5694475,-0.9070869858,0.49459648640000003,0.4395643487
SRX5694476,0.2701034466,0.1569211123,-0.958255505
SRX5694477,-1.931703899,-0.5104034902,1.3257530398
SRX5694478,0.54695249,-0.3253711137,-0.2786624251
SRX5694479,0.4378263891,-0.9027618458000001,0.392395096
SRX5694480,1.4916063903,-0.2513727,-0.0721274882
SRX5694481,2.1516649247,-0.5162386002,-0.7025263753000001
SRX5694482,2.1090156789,0.0117756561,-0.1369099266
SRX5694483,0.43263723660000003,0.20184374430000002,-0.2574074658
SRX5694484,0.7034517039,-0.3000725276,-0.7252147345000001
SRX5694485,-4.1116883708,1.2195168968,0.0455061807
SRX5694486,0.2163960416,-0.19186637750000002,0.0256384562
SRX5694487,-1.7275510022,-0.4891497221,0.0973618641
SRX5694488,0.9173628036,0.0682181229,-0.8848599586
SRX5694489,-1.3737107530000001,0.1275943175,0.5406534275
SRX5694491,-0.9245904967,-0.4954210626,0.2172296353
SRX5694492,-2.6690532205,-0.76354351,0.7507628737
SRX5694493,-1.3635088294,1.263675379,0.5452639171
SRX5694494,0.5267976344,0.36550661090000003,-0.26568005170000003
SRX5694495,0.4344844174,0.0429219478,0.0841285715
SRX5694496,0.46902389980000003,-0.1050144621,0.2074623988
SRX5694497,-1.6497073003,0.2643315056,0.1124846535
SRX5694498,2.8547818103,0.5231434663,-0.2450224828
SRX5694499,-3.92060825,-0.6703910625,-1.0155779588
SRX5694500,0.5681348037,-0.48509973650000004,0.40581125370000004
SRX5694501,-0.2537298861,-0.4567143514,-0.0542282217
SRX5694502,-3.5214863108,-0.9988973346000001,-2.9378155799
SRX5694503,-0.29415915400000003,-1.0158724418,-0.3200129413
SRX5694504,0.9743385662,-0.2643341231,0.1441304368
SRX5694505,-2.1478878752,-0.4649027794,0.47527088300000003
SRX5694506,-1.0554617034,-0.8595065378000001,-2.5654841271
SRX5694507,0.5705952281000001,-0.212267548,0.1975259029
SRX5694508,1.1197927261,-0.2568360722,0.2647319957
SRX5694509,-2.8797724792,0.6141561221,1.2775528383
SRX5694510,-0.8476778436,0.27150426250000004,0.2603432292
SRX5694511,1.8488344627000002,0.4877749039,-0.5445256282000001
SRX5694512,-0.4164546777,-0.6378625192,0.0948469767
SRX5694513,2.0295354801,-0.49222398900000003,-0.6320639646
SRX5694514,-2.8693655801,-0.0609300652,1.4560009629000001
SRX5694515,-2.0698444055,1.9921790612999999,-0.3249757767
SRX5694516,7.5777276367,0.0185543802,-1.1409297771
SRX5694517,0.7517663061000001,0.0209803343,-0.777314911
SRX5694518,-1.2209048137,0.2130577803,0.0180990911
SRX5694519,1.9954174345000002,-0.0608986382,0.08073145870000001
SRX5694520,-3.2490460186,-0.9770290685,-1.0174599348
SRX5694521,-1.1357020531,-0.0574072172,0.09148157920000001
SRX5694522,2.0760133436,-0.004059438,-1.5476080252000002
SRX5694523,0.5138182953,-0.1016436335,-0.7477075316
SRX5694524,-1.1496063023,0.0360736491,0.2071493403
SRX5694525,0.6049516005000001,0.0439330946,0.8525130146000001
SRX5694526,2.4666451543,0.10769530740000001,-0.175856218
SRX5694527,0.9288561534,-0.5402301295,0.2870256222
SRX5694528,0.5220201170000001,-1.2221209621,0.2407021481
SRX5694529,0.44672746430000004,0.6083009679,-0.6198402791000001
SRX5694530,-1.1305768784,-0.3799050601,-0.9751571788000001
SRX5694532,-0.9949505404000001,-0.3116746455,1.3099850778
SRX5694533,-0.2824534651,0.3789370295,-0.7183523508
SRX5694534,1.0870728339,0.9475520499000001,0.7760040404
SRX5694535,-5.3184862367,-0.0964265693,-2.575634232
SRX5694536,-0.5361778595,0.0977789988,-0.9130116927
SRX5694537,0.8398149734,0.2047182985,-0.44788224930000003
SRX5694538,-1.0398963483,0.3276224131,0.3148884245
SRX5694539,0.4347886777,-0.5267973083,-0.28971688570000004
SRX5694540,-0.1515551966,-0.5989624394,1.3346327518
SRX5694541,0.3756602918,-0.42604196780000003,-0.5946219462
SRX5694543,9.929480098900001,0.42988336850000003,-1.3247379993
SRX5694544,-0.3102718412,0.28529589,-0.44033934020000004
SRX5694545,1.4254098031,0.1400092689,-0.629954507
SRX5694546,2.8184167853,-0.1121396955,-0.08006541610000001
SRX5694547,0.6933976366,0.45156698980000004,0.0653199613
SRX5694548,-0.3681465002,0.0294134846,0.0229108257
SRX5694550,-1.4432227727,-0.5731652540000001,0.6068103597
SRX5694551,0.6724392904000001,-0.48876777200000004,-1.0974892677
SRX5694552,0.7550578170000001,-0.49857349840000004,0.42388081310000003
SRX5694553,-0.1527895057,-0.1042771009,-0.15407335730000002
SRX5694554,-0.5294060927,0.0063563439,0.5215772258
SRX5694555,-2.384918265,-0.5958332062,0.8160299542
SRX6072760,1.1894763061,-0.3866689781,0.0071643614
SRX6072761,1.8109323449999999,0.0474815397,-0.2758306545
SRX6072762,0.7467121282,-0.2868360287,0.19657312300000002
SRX6072763,-1.4593900152,0.2423714019,0.249607336
SRX6072764,3.084325456,-0.3113061288,-0.36908601
SRX6072765,-1.8674172147,-0.12617992960000002,0.2020555698
SRX6376491,0.534188854,-0.17646801450000002,-0.1806245025
SRX6376492,-3.1765216245,-0.7384908962000001,1.0700777325
SRX6376493,-3.4425956976,-0.37169566930000003,0.9891126338
SRX6376494,-3.0867383752,-0.3407474667,1.0233108158
SRX6376495,0.9983750662,-0.0996943082,-0.3377527415
SRX6376496,0.7427800484,-0.3545377642,-0.2580387104
SRX2723951,1.5788793695,0.5497175093000001,0.3710506029
SRX2723952,1.5532035586,0.9687239664,0.401816247
SRX2723953,1.2029099847,0.8643534553000001,0.30867674040000004
SRX2723954,-0.15214420850000002,0.6153794256,0.9241273707000001
SRX2723955,3.5975603976,0.30617276590000003,0.0695428277
SRX2723956,0.3853119552,0.2702074289,0.4482329444
SRX2723957,0.2912455839,0.3815255636,0.38800892870000003
SRX2723958,0.5879330888000001,0.0888594104,0.202722579
SRX2723959,0.074903773,0.2568515104,0.4881545801
SRX2723960,-0.6916637718,0.5309258279,-0.6525915672
SRX2723961,-1.8068610796,0.7178100697,1.0272800719
SRX2723962,-0.45701190490000004,0.3765780187,0.5836160711
SRX2723963,0.6899470037000001,0.0048747528,0.660080938
SRX2723964,1.1606909933,0.3162437199,0.4500184297
SRX2723965,0.031931439400000004,0.262804819,0.6290657146
SRX2723966,-0.7825356304000001,-0.0674829239,-1.1453450687
SRX2723967,0.0562228098,-0.0077661357,0.5426909510000001
SRX2723968,0.7263128207,0.0752490596,0.6026541177
SRX6977206,3.875231162,0.0304503039,-1.7049291793
SRX6977207,3.9880256478,0.0670269827,-1.7532154960000002
SRX6977208,-1.006525701,0.5662362227000001,-0.2035640189
SRX6977209,-0.6294240182,0.6940347995,-0.3428166312
SRX6977210,-0.6199288708,0.6130140263,-0.4044848538
SRX6977211,0.18317017970000002,-0.2748342147,0.3070499472
SRX6977212,-0.34504752600000005,0.030961043,-0.0003716465
SRX6977213,0.1618773463,0.2438731717,-0.3066783008
SRX6977214,4.6669145726,0.0552547247,-1.8693701647
SRX1153733,0.1440818668,0.061914152800000004,0.1362162026
SRX1153734,-0.1440818668,-0.061914152800000004,-0.1362162026
SRX1153735,-0.20253877580000001,0.0804444627,0.0179326648
SRX1153736,-0.4383701984,0.135002347,0.07307878450000001
SRX5204053,0.2619525625,0.040588635500000005,-0.8892273719
SRX5204054,0.3296740747,0.314252015,-0.42641077260000004
SRX5204055,-0.0135235821,0.2153287902,-0.7501256288
SRX5204056,1.0021968574,0.4257279841,0.2750663008
SRX5204057,0.7187319738,0.390188388,0.0447246627
SRX5204058,0.4768085416,0.5272159715,0.25780179070000003
SRX5204059,0.2954313274,0.16762676980000002,0.2477339858
SRX5204060,0.25968063480000003,0.46936337380000004,-0.017982531200000002
SRX5204061,0.0694899232,0.44122842710000004,-0.0578720459
SRX5204062,0.1106854525,0.18590889730000001,-0.044741238700000005
SRX5204063,-0.1068705029,0.1343003318,-0.0823524238
SRX5204064,0.0712856352,0.2515001019,-0.1002559282
SRX5204065,0.2670815186,0.4211089381,-0.0257625665
SRX5204066,-0.1561615725,0.3161490149,0.0048004959
SRX5204067,-0.5520135734,0.32750952380000004,-0.13391379550000002
SRX5204068,0.0917138014,0.30828156300000004,-0.1532055752
SRX5204069,0.49167802660000004,0.2240163531,-0.1453876681
SRX5204070,0.4556557827,0.3952212413,-0.1806531498
SRX5204071,0.2731220961,0.2589829233,-0.3963601042
SRX5204072,0.205034928,0.2757025295,-0.697170782
SRX5204073,0.5385183447,0.25419142100000003,-0.5314356558000001
SRX5204074,1.3812483347,-0.1056702644,-0.5246860377
SRX5204075,0.4999099678,0.0675871816,-1.0037411635
SRX5204076,1.5258511717,0.1925529528,-0.6690962555000001
SRX5204077,1.0420503227,0.0108334626,-0.5936032461
SRX5204078,1.2210829396,0.1706963186,-0.409602536
SRX5204079,1.078018306,0.1025010839,-0.18285046430000002
SRX5204080,1.386395588,0.4018082429,-0.4631830243
SRX5204081,0.42299968330000004,0.3600764517,-0.41369495700000003
SRX5204082,-0.276732368,0.1289837436,-0.42314614580000004
SRX5204083,0.3424077977,0.0126056543,0.2166381639
SRX5204084,0.7237102184,-0.1829676374,0.4429351892
SRX5204085,0.6931800219,0.10125903110000001,0.3164981414
SRX5204086,0.4853319609,-0.1207108534,0.046280541200000004
SRX5204087,0.7742703529,-0.4625454006,-0.3395036685
SRX5204088,0.7751796027000001,-0.059309029400000005,-0.0217780978
SRX5204089,0.33281249090000004,0.0119677727,0.1917236606
SRX5204090,0.8115563335,-0.08876906770000001,-0.0078599675
SRX5204091,0.9498853806,-0.163875256,0.095222578
SRX5204092,0.24017134610000002,0.0555648461,0.1213474841
SRX5204093,-0.1182240019,0.08973583610000001,-0.0868919702
SRX5204094,0.2128312458,0.167871518,0.1390304637
SRX5204095,0.1921692701,0.0657257233,0.1921413179
SRX5204096,-0.0773536466,-0.1951805769,0.025826626000000002
SRX5204097,-0.1148156236,0.1294548536,-0.21796794390000002
SRX683459,0.5371719305,-0.2972099861,0.0162499327
SRX683460,4.958349996,1.4499930438,0.8758168691
SRX683461,-1.2717036474,0.14230317080000002,-0.4250061573
SRX683462,5.2838786954,1.6346035583,0.8181061079
SRX683463,0.7345317169000001,0.1549068153,0.4087562246
SRX683464,5.2706492,1.311424393,0.9379609579
SRX683465,1.6372776527,-0.8499126351,-0.0973215234
SRX683466,6.3812748247,1.5277666735,0.9247761808
SRX683467,0.5133749091,-0.3403015485,0.21773937170000002
SRX683468,5.4508344514000004,1.430760722,0.8753622433
SRX683469,1.6884909585,-0.4537765682,0.19101327240000002
SRX683470,6.8532063864,1.3578838973,0.7903936147
SRX322077,-1.1322160141,-0.1201695326,-0.0271986305
SRX322078,-0.3337701884,-0.1054887723,-0.0341198708
SRX322079,-0.5209397973000001,0.134435553,-0.1303382865
SRX322080,-0.046088394000000005,-0.4769110218,-0.1890338976
SRX322081,0.43264285760000004,-0.3242239959,0.20257457780000002
SRX322082,0.5220828139,-0.1960997538,0.09874946180000001
SRX322083,1.1246463198,-0.2293755345,0.21563450350000002
SRX322084,-0.5961384070000001,-0.0065146935,-0.24131350070000002
SRX322085,-0.5285079128,0.235890228,0.0256789972
SRX2708592,-0.13712107240000002,0.09726285400000001,-1.3397461374000001
SRX2708593,1.5533593413,0.6396960641,-1.2801465744
SRX2708594,0.7140075679,0.8253566203,-0.270459756
SRX2708595,-0.3779245107,0.0104952455,0.149710501
SRX2708596,0.9047722634,0.0592607728,-0.1349266602
SRX2708597,-0.5268477527000001,-0.0697560182,-0.0147838408
SRX2708598,-0.47260630730000003,-0.0551045662,-0.3675266184
SRX2708600,-1.4166562453,0.048108500500000005,0.6267349808
SRX2708601,0.0596796464,-0.0386959142,0.1879683133
SRX2708602,-2.5063122218,0.3514098739,-0.27134201010000003
SRX2708603,-0.9161498796,0.113214093,0.034448039
SRX3073814,0.5761517098,-0.0691210617,-0.0930819828
SRX3073815,0.8360290009,-1.9351279569000002,-0.1729505029
SRX3073816,-3.5721986093,-2.9089305584,-0.2365393695
SRX3073817,-3.7341553059,-3.3427822887,-1.3530617542
SRX3073818,-2.0733370904,-2.5217031789,-2.7368687368
SRX3073819,-0.8862767551,0.25393459690000003,0.0272063906
SRX3073820,0.4329723341,-2.2285097854,-0.0696458992
SRX3073821,-2.9515761219,-3.061967663,-0.7551533678
SRX3073822,-5.1751180679,-3.3310694359,-2.3526153391999998
SRX3073823,-1.7642021840000002,-3.4735701866,-2.5899896913
SRX3073824,-0.5761517098,0.0691210617,0.0930819828
SRX3073825,0.6342485676,-1.5046217107,-0.3180016841
SRX3073826,-3.8308831418000002,-2.7005924917,-0.3747322127
SRX3073827,-4.6945379226,-3.4156431510000003,-1.4789604596
SRX3073828,-2.6525801198,-3.1051067463,-2.8640250365
SRX3073829,-0.2845108987,0.1596161107,0.0069709936
SRX3073830,1.4467673254,-2.0001514711,-0.41992040610000003
SRX3073831,-3.0921647828,-3.2484228268,-0.6693104037000001
SRX3073832,-4.3052662099,-3.0978236829,-1.9892137468
SRX3073833,-2.8629390732,-1.9709836305000001,-2.5617996198
SRX2391456,0.5771011733,0.1027256641,0.0543202478
SRX2391457,0.29974260210000003,0.0653325106,-0.0272765165
SRX2391458,0.4854332776,0.1602730681,0.2239011776
SRX2391459,0.6856826128,0.1759134353,0.1813346623
