,A,ZntR,Zur
abx_mega__chl_h2o__1,1.3946014056,0.1999872745,-1.3363879369
abx_mega__cst_h2o__1,1.9274740826999999,-0.053901814000000006,0.38920364700000004
abx_mega__tec_h2o__1,1.2693866541,-2.7903797690000003,-0.43603259310000003
abx_mega__str_h2o__1,0.1311042993,-2.532340186,0.8736988603
abx_mega__ctx_h2o__1,2.2019497557,-0.0600186757,0.2467255301
abx_mega__nal_naoh__2,2.0021133252,-1.3316010895,0.6180782257
abx_mega__phos_h2o__1,1.3316239645,0.0281796383,-0.3405429606
abx_mega__dmso-5__2,5.1785314743,-0.14910710630000001,-0.4422660959
abx_mega__polmyx_h2o__1,0.6407320232,0.0122015869,0.3553516269
abx_mega__h2o-8b__1,0.6427524047000001,0.3491380228,0.3928004362
abx_mega__h2o-6__1,0.6988763607,-0.4524177226,0.2994781749
abx_mega__thio_dmso__1,0.939807123,-1.4101723086,-0.7272118653
abx_mega__phos_h2o__2,0.1076529434,0.13850560380000002,0.2628448439
abx_mega__ctx_h2o__2,1.1194315208,-1.3083826978,-0.010283351900000001
abx_mega__lzd_dmso__1,1.0533678509,-1.0539568889,-1.2530730185
abx_mega__naoh-9__1,-0.7258975793,-0.0385932937,0.0554250743
abx_mega__dox_dmso__1,1.0060939277,-0.9817050133,-0.7265217286
abx_mega__phos_ethanol__1,-0.9374282936,-0.2334553916,0.528568782
abx_mega__teix_dmso__1,1.5475086056,-1.0724538994,-0.8016179358000001
abx_mega__dmso-10__1,0.1244076166,-0.4858401603,0.2757391889
abx_mega__van_dmso__1,3.3153545917000002,0.0076032714,-0.1876430737
abx_mega__ramo_h2o__1,1.7364819858,-0.2444924055,-0.8430826652000001
abx_mega__tec_h2o__2,0.3445902246,-0.1142679245,-0.7261829768
abx_mega__h2o-7__1,0.22050013840000002,-1.8784235674,-0.0963128452
abx_mega__cro_h2o__1,1.0350469225,-1.5616298386,-0.0683738461
abx_mega__tric_ethanol__1,4.54418771,-0.4206516885,-0.25246097170000004
abx_mega__nor_naoh__1,2.0151746638,-0.3597346094,0.49098398390000003
abx_mega__teix_dmso__2,2.7171100711,0.13017226910000002,-0.3748411853
abx_mega__nal_naoh__3,0.4324270636,-0.6444718178000001,0.4489889466
abx_mega__novo_h2o__2,2.0441865925,-2.3037157123,-2.2147562532
abx_mega__dmso-10__2,2.1134051175,-0.5634301056000001,0.1409190469
abx_mega__phos_h2o__3,0.1395244347,-0.2069953397,0.5592446451
abx_mega__dmso-6__2,3.1512863148,0.1266916872,0.0099218556
abx_mega__rfp_ethanol__1,1.6135154639,-2.4802531378,-1.3254762952
abx_mega__dmso-5__3,0.439940276,-0.19581238010000002,-0.0800936872
abx_mega__amyc-d_dmso__1,-1.687579176,0.598237937,-1.3743684522000001
abx_mega__sxt_dmso__1,1.8712654521,-0.5158333206,-0.3616635466
abx_mega__dmso-1__1,2.9843208883,0.029417516600000002,-0.0731779297
abx_mega__pen_h2o__1,1.1911794641,-0.2388949132,-0.8910338254
abx_mega__dmso-10__3,0.1722100681,-0.46881692290000004,0.2385939042
abx_mega__nal_naoh__4,0.8846544742,-0.2905093594,0.5018356157
abx_mega__cip_naoh__1,0.9172389244,-0.1172732746,0.36703260120000003
abx_mega__pen_h2o__2,3.1589854587,-0.4061580944,-0.60391289
abx_mega__ery_dmso__2,4.1929149407,-0.1424019946,-1.5647951624
abx_mega__dmso-2__2,-1.2128192143,-1.1220880321,1.366866135
abx_mega__van_dmso__2,2.3474040642,-0.0745983337,-0.2472610042
abx_mega__h2o-1b__1,2.2905736031,-0.7735052981,-0.3195741411
abx_mega__ery_h2o__1,2.0721885711,-0.6938664710000001,-0.8579267315
abx_mega__bacit_h2o__1,2.4718897354,-0.9211938724000001,-1.9284518277
abx_mega__chl_h2o__2,0.9240270513000001,0.0102770411,-1.4087840423
abx_mega__str_h2o__2,4.9573851555,-1.7590795978,1.1960409254
abx_mega__rfp_ethanol__2,-1.6050605464,-0.8946322147,-2.2453503575
abx_mega__polmyx_h2o__2,0.5427500922,0.0666472723,-0.1251109402
abx_mega__tric_h2o__1,2.1889117423,-0.6822903577,0.2224079059
abx_mega__cip_naoh__2,2.6984818206,-0.6245866875,0.4522576674
abx_mega__novo_h2o__3,2.5855416036000003,-1.896818483,-2.3992923531
abx_mega__bacit_dmso__1,4.7985227088,0.0368425519,-0.3848010355
abx_mega__gen_h2o__1,1.0705651739,-0.5031785269,1.4426904967
abx_mega__bacit_dmso__2,4.1886295585,0.46053277210000004,-0.7894601797
abx_mega__chl_dmso__1,6.6862550457,1.2556815519,-2.0881510438
abx_mega__bacit_h2o__2,2.9285514016,-0.0627978656,-1.4681779547
abx_mega__lvx_dmso__1,3.4692620248,-0.25797288620000003,-0.1676333203
abx_mega__bacit_h2o__3,1.7614063252,-0.7682964777,-1.5764289781
abx_mega__nor_naoh__2,2.9560883802,-0.2926990755,0.5116964895
abx_mega__amyc-d_dmso__2,3.905477957,-0.23748575090000001,-0.3362218699
abx_mega__polmyx_h2o__3,1.9588786641,-2.9376715369,1.1673832898
abx_mega__naoh-6__1,-1.4231015607,-0.1919533046,0.22966218970000002
abx_mega__cst_h2o__2,3.2123375709,-0.08239302820000001,-0.3043244679
abx_mega__h2o-1b__2,1.9882653237,-0.6360486667,-0.4081329325
abx_mega__rfp_h2o__1,2.8994181673,1.3396124251,-1.6988486027
abx_mega__tet_h2o__1,2.1316078897,-0.2113112529,-1.4807788548
abx_mega__flavo_dmso__1,-0.6263577065,0.09356247370000001,-0.7410432257
abx_mega__zeocin_h2o__1,1.7759825809,-0.5370276070000001,0.2066133142
abx_mega__nor_naoh__3,2.1873497123,-0.8113665756,0.3874163411
abx_mega__rach_dmso__2,3.2683312245,-1.3901890507,0.015114956
abx_mega__thio_dmso__2,1.7527109361000002,0.49257471280000004,-0.7007747750000001
abx_mega__amyc-d_dmso__3,5.1004385582,0.5999042769,-0.619743098
abx_mega__rif_dmso__2,3.3757390874,0.7623657347,0.30203103000000003
abx_mega__amyc-d_dmso__4,3.8169872569,-0.1713500534,-0.15906757770000002
abx_mega__teix_dmso__3,0.6143232047,-0.327939488,-0.1588392583
abx_mega__valin_dmso__1,5.5481088992,0.435709289,-0.4324764307
abx_mega__teix_dmso__4,2.2855405611,-0.17542883080000002,-0.065121131
abx_mega__ethanol-10__1,1.1056748187,-0.7596633399,0.11119214790000001
abx_mega__inh_h2o__1,0.6176671174,-1.7125197184,-0.0137941039
abx_mega__rif_dmso__3,2.6354035467,1.7083309074000002,-1.3722458622
abx_mega__van_dmso__3,3.6984800236,-0.23084140620000002,-0.7824675489
abx_mega__doxo_dmso__1,-0.9159434699000001,-0.6153702477,-0.7592924600000001
abx_mega__tmp_dmso__1,0.6803503972,-0.6890691576,0.45299585400000003
abx_mega__ethanol-10__2,0.7329331243,-1.6238378213,0.0146535827
abx_mega__tmp_dmso__2,1.4967781277,-0.8023144111,0.4777078199
abx_mega__amyc-d_dmso__5,4.4415847629,1.4304939814,-0.8313264678000001
abx_mega__novo_h2o__4,-0.8147522638,-3.5731971016,-2.0738012823
abx_mega__cro_h2o__2,0.28901881300000004,-2.2666463424,-0.1100881451
abx_mega__cro_h2o__3,0.8751392546000001,-1.0995732814,-0.0362154853
abx_mega__gen_h2o__2,2.8534046361,-0.3417453627,1.5177043077999999
abx_mega__phos_h2o__4,-0.4329900486,-2.3238135264,1.3232500521000001
abx_mega__metro_dmso__2,4.6749015937,0.5858024643,-0.0747166474
abx_mega__ery_h2o__2,-0.5159017054,-1.2307346373999999,-0.2807799367
abx_mega__sacet_h2o__1,1.5340018615000002,-0.6242695432,0.9151376773000001
abx_mega__nal_naoh__5,-0.027711521000000003,-1.0619779832,0.41354575920000003
abx_mega__bacit_h2o__4,2.9542675758,0.13397059020000002,-1.5675970703000002
abx_mega__cip_naoh__3,1.2076201848,-0.17320528400000001,0.09652586440000001
abx_mega__ethanol-8__1,0.6726622338,-0.20240087180000002,0.1576196383
abx_mega__h2o-8a__1,0.1618300547,-0.0971057314,0.13248842730000002
abx_mega__ery_h2o__3,2.6749760054,-0.8867779663,-0.916387508
abx_mega__flavo_dmso__2,0.1749322479,-1.4603560779,-0.2272437066
abx_mega__rif_dmso__4,3.9740845189,1.4535125539,-1.3459734567
abx_mega__novo_h2o__5,4.3357783622,-1.953428176,-2.4360278466
abx_mega__teix_dmso__5,1.1294611804,-0.4313303536,-0.1304638677
abx_mega__naoh-2__1,-1.8376456253,-0.5583387254000001,1.2015103438999999
abx_mega__novo_h2o__6,5.0519517214,-1.4669604381,-2.1830101611
abx_mega__ctx_h2o__3,0.6890427157,-1.4022275673,-0.0395004954
abx_mega__rach_dmso__3,2.8880525977,-1.0470805025,-0.30797878300000003
abx_mega__valin_dmso__2,5.5949435718,-0.0571175887,-0.295923364
abx_mega__amyc-d_dmso__6,3.8977646281,3.0487445164,-0.7708811996
abx_mega__dox_dmso__2,3.6634925305,-0.086161181,0.15093434090000002
abx_mega__teix_dmso__6,1.3550088023,-1.1437201635,-0.3008084889
abx_mega__naoh-6__2,0.4487298367,-0.45280471180000004,0.3581433267
abx_mega__inh_h2o__2,7.6806196745,2.3214397157,0.40619404200000003
abx_mega__chl_h2o__3,1.8822440264,-0.8374176234,-2.1331251326
abx_mega__nal_naoh__6,2.4425516518,-0.488864051,0.4194562678
abx_mega__chl_dmso__2,6.0980921939,1.4628639730000002,-2.0356251017
abx_mega__rach_dmso__4,1.5941931287000002,-1.0352218889,-0.0051964574
abx_mega__teix_dmso__7,0.9749618907000001,-1.3213443249,-0.0653586292
abx_mega__ceru_ethanol__1,4.0241411522,-0.2048036491,0.0188418328
abx_mega__dmso-7__1,1.9446466019000002,-0.6530977671,-0.044397451000000004
abx_mega__naoh-6__3,0.4058688011,-0.3545163605,0.3124144779
abx_mega__phos_ethanol__2,-0.5201480324000001,-0.3033010798,0.2841772851
abx_mega__metro_dmso__3,1.1497010634,0.729948004,0.0908817786
abx_mega__van_dmso__4,4.0311809584,-0.1705418354,-0.8963584155000001
abx_mega__h2o-10__1,1.9296222555,-1.2312325557000001,-0.22039111590000002
abx_mega__h2o-10__2,1.5039146668,-0.9843702977000001,-0.0631937426
abx_mega__dmso-6__3,3.2561613234,0.0425418183,-0.0191665773
abx_mega__mem_dmso__1,1.7375494906000002,-0.8255378794,-0.6471257081
abx_mega__ethanol-8__2,1.2368608877,0.3371634268,0.4626685608
abx_mega__chl_h2o__4,0.6991895481,-0.7681592023,-2.1404038085
abx_mega__van_h2o__1,3.9882721259,-0.2438499684,-1.8627721528
abx_mega__dcs_h2o__1,-0.5370781805,-0.8477336411,-0.12802607200000002
abx_mega__rif_dmso__5,2.0938195936,0.4393490909,0.5735711507
abx_mega__dox_dmso__3,2.9178642143999998,-0.3204126925,0.07726165480000001
abx_mega__mem_dmso__2,3.4442716559,-0.8324732674,0.09144197650000001
abx_mega__lvx_dmso__2,1.0831408648,0.1740779865,0.0842132775
abx_mega__tet_h2o__2,0.9999002403,0.5728475233,-1.2929433244
abx_mega__phos_h2o__5,0.5104974872,-2.0947160387,1.2442873809
abx_mega__monac_dmso__1,1.2871922644,-1.8954851723,0.3103531795
abx_mega__str_h2o__3,1.5894830913,-0.8417400902000001,-0.3413844791
abx_mega__zeocin_h2o__2,1.7034679223,-0.8756451346,1.1274093993
abx_mega__amyc-d_dmso__7,0.5709870518,2.9719159352,-1.0432523914
abx_mega__fidax_dmso__1,0.162601241,-0.38429036450000004,0.2006010544
abx_mega__h2o-1a__1,0.7163872856,-0.2071090298,-0.022596626300000002
abx_mega__dox_dmso__4,1.9536284898,-0.1829134462,0.4366795611
abx_mega__lzd_dmso__2,3.62592974,0.3227810733,-1.1858085482
abx_mega__tet_h2o__3,2.2075592959,-0.0981472761,-1.0686608025
abx_mega__dmso-1__2,1.9583994474000002,0.5070074459,0.1115067421
abx_mega__sxt_dmso__2,1.2003593472,-0.2295314893,-0.4186389994
abx_mega__tric_ethanol__2,5.8786801529,-0.8479333621,-0.0366297854
abx_mega__teix_dmso__8,3.3950338366,-0.8705260668,-0.1923341057
abx_mega__ramo_h2o__2,1.168215387,-0.9273138717,-0.7023753489
abx_mega__inh_h2o__3,-0.1567668854,-1.0063051804,0.253464208
abx_mega__cst_h2o__3,1.5828364618,-0.0991682744,0.027463216800000002
abx_mega__dmso-9__1,1.5252290399000001,0.6063071544,0.0472278454
abx_mega__ethanol-8__3,0.4066519784,-0.6815290684,0.6590774471
abx_mega__monac_dmso__2,0.9163661742,-1.6871640462,0.2934980431
abx_mega__dmso-9__2,0.6703348422000001,0.6054862193,0.11884781250000001
abx_mega__metro_dmso__4,4.5779388166,1.1827449229,0.15861618260000002
abx_mega__ctx_h2o__4,1.0262016123,-1.8668806608000001,0.0894985073
abx_mega__zeocin_h2o__3,6.0328891039,-0.0159066795,0.8582045257
abx_mega__bacit_h2o__5,4.6427822179,-0.0240822045,-1.4255491236
abx_mega__reta_dmso__1,0.2638532947,-0.5324031439,-1.0351053693
abx_mega__ery_h2o__4,-0.3923373633,-0.7852138685000001,-0.9001201883000001
abx_mega__ceru_ethanol__2,3.3831087031,-0.3152036642,-0.3242905562
abx_mega__fidax_dmso__2,0.0970228888,-0.1795708751,0.08486932550000001
abx_mega__novo_dmso__1,4.9958352307,-2.6771418287,-1.9570583002
abx_mega__naoh-6__4,-1.8081319016,-0.9173499697,0.2552933709
abx_mega__amyc-d_dmso__8,3.24925547,-0.3262241765,-0.43568484230000004
abx_mega__chl_dmso__3,5.4642736880000005,1.0267567353,-2.0456412787
abx_mega__nal_naoh__7,0.41726769410000003,0.7383932551,-0.1632734368
abx_mega__teix_dmso__9,0.6272681153,-1.130317816,-0.2168730651
abx_mega__ery_dmso__3,2.2535063114,-0.45597715110000003,-1.5756542059
abx_mega__tmp_dmso__3,-0.3878249131,-0.6762216732,0.32528136300000005
abx_mega__sxt_dmso__3,0.48717282180000004,-1.5081666164,-0.14053964330000002
abx_mega__polmyx_h2o__4,-0.3648647117,-3.4811546165,1.1406727053
abx_mega__mem_dmso__3,1.2660319163,0.7786491925,-0.06681513310000001
abx_mega__nal_naoh__8,6.6896510026,-3.5871777707,1.2688132411
abx_mega__pen_h2o__3,-0.2402762614,0.4132925682,0.23233576590000002
abx_mega__van_dmso__5,4.7733426953,-0.22615833440000002,-0.889357767
abx_mega__zeocin_h2o__4,-1.7840649505,-0.0864959289,1.0564724501
abx_mega__h2o-6__2,-0.2556179213,-0.5685554030000001,0.24726663980000002
abx_mega__tet_h2o__4,2.003013864,-0.3089652718,-1.0365800236
abx_mega__nor_naoh__4,0.6122940972,-0.0599264133,0.4981947551
abx_mega__cip_naoh__4,2.0752102321,-0.2527288961,0.5490157933
abx_mega__tmp_dmso__4,0.6698867393,-0.770207702,0.5829206563
abx_mega__reta_dmso__2,-1.7670528059000001,-1.032957006,-0.5937644181
abx_mega__mem_dmso__4,1.9821610731,-2.4089454358999998,-0.2487708811
abx_mega__dox_dmso__5,0.7694032427,-0.7504316128,-1.0303426588
abx_mega__tmp_dmso__5,2.4596911375,0.10342182600000001,0.3258882099
abx_mega__flavo_dmso__3,0.8602294492,-1.4848192067000001,-0.09793082630000001
abx_mega__tmp_dmso__6,1.6783336829,-0.0029966413,0.009192764400000001
abx_mega__ceru_ethanol__3,3.1341711719,-1.798926072,-0.2818189614
abx_mega__teix_dmso__10,2.1826834466,-0.5060660609000001,0.2555886242
abx_mega__novo_h2o__7,3.4556246164,-2.1800121148000002,-2.4923208716
abx_mega__fidax_dmso__3,0.6097541647,0.1799107047,0.0265918919
abx_mega__h2o-1a__2,-0.9923681179,0.0894522408,0.0502654489
abx_mega__dcs_h2o__2,1.5471461927,0.1204806508,-0.0714286154
abx_mega__cst_h2o__4,2.0787075972,-0.21221340100000002,-0.4024056727
abx_mega__van_h2o__2,2.0201771741,-0.1166827926,-0.3481878051
abx_mega__pen_h2o__4,-0.0505357108,0.6241392828,-0.2353329872
abx_mega__h2o-8b__2,-1.6758488114999999,-0.9406945483,0.4444527092
abx_mega__reta_dmso__3,-0.8559424184000001,-1.6131202488,-0.5073201017
abx_mega__dmso-7__2,2.3397446869,-1.619088767,0.1256757167
abx_mega__rfp_h2o__2,2.2518498761,1.3024358066000001,-2.0259353231
abx_mega__rif_dmso__6,4.3718998302,1.0312198038,-0.6414152081000001
abx_mega__sxt_dmso__4,0.7150966286,-1.2854907094999999,-0.3668832581
abx_mega__cip_naoh__5,1.86148039,-0.5142536919,0.6596887577
abx_mega__dmso-9__3,1.5510243905999999,0.5299616273000001,-0.4267464928
abx_mega__mem_dmso__5,1.746136751,-0.7591755009000001,-0.6997992307
abx_mega__tric_h2o__2,3.9821619632000003,-0.4848490103,0.2685582915
abx_mega__phos_h2o__6,-0.7756514842000001,-0.4081462583,0.5088963159000001
abx_mega__h2o-7__2,0.7438334980000001,-0.9682239014,-0.167956335
abx_mega__h2o-10__3,2.4172053014,-1.3566246145,-0.1055654431
abx_mega__h2o-8a__2,0.5350170059,0.2509495252,0.0703608285
abx_mega__thio_dmso__3,1.078986743,-1.4394066111,-0.7914709644
abx_mega__lzd_dmso__3,1.5524094952,-0.7321833493000001,-1.0927391439
abx_mega__monac_dmso__3,6.3244162794,0.053515086,-0.7390397722000001
abx_mega__polmyx_h2o__5,0.8707259022,-0.5187010058,-0.2809620798
abx_mega__naoh-6__5,-0.46362064410000003,0.0496975688,0.1841100018
abx_mega__teix_dmso__11,0.520212232,-0.2794126442,0.1089117346
abx_mega__van_h2o__3,2.7242255127,-0.5797674125,-0.5676256122000001
abx_mega__teix_dmso__12,0.5827834544,0.1625203687,-0.2669940836
abx_mega__dox_dmso__6,2.3352595472,-1.3606907782,1.6093912496
abx_mega__teix_dmso__13,2.4143624752,-0.9373961457000001,-0.9136441388000001
abx_mega__h2o-7__3,1.0603013998,-0.8891139745000001,-0.4075259614
abx_mega__str_h2o__4,0.6965380903,-2.4675846089,0.9197853666
abx_mega__tec_h2o__3,0.2244708215,-2.7281204543,-0.9284875142000001
abx_mega__phos_h2o__7,0.8071199013,-0.5018804391,0.34526246800000004
abx_mega__chl_h2o__5,-0.0428971515,0.09691302980000001,-1.2962534687
abx_mega__polmyx_h2o__6,-0.7116531519,-1.5578326514,1.1079225296
abx_mega__teix_dmso__14,-0.4388170883,-0.3417996958,0.0194375221
abx_mega__rif_dmso__7,1.626571313,0.5220075393,-0.2145087944
abx_mega__ramo_h2o__3,1.1772711623,0.1350719595,-0.6762790293000001
abx_mega__fidax_dmso__4,1.9829687682000001,0.0855098537,-0.2661435093
abx_mega__teix_dmso__15,0.2979862797,-0.7547479257,0.1125841484
abx_mega__thio_dmso__4,1.4404947012,-0.7835092327000001,-1.2669997895
abx_mega__rif_dmso__8,5.6862775121,1.4070350745,-0.9490454433000001
abx_mega__reta_dmso__4,-0.5283609413,-1.2643621772,-0.9690931601
abx_mega__inh_h2o__4,5.2160794201,1.9719624729,-0.0241342287
abx_mega__novo_dmso__2,4.3348271043,-2.9244331037,-2.2460678111
abx_mega__dcs_h2o__3,0.3784935944,-0.5118542187,0.11402991400000001
abx_mega__h2o-8b__3,1.9465952352,0.2803714346,-0.0158607487
abx_mega__valin_dmso__3,4.0974901906,0.25049985950000003,-0.3435745698
abx_mega__h2o-2__1,1.0987275567,-0.5111483092,1.4447230882
abx_mega__cro_h2o__4,0.0010726966000000001,-0.316455029,0.3542840964
abx_mega__dcs_h2o__4,-1.161239262,-1.1795091198,-0.29097605190000003
abx_mega__str_h2o__5,0.8544115299,-1.0872629802,-0.0070387947
abx_mega__h2o-8a__3,1.5083814964,-0.7108576283,0.018473961900000002
abx_mega__dox_dmso__7,2.3841837111,-0.5335787858000001,0.12226418400000001
abx_mega__doxo_dmso__2,1.0315687073,-1.001820461,-0.7612597064000001
abx_mega__teix_dmso__16,2.1965087781,-0.9001016085,-0.9173834419
abx_mega__rfp_h2o__3,1.7476943788,1.1511422848,-2.1806557236
abx_mega__ethanol-10__3,1.4133855922,-1.3684363809,0.36078840910000004
abx_mega__naoh-2__2,-0.8671972611000001,-2.1006695599,1.2356640049
abx_mega__van_h2o__4,3.9604915641,-0.22931271560000002,-1.7677145281
abx_mega__sacet_h2o__2,2.8189421652,-2.5959824451999998,0.8157683827000001
abx_mega__monac_dmso__4,1.7662845362000001,-1.3035254483,0.2139757377
abx_mega__h2o-2__2,0.725416334,-2.9205711458,1.4981059219000001
abx_mega__zeocin_h2o__5,1.2851362211000001,-0.9325018584,-0.0855545303
abx_mega__nor_naoh__5,0.8796657723,0.11608320750000001,0.039692083600000004
abx_mega__naoh-9__2,0.4517982726,0.4128293917,0.27293093900000004
abx_mega__dmso-7__3,1.9396319471,-1.6398485224,0.0965410043
abx_mega__van_h2o__5,2.7096510005,-0.6445832638,-1.7221896830999999
abx_mega__flavo_dmso__4,0.33947404410000004,-1.2150795177,-0.13669319770000002
abx_mega__novo_dmso__3,5.0914361414,-3.2144218348,-1.9234392212
abx_mega__polmyx_h2o__7,0.5797139283,-0.9330441027,-0.1673024673
abx_mega__teix_dmso__17,1.2727721061000001,-0.8176500630000001,-0.2015783474
abx_mega__doxo_dmso__3,-4.519774269,-1.1730391364,-1.2152036882
abx_mega__mem_dmso__6,2.2037260452,0.1056031354,-0.0043932032
abx_mega__h2o-1a__3,0.27598083230000003,0.11765678900000001,-0.0276688226
abx_mega__bacit_dmso__3,6.9158903456,0.8125374867,-0.5504433776000001
abx_mega__dox_dmso__8,-0.3758921357,-1.7229798474,1.2436190967
abx_mega__teix_dmso__18,2.2267923928,0.1054691782,-0.2988256621
abx_mega__h2o-6__3,1.4976695684,-0.3213727685,0.0209425012
abx_mega__pen_h2o__5,3.482319218,0.0094229381,-0.6239368795
abx_mega__lzd_dmso__4,1.124182148,-0.2949020813,-0.7995984583
abx_mega__daro__1,0.7537738216000001,-1.2945130246,-1.7620445799
abx_mega__solv__1,2.0808105275,-1.7880288468,-1.4941064694000001
abx_mega__daro__2,0.8036662251000001,-1.3662043964000001,-1.5762251266
abx_mega__daro__3,1.3752463430000001,-0.8976483853,-1.5376643088000002
abx_mega__solv__2,1.2910124862,-1.4877704731999999,-1.3937082632
abx_mega__solv__3,2.4509910229000003,-1.3275149561,-1.4493337957999999
abx_mega__dmso-4__1,4.5193725022999995,0.49020278920000004,-0.0804324845
abx_mega__kirr_dmso__1,1.2196005604,-0.4722298902,-1.1445811309
abx_mega__kirr_dmso__2,1.732034761,-0.3487852731,-1.1164797509
abx_mega__kirr_dmso__3,2.1434248147,0.0475780108,-1.0590694453
abx_mega__dmso-4__2,5.3155449095,0.9660983663,0.0359916397
abx_mega__dmso-4__3,3.7661188919,0.7742645761,0.029184741400000002
ackA_pta__dnaA46_del_ackA__1,0.1766390039,1.0829350459,0.7146665595
ackA_pta__dnaA46_del_ackA__2,1.3981274847,1.0242693677,0.8220777715
ackA_pta__dnaA46_del_ackA__3,1.2934873322,0.9893481092,0.5069803657
ackA_pta__dnaA46_del_pta__1,2.616231408,2.2087793172,1.1730783603
ackA_pta__dnaA46_del_pta__2,0.4227912211,0.6979677942,0.3249456479
ackA_pta__dnaA46_del_pta__3,1.0236800501,0.94696335,0.6135040390000001
ackA_pta__dnaA46__1,-0.6211632581000001,0.190678232,0.1133576176
ackA_pta__dnaA46__2,0.43105852050000004,-0.0724246613,0.0015735624
ackA_pta__dnaA46__3,0.4774106127,0.3010693129,0.2269934593
ackA_pta__del_ackA__1,-1.3162636896,1.4414781025,0.6225962427
ackA_pta__del_ackA__2,1.5421570986000002,2.0848442361,1.2655000028
ackA_pta__del_ackA__3,-0.45963646890000004,1.1135660972,0.42048260200000004
ackA_pta__del_pta__1,0.0734727653,0.23907558580000002,0.1706344994
ackA_pta__del_pta__2,0.41859606990000003,0.8128432762000001,0.079417526
ackA_pta__del_pta__3,0.8837850214,0.7314738937,0.3249669045
ackA_pta__wt__1,0.5240628264,-0.4028787324,-0.047209396
ackA_pta__wt__2,-0.437770353,0.32591616760000003,-0.0226563457
ackA_pta__wt__3,-0.0862924734,0.07696256480000001,0.0698657418
anticancer__5fu__1,-0.2525385962,-0.102415293,-0.1317250762
anticancer__5fu__2,0.11419504770000001,-0.0171837304,-0.1413445466
anticancer__cap__1,-2.365749741,0.6884094461,-0.4605219212
anticancer__cap__2,-2.0114902549,0.6728060703000001,-0.3240954263
anticancer__cap__3,-1.7223208893000002,0.5784286838,-0.3754474897
anticancer__wt__1,-0.0577836128,-0.0421806724,0.120321752
anticancer__wt__2,-0.2133628613,-0.044449360800000004,0.0973637826
anticancer__wt__3,0.271146474,0.0866300332,-0.2176855345
anticancer__5fu__3,-1.7389309926,-0.6276537972,-0.46488478320000004
bio_pln__aero_pln__1,-0.27105146620000004,-0.0616462393,0.158354786
bio_pln__aero_pln__2,0.27105146620000004,0.0616462393,-0.158354786
bio_pln__anaero_pln__1,0.2099813683,-1.0164273945,-0.0594704921
bio_pln__anaero_pln__2,-0.416208583,-0.9435451421000001,-0.0022764227
biocide__bzcl_12h__1,0.4854853087,0.2142574592,-1.0674852711
biocide__bzcl_12h__2,4.0897382047,0.0829306461,-0.4174722784
biocide__bzcl_12h__3,0.0281818547,-0.09049726870000001,-0.8043395864
biocide__etoh_12h__1,0.2941458877,0.8602542751000001,-0.2920191998
biocide__etoh_12h__2,0.7548811956,0.8765866588000001,-0.12755710550000002
biocide__etoh_12h__3,0.9288827638,0.7907005887,-0.4098354937
biocide__gluald_12h__1,0.3834913406,0.2447279089,-0.2385179128
biocide__gluald_12h__2,0.2295100214,0.5890979129,-0.3199409617
biocide__gluald_12h__3,-0.8782053347000001,0.44150699330000004,-0.49266045900000005
