,A,RcnR
crp__wt_glyc__2,-0.5539942227,-0.17157633900000002
crp__delar1_glyc__1,0.3162872463,-0.725287703
crp__delar1_glyc__2,-0.8891799373,-0.9935500850000001
crp__delar1ar2_glyc__1,-1.5474641304999999,-0.10179745100000001
crp__delar1ar2_glyc__2,-1.5018803525000002,-0.401939109
crp__delar1ar2_glyc__3,-1.2336396714,-0.071722935
crp__delar2_glyc__1,0.0826322272,-0.8012529740000001
crp__delar2_glyc__2,0.112942631,-0.9158050740000001
crp__delar2_glyc__3,-0.046712302500000004,-1.134514244
crp__delcrp_fru__1,-0.7690223874000001,0.5330126430000001
crp__delcrp_fru__2,-1.646031486,0.17101385100000002
crp__delcrp_fru__3,-1.6614155742,0.43120016200000005
crp__delcrp_glc__1,-2.5160434454000002,-0.35331610700000005
crp__delcrp_glc__2,-2.395831647,-0.31001461900000005
crp__delcrp_glc__3,-2.8625442862,-0.06934808
crp__delcrp_glyc__1,-0.3911066159,0.373437356
crp__delcrp_glyc__2,-0.1969731244,0.861302663
crp__delcrp_glyc__3,-0.2236224782,0.673388422
glu__glu_ale3__1,-0.9914744544,-1.100198983
glu__glu_ale4__1,-1.7304368764,-1.826340466
glu__glu_ale5__1,-0.9148420739,-1.881637483
glu__glu_ale6__1,-3.1567714878,-2.363176605
glu__glu_ale8__1,1.2673834967,-0.42428964500000005
glu__glu_ale9__1,-0.9907253252,-1.10373604
glu__glu_ale10__1,-0.0318364088,-1.356654652
42c__wt_42c__1,-3.4095181019,-1.58645739
42c__42c_ale1__1,2.1407091668,-0.06706350400000001
42c__42c_ale2__1,3.4314671944,0.094838275
42c__42c_ale3__1,2.7917794061,0.20609959600000002
42c__42c_ale4__1,3.7938655777,0.40554597000000003
42c__42c_ale5__1,2.1230543565,0.20797947300000003
42c__42c_ale6__1,2.5082745786,-1.367694958
42c__42c_ale8__1,2.4436636756,0.07149564400000001
42c__42c_ale9__1,1.1284904128,-0.253415642
42c__42c_ale10__1,3.698776944,0.158654973
ssw__wt_ac__1,0.14880068700000001,0.027331025000000002
ssw__wt_glc__1,-2.6346323872,-2.72731994
ssw__wt_glyc__1,-1.8587381509,-0.8598270830000001
ssw__wt_xyl__1,3.3910805305,0.55874533
ssw__glc_ale1__1,-0.3242397527,-0.031882842
ssw__glc_ale2__1,0.4375462459,0.180301904
ssw__glc_ale3__1,1.1821452559,0.069595446
ssw__glyc_ale1__1,0.5598636134,0.249052293
ssw__glyc_ale2__1,1.2849960785,0.08626623400000001
ssw__xyl_ale1__1,0.3293230902,0.240485352
ssw__xyl_ale2__1,0.47235982530000004,0.599128438
ssw__xyl_ale3__1,1.4073983679,0.38169818600000005
ssw__glc_ac_ac2__1,2.6853483463,0.143201355
ssw__glc_ac_glc1__1,2.516132916,0.7957340140000001
ssw__glc_glyc_glc__1,1.4110737583000001,-0.27365204400000004
ssw__glc_glyc_glyc__1,2.0620725139,-0.09396214600000001
ssw__glc_xyl_glc__1,1.3683289858,-0.52858035
ssw__glc_xyl_xyl__1,1.5845908301,0.15649384300000002
ica__wt_glc__1,0.028271792,-1.039048232
ica__wt_glc__2,0.0696454594,-1.010339626
ica__wt_glc__3,1.9434068648,0.30812308600000005
ica__wt_glc__4,2.4432443732999998,0.272595381
ica__arg_sbt__1,1.6754131695,-0.741133547
ica__arg_sbt__2,2.7775130499,-0.730496974
ica__cytd_rib__1,-0.5282773660000001,-0.114679742
ica__cytd_rib__2,-1.159074002,-0.048804474
ica__gth__1,0.22736581890000002,0.15267329500000001
ica__gth__2,0.5518372087,0.7206900540000001
ica__leu_glcr__1,3.2894422194,-0.33478074500000005
ica__leu_glcr__2,3.086058679,-0.38215043200000004
ica__met_glc__1,0.9497030428000001,-0.9546780410000001
ica__met_glc__2,0.6854344423000001,-0.643300477
ica__no3_anaero__1,2.804413788,0.34882186200000004
ica__no3_anaero__2,2.1404950254,0.19721707500000002
ica__phe_acgam__1,1.3676750199,-0.478959968
ica__phe_acgam__2,1.5144077588,-0.564812364
ica__thm_gal__1,-0.6110719899,-0.339104285
ica__thm_gal__2,-0.8603297723000001,-0.327109245
ica__tyr_glcn__1,1.7725938111000001,-0.7292525550000001
ica__tyr_glcn__2,1.7681721482000001,-0.42142663300000005
ica__ura_pyr__1,2.1654828328,0.159317234
ica__ura_pyr__2,1.9183638315,0.013569296000000002
ica__wt_glc__5,1.1728164564,-0.11192909100000001
ica__wt_glc__6,1.5810583612,0.009853463
ica__bw_delpurR_cytd__1,2.146264581,-0.31336873200000004
ica__bw_delpurR_cytd__2,2.4197839208,0.616193654
ica__ade_glc__1,2.1061176934,0.36693773700000004
ica__ade_glc__2,2.6174069273000002,-0.061400693000000006
ytf__wt_glc__1,1.2370399618,0.0528584
ytf__wt_glc__2,1.5652277843,0.40585735100000003
ytf__delyafC__1,1.2238929808,0.5245464550000001
ytf__delyafC__2,1.6750276056,0.508856928
ytf__delyeiE__1,1.318230234,0.874520513
ytf__delyeiE__2,0.5869174505,0.55985742
ytf__delyiaJ__1,1.9489509903000002,0.526537695
ytf__delyiaJ__2,2.1941569291,0.7538945810000001
ytf__delyieP__1,1.463337756,0.23113397100000002
ytf__delyieP__2,0.7975563985,0.228209085
ytf__wt_ph5__1,0.1406707515,-0.21423604200000002
ytf__wt_ph5__2,0.1713356125,-0.20673317100000002
ytf__wt_ph8__1,-0.8948025272000001,-0.307406764
ytf__wt_ph8__2,0.3759741169,-0.27135427500000003
ytf__delybaO__1,1.345232043,0.482423663
ytf__delybaO__2,0.629921625,0.457110285
ytf__delybaQ__1,0.4462269842,0.14817270800000001
ytf__delybaQ__2,0.25354729530000003,0.16059503800000002
ytf__delybiH__1,1.2126564263,-0.154537118
ytf__delybiH__2,-0.11649503280000001,-0.082995474
ytf__delydcI_ph5__1,0.4075377525,-0.352562955
ytf__delydcI_ph5__2,1.072206711,-0.23811253300000002
ytf__delydcI_ph8__1,0.40087043910000003,0.21628385400000003
ytf__delydcI_ph8__2,-0.6783202564,-0.643591855
ytf__delyddM__1,0.9987563149,0.939983961
ytf__delyddM__2,0.7848321802,0.9308881980000001
ytf__delyheO__1,1.3738186115,0.31145757700000004
ytf__delyheO__2,1.0367955907,0.07704654200000001
fps__bw_glc__1,1.3714308121,0.057735226
fps__bw_glc__2,1.0831827496,0.014355052
fps__fps_thrA_ale1__1,1.4912430571,0.095700583
fps__fps_thrA_ale1__2,1.701459848,0.135858865
fps__fps_thrA_ale2__1,2.2236066065,0.13129245
fps__fps_thrA_ale2__2,1.8125404724,0.163908151
fps__fps_serB_ale1__1,0.0185198976,0.014835906000000001
fps__fps_serB_ale1__2,-0.1663770688,-0.07646942400000001
fps__fps_serB_ale4__1,-0.9021541517,0.33127966600000003
fps__fps_serB_ale4__2,-0.8493269732000001,0.66306339
fps__fps_ptsI_ale1__1,0.47029674130000004,-0.12260625800000001
fps__fps_ptsI_ale1__2,0.6969540191,-0.1287186
fps__fps_ptsI_ale3__1,0.5090161790000001,-0.12067140100000001
fps__fps_ptsI_ale3__2,0.6121298344,-0.172077175
pal__lyx_ale2_f6__1,-1.0885558203,0.155978373
pal__lyx_ale2__1,-1.2364933879,0.08011802200000001
pal__lyx_ale2__2,-1.3671520911,-0.34399398800000003
pal__lyx_ale4__1,-0.6422173961000001,-0.457009918
pal__lyx_ale4__2,0.3678249293,-0.744635386
pal__5drib_ale10_f18__1,-0.9354273325,0.22119391400000002
pal__5drib_ale10_f18__2,-1.8609835785,-0.032018456
pal__5drib_ale10__1,-0.0048382237,0.236999172
pal__arab_ale14_f9__1,0.40073395380000004,0.19594408400000002
pal__arab_ale14_f9__2,-0.30507529910000003,0.177644732
pal__arab_ale14__1,-0.7168943680000001,-0.20434526500000003
pal__arab_ale14__2,-0.2697525073,-0.43683069500000005
pal__arab_ale16__1,-0.3768046418,0.522229445
pal__arab_ale16__2,-0.5228302645,0.7231453670000001
pal__tartr_ale26_f10__1,-1.4409015119,-0.295378493
pal__tartr_ale26_f10__2,-1.7111152154,-0.10581317
pal__tartr_ale26__1,-1.2631156055,-0.496563805
pal__tartr_ale26__2,-2.2995635616,-0.7186874950000001
pal__tartr_ale28_f10__1,-1.8697465409,-0.17173517700000002
pal__tartr_ale28_f10__2,-1.6544252309,0.006290127
pal__tartr_ale28__1,-2.7596642447,-0.8301107040000001
pal__tartr_ale28__2,-2.1726213712,-0.007330827000000001
efeU__delmenFentC_citr__1,-0.4525944007,-1.24532109
efeU__delmenFentC_citr__2,-0.045694428700000005,-1.42374913
efeU__delmenFentC__1,0.3526280889,0.32187158200000004
efeU__delmenFentC__2,1.149362931,0.357670982
efeU__menFentC_ale39__1,1.7607890382,-0.6904280420000001
efeU__menFentC_ale39__2,2.3736929963,-0.460637085
efeU__menFentC_ale29__1,-0.020088782000000003,-1.2882595079999999
efeU__menFentC_ale29__2,0.3042284223,-1.228597355
efeU__menFentC_ale30__1,1.2986066743,-0.460426528
efeU__menFentC_ale30__2,-0.2621401527,-0.982954282
efeU__menFentCubiC_ale36__1,2.3276998814,0.153984685
efeU__menFentCubiC_ale36__2,1.5146189315,0.193599654
efeU__menFentCubiC_ale37__1,1.4970714592,0.240387077
efeU__menFentCubiC_ale37__2,1.6891083339000001,0.36931278500000003
efeU__menFentCubiC_ale38__1,2.1899224863,0.764319378
efeU__menFentCubiC_ale38__2,2.2550647459,0.479433857
misc2__salc_glc__1,0.6014238726000001,0.684618975
misc2__salc_glc__2,0.5235289791000001,0.93491448
misc2__dbcn_glc__1,3.2286190465,0.048773867000000005
misc2__dbcn_glc__2,2.5525185832,0.548856036
misc2__tyr_glc__1,2.6545261814,0.549072835
misc2__tyr_glc__2,2.494970991,0.578353962
misc2__arg_cytd__1,1.3888679111,-0.645609136
misc2__arg_cytd__2,1.6599523822000002,-0.430917078
misc2__delyheO_pyr__1,0.6159554105,0.285694402
misc2__delyheO_pyr__2,0.6471292616000001,0.23976975900000003
nquinone__delubiC__1,2.1489713879,0.139129374
nquinone__delubiC__2,3.4475507421,0.389314453
nquinone__ubiC_ale1__1,1.9748721177,0.6063526730000001
nquinone__ubiC_ale1__2,2.2047673641,0.49155982800000003
nquinone__ubiC_ale2__1,1.8956704751000002,0.232148924
nquinone__ubiC_ale2__2,1.4958444325,0.08633402600000001
nquinone__ubiC_ale3__1,2.7745884724,-0.240153322
nquinone__ubiC_ale3__2,2.6014342084,-0.300985064
nquinone__ubiC_ale4__1,1.9787431079000002,0.38585072
nquinone__ubiC_ale4__2,1.4995871433,0.538306814
nquinone__delpdhR__1,2.8175678688,-0.198512759
nquinone__delpdhR__2,2.7828802191,-0.023748870000000002
quinone__glu_ale4__1,2.6561573437,-0.11993674300000001
quinone__glu_ale4__2,4.6238525186,-0.12011469200000001
quinone__delmenF__1,1.2405948068,0.6830639420000001
quinone__delmenF__2,0.9835620524,-0.11057849300000001
quinone__menF_ale5__1,2.9734464979,-0.040425458000000004
quinone__menF_ale5__2,2.3240330315,-0.7032418770000001
quinone__menF_ale6__1,2.1033752114,-0.865294965
quinone__menF_ale6__2,2.3217440769,-0.602052337
quinone__menF_ale7__1,3.2643970381000003,-0.546098343
quinone__menF_ale7__2,3.0007806972,-0.5106044590000001
quinone__menF_ale8__1,3.4631039711,0.155971348
quinone__menF_ale8__2,3.6734968909,0.384123412
quinone__delmenFubiC__1,1.9005150682,0.418002313
quinone__delmenFubiC__2,2.3417873685,0.49251076200000005
quinone__menFubiC_ale1__1,2.5482826781,-0.44768361300000004
quinone__menFubiC_ale1__2,3.089320811,-0.500335622
quinone__menFubiC_ale2__1,3.4467142765,-0.392655904
quinone__menFubiC_ale2__2,3.0723467034,-0.374638519
quinone__menFubiC_ale3__1,2.0827074426,-0.085239572
quinone__menFubiC_ale3__2,1.9654066632,0.12080463100000001
quinone__menFubiC_ale4__1,1.3122728029,-0.12270700500000001
quinone__menFubiC_ale4__2,1.1223269558,0.068354554
oxyR__wt_glc__1,0.7190099697,0.00800291
oxyR__wt_glc__2,0.5521548144,0.124600361
oxyR__wt_h2o2__1,0.625093631,-0.15405533700000001
oxyR__wt_h2o2__2,0.6240933673,0.326980384
oxyR__glu_ale4__1,1.7894484875,0.622760921
oxyR__glu_ale4__2,1.0755219276,0.16486288600000001
oxyR__glu_ale4_h2o2__1,2.4637292845,0.43689774800000003
oxyR__glu_ale4_h2o2__2,2.7009104693,0.588099053
oxyR__oxyR_ale17__1,0.7871670368,0.156438332
oxyR__oxyR_ale17__2,1.7039549541999999,0.040696242
oxyR__oxyR_ale17_h2o2__1,1.1374007202,0.158705598
oxyR__oxyR_ale17_h2o2__2,0.9842491046,0.28705371900000004
oxyR__oxyR_ale18__1,-0.030083808000000004,-0.7546124240000001
oxyR__oxyR_ale18__2,0.1147956104,-0.415454645
oxyR__oxyR_ale18_h2o2__1,1.7910807957000001,-0.09140224500000001
oxyR__oxyR_ale18_h2o2__2,1.8451882571,-0.011917869000000001
oxyR__oxyR_ale19__1,0.264966982,-0.49384432800000005
oxyR__oxyR_ale19__2,0.0753580494,-0.43219391900000004
oxyR__oxyR_ale19_h2o2__1,0.2160137274,-0.49713387400000003
oxyR__oxyR_ale19_h2o2__2,0.24598396800000003,-0.704651444
oxyR__oxyR_ale20__1,0.8910883580000001,-0.189604657
oxyR__oxyR_ale20__2,0.893176191,-0.282156854
oxyR__oxyR_ale20_h2o2__1,1.4277612708,-0.13837343500000002
oxyR__oxyR_ale20_h2o2__2,1.5670807573,-0.010913057
svns_pgi__BmePgi24_15__1,0.2459706592,0.192962041
svns_pgi__BmePgi24_15__2,0.4320960737,0.41827435100000004
svns_pgi__BmePgi24_26__1,0.1669133167,0.11253367700000001
svns_pgi__BmePgi24_26__2,0.0801414512,0.145456567
svns_pgi__BmePgi24_41__1,-0.21323841240000002,0.72741601
svns_pgi__BmePgi24_41__2,0.31720521890000003,0.32395245100000003
svns_pgi__BmePgi24_52__1,-0.11368706070000001,0.034896646
svns_pgi__BmePgi24_52__2,0.046738132200000004,0.26838537900000003
svns_pgi__PaePgi2_34__1,-0.1930442454,0.46177167700000005
svns_pgi__PaePgi2_34__2,0.0419912463,0.46636997700000005
svns_pgi__PaePgi2_63__1,-0.4214420582,0.6250172900000001
svns_pgi__PaePgi2_63__2,-0.2979423373,0.447728314
svns_pgi__PaePgi24_54__1,0.5875602644,0.745957261
svns_pgi__PaePgi24_54__2,0.9140106141000001,0.839357137
svns_pgi__PaePgi24_90__1,1.2870991332,0.754424218
svns_pgi__PaePgi24_90__2,1.5042776717000002,0.89769911
abx_media__m9_ctrl__1,0.8166304097,0.17191567300000002
abx_media__m9_ctrl__2,0.3840434995,0.021526239000000003
abx_media__rpmi_ctrl__1,-2.3342850889,-1.48227829
abx_media__rpmi_ctrl__2,-3.3169795153,-1.6682944370000001
abx_media__camhb_ctrl__1,-1.0535048497,-2.278770718
abx_media__camhb_ctrl__2,-1.0786992155,-2.573472675
abx_media__m9_mero__1,1.5397197889,0.23505840100000003
abx_media__m9_mero__2,0.3001260438,-0.058084362
abx_media__rpmi_mero__1,-3.2677284715,-2.090877709
abx_media__rpmi_mero__2,-3.8362632207000003,-2.069368711
abx_media__camhb_mero__1,-2.7360392161,-3.003201141
abx_media__camhb_mero__2,-2.6692036359999998,-3.367082168
abx_media__m9_trisulf__1,-0.2769409516,-0.611019591
abx_media__m9_trisulf__2,-0.7577905215,-0.474187803
abx_media__rpmi_trisulf__1,-3.2367978137,-1.483400993
abx_media__rpmi_trisulf__2,-3.2142177197,-1.495736251
abx_media__camhb_trisulf__1,-6.0488391035,-2.302284037
abx_media__camhb_trisulf__2,-5.9029429624,-2.555862706
abx_media__m9_cef__1,-1.2739314289,-0.563511659
abx_media__m9_cef__2,-0.5733396136000001,-1.007405212
abx_media__rpmi_cef__1,-0.48541302890000004,-0.49187666500000005
abx_media__rpmi_cef__2,0.6803517423000001,-0.11275852
abx_media__camhb_cef__1,-3.6562471696000003,-2.74308787
abx_media__camhb_cef__2,-4.0235024881,-2.735962752
abx_media__m9_cipro__1,-1.1783431905,-0.576926186
abx_media__m9_cipro__2,-0.2549007884,-0.325762522
abx_media__rpmi_cipro__1,-4.3556563442,-1.528036667
abx_media__rpmi_cipro__2,-3.8333040894,-1.147301402
abx_media__camhb_cipro__1,-5.1156642926,-3.396059885
abx_media__camhb_cipro__2,-5.7326588908,-3.667107217
hot_tale__42c_ale3_30c__1,1.1096601289,0.180105643
hot_tale__42c_ale3_30c__2,1.7139133100000001,0.049053829
hot_tale__42c_ale3_37c__1,2.9844291476,0.25826491500000004
hot_tale__42c_ale3_37c__2,3.0262885731,0.463060415
hot_tale__42c_ale3_44c__1,2.1253944483,0.9851953870000001
hot_tale__42c_ale3_44c__2,1.8373348722,1.034024894
hot_tale__hot_ale3_mid_30c__1,2.9220532561,0.580574188
hot_tale__hot_ale3_mid_30c__2,1.6479955258999999,0.060349304000000006
hot_tale__hot_ale3_mid_37c__1,3.4477710868,0.25110817
hot_tale__hot_ale3_mid_37c__2,2.1950726789,-0.43367359200000005
hot_tale__hot_ale3_mid_44c__1,4.2833786666,0.763773483
hot_tale__hot_ale3_mid_44c__2,2.5995100503,0.6406464970000001
hot_tale__hot_ale3_30c__1,2.1252768847,0.28407437
hot_tale__hot_ale3_30c__2,1.7823881402000001,0.33714965900000005
hot_tale__hot_ale3_37c__1,1.0128246135,-0.26663989600000004
hot_tale__hot_ale3_37c__2,1.3922287423,-0.017467455
hot_tale__hot_ale3_44c__1,2.1498216414,0.489024542
hot_tale__hot_ale3_44c__2,1.7867655795,0.312307755
hot_tale__hot_ale4_30c__1,1.701576835,0.1276545
hot_tale__hot_ale4_30c__2,1.489970094,0.021482373000000003
hot_tale__hot_ale4_37c__1,1.6080825542000001,-0.26584555400000004
hot_tale__hot_ale4_37c__2,1.5555585401,-0.525897527
hot_tale__hot_ale4_44c__1,2.0947966256,0.634267511
hot_tale__hot_ale4_44c__2,2.4740618999,0.775518051
hot_tale__hot_ale8_30c__1,1.6100315398,0.125974722
hot_tale__hot_ale8_30c__2,1.4320698284,0.040557197
hot_tale__hot_ale8_37c__1,1.6148089277,-0.31376653400000004
hot_tale__hot_ale8_37c__2,1.2913594395999999,-0.266463687
hot_tale__hot_ale8_44c__1,1.3058748133,0.21816710900000003
hot_tale__hot_ale8_44c__2,1.1292551828,0.30836454
hot_tale__hot_ale9_mid_30c__1,0.9975285943000001,-0.05862233
hot_tale__hot_ale9_mid_30c__2,1.2956454042,-0.0036678690000000003
hot_tale__hot_ale9_30c__1,1.5310843943,-0.192262914
hot_tale__hot_ale9_30c__2,1.3243314031,-0.220752521
hot_tale__hot_ale9_mid_37c__1,1.4949190585,-0.49944385900000005
hot_tale__hot_ale9_mid_37c__2,1.7452302392,-0.19262383200000002
hot_tale__hot_ale9_37c__1,1.8537484264000001,0.19899001600000002
hot_tale__hot_ale9_37c__2,2.1613600583,0.049009751000000004
hot_tale__hot_ale9_mid_44c__1,1.746420934,0.6627349680000001
hot_tale__hot_ale9_mid_44c__2,1.6762040659,0.747609582
hot_tale__hot_ale9_44c__1,1.5818003053,0.564901168
hot_tale__hot_ale9_44c__2,1.9955095303000001,0.731957021
hot_tale__hot_ale10_30c__1,2.2158688626,0.126765602
hot_tale__hot_ale10_30c__2,1.8509255876,0.172797628
hot_tale__hot_ale10_37c__1,2.3310551085,-0.337163416
hot_tale__hot_ale10_37c__2,2.1774413269,-0.18097195400000002
hot_tale__hot_ale10_44c__1,2.5703364326,0.574130278
hot_tale__hot_ale10_44c__2,2.0506564451,0.906966746
hot_tale__hot_ale16_30c__1,0.6105516981,-0.931879753
hot_tale__hot_ale16_30c__2,1.0779581271,-0.507442531
hot_tale__hot_ale16_37c__1,0.6192543007,-0.863451803
hot_tale__hot_ale16_37c__2,0.8752882117,-0.8111998300000001
hot_tale__hot_ale16_44c__1,1.0603052022,0.49499276000000003
hot_tale__hot_ale16_44c__2,1.2967451145,0.49842742700000003
pdhr_ale__pdhR-13_51__1,0.2379338336,0.018673061
pdhr_ale__pdhR-13_51__2,1.2070645807,-0.11906535500000001
pdhr_ale__pdhR-14_46__1,0.505645086,0.593049225
pdhr_ale__pdhR-14_46__2,0.1199024221,0.343071198
pdhr_ale__pdhR-15_51__1,2.8244390645,0.493456488
pdhr_ale__pdhR-15_51__2,2.9443310099,0.44587328800000003
pdhr_ale__pdhR-16_49__1,1.6151792312,0.205947646
pdhr_ale__pdhR-16_49__2,0.4912565762,0.266321782
tcs__del_atoC_LiAcet__1,1.4769946585,-0.543512545
tcs__del_atoC_LiAcet__2,1.2184447135,-0.722640217
tcs__del_atoC_LiCl__1,0.980635377,-0.660541688
tcs__del_atoC_LiCl__2,0.40851987100000003,-0.6268040450000001
tcs__del_atoC_m9__1,0.9662588752000001,-0.441374386
tcs__del_atoC_m9__2,1.2387379888,-0.294459327
tcs__del_baeR_etoh__1,-1.0298931346,-0.989613234
tcs__del_baeR_etoh__2,-0.7041943938,-0.8830921340000001
tcs__del_baeR_lb__1,-2.2098076139,-1.326622719
tcs__del_baeR_lb__2,-1.8092131336000001,-1.131499081
tcs__del_btsR_01xlb__1,-8.3195616132,-3.247151325
tcs__del_btsR_01xlb__2,-7.851723124,-2.675000487
tcs__del_btsR_lb__1,-1.9924797311,-1.5431420120000001
tcs__del_btsR_lb__2,-1.643530019,-1.684746061
tcs__del_btsR_pyruvate__1,-7.8635855847,-3.008597163
tcs__del_btsR_pyruvate__2,-7.8629804318000005,-3.12199876
tcs__del_cpxR_etoh__1,-1.641242968,-1.334962827
