,STM3796A
SRX8757611,0.532922603
SRX8757612,-0.2973868702
SRX8757613,0.2427422192
SRX8757614,0.2039445979
SRX8757615,-0.3183782543
SRX8757616,0.27834823200000003
SRX8757617,0.5826391656000001
SRX8757618,-0.1172287671
SRX8757619,-0.6891829143
SRX8757620,0.0098989047
SRX8757621,-0.675234858
SRX8757622,-0.6673105155
SRX8757623,0.8408752662000001
SRX8757625,0.5520210684
SRX8757626,1.0987971738
SRX8757628,0.2874879655
SRX8757630,0.4093810008
SRX8757631,0.2137645021
SRX8757632,0.0162552559
SRX8757633,-0.0925486365
SRX8757634,0.5697085677
SRX6054568,-0.1181278057
SRX6054569,0.1181278057
ERX540771,0.2093530337
ERX540772,-0.2093530337
ERX540773,-0.07370774840000001
ERX540774,0.025957381800000002
SRX4702827,-0.0950574544
SRX4702828,-0.11144945140000001
SRX4702829,0.20650690570000002
SRX4702830,-0.136695645
SRX4702831,-0.23331250590000002
SRX4702832,-0.36315053610000003
SRX2993586,0.2256429134
SRX2993587,-0.2256429134
SRX2993588,-0.2256429134
SRX2993589,0.5264927993
SRX2993590,0.3481124772
SRX1462169,0.36510333040000004
SRX1462104,-0.0313454632
SRX1462103,0.0257049311
SRX1462105,0.186984551
SRX1462171,0.4474599802
SRX1462102,-0.0257049311
ERX1045682,-1.6171505338
ERX1045674,0.2786198391
ERX1045681,-0.0042708582
ERX1045662,-1.1272110813
ERX1045684,0.164462709
ERX1045660,-0.1484559773
ERX1045664,0.0627645748
ERX1045670,-1.1603190431
ERX1045667,0.0453059819
ERX1045675,-0.8723784308
ERX1045673,-1.08545524
ERX1045677,-0.0995574892
ERX1045679,-0.3062853238
ERX1045659,-1.1702935893
ERX1045663,0.0233734061
ERX1045668,-0.11522786
ERX1045689,0.0238691475
ERX1045685,-0.3335984856
ERX1045683,-1.1160463789
ERX1045680,-1.6430431493
ERX1045666,-0.4399404516
ERX1045658,-0.1835652569
SRX1816875,-0.1311611003
SRX1816859,-0.059665370200000005
SRX1816857,0.178920977
SRX1816863,-0.188493729
SRX1816867,0.3360826731
SRX1816858,-0.11925560680000001
SRX1816879,0.8343896211
SRX1816878,0.6465221865
SRX1816868,0.5018139853
SRX1816866,0.5396561851
SRX1816870,-0.5768401724000001
SRX1816880,0.8510930723000001
SRX1816864,-0.4696800801
SRX1816874,0.8594203716000001
SRX1816877,0.0960526435
SRX1816861,0.5129650211
SRX1816872,0.72222619
SRX1816862,0.6560638181
SRX1816871,0.1356469666
SRX1816876,-0.0497538674
SRX1816869,-0.2109347113
SRX8370456,-0.5434985081
SRX8370458,0.6932796133
SRX8370457,-0.1497811051
ERX321085,-0.1387120986
ERX321083,0.20276171040000002
ERX321086,-0.20276171040000002
ERX321081,0.1852851086
SRX974437,0.0
SRX976478,-2.1075002687
SRX976341,-3.4417771622
SRX976476,-0.2977853489
SRX976336,-1.6054645866000001
SRX976480,-2.0034531945
SRX976335,-0.6789637454
SRX976343,-3.1372778511
SRX976468,0.022421412800000002
SRX976471,-0.5250505877
SRX976474,-2.707367583
SRX976469,-0.4439583693
SRX976470,-1.7112803631
SRX976482,-2.1404695408
SRX976344,-3.4117931197
SRX976475,-2.3413841394
SRX976473,-2.1811725802
SRX3456073,-2.4574421706000003
SRX3456063,-2.8948582366
SRX3456076,-2.5506120898
SRX3456082,-1.9952852362
SRX3456094,-1.2756067357
SRX3456067,-3.2659866119
SRX3456061,-2.9205680916
SRX3456065,-0.32243397220000003
SRX3456064,-2.9701126832
SRX3456085,-1.8527954397
SRX3456079,-2.0073477914
SRX3456084,-1.5025902467
SRX3456074,-2.2291221249
SRX3456080,-2.3503810077000002
SRX3456070,-0.0882831307
SRX3456069,-3.1819081871
SRX3456089,-0.65714172
SRX3456062,-3.4503017689
SRX3456087,-1.7836485708
SRX3456066,-3.065805013
SRX3456092,-1.7581157789000001
SRX3456075,0.1443378402
SRX3456098,-1.2386119015000001
SRX3456096,-2.1171165472
SRX3456068,-2.685193408
SRX3456060,0.32243397220000003
SRX3456072,-3.3099406239
SRX3456093,-1.3916453017000001
SRX3456097,-1.0530172018
SRX3456077,-3.2441388643
SRX3456071,-2.8954842901999998
SRX3456078,-1.4810591525
SRX4029144,-0.11047415470000001
SRX4029145,-0.4525293801
SRX4029142,-0.1605151219
SRX4029141,0.1113171579
SRX4029146,-0.588953069
SRX4029143,0.049197964000000004
ERX2173642,-1.5887133157000002
ERX2173639,0.0669935712
ERX2173641,-2.1656930792
ERX2173640,-0.0669935712
SRX3139264,0.0644549463
SRX3139266,-0.4756013859
SRX3139265,-0.0644549463
SRX3139267,-0.37324387470000003
SRX2949967,0.08088483190000001
SRX2949969,0.1638190833
SRX2949968,-0.08088483190000001
SRX2949970,0.2528095475
SRX7514165,-0.1433948139
SRX7514167,1.1532987321000001
SRX7514159,-0.6274170099
SRX7514156,-0.0364835369
SRX7514162,-0.4241395807
SRX7514172,0.4776078628
SRX7514171,-0.4366613982
SRX7514155,0.4745546339
SRX7514161,-0.9994205675000001
SRX7514173,0.5890828212
SRX7514166,0.5767381093
SRX7514160,-0.5158074113000001
SRX7514164,-0.4371450072
SRX7514175,0.6197707477000001
SRX7514168,0.8173893593
SRX7514158,-0.04220808
SRX7514163,-0.7577054612
SRX7514169,-0.6627024848
SRX7514152,-0.8677060231
SRX7514157,0.0786916169
SRX7514170,-0.2892725592
SRX7514174,0.38968610940000004
SRX7514154,0.4569527686
SRX7476251,-0.1181594291
SRX7476248,0.5101783677
SRX7476249,1.1457697675
SRX7476252,-0.7350795027
SRX7476246,0.3745819157
SRX7476255,-0.7783584904
SRX7476247,-0.006915952
SRX7476254,-0.2063759756
SRX7476244,1.0136338141
SRX7476250,0.1181594291
SRX7476245,0.7567936604000001
SRX7476253,-0.9467255335
SRX1639010,0.2825719557
SRX1639002,-0.6321570105000001
SRX1639013,-1.1249237314
SRX1638990,-0.18141763460000002
SRX1638991,-0.8386192954
SRX1639016,-0.29753931580000004
SRX1639008,-1.6399908938999999
SRX1638993,-0.2160145004
SRX1639000,-0.3322510086
SRX1639009,-0.4024519962
SRX1639012,-0.764004338
SRX1639015,-0.015197661000000001
SRX1639001,-1.6287303049
SRX1638989,0.0
SRX1638992,-0.8486291825000001
SRX1638995,-0.7794978055
SRX1639011,0.1635336082
SRX1639014,0.169563933
SRX1639007,-0.3849505259
SRX1638994,-0.8435455866
SRX334198,1.4917817079
SRX334211,-0.09826693800000001
SRX334183,0.3227390108
SRX334205,0.20475998450000002
SRX334185,0.43812086040000003
SRX334203,1.3406063598
SRX334202,-0.40751718880000004
SRX334201,0.43410334040000004
SRX334184,-0.323995963
SRX334199,-0.0166339465
SRX334188,0.13671251040000001
SRX334207,0.37857590690000004
SRX334186,0.2107190618
SRX334196,-0.5462785493
SRX334194,0.2692133382
SRX334212,0.3666383133
SRX334190,-0.7562422352
SRX334181,0.44098805080000003
SRX334189,-0.4196817534
SRX334204,1.7427872224
SRX334200,0.8971833219
SRX334214,0.0
SRX334197,1.5733791387
SRX334213,0.8100775286
SRX334210,-0.12637321840000001
SRX334195,0.20915933720000002
SRX334206,0.31117394870000004
SRX666590,0.5132263082
SRX666587,0.5358332329000001
SRX666588,-0.5358332329000001
SRX666589,1.3494646626
SRX4665717,-1.5796070554
SRX4665719,-0.1216284021
SRX4665716,-1.4098772565
SRX4665710,0.127752416
SRX4665712,-0.8630946518
SRX4665726,0.5388246904
SRX4665731,-0.0501917427
SRX4665733,-0.5440206735
SRX4665732,-0.1272834321
SRX4665725,0.0
SRX4665713,-1.2880903559
SRX4665711,-1.6398390944
SRX4665728,0.14860852360000001
SRX4665709,-0.7226896442
SRX4665727,0.2231143439
SRX4665706,-0.8714887519000001
SRX4665722,0.3976480417
SRX4665708,0.9900339796000001
SRX4665715,-1.9494418724
SRX4665718,-1.6813909372
SRX4665705,-1.7893498304
SRX4665704,-0.36542160300000004
SRX4665714,-1.2218527288
SRX4665723,-0.6740234699000001
SRX4665703,-0.0472185024
SRX4665720,0.1042637839
SRX4665729,0.5771468563000001
SRX4665695,1.3470950558
SRX4665685,-1.1924356384
SRX4665673,1.5136975436
SRX4665700,-0.090336075
SRX4665682,-1.1789882632
SRX4665670,-0.46778253820000004
SRX4665701,-0.6918686206
SRX4665699,0.0019954275
SRX7268193,-0.34976973100000003
SRX4665686,-0.3245274691
SRX4665679,-0.170308874
SRX4665690,-2.0415918286
SRX4665681,-0.0029540646
SRX4665687,0.6056612492
SRX4665676,-0.3340826476
SRX4665693,1.5183881538000001
SRX4665692,0.0
SRX7268192,0.4511433318
SRX4665684,-0.2832484563
SRX4665677,-0.30323789290000003
SRX4665698,-0.4285491283
SRX4665675,1.6240734113
SRX4665683,-1.0739486035
SRX4665696,0.9816442476
SRX4665694,1.1301838671
SRX4665678,0.3579193026
SRX4665689,-0.5931638512
SRX4665697,0.2968869113
SRX4665680,-0.27306302190000004
SRX4665702,-1.618338829
SRX4665672,1.112341685
SRX4665671,0.8688739539
SRX3471976,-0.6330469321000001
SRX3471978,-0.0703263736
SRX3471973,-0.11779843150000001
SRX3471974,-1.3072347531
SRX3471975,0.0
SRX3471977,-1.244401341
SRX1392948,-0.4728441021
SRX1392949,-0.0659601888
SRX1392950,0.3902933678
SRX1392951,0.5479977363
SRX1392954,-0.6268043738
SRX1392955,0.6268043738
SRX4340129,0.16154809350000002
SRX4340130,-0.16154809350000002
SRX4340131,0.2524943175
SRX4340132,0.4435641383
SRX4340133,0.3640881116
SRX4340134,0.3106357601
SRX8537506,-0.012210677900000001
SRX8537507,0.0514191852
SRX8537508,-0.0392085073
SRX8537509,0.5403895518
SRX8537510,-0.21645261640000002
SRX8537511,0.294140736
