,A,CysB
SRX5694444,-0.06917604890000001,-0.6642520362000001
SRX5694445,1.9262713867,-0.4761366415
SRX5694446,-3.0319755213,-0.029525075300000002
SRX5694447,1.2139574514,-1.1622265794
SRX5694448,-2.3125897753,1.1713591411
SRX5694449,-4.1617268227,-0.3050483391
SRX5694450,-4.1523228153,0.073507822
SRX5694451,0.4841600944,-0.4990312609
SRX5694452,-8.3088767924,-1.3863472325
SRX5694453,-6.1895415178,0.8845898667000001
SRX5694454,0.8399814175,0.39374488760000004
SRX5694455,-6.7995479476,-0.6827985419
SRX5694456,-2.3739468534,-0.20750297250000002
SRX5694457,-1.4488229491,0.3990597967
SRX5694459,-3.0282379265,0.3221607636
SRX5694460,1.9174865842000002,-0.2584217915
SRX5694461,-3.3465063363,-0.6319391957
SRX5694462,-7.2583015723,-0.8566400294000001
SRX5694463,0.881316011,-0.3693616977
SRX5694464,-4.0558118529,-0.39716516090000004
SRX5694465,-7.6671819256,-1.1305747277
SRX5694466,4.1346994839,0.0139185952
SRX5694467,-7.4907705176,-0.2760106483
SRX5694468,0.5625860197,-0.9195280148
SRX5694469,0.7437000582000001,-0.0475853914
SRX5694470,2.2959777095,0.043133412100000004
SRX5694471,-6.6521666913,-0.1972095194
SRX5694472,-5.5188660682,-0.11720673990000001
SRX5694474,-3.5167203603,-1.1165938508
SRX5694475,-4.7983528716,-0.7744488045
SRX5694476,0.9831643818,0.023057506300000002
SRX5694477,2.0608160046,-0.7192602786000001
SRX5694478,-2.9119931509,-0.6070386587000001
SRX5694479,0.0335783923,0.1251835966
SRX5694480,-0.9515300862,-0.1481568332
SRX5694481,0.7026353139,-1.1414715885
SRX5694482,-1.1228867559,0.0674274507
SRX5694483,-6.5190890901,-0.5617954888000001
SRX5694484,-5.1854271484,-0.5066710308
SRX5694485,-2.9438339462,0.2463675539
SRX5694486,-0.6220673616,0.4436240925
SRX5694487,-5.878379891,-0.6585668466
SRX5694488,2.7819325163,-0.48804832530000003
SRX5694489,-4.1537735725000005,-0.10813331150000001
SRX5694491,-4.1190722196,-1.067025673
SRX5694492,-4.4582975537,-0.1809023776
SRX5694493,-6.7154918517,-1.2770552596
SRX5694494,-4.456053413,-0.6935577146
SRX5694495,-2.9591182353,0.4048152954
SRX5694496,-0.4997680618,0.0028979594
SRX5694497,-3.0594122077,-1.4831172856000001
SRX5694498,-7.4438471813,-0.3471064104
SRX5694499,-4.007304132,1.0492209369
SRX5694500,-0.6593122107,-1.3248779418
SRX5694501,-8.3100573383,-1.105822446
SRX5694502,-9.9933287237,1.8503397406
SRX5694503,-3.1324982778,-0.3600800341
SRX5694504,-2.4392705507,0.4566213569
SRX5694505,3.3161931419,0.1362099715
SRX5694506,-4.6482187423,1.2625715853
SRX5694507,-1.335486648,-0.0212442932
SRX5694508,-0.3389725928,0.34482037
SRX5694509,-0.279485344,-0.702639019
SRX5694510,-3.8294005532,-0.2269101456
SRX5694511,-0.4746091461,-0.2620643801
SRX5694512,-4.904591116,-1.2735737898
SRX5694513,-2.3242934729,-0.2764901946
SRX5694514,3.2504388394,-0.6441031127
SRX5694515,0.40873301310000004,-0.023869502900000002
SRX5694516,4.079557582,-0.8463670390000001
SRX5694517,-6.2697783397,-0.0982132369
SRX5694518,-8.7922131748,-0.6342050514
SRX5694519,2.9093363892,-0.24080271250000002
SRX5694520,-0.8566738682,1.4225361504
SRX5694521,-5.3800558659,-0.1583932233
SRX5694522,-0.37268898110000004,-0.2768056445
SRX5694523,-3.1494771653,-0.8717643855
SRX5694524,-1.8386993491,-0.5175478086
SRX5694525,-1.7258919784,0.0192889474
SRX5694526,-0.2823491065,-1.1561021035
SRX5694527,1.1728659835,-1.7559367101
SRX5694528,-0.701934201,0.2005308744
SRX5694529,4.2818289066,0.0801631356
SRX5694530,-1.1134083701,1.1220050939
SRX5694532,-8.0527638364,-0.8412698405
SRX5694533,3.8576302901,1.3053961246
SRX5694534,-3.1061050813,-0.8190247363000001
SRX5694535,-0.010597339800000001,1.2822737685
SRX5694536,-0.36362496990000004,-0.5067831028
SRX5694537,-7.4505877545,-0.3069223514
SRX5694538,-5.6208604929,-0.013604828900000001
SRX5694539,-2.0663814005,-0.7189233265
SRX5694540,-7.2184821721,-1.1849391992
SRX5694541,-2.8696523093,-0.45647705590000004
SRX5694543,5.0898698633,-1.19683389
SRX5694544,-4.989267388,-0.7088174530000001
SRX5694545,-0.7480978697,-0.5631455142
SRX5694546,-0.2261740338,-1.5432736871000001
SRX5694547,-4.0542515883,-0.0537323227
SRX5694548,-1.6439793158,-0.0174509794
SRX5694550,-2.1845910687,0.0140519209
SRX5694551,-6.2576623002,0.8645132145000001
SRX5694552,-3.9807238891,-0.5792872758000001
SRX5694553,0.433668374,0.17316688130000002
SRX5694554,-7.6886566917,-0.5280813432
SRX5694555,-3.2846645189,0.0049421306000000005
SRX6072760,-2.2128522602,-0.8793596005000001
SRX6072761,3.0947753147,-1.3044219432
SRX6072762,-5.5040603022,-0.5471725992
SRX6072763,-1.1519960203,-0.6068654668
SRX6072764,2.0777759539,-1.3645041087
SRX6072765,-0.9315872111,-0.5987026861
SRX6376491,-6.2074204,0.0418053653
SRX6376492,-6.3271023745,0.035086371000000005
SRX6376493,-5.182892291,-0.0615724216
SRX6376494,-4.0238842821,0.22558810910000002
SRX6376495,-5.8974536671,-0.1740080391
SRX6376496,-5.9830838693,-0.08842459280000001
SRX2723951,0.6459789425,-0.1691854143
SRX2723952,0.1336370345,0.055853412000000005
SRX2723953,1.7561130419,-0.7252408232
SRX2723954,1.9175276059000002,0.7573335417
SRX2723955,-0.9656924162,-0.2872618678
SRX2723956,0.3254379032,0.6063203431
SRX2723957,2.0647859196,0.06721075900000001
SRX2723958,-0.22234810840000002,-0.7644116255000001
SRX2723959,2.9963878715,0.005016142800000001
SRX2723960,1.541844138,0.0538511777
SRX2723961,0.1370764264,0.6874065451
SRX2723962,1.2834775165,0.039024713100000004
SRX2723963,0.8583318121,-0.2808660536
SRX2723964,-0.9394247167,-0.2728891564
SRX2723965,1.9960814511,0.1561691312
SRX2723966,2.3894754012,-0.035767858300000004
SRX2723967,-1.6463593127,-0.0944042647
SRX2723968,-0.7431160885,0.1301721229
SRX6977206,-0.1888640207,-0.6974507129
SRX6977207,-0.2188497429,-0.5448459528
SRX6977208,1.9108772251000001,0.483113985
SRX6977209,2.3649821213,0.5752903942
SRX6977210,2.3821975183,0.4974868888
SRX6977211,-0.3170848156,-0.1081448735
SRX6977212,-0.122117471,0.1976450043
SRX6977213,0.4392022867,-0.08950013080000001
SRX6977214,0.28736683500000004,-0.9199484726
SRX1153733,-0.6532191714000001,0.1349477861
SRX1153734,0.6532191714000001,-0.1349477861
SRX1153735,-2.8154010699,0.2593908607
SRX1153736,-3.1742385776,0.3105430212
SRX5204053,1.1007868629,-0.37439962730000004
SRX5204054,-6.1729522442,-0.17985610870000002
SRX5204055,-0.3080547507,-0.2993054966
SRX5204056,-0.3541556241,-0.0878795546
SRX5204057,-0.0049911004,-0.051991943900000004
SRX5204058,-0.7170428546000001,-0.2289963398
SRX5204059,-2.7380611032,0.22373496410000002
SRX5204060,-3.120110766,0.0389299031
SRX5204061,-2.9084759237,0.061983239200000005
SRX5204062,-2.0837816736,-0.028699389800000003
SRX5204063,-2.1236518423,-0.0611103615
SRX5204064,-0.023969355100000003,-0.0936369839
SRX5204065,0.4552708398,-0.2665482601
SRX5204066,0.5901422277,-0.3305328495
SRX5204067,1.2990699004000001,-0.1797816267
SRX5204068,-0.19103551700000002,0.1954326734
SRX5204069,-0.382751267,-0.022245799700000003
SRX5204070,0.0682437186,-0.0388553288
SRX5204071,-0.0730280678,-0.0367185866
SRX5204072,0.48029981660000004,-0.131318068
SRX5204073,-0.3329445196,0.0354398653
SRX5204074,-1.0331686933,-0.2673935935
SRX5204075,0.3286165425,-0.09829001150000001
SRX5204076,-0.1756603918,-0.25668612150000003
SRX5204077,-0.5857781853,-0.1146778553
SRX5204078,-0.6089555478,-0.081003367
SRX5204079,-0.4553995866,-0.1035230437
SRX5204080,-1.1835666051,-0.0868573316
SRX5204081,-2.541166683,-0.1279902743
SRX5204082,-2.699047034,-0.24316052230000001
SRX5204083,-4.4605925111,-0.430819924
SRX5204084,-2.2671458375,-0.3665920485
SRX5204085,-4.9788556918,-0.6012988451
SRX5204086,1.6765018623999999,-0.4042936789
SRX5204087,-0.8279780012,-0.2508612445
SRX5204088,0.8749823211000001,-0.4444021011
SRX5204089,-1.4604673594,-0.059985501100000005
SRX5204090,-1.6653635576,-0.1600011203
SRX5204091,-1.1965088617,-0.21501123600000002
SRX5204092,-0.4271751277,-0.030480646900000002
SRX5204093,-1.3952022668000001,-0.2284696914
SRX5204094,-3.0539833153,-0.22106321810000001
SRX5204095,-1.0315970991,-0.050277185700000004
SRX5204096,1.3988009608,0.10198052070000001
SRX5204097,-0.3672038617,-0.051703335
SRX683459,0.7611247478000001,-0.030886260500000002
SRX683460,-5.6312347467,-0.4795010803
SRX683461,1.4986632103,-0.08020432970000001
SRX683462,-4.4982231046,-0.5837883921
SRX683463,-2.2597879581,0.1110905903
SRX683464,-3.2451452591,-0.4434052122
SRX683465,1.7174531637000001,-0.0779613344
SRX683466,-5.1991971674,-0.35158931920000003
SRX683467,0.9869777745,0.1954471864
SRX683468,-3.4818497484,-0.561959242
SRX683469,-0.18311490930000002,-0.2658213667
SRX683470,-2.2836486234,-0.4786503033
SRX322077,-5.0850937959,-0.9955711946
SRX322078,-2.0773244015,-0.3635731642
SRX322079,-3.5434763753,-0.2162976655
SRX322080,-3.1502768496,0.1058680072
SRX322081,0.6173977388,0.34766888490000003
SRX322082,0.6024911272,0.5043771586
SRX322083,-1.5712703394,0.2774193754
SRX322084,0.052499263500000004,-0.25879975920000003
SRX322085,1.5187710759000002,-0.0186196161
SRX2708592,-2.4774937788,0.2066704758
SRX2708593,-1.6102902534,0.07304112460000001
SRX2708594,-2.4010789482,-0.1054631178
SRX2708595,-1.7842728697,-0.3817944373
SRX2708596,1.1463998627,0.1118404563
SRX2708597,0.637873007,0.2699539811
SRX2708598,0.3954457014,0.6663562514
SRX2708600,0.8728957768000001,0.727018881
SRX2708601,-0.39096124600000004,0.2365501133
SRX2708602,-3.3255165248,-1.2054007024
SRX2708603,-0.7021257121000001,0.08395674510000001
SRX3073814,0.09407145500000001,-0.0469176471
SRX3073815,1.80845695,-1.2026708921
SRX3073816,2.8287508322,-2.0011835108
SRX3073817,4.8134625387,-2.5334094248
SRX3073818,4.0933508041,-2.7721825045
SRX3073819,-0.0856152012,0.0115036379
SRX3073820,1.4225577289,-1.4539886115
SRX3073821,1.9633795191,-2.4652839194
SRX3073822,3.8968534058,-3.047729897
SRX3073823,2.797051384,-2.9377837799
SRX3073824,-0.09407145500000001,0.0469176471
SRX3073825,2.8846173582,-1.3125782502
SRX3073826,3.1709248079,-1.9496283621
SRX3073827,5.5468302116,-2.8698291746
SRX3073828,4.7446194672,-2.5336376619000003
SRX3073829,-0.3409020283,-0.0343962768
SRX3073830,2.0089923023,-1.9534702896
SRX3073831,2.1829491198,-2.1307778059
SRX3073832,4.2306970291,-2.9994795754
SRX3073833,3.0298211827,-2.2490254138
SRX2391456,-2.9341421926,-0.12209626100000001
SRX2391457,-0.9713747981,-0.10583832330000001
SRX2391458,0.9785454670000001,0.4025471351
SRX2391459,0.8716559494,0.3514800816
SRX2391460,0.27765671210000004,0.1548768955
SRX2391461,0.0338023411,0.1367358333
SRX2391462,0.1760380622,0.13310562680000002
SRX2391463,-0.4749926594,0.17812401590000002
SRX2391464,-0.5832644943,0.1217757755
SRX2391465,0.0216086321,-0.0427676425
SRX2391466,0.2291530535,0.0304402119
SRX2391467,-0.0283545522,-0.0475145609
SRX2391468,-0.3286510581,0.0377598625
SRX2391469,0.0572095615,0.0937570491
SRX2391470,-2.3916096618,-0.2171023973
SRX2391471,-0.6145106646,0.09319170210000001
SRX2391472,1.1577433686,0.45634258980000003
SRX2391473,1.1975239374,0.3611418011
SRX2391474,0.8835686581000001,0.24033327200000001
SRX2391475,1.0382448948,0.2992272802
SRX2391476,-0.0490491092,0.1863164528
SRX2391477,0.7006217238,0.17360286730000002
SRX2391478,-1.02650556,-0.0534346819
SRX2391479,-0.23256833200000002,0.1455983674
SRX2391480,0.7445761621,-0.0033757949
SRX2391481,0.5644291837000001,0.11688534260000001
SRX2391482,0.4919261701,0.046402187000000004
SRX2391483,0.3394862675,0.1850147321
SRX2391484,-1.5014276156,-0.2423795758
SRX2391485,-1.1587910181,-0.2066927271
SRX2391486,0.8098664759,0.24824521260000001
SRX2391487,0.9854738145,0.35007349060000004
SRX2391488,0.6599742173,0.1931797007
SRX2391489,0.4282368412,0.13825298800000002
SRX2391490,0.6053331635,0.18572446250000002
SRX2391491,0.3968497589,0.20078104830000001
SRX2391492,0.2936674306,-0.0141776416
SRX2391493,0.41028983500000005,0.21782053810000002
SRX2391494,0.0181983093,0.0460978388
SRX2391495,0.0283545522,0.0475145609
SRX2391496,0.24120928330000002,0.09525832590000001
SRX2391497,0.7187178339,0.2277744984
SRX2391498,-1.074190932,-0.2247655544
SRX2391499,-1.3591316894,-0.0937950901
SRX2391500,0.8410702524,0.2110237003
SRX2391501,0.8533374598000001,0.3110112038
SRX2391502,0.7434161926,0.1836693227
SRX2391503,1.4101212868,0.26770404130000003
SRX2391505,0.5700260945,0.0925489582
SRX2391506,0.6135033664,0.1748213006
SRX2391507,0.3162950618,0.15344621190000002
SRX2391508,0.3239507191,-0.0810280693
SRX2391510,0.6218581652,-0.0356569236
SRX2391512,0.3662449426,-0.0651917937
SRX2391513,0.48389304800000005,-0.0149622869
SRX2391514,0.24906822790000002,-0.0508147877
SRX5632598,-2.1331234085,0.3113583308
SRX5632599,-1.3666360640000002,-0.1217567289
SRX5632600,-7.2411657451,0.1035476636
SRX5632601,-3.0659202196,0.3444308157
SRX5632602,4.464829402,1.0474587958
SRX5632603,-6.0177450625,0.4907808333
SRX5632604,2.2613999786,0.6017343748
SRX5632605,2.7652367748,0.5065343581
SRX5632606,-3.0420104203,0.2352676784
SRX5632607,-0.7584005399,0.1995243528
SRX5632608,0.8692993933000001,0.0266188592
SRX5632609,-4.0183195104,-0.0379501232
SRX5632610,-5.3831291663,-0.7556077130000001
SRX5632611,3.1490201172,0.011331264
SRX5632612,2.2759717259,-0.2531054532
SRX5632613,2.11833348,0.1011756382
SRX5632614,1.9525721487,0.3063736171
SRX5632615,3.2528401271,0.07821662600000001
ERX2874132,-1.3114650425,0.9560962631000001
ERX2874133,-1.6696873341,1.4554897616
ERX2874134,14.439476021800001,2.1253144091
ERX2874135,15.1217637381,2.1754951379
ERX2874136,15.0139606083,2.6817369909
ERX2874137,14.3948495054,2.5161465709
ERX2874138,2.4674575025,0.5776222207
ERX2874139,0.9106496730000001,0.9236987437
ERX2874140,-0.7412796666,0.028231165500000002
ERX2874141,0.7412796666,-0.028231165500000002
ERX2874142,11.5520480105,1.908321605
ERX2874143,12.0763705837,2.3949463426
ERX2874144,2.0272597994,0.7178806923000001
ERX2874145,1.7827344471000002,1.229463594
ERX2874146,-1.5756096006,0.4439592121
ERX2874147,-0.9820290828,0.5518073477000001
SRX1300292,-1.4830074128000001,-0.2539878196
SRX1300293,1.4830074128000001,0.2539878196
SRX1300299,0.0810797474,0.12045456140000001
SRX1300300,0.8494073651,0.1744051552
SRX1300304,4.3450053612,0.7311076026000001
SRX1300305,3.0643983197,0.3224412354
SRX1300306,3.4161914016,0.5092122376
SRX1300310,2.6159418743,0.8814413745
SRX1300311,2.7317319036,0.6761995632000001
SRX7291195,1.0814990061,0.5293776559
SRX7291196,1.0332772473,0.4586472594
SRX7291197,1.3305371601,0.5062743971
SRX7291198,-0.10453474430000001,-0.0118001101
SRX7291199,-0.0387863441,0.0588512115
SRX7291200,0.14332108840000002,-0.0470511014
SRX7291201,1.6238395496,0.6265342834000001
SRX7291202,0.9828069502000001,0.6664461293
SRX7291203,1.2935052967,0.5846501819000001
SRX7291204,-0.1788161745,0.11596426550000001
SRX7291205,0.025100025600000003,0.0848829911
SRX7291206,0.03586027,0.010508383500000001
SRX2436955,6.0407663562,0.5263894117
SRX2436956,-2.410952397,0.7489459350000001
SRX2436957,-2.5363783096,0.8153900303
SRX2436958,-3.4530552483,0.7029234955
SRX2436959,3.1974370169,0.18439322900000002
SRX2436960,2.9449642682,-0.1107564612
SRX2436961,-10.0890567389,0.5947706387
SRX2436962,-10.4946987537,-0.2526024411
SRX2436963,3.9657853114,0.3772856961
SRX2436964,-12.9350111427,0.7664242524
SRX2436965,-7.921999128,1.2708910905
SRX2436966,2.6515410113,0.33916543790000003
SRX2436967,-10.6318392341,0.8229443743
SRX2436969,4.1991646762,0.3891533179
SRX2436970,3.119853414,0.4337850272
SRX2436971,-10.1997258321,0.6996215984
SRX2437029,-10.307138931,-0.0883016096
SRX2437030,6.5444543624,0.9306840759
SRX2437031,0.6770835646000001,0.0449446968
SRX2437032,-2.3310913935,0.2503162686
SRX2437033,-3.0499434717,-0.0128175222
SRX2437034,-5.6451384957,1.2609475759
SRX2437035,5.039650987,1.09867082
SRX2437036,4.7783676178,1.0820606834
SRX2437037,-12.366218402,0.4043228954
SRX2437038,-0.9035216579,0.2275017359
SRX2437039,1.1628306195,-0.2443899391
SRX2437040,5.0496155977,1.1364292223
SRX2437041,6.3859509207,0.43383711900000005
SRX2437042,-4.2529377591,-0.2786293979
SRX2437043,-12.6339920619,0.3033426224
SRX2437044,-3.5683285643,-0.7102563492
SRX4705203,6.7454557619,-0.033403966800000004
SRX4705204,15.6824408399,-0.6234916025
SRX4705205,6.3711172444,-0.8482604813
SRX4705206,4.3492828161,-0.8802769023
SRX4705207,5.7744472552,0.1892321958
SRX4705208,5.3260943395,0.2406748844
SRX4705209,5.627214078,-0.0349811824
SRX4705210,16.167137082300002,-0.2801835776
SRX4705211,14.3435509622,-0.3603388682
SRX4705212,8.6293041587,-0.4942537024
SRX4705213,0.05420622,0.0387049672
SRX4705214,-0.032545978,0.2556707064
SRX4705215,-0.3071120949,0.0217635096
SRX4705216,0.2601192205,0.0633669957
SRX4705217,-0.1717100977,-0.31813111800000005
SRX4705218,0.1970427301,-0.061375061
SRX4705219,8.8568539382,-0.2365190757
SRX4705220,6.5220700674,-0.1595221299
SRX4705221,11.9734548785,-1.2894644305
SRX4705222,8.2116337121,-0.5414936111
