,A,MalT
abx_mega__rfp_h2o__1,-2.2662409993,-2.9230755697
abx_mega__tet_h2o__1,2.0780739422,-1.8224671942000001
abx_mega__flavo_dmso__1,9.1926070831,0.1999204718
abx_mega__zeocin_h2o__1,3.0068369326,0.9455676739000001
abx_mega__nor_naoh__3,5.4558074952,0.44760575880000003
abx_mega__rach_dmso__2,11.3471227342,0.8046043081
abx_mega__thio_dmso__2,-2.1169919082,-4.3564104173
abx_mega__amyc-d_dmso__3,-9.1748876124,-3.3562295635
abx_mega__rif_dmso__2,-0.9862149148,-0.1114199463
abx_mega__amyc-d_dmso__4,-0.6110580706000001,-1.0193142914
abx_mega__teix_dmso__3,2.7641970384,-0.2204313087
abx_mega__valin_dmso__1,4.0255098742,-0.36334700280000004
abx_mega__teix_dmso__4,3.9085035598999998,0.0442549951
abx_mega__ethanol-10__1,-3.06931411,1.0696502603
abx_mega__inh_h2o__1,1.1222227082,0.9736594403000001
abx_mega__rif_dmso__3,2.3202977221,-2.1650668957
abx_mega__van_dmso__3,3.8074269484,-2.7315408809
abx_mega__doxo_dmso__1,5.3092207981,0.3924673433
abx_mega__tmp_dmso__1,0.6047921708,0.5258279258
abx_mega__ethanol-10__2,3.116612227,0.9447355488
abx_mega__tmp_dmso__2,4.1221178998,0.6636303899
abx_mega__amyc-d_dmso__5,-8.861220288,-3.9226138668
abx_mega__novo_h2o__4,3.2952321522,-3.5431449472
abx_mega__cro_h2o__2,11.7121227766,0.6378912477
abx_mega__cro_h2o__3,11.7179543296,0.5075520274
abx_mega__gen_h2o__2,-0.5528010237000001,-3.475853452
abx_mega__phos_h2o__4,3.960145407,0.4364592728
abx_mega__metro_dmso__2,4.2958622399,-0.5198485176000001
abx_mega__ery_h2o__2,-8.7992587057,-2.2462941735
abx_mega__sacet_h2o__1,2.7597892229000003,-1.9514086249
abx_mega__nal_naoh__5,3.1160700161,0.1814146398
abx_mega__bacit_h2o__4,4.3219382743,-2.0599873913
abx_mega__cip_naoh__3,11.2194237495,0.544762764
abx_mega__ethanol-8__1,10.8075292155,0.8054316039
abx_mega__h2o-8a__1,11.7444887035,0.823303023
abx_mega__ery_h2o__3,-2.9624559294,-2.0400836137
abx_mega__flavo_dmso__2,11.6264604959,0.6960034318
abx_mega__rif_dmso__4,1.7767640667,-1.9431644447
abx_mega__novo_h2o__5,0.1603897715,-5.2388905187
abx_mega__teix_dmso__5,2.8832823629,0.7612967414
abx_mega__naoh-2__1,4.9676759704,-0.3382542968
abx_mega__novo_h2o__6,1.2554586353000001,-4.3076879432
abx_mega__ctx_h2o__3,12.0156747085,0.7613062956000001
abx_mega__rach_dmso__3,12.1282107692,0.6974015131
abx_mega__valin_dmso__2,5.2391608948,0.045628179000000005
abx_mega__amyc-d_dmso__6,-3.8249031881,-4.4364940599
abx_mega__dox_dmso__2,-3.7363964757,-0.0565133468
abx_mega__teix_dmso__6,3.780427651,0.8366547906
abx_mega__naoh-6__2,0.1070251143,0.2541001839
abx_mega__inh_h2o__2,1.8268915346,-0.6706084800000001
abx_mega__chl_h2o__3,-2.9394098507,-2.2528021156999998
abx_mega__nal_naoh__6,1.5360635178000002,0.0854171851
abx_mega__chl_dmso__2,-3.1979611218,-3.8434814023
abx_mega__rach_dmso__4,11.7668558204,0.8429300248
abx_mega__teix_dmso__7,2.124048049,0.6334357494
abx_mega__ceru_ethanol__1,-2.7524153792,0.1864347394
abx_mega__dmso-7__1,10.1265880814,0.3816746029
abx_mega__naoh-6__3,-1.622458258,0.46069504120000004
abx_mega__phos_ethanol__2,-4.1237068907,0.8129330956
abx_mega__metro_dmso__3,4.7249003161,-0.5118809938000001
abx_mega__van_dmso__4,3.2197850295,-2.9069631604
abx_mega__h2o-10__1,5.3724628979,0.648475655
abx_mega__h2o-10__2,0.5193442066,0.7907129135000001
abx_mega__dmso-6__3,5.0797835324,-0.01780542
abx_mega__mem_dmso__1,11.2913015075,0.4660269859
abx_mega__ethanol-8__2,7.2878767159,0.8023661001
abx_mega__chl_h2o__4,-3.1522163309,-1.5648044226
abx_mega__van_h2o__1,8.1040160199,-0.7246183466
abx_mega__dcs_h2o__1,-3.2616466365,0.9291218802000001
abx_mega__rif_dmso__5,-0.8504941386,-0.1416786878
abx_mega__dox_dmso__3,9.3310920889,0.0467450304
abx_mega__mem_dmso__2,11.0114206448,0.5853609470000001
abx_mega__lvx_dmso__2,10.6204914516,0.4759643693
abx_mega__tet_h2o__2,-4.2574867843,-2.2721803426
abx_mega__phos_h2o__5,3.6291154241,0.3204550221
abx_mega__monac_dmso__1,9.9757353375,-1.1399350173
abx_mega__str_h2o__3,7.5267296362,0.8121506380000001
abx_mega__zeocin_h2o__2,7.7017613465,0.2632757233
abx_mega__amyc-d_dmso__7,-3.5830366132,-4.495407596
abx_mega__fidax_dmso__1,1.8560276627999999,0.6695023305000001
abx_mega__h2o-1a__1,0.066437244,0.0551468096
abx_mega__dox_dmso__4,-4.145652965,0.2703251701
abx_mega__lzd_dmso__2,0.6954779606,-2.9805641146
abx_mega__tet_h2o__3,3.1311883494,-1.3721508185
abx_mega__dmso-1__2,6.4804418403,0.033781250400000004
abx_mega__sxt_dmso__2,10.0625681138,0.0887495806
abx_mega__tric_ethanol__2,5.7373362274,-0.8061548415
abx_mega__teix_dmso__8,5.9186688706,-0.1085737759
abx_mega__ramo_h2o__2,2.6959143935,-0.2865863098
abx_mega__inh_h2o__3,1.4919291509,0.9899520786
abx_mega__cst_h2o__3,1.2077329807,-0.3501266704
abx_mega__dmso-9__1,10.825564301,0.7470835919000001
abx_mega__ethanol-8__3,4.5736426759,0.7350421846
abx_mega__monac_dmso__2,7.3819121156,-2.5061623968999998
abx_mega__dmso-9__2,8.2338652521,0.43750590030000003
abx_mega__metro_dmso__4,-1.8469187749,-1.0548428998
abx_mega__ctx_h2o__4,12.4204685254,0.8729529441
abx_mega__zeocin_h2o__3,6.9442077885,0.4314667023
abx_mega__bacit_h2o__5,1.6017021092000001,-1.9421555397999999
abx_mega__reta_dmso__1,1.4415941973,-2.5983417256
abx_mega__ery_h2o__4,-3.1514137892,-2.7372226018
abx_mega__ceru_ethanol__2,5.6894272994,-1.9715176619
abx_mega__fidax_dmso__2,3.1197750484,0.7422926866
abx_mega__novo_dmso__1,1.6467586864000001,-3.1209950413
abx_mega__naoh-6__4,0.3728016939,0.2432284914
abx_mega__amyc-d_dmso__8,1.2166137002,-1.0948381076
abx_mega__chl_dmso__3,-5.206650198,-3.8958498221
abx_mega__nal_naoh__7,10.1086665224,0.594816107
abx_mega__teix_dmso__9,3.4111167938999998,0.6338413543
abx_mega__ery_dmso__3,-3.2017103118,-2.3825066411
abx_mega__tmp_dmso__3,0.674723379,0.5903645641
abx_mega__sxt_dmso__3,10.2570669479,0.5353943622
abx_mega__polmyx_h2o__4,5.8860927972,0.31009480370000003
abx_mega__mem_dmso__3,10.7277674466,0.6801414969
abx_mega__nal_naoh__8,12.0502573739,0.0039760546
abx_mega__pen_h2o__3,4.8763104961,0.23471688100000002
abx_mega__van_dmso__5,5.1927478612,-2.9885157282
abx_mega__zeocin_h2o__4,8.2404352193,0.0416928098
abx_mega__h2o-6__2,0.1699086847,0.1773810083
abx_mega__tet_h2o__4,2.1679078743,-1.8082137561
abx_mega__nor_naoh__4,7.2619213249,0.41830844180000004
abx_mega__cip_naoh__4,-6.6808267613,0.540149977
abx_mega__tmp_dmso__4,-8.4125761086,0.20595295400000002
abx_mega__reta_dmso__2,-0.8774261282,-2.7085792387
abx_mega__mem_dmso__4,11.639942862,0.8417511217
abx_mega__dox_dmso__5,-1.6075923668,-0.9967645661000001
abx_mega__tmp_dmso__5,8.843928377,0.6859337068
abx_mega__flavo_dmso__3,10.2475189955,0.7464182008
abx_mega__tmp_dmso__6,11.3751378663,0.7822207269
abx_mega__ceru_ethanol__3,1.0095225664,-1.3893193918
abx_mega__teix_dmso__10,6.0073127887,0.2869292915
abx_mega__novo_h2o__7,-5.1647925097,-5.0139455439
abx_mega__fidax_dmso__3,6.341930647,0.206521378
abx_mega__h2o-1a__2,-0.9299325614,-0.1994363701
abx_mega__dcs_h2o__2,11.2013780095,0.5596644267
abx_mega__cst_h2o__4,3.3920434814,-0.091560574
abx_mega__van_h2o__2,4.3652135314,0.3360970699
abx_mega__pen_h2o__4,10.2950903443,0.45812060590000003
abx_mega__h2o-8b__2,5.6932420678,1.0051138392
abx_mega__reta_dmso__3,0.9899347136000001,-1.6500115597
abx_mega__dmso-7__2,11.5346200292,0.776768511
abx_mega__rfp_h2o__2,-0.5567329081,-3.2325811966
abx_mega__rif_dmso__6,4.3171915085,-0.6910860251000001
abx_mega__sxt_dmso__4,10.6690837014,0.5136983898
abx_mega__cip_naoh__5,-0.623752378,0.5481106764
abx_mega__dmso-9__3,10.9960418723,0.4467527497
abx_mega__mem_dmso__5,9.8567937091,0.4229958253
abx_mega__tric_h2o__2,-3.6661020305000003,0.5376735072000001
abx_mega__phos_h2o__6,-0.1509371428,0.5115699702000001
abx_mega__h2o-7__2,9.4867441314,0.6136236786
abx_mega__h2o-10__3,-0.5246288988,0.7010371523000001
abx_mega__h2o-8a__2,11.6411416019,0.6202274592
abx_mega__thio_dmso__3,7.6043256805,-0.232467528
abx_mega__lzd_dmso__3,0.5776740829,-1.4224172686
abx_mega__monac_dmso__3,4.5686468300000005,-3.1749340279
abx_mega__polmyx_h2o__5,8.1694997184,0.0514868568
abx_mega__naoh-6__5,-3.6996583846,0.3750952462
abx_mega__teix_dmso__11,-0.8062231885000001,0.3003875605
abx_mega__van_h2o__3,5.4665003549,0.0984212826
abx_mega__teix_dmso__12,11.1406887194,0.4733130078
abx_mega__dox_dmso__6,4.6418647744,0.20835329230000002
abx_mega__teix_dmso__13,10.5923547287,-0.1498551759
abx_mega__h2o-7__3,9.64377723,0.39822444430000004
abx_mega__str_h2o__4,9.74588967,-0.6105485169
abx_mega__tec_h2o__3,9.0409119004,-1.8421214926
abx_mega__phos_h2o__7,-2.8685133171,0.5592967848
abx_mega__chl_h2o__5,-5.5357998562,-4.1144726723
abx_mega__polmyx_h2o__6,5.460160824,0.3047475308
abx_mega__teix_dmso__14,-0.1260209254,0.0998582248
abx_mega__rif_dmso__7,4.3914012099,-0.22246814180000002
abx_mega__ramo_h2o__3,9.5032225614,-0.2561051576
abx_mega__fidax_dmso__4,8.3354058107,0.19853507180000002
abx_mega__teix_dmso__15,3.9259160668,0.45971834600000006
abx_mega__thio_dmso__4,7.241008077,-0.5278481007
abx_mega__rif_dmso__8,3.6635486332,-1.0262964313
abx_mega__reta_dmso__4,-0.6398022916,-2.4855925162
abx_mega__inh_h2o__4,-3.3757682287,0.07368518710000001
abx_mega__novo_dmso__2,6.5785429883,-1.752108556
abx_mega__dcs_h2o__3,11.664800123500001,0.8520019844000001
abx_mega__h2o-8b__3,11.5311245915,0.5819528622
abx_mega__valin_dmso__3,5.7356884339,-0.5881279312000001
abx_mega__h2o-2__1,4.0403435195,0.4127825276
abx_mega__cro_h2o__4,10.0839509421,0.6877276345000001
abx_mega__dcs_h2o__4,-4.6424061407,1.0206914056
abx_mega__str_h2o__5,2.3552985159,0.7457761477
abx_mega__h2o-8a__3,11.8923029173,0.6631470287
abx_mega__dox_dmso__7,3.1673326611,0.1143415383
abx_mega__doxo_dmso__2,5.0130816107,0.2624780551
abx_mega__teix_dmso__16,9.7778669576,-0.2476716603
abx_mega__rfp_h2o__3,-0.5096702484,-3.4071810061
abx_mega__ethanol-10__3,-2.8228582975,1.1092903641
abx_mega__naoh-2__2,10.1992676596,0.2795750684
abx_mega__van_h2o__4,7.8832818172,-0.7544540669
abx_mega__sacet_h2o__2,4.1403257988,-1.5816127922
abx_mega__monac_dmso__4,7.2677173969,-1.5138637413
abx_mega__h2o-2__2,3.2135655249,0.5900590465000001
abx_mega__zeocin_h2o__5,6.768576842,0.9639518537
abx_mega__nor_naoh__5,11.0397083759,0.6026411531
abx_mega__naoh-9__2,9.0035995704,0.7021459619
abx_mega__dmso-7__3,12.1588996392,0.8483075573000001
abx_mega__van_h2o__5,7.9188683514000004,-1.0074425335
abx_mega__flavo_dmso__4,10.9303043124,0.7637578092
abx_mega__novo_dmso__3,1.911917928,-3.3447728502
abx_mega__polmyx_h2o__7,11.351018047,0.5476746499
abx_mega__teix_dmso__17,3.542045136,0.7972159154
abx_mega__doxo_dmso__3,3.4922316509,0.11907848530000001
abx_mega__mem_dmso__6,9.0145061381,0.39742612520000004
abx_mega__h2o-1a__3,0.8634953174000001,0.1442895606
abx_mega__bacit_dmso__3,3.7095824261,-0.6218689951
abx_mega__dox_dmso__8,7.7228413459,-0.1199622281
abx_mega__teix_dmso__18,7.4770529858,0.2484267818
abx_mega__h2o-6__3,-3.1544908613000002,0.4200203729
abx_mega__pen_h2o__5,10.4726224636,0.20012004860000002
abx_mega__lzd_dmso__4,0.6335333222,-0.8380692343
abx_mega__daro__1,10.5398378111,0.39983347290000004
abx_mega__solv__1,4.4868698454,-1.5359330011
abx_mega__daro__2,11.1036899642,0.4548430337
abx_mega__daro__3,7.3538619338,0.25119220340000004
abx_mega__solv__2,8.1771737944,-1.7537451624
abx_mega__solv__3,6.9453006663,0.4503306392
abx_mega__dmso-4__1,5.3407491888,-0.048772786400000004
abx_mega__kirr_dmso__1,-2.5904728945,-2.665699482
abx_mega__kirr_dmso__2,-3.6344813723,-3.1120703889
abx_mega__kirr_dmso__3,-7.8290574637,-3.6012761298
abx_mega__dmso-4__2,5.3525256178,-0.19179246200000002
abx_mega__dmso-4__3,5.8424108542,-0.19781594030000002
ackA_pta__dnaA46_del_ackA__1,1.6335078688,0.9538546217
ackA_pta__dnaA46_del_ackA__2,5.8617101964,2.1167382931
ackA_pta__dnaA46_del_ackA__3,0.7112654723,0.6942049225
ackA_pta__dnaA46_del_pta__1,23.7997432421,2.7675203401
ackA_pta__dnaA46_del_pta__2,1.0478856881,0.12358329030000001
ackA_pta__dnaA46_del_pta__3,-0.2303035339,0.5301908399
ackA_pta__dnaA46__1,1.1423826984,0.6145159409000001
ackA_pta__dnaA46__2,0.798846585,-0.951622845
ackA_pta__dnaA46__3,3.997024797,0.9090885528
ackA_pta__del_ackA__1,1.5426672468,1.1417552905
ackA_pta__del_ackA__2,16.2011173021,2.8953424956
ackA_pta__del_ackA__3,0.6122164528,0.7645666671
ackA_pta__del_pta__1,-0.28377544920000003,-1.1123014868
ackA_pta__del_pta__2,3.4000483158,0.7184084493
ackA_pta__del_pta__3,3.5783898634,1.1408698379
ackA_pta__wt__1,1.2122035761,0.737030101
ackA_pta__wt__2,-1.3170031122,-0.3832643804
ackA_pta__wt__3,0.10479953610000001,-0.3537657206
anticancer__5fu__1,-15.3410160516,-1.8108413982
anticancer__5fu__2,-15.5470080435,-1.5100258666
anticancer__cap__1,-14.3152476045,-1.2883441843
anticancer__cap__2,-15.3961422837,-1.6540188285
anticancer__cap__3,-15.2875929916,-1.6718697788
anticancer__wt__1,-0.1620748504,-0.4221682619
anticancer__wt__2,0.3765355972,0.1136048307
anticancer__wt__3,-0.2144607469,0.3085634312
anticancer__5fu__3,-16.2869087657,-2.5839694352
bio_pln__aero_pln__1,0.2742840706,0.0227500419
bio_pln__aero_pln__2,-0.2742840706,-0.0227500419
bio_pln__anaero_pln__1,1.1485717172,-0.12601425630000002
bio_pln__anaero_pln__2,-1.3137053113000001,-0.3443575297
biocide__bzcl_12h__1,1.36650525,-0.027776696
biocide__bzcl_12h__2,-7.376025355,-1.115632439
biocide__bzcl_12h__3,0.0895288711,-0.16937802600000001
biocide__etoh_12h__1,2.5143294972,0.6776385527000001
biocide__etoh_12h__2,3.0346670492,0.5110844175
biocide__etoh_12h__3,3.3044703616,0.7683026635
biocide__gluald_12h__1,-2.2930060117,-0.0559888808
biocide__gluald_12h__2,-4.0304264711,-0.3845346322
biocide__gluald_12h__3,-2.126774409,-0.21934340600000002
biocide__h2o2_12h__1,-1.9615148583000002,-0.2809194857
biocide__h2o2_12h__2,-2.340428275,-0.4232247414
biocide__h2o2_12h__3,-5.5855702915,-0.3156452509
biocide__2ppoh_12h__1,6.1802437349,1.5913479987999999
biocide__2ppoh_12h__2,6.5923488206,1.6214518366
biocide__2ppoh_12h__3,6.4920290072,1.5291487754
biocide__paa_12h__1,-3.623855589,-0.14684049030000002
biocide__paa_12h__2,-2.9181766235,-0.1885052022
biocide__paa_12h__3,-6.0992570945,-0.5771555539000001
biocide__phe_12h__1,-6.2085816395,-0.25582981520000003
biocide__phe_12h__2,-4.9123903998,-0.13195139820000001
biocide__phe_12h__3,-6.0334810585,-0.3585816026
biocide__pvp-i_12h__1,-7.3182366014,-0.9797941001
biocide__pvp-i_12h__2,-0.9678878345,0.0380098483
biocide__pvp-i_12h__3,-7.2835400875000005,-0.8334536166000001
biocide__bleach_12h__1,-5.5181284256000005,-0.40003216
biocide__bleach_12h__2,-6.7169560981,-0.4759168439
biocide__bleach_12h__3,-5.3576138574,-0.3566148704
biocide__chx_12h__1,-7.3620495886,-0.7135739962000001
biocide__chx_12h__2,-7.8265013434,-1.2219738796
biocide__chx_12h__3,-7.3975331893,-1.1837297664
biocide__bzcl_30m__1,-3.6562259641,-0.7444223772
biocide__bzcl_30m__2,-3.6845415256000003,-0.9498120107
biocide__bzcl_30m__3,-3.2833318835,-0.7170954346
biocide__phe_30m__1,3.3372655708,0.36246208150000003
biocide__phe_30m__2,4.4812883673,0.38362505610000003
biocide__phe_30m__3,3.5855032920000003,0.3964626404
biocide__pvp-i_30m__1,-0.35597034990000004,-0.3210364766
biocide__pvp-i_30m__2,-0.8565234927,-0.298901232
biocide__pvp-i_30m__3,-0.8206998444,-0.3964415195
biocide__ctrl_12h__1,-1.8961754391,-0.17338448920000002
biocide__ctrl_12h__2,-0.12360550120000001,0.0148849472
biocide__ctrl_12h__3,-0.048876984500000005,-0.0271680877
biocide__ctrl_30m__1,-0.0066757376,-0.0604065723
biocide__ctrl_30m__2,0.347785402,0.13637634980000002
biocide__ctrl_30m__3,-0.3411096644,-0.0759697775
clpP__wt__1,-0.5442034677,0.0036685079
clpP__wt_DPTA__1,2.6702523169,-1.0931860611
clpP__wt__2,0.3339356349,-0.0941909001
clpP__wt_DPTA__2,3.0612464151,-0.8090048184
clpP__wt__3,0.2102678328,0.09052239220000001
clpP__wt_DPTA__3,2.6363761379,-1.0429720821
clpP__delclpP__1,1.2140864684000001,0.2915232251
clpP__delclpP_DPTA__1,6.0081970236,-1.1776646272
clpP__delclpP__2,1.7406664698,0.1190318469
clpP__delclpP_DPTA__2,6.0881257171,-0.6091258464
clpP__delclpP__3,1.8752405408000001,0.3687028841
clpP__delclpP_DPTA__3,5.5199248052000005,-0.5355592849
colombos2__delydcR__1,-0.6081930596,0.1961689694
colombos2__delydcR__2,0.7902487627,0.2638796198
colombos2__delydcR__3,1.8281703574,0.9278255137
colombos2__delyjiR__1,0.2789559713,0.028746841000000002
colombos2__delyjiR__2,1.4370334366,0.3407763573
colombos2__delyjiR__3,1.596849825,0.2763076365
colombos2__wt__1,-0.6094916471,-0.2954421103
colombos2__wt__2,-0.7857015281,-0.1392775364
colombos2__wt__3,1.3951931753,0.4347196467
crp_k100__ar1_ar2__1,-18.5619283113,-3.9473068131
crp_k100__ar1_ar2__2,-19.8238722677,-3.988277079
crp_k100__ar1_ar2__3,-19.6790384879,-4.3448943605
crp_k100__wt__1,-0.5730947759,0.0006095957
crp_k100__wt__2,1.1595052967,-0.027622654000000003
crp_k100__wt__3,-0.5864105207,0.027013058200000002
crp_k100__K100Q__1,2.3318825236,0.3550030568
crp_k100__K100Q__2,-0.1365110493,0.182800823
crp_k100__K100R__1,1.2732386298,0.1738317022
crp_k100__K100R__2,-1.0443073603,0.3776434728
crp_k100__K100R__3,-0.3294223852,0.2977774529
csrA__wt_t00__1,-0.6134630475,-0.24906409710000002
csrA__wt_t02_30__1,1.8015387612,-3.9777168366
csrA__wt_t05__1,4.095731599,-6.4819583138
csrA__wt_t10__1,6.0014122104,-6.2588034543
csrA__wt_t15__1,5.9290437721,-5.1356715031
csrA__delcsrA_t00__1,7.947259882,0.3055960157
csrA__delcsrA_t02_30__1,12.0608791218,-3.9483136804
csrA__delcsrA_t05__1,13.3299047748,-5.6684780731
csrA__delcsrA_t10__1,11.7339346774,-5.1527236845
csrA__delcsrA_t15__1,8.9826666498,-4.5746169147
csrA__wt_t00__2,0.6134630475,0.24906409710000002
csrA__wt_t02_30__2,3.8838251873000003,-3.6453988025
csrA__wt_t05__2,5.7832708623,-6.0366484342
csrA__wt_t10__2,6.4386408647,-5.5916751501
csrA__wt_t15__2,6.3542674609,-4.5538473285
csrA__delcsrA_t00__2,6.891677516,-0.0830602445
csrA__delcsrA_t02_30__2,10.4693622719,-4.3333548245
csrA__delcsrA_t05__2,12.1443533413,-5.964825313
csrA__delcsrA_t10__2,10.3462227344,-5.1831252158
csrA__delcsrA_t15__2,7.7114043103,-4.127754493
cstr_pfr__str_0005m__1,0.2532416109,0.7661333778
cstr_pfr__str_0010m__1,3.1902494963,0.6579737625000001
cstr_pfr__str_0025m__1,2.1703858283,0.0944634005
cstr_pfr__str_0045m__1,2.0307157977,0.1853356197
cstr_pfr__str_0075m__1,1.9310962018,0.2849313334
cstr_pfr__str_0120m__1,1.3500886430999999,0.1993519362
cstr_pfr__str_0210m__1,1.0418390942,0.2721865726
cstr_pfr__str_0330m__1,0.9607871056,0.2894778693
cstr_pfr__str_1500m__1,0.9156458127,0.2685901288
cstr_pfr__str_1560m__1,0.48102642370000004,0.3081676264
cstr_pfr__str_1680m__1,0.9627711429,0.35833082380000003
cstr_pfr__str_ref1__1,-0.2147357048,0.0042267167
cstr_pfr__str_ref2__1,0.013993021000000001,-0.1025439481
cstr_pfr__str_ref3__1,0.0353989465,-0.0017764601000000001
cstr_pfr__pfr_P5_0005m__1,-0.1363817478,0.31315824740000003
cstr_pfr__pfr_P5_0010m__1,3.5288136091,0.6737400059
