,A,Fnr,Fur,NagC
abx_mega__tmp_dmso__2,-2.0483917842,-0.011770757000000001,0.055385097200000004,0.1399575543
abx_mega__amyc-d_dmso__5,-5.0700896777,0.4703427457,0.9606707476,-1.579024708
abx_mega__novo_h2o__4,-8.2238596493,0.7891519738,1.2914517682,-0.4922423173
abx_mega__cro_h2o__2,-1.2203388737,0.0823465979,-0.2855045002,0.5326514096
abx_mega__cro_h2o__3,-0.336881877,-0.21446519260000002,-0.638620278,0.34195672600000004
abx_mega__gen_h2o__2,-6.2692643769,0.5545946817,-1.5132484745,-0.2107985705
abx_mega__phos_h2o__4,-1.3522398177000001,-0.1556899832,-1.9652494854,1.5111211754
abx_mega__metro_dmso__2,-2.9749180396,0.40866825960000003,1.2542890818,0.5323827082
abx_mega__ery_h2o__2,-2.0013243566,-0.0307498051,0.7876454059,-0.9537609821
abx_mega__sacet_h2o__1,3.0046613015,1.8984960352,0.8906258525,1.6447925633
abx_mega__nal_naoh__5,0.16904518470000002,0.11935505780000001,0.2089985611,0.1990000536
abx_mega__bacit_h2o__4,-1.9242433299,-0.7716038602,0.5213602361,-0.7274341907
abx_mega__cip_naoh__3,-2.4153073609,-0.1062377801,-0.018460327500000002,0.1734156194
abx_mega__ethanol-8__1,-0.9773754152,-0.0429042057,-0.1647844436,0.561838915
abx_mega__h2o-8a__1,1.399411109,-0.1697118587,0.0016327890000000002,0.4992512931
abx_mega__ery_h2o__3,-4.4459983288,-0.046749594000000005,0.8165281951000001,-1.1378906015
abx_mega__flavo_dmso__2,-1.124065146,0.060263538500000005,-0.3342762494,0.1519446072
abx_mega__rif_dmso__4,-3.3274450818,-1.4686879149,-0.0047591478,-0.9179844087000001
abx_mega__novo_h2o__5,-7.4755461628,0.2258676651,0.7615916478,-0.8107425435000001
abx_mega__teix_dmso__5,-1.9146488641000001,-0.0180107938,-0.23131398720000002,0.5763157181
abx_mega__naoh-2__1,2.6271902392,0.12440957970000001,0.6436264924,1.3191839405999999
abx_mega__novo_h2o__6,-7.5892577756,0.7205527484,0.7703477697000001,-1.0895386151
abx_mega__ctx_h2o__3,0.4417603338,-0.064859922,-0.5006761838,0.4965357065
abx_mega__rach_dmso__3,-0.6109899652,-0.0946227506,-0.2285719789,0.3717124812
abx_mega__valin_dmso__2,-1.316529813,-0.1504039911,0.1261078601,0.0030111655000000003
abx_mega__amyc-d_dmso__6,-7.2279406215,1.0932260792,1.5005765341,-1.308497738
abx_mega__dox_dmso__2,0.5418016249000001,-0.3495048284,0.49058279860000004,-0.06858762260000001
abx_mega__teix_dmso__6,-2.6759543947,-0.19216870800000002,-0.5617845917000001,0.2696342438
abx_mega__naoh-6__2,0.927707979,0.2508705046,0.28859365800000003,0.4827625297
abx_mega__inh_h2o__2,-1.1783199277,1.0236963855,0.49805841980000004,1.1691557246
abx_mega__chl_h2o__3,-6.6311315055,0.8645055481,-0.7357423173000001,-2.0401037076
abx_mega__nal_naoh__6,-0.1270674319,0.1051428429,0.1905704846,0.23780814360000002
abx_mega__chl_dmso__2,-1.8124733113,0.2708431966,0.4894669426,-1.3760605757
abx_mega__rach_dmso__4,-3.2043580759,0.2606390819,0.0464077509,0.6405416257000001
abx_mega__teix_dmso__7,-2.1149929322,0.3504676022,-0.1638455209,0.4852307313
abx_mega__ceru_ethanol__1,-0.3016247351,1.4535275098,0.2652531168,0.7964841104
abx_mega__dmso-7__1,-2.1815089831,0.0944210472,-0.0643523617,0.5229138442
abx_mega__naoh-6__3,1.4617484696,0.2067024995,0.4487898696,0.4932577475
abx_mega__phos_ethanol__2,-1.1679222135,0.5219782296000001,-0.1239980744,0.5791818749000001
abx_mega__metro_dmso__3,-2.8348496646,0.5121052174,1.3081476157,0.48347628740000004
abx_mega__van_dmso__4,-1.532205496,0.28659288180000003,1.4076040301,-1.9522199049000002
abx_mega__h2o-10__1,0.759370992,0.2130377387,-0.5370945714,0.5121484061
abx_mega__h2o-10__2,2.0963882579,0.1522575818,-0.6547982996,0.6389932578
abx_mega__dmso-6__3,-0.5618679969,-0.35454569550000004,0.44247998860000004,0.46679477340000003
abx_mega__mem_dmso__1,-0.6746426105000001,-0.3062884087,-0.6125086075,0.12031309970000001
abx_mega__ethanol-8__2,0.1071214352,-0.0252304237,-0.20422094540000002,0.7410585412
abx_mega__chl_h2o__4,-4.991154143,0.7271274121,-0.9583442195,-1.8811324446
abx_mega__van_h2o__1,-0.8908140095,-0.903332961,0.1071730481,-0.9304642228000001
abx_mega__dcs_h2o__1,-2.7633048563,0.6936041281,-0.3003964322,0.5398473067
abx_mega__rif_dmso__5,-0.41651326250000004,-0.7666040526,0.2357032725,0.2671297723
abx_mega__dox_dmso__3,-0.555686831,0.2468405504,0.0693949259,0.3281543596
abx_mega__mem_dmso__2,0.20042049380000002,-0.4892115863,0.0371632972,0.4357143612
abx_mega__lvx_dmso__2,0.23173345210000001,-0.129152751,0.0265961863,0.3117157142
abx_mega__tet_h2o__2,-6.1377998674,0.2983443387,0.3036734732,-0.5202670671
abx_mega__phos_h2o__5,-1.1220574151,0.12871355610000002,-0.4648872027,1.4951864367
abx_mega__monac_dmso__1,1.0930850732,1.4088048351,1.1538115976,-1.0736457226
abx_mega__str_h2o__3,1.1302133601,0.08708125080000001,-0.9291934891,0.5058996183
abx_mega__zeocin_h2o__2,-1.4518808008000001,-0.42460153910000004,-0.570691755,1.1896346646
abx_mega__amyc-d_dmso__7,-7.7525202211,0.9037219768,1.6509193769000001,-1.6400629303
abx_mega__fidax_dmso__1,-2.9059858113,0.35278275610000004,-0.1991500789,0.455457773
abx_mega__h2o-1a__1,0.20749492260000002,-0.1301828894,0.0154779333,-0.0282962681
abx_mega__dox_dmso__4,1.3863350021,0.1499766492,0.3500808745,0.3093233675
abx_mega__lzd_dmso__2,-6.0821787464,0.8640746426,-0.0752501554,-0.8381643288
abx_mega__tet_h2o__3,-1.3121273647,-0.014793680600000001,0.1823640506,-1.1578792316
abx_mega__dmso-1__2,-1.2260459942,-0.0468660871,0.22165850820000002,-0.0999753669
abx_mega__sxt_dmso__2,0.013065508600000001,0.1322961821,0.3020195341,0.09453235380000001
abx_mega__tric_ethanol__2,1.6382517417,0.619159111,0.097195029,0.1704933076
abx_mega__teix_dmso__8,-1.142426733,-0.0780351353,-0.2056130554,-0.3753065379
abx_mega__ramo_h2o__2,-1.3767632785,-0.5733023752,-0.3920706658,-0.0003261396
abx_mega__inh_h2o__3,-0.29804208,0.3346755523,-0.5587581914,0.5065493643
abx_mega__cst_h2o__3,-1.5694959811,0.6157335293,0.1130672716,0.0010891515
abx_mega__dmso-9__1,-0.5731743797000001,-0.029816820400000003,0.16881575040000002,0.5289169839
abx_mega__ethanol-8__3,2.0149456195,-0.1057688244,-0.6207653771,0.8654990991
abx_mega__monac_dmso__2,-1.6211415394,1.4863412037,1.4680549083,-1.9023020139
abx_mega__dmso-9__2,-0.5784717594000001,-0.0200467158,-0.0448960912,0.5931654318
abx_mega__metro_dmso__4,-2.5144208013,0.6682181821000001,1.2286839221,0.38999750850000003
abx_mega__ctx_h2o__4,-0.3829537176,0.1093383753,-0.4490090364,0.5669327495
abx_mega__zeocin_h2o__3,-0.9644608202,-0.42024945410000003,-0.7208105544000001,1.4392726701
abx_mega__bacit_h2o__5,-1.8868172471,-1.0686406259,0.3947796242,-0.6654112355
abx_mega__reta_dmso__1,-5.6629013514,0.2624442987,0.2956843415,-0.7614111978
abx_mega__ery_h2o__4,-6.513900459,0.1838410419,0.42789014810000003,-1.4644185593
abx_mega__ceru_ethanol__2,-3.9486938523,1.4458719120999999,0.8442368139,0.7115305066000001
abx_mega__fidax_dmso__2,-1.0098373933,0.061060066100000004,-0.3721850478,0.5438877886
abx_mega__novo_dmso__1,-4.2052887246,0.8339819837,1.337922803,0.232487243
abx_mega__naoh-6__4,2.4409703484,0.2749615761,0.29294730900000004,0.6135118491
abx_mega__amyc-d_dmso__8,-0.6717025434,0.1675077619,0.9038915123000001,-0.6562395818
abx_mega__chl_dmso__3,-2.4740081741,0.2359552994,0.3475303811,-1.4293449031
abx_mega__nal_naoh__7,-1.4039462362,-0.1143720156,0.1461081123,0.36016941220000004
abx_mega__teix_dmso__9,-2.9467950234,0.19924687600000002,-0.5047931029,0.4234205098
abx_mega__ery_dmso__3,-3.2948928141,-0.1930182149,-0.0963860097,-1.4372633796
abx_mega__tmp_dmso__3,-1.9563714563999999,0.021624803,0.0642681642,0.2662186734
abx_mega__sxt_dmso__3,-2.7096359221,0.1404174962,-0.5687338293,0.0977946043
abx_mega__polmyx_h2o__4,1.6618718499,0.7190717129,0.3758068667,1.371563202
abx_mega__mem_dmso__3,-0.7170810755,-0.106792127,-0.0819475583,0.6059553698
abx_mega__nal_naoh__8,-0.6560212688,-0.5226446066,0.051113270100000004,0.9856391067
abx_mega__pen_h2o__3,1.2772225232,-0.9448240483,-0.5188799213,0.49399605550000003
abx_mega__van_dmso__5,-0.682501836,0.3519942873,1.3284796005000001,-2.2087981523
abx_mega__zeocin_h2o__4,-1.1805102008000001,-0.3420308308,-0.42831274,1.3655894983
abx_mega__h2o-6__2,1.191221309,0.2237971175,0.3853152326,0.5194630235000001
abx_mega__tet_h2o__4,-2.1610748133,-0.09366302650000001,0.2002885996,-1.078142792
abx_mega__nor_naoh__4,-0.5677748138,0.1884711132,-0.050738027500000005,0.5495902557
abx_mega__cip_naoh__4,0.4996265977,0.1897163396,0.2816577342,0.3465291198
abx_mega__tmp_dmso__4,-2.2996574885,0.46955750020000003,0.2553240309,0.5112102521
abx_mega__reta_dmso__2,-5.1423172198,0.079054857,-0.050013209600000004,-1.036150479
abx_mega__mem_dmso__4,-0.312264515,0.1562169847,-0.4906930928,0.0777737337
abx_mega__dox_dmso__5,-5.0830914183,0.5560831223,-0.21113936760000002,-0.46782079460000003
abx_mega__tmp_dmso__5,-3.7865678461,0.16093619850000002,0.0480338364,0.6037500802
abx_mega__flavo_dmso__3,-1.159892704,0.21465859110000002,-0.1506201971,0.1538111316
abx_mega__tmp_dmso__6,-3.9011283986,-0.4506960218,0.10842674740000001,0.08691910280000001
abx_mega__ceru_ethanol__3,-1.0836152763,1.4078249743,0.36164030700000005,0.6983056868
abx_mega__teix_dmso__10,1.0919352836,-0.024926434900000002,-0.028866696900000002,-0.0140223002
abx_mega__novo_h2o__7,-5.2478723498,0.28331731590000003,1.3411166713,-1.000108404
abx_mega__fidax_dmso__3,-0.7198947790000001,0.1656484172,0.1894458983,0.580416287
abx_mega__h2o-1a__2,0.0337871069,0.0397621094,-0.012323741800000001,-0.105935387
abx_mega__dcs_h2o__2,0.5800444252,0.0295181061,-0.0956156261,0.5942897532
abx_mega__cst_h2o__4,-0.9408906285,0.6765520599,0.4640246576,0.0797362489
abx_mega__van_h2o__2,-0.0515236481,-0.1313395527,-0.4630555241,0.3285693067
abx_mega__pen_h2o__4,-1.917757662,-1.1849000443,-0.0421126405,0.3606096455
abx_mega__h2o-8b__2,-0.012675607600000001,0.1917764428,-0.6720264656,0.966215263
abx_mega__reta_dmso__3,-5.0216915257,-0.1254083886,-0.6327040586,-0.8401855507
abx_mega__dmso-7__2,-1.6142308634,0.0413045956,-0.068631683,0.6397181744
abx_mega__rfp_h2o__2,-3.9575492437,-1.2130654544000001,0.4188483109,-1.0560143276
abx_mega__rif_dmso__6,-2.3383598899,-1.1475451275,0.5758221298,-0.0733958998
abx_mega__sxt_dmso__4,-2.6799916872000002,0.23990241980000002,-0.2833549239,0.2542172506
abx_mega__cip_naoh__5,1.8784768686,-0.042177127,-0.121409896,0.1986776482
abx_mega__dmso-9__3,-1.6743765089,-0.341587067,-0.014439360600000001,0.3338417882
abx_mega__mem_dmso__5,-1.182654622,0.1067217318,-0.43850402190000004,0.146935276
abx_mega__tric_h2o__2,-0.49885499640000003,1.3284647298,0.24091423920000002,1.0397236006
abx_mega__phos_h2o__6,0.7555989129,0.13667702310000002,0.0229450333,0.42013387150000003
abx_mega__h2o-7__2,-1.1957731039,0.0400555976,-0.3495884295,0.240577222
abx_mega__h2o-10__3,1.3132125722999999,0.1579017148,-0.6067594638,0.7145890497
abx_mega__h2o-8a__2,2.3258843957,-0.2295144067,-0.130523151,0.4498051441
abx_mega__thio_dmso__3,-2.5088185594,-0.40999634500000004,-0.6168601113000001,-0.4309767822
abx_mega__lzd_dmso__3,-2.8060045333,0.41635551470000004,-0.10246706500000001,-0.44290733400000004
abx_mega__monac_dmso__3,-3.2199784921,0.8852669989,1.3498864963,-2.1227196558
abx_mega__polmyx_h2o__5,-2.0118841599,0.47019160320000003,-0.2562040859,0.3144666454
abx_mega__naoh-6__5,0.022458913100000002,0.4263555999,0.672179446,0.5568552531000001
abx_mega__teix_dmso__11,-0.21138651800000002,0.0158778074,0.20705104600000002,0.20644950950000002
abx_mega__van_h2o__3,-0.3693683513,-0.353805546,-0.6046674664,-0.10870407950000001
abx_mega__teix_dmso__12,-2.1169455586,-0.0949833372,0.37935470130000004,0.3704969446
abx_mega__dox_dmso__6,0.7077244229,-0.0402154183,-1.8605704420000002,1.6769289083999999
abx_mega__teix_dmso__13,-1.5061532187000002,-1.0545825032,-0.0364565174,-0.08004949830000001
abx_mega__h2o-7__3,-1.9765030387,0.0329465014,-0.2639155763,-0.0665552635
abx_mega__str_h2o__4,4.767174441,0.49062571110000003,-2.7622205534,1.3036032806
abx_mega__tec_h2o__3,-1.8308365854000002,-2.5030278976,-0.2132231823,0.7849566678000001
abx_mega__phos_h2o__7,0.22532263260000002,0.22288803100000001,0.2064630466,0.24837700440000002
abx_mega__chl_h2o__5,-6.9853965443,0.35465275100000004,0.0577428534,-2.0013173521
abx_mega__polmyx_h2o__6,-1.3502841331,0.49303985780000004,-2.3568652096,1.7131801718
abx_mega__teix_dmso__14,-0.2261225161,0.0909615292,0.3200277955,0.16326985130000002
abx_mega__rif_dmso__7,-1.306434986,-0.6050113022,0.6056430424,0.48198658660000004
abx_mega__ramo_h2o__3,-0.5201280833,-0.9469901951,0.0134003031,-0.0397455809
abx_mega__fidax_dmso__4,-1.2949493368,0.0893514383,0.10668859060000001,0.2660845439
abx_mega__teix_dmso__15,-3.1711309942,0.533781862,-0.0494546845,0.3376744088
abx_mega__thio_dmso__4,-2.2285403431,-0.5504288499000001,-0.8097365024000001,-0.6278073396
abx_mega__rif_dmso__8,-3.712340885,-1.5708370051,0.8101006176000001,-0.22833033100000003
abx_mega__reta_dmso__4,-4.9942394764,0.025528003,-0.3559069964,-1.2253273868
abx_mega__inh_h2o__4,-2.7582264479000003,1.1960883277,0.4551156994,0.9629184761
abx_mega__novo_dmso__2,-2.8354178055,0.7337960436000001,1.2268474971,0.0755437643
abx_mega__dcs_h2o__3,-0.4280404775,0.16543111060000001,-0.20605385510000002,0.6101818457
abx_mega__h2o-8b__3,-2.0094763538,-0.3013275018,-0.0493249346,0.32387719060000003
abx_mega__valin_dmso__3,0.2606852462,0.0524331097,0.2139632804,-0.0089812159
abx_mega__h2o-2__1,-0.8656808454,-0.1296792457,-0.9844755649,1.948412051
abx_mega__cro_h2o__4,2.922969223,-0.1166385846,-0.1272964559,0.8682855105
abx_mega__dcs_h2o__4,-2.4603281285,0.5228202102,-0.21628696120000002,0.6526859518
abx_mega__str_h2o__5,2.1938430759,0.0620767183,-1.0267400538,0.7519463337000001
abx_mega__h2o-8a__3,1.3981929371000001,-0.1670867104,-0.3111905457,0.4178681698
abx_mega__dox_dmso__7,1.0462723999,-0.023023933200000003,0.2529200303,0.22379711260000001
abx_mega__doxo_dmso__2,-4.2127975133,-0.1780022674,-0.4619682342,0.7148260263
abx_mega__teix_dmso__16,-1.6601464102999999,-1.288192235,-0.2951551482,0.0316518729
abx_mega__rfp_h2o__3,-4.0686894406,-1.1735091948,0.7855921914,-1.2336770982
abx_mega__ethanol-10__3,1.546158018,0.4256665049,-0.5429902316,0.8769491721
abx_mega__naoh-2__2,3.4051813235,-0.14596955720000002,-1.5336123418,1.5609804478
abx_mega__van_h2o__4,-0.21730205190000002,-0.6767342955,0.2588343682,-0.8388654042
abx_mega__sacet_h2o__2,2.0907132475,1.5844404703000001,0.6220929629,1.8095593350999999
abx_mega__monac_dmso__4,-2.4498672733,1.4941188956,1.2394401836,-1.529291422
abx_mega__h2o-2__2,0.46023601140000003,-0.0048985968,-2.2944195337,1.8467525677
abx_mega__zeocin_h2o__5,0.6388275901,0.23466406990000002,-0.546337307,0.6259776164
abx_mega__nor_naoh__5,-2.1470125162,0.10958004780000001,0.08847196630000001,0.2885454616
abx_mega__naoh-9__2,-1.1321368571,0.2428538366,0.1839479357,0.5019710111
abx_mega__dmso-7__3,-1.8130192061,0.0122195926,0.0094679772,0.6322148481000001
abx_mega__van_h2o__5,-0.7275196233,-0.7705289413,-0.0293648918,-1.1089232471
