,A,VraR
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_2,4.411483816,7.8184159932
USA300_LAC_U01-Set004_CAMHB_Control_1,-1.980936548,7.2520355058
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_1,4.019133668,7.4762715649
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_1,6.7000586890000005,7.3782518268
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_1,27.25350728,9.6421021305
USA300_LAC_U01-Set004_CAMHB_Control_2,-2.578726068,7.4865189247
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_2,2.204988135,7.2203322889
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_2,7.691583388,7.7916834017
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_2,25.9480426,9.4472756865
USA300_LAC_U01-Set004_R10LB_Control_1,-1.656735357,7.7888365875000005
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_1,2.913326388,8.4695976832
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_1,5.36515169,8.6060202174
USA300_LAC_U01-Set004_R10LB_Control_2,-1.538190543,7.9983705637
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_2,3.760433429,8.5256331916
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_2,4.918887785,8.4955098687
USA300_TCH1516_U01-Set003_CAMHB_Control_2,-1.324292392,7.9195584251
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_2,-2.090730717,7.4503409707
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_2,-0.46597202200000004,7.0643195818
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_2,-1.775288298,7.0329322089
USA300_TCH1516_U01-Set003_CAMHB_Control_3,-1.679509512,7.4364670574
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_3,-1.585503835,7.3798342594
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_3,-0.387381166,6.9745195465
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_3,-1.5042382060000001,7.1198521762
USA300_LAC_ICA-Set001_R10LB_Control_1,-0.6980340190000001,7.5961818742
USA300_LAC_ICA-Set001_R10LB_Control_2,-1.343808137,7.4445302647
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_1,-1.5722994510000001,7.3673925708
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_2,-1.325862697,7.3702028142
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_1,-1.447927068,7.8064456697
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_2,-0.9909643010000001,7.9742906776
USA300_LAC_ICA-Set001_R10LB_5.5pH_1,-1.161394365,7.8828059737
USA300_LAC_ICA-Set001_R10LB_5.5pH_2,-0.29656897,7.8120755281
USA300_TCH1516_BK-Set001_THB_Control_1,1.408722418,7.8284018619
USA300_TCH1516_BK-Set001_THB_Control_2,-2.75999616,7.9318125598
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_1,-2.18999937,7.6378885897
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_2,-4.00596493,7.6837173865
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_1,7.104195007,9.1494119947
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_2,7.610218989,9.1533656114
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_1,-2.80978868,7.7670773092
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_2,-0.8857277020000001,7.8037463172
USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_1,3.7893766920000003,8.131152059
USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_2,3.149764024,8.1792936625
USA300_LAC_ICA-Set002_CAMHB_2gLglucose_1,-4.8002333010000005,7.9991923323
USA300_LAC_ICA-Set002_CAMHB_2gLglucose_2,-5.7128778,7.9118011617
USA300_LAC_ICA-Set002_CAMHB_Control_1,-2.566966538,7.1686671429
USA300_LAC_ICA-Set002_CAMHB_Control_2,-3.539156962,7.5714800524
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_1,-3.137582709,8.6396132185
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_2,-3.258363534,8.4967683526
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_1,-1.280776378,7.8517761783
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_2,-1.194137749,7.9082048729
USA300_SNFM1_ICA-Set002_CAMHB_Control_1,11.08387361,8.6844408563
USA300_SNFM1_ICA-Set002_CAMHB_Control_2,11.66146196,8.7866729585
USA300_SNFM1_ICA-Set002_R10LB_Control_1,13.5005706,9.0323571002
USA300_SNFM1_ICA-Set002_R10LB_Control_2,13.78708896,9.0484362035
USA300_SNFR19_ICA-Set002_CAMHB_Control_1,16.6761672,9.1798386385
USA300_SNFR19_ICA-Set002_CAMHB_Control_2,16.46851524,9.1666155166
USA300_SNFR19_ICA-Set002_R10LB_Control_1,15.53839819,9.0670371626
USA300_SNFR19_ICA-Set002_R10LB_Control_2,16.09470737,9.1605656892
USA300_TCH1516_ICA-Set002_CAMHB_Control_1,0.12208431700000001,7.2314322208
USA300_TCH1516_ICA-Set002_CAMHB_Control_2,-0.12208431700000001,7.3184238255
USA300_TCH1516_ICA-Set002_R10LB_Control_1,2.675073527,7.4693813418
USA300_TCH1516_ICA-Set002_R10LB_Control_2,3.34627,7.6359486428
USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_2,3.519355456,6.7929691594
USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_1,-2.558584223,7.6040432346
USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_1,3.46718273,6.6286552838
USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_2,-1.471052242,7.6316340046
USA300_TCH1516_ICA-Set003_250nMParaquat_1,-1.40745272,8.063128976
USA300_TCH1516_ICA-Set003_250nMParaquat_2,0.306005692,7.6422321489
USA300_TCH1516_ICA-Set003_2gLGalactose_1,0.845867276,7.4782739041
USA300_TCH1516_ICA-Set003_2gLGalactose_2,0.095394026,7.5594491092
USA300_TCH1516_ICA-Set003_2gLPyruvate_1,-4.214416763,7.6666186618
USA300_TCH1516_ICA-Set003_2gLPyruvate_2,-2.63701873,7.5225242847
USA300_TCH1516_ICA-Set003_Control_1,-1.6035671950000001,8.3350002759
USA300_TCH1516_ICA-Set003_Control_2,-1.572702467,8.023970329
USA300_TCH1516_ICA-Set003_StationaryPhase_1,-3.394754067,7.3679357104
USA300_TCH1516_ICA-Set003_StationaryPhase_2,-2.0748247,7.3671067455
