sample,BSU_tRNA_42
HiTm_1,11.2446
HiTm_2,12.5784
HiTm_3,12.8914
LoTm_1,12.3338
LoTm_2,12.2024
LoTm_3,11.8227
HiOs_1,12.1578
HiOs_2,12.658
HiOs_3,12.3368
BMM_1,13.8061
BMM_2,13.4711
BMM_3,13.6081
Heat_1,14.0684
Heat_2,13.6821
Heat_3,13.2121
Cold_1,14.2147
Cold_2,13.1894
Cold_3,12.8883
Etha_1,10.782
Etha_2,10.5181
Etha_3,10.5648
SMM_1,12.5479
SMM_2,12.7912
SMM_3,12.7869
Salt_1,12.6491
Salt_2,12.5226
Salt_3,12.802
Mt0_1,14.0564
Mt0_3,13.8729
M0t45_1,14.0007
M0t45_2,14.1889
M0t45_3,13.5282
M0t90_1,10.5935
M0t90_2,11.9097
M0t90_3,10.5496
M40t45_1,12.7029
M40t45_2,12.2942
M40t45_3,13.7108
M40t90_1,10.3736
M40t90_2,11.4202
M40t90_3,10.6998
dia0_1,13.3824
dia0_2,13.9036
dia0_3,14.0879
dia5_1,12.4631
dia5_2,13.0175
dia5_3,13.1844
dia15_1,13.6401
dia15_2,14.0037
dia15_3,12.7504
Diami_1,13.1997
Diami_2,13.061
Diami_3,13.2942
Paraq_1,14.4735
Paraq_2,14.9853
Paraq_3,12.9695
H2O2_1,13.5208
H2O2_2,13.8067
H2O2_3,13.4684
Oxctl_1,13.6925
Oxctl_2,14.272
Oxctl_3,14.852
GM-0.1_1,13.0371
GM-0.2_1,12.5717
GM+5_1,13.1124
GM+15_1,13.2397
GM+25_1,13.9487
GM+45_1,13.5801
GM+60_1,13.404000000000002
GM+90_1,13.299
GM+120_1,12.6501
GM+150_1,13.1841
GM-0.1_2,13.7801
GM-0.2_2,12.99
GM+5_2,13.354
GM+10_2,13.0056
GM+15_2,13.0243
GM+25_2,13.7863
GM+45_2,12.7805
GM+60_2,12.8383
GM+90_2,13.8531
GM+150_2,12.295
GM-0.1_3,13.3326
GM-0.2_3,13.5072
GM+5_3,13.6382
GM+10_3,12.6978
GM+15_3,13.1481
GM+25_3,13.2584
GM+45_3,13.0208
GM+60_3,12.8242
GM+90_3,12.2917
GM+120_3,12.9343
GM+150_3,12.785
MG-0.1_1,13.3928
MG+5_1,13.464
MG+10_1,13.9105
MG+15_1,13.177
MG+25_1,13.619000000000002
MG+45_1,13.2912
MG+120_1,12.6315
MG+150_1,12.4113
MG-0.1_2,12.4004
MG-0.2_2,13.0065
MG+5_2,13.0977
MG+10_2,13.398
MG+15_2,13.1106
MG+25_2,12.7705
MG+45_2,12.6137
MG+60_2,13.4753
MG+90_2,12.9176
MG+120_2,12.9379
MG-0.1_3,13.8171
MG-0.2_3,13.3238
MG+5_3,13.3936
MG+10_3,12.5854
MG+15_3,13.601
MG+25_3,13.2618
MG+45_3,13.8208
MG+60_3,13.4648
MG+90_3,12.959
MG+120_3,11.9715
MG+150_3,13.0426
