,A,LldR
AYE_adeB__WT__1.0,0.18957407780000002,-0.0489533838
AYE_adeB__WT__2.0,0.47068449570000004,0.22872147380000002
AYE_adeB__WT__3.0,-0.6602585734,-0.17976809
AYE_adeB__adeB__1.0,0.2328129079,-0.5493629665
AYE_adeB__adeB__2.0,-2.3203814989,-1.4626868898
AYE_adeB__adeB__3.0,-2.1764816732,-0.8499063615
COL__0ug/ml__1.0,-2.531391703,-0.6919058985000001
COL__0ug/ml__2.0,2.531391703,0.6919058985000001
COL__0.25ug/ml__1.0,2.0542913491,0.8420973695
COL__0.25ug/ml__2.0,-5.1053447697,-3.7912890915
COL__1ug/ml__1.0,0.7726558168000001,-0.0102576705
COL__1ug/ml__2.0,3.3857491826,0.4141095645
H2O2__0ug/ml__1.0,1.2941343597000001,0.2998210667
H2O2__0ug/ml__2.0,-1.2941343597000001,-0.2998210667
H2O2__1.25ug/ml__1.0,-4.9052191636,-0.42073350400000004
H2O2__1.25ug/ml__2.0,-4.6449170167,-1.7053146263
H2O2__2.5ug/ml__1.0,-5.2317106648,-1.1423945094
H2O2__2.5ug/ml__2.0,-5.560373781,-1.608870885
H2O2__5ug/ml__1.0,-7.5677235997,-0.4242550184
H2O2__5ug/ml__2.0,-9.6104165253,-1.536678703
MRP__0ug/ml__1.0,2.9385025808,0.6714847424
MRP__0ug/ml__2.0,-2.9385025808,-0.6714847424
MRP__25ug/ml__1.0,1.7925088227,0.4633258395
MRP__25ug/ml__2.0,-2.8395532575,-0.7845137898000001
MRP__100ug/ml__1.0,-2.5105007873,-0.9744954606
MRP__100ug/ml__2.0,-3.5653272999,-1.2372476661
MRP__200ug/ml__1.0,-2.3038712389000002,-0.8601400463000001
MRP__200ug/ml__2.0,-1.384934624,-0.6250527399
growth__2h__1.0,0.37836283130000004,0.014052091800000001
growth__2h__2.0,-0.37836283130000004,-0.014052091800000001
growth__4h__1.0,2.5359085789,1.0818779613
growth__4h__2.0,3.4586596889,1.5306379515000001
growth__6h__1.0,-0.11470095890000001,-1.5965919659
growth__6h__2.0,-1.5992919829,-0.2072863207
growth__8h__1.0,2.2494678247,-0.6350327053
growth__8h__2.0,1.1695222725,-0.922361402
growth__10h__1.0,0.6410085539,-0.4267124653
growth__10h__2.0,0.7712974308,-0.2647611804
mutants__WT__1.0,-0.1100359672,-0.588508645
mutants__WT__2.0,0.1100359672,0.588508645
mutants__R7__1.0,0.5662449299,-0.16987337900000002
mutants__R7__2.0,-0.7426416781,-0.14204296900000002
mutants__gacA__1.0,-0.3940799089,0.727832095
mutants__gacA__2.0,-0.4913284249,0.77582135
vacJ_LL-37__WT__1.0,-0.1791336628,0.0464407689
vacJ_LL-37__WT__2.0,0.1791336628,-0.0464407689
vacJ_LL-37__WT+LL-37__1.0,-0.5531602256,-0.1000691281
vacJ_LL-37__WT+LL-37__2.0,-4.4505784104,-0.862601209
vacJ_LL-37__vacJ__1.0,-7.9431610921,-1.8914309877000002
vacJ_LL-37__vacJ__2.0,-8.737396142,-2.0080641411
vacJ_LL-37__vacJ+LL-37__1.0,-6.9009181664,-1.6641455925000002
vacJ_LL-37__vacJ+LL-37__2.0,-8.2697294384,-1.6598806841
