,A,TdcA,CadC
omics__wt_gly__2,0.3814842523,0.071298102,-0.0009534125
omics__wt_thr__1,4.1176022253,3.488589051,2.8350238825
omics__wt_thr__2,3.4169819832,3.374863506,2.7741923145
omics__bw_ac__1,2.0817555505,3.369105392,0.1942242035
omics__bw_ac__2,0.7477130572,3.14063315,-0.46692887450000004
omics__bw_fum__1,0.6455622269,1.768598914,-0.4037498815
omics__bw_fum__2,1.1475043184,2.058582136,-0.2169945415
omics__bw_glc__1,-0.3800549582,-0.121584774,0.0566284035
omics__bw_glc__2,-0.2505285172,0.179708749,0.1131262325
omics__bw_pyr__1,0.9028871731,1.306560672,0.3242926595
omics__bw_pyr__2,-0.0186499114,1.906329247,-0.45822817450000003
ompr__wt_nacl__1,0.12464772390000001,-0.45631426500000005,0.0061959695000000006
ompr__wt_nacl__2,-0.1992776803,-0.53628876,0.1018660145
ompr__bw_delompr_nacl__1,-0.1668734826,-0.649102307,-0.4044134185
ompr__bw_delompr_nacl__2,-0.4987781553,-0.40904577200000003,-0.5145655525
minspan__wt_ade__1,1.5301454448,-0.372881833,1.8774394145
minspan__wt_glc__2,1.100520381,-0.132721201,0.3306295245
minspan__wt_glc__3,1.3116367842,0.48656892500000004,0.8324014775
minspan__wt_glc__4,1.2269786175,-0.114674232,0.7302112355
minspan__wt_glc_anaero__1,0.5270336647,0.46631725,1.3926277245
minspan__wt_glc_anaero__2,-0.341376141,-1.218417149,1.5325696825000001
minspan__wt_trp__1,2.0114235353,3.297980172,3.0852354315
minspan__bw_delcra_glc__2,1.8355418984,1.110701843,2.7776059325
minspan__bw_delcra_trp__1,-0.5269158378000001,1.744198,2.7217533115
minspan__bw_delmntr__1,0.8060234951,1.008958078,1.5171010175
minspan__bw_delnac_ade__1,0.8630327883000001,0.737074128,1.5741632614999999
minspan__bw_delnac_glc__1,2.1097510623,0.8949619160000001,1.0753271595
cra_crp__wt_ac__1,0.3933370277,2.762646428,-0.3917995755
cra_crp__wt_ac__2,0.7674324191,2.965087271,-0.4854178335
cra_crp__wt_fru__1,0.5038140806,0.9297828920000001,-0.4366345365
cra_crp__wt_fru__2,0.2769504803,1.316185986,-0.0271570585
cra_crp__delcra_ac__1,1.0471311626,1.783614701,-0.5763078335
cra_crp__delcra_ac__2,0.6405584712,1.8746109080000002,-0.5916805865
cra_crp__delcra_fru__1,1.1930664035,-0.530168278,-0.1594226215
cra_crp__delcra_fru__2,0.8482081972000001,-0.586236983,0.0161835775
cra_crp__delcra_glc__1,1.5397784643999999,-0.634334299,-0.5325219215
cra_crp__delcra_glc__2,1.6796586107,-0.124895851,-0.3734491985
rpoB__wt_031__1,1.2007712458,3.837610528,-0.0973561345
rpoB__wt_044__1,0.4770040533,-0.438253722,-0.3219213815
rpoB__wt_lb__1,3.1564143234,3.346572437,-0.9862175295000001
rpoB__wt_lb__2,3.5696390742,3.500076596,-0.4225332335
rpoB__rpoBE546V_031__1,0.5670519461,1.300034681,-0.4158819855
rpoB__rpoBE546V_044__1,0.5537763691,1.2870292220000001,-0.2448990765
rpoB__rpoBE546V_lb__1,3.3635576593,2.373126917,0.058401112500000005
rpoB__rpoBE546V_lb__2,2.8942006085000003,2.215720732,0.3898679655
rpoB__rpoBE546V_glc__1,0.2709057389,-0.278081677,0.1787646055
rpoB__rpoBE672K_glc__1,1.0987160062,-0.24608040900000003,0.2690688735
rpoB__rpoBE672K_glc__2,1.0609222738,0.292480428,-0.1282880525
rpoB__rpoBE672K_lb__1,2.7221662937,0.7378722830000001,-0.7392958335
rpoB__rpoBE672K_lb__2,3.042577033,1.111192591,-0.8621496975
crp__wt_fru__1,-0.44561110610000004,0.678807672,-0.3683658785
crp__wt_glyc__1,0.5140846429,1.185245242,-0.4899352645
crp__wt_glyc__2,0.40886954280000004,1.225684674,-0.4851731845
crp__delar1_glyc__1,0.6068946142,2.521765325,1.7677530385
crp__delar1_glyc__2,-0.1670907644,2.67956496,2.1671540155
crp__delar1ar2_glyc__1,0.5352905109,-0.135478924,-0.5051379195
crp__delar1ar2_glyc__2,-0.17457899970000001,0.15343741900000002,-0.6080598535
crp__delar1ar2_glyc__3,0.5244685864,-0.45463377400000005,-0.3995103015
crp__delar2_glyc__1,-1.0073973194,1.079474918,0.5238646115
crp__delar2_glyc__2,-1.1240594441,0.559284114,0.9458087485000001
crp__delar2_glyc__3,-0.9721297579,0.17934597700000002,0.7231064645
crp__delcrp_fru__1,-0.7646846462,-0.600052385,-0.3760520645
crp__delcrp_fru__2,-0.608191185,-0.284366548,-0.1080609995
crp__delcrp_fru__3,-0.2665740274,-0.584213811,-0.2237335305
crp__delcrp_glc__1,0.1755239965,-0.612982157,-0.4449030055
crp__delcrp_glc__2,-0.2105290924,-1.019640472,-0.2585672665
crp__delcrp_glc__3,-0.3136944413,-0.950161149,-0.3160417685
crp__delcrp_glyc__1,-0.5081222811,-0.145969644,-0.5960196065000001
crp__delcrp_glyc__2,-0.41703459800000003,-0.706635291,-0.7532972665000001
crp__delcrp_glyc__3,-0.4375678794,-0.371606877,-0.6947538005
glu__glu_ale3__1,0.3940515216,0.139967541,-0.5039208115
glu__glu_ale4__1,0.2334001902,-0.541044053,-1.3314650605
glu__glu_ale5__1,0.046547406,-0.247408184,-0.5222600525000001
glu__glu_ale6__1,1.1496702969,-1.050597697,-1.5670651045000001
glu__glu_ale8__1,-0.4000664574,0.019441698,-0.2992343465
glu__glu_ale9__1,0.8634031414000001,-0.161439995,-0.5037423045
glu__glu_ale10__1,0.8521415731,-0.11538000600000001,0.6135640465000001
42c__wt_42c__1,1.8046453085,-0.606579859,-0.6102143315
42c__42c_ale1__1,0.2926028605,2.540506751,0.8204870525
42c__42c_ale2__1,1.8709558428,-0.8005085580000001,-0.1263670255
42c__42c_ale3__1,1.1922128821,0.13649950700000002,-0.9185517485
42c__42c_ale4__1,-0.20278548570000002,0.10539124500000001,0.9087725415000001
42c__42c_ale5__1,1.9368493472,-0.38513465300000005,-0.0052771955
42c__42c_ale6__1,-1.29553253,1.233340514,2.5746651585
42c__42c_ale8__1,1.0925383111,-0.265770762,1.8963612985
42c__42c_ale9__1,0.267085195,-0.594785841,-1.2736030005
42c__42c_ale10__1,1.8275221847,0.801066377,2.3356765435
ssw__wt_ac__1,0.1395160048,1.269249259,0.1179750475
ssw__wt_glc__1,2.2819759841,-0.5845416680000001,1.1146206975
ssw__wt_glyc__1,3.26671458,6.649996477,0.9503744635
ssw__wt_xyl__1,0.8352210087,1.662364055,1.4750433765
ssw__glc_ale1__1,3.5879244373,2.404721217,0.3274682405
ssw__glc_ale2__1,2.7437920093,0.429402453,1.2120829465
ssw__glc_ale3__1,-0.2933679796,-0.491306611,0.6496681015
ssw__glyc_ale1__1,3.3463658129000002,3.158662556,0.43441727350000003
ssw__glyc_ale2__1,-0.3600541289,0.6088721880000001,0.8739250915000001
ssw__xyl_ale1__1,1.9961078546,2.365593591,1.0791844045
ssw__xyl_ale2__1,1.6031805798,2.370151443,1.3213423145
ssw__xyl_ale3__1,1.5931461893,0.14754393100000002,0.8392728525
ssw__glc_ac_ac2__1,-0.4740334129,0.8696064450000001,2.5546321125
ssw__glc_ac_glc1__1,2.8649521890000003,-0.437163491,1.1571908805
ssw__glc_glyc_glc__1,1.8055043736,0.986202966,1.1343426835
ssw__glc_glyc_glyc__1,1.7707731627,3.61978501,0.9571009745000001
ssw__glc_xyl_glc__1,1.6478121494,1.1403584580000001,0.7070885555
ssw__glc_xyl_xyl__1,1.0063096257,0.632697354,-0.5915795505
ica__wt_glc__1,1.6174230473,0.158398321,-0.0981555415
ica__wt_glc__2,1.5532902138,0.158469316,-0.1155211775
ica__wt_glc__3,0.5476626179,-0.178282447,-0.1810585055
ica__wt_glc__4,0.8512272986,-0.530532022,-0.0722253575
ica__arg_sbt__1,2.557667285,4.667000216,0.3209981625
ica__arg_sbt__2,1.2067142111,4.146944016,0.5377694075
ica__cytd_rib__1,1.5245190588000002,2.769475364,-0.2294093535
ica__cytd_rib__2,2.3611233891,2.98408971,0.0402354635
ica__gth__1,-0.1446540077,0.222390415,0.2935330055
ica__gth__2,-0.3611832666,-0.284162713,-0.0861588995
ica__leu_glcr__1,1.1360565436,0.8866739490000001,-0.11562043050000001
ica__leu_glcr__2,1.0525430792,0.9275420620000001,0.0213298325
ica__met_glc__1,1.5549593912000002,-0.16430250700000001,-0.008581660500000001
ica__met_glc__2,0.5103960286,-0.026494241,-0.3652726315
ica__no3_anaero__1,-1.2277643847,-0.7827919480000001,1.5424829545
ica__no3_anaero__2,-1.2361230473,-0.100327763,1.7740541565
ica__phe_acgam__1,1.066822495,-0.041592438,-0.3001747185
ica__phe_acgam__2,0.9252355665,0.138676517,-0.4315122435
ica__thm_gal__1,0.2489059797,1.442210784,-0.09992609150000001
ica__thm_gal__2,0.5494616872,1.484576357,-0.1321120245
ica__tyr_glcn__1,2.0541474175,-0.049280418000000006,-0.12563625850000001
ica__tyr_glcn__2,2.4530813343,0.132330054,0.2052245325
ica__ura_pyr__1,1.0122294708,0.46862329500000005,0.2079307585
ica__ura_pyr__2,1.273887264,1.382509088,-0.37451282750000003
ica__wt_glc__5,1.4861612477000001,0.20197294100000002,0.1154013375
ica__wt_glc__6,1.5216201119,0.20145019900000002,-0.0866362675
ica__bw_delpurR_cytd__1,1.7684021270999999,0.342837724,-0.2066780875
ica__bw_delpurR_cytd__2,0.886520677,0.108791356,0.7513171615
ica__ade_glc__1,0.7091338284,0.216601223,0.6925595575
ica__ade_glc__2,2.6782802191,0.108130365,-0.0866592135
ytf__wt_glc__1,1.2670057804,0.222529476,0.6034255865
ytf__wt_glc__2,2.0957173664,0.840622847,0.8783134835
ytf__delyafC__1,0.9759499275,1.7044669950000002,2.3575177495
ytf__delyafC__2,0.6950839574000001,1.954919891,2.3843335865
ytf__delyeiE__1,0.966929369,0.38972072300000005,0.46798803250000004
ytf__delyeiE__2,1.9371345346000002,-0.09809060700000001,0.2750231775
ytf__delyiaJ__1,1.0867053575,0.7748998730000001,2.5203291505000003
ytf__delyiaJ__2,0.9012614705,0.928068097,2.7613566885000003
ytf__delyieP__1,0.027832671000000003,0.747386314,2.4505886765
ytf__delyieP__2,0.6826386418,0.8049004080000001,2.4215016275
ytf__wt_ph5__1,0.9653113819,-0.405975209,0.3824431485
ytf__wt_ph5__2,1.5477810851,0.534166201,0.46565201850000004
ytf__wt_ph8__1,0.9850048449000001,0.353005424,0.011691370500000001
ytf__wt_ph8__2,1.5157757141000001,-0.11688495300000001,0.0243770585
ytf__delybaO__1,1.5554589697,2.233848202,2.3819070355
ytf__delybaO__2,0.6848213056,1.82239334,2.3789944285
ytf__delybaQ__1,1.1880117365,0.426613057,0.0377679865
ytf__delybaQ__2,0.8952992783,-0.031436249,0.1624969645
ytf__delybiH__1,1.5392527137,1.1211097620000001,1.6793454455
ytf__delybiH__2,0.52435076,1.503898043,2.5024284035
ytf__delydcI_ph5__1,0.7646828680000001,0.240356812,0.2852045305
ytf__delydcI_ph5__2,1.143729089,0.422928104,0.5461932865
ytf__delydcI_ph8__1,1.1378395985,-0.27381951,-1.1490407555
ytf__delydcI_ph8__2,1.6819429254,0.14736295800000002,0.0890323075
ytf__delyddM__1,1.5036085228,0.13672952700000002,0.6911904225000001
ytf__delyddM__2,1.4327325195,0.203237319,0.2885641075
ytf__delyheO__1,0.6371912248,1.891857543,2.4010771725
ytf__delyheO__2,0.32882150460000004,2.029986577,2.4384108135
fps__bw_glc__1,0.7151426115,0.08832216500000001,0.4356837865
fps__bw_glc__2,0.9092530419,0.7447781560000001,0.5244865545
fps__fps_thrA_ale1__1,0.35165292070000004,0.488212387,0.5550704525
fps__fps_thrA_ale1__2,0.6187156266,0.077413782,0.5900180425
fps__fps_thrA_ale2__1,1.632787545,0.195739927,0.6959800005
fps__fps_thrA_ale2__2,1.2794841356,0.439665097,0.4214482205
fps__fps_serB_ale1__1,0.1957103252,0.004324893000000001,0.5524183965
fps__fps_serB_ale1__2,0.6629178063000001,0.344159017,0.5567943315
fps__fps_serB_ale4__1,0.5679985923,0.296980424,0.4367279905
fps__fps_serB_ale4__2,0.6959875404,0.5944728570000001,0.44177427550000004
fps__fps_ptsI_ale1__1,1.365693183,2.2960738320000003,0.3033870345
fps__fps_ptsI_ale1__2,1.568864487,2.482024956,0.35978326450000003
fps__fps_ptsI_ale3__1,1.7120455059,1.8206206580000002,0.21686578950000002
fps__fps_ptsI_ale3__2,1.3491575599,1.562253463,0.1404113735
pal__lyx_ale2_f6__1,-0.048658711,2.484797787,-0.11826038650000001
pal__lyx_ale2__1,0.9137905051,1.958196047,-0.1348512695
pal__lyx_ale2__2,1.336906442,1.95504017,-0.5278297955
pal__lyx_ale4__1,0.1708745657,1.6979918,-0.6182464265000001
pal__lyx_ale4__2,1.2160758388,1.576753584,-1.0012525905
pal__5drib_ale10_f18__1,4.7576446894,5.201393746,-0.39303921550000004
pal__5drib_ale10_f18__2,4.2737082602,5.059193242,-0.5904661245
pal__5drib_ale10__1,3.3737365235,3.912944092,-0.3808451265
pal__arab_ale14_f9__1,0.8283171013,1.022452423,0.0775331975
pal__arab_ale14_f9__2,0.6181409995,0.5855425940000001,-0.4246725955
pal__arab_ale14__1,0.644032173,0.899278871,-0.5782065695
pal__arab_ale14__2,-0.1628429861,0.625617795,-0.43101050350000003
pal__arab_ale16__1,1.748355808,1.991042911,0.5984247905
pal__arab_ale16__2,2.1871986277,1.788893468,0.3979172845
pal__tartr_ale26_f10__1,4.3187095767,4.04693053,-1.0909103175000001
pal__tartr_ale26_f10__2,4.0200556943,4.065643472,-0.8301357395000001
pal__tartr_ale26__1,5.0813186774,4.032738698,-0.5927931045
pal__tartr_ale26__2,4.5531186503,4.297050611,-1.0131908065
pal__tartr_ale28_f10__1,-0.035957752100000004,2.312764476,-0.5851123225
pal__tartr_ale28_f10__2,-0.1962744551,2.679249157,0.0002602765
pal__tartr_ale28__1,3.1206841503,3.184097284,-0.6437498995000001
pal__tartr_ale28__2,1.4421161595,3.0438265270000002,-0.35405920350000003
efeU__delmenFentC_citr__1,2.1438834357,0.772299947,0.7909310745
efeU__delmenFentC_citr__2,1.2539937408,0.285779298,1.0910034785
efeU__delmenFentC__1,0.8676417670000001,-0.267434697,0.21846355350000002
efeU__delmenFentC__2,0.8521693691000001,0.062568392,0.2722713215
efeU__menFentC_ale39__1,1.7616672702,2.33815497,2.0985522345
efeU__menFentC_ale39__2,2.3687635012,1.954189525,1.9316209765
efeU__menFentC_ale29__1,2.0947046112,0.462047507,0.17864256950000001
efeU__menFentC_ale29__2,2.0675265469,0.026866569000000003,0.6911769115
efeU__menFentC_ale30__1,3.4867143992000003,0.8572942830000001,-0.4221395475
efeU__menFentC_ale30__2,2.1030604767,-0.176872031,-0.3996179715
efeU__menFentCubiC_ale36__1,0.48203471740000003,-0.20952410100000002,-0.016980942500000002
efeU__menFentCubiC_ale36__2,0.4906707158,0.096332524,0.2192062045
efeU__menFentCubiC_ale37__1,1.0260628653,0.376724942,0.2197405155
efeU__menFentCubiC_ale37__2,1.1978799935,0.14163383300000001,0.41110575050000003
efeU__menFentCubiC_ale38__1,3.6920291328,0.732092437,0.4331306545
efeU__menFentCubiC_ale38__2,3.2048318369,0.573684764,0.5330813765
misc2__salc_glc__1,0.7093438178,0.32615857,0.2559255915
misc2__salc_glc__2,0.7217435451,0.163204651,0.30370006050000004
misc2__dbcn_glc__1,0.5034215705,-0.949861405,-1.1444219355
misc2__dbcn_glc__2,0.7665239731,-0.696130506,-0.6850941255
misc2__tyr_glc__1,0.7474102551,0.061984017,-0.1948014455
misc2__tyr_glc__2,0.7117533526,0.764696424,-0.1661000675
misc2__arg_cytd__1,1.7453758974,0.44561465100000003,-0.3619420995
misc2__arg_cytd__2,1.8073133184999999,-0.40704018900000005,-0.2123494945
misc2__delyheO_pyr__1,2.673452729,1.175004234,-0.0072554125
misc2__delyheO_pyr__2,2.6632582357,1.13220746,-0.1656261875
nquinone__delubiC__1,1.7817593465,-0.6366833510000001,-0.0630901855
nquinone__delubiC__2,1.2340775125,-0.021648025,0.11078041150000001
nquinone__ubiC_ale1__1,1.9044064925000002,0.270591607,0.5323404425
nquinone__ubiC_ale1__2,1.8139398259,0.202663375,0.5352230235000001
nquinone__ubiC_ale2__1,2.0641450391,0.345195817,0.5047800775
nquinone__ubiC_ale2__2,1.8266238842,-0.014534839,0.2757395905
nquinone__ubiC_ale3__1,1.9105919066000001,-0.037496694000000004,-0.1164554425
nquinone__ubiC_ale3__2,1.8102284992,0.034634359,-0.3044169805
nquinone__ubiC_ale4__1,2.3762637913,0.423536827,0.2546550715
nquinone__ubiC_ale4__2,2.2907055433,0.791634692,0.42436340050000004
nquinone__delpdhR__1,2.6522499345,0.32243644800000004,0.1475273915
nquinone__delpdhR__2,2.728382401,0.5385418710000001,-0.1022489335
quinone__glu_ale4__1,1.7016037715999999,-0.363558934,-1.2240292505
quinone__glu_ale4__2,0.4074392421,-0.085790352,-0.21758067650000001
quinone__delmenF__1,2.1492933119,0.513485602,0.07891553750000001
quinone__delmenF__2,2.0065622856,0.30057457800000004,0.4292129495
quinone__menF_ale5__1,1.2524631489,2.041285891,2.1552029635
quinone__menF_ale5__2,1.9856856617,1.865386245,2.1573663695
quinone__menF_ale6__1,2.1504871571,2.671077501,2.5375343615
quinone__menF_ale6__2,1.4078249714,2.63044554,2.4912673645
quinone__menF_ale7__1,2.3797594666,3.913014989,2.5608063645
quinone__menF_ale7__2,2.6721712606,3.934728813,2.6727630635
quinone__menF_ale8__1,2.7812284336,2.901768213,2.4165949485000002
quinone__menF_ale8__2,2.8541123305,1.564160397,2.9368518055
quinone__delmenFubiC__1,1.730708629,-0.30420031000000003,0.2744240115
quinone__delmenFubiC__2,0.8441529732,-0.20471315,0.4083147165
quinone__menFubiC_ale1__1,1.3734159248,1.546517624,2.0802866345
quinone__menFubiC_ale1__2,1.2697951287,1.669785493,2.0806333665
quinone__menFubiC_ale2__1,1.0012932634,0.9714592590000001,2.4899700385
quinone__menFubiC_ale2__2,0.2314492752,0.747392974,2.4660975545
quinone__menFubiC_ale3__1,2.5867820379,-0.154665342,-0.2321840395
quinone__menFubiC_ale3__2,2.2684978752,0.173967945,-0.25221917450000003
quinone__menFubiC_ale4__1,1.6777527582,1.7330334010000001,1.5302597515
quinone__menFubiC_ale4__2,1.656451867,1.877698002,1.7250203394999999
oxyR__wt_glc__1,1.7141271757,-0.35961987500000003,-0.47289160550000003
oxyR__wt_glc__2,1.7088455105,-0.08599351300000001,-0.6878553265
oxyR__wt_h2o2__1,2.3389018919,0.10985441900000001,-0.2114370805
oxyR__wt_h2o2__2,1.7593049629,-0.10951545500000001,-0.2715718955
oxyR__glu_ale4__1,0.4481780587,-0.49409852200000004,-1.2469039005
oxyR__glu_ale4__2,0.5523934423,-0.783869447,-0.9301144665000001
oxyR__glu_ale4_h2o2__1,0.5882793066,-0.069200484,-0.5985368575000001
oxyR__glu_ale4_h2o2__2,1.0323661524,-0.533811358,-1.1007921345
oxyR__oxyR_ale17__1,2.0426627724,-0.026913246000000002,-0.2842898695
oxyR__oxyR_ale17__2,2.1016253095,-0.6063591700000001,-0.2189654415
oxyR__oxyR_ale17_h2o2__1,1.6564145099,-0.11435853800000001,-0.0182035815
oxyR__oxyR_ale17_h2o2__2,2.4963269692,-0.40300480400000005,-0.3943304895
oxyR__oxyR_ale18__1,1.9948438914,-0.05639998500000001,-0.9567613935
oxyR__oxyR_ale18__2,1.838774625,-0.40409533200000003,-0.5847762965000001
oxyR__oxyR_ale18_h2o2__1,2.4865934226,-0.19891967200000002,-0.3102777255
oxyR__oxyR_ale18_h2o2__2,2.1761822379,-0.615787669,-0.4676861995
oxyR__oxyR_ale19__1,2.016053899,-0.19894520200000002,-0.8135416115
oxyR__oxyR_ale19__2,1.7188535514,-0.272937935,-0.3995183325
oxyR__oxyR_ale19_h2o2__1,1.7860417329,0.16122835,-0.6233393865
oxyR__oxyR_ale19_h2o2__2,1.6020933414,-0.020036761,-0.7276634005
oxyR__oxyR_ale20__1,2.0546049306,-0.346107744,-0.6626547905
oxyR__oxyR_ale20__2,1.8394967217,-0.384046716,-0.6423741715
oxyR__oxyR_ale20_h2o2__1,2.320959442,-0.357153694,-0.4343183305
oxyR__oxyR_ale20_h2o2__2,1.6443434151,-0.142537723,-0.27058548250000003
svns_pgi__BmePgi24_15__1,2.5412859222,0.39172902200000004,0.17761999550000002
svns_pgi__BmePgi24_15__2,2.049286898,0.05985368,0.3232629405
svns_pgi__BmePgi24_26__1,2.9108899373,0.44837573500000005,0.2819693045
svns_pgi__BmePgi24_26__2,2.0808046708,0.808308659,0.1136301725
svns_pgi__BmePgi24_41__1,3.0667693046,0.736866495,0.2382442895
svns_pgi__BmePgi24_41__2,2.9713635157000002,0.263091448,-0.0974921485
svns_pgi__BmePgi24_52__1,3.0459380431,0.21897254500000002,-0.008014433500000001
svns_pgi__BmePgi24_52__2,2.2488277945,0.237959523,-0.40672075550000003
svns_pgi__PaePgi2_34__1,0.9816304814000001,-0.011044987000000001,-0.49384796550000004
svns_pgi__PaePgi2_34__2,1.4186935298,0.7388831260000001,-0.3294216115
svns_pgi__PaePgi2_63__1,1.7207864448999999,0.8361586470000001,0.034255692500000004
svns_pgi__PaePgi2_63__2,1.7357341734,1.127030933,-0.0581577675
svns_pgi__PaePgi24_54__1,1.5763432329,0.683122687,-0.2670980495
svns_pgi__PaePgi24_54__2,1.7144468953,1.005304552,-0.1763392745
svns_pgi__PaePgi24_90__1,2.1139793816,0.504500445,-0.11240367450000001
svns_pgi__PaePgi24_90__2,1.6305196535,0.6406474870000001,-0.0122810985
abx_media__m9_ctrl__1,-0.104521793,0.020514901000000002,1.2573353235
abx_media__m9_ctrl__2,0.3155186844,-0.33154513700000005,1.0305741285
abx_media__rpmi_ctrl__1,2.4614883509,5.573179409,2.5447440825000003
abx_media__rpmi_ctrl__2,2.6440848580000003,4.405873983,2.2749842645
abx_media__camhb_ctrl__1,3.1038253212,3.960712359,1.8998453515
abx_media__camhb_ctrl__2,2.8641598868,3.399490602,1.7073520025
abx_media__m9_mero__1,-0.2313245988,-0.293005675,1.1297506775
abx_media__m9_mero__2,-0.1934357732,0.27486123100000004,1.2641104295
abx_media__rpmi_mero__1,0.8127620276,3.31505307,2.1184261965
abx_media__rpmi_mero__2,1.3243672422000001,4.898847025,2.2524278535
abx_media__camhb_mero__1,2.593956988,0.9622373740000001,1.7153859005
abx_media__camhb_mero__2,3.1393493431,0.951329953,1.6492730345000002
abx_media__m9_trisulf__1,0.1266764491,-0.7708010230000001,0.9359168065000001
abx_media__m9_trisulf__2,-0.43881911100000004,-0.124147881,0.8458049785
abx_media__rpmi_trisulf__1,0.9379880495,-0.428088344,0.8584575325
abx_media__rpmi_trisulf__2,1.0632302008,-0.10490202300000001,0.8641522775
abx_media__camhb_trisulf__1,5.9071053308,0.7593768830000001,1.4532837295
abx_media__camhb_trisulf__2,5.4386804957,0.723969995,1.3130275165
abx_media__m9_cef__1,0.0395828597,-0.0174061,1.0331293415
abx_media__m9_cef__2,-0.34648176,-0.40842275800000005,1.3368563355
abx_media__rpmi_cef__1,0.8327957591,-0.093819043,1.4188284735
abx_media__rpmi_cef__2,0.286956403,0.036695604,1.5590035585000002
abx_media__camhb_cef__1,4.866145382,-0.507935435,1.3090605645
abx_media__camhb_cef__2,4.6270188472000005,0.145207849,1.3327838925
abx_media__m9_cipro__1,-0.9849726263,-1.069510816,0.26576027550000003
abx_media__m9_cipro__2,-0.9214783014000001,-0.906455569,0.4244900245
