,A,CpxR
rpoB__wt_lb__1,2.4564105378,0.18127199900000002
rpoB__wt_lb__2,3.0928244283,0.12299757900000001
rpoB__rpoBE546V_031__1,1.3581806937,-0.0068059570000000005
rpoB__rpoBE546V_044__1,0.9046010466000001,0.08366097600000001
rpoB__rpoBE546V_lb__1,4.1936761316,-0.19123894300000002
rpoB__rpoBE546V_lb__2,3.8195688591,-0.19221227700000001
rpoB__rpoBE546V_glc__1,-0.3099512307,-0.45536037500000004
rpoB__rpoBE672K_glc__1,-0.29902257800000004,-1.013562137
rpoB__rpoBE672K_glc__2,-1.4707532985,-0.9952300150000001
rpoB__rpoBE672K_lb__1,0.1262728287,-1.059313448
rpoB__rpoBE672K_lb__2,0.7646997972,-0.9056743490000001
crp__wt_fru__1,0.6804896647,-0.321701088
crp__wt_glyc__1,0.3207992066,-0.46519456600000003
crp__wt_glyc__2,0.3338834037,-0.6120343730000001
crp__delar1_glyc__1,0.37125877160000004,0.49123089700000006
crp__delar1_glyc__2,0.9023928455,0.671828634
crp__delar1ar2_glyc__1,-0.4642726434,0.21348961300000002
crp__delar1ar2_glyc__2,-0.518719342,0.26250089800000004
crp__delar1ar2_glyc__3,-0.24441261200000003,0.262762467
crp__delar2_glyc__1,0.1906945998,0.23584839999999999
crp__delar2_glyc__2,0.3279709028,0.251450198
crp__delar2_glyc__3,0.8200650361,0.231613232
crp__delcrp_fru__1,-0.1208987455,0.470387712
crp__delcrp_fru__2,0.04994206,0.5585201160000001
crp__delcrp_fru__3,0.26025634740000003,0.43093641200000005
crp__delcrp_glc__1,0.0971822978,0.47738438200000005
crp__delcrp_glc__2,-0.1429297058,0.497850243
crp__delcrp_glc__3,0.0864151308,0.528216152
crp__delcrp_glyc__1,-1.733096186,0.396219023
crp__delcrp_glyc__2,-1.5409053850999999,0.45777799999999996
crp__delcrp_glyc__3,-1.6348430409999999,0.360808571
glu__glu_ale3__1,3.0818770794,-0.377345046
glu__glu_ale4__1,-1.7901081643,-0.665005668
glu__glu_ale5__1,0.0385925907,-0.739201989
glu__glu_ale6__1,-3.6292623992,-1.228548538
glu__glu_ale8__1,3.2337852794,-0.07749206
glu__glu_ale9__1,-0.40109538510000003,-0.31869361
glu__glu_ale10__1,1.9090486097000001,-0.507891577
42c__wt_42c__1,-1.3759091048,0.042350504000000004
42c__42c_ale1__1,-3.1894071171,-0.08140993
42c__42c_ale2__1,3.0778925667,-0.29933009600000005
42c__42c_ale3__1,-0.35014710930000004,-0.16394340200000002
42c__42c_ale4__1,11.1731216008,0.37917283100000004
42c__42c_ale5__1,-0.8135426222000001,-0.572718395
42c__42c_ale6__1,-2.4043085342,0.350159749
42c__42c_ale8__1,6.4754833325,0.550315646
42c__42c_ale9__1,-1.9576547965,-0.21709989500000001
42c__42c_ale10__1,11.3751416247,0.508499483
ssw__wt_ac__1,2.9692146421,-0.100011322
ssw__wt_glc__1,-0.7094963578,-0.363180771
ssw__wt_glyc__1,2.8561657157,-0.7199506880000001
ssw__wt_xyl__1,-3.7161982289,-1.174384379
ssw__glc_ale1__1,4.553926131,-0.672707339
ssw__glc_ale2__1,-2.6305952071,-0.5744744890000001
ssw__glc_ale3__1,-2.1505188928,-0.6221487130000001
ssw__glyc_ale1__1,2.0466830633,-0.339340058
ssw__glyc_ale2__1,-3.1056450076,-0.6629369270000001
ssw__xyl_ale1__1,3.7813570725,-1.056847999
ssw__xyl_ale2__1,5.5835297197,-0.6113435970000001
ssw__xyl_ale3__1,2.8028909202000003,-0.541917344
ssw__glc_ac_ac2__1,-1.8554501289,-0.993955875
ssw__glc_ac_glc1__1,0.178134608,-1.419592047
ssw__glc_glyc_glc__1,8.7198447729,-0.5577164370000001
ssw__glc_glyc_glyc__1,4.3837939872,-0.767649707
ssw__glc_xyl_glc__1,7.8592898169000005,-0.588613519
ssw__glc_xyl_xyl__1,1.9381446683,-0.9350712320000001
ica__wt_glc__1,0.46928067560000003,-0.768803356
ica__wt_glc__2,0.7178376421,-0.7857402710000001
ica__wt_glc__3,-0.9979175378,-0.47962126
ica__wt_glc__4,-0.6498666444,-0.5672737640000001
ica__arg_sbt__1,6.7885372768,-0.314297804
ica__arg_sbt__2,7.5068608937,-0.361462801
ica__cytd_rib__1,4.9029398926,-0.15751878500000002
ica__cytd_rib__2,3.9332451163,-0.175180402
ica__gth__1,2.1325738468,0.144295204
ica__gth__2,2.4308633056,0.128436887
ica__leu_glcr__1,0.2880745844,-0.6865956830000001
ica__leu_glcr__2,0.3646949239,-0.690760484
ica__met_glc__1,1.4388404567,-1.049996104
ica__met_glc__2,0.6635376615,-1.096009357
ica__no3_anaero__1,-3.8989120218,-0.334290405
ica__no3_anaero__2,-3.8842007537,-0.269943176
ica__phe_acgam__1,-0.1125536161,-0.823042151
ica__phe_acgam__2,-0.4175258559,-0.934398103
ica__thm_gal__1,0.31293867270000003,-0.214442015
ica__thm_gal__2,0.1132895877,-0.177717747
ica__tyr_glcn__1,-0.40584312780000004,-0.8420201860000001
ica__tyr_glcn__2,-0.5268582514,-0.738097389
ica__ura_pyr__1,1.1837643715,-0.511470883
ica__ura_pyr__2,3.7566488147,-0.476827999
ica__wt_glc__5,0.6798295080000001,-0.5089311240000001
ica__wt_glc__6,0.47743924790000003,-0.47036250700000004
ica__bw_delpurR_cytd__1,0.3334669199,-0.797113362
ica__bw_delpurR_cytd__2,1.3878759689,-0.805689948
ica__ade_glc__1,1.2190716571,-0.663226345
ica__ade_glc__2,1.0890184026,-1.020004102
ytf__wt_glc__1,3.9714927059000003,0.116039626
ytf__wt_glc__2,5.2538311325,0.36610711100000004
ytf__delyafC__1,-1.0322592516,0.11510076100000001
ytf__delyafC__2,-1.7496804476999999,0.122157185
ytf__delyeiE__1,-2.3186706192,-0.016444439
ytf__delyeiE__2,-1.4575396385000001,-0.10683157900000001
ytf__delyiaJ__1,-2.8038144359,0.252587279
ytf__delyiaJ__2,-2.3610059117,0.32036507000000003
ytf__delyieP__1,2.6190648832,0.21932071
ytf__delyieP__2,12.2373121266,0.631185269
ytf__wt_ph5__1,-4.4692763237,-0.123235641
ytf__wt_ph5__2,-4.1783867071,-0.106662001
ytf__wt_ph8__1,3.0537955883,-0.11077808
ytf__wt_ph8__2,3.2006400338,-0.0071240140000000006
ytf__delybaO__1,-2.5675277326,0.169711745
ytf__delybaO__2,1.7973230930000001,0.303379874
ytf__delybaQ__1,0.1431336553,-0.282013889
ytf__delybaQ__2,0.5290452009000001,-0.31118823100000004
ytf__delybiH__1,12.0001052188,0.224712497
ytf__delybiH__2,12.5028716925,0.42364796
ytf__delydcI_ph5__1,-4.5704256684,-0.38991506800000003
ytf__delydcI_ph5__2,-4.0137406025,-0.36446154000000003
ytf__delydcI_ph8__1,2.8642603651,-0.032813702
ytf__delydcI_ph8__2,4.0285667213,-0.14693393100000002
ytf__delyddM__1,-0.5030805073,-0.002849813
ytf__delyddM__2,-0.175695288,-0.093258622
ytf__delyheO__1,-2.9911921761,-0.03267713
ytf__delyheO__2,1.2582366719,0.018513902000000002
fps__bw_glc__1,0.1378047093,-0.53724556
fps__bw_glc__2,0.4092818556,-0.416188661
fps__fps_thrA_ale1__1,0.8421013363000001,-0.34650182
fps__fps_thrA_ale1__2,1.0232193364,-0.347086326
fps__fps_thrA_ale2__1,1.1942326049,-0.523967072
fps__fps_thrA_ale2__2,0.9922966015,-0.466316538
fps__fps_serB_ale1__1,-0.1061331737,-0.239625307
fps__fps_serB_ale1__2,-0.204080705,-0.10360308900000001
fps__fps_serB_ale4__1,1.5926144158,-0.392390057
fps__fps_serB_ale4__2,1.6489991445,-0.071870155
fps__fps_ptsI_ale1__1,2.8108282898,-0.6175540620000001
fps__fps_ptsI_ale1__2,2.6164249651,-0.499324617
fps__fps_ptsI_ale3__1,2.8786821185,-0.613920035
fps__fps_ptsI_ale3__2,2.5760917163,-0.693045884
pal__lyx_ale2_f6__1,0.1366709002,-0.429527796
pal__lyx_ale2__1,1.4430527464,-0.5245636220000001
pal__lyx_ale2__2,1.3661477327,-0.6098771350000001
pal__lyx_ale4__1,3.1384707072999998,-0.6885535930000001
pal__lyx_ale4__2,2.8260041188000002,-0.7844064260000001
pal__5drib_ale10_f18__1,3.831785437,-0.40131418700000004
pal__5drib_ale10_f18__2,3.4999042152,-0.423448716
pal__5drib_ale10__1,1.9612404325,-0.256978309
pal__arab_ale14_f9__1,0.9414072649,-0.49861995800000003
pal__arab_ale14_f9__2,1.6181733086999999,-0.405896132
pal__arab_ale14__1,0.4789391083,-0.9685474340000001
pal__arab_ale14__2,0.9870933877,-0.8057507380000001
pal__arab_ale16__1,1.1696952355999999,-0.32719115400000004
pal__arab_ale16__2,4.0666749959,0.048285281000000006
pal__tartr_ale26_f10__1,2.5374113672,-0.419396278
pal__tartr_ale26_f10__2,1.7425586299,-0.44130673400000003
pal__tartr_ale26__1,2.1585774862,-0.11999543500000001
pal__tartr_ale26__2,3.7858970296,-0.057376083
pal__tartr_ale28_f10__1,0.900764973,-0.08875432200000001
pal__tartr_ale28_f10__2,5.3512018525,-0.19730430100000002
pal__tartr_ale28__1,1.7675335625000002,-0.445814649
pal__tartr_ale28__2,2.1017008615,-0.588253279
efeU__delmenFentC_citr__1,2.9132943301000003,-0.158205861
efeU__delmenFentC_citr__2,5.7337863263,-0.09016438900000001
efeU__delmenFentC__1,-0.9235157271000001,0.326195609
efeU__delmenFentC__2,-1.2472360191,0.28714727100000004
efeU__menFentC_ale39__1,6.7777319403,-0.128349826
efeU__menFentC_ale39__2,4.6330616623,-0.137553585
efeU__menFentC_ale29__1,2.0179718265,-0.46567196400000005
efeU__menFentC_ale29__2,0.4848193448,-0.373473608
efeU__menFentC_ale30__1,-0.3944398295,-0.951872891
efeU__menFentC_ale30__2,1.305615475,-0.7746585380000001
efeU__menFentCubiC_ale36__1,1.7525348486999999,-0.198018793
efeU__menFentCubiC_ale36__2,1.4532091660000002,-0.17437232800000002
efeU__menFentCubiC_ale37__1,0.0168206578,-0.10043742500000001
efeU__menFentCubiC_ale37__2,-0.06290132500000001,-0.021144741
efeU__menFentCubiC_ale38__1,0.1157557154,-0.217485272
efeU__menFentCubiC_ale38__2,-0.2113831519,-0.175807121
misc2__salc_glc__1,-0.4571303605,-0.196995852
misc2__salc_glc__2,-0.1999115599,-0.15578172
misc2__dbcn_glc__1,5.6788668587,-0.8264479180000001
misc2__dbcn_glc__2,5.1064325057,-0.620765676
misc2__tyr_glc__1,-2.4956766038,-0.38935691800000005
misc2__tyr_glc__2,-2.5335461565,-0.313100223
misc2__arg_cytd__1,0.259678654,-0.704435087
misc2__arg_cytd__2,0.5441056816000001,-0.5782908010000001
misc2__delyheO_pyr__1,3.1997635034,-0.189932339
misc2__delyheO_pyr__2,2.8565565654,-0.23367484
nquinone__delubiC__1,-0.1971686298,-0.49008445700000003
nquinone__delubiC__2,-1.6563701759,-0.38917122800000004
nquinone__ubiC_ale1__1,-0.1328756767,-0.267989593
nquinone__ubiC_ale1__2,-0.2609936514,-0.012295714000000001
nquinone__ubiC_ale2__1,-0.2964922253,-0.11274742600000001
nquinone__ubiC_ale2__2,-0.2820309333,-0.11974617400000001
nquinone__ubiC_ale3__1,0.5503255311,-0.839216921
nquinone__ubiC_ale3__2,0.7612815489,-0.933420039
nquinone__ubiC_ale4__1,0.6767588578,-0.077850266
nquinone__ubiC_ale4__2,-0.0188842407,0.051826929
nquinone__delpdhR__1,-2.1696453765,-0.8176568030000001
nquinone__delpdhR__2,-1.2470356798,-0.8721316640000001
quinone__glu_ale4__1,-2.0900268929,-0.845480698
quinone__glu_ale4__2,-0.21954017110000001,-0.485438454
quinone__delmenF__1,-0.5685559504000001,-0.447599385
quinone__delmenF__2,-0.20688182430000002,-0.260957125
quinone__menF_ale5__1,4.1558737851,-0.10925860800000001
quinone__menF_ale5__2,4.3280985522,-0.016847019
quinone__menF_ale6__1,4.0145032013,-0.048850368000000005
quinone__menF_ale6__2,3.4463201841,0.023914868000000002
quinone__menF_ale7__1,-1.7830213923,-0.012431654
quinone__menF_ale7__2,-2.3110815745,-0.069080234
quinone__menF_ale8__1,-1.1283349558,-0.048581422000000006
quinone__menF_ale8__2,-0.4968328597,0.001809831
quinone__delmenFubiC__1,-3.2003948974,-0.34737616400000004
quinone__delmenFubiC__2,-3.1897252805,-0.27451657500000004
quinone__menFubiC_ale1__1,-2.9712851427,-0.49300062600000005
quinone__menFubiC_ale1__2,-3.3304946105,-0.5598479110000001
quinone__menFubiC_ale2__1,-2.6132194418,-0.33109149600000004
quinone__menFubiC_ale2__2,-2.2325372,-0.377222895
quinone__menFubiC_ale3__1,-0.0373858929,-0.813888767
quinone__menFubiC_ale3__2,-0.2386600797,-0.872796231
quinone__menFubiC_ale4__1,5.7320970031,-0.32521904
quinone__menFubiC_ale4__2,10.6862288062,-0.181767951
oxyR__wt_glc__1,0.7860794654000001,-0.45713859500000004
oxyR__wt_glc__2,0.6869145545,-0.39680881
oxyR__wt_h2o2__1,0.8065465277,-0.32762254500000004
oxyR__wt_h2o2__2,1.6552117721,0.010481819
oxyR__glu_ale4__1,-0.604254505,-0.090514038
oxyR__glu_ale4__2,-1.5374988773,-0.18833464400000002
oxyR__glu_ale4_h2o2__1,-1.56403866,-0.07234808300000001
oxyR__glu_ale4_h2o2__2,-3.4290908045,-0.215811721
oxyR__oxyR_ale17__1,-2.3696089407,-0.29339450100000003
oxyR__oxyR_ale17__2,-3.0119349553,-0.406455108
oxyR__oxyR_ale17_h2o2__1,-0.9240788822,-0.277332067
oxyR__oxyR_ale17_h2o2__2,-0.2369860138,-0.33926512000000003
oxyR__oxyR_ale18__1,-0.0473841367,-0.582913821
oxyR__oxyR_ale18__2,0.9675215565,-0.49678674800000006
oxyR__oxyR_ale18_h2o2__1,-2.7296935732,-0.413873215
oxyR__oxyR_ale18_h2o2__2,-2.5325298244,-0.353255191
oxyR__oxyR_ale19__1,0.5686976138000001,-0.7084345040000001
oxyR__oxyR_ale19__2,1.0370031219,-0.35340345
oxyR__oxyR_ale19_h2o2__1,0.4747550659,-0.605356322
oxyR__oxyR_ale19_h2o2__2,0.7942235055,-0.637928889
oxyR__oxyR_ale20__1,-6.7016956872,-0.7716280590000001
oxyR__oxyR_ale20__2,-7.0355072634,-0.847133687
oxyR__oxyR_ale20_h2o2__1,-3.1611956245,-0.511645674
oxyR__oxyR_ale20_h2o2__2,-4.0326966305,-0.468065954
svns_pgi__BmePgi24_15__1,0.031719530600000004,-0.167343927
svns_pgi__BmePgi24_15__2,0.5441103854,-0.12900793100000002
svns_pgi__BmePgi24_26__1,0.8116212202,-0.41563400500000003
svns_pgi__BmePgi24_26__2,1.5514034021,-0.40848406400000004
svns_pgi__BmePgi24_41__1,2.9361085499,0.083173783
svns_pgi__BmePgi24_41__2,1.4698707988000002,-0.460881986
svns_pgi__BmePgi24_52__1,1.1589570751,-0.312970156
svns_pgi__BmePgi24_52__2,1.1838830553,-0.461049996
svns_pgi__PaePgi2_34__1,1.1699624551,0.180319375
svns_pgi__PaePgi2_34__2,1.4344023575,0.157052424
svns_pgi__PaePgi2_63__1,1.1883352547000001,0.015671425
svns_pgi__PaePgi2_63__2,1.3796287386000001,0.00039303900000000003
svns_pgi__PaePgi24_54__1,0.47777036900000003,0.151190606
svns_pgi__PaePgi24_54__2,0.39669136920000003,0.11501491700000001
svns_pgi__PaePgi24_90__1,1.2280953967000001,-0.248440123
svns_pgi__PaePgi24_90__2,0.9736525873,-0.17692913300000002
abx_media__m9_ctrl__1,3.5601555648,-0.7537582020000001
abx_media__m9_ctrl__2,3.0306613369,-0.7490349
abx_media__rpmi_ctrl__1,6.8092027687000005,-0.52118999
abx_media__rpmi_ctrl__2,5.8862928919,-0.48076183
abx_media__camhb_ctrl__1,-1.7178978760999999,-2.091290828
abx_media__camhb_ctrl__2,-1.3853904015,-2.155867392
abx_media__m9_mero__1,5.014209537,-1.177323823
abx_media__m9_mero__2,4.4018337192,-0.965638077
abx_media__rpmi_mero__1,8.1538148853,-0.763017634
abx_media__rpmi_mero__2,8.3889542123,-0.576321694
abx_media__camhb_mero__1,0.9576712105,-2.543509444
abx_media__camhb_mero__2,0.9920763336,-2.50366836
abx_media__m9_trisulf__1,3.7026729388,-1.051659456
abx_media__m9_trisulf__2,6.2228342383,-0.833881453
abx_media__rpmi_trisulf__1,6.0459263412,-1.043541611
abx_media__rpmi_trisulf__2,5.1965520799,-1.2845982550000001
abx_media__camhb_trisulf__1,2.4752066022,-1.312065569
abx_media__camhb_trisulf__2,2.3502194456,-1.444110556
abx_media__m9_cef__1,5.9053726883,-0.7917040630000001
abx_media__m9_cef__2,6.0960739686,-0.838253675
abx_media__rpmi_cef__1,6.9765770522,-0.737446844
abx_media__rpmi_cef__2,7.4397955231,-0.656622208
abx_media__camhb_cef__1,0.7270847177,-1.666618523
abx_media__camhb_cef__2,0.3948242293,-1.736801452
abx_media__m9_cipro__1,3.2571940504,-0.596088425
abx_media__m9_cipro__2,4.9180805765,-0.625912322
abx_media__rpmi_cipro__1,7.5719684109,-0.598614866
abx_media__rpmi_cipro__2,8.4622094404,-0.25993955700000004
abx_media__camhb_cipro__1,0.6503106568,-1.393812361
abx_media__camhb_cipro__2,1.4932209777,-1.4829994210000002
hot_tale__42c_ale3_30c__1,0.5710002349000001,-1.086305975
hot_tale__42c_ale3_30c__2,0.1981861436,-1.223961155
hot_tale__42c_ale3_37c__1,0.9839375688,-0.439882612
hot_tale__42c_ale3_37c__2,0.9100116420000001,-0.45975237300000005
hot_tale__42c_ale3_44c__1,2.3960276499,0.260329867
hot_tale__42c_ale3_44c__2,2.9598889341,0.356493065
hot_tale__hot_ale3_mid_30c__1,-4.0458861799,-0.975819222
hot_tale__hot_ale3_mid_30c__2,0.8220529848,-0.656292195
hot_tale__hot_ale3_mid_37c__1,0.8524181609,-0.568040938
hot_tale__hot_ale3_mid_37c__2,0.22149399960000002,-0.6828843960000001
hot_tale__hot_ale3_mid_44c__1,-1.8503869377000002,-0.23949075900000003
hot_tale__hot_ale3_mid_44c__2,0.3255084849,-0.150050825
hot_tale__hot_ale3_30c__1,-2.9422444731,-1.345719839
hot_tale__hot_ale3_30c__2,-2.5041706988,-1.138232019
hot_tale__hot_ale3_37c__1,0.7334561081000001,-0.8373825720000001
hot_tale__hot_ale3_37c__2,-0.0720803396,-0.79186124
hot_tale__hot_ale3_44c__1,1.3921556361,-0.27207026900000003
hot_tale__hot_ale3_44c__2,1.8760226832,-0.34833931100000004
hot_tale__hot_ale4_30c__1,-0.3435121125,-1.375984301
hot_tale__hot_ale4_30c__2,-0.4083300482,-1.32591321
hot_tale__hot_ale4_37c__1,-0.3840161154,-1.089855533
hot_tale__hot_ale4_37c__2,-0.9661494676000001,-0.769877982
hot_tale__hot_ale4_44c__1,0.1383521727,0.030007747
hot_tale__hot_ale4_44c__2,0.9348799637,-0.07318856700000001
hot_tale__hot_ale8_30c__1,0.2138789275,-1.357339927
hot_tale__hot_ale8_30c__2,-0.29116478,-1.317130691
hot_tale__hot_ale8_37c__1,0.0445872511,-0.953270845
hot_tale__hot_ale8_37c__2,-0.2752535424,-0.919327973
hot_tale__hot_ale8_44c__1,0.7670246622,-0.062676724
hot_tale__hot_ale8_44c__2,0.08968600900000001,-0.22350117300000003
hot_tale__hot_ale9_mid_30c__1,-3.9419503032,-1.101302446
hot_tale__hot_ale9_mid_30c__2,-4.1570472218,-1.123741968
hot_tale__hot_ale9_30c__1,0.1767454424,-1.086531153
hot_tale__hot_ale9_30c__2,0.6220283078000001,-0.9449178650000001
hot_tale__hot_ale9_mid_37c__1,-5.5351645116,-1.175381983
hot_tale__hot_ale9_mid_37c__2,-5.278596455,-1.158220909
hot_tale__hot_ale9_37c__1,0.065152057,-0.842462718
hot_tale__hot_ale9_37c__2,-0.035314611100000004,-0.825832077
hot_tale__hot_ale9_mid_44c__1,-3.780286594,-0.460473094
hot_tale__hot_ale9_mid_44c__2,-3.4336785758,-0.25778105300000004
hot_tale__hot_ale9_44c__1,1.2518853983,-0.19707644
hot_tale__hot_ale9_44c__2,1.3036286151,-0.23699719400000002
hot_tale__hot_ale10_30c__1,-0.2970098424,-0.940721149
hot_tale__hot_ale10_30c__2,-0.0891685886,-0.8106305420000001
hot_tale__hot_ale10_37c__1,0.32280214430000004,-0.917643721
hot_tale__hot_ale10_37c__2,0.1142088908,-0.9719036560000001
hot_tale__hot_ale10_44c__1,0.5697641130000001,-0.38398000000000004
hot_tale__hot_ale10_44c__2,1.36401504,-0.160284944
hot_tale__hot_ale16_30c__1,-5.4270494819,-1.1563341710000001
hot_tale__hot_ale16_30c__2,-5.9529279205000005,-1.026663952
hot_tale__hot_ale16_37c__1,-5.7559596452,-1.184474824
hot_tale__hot_ale16_37c__2,-5.4859405286000005,-1.174284968
hot_tale__hot_ale16_44c__1,-4.761578301,-0.41894225500000004
hot_tale__hot_ale16_44c__2,-4.174299456,-0.285658162
pdhr_ale__pdhR-13_51__1,1.4174550313,-0.11419232600000001
pdhr_ale__pdhR-13_51__2,0.7760095455,-0.090900136
pdhr_ale__pdhR-14_46__1,2.8491184752,0.119747952
pdhr_ale__pdhR-14_46__2,1.3705063796,0.12486786200000001
pdhr_ale__pdhR-15_51__1,-0.011385386800000001,-0.152956862
pdhr_ale__pdhR-15_51__2,-0.0541826907,-0.105647976
pdhr_ale__pdhR-16_49__1,1.5233392972000002,0.17366736600000002
pdhr_ale__pdhR-16_49__2,2.3399576759,-0.080146929
tcs__del_atoC_LiAcet__1,11.1507952487,0.072932288
tcs__del_atoC_LiAcet__2,10.6746255109,0.08558737
tcs__del_atoC_LiCl__1,8.873554143,0.08524625
tcs__del_atoC_LiCl__2,8.8918862354,0.018619616000000002
tcs__del_atoC_m9__1,4.0622785284,-0.045774718000000006
tcs__del_atoC_m9__2,3.0949928724,-0.05118288
tcs__del_baeR_etoh__1,2.7198983379,-1.458132779
tcs__del_baeR_etoh__2,3.0373113364,-1.176393219
tcs__del_baeR_lb__1,0.1998749618,0.23402994400000002
tcs__del_baeR_lb__2,0.1658078234,0.244365344
tcs__del_btsR_01xlb__1,2.4736263401,-0.44940255500000004
tcs__del_btsR_01xlb__2,1.5649083349000001,-0.564984389
tcs__del_btsR_lb__1,0.087407493,-0.069539983
tcs__del_btsR_lb__2,0.285911719,0.0055883320000000005
