,A,TrpR,TyrR
ica__met_glc__2,0.9780157214452636,-0.37099611299999946,-0.3463274424999998
ica__no3_anaero__1,-1.650314177508725,0.5469864490000003,0.4437923395000008
ica__no3_anaero__2,-1.5327375112289692,0.6435755849999998,0.3945434645000008
ica__phe_acgam__1,-0.4057349477868207,-0.09669938199999972,-0.2700635484999987
ica__phe_acgam__2,-0.3618226229777172,-0.04783217299999976,-0.3286892494999991
ica__thm_gal__1,-0.4203222652692083,0.4596530699999999,-0.17121243549999932
ica__thm_gal__2,-0.4581463198482279,0.6173477470000002,-0.012328185499999478
ica__tyr_glcn__1,-6.308629294618331,-0.3298129300000001,-0.5788652404999999
ica__tyr_glcn__2,-6.230889537997338,-0.2773956979999994,-0.4623621704999996
ica__ura_pyr__1,-1.1874234660375782,0.20667242399999972,-0.2522158304999991
ica__ura_pyr__2,-1.4534956819254297,0.2695319009999997,-0.1871445474999991
ica__wt_glc__5,0.1576940913114163,0.19498428899999976,-0.1255222964999998
ica__wt_glc__6,0.2832801834633432,0.2691929660000003,-0.11325083849999905
ica__bw_delpurR_cytd__1,0.862259636353236,0.3776679379999992,-0.3656655334999988
ica__bw_delpurR_cytd__2,-1.1153641865274075,0.4041673920000006,-0.470308383499999
ica__ade_glc__1,-1.0880549634462835,0.5671467729999993,-0.3558620064999998
ica__ade_glc__2,1.3192961356950752,0.24725331999999955,-0.4657624684999986
ytf__wt_glc__1,-0.873963994587197,0.13542451600000138,-0.01726542349999871
ytf__wt_glc__2,-2.412925633858687,-0.057459827999999824,0.19763356850000055
ytf__delyafC__1,-5.2247843760700095,0.7324952109999998,0.5656874815000013
ytf__delyafC__2,-5.437266111607281,0.6166222650000002,0.576602160500002
ytf__delyeiE__1,-1.2046260500115935,0.5271281779999989,0.3033699375000003
ytf__delyeiE__2,-0.0166719724959185,0.16925731600000038,-0.0004741604999995984
ytf__delyiaJ__1,-3.335780950935685,0.34704360499999964,0.5240269315000008
ytf__delyiaJ__2,-3.3828866968958367,0.4691024989999999,0.5307552265000011
ytf__delyieP__1,-4.434682734468836,0.6882594320000006,0.6510175845000008
ytf__delyieP__2,-5.009372074654235,0.6490653920000007,0.4749709375000002
ytf__wt_ph5__1,-1.279885835611397,0.3433788350000002,0.046269214500000544
ytf__wt_ph5__2,-1.9513812440642355,0.521371802,-0.006005505499999232
ytf__wt_ph8__1,0.4661867156801368,0.14701537899999995,-0.050385978499998714
ytf__wt_ph8__2,0.0865205129448059,0.3652071960000001,-0.1186833164999994
ytf__delybaO__1,-4.674003025863619,0.7258248839999997,0.4584729365000007
ytf__delybaO__2,-5.286369317410876,0.4096122399999995,0.4733400735000002
ytf__delybaQ__1,-0.4599602262116166,0.5583756600000003,0.022831273500000467
ytf__delybaQ__2,-0.6688477645850313,0.3578642510000014,0.01657937550000099
ytf__delybiH__1,-2.178701961229507,0.21818562799999966,0.3851366525000008
ytf__delybiH__2,-5.558248074951138,0.4356425429999993,0.5312406685000006
ytf__delydcI_ph5__1,-0.7924772682604542,0.3413791650000002,-0.0632748964999994
ytf__delydcI_ph5__2,-0.7686653091856823,0.1943705070000004,-0.0995178844999991
ytf__delydcI_ph8__1,2.830191206751253,0.400822722,-0.04873684149999935
ytf__delydcI_ph8__2,0.2733628947242892,0.17355537099999996,-0.11455278049999952
ytf__delyddM__1,-2.074451669308276,0.329298992,0.38050225950000094
ytf__delyddM__2,-2.1904129233245886,0.22463541200000048,0.31563739150000103
ytf__delyheO__1,-4.586420879528856,0.671367869,0.5185415695000009
ytf__delyheO__2,-5.633907790036708,0.6061708929999998,0.5950104515000012
fps__bw_glc__1,0.686550832555522,0.6146359409999995,-0.11897339349999925
fps__bw_glc__2,0.5803815627021457,0.606393314,-0.1876094304999993
fps__fps_thrA_ale1__1,-2.073898030423861,0.42079598700000004,0.036459763499999916
fps__fps_thrA_ale1__2,-1.3740070624198464,0.21547712700000066,0.02472785850000037
fps__fps_thrA_ale2__1,-2.162857978772599,0.4746011289999998,-0.0388479024999997
fps__fps_thrA_ale2__2,-1.75751062499314,0.5285283659999997,0.04966408050000037
fps__fps_serB_ale1__1,1.3520871435065305,0.7200840159999995,0.10151599250000044
fps__fps_serB_ale1__2,1.707334177135612,0.7324929099999995,0.1460643424999999
fps__fps_serB_ale4__1,-1.885011455415578,1.5164691010000002,0.057987062499999624
fps__fps_serB_ale4__2,-1.3776458137331926,1.2138349709999998,0.038559774500000366
fps__fps_ptsI_ale1__1,-2.7562088718464177,0.9066270239999996,-0.24938753149999915
fps__fps_ptsI_ale1__2,-2.3083095550203288,0.7415470800000001,-0.2188357434999988
fps__fps_ptsI_ale3__1,-2.1523620034375788,0.5389674499999995,-0.32975677449999896
fps__fps_ptsI_ale3__2,-2.296987618278132,0.7347248689999999,-0.30178343449999895
pal__lyx_ale2_f6__1,-3.87935333706943,0.8581098929999991,0.028985416500001193
pal__lyx_ale2__1,-3.2583038287823727,0.656305895,-0.030062717499999888
pal__lyx_ale2__2,-3.970078111395191,0.8464694979999985,0.08258456749999965
pal__lyx_ale4__1,-2.083780166148923,0.4349253490000001,-0.5253323564999999
pal__lyx_ale4__2,-2.4692356737727064,0.30971191299999923,-0.5971134224999997
pal__5drib_ale10_f18__1,-5.02370196046946,0.7726522600000001,-0.27509571750000017
pal__5drib_ale10_f18__2,-5.100666476330788,0.8555034389999996,-0.4649782904999995
pal__5drib_ale10__1,-3.752984496856751,0.9123621019999996,0.027322425500000413
pal__arab_ale14_f9__1,-3.0744432058930284,0.6913801329999991,0.07440842749999987
pal__arab_ale14_f9__2,-2.4259231164198063,0.5140438459999999,0.0462658075000002
pal__arab_ale14__1,0.1501868437521171,0.444559731,-0.16607948149999974
pal__arab_ale14__2,-0.0700074979067272,0.35348995799999905,-0.26101977449999936
pal__arab_ale16__1,-3.6533984453583943,0.5131913820000005,-0.13837438949999914
pal__arab_ale16__2,-4.002041889799952,0.7834514079999995,0.16888461749999986
pal__tartr_ale26_f10__1,-5.648630526919142,0.8865884479999995,-0.2831895894999992
pal__tartr_ale26_f10__2,-5.913911623171344,0.8496426559999994,-0.11768627649999976
pal__tartr_ale26__1,-4.180400561343225,0.8657513999999997,-0.2056136774999997
pal__tartr_ale26__2,-3.7444356414081392,0.7525713179999993,-0.16671683649999913
pal__tartr_ale28_f10__1,-5.527479093126452,0.22129014399999924,0.2585135195000001
pal__tartr_ale28_f10__2,-5.129647350856537,0.6940704239999995,0.15354545749999993
pal__tartr_ale28__1,-1.8658810214530284,1.0317033329999985,-0.1524944064999998
pal__tartr_ale28__2,-2.8257159989750398,1.4390343449999996,-0.2785926394999993
efeU__delmenFentC_citr__1,-0.112019841604089,0.1848113579999993,-0.027820755499999628
efeU__delmenFentC_citr__2,0.1895516254017123,0.020850487999999782,0.05525181450000094
efeU__delmenFentC__1,-2.6844370967621,0.24970030600000026,0.3385178805000004
efeU__delmenFentC__2,-2.735874126284557,0.21436716200000028,0.3544107815000013
efeU__menFentC_ale39__1,-1.3417229099923258,0.3310191079999996,0.8759950055000001
efeU__menFentC_ale39__2,0.9551904909937832,0.4445115829999997,0.8395594894999991
efeU__menFentC_ale29__1,-3.994492150707405,0.3613476039999997,0.5191820695000002
efeU__menFentC_ale29__2,-4.277033000599273,0.2244390660000004,0.6371801505000008
efeU__menFentC_ale30__1,0.2748112527342207,-0.1058010119999997,-0.06697475250000018
efeU__menFentC_ale30__2,0.8534264981877152,0.18005006000000012,-0.14522343649999936
efeU__menFentCubiC_ale36__1,-1.7303699848326488,0.019202242000000425,0.20191239350000068
efeU__menFentCubiC_ale36__2,-1.7897416295705508,-0.007116762000000777,0.15155689450000054
efeU__menFentCubiC_ale37__1,-2.336848172364549,0.210229386,0.13241677050000078
efeU__menFentCubiC_ale37__2,-2.3986926302053875,0.2328854759999999,0.12723456450000015
efeU__menFentCubiC_ale38__1,-0.0701921253471561,0.5363372039999996,-0.21640903949999932
efeU__menFentCubiC_ale38__2,-0.6327059687542776,0.38740898,-0.2740227634999988
misc2__salc_glc__1,-2.7800433433808185,0.5882128989999984,0.11611744050000095
misc2__salc_glc__2,-3.280846810785637,1.1497669870000005,0.33424621450000025
misc2__dbcn_glc__1,1.859817612322875,0.14147320100000016,-0.3591789034999993
misc2__dbcn_glc__2,0.8561475090278688,0.7133693110000001,-0.04225593949999951
misc2__tyr_glc__1,-6.369237626326187,0.09844079899999958,-0.03574070949999797
misc2__tyr_glc__2,-6.818453123668242,0.35469244,-0.016027154499999696
misc2__arg_cytd__1,0.0798677042994307,0.1424317799999999,-0.2321965214999997
misc2__arg_cytd__2,-0.0469088423770129,0.09990232600000136,-0.3173456704999991
misc2__delyheO_pyr__1,-1.152302476087339,0.35996907300000025,-0.046363607499999133
misc2__delyheO_pyr__2,-0.6952001374106754,0.4647872309999999,-0.11908593149999992
misc2__dellon_glc__1,-0.820769043648511,0.16175091299999966,0.7161783335000003
misc2__dellon_glc__2,-1.2189135661190005,0.21443201700000006,0.7836820134999991
nquinone__delubiC__1,-0.2655338903833966,-0.08085107299999983,-0.02260515750000014
nquinone__delubiC__2,-1.036083232327118,0.06379414600000022,0.07962564750000034
nquinone__ubiC_ale1__1,-1.1336965504977612,0.3416460260000003,0.10326274150000092
nquinone__ubiC_ale1__2,-1.1534015557102826,0.11474960200000073,0.0826953485000006
nquinone__ubiC_ale2__1,-1.528730149400875,-0.176988327000001,0.050494130500000615
nquinone__ubiC_ale2__2,-1.370943574170679,0.09180395299999944,0.01736072749999984
nquinone__ubiC_ale3__1,-2.9153490872619545,-0.6016586740000003,0.18335237650000116
nquinone__ubiC_ale3__2,-2.6162770715611883,-0.3874808999999999,0.15246296350000055
nquinone__ubiC_ale4__1,-1.442270498892773,0.03883417799999922,0.12694610750000024
nquinone__ubiC_ale4__2,-2.121430075360557,0.21752660100000032,0.13105597850000095
nquinone__delpdhR__1,0.2549689387038398,-0.05482688000000024,-0.3822973464999997
nquinone__delpdhR__2,-0.1505293833222418,-0.16764459899999995,-0.26780217149999963
quinone__glu_ale4__1,1.1359540460682422,-0.12997603200000096,-0.12014671749999906
quinone__glu_ale4__2,0.7448772738739993,0.35420754700000057,0.2523213505000008
quinone__delmenF__1,-0.4158741355016625,0.16917327600000046,-0.036294264499999514
quinone__delmenF__2,0.1393680866486301,0.21455317899999926,0.08658775249999984
quinone__menF_ale5__1,-4.445481808148306,0.28416369600000024,0.7966112745000009
quinone__menF_ale5__2,-4.222934480029882,0.13684510700000008,0.7371054345000001
quinone__menF_ale6__1,-5.095668562291336,0.2884564310000002,0.8014125415000013
quinone__menF_ale6__2,-4.704733893340807,0.2410460810000004,0.7170202525000002
quinone__menF_ale7__1,-4.960769661004754,0.2394429339999995,0.7876835745000008
quinone__menF_ale7__2,-5.219865953828677,0.4084105379999992,0.6989472365000013
quinone__menF_ale8__1,-3.526334044694108,0.4249022599999997,0.9384274825
quinone__menF_ale8__2,-4.28799332136313,0.7976653460000014,0.6171622905000005
quinone__delmenFubiC__1,-1.71905280598531,0.19685879000000028,0.2337289675000003
quinone__delmenFubiC__2,-1.438901851053099,0.0982388089999997,0.20064699450000045
quinone__menFubiC_ale1__1,-2.5397974930125464,0.02468746499999952,0.7407681985000005
quinone__menFubiC_ale1__2,-2.100810587335064,-0.17324983199999974,0.7280058805000005
quinone__menFubiC_ale2__1,-2.58275351186054,0.19483396499999994,0.8368812395000003
quinone__menFubiC_ale2__2,-2.3820232108355124,-0.0011985029999994625,0.8741204555000008
quinone__menFubiC_ale3__1,0.1692285830145669,0.09065386299999913,-0.05470374049999993
quinone__menFubiC_ale3__2,-0.104720755484186,-0.02080520799999963,-0.2061632264999993
quinone__menFubiC_ale4__1,-5.250593568860759,0.09819841299999954,0.7221217105000006
quinone__menFubiC_ale4__2,-5.196101332595918,0.3964131220000002,0.6551152035000003
oxyR__wt_glc__1,0.8258083780909142,-0.029300447999999868,-0.2604133434999989
oxyR__wt_glc__2,0.3569599831759372,-0.012243812000000355,-0.2761225954999995
oxyR__wt_h2o2__1,-0.1157558887873972,-0.05127718100000056,-0.21572444649999944
oxyR__wt_h2o2__2,-0.5154529501994892,0.039346123999999705,0.028703162500000268
oxyR__glu_ale4__1,0.0248540156949479,0.4361319459999997,0.3462350425000009
oxyR__glu_ale4__2,-0.0063122606919192,0.010944216000000395,0.3688593545000005
oxyR__glu_ale4_h2o2__1,-0.003880869502658,0.4373832719999999,0.5433138695000004
oxyR__glu_ale4_h2o2__2,0.3347786517693006,0.24486811500000005,0.5943429724999998
oxyR__oxyR_ale17__1,1.2869220237975043,0.19527432599999986,0.2662552095000006
oxyR__oxyR_ale17__2,2.00453845358672,0.4718737979999998,0.4575660095000007
oxyR__oxyR_ale17_h2o2__1,0.1617192808869242,0.16627071700000062,0.18798073450000088
oxyR__oxyR_ale17_h2o2__2,0.7145811225880223,0.07468723399999977,0.06342086550000038
oxyR__oxyR_ale18__1,1.9957252209354737,-0.2020903589999996,-0.3883677724999997
oxyR__oxyR_ale18__2,1.6326389183890453,0.13023726599999996,-0.4791334814999999
oxyR__oxyR_ale18_h2o2__1,1.134445633765695,-0.178028823,0.06108121850000092
oxyR__oxyR_ale18_h2o2__2,0.8246354204901083,-0.11760834599999992,0.07735768050000047
oxyR__oxyR_ale19__1,2.3514204692588363,0.01929567999999993,-0.5384180454999994
oxyR__oxyR_ale19__2,2.533300907775883,-0.0377635009999997,-0.380697228499999
oxyR__oxyR_ale19_h2o2__1,2.169060404252399,0.00027593999999986346,-0.5851973004999991
oxyR__oxyR_ale19_h2o2__2,2.2485083076811274,0.017377253999999454,-0.5863889074999991
oxyR__oxyR_ale20__1,3.147869584463109,0.08815263700000031,-0.0026499365000001163
