,A,VicR
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:5.0,4.1653859978,0.0522538059
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:6.0,3.4121167338,-0.2269934112
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:7.0,0.4577162199,-0.14679587730000002
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:8.0,3.1441635071,-0.2581296333
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:9.0,-0.6976860164,-0.3248278438
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:10.0,2.2860456354,-0.5568387772
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:11.0,1.4834066129,-0.431975115
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:12.0,3.1293571827,-0.3188260296
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:13.0,2.9310659475,-0.1311345441
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:14.0,1.9577429186000002,-0.5766805547
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:15.0,4.2189904195,-0.5181652585000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:16.0,2.3908412572,-0.4502433361
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:17.0,-6.7532599705,-1.2092571233
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:18.0,2.032878549,-0.5192043411
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:19.0,-1.789169406,-0.3484053556
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:20.0,-2.423089521,-0.128445904
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:21.0,-1.7449677602,-0.42025026120000003
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:1.0,0.32601999670000004,-0.0844567236
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:2.0,-0.4657853919,0.0694032643
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:3.0,0.1397653952,0.0150534593
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:1.0,10.9880481063,-0.7230719883000001
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:2.0,11.361044272200001,-0.7005298814
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:3.0,11.2748140925,-0.6541085296
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:4.0,10.958724957,-0.4034211205
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:1.0,0.1945194993,-0.011268963
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:2.0,-0.19806510670000002,0.0367775864
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:3.0,0.3852378884,-0.0072209508000000006
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:4.0,-0.381692281,-0.0182876726
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:1.0,2.7705326423,-0.1134217306
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:2.0,2.5213648036,-0.0745808136
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:3.0,2.8386596952,-0.1186709147
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:4.0,2.8566555533,-0.1151149728
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:1.0,1.7598343341,-0.0621409048
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:2.0,1.9775809076000002,-0.0348157834
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:3.0,1.6795970924999999,-0.0595378134
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:4.0,2.6704007565,-0.0718240333
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:1.0,1.8703075243,0.012719344300000001
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:2.0,1.6947864565000001,0.0443634056
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:3.0,-0.6680886268,0.07468061520000001
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:4.0,-0.3816175842,0.11247564730000001
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:1.0,-0.7797542339,0.0461210062
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:2.0,0.151826671,0.011891939300000001
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:3.0,0.0407784124,0.08463350480000001
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:1.0,13.1633870449,0.1478720241
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:2.0,13.010519705,0.11241905960000001
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:3.0,12.9798370896,0.0491146601
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:1.0,1.1580883661999999,-0.047415033200000005
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:1.0,19.1335796037,0.4836208933
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:2.0,1.5961400644000001,-0.5708165673
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:2.0,18.522391444,0.5855191270000001
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:3.0,0.9567937258,0.2884452943
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:3.0,18.5802441211,0.402375827
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:4.0,-0.4697489537,0.47261140220000003
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:4.0,10.8150678894,0.7883389938
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:5.0,0.3873905252,-0.0983809783
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:5.0,11.2741560886,0.8263052696000001
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:6.0,0.669507579,-0.5168768742000001
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:6.0,9.1906742864,0.4708254799
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:1.0,0.5010948539,0.13709502140000002
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:2.0,-0.7952253679,-0.08289480810000001
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:3.0,0.294130514,-0.0542002133
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:1.0,-2.0109217053,0.0268982792
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:2.0,-3.1000514862,-0.1049941016
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:3.0,-0.8175950597,-0.0922713275
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:1.0,-3.5739302234,0.3332449844
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:2.0,-6.0958308013,0.1254658008
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:3.0,-3.3656746801,0.2899486428
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:1.0,-6.3156305948,0.1285502697
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:2.0,-4.8292367446,0.0620836328
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:3.0,-5.2982704457,0.0933756438
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:1.0,9.1264642958,-0.2450194325
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:2.0,9.1835136113,-0.5176541602
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:3.0,9.1374332757,-0.4997855182
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:1.0,6.9654134028,-0.1787714438
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:2.0,6.3398800105,-0.2578796404
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:3.0,6.191865685,0.0381800521
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:1.0,2.6872915863999998,-0.0739497465
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:2.0,3.7757202155,-0.29356826010000003
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:3.0,2.651368249,-0.1505833346
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:1.0,0.6563746909,-0.430220197
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:2.0,0.7309720267,-0.44690928090000004
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:3.0,2.1447671363,-0.5739730120000001
