,A,Crp
fps__fps_serB_ale1__1,-0.0920516095,10.348916123
fps__fps_serB_ale1__2,0.1279458896,10.320271944
fps__fps_serB_ale4__1,-7.855214773,10.4974328436
fps__fps_serB_ale4__2,-6.7889653662,10.4865062805
fps__fps_ptsI_ale1__1,11.3790898844,10.2295564972
fps__fps_ptsI_ale1__2,12.8465663037,10.2426839439
fps__fps_ptsI_ale3__1,12.0181143645,10.3297732792
fps__fps_ptsI_ale3__2,11.9321226011,10.2862425557
pal__lyx_ale2_f6__1,9.5101648085,10.1850037764
pal__lyx_ale2__1,8.8128856876,9.7601909337
pal__lyx_ale2__2,9.371020621,9.7054591195
pal__lyx_ale4__1,8.8128856876,9.7601909337
pal__lyx_ale4__2,9.371020621,9.7054591195
pal__5drib_ale10_f18__1,12.589245036,9.8482896417
pal__5drib_ale10_f18__2,12.4908131901,9.8169812927
pal__5drib_ale10__1,13.6639579942,10.1995775673
pal__arab_ale14_f9__1,5.2542547969,10.1433847892
pal__arab_ale14_f9__2,5.4713959552,10.2345136014
pal__arab_ale14__1,7.5176430478,10.3034765348
pal__arab_ale14__2,7.0771769877,10.1905973962
pal__arab_ale16__1,6.8050365509,9.8739158533
pal__arab_ale16__2,5.8847427564,9.9659420458
pal__tartr_ale26_f10__1,12.2729429564,10.0981665084
pal__tartr_ale26_f10__2,13.2010182586,9.9945592275
pal__tartr_ale26__1,12.3923622766,10.1495910449
pal__tartr_ale26__2,12.6034632796,10.1515384153
pal__tartr_ale28_f10__1,8.8107279991,9.8390459297
pal__tartr_ale28_f10__2,9.0870231615,9.8341107404
pal__tartr_ale28__1,11.8039342151,10.1525031202
pal__tartr_ale28__2,8.905485972,10.2056540256
efeU__delmenFentC_citr__1,2.0758739921,10.3643228769
efeU__delmenFentC_citr__2,2.3256367631,10.523810234900001
efeU__delmenFentC__1,-8.7300808145,10.6385058432
efeU__delmenFentC__2,-8.5953788879,10.6570187482
efeU__menFentC_ale39__1,3.9159262822,10.5065523105
efeU__menFentC_ale39__2,3.8265922962000003,10.452420934
efeU__menFentC_ale29__1,-0.0956601784,10.7057342285
efeU__menFentC_ale29__2,-0.5373742414,10.7253727318
efeU__menFentC_ale30__1,1.8894863809,10.0006578356
efeU__menFentC_ale30__2,1.8747027844000002,9.9060590979
efeU__menFentCubiC_ale36__1,-3.5456080259,10.5498906878
efeU__menFentCubiC_ale36__2,-2.8974192064,10.4029395186
efeU__menFentCubiC_ale37__1,-2.620694574,10.6921940055
efeU__menFentCubiC_ale37__2,-2.3875292795,10.789489859
efeU__menFentCubiC_ale38__1,0.888347705,10.2505234927
efeU__menFentCubiC_ale38__2,0.15898997650000002,10.267608997
