,A,GlcC
pgi__pgi_ale5__1,11.3022456756,6.4122176116
pgi__pgi_ale6__1,10.9722488568,6.3160355507
pgi__pgi_ale7__1,2.0712699034,6.0631508995
pgi__pgi_ale8__1,11.5841321584,6.2935944892
ica__wt_glc__1,-0.1461377376,5.7656376148
ica__wt_glc__2,-1.073702568,5.5814858696
ica__wt_glc__3,-0.4746529084,5.1708012433
ica__wt_glc__4,-1.9580796246,5.024481155
ica__arg_sbt__1,5.7619703162,6.4054458874
ica__arg_sbt__2,6.5429205216,6.3123686191
ica__cytd_rib__1,13.7248367944,8.7387006675
ica__cytd_rib__2,13.1098520733,8.5809430903
ica__gth__1,0.8313585695,5.8346961147
ica__gth__2,0.9780657175,5.7466921789
ica__leu_glcr__1,-1.8183477608,5.87965448
ica__leu_glcr__2,-1.5019092971,5.7369460649
ica__met_glc__1,-1.2984997345,5.7543430237
ica__met_glc__2,-1.4907829255,5.4109530591
ica__no3_anaero__1,-3.8372647805,2.5278406794
ica__no3_anaero__2,-3.3412366606,2.5557972915000002
ica__phe_acgam__1,-1.3495025435999999,5.3103158862
ica__phe_acgam__2,-1.3931092892999999,5.419472811
ica__thm_gal__1,6.6240428692,7.1606761168
ica__thm_gal__2,7.2380659642,7.3074960676
ica__tyr_glcn__1,-0.9256863213000001,5.4792414312
ica__tyr_glcn__2,-1.6573606922000002,5.1606412699
ica__ura_pyr__1,1.4654617101,6.2119218449
ica__ura_pyr__2,2.3818160495000003,6.8509503205
ica__wt_glc__5,-1.2097065089,5.5455700064
ica__wt_glc__6,-0.8204121230000001,5.8550961366
ica__bw_delpurR_cytd__1,-2.1457640158,5.0570483633
ica__bw_delpurR_cytd__2,-1.9873443856000002,5.2745249016999995
ica__ade_glc__1,-3.6617267267,5.5121761987
ica__ade_glc__2,-3.4521704959,5.5296683594000005
ytf__wt_glc__1,-0.14110485180000001,4.8811922691
ytf__wt_glc__2,-0.7487268682,4.240240206
ytf__delyafC__1,-1.5743327907,3.6249118093
ytf__delyafC__2,-1.9444159268,3.9697024148
ytf__delyeiE__1,-0.7208954884000001,5.0392459968
ytf__delyeiE__2,-0.5592276671,5.8921941786000005
ytf__delyiaJ__1,-1.3385052619,4.2215819535
ytf__delyiaJ__2,-1.9681256022,3.7585508793
ytf__delyieP__1,-1.8560190582,4.2934997149
ytf__delyieP__2,-1.1315783759,4.3868205837
ytf__wt_ph5__1,-0.1693572446,5.857455725
ytf__wt_ph5__2,-0.5850861607,6.0518015942
ytf__wt_ph8__1,-1.0817330802,5.7812728985
ytf__wt_ph8__2,-0.6952316217000001,6.0261277948
ytf__delybaO__1,-1.6256666275,4.0258360637
ytf__delybaO__2,-1.8967939781,3.9327693354
ytf__delybaQ__1,-0.078728793,6.33594762
ytf__delybaQ__2,0.30819120650000004,6.1502291775
ytf__delybiH__1,-0.46154721390000003,3.7391241371
ytf__delybiH__2,-0.7209564104,3.5087104030000003
ytf__delydcI_ph5__1,-0.2222045251,5.9744233087000005
ytf__delydcI_ph5__2,-0.21760319390000002,5.8666407686
ytf__delydcI_ph8__1,0.06799642260000001,5.4733044118
ytf__delydcI_ph8__2,-0.9536608593,5.851074522
ytf__delyddM__1,0.4582547106,6.3715663777
ytf__delyddM__2,0.6414299999,6.3961087665
ytf__delyheO__1,-1.4096808781,4.2022446665
ytf__delyheO__2,-1.0576263748,3.7919384727
fps__bw_glc__1,-1.0068188505,6.2096874491
fps__bw_glc__2,-1.9708721016,6.0575956895
fps__fps_thrA_ale1__1,-0.25590032020000003,5.7977562577
fps__fps_thrA_ale1__2,-0.8882334456000001,5.5249995247
fps__fps_thrA_ale2__1,-0.6327450514,5.8659132287
fps__fps_thrA_ale2__2,-0.4997923891,5.5476631063
fps__fps_serB_ale1__1,0.48169524690000004,6.279868216
fps__fps_serB_ale1__2,1.137607077,6.3915593973
fps__fps_serB_ale4__1,2.8621888027,6.2938438367
fps__fps_serB_ale4__2,3.1857468095,6.6352087113
fps__fps_ptsI_ale1__1,6.5282680428,7.3142215764
fps__fps_ptsI_ale1__2,6.566814562,7.3694586106
fps__fps_ptsI_ale3__1,5.6771184432,7.2439065103
fps__fps_ptsI_ale3__2,5.8033464648,7.171571311
pal__lyx_ale2_f6__1,9.9938748698,7.4378887056
pal__lyx_ale2__1,7.5460711342,7.0914249792
pal__lyx_ale2__2,7.4415027293,7.0214042062
pal__lyx_ale4__1,7.5460711342,7.0914249792
pal__lyx_ale4__2,7.4415027293,7.0214042062
pal__5drib_ale10_f18__1,7.3725512757,8.6634207928
pal__5drib_ale10_f18__2,7.199028564,8.6608447474
pal__5drib_ale10__1,9.5020947775,8.4249721768
pal__arab_ale14_f9__1,14.1212109617,5.6876579305
pal__arab_ale14_f9__2,14.0592982497,5.7837317396
pal__arab_ale14__1,15.9286904586,5.8531536528
pal__arab_ale14__2,15.2387825023,5.4373918046
pal__arab_ale16__1,15.3238329505,6.102295906
pal__arab_ale16__2,15.1582432206,6.0678900205
pal__tartr_ale26_f10__1,15.8934195287,7.6973151385000005
pal__tartr_ale26_f10__2,14.4289804224,7.9552416244
pal__tartr_ale26__1,13.9463951159,7.7636539873
pal__tartr_ale26__2,13.9012981308,7.6678782628
pal__tartr_ale28_f10__1,5.9202507769,7.3383795868
pal__tartr_ale28_f10__2,6.1773681999,7.2049686076
pal__tartr_ale28__1,13.7876762937,7.4205563233
pal__tartr_ale28__2,12.0482566414,7.677184634
efeU__delmenFentC_citr__1,0.8881565208000001,5.3588893103
efeU__delmenFentC_citr__2,0.9564655902,4.3296930654
efeU__delmenFentC__1,-0.2828768907,5.3880466568
efeU__delmenFentC__2,-1.0244745803,4.9870859295
efeU__menFentC_ale39__1,-1.6167736998,2.458321738
efeU__menFentC_ale39__2,-1.8054958669,2.2802474939
efeU__menFentC_ale29__1,-0.5371937378,3.8728669224
efeU__menFentC_ale29__2,-1.0928628262,4.5218664409
efeU__menFentC_ale30__1,-1.1412725864,5.5111185604
efeU__menFentC_ale30__2,-1.3180104184,4.9216962828
efeU__menFentCubiC_ale36__1,0.22999382000000002,5.5189388603000005
efeU__menFentCubiC_ale36__2,-0.2804907178,5.4106029955
efeU__menFentCubiC_ale37__1,-0.7764747566,6.0264960559
efeU__menFentCubiC_ale37__2,-0.3094211541,6.3142527879
efeU__menFentCubiC_ale38__1,-1.8050932391,5.093437175
efeU__menFentCubiC_ale38__2,-2.2218840842,4.6135399254
