,A,ArgR
misc__bw_delcbl__2,0.5917256957,9.168350618
misc__bw_delfabr__1,2.0443024504,9.0318392111
misc__bw_delfabr__2,2.3274724808,8.9011700438
misc__bw_delfadr__1,-0.8837080736,8.8958154196
misc__bw_delfadr__2,-0.9031553049000001,8.9455327242
misc__nitr_031__1,-3.0108614404,8.5344702402
omics__wt_glu__1,-0.7284695107,8.2606570741
omics__wt_glu__2,-0.5015974799,7.6819466197
omics__wt_gly__1,0.9725814488000001,8.4635365215
omics__wt_gly__2,0.6028547651,8.5428705488
omics__wt_thr__1,-1.2456187864000001,9.1503894366
omics__wt_thr__2,-0.7059554803,9.5092771723
omics__bw_ac__1,-4.0198350258,8.0111828865
omics__bw_ac__2,-3.8027139784,8.1135765731
omics__bw_fum__1,-3.3379934318,8.8445894898
omics__bw_fum__2,-2.9938351931,8.8699276245
omics__bw_glc__1,-2.4376334403,8.931046836
omics__bw_glc__2,-2.2191529588,8.8573359157
omics__bw_pyr__1,-2.2846794273,8.7670398629
omics__bw_pyr__2,-1.7360323794,8.938037789500001
ompr__wt_nacl__1,-13.1539319798,7.0410415287
ompr__wt_nacl__2,-13.1863200164,7.47497518
ompr__bw_delompr_nacl__1,0.3606786556,7.8277577671
ompr__bw_delompr_nacl__2,0.0229257195,7.9284885305
minspan__wt_ade__1,-6.8780669754,7.7765682293000005
minspan__wt_glc__1,-0.41604950700000004,8.4472448655
minspan__wt_glc__2,-1.1279713834,8.441740965
minspan__wt_glc__3,-0.8966746640000001,8.4659065561
minspan__wt_glc__4,-0.6771163234,8.5610647166
minspan__wt_glc_anaero__1,-7.0090694834,8.3235786051
minspan__wt_glc_anaero__2,-5.9116418527,8.3135894262
minspan__wt_trp__1,-3.5884798938999998,8.8473339325
minspan__bw_delcra_glc__1,-0.7195864510000001,8.6295319597
minspan__bw_delcra_glc__2,-0.6648460919,8.6790959563
minspan__bw_delcra_trp__1,2.330768579,8.8092339047
minspan__bw_delmntr__1,-6.7721696627,7.9379133616
minspan__bw_delnac_ade__1,-11.8472077224,7.2488327564
minspan__bw_delnac_glc__1,-7.3598000557,7.9454537637
cra_crp__wt_ac__1,-3.1292931593,7.9962797994
cra_crp__wt_ac__2,-3.1884804766,7.9237915345
cra_crp__wt_fru__1,-3.7900073418,7.5424813854
cra_crp__wt_fru__2,-4.3236412185,7.704989476
cra_crp__delcra_ac__1,-7.904224475,8.4641606308
cra_crp__delcra_ac__2,-7.6312991413999995,8.2908407223
cra_crp__delcra_fru__1,-3.6172757073,8.2521618756
cra_crp__delcra_fru__2,-3.7818387252,8.2123833159
cra_crp__delcra_glc__1,-0.36640048480000004,8.2624123714
cra_crp__delcra_glc__2,-0.7277722991000001,8.287363321800001
rpoB__wt_031__1,-4.9364932209,8.1553980343
rpoB__wt_044__1,-1.9011101883000001,8.0835523431
rpoB__wt_lb__1,-14.7306508247,7.5988522016
rpoB__wt_lb__2,-15.12525633,7.8059624193
rpoB__rpoBE546V_031__1,-3.1233657,8.3622536102
rpoB__rpoBE546V_044__1,-3.0674829632,8.5431350768
rpoB__rpoBE546V_lb__1,-15.3338590517,8.0832247132
rpoB__rpoBE546V_lb__2,-15.3056281639,8.0442684213
rpoB__rpoBE546V_glc__1,-0.2002841601,8.6962389156
rpoB__rpoBE672K_glc__1,-1.19604461,7.9828343519
rpoB__rpoBE672K_glc__2,-0.9839556086000001,7.7417556356
rpoB__rpoBE672K_lb__1,-16.410962755,7.8426808438
rpoB__rpoBE672K_lb__2,-16.1331996196,7.8502876148
crp__wt_fru__1,0.0893845716,8.3053392359
crp__wt_glyc__1,3.0682167386,7.8054078442
crp__wt_glyc__2,2.5049407098,7.8374185378
crp__delar1_glyc__1,-3.6248877846000003,8.9854862609
crp__delar1_glyc__2,-8.9873876829,9.0618595827
crp__delar1ar2_glyc__1,-0.076194121,7.5661622689
crp__delar1ar2_glyc__2,-1.1614829304,7.7273812636
crp__delar1ar2_glyc__3,-0.9904754013,7.7461700384
crp__delar2_glyc__1,-7.9009050173,8.1635085211
crp__delar2_glyc__2,-9.2450954869,8.3493585654
crp__delar2_glyc__3,-9.3939700221,8.4167628314
crp__delcrp_fru__1,-4.2102824968,8.1720715809
crp__delcrp_fru__2,-4.6360056834000005,7.7719848589
crp__delcrp_fru__3,-4.4349300426,7.9871424544
crp__delcrp_glc__1,-3.552351373,8.0760622211
crp__delcrp_glc__2,-4.2389092851,8.0461125333
crp__delcrp_glc__3,-3.6652709786,8.1029072061
crp__delcrp_glyc__1,-5.6303796527,7.8149606585
crp__delcrp_glyc__2,-6.6836203997,7.9964569304
crp__delcrp_glyc__3,-6.3821885987,7.9014244165
glu__glu_ale3__1,-3.5053590813,8.2139887754
glu__glu_ale4__1,1.5945142937,8.1519113754
glu__glu_ale5__1,0.485946511,8.5126481999
glu__glu_ale6__1,5.165326739,8.412584426
glu__glu_ale8__1,-7.7965152853,8.3935516396
glu__glu_ale9__1,0.1944420239,8.0501799855
glu__glu_ale10__1,-1.2248169098,8.4289057037
42c__wt_42c__1,-0.2275435147,8.012570443
42c__42c_ale1__1,3.7963618522,8.3021368416
42c__42c_ale2__1,1.9353658241,8.38024562
42c__42c_ale3__1,-2.0034008857,8.2561837377
42c__42c_ale4__1,-1.359160798,7.6407420626
42c__42c_ale5__1,-0.9048333282000001,8.2379523428
42c__42c_ale6__1,-4.2109357494,7.5000095559
42c__42c_ale8__1,-4.1522522771,7.5066289853
42c__42c_ale9__1,0.6642625525,8.3112847434
42c__42c_ale10__1,-9.0596170666,7.1833389878
ssw__wt_ac__1,-13.7785017847,8.3009983409
ssw__wt_glc__1,-6.8897764142,7.8875067797
ssw__wt_glyc__1,-8.0708423761,9.1604711396
ssw__wt_xyl__1,-9.4601883216,7.9687650621
ssw__glc_ale1__1,1.8706609727,8.6353493686
ssw__glc_ale2__1,-0.0248407457,8.7759877585
ssw__glc_ale3__1,0.9461801797,8.6327692567
ssw__glyc_ale1__1,-4.8285052813,8.5786463424
ssw__glyc_ale2__1,-0.750201933,8.8467230817
ssw__xyl_ale1__1,-6.4027831997,7.9966143745
ssw__xyl_ale2__1,-4.4423246062,8.3249412318
ssw__xyl_ale3__1,-0.8066731434000001,8.4862622329
ssw__glc_ac_ac2__1,-3.7744004106,8.4852976326
ssw__glc_ac_glc1__1,-1.6813024858999999,8.723035149
ssw__glc_ac_glc2__1,-2.6284151656,8.3807023709
ssw__glc_glyc_glc__1,-2.8499459115,8.0872368877
ssw__glc_glyc_glyc__1,-6.1177570121,7.9779530941
ssw__glc_xyl_glc__1,6.2016921848,8.7188441408
ssw__glc_xyl_xyl__1,-0.5321223394,8.4217309308
pgi__glu4_delpgi__1,-6.7551638563,8.4327140396
pgi__pgi_ale1__1,-0.9709242553,8.2309618951
pgi__pgi_ale2__1,-8.1536478051,7.7931524344
pgi__pgi_ale3__1,-0.6026487283,8.2682875302
pgi__pgi_ale5__1,-0.2532805866,8.1738739128
pgi__pgi_ale6__1,-0.3026118876,8.4241765866
pgi__pgi_ale7__1,-0.093887885,8.3756743085
pgi__pgi_ale8__1,0.39914602200000004,8.6638529153
ica__wt_glc__1,2.6766241827,8.65344719
ica__wt_glc__2,2.3422237507,8.7304586191
ica__wt_glc__3,-0.3933404787,8.8009087273
ica__wt_glc__4,-3.1442171022,8.7781692365
ica__arg_sbt__1,-3.7567435579,8.5207731054
ica__arg_sbt__2,-2.7897501562,8.7741447093
ica__cytd_rib__1,-11.7775338119,7.1242268107
ica__cytd_rib__2,-12.9780685328,6.9203458078
ica__gth__1,-14.6705694947,7.4291627942
ica__gth__2,-14.4106706796,7.2098011789
ica__leu_glcr__1,-12.7852404579,8.0333589554
ica__leu_glcr__2,-13.0827680112,7.9777540927
ica__met_glc__1,4.2139516308000005,8.8884024483
ica__met_glc__2,4.3266669194,8.8076611645
ica__no3_anaero__1,0.4573703679,8.7623440478
ica__no3_anaero__2,0.2563534641,8.766808978
ica__phe_acgam__1,-1.4005071212,8.9899707318
ica__phe_acgam__2,-1.5547070691,8.895220698
ica__thm_gal__1,-3.922120782,8.2408096127
ica__thm_gal__2,-3.8205950706,8.1375643137
ica__tyr_glcn__1,-1.1184293213,8.7451001069
ica__tyr_glcn__2,-0.8753349945000001,8.7543314355
ica__ura_pyr__1,-0.5234654262,8.8986690756
ica__ura_pyr__2,-0.3783641079,8.9909651628
ica__wt_glc__5,-2.2005691989,8.676782112
ica__wt_glc__6,-2.7685989593,8.5059442407
ica__bw_delpurR_cytd__1,4.3960949078,8.4672612721
ica__bw_delpurR_cytd__2,4.8777419973,8.6127821213
ica__ade_glc__1,0.9198566092,9.4294639611
ica__ade_glc__2,0.5347536411,9.4737727223
ytf__wt_glc__1,-0.4895329672,8.9298588624
ytf__wt_glc__2,-0.4721820968,8.964277416
ytf__delyafC__1,3.4678038445,9.510083443
ytf__delyafC__2,2.000216363,9.4614989195
ytf__delyeiE__1,-1.0678191286,8.9736178789
ytf__delyeiE__2,-4.6711497185,8.6200657965
ytf__delyiaJ__1,0.056064817100000004,9.2868055075
ytf__delyiaJ__2,-1.6462135835,9.2266823707
ytf__delyieP__1,-4.6993608605,9.3391553207
ytf__delyieP__2,-8.3587471472,8.9403110894
ytf__wt_ph5__1,-3.2945606375,8.8240378346
ytf__wt_ph5__2,-3.4927903573,9.058502214
ytf__wt_ph8__1,-1.5830541293,8.7217500421
ytf__wt_ph8__2,-1.4650032956,8.7091631342
ytf__delybaO__1,2.2537276698,9.42667573
ytf__delybaO__2,-2.9836477786,9.2155309167
ytf__delybaQ__1,-0.5956231068,8.8080411355
ytf__delybaQ__2,-0.7290070946,8.6994966659
ytf__delybiH__1,-1.5861880564000002,8.9721136288
ytf__delybiH__2,-8.2882357988,8.6473357772
ytf__delydcI_ph5__1,-1.5882679887,8.6171230524
ytf__delydcI_ph5__2,-1.4205665594,8.7404520622
ytf__delydcI_ph8__1,-4.1598859814,8.3601326289
ytf__delydcI_ph8__2,-1.0975621991,8.4399223509
ytf__delyddM__1,-12.3367727948,8.1313514643
ytf__delyddM__2,-11.5342587484,8.0078622444
ytf__delyheO__1,1.4873900067,9.3310476942
ytf__delyheO__2,-3.3415850062,9.2694070688
fps__bw_glc__1,1.2472069234,9.3401544131
fps__bw_glc__2,1.495092146,9.3409578471
fps__fps_thrA_ale1__1,-3.9359851445,9.0391033644
fps__fps_thrA_ale1__2,-2.6770498975,8.989365405000001
fps__fps_thrA_ale2__1,-4.0938001137,9.3081058187
fps__fps_thrA_ale2__2,-3.3864001152,9.1356683468
fps__fps_serB_ale1__1,-1.1668241399000001,9.0771725944
fps__fps_serB_ale1__2,0.28969942460000003,9.0256846172
fps__fps_serB_ale4__1,-7.8228593068,8.726154363100001
fps__fps_serB_ale4__2,-7.5597516422,8.5893100792
fps__fps_ptsI_ale1__1,-3.3755169571,8.6833094752
fps__fps_ptsI_ale1__2,-3.072564851,8.607069748
fps__fps_ptsI_ale3__1,-2.5490903659,8.6702714322
fps__fps_ptsI_ale3__2,-2.8293402050000003,8.512430717
pal__lyx_ale2_f6__1,-6.3127590378,7.8494531568
pal__lyx_ale2__1,-2.1602787178,8.1675192916
pal__lyx_ale2__2,-3.4825273396,7.8720858624000005
pal__lyx_ale4__1,-2.1602787178,8.1675192916
pal__lyx_ale4__2,-3.4825273396,7.8720858624000005
pal__5drib_ale10_f18__1,-3.2898002981,7.9673018826
pal__5drib_ale10_f18__2,-4.106095944,7.9285913063
pal__5drib_ale10__1,-5.1730187542,8.3749149516
pal__arab_ale14_f9__1,-5.211492092,8.3171558038
pal__arab_ale14_f9__2,-4.6966085728,8.2207542213
pal__arab_ale14__1,-1.469733109,8.4851751742
pal__arab_ale14__2,-0.1700568525,8.6195622683
pal__arab_ale16__1,-2.5011669848,8.1042308271
pal__arab_ale16__2,-3.2751089206,8.4896584407
pal__tartr_ale26_f10__1,-2.7739936684,7.8864904241
pal__tartr_ale26_f10__2,-2.8175012483,7.9035317658
pal__tartr_ale26__1,-3.7761541374,7.945336879
pal__tartr_ale26__2,-4.4740389274,7.9293701146
pal__tartr_ale28_f10__1,-3.4317377672,8.2426354722
pal__tartr_ale28_f10__2,-4.8928348687,8.3661657407
pal__tartr_ale28__1,-1.4021716261,8.1835430804
pal__tartr_ale28__2,-1.588418515,8.7091623721
efeU__delmenFentC_citr__1,0.190771711,9.0504199123
efeU__delmenFentC_citr__2,0.7091713866,9.10179831
efeU__delmenFentC__1,-6.2401397994,8.7641094114
efeU__delmenFentC__2,-5.4468209288,8.847528477000001
efeU__menFentC_ale39__1,-5.604650375,8.4885321993
efeU__menFentC_ale39__2,-6.4003209584,8.4957581218
efeU__menFentC_ale29__1,-11.2637440042,7.6868988303
efeU__menFentC_ale29__2,-10.3668127413,7.7627873719
efeU__menFentC_ale30__1,-0.289217008,8.4596463977
efeU__menFentC_ale30__2,0.38922773250000003,8.5275118424
efeU__menFentCubiC_ale36__1,-5.1427683404,8.6765665307
efeU__menFentCubiC_ale36__2,-5.0145264289,8.5339303956
efeU__menFentCubiC_ale37__1,-3.6487771009000003,8.742604141
efeU__menFentCubiC_ale37__2,-4.125952246,8.7314308069
efeU__menFentCubiC_ale38__1,-4.286325812,8.4360879117
efeU__menFentCubiC_ale38__2,-5.4759395755,8.2267143464
