,A,AtoC
rpoB__rpoBE546V_lb__2,1.2203945578,5.0799748023
rpoB__rpoBE546V_glc__1,-0.2243963763,3.2972959281
rpoB__rpoBE672K_glc__1,1.1497199353,2.5606703394
rpoB__rpoBE672K_glc__2,1.1013763986,2.8216468854
rpoB__rpoBE672K_lb__1,0.5176063742,4.1315590939
rpoB__rpoBE672K_lb__2,0.600650297,3.8051806115
crp__wt_fru__1,-0.4808942614,4.1992840938
crp__wt_glyc__1,1.2888002605,4.5124549238
crp__wt_glyc__2,0.4023392582,4.6690264942
crp__delar1_glyc__1,0.736758871,4.0880562777
crp__delar1_glyc__2,1.9691172971,4.0631341679
crp__delar1ar2_glyc__1,1.3445011714000001,3.9874525941
crp__delar1ar2_glyc__2,1.1571550444,3.6216306607
crp__delar1ar2_glyc__3,2.0393508742,3.8512772477
crp__delar2_glyc__1,3.7118994146,3.8663026667000002
crp__delar2_glyc__2,1.7196422049,3.6711315456999998
crp__delar2_glyc__3,0.7476219762,3.5875452635
crp__delcrp_fru__1,-0.0396812989,4.0492628133
crp__delcrp_fru__2,1.4870756938,3.7529706288
crp__delcrp_fru__3,1.9422476514,4.0133262606
crp__delcrp_glc__1,1.1130918085000001,3.7852410271
crp__delcrp_glc__2,-0.3424063281,3.9239361572
crp__delcrp_glc__3,0.25190148760000003,3.8358187983
crp__delcrp_glyc__1,0.5944065532,3.611076076
crp__delcrp_glyc__2,1.5466457804,3.846040188
crp__delcrp_glyc__3,1.3363032071,3.9777451943
glu__glu_ale3__1,1.3733262451,2.2301684818
glu__glu_ale4__1,1.5376815629,2.8989354413
glu__glu_ale5__1,0.8061134543,3.6059186867
glu__glu_ale6__1,1.0673829209,2.7032285561
glu__glu_ale8__1,2.5969685317,2.7834100889
glu__glu_ale9__1,1.2907717171,2.7764756285
glu__glu_ale10__1,0.7988053389,2.3808258828
42c__wt_42c__1,-0.0382799923,4.1255529637
42c__42c_ale1__1,-1.3243924124,4.3322793676
42c__42c_ale2__1,1.6691129120000001,3.0963145391
42c__42c_ale3__1,1.5971392496,3.7419525798
42c__42c_ale4__1,1.9210111912,3.3499871648
42c__42c_ale5__1,1.8051095389,3.9096667921
42c__42c_ale6__1,-0.3725640991,4.2675835655
42c__42c_ale8__1,0.8483200252,3.2846577136
42c__42c_ale9__1,1.6032782117000002,3.8369267818
42c__42c_ale10__1,1.3224826377,3.7978143027
ssw__wt_ac__1,-1.2919968112,4.55963145
ssw__wt_glc__1,0.041642708,3.6149097660000002
ssw__wt_glyc__1,-1.5360824023,7.5289874939
ssw__wt_xyl__1,1.8092810267,4.5756817537
ssw__glc_ale1__1,-1.731621638,4.5776136641
ssw__glc_ale2__1,-0.1494419809,2.7328793666999998
ssw__glc_ale3__1,-0.39312592100000004,3.6603913179000003
ssw__glyc_ale1__1,-0.4953287163,4.4314652363
ssw__glyc_ale2__1,0.4413063244,3.4771972609
ssw__xyl_ale1__1,1.8626199248000002,3.1999611283
ssw__xyl_ale2__1,1.0392564735,3.8432383927
ssw__xyl_ale3__1,-1.0191120985,4.4669045335
ssw__glc_ac_ac2__1,2.840664127,5.1597364684
ssw__glc_ac_glc1__1,2.325972244,3.8832756577
ssw__glc_ac_glc2__1,0.0298254342,4.3683841361
ssw__glc_glyc_glc__1,1.3272139958,3.0412370181
ssw__glc_glyc_glyc__1,0.9394312612000001,3.7370225723
ssw__glc_xyl_glc__1,0.4185120442,3.063190333
ssw__glc_xyl_xyl__1,2.2980605852,3.0445174376
pgi__glu4_delpgi__1,1.3552879542,3.5021998904
pgi__pgi_ale1__1,-0.11702591080000001,4.2454186233
pgi__pgi_ale2__1,2.6989767785,4.0455248677
pgi__pgi_ale3__1,2.845192213,3.7356336348
pgi__pgi_ale5__1,2.5173905393,3.881685148
pgi__pgi_ale6__1,2.4241156519000002,3.913541102
pgi__pgi_ale7__1,0.3175437125,4.0609991033
pgi__pgi_ale8__1,3.0570008358,3.6422377338
ica__wt_glc__1,0.910492991,3.8306554109
ica__wt_glc__2,0.7711309633000001,3.8176215729000003
ica__wt_glc__3,0.9420139083,3.848720352
ica__wt_glc__4,1.8970958921,3.7354341806
ica__arg_sbt__1,3.8934862908000003,4.2900365781
ica__arg_sbt__2,1.0367448022,4.542065894
ica__cytd_rib__1,0.6018270235000001,6.2389339553
ica__cytd_rib__2,2.2429823981,6.4065435989
ica__gth__1,1.7343744512,4.1132743827
ica__gth__2,2.3359222379,4.0129821303
ica__leu_glcr__1,0.7714738654000001,3.9855519237
ica__leu_glcr__2,1.4969480987,4.0026062082
ica__met_glc__1,0.42385107980000003,4.0149284909
ica__met_glc__2,1.1202136967,3.4031104013
ica__no3_anaero__1,2.2993076674,3.857253329
ica__no3_anaero__2,2.6691176348,3.6770348188
ica__phe_acgam__1,1.0654764064,3.8118546819
ica__phe_acgam__2,1.378707566,3.5887110156
ica__thm_gal__1,-0.31183936090000003,4.8357284402000005
ica__thm_gal__2,-0.1886482434,4.7730942785
ica__tyr_glcn__1,1.3238789244,3.8094988941
ica__tyr_glcn__2,2.159696794,4.0526734125
ica__ura_pyr__1,3.2850456695,4.4354729126
ica__ura_pyr__2,4.0508905586,4.5509305486
ica__wt_glc__5,1.9068620948000001,3.5349763347
ica__wt_glc__6,2.108235459,3.8332340987
ica__bw_delpurR_cytd__1,0.313639014,3.7682158901
ica__bw_delpurR_cytd__2,2.2043312055,3.4040706963
ica__ade_glc__1,5.0587595934,3.2819277574
ica__ade_glc__2,3.060376165,3.3486077792
ytf__wt_glc__1,1.8178864780000001,4.0999941943
ytf__wt_glc__2,2.3480015831,4.2056663137
ytf__delyafC__1,-0.8320565897000001,4.799621744
ytf__delyafC__2,0.1670110869,4.8571505141
ytf__delyeiE__1,0.5694996221,4.8579421759
ytf__delyeiE__2,0.1913833031,4.194078264
ytf__delyiaJ__1,0.6153149413,4.7772652149
ytf__delyiaJ__2,1.0219752941,4.7009812291
ytf__delyieP__1,0.7431693251,4.3684867852
ytf__delyieP__2,1.3825944982,4.3205059516
ytf__wt_ph5__1,1.4274012638,4.4670540889
ytf__wt_ph5__2,2.1438149795,3.9038563054
ytf__wt_ph8__1,1.4064821898,4.4277300865
ytf__wt_ph8__2,2.0472781961,3.97876875
ytf__delybaO__1,-0.6311746248,5.1046645631
ytf__delybaO__2,-0.8646071482000001,5.1084144035
ytf__delybaQ__1,0.9631260871,4.0304703724
ytf__delybaQ__2,0.4383003529,4.2023456898
ytf__delybiH__1,3.1356499439,3.7956315897
ytf__delybiH__2,1.383030251,4.1308327799
ytf__delydcI_ph5__1,0.8212261835,4.05334093
ytf__delydcI_ph5__2,1.2241733640999999,4.4358052263
ytf__delydcI_ph8__1,1.8755704782,3.95372032
ytf__delydcI_ph8__2,1.2399010795,3.8769949402
ytf__delyddM__1,1.2757465612,4.2607759306
ytf__delyddM__2,1.4560742864,4.0285860586
ytf__delyheO__1,-1.5518723743,4.8817107251
ytf__delyheO__2,-0.4147638158,5.1716524533
fps__bw_glc__1,-0.3858928578,3.9127602133
fps__bw_glc__2,-1.494753621,3.7012546407
fps__fps_thrA_ale1__1,0.8954340719,3.8676659913
fps__fps_thrA_ale1__2,0.8277276785000001,4.2061675224
fps__fps_thrA_ale2__1,2.2401098104,3.7782339092
fps__fps_thrA_ale2__2,1.220805989,3.8878448231
fps__fps_serB_ale1__1,-0.1921981124,3.8652659771
fps__fps_serB_ale1__2,0.11138850600000001,4.1573211332
fps__fps_serB_ale4__1,-0.9945447082000001,4.4426490513
fps__fps_serB_ale4__2,0.042405577,4.5980388285
fps__fps_ptsI_ale1__1,-0.5670597562,4.8629872607
fps__fps_ptsI_ale1__2,0.0814929025,5.0389165033
fps__fps_ptsI_ale3__1,1.1905543779,4.469012723
fps__fps_ptsI_ale3__2,0.7089792521,4.4415366464
pal__lyx_ale2_f6__1,0.8026232513,5.0327884805
pal__lyx_ale2__1,1.3283031294,4.5502201848
pal__lyx_ale2__2,1.0134124466,4.5656948587
pal__lyx_ale4__1,1.3283031294,4.5502201848
pal__lyx_ale4__2,1.0134124466,4.5656948587
pal__5drib_ale10_f18__1,2.4321632724,6.1717548259
pal__5drib_ale10_f18__2,3.2376491158,5.942675868
pal__5drib_ale10__1,1.5617947097,6.2661826251
pal__arab_ale14_f9__1,3.3826608801,4.279211697
pal__arab_ale14_f9__2,0.664554677,4.1195022654
pal__arab_ale14__1,1.9497429018,4.2514237238
pal__arab_ale14__2,0.40044487640000004,4.0066090737
pal__arab_ale16__1,1.9431974193000001,4.7586379231
pal__arab_ale16__2,2.5981851241,5.010574338
pal__tartr_ale26_f10__1,20.06207551,5.9478145547
pal__tartr_ale26_f10__2,20.6541552592,6.1563046468
pal__tartr_ale26__1,4.3516930856,5.789963635
pal__tartr_ale26__2,4.8153434029,5.8333888752
pal__tartr_ale28_f10__1,14.1349129306,4.7163388036
pal__tartr_ale28_f10__2,12.4685860893,5.0940844059
pal__tartr_ale28__1,4.6285949745,4.8928798888
pal__tartr_ale28__2,4.28081893,4.8492396151
efeU__delmenFentC_citr__1,1.464881339,3.7852964574
efeU__delmenFentC_citr__2,0.21852326230000002,3.8647145587000002
efeU__delmenFentC__1,1.8388549252000002,4.5000571197
efeU__delmenFentC__2,1.7868216111000002,4.4221604997
efeU__menFentC_ale39__1,1.8546975719,3.4799099406
efeU__menFentC_ale39__2,2.0223255304,3.5203848745
efeU__menFentC_ale29__1,3.8219094437,3.0271741639
efeU__menFentC_ale29__2,3.306572946,3.3632963387
efeU__menFentC_ale30__1,2.6523941511,3.5990810498
efeU__menFentC_ale30__2,1.9101732363,3.4325925709
efeU__menFentCubiC_ale36__1,0.9277719390000001,4.3373419225
efeU__menFentCubiC_ale36__2,1.3275491412,4.1415356289
efeU__menFentCubiC_ale37__1,1.8463211197,4.4314396183
efeU__menFentCubiC_ale37__2,0.9096672712,4.4310430025
efeU__menFentCubiC_ale38__1,2.0646618491,4.2500242968
efeU__menFentCubiC_ale38__2,2.3714053522,4.0840540763
