,A,Rv3066,Rv3249c,mbcA
cnpB:wt:2,0.8586647217000001,0.3057176858,-0.3484549125,0.2451509036
cnpB:wt:3,-0.2028684551,0.1270058409,1.0107446096,-0.22805048190000002
csoR:ko:1,-0.43858543240000003,0.6265366398000001,-0.14772446990000002,-0.1231252422
csoR:ko:2,-0.5321773589000001,0.5039923547,0.0275580084,-0.3756694749
csoR:wt:1,0.21187867230000001,0.0263768202,-0.084921626,0.0022446277
csoR:wt:2,-0.21187867230000001,-0.0263768202,0.084921626,-0.0022446277
dap:0_days_25:1,3.0685141571,1.383016223,-0.730103876,-0.0390315232
dap:0_days_25:2,2.956914456,1.5360878742000001,-0.4882026015,-0.2754899669
dap:0_days_25:3,2.9103660964999998,1.4192774503,-1.3466389136,-0.0479770286
dap:0_days_25:4,2.8269139929,1.3751121974,-1.1094092114,-0.09168418340000001
dap:0_days_control:1,0.4040830554,-0.0660654081,-0.0070611907,0.08502814160000001
dap:0_days_control:2,-0.2126135805,0.009551760500000001,-0.0644387372,-0.0616429366
dap:0_days_control:3,-0.0611784295,-0.0550994857,0.3118864449,0.0694100831
dap:0_days_control:4,-0.1302910454,0.1116131332,-0.2403865171,-0.092795288
dap:1_days_25:1,0.592447837,0.2346646255,-3.4199706487,0.3674052574
dap:1_days_25:2,0.4385649064,0.4939084569,-3.4962124693,0.10095112240000001
dap:1_days_25:3,0.5986384198,0.5305548726,-3.4098348574,0.07242234160000001
dap:1_days_25:4,0.20471592100000002,0.6444320106,-3.4445679407,-0.17138978
dap:1_days_control:1,-0.6136763355,0.3047335767,-3.6688222589,-0.1640067546
dap:1_days_control:2,-0.42811203210000004,0.1824225559,-3.5666863234,-0.06687642
dap:1_days_control:3,-0.8197808072,0.2778746198,-3.664826309,-0.15605122570000002
dap:1_days_control:4,-0.5316735158,0.027215714300000002,-3.6899711722,-0.016146027400000002
degradosome:mutant_rnj:1,-1.7248841108000001,-0.9828771937,-0.1062521862,-0.5360287635000001
degradosome:mutant_rnj:2,-2.0053959711,-0.8837415762,-0.23322763300000002,-0.6163136184
degradosome:mutant_rnj:3,-2.1800925762,-0.46744017530000004,-0.49622383950000004,-0.1220587184
degradosome:PNPase_ko:1,-2.3145397259,-0.5932000476,-1.3161422162,-1.9221273155
degradosome:PNPase_ko:2,-2.0416247895,-0.7630248358,-1.1062674192,-1.5031104044
degradosome:PNPase_ko:3,-2.0706301996,-0.8574675401,-1.2856772414,-1.9168303901
degradosome:Rnase_E_ko:1,-1.8841643774999999,-1.4170878234,-0.8324700007,-1.1266225102
degradosome:Rnase_E_ko:2,-1.0325655774,-1.2880449465,-0.8247339406,-1.0964208979
degradosome:Rnase_E_ko:3,-2.2188656602,-1.9967521892,-0.7650435849,-1.8713411561000002
degradosome:wt_cas9_ctrl:1,-2.6457602522,-0.8554184090000001,-1.5007469452,0.33102943500000004
degradosome:wt_cas9_ctrl:2,-3.6446076336,-0.639458555,-1.3151706429,0.2409490202
degradosome:wt_cas9_ctrl:3,-3.1138525762,-0.117148135,-1.2129123485,0.2179671816
degradosome:wt_expn:1,-0.1216913206,0.2348894809,0.5406564063,0.146698028
degradosome:wt_expn:2,0.09679450660000001,-0.0105613097,-0.0931579817,-0.21526685
degradosome:wt_expn:3,0.024896813900000002,-0.2243281712,-0.4474984246,0.068568822
delam:0_days_.09:1,3.3620468299,1.1001009905,0.0299919313,-0.1681256256
delam:0_days_.09:2,4.0086079154,1.1325084498,0.0353763812,-0.004475687700000001
delam:0_days_.09:3,4.2685148451,1.2779229131,0.0848120802,-0.1862319314
delam:0_days_.09:4,3.7225472205,1.3597864323,0.0736250625,-0.4634726973
delam:0_days_control:1,0.6574147552,-0.0770916641,0.0020801630000000003,-0.0388306219
delam:0_days_control:2,0.0422837976,0.2584693341,-0.037599581,-0.19982851000000001
delam:0_days_control:3,-0.4964338427,-0.2188412416,0.0194515748,0.125909577
delam:0_days_control:4,-0.2032647102,0.0374635715,0.0160678432,0.1127495549
delam:1_days_.09:1,10.2488848104,3.6302929173000003,-3.608813654,-0.1537026142
delam:1_days_.09:2,10.3328030535,3.4192103717,-3.5206906009,-0.1502702373
delam:1_days_.09:3,8.8730462166,2.9314898503,-3.4412526956000002,-0.015215619100000001
delam:1_days_.09:4,9.1596195443,3.1634289134,-3.4730972713,-0.017034429900000002
delam:1_days_control:1,8.0172515721,2.7216202715,-2.3813058601,-0.2558043528
delam:1_days_control:2,9.6117610897,2.8813212496,-2.8508731183,0.0516976061
delam:1_days_control:3,8.4569473311,2.8309660074,-2.4150875199,-0.134567661
delam:1_days_control:4,10.7584189269,3.7310855436,-3.7561192249,-0.171446598
dg_inh:both:1,0.1323221258,0.0270611148,-0.2284408642,-0.0807059259
dg_inh:both:2,-0.4396459505,-0.1641109026,-0.4263638925,-0.1605925424
dg_inh:both:3,-0.1868118112,-0.16771454100000002,-0.4495719077,-0.1138992704
dg_inh:dg:1,0.0786321567,-0.20130580680000001,-0.1254513368,0.061529546500000004
dg_inh:dg:2,0.0651318875,-0.3518625023,-0.19845258970000001,0.11937756790000001
dg_inh:dg:3,0.29014822230000004,-0.07297421230000001,-0.1590501097,-0.08267985850000001
dg_inh:DMSO:1,0.061050192,0.0806024513,-0.024117734800000002,0.0710335893
dg_inh:DMSO:2,-0.5667939176,-0.1615369516,-0.052002311,-0.1681541558
dg_inh:DMSO:3,0.5057437256,0.0809345004,0.07612004580000001,0.0971205665
dg_inh:inh:1,0.0385325829,-0.1216773594,-0.0953518111,-0.0374473175
dg_inh:inh:2,0.2561476999,-0.0357433437,-0.2154798823,0.0033190972
dg_inh:inh:3,0.5226132840000001,-0.31303808320000004,-0.1710089655,0.0029045542000000002
dormancy:dormant_20d_rifampicin:1,0.6557653165,0.7530057447,-0.4083610583,0.194792609
dormancy:dormant_20d_rifampicin:2,1.5969053142,1.1801499835,-0.5654024728,0.16789937300000002
dormancy:dormant_20d_rifampicin:3,1.6913802235,0.9898950238,-0.4240565757,0.0614484837
dormancy:dormant_no_treatment:1,-0.1664895087,-0.1424032606,-0.25296493740000003,0.0689986029
dormancy:dormant_no_treatment:2,0.0904631037,0.08537233300000001,0.191467142,-0.0562603759
dormancy:dormant_no_treatment:3,0.076026405,0.0570309275,0.0614977955,-0.012738227000000001
eccE1:control:1,0.1426847822,-0.0346754548,-0.1096904494,0.0275240684
eccE1:control:2,-0.1426847822,0.0346754548,0.1096904494,-0.0275240684
eccE1:delta_eccE1:1,-0.1565445321,-0.4945062639,-0.1689258404,-0.44483769440000004
eccE1:delta_eccE1:2,-0.18047461750000002,-0.1728295875,-0.1342564962,-0.3342150749
eccE1:delta_eccE1_eccE1_HA_comp:1,0.6782923262,-0.6419899158,-0.0177054554,0.1601446953
eccE1:delta_eccE1_eccE1_HA_comp:2,0.3156205161,-0.9195528829,-0.0700197052,-0.1614682229
eccE1:delta_eccE1_empty_vector:1,-0.13890734200000002,-0.0676263035,-0.1511015246,-0.540498596
eccE1:delta_eccE1_empty_vector:2,0.5091536969,-0.4741712652,-0.08732187520000001,-0.1795207596
eccE1:delta_eccE1_myc_p1_HA_comp:1,0.689560088,-0.6887000945,-0.37689260080000003,-0.1545998019
eccE1:delta_eccE1_myc_p1_HA_comp:2,1.0006861048,-0.7148021904,-0.4194721192,-0.41262029040000003
eccE1:delta_eccE1_mycP1_eccE1_comp:1,0.26756074080000003,-0.044063138700000004,-0.0790062909,-0.0479207014
eccE1:delta_eccE1_mycP1_eccE1_comp:2,0.37183282640000004,-0.49197590480000003,-0.0707634055,-0.3100929148
emb:0_days_2.45:1,-0.0579446625,-0.0728748412,-0.0424832735,0.005789659700000001
emb:0_days_2.45:2,-0.4475252068,0.1030757804,-0.2454189256,-0.20674381400000003
emb:0_days_2.45:3,0.6698199294,-0.3147214755,-0.1118711619,0.09067378250000001
emb:0_days_2.45:4,-0.0720078157,0.14234209450000002,-0.3139146829,-0.3149330001
emb:0_days_control:1,-0.5229746002,0.0624615665,0.1168543944,0.0188229392
emb:0_days_control:2,-0.1102737324,0.0152124897,-0.0743480638,-0.0645053175
emb:0_days_control:3,0.1703184601,-0.0922796719,-0.1037262884,0.025934315000000003
emb:0_days_control:4,0.4629298724,0.014605615700000001,0.0612199578,0.019748063200000002
emb:1_days_2.45:1,0.9019766142000001,0.14886083560000002,-0.1524097646,-0.4509388838
emb:1_days_2.45:2,1.0156056018,0.2025692477,-0.1887898198,-0.3411875978
emb:1_days_2.45:3,0.793274753,0.0805275677,-0.0617927016,-0.4202850375
emb:1_days_2.45:4,0.7783945677,0.1573113841,-0.1798698114,-0.27835316
emb:1_days_control:1,0.32733860730000003,-0.21185480180000002,-0.15549759940000002,-0.3772141979
emb:1_days_control:2,-0.011194141000000001,-0.0887447432,-0.106716076,-0.3781315216
emb:1_days_control:3,-0.2079626648,-0.23841903450000002,-0.1536424251,-0.4850294003
emb:1_days_control:4,0.5622996794,-0.2365043048,-0.1450230508,-0.3089612637
espL:ko:1,0.2642305766,0.3185423316,0.0664055734,-0.2151794002
espL:ko:2,0.555809324,0.3739608971,0.08689088510000001,-0.2351005897
espL:wt:1,0.046191931000000006,0.0370020745,-0.1099585066,-0.0832782049
espL:wt:2,-0.046191931000000006,-0.0370020745,0.1099585066,0.0832782049
esx_1:ko:1,0.11046731480000001,-0.2807414904,-0.1293027394,0.018598526
esx_1:ko:2,-0.42055785840000004,-0.1862111606,-0.2393626935,0.1802368227
esx_1:wt:1,0.7834546419,0.21218044500000002,0.0073485796,-0.0208354646
esx_1:wt:2,-0.40954687840000004,-0.3012454694,0.015344521500000001,0.0350786622
esx_1:wt:3,-0.3739077635,0.0890650244,-0.0226931011,-0.0142431976
genotoxic:control:1,-0.5822974148,0.0464836368,-0.1062134182,-0.28510614770000003
genotoxic:control:2,0.5822974148,-0.0464836368,0.1062134182,0.28510614770000003
genotoxic:growth_supplement:1,-0.1130508348,-1.3100374851,-0.292363592,0.0435927718
genotoxic:growth_supplement:2,0.218426113,-0.7643523047,-0.2000294768,0.4590191167
growth:tss_expnt:1,-0.10486964800000001,-0.2169539588,-0.9857185271000001,-0.9588804558
growth:tss_expnt:2,-0.814572748,-0.3018023751,-0.8487811488,-0.9848932905000001
growth:tss_expnt:3,-0.45016328240000003,-0.2636657206,-0.8521829414000001,-1.1786543928
growth:tss_starved:1,0.769297946,-0.5732335829,-1.9668602597,1.4088974142000001
growth:tss_starved:2,0.9073779369,-1.2007912926,-1.9531882229000002,1.1106591707
growth:tss_starved:3,0.7141375592,-1.1424805564,-1.2540342971,1.3525055237
growth:wt_expn:1,0.9130987968000001,0.4829668863,0.0969256134,0.1864958824
growth:wt_expn:2,-1.1580559746,-0.644827122,-0.1732551852,0.1045068499
growth:wt_expn:3,0.2449571778,0.1618602357,0.0763295719,-0.2910027323
hs2:treated:1,0.17775925380000002,0.0568215563,-0.1498295574,0.49167081230000004
hs2:treated:2,0.290605961,0.16790917360000002,0.15939836170000002,0.4161302713
hs2:treated:3,0.39852575020000003,0.15867949950000002,-0.0680260179,0.3033852402
hs2:untreated:1,-0.2515833329,-0.0090742248,0.015071303500000001,-0.1474302882
hs2:untreated:2,-0.1808396829,0.0074453213,0.0662857347,-0.08540573010000001
hs2:untreated:3,0.43242301590000004,0.0016289036000000001,-0.08135703820000001,0.2328360183
hypoxia:000h_.81_DO:1,-0.12401456100000001,0.0871695344,0.0782200351,-0.1303338013
hypoxia:000h_.81_DO:2,-0.512426531,-0.18246905300000002,-0.0344063883,-0.13344325140000002
hypoxia:000h_.81_DO:3,0.6364410921,0.09529951860000001,-0.0438136468,0.2637770527
hypoxia:017h_.57_DO:1,-0.2220842862,-0.2618585061,-1.6102844174,-0.6575427645
hypoxia:017h_.57_DO:2,-0.059437597200000004,-0.0023205079,-1.5912912855,-0.120384819
hypoxia:017h_.57_DO:3,-0.7503002729,-0.7840833650000001,-2.2873105688,-1.6746970885999999
hypoxia:023h_.42_DO:1,-0.9834249316,-1.2680022101000001,-1.3769297227,0.1634183626
hypoxia:023h_.42_DO:2,-1.8440095135,-1.4576978092,-1.3432852433,-0.0318414156
hypoxia:040h_.11_DO:1,-3.629024481,-1.4400804777,-1.6513663409000001,-0.095111413
hypoxia:040h_.11_DO:2,-0.9897967279000001,-0.8787097355,-1.8015445465000002,0.11382047520000001
hypoxia:041h_.09_DO:1,-4.2085657445,-2.5416588719,-1.595703719,-0.12881441670000002
hypoxia:041h_.09_DO:2,-2.0930919705,-1.1942357289,-1.5133532390000002,-0.5653383418
hypoxia:041h_.09_DO:3,-3.9289838245,-3.0959077047,-1.1991585349,-0.7987145335
hypoxia:042h_.07_DO:1,-3.8614181901,-1.9277778309,-1.2916272277,-0.09293277130000001
hypoxia:042h_.07_DO:2,-2.6441849496,-1.7682019527000001,-1.3226661378,0.1100881981
hypoxia:043h_.06_DO:1,-3.6446425232,-1.7287886591000001,-1.4382087948,-0.2205485137
hypoxia:043h_.06_DO:2,-2.6984879549,-2.4751710595,-1.5116609115,-0.2204954942
hypoxia:043h_.06_DO:3,-3.7116552139,-1.7430396668,-1.4856277439,-0.250251812
hypoxia:044h_.04_DO:1,-2.4242550969,-1.8043567085,-1.2381601867,0.0973292769
hypoxia:044h_.04_DO:2,-2.1818140137,-1.6750851986000002,-0.8470132998000001,-0.1647874561
hypoxia:044h_.04_DO:3,-3.2846630027,-1.4896479047,-1.3063603636,-0.5219130032
hypoxia:047h_0_DO:1,-1.2767693574,-1.1181766605,-1.4148852954,0.0970542554
hypoxia:047h_0_DO:2,-2.0744328881,-1.9342699362,-0.9023576547000001,-0.35907728110000003
hypoxia:047h_0_DO:3,-3.1303023039,-1.5594470839999999,-0.9749023206,-0.1820918278
hypoxia:049h_0_DO:1,-1.8432592989,-1.455584906,-0.7878985757,0.4249507887
hypoxia:049h_0_DO:2,-2.0746042262,-1.1295340584,-0.5458559626,0.2777584783
hypoxia:049h_0_DO:3,-1.2286010151,-0.9480594513,-1.0557988181,0.14662574350000002
hypoxia:050h_0_DO:1,-1.930315163,-1.5648230143,-0.7288759056,0.21586690200000003
hypoxia:050h_0_DO:2,-1.958927594,-0.6296666195,-0.4372945494,0.5547429303
hypoxia:050h_0_DO:3,-3.4807573926,-1.4241541756,-0.2937766645,0.49649742010000003
hypoxia:052h_0_DO:1,-1.4375426706,-0.7788837789,-0.21603849390000002,0.5299951304
hypoxia:052h_0_DO:2,-3.0972514993,-1.0192021471,-0.0448871094,1.2467677459
hypoxia:052h_0_DO:3,-1.4802091249,-0.8323871054,-0.3835168956,1.2702395419
hypoxia:054h_0_DO:1,-2.1047066978,-1.032280331,0.09457372260000001,0.6865460529
hypoxia:054h_0_DO:2,-1.3452319331,-0.5868231981,-0.15868784300000002,0.7000497372000001
hypoxia:054h_0_DO:3,-2.9546663457,-1.4113997095,-0.23002123870000002,0.33439095760000004
hypoxia:054h_0_DO:4,-2.1851791891,-0.5099326427,0.0976958935,1.2035032023
hypoxia:054h_0_DO:5,-2.467407975,-0.6188600669000001,-0.10066770480000001,0.21664594480000002
hypoxia:070h_0_DO:1,-0.5203097807,-0.7916444528000001,-0.5195055108000001,1.081560823
hypoxia:070h_0_DO:2,-1.6499517311,-1.2605018636,-0.3881152828,1.143360491
hypoxia:088h_0_DO:1,-3.3586005568,-1.4137410223,-0.6521723672,0.8105024464
hypoxia:088h_0_DO:2,-3.1749979627,-1.3563933448,-0.8008966952000001,0.7813606758
hypoxia:114.5h_.04_DO:1,-3.8450290959,-2.5401574985,-0.6799680451,0.8917289864
hypoxia:114.5h_.04_DO:2,-3.2899138418,-2.5425244474,-0.6645658199000001,0.9360322911000001
hypoxia:114.5h_.04_DO:3,-3.9724635824,-2.5326735087,-0.8249779180000001,0.8327746288000001
hypoxia:115h_.06_DO:1,-3.2718742223,-2.8455537163,-1.1588510348,0.3995801103
hypoxia:115h_.06_DO:2,-3.9275757089,-2.1945762157,-1.1277092906,0.42842337890000004
hypoxia:115h_.06_DO:3,-3.1645491549,-2.0101224403,-1.1667040282,0.43962471210000004
hypoxia:116h_.11_DO:1,-3.3384859511,-2.3824405653,-1.2553342243,0.1528102918
hypoxia:116h_.11_DO:2,-3.4124289244,-2.1561030171,-1.3307583119,0.3011427306
hypoxia:116h_.11_DO:3,-3.3654836048,-2.118522387,-1.3704271682,0.2145739292
hypoxia:120h_.47_DO:1,-3.473661898,-2.5821817052,-1.840363653,-0.4206298458
hypoxia:120h_.47_DO:2,-3.0205455537,-2.056588208,-1.6943628659,-0.23237027400000002
hypoxia:120h_.47_DO:3,-3.0611509589,-2.3409149487,-1.7898827024,-0.48925540030000003
