,A,PspF,RpoN,ihfB
glu__glu_ale3__1,1.2031089581,1.3174258110000001,-0.1601779305,0.6064907850000001
glu__glu_ale4__1,1.3707601855,0.251197245,-0.2800279565,-0.26191363500000003
glu__glu_ale5__1,0.3044115979,-0.196745207,-0.6870798615,-0.846024697
glu__glu_ale6__1,3.2810975418,-0.527002692,-0.5723060855000001,-0.775242359
glu__glu_ale8__1,1.3892619032,1.273929607,0.1635734905,0.6607472950000001
glu__glu_ale9__1,1.188932043,1.059266991,0.0031536635000000003,-0.066971575
glu__glu_ale10__1,1.5266568820000002,1.001654338,-0.2871971685,0.21387256500000001
42c__wt_42c__1,2.6404807305,0.5133606780000001,0.0244120205,-0.314610025
42c__42c_ale1__1,2.3009593338,0.574649362,0.3491200385,0.116353545
42c__42c_ale2__1,0.6951339432,0.284955203,-0.3153191495,-0.254239745
42c__42c_ale3__1,2.2546731848,0.282503534,0.09912298550000001,-0.295363645
42c__42c_ale4__1,0.2449410954,1.4325263480000001,-0.1073433455,-0.598037926
42c__42c_ale5__1,1.7051066651,0.23463370400000003,-0.2023175995,-0.42064137500000004
42c__42c_ale6__1,-0.1544582337,0.42552356900000005,0.8135905605,-0.051506065000000004
42c__42c_ale8__1,-0.5838960807,1.170399714,0.32016739250000004,0.068028155
42c__42c_ale9__1,2.7560819813,0.30035493300000005,-0.0553719955,-0.241751655
42c__42c_ale10__1,-0.46195225110000004,0.928292285,0.21542995750000002,-0.179127275
ssw__wt_ac__1,4.1970753033,-0.29367311100000004,-0.2178078165,-0.346710805
ssw__wt_glc__1,0.2514254671,0.14919816400000002,-0.2212727485,-0.342105245
ssw__wt_glyc__1,2.3006830964000002,-0.3179691,-0.2125297985,-0.589388949
ssw__wt_xyl__1,0.44594712200000003,0.15718779400000002,0.4108722805,-0.050211675000000004
ssw__glc_ale1__1,3.7961467432,0.263299098,-0.7788251875000001,0.112337685
ssw__glc_ale2__1,3.1568500417,0.53302244,-0.0637925315,0.8555401050000001
ssw__glc_ale3__1,2.5500964525,0.530538211,0.2370279345,0.353007465
ssw__glyc_ale1__1,2.9020016605,0.569574589,-0.3120889155,0.5749310550000001
ssw__glyc_ale2__1,2.5893369951,0.39291015700000004,0.2020547685,0.20948735500000001
ssw__xyl_ale1__1,3.7350025484,0.12017973,-0.1082888095,0.125166975
ssw__xyl_ale2__1,3.3356271992,0.204216956,-0.1497820355,-0.22523246500000002
ssw__xyl_ale3__1,2.7559736351,0.6517739300000001,-0.3262490615,-0.522299721
ssw__glc_ac_ac2__1,0.8054612265000001,0.154488698,-0.0901773505,0.171467045
ssw__glc_ac_glc1__1,3.7128402994,0.00720414,-0.28990390050000003,0.336416765
ssw__glc_glyc_glc__1,2.1972205316,0.41282000100000005,-0.2741644015,0.527257035
ssw__glc_glyc_glyc__1,3.2078724018,0.20349239100000002,-0.45250245850000004,0.27466824500000003
ssw__glc_xyl_glc__1,3.0048471586,0.076166811,-1.0410889935,-0.35453504500000005
ssw__glc_xyl_xyl__1,4.8612658858,0.028251476,-0.8552477355,-0.20853702500000001
ica__wt_glc__1,3.8206071739,-0.258033053,-0.5082379055,-1.114766093
ica__wt_glc__2,3.9608490065,-0.23350756600000003,-0.4994340875,-1.198454692
ica__wt_glc__3,3.9242814837,-0.091780579,-0.1040741495,-0.531726669
ica__wt_glc__4,3.5740844841,0.10873561500000001,-0.2792215905,-0.262344285
ica__arg_sbt__1,3.5062218458,0.057509202,-0.2671002145,-0.713059603
ica__arg_sbt__2,3.2824608512,-0.13162916,-0.3823479205,-0.552746132
ica__cytd_rib__1,3.8250407606,0.029453888,0.1386887865,0.8413076650000001
ica__cytd_rib__2,4.0020970011,0.09371368100000001,0.12476168450000001,0.716887895
ica__gth__1,11.1323200584,-0.324463597,0.3953586515,0.23464762500000003
ica__gth__2,12.0560282372,-0.8938847240000001,0.5102487215,0.036029945
ica__leu_glcr__1,2.7613312518,-0.110588692,-0.2586659055,-0.38924391500000005
ica__leu_glcr__2,2.2491574526,-0.027513503,-0.3374765535,-0.49012625
ica__met_glc__1,3.0695352971,-0.580888574,-0.8079442385000001,-1.2518318019999999
ica__met_glc__2,3.3520623007,-0.725792588,-0.8131288585,-1.190588725
ica__no3_anaero__1,1.6677666469,0.09461394000000001,0.023476880500000002,-0.11737177500000001
ica__no3_anaero__2,2.4893355624,0.26553532900000004,0.012221922500000001,-0.23463296500000003
ica__phe_acgam__1,2.410069749,-0.385382691,-0.5329956575,-0.88716264
ica__phe_acgam__2,2.2434629516,-0.41005690800000005,-0.5109843565000001,-1.056596459
ica__thm_gal__1,3.3236323071,0.01530562,-0.1857659965,-0.164828625
ica__thm_gal__2,3.6626392514,-0.077998328,-0.0851485565,-0.156698685
ica__tyr_glcn__1,2.3924629278,-0.20141772200000002,-0.3903549005,-0.612021456
ica__tyr_glcn__2,2.7778432381,-0.19853160800000003,-0.3410315705,-0.6368662970000001
ica__ura_pyr__1,4.2479986678,-0.31657242,-0.3768134025,-0.315836855
ica__ura_pyr__2,4.7605151544,-0.12380582500000001,-0.4399327825,-0.11250578500000001
ica__wt_glc__5,3.5320101816,0.18939656500000002,-0.5177360115,-0.197048255
ica__wt_glc__6,3.5591210179,0.151889348,-0.49115702850000004,-0.016725155000000002
ica__bw_delpurR_cytd__1,3.7371870071,-0.39614354,-0.7443637615,-0.756265837
ica__bw_delpurR_cytd__2,4.0846209901,0.03984747,-0.7433956735,-0.246303875
ica__ade_glc__1,3.9349739874000003,0.219948895,-0.7138325825,-0.308254705
ica__ade_glc__2,3.5827855321,-0.31634406,-0.8051262665000001,-0.753961313
ytf__wt_glc__1,2.4075521445,0.308953662,-0.2177005135,0.048335155000000005
ytf__wt_glc__2,4.1824275714,0.613754106,-0.1777278635,0.008906585
ytf__delyafC__1,3.1100234123,0.542473636,0.1175472515,0.9312559250000001
ytf__delyafC__2,2.5861130137,0.6254842310000001,0.1546335705,0.8762793350000001
ytf__delyeiE__1,3.2026814548,0.262106958,0.0250697845,0.374492025
ytf__delyeiE__2,2.9137555718,0.26321167900000003,-0.1486100975,0.10842385500000001
ytf__delyiaJ__1,2.9823098634000003,0.39139699800000005,0.08753290150000001,0.8927779450000001
ytf__delyiaJ__2,2.6138243963,0.43632645000000003,0.23139318550000001,0.9751252050000001
ytf__delyieP__1,3.585729671,0.598857422,0.21411362450000002,0.41649266500000004
ytf__delyieP__2,3.6612945381,0.5582294050000001,0.2065327435,0.42112533500000005
ytf__wt_ph5__1,1.9730344562000002,0.20468280700000002,-0.1566763185,0.077391735
ytf__wt_ph5__2,2.6602558521,0.06736253,-0.1216764105,0.130486615
ytf__wt_ph8__1,3.3890249429,-0.032829084,-0.2880566235,0.172641955
ytf__wt_ph8__2,2.2538889198,0.028592084,-0.3517970845,0.207431095
ytf__delybaO__1,3.5091263034,0.398451265,0.08682374550000001,0.7855035850000001
ytf__delybaO__2,4.1245989217,0.53588481,0.11715476650000001,0.670479245
ytf__delybaQ__1,2.5751902935,-0.023113393000000003,-0.36648127750000004,-0.104676025
ytf__delybaQ__2,2.2729030324,0.002321412,-0.4210866755,-0.139979205
ytf__delybiH__1,3.5834442968999998,0.7352529680000001,-0.08041245350000001,0.183526605
ytf__delybiH__2,3.8661092210000003,0.701325721,0.1485691505,0.5048975450000001
ytf__delydcI_ph5__1,2.6150631937,-0.09385858200000001,-0.2860461955,-0.133531365
ytf__delydcI_ph5__2,2.2923085682,-0.182149316,-0.2915660545,-0.094717825
ytf__delydcI_ph8__1,3.405093338,0.04685238,-0.19775634250000002,0.292940975
ytf__delydcI_ph8__2,4.3349040383,-0.068896732,-0.4303054455,-0.073970795
ytf__delyddM__1,2.5936352564,0.46354615,0.0436795175,0.5608763050000001
ytf__delyddM__2,2.3034673767,0.544369804,0.0510243685,0.493183935
ytf__delyheO__1,3.2122180759,0.393662139,0.0094733505,0.7981991850000001
ytf__delyheO__2,3.5753744459,0.5004644220000001,0.024496082500000002,0.797997595
fps__bw_glc__1,3.3717133296,-0.171906946,-0.5196136545,-0.593982416
fps__bw_glc__2,3.3389873866,-0.047802703,-0.6788874785,-0.46387607100000006
fps__fps_thrA_ale1__1,3.189463918,-0.004064135,-0.3205594465,0.250692175
fps__fps_thrA_ale1__2,3.6710565931,-0.136682953,-0.42812930250000003,0.117195875
fps__fps_thrA_ale2__1,4.0413756109,0.144858693,-0.4658414105,-0.056704485000000006
fps__fps_thrA_ale2__2,4.5675135752,-0.023486807000000002,-0.4076242355,-0.07788523500000001
fps__fps_serB_ale1__1,4.0117484178,0.187890929,-0.3878105415,-0.053282165000000006
fps__fps_serB_ale1__2,3.4412526268,0.048589511,-0.3348743525,-0.17460455500000002
fps__fps_serB_ale4__1,5.8792925663,-0.256674765,-0.1907283005,0.330804415
fps__fps_serB_ale4__2,6.3353006212,-0.16754777,0.10126346950000001,0.34874165500000004
fps__fps_ptsI_ale1__1,4.6603401454,-0.16807932,-0.8559759545000001,0.18153876500000002
fps__fps_ptsI_ale1__2,4.7562408211000005,-0.083328835,-0.7988730515,0.07463568500000001
fps__fps_ptsI_ale3__1,5.4599407579,-0.23314484400000002,-0.8056928055,-0.048072745
fps__fps_ptsI_ale3__2,4.9827547028,-0.147690109,-0.8484199965,-0.084592575
pal__lyx_ale2_f6__1,4.4698426464,-0.126164302,-0.3722573105,0.168173235
pal__lyx_ale2__1,3.8187186741,0.21789875600000003,-0.5214724065,0.40226726500000004
pal__lyx_ale2__2,4.0890198172,0.08863372300000001,-0.4881702405,0.31857179500000005
pal__lyx_ale4__1,4.6576811959,-0.235007819,-1.0848582725,-0.18964956500000002
pal__lyx_ale4__2,4.5862993852,-0.21593588700000002,-1.0038269125,-0.254357585
pal__5drib_ale10_f18__1,6.5143502288,0.23029479400000002,0.6129173255,-0.26528265500000003
pal__5drib_ale10_f18__2,7.0418463089,-0.16405534200000002,0.6364002815,-0.279414645
pal__5drib_ale10__1,4.772808069,0.313544777,0.013956801500000001,-0.027787695
pal__arab_ale14_f9__1,4.0765156922,-0.20172942800000002,-0.3592717405,0.353868815
pal__arab_ale14_f9__2,5.200374312,0.256342746,-0.2363246525,0.41974093500000004
pal__arab_ale14__1,4.2959828183,-0.49827600200000005,-0.6221584905,-0.073725045
pal__arab_ale14__2,3.5140897673,-0.207421022,-0.6037325335,-0.208171285
pal__arab_ale16__1,3.2862279613,0.342405134,-0.3419427795,-0.6507081960000001
pal__arab_ale16__2,4.0312471469,0.7241548440000001,-0.20152948750000002,-0.478276798
pal__tartr_ale26_f10__1,5.2497838686,-0.06397575,-0.3747926055,0.186856515
pal__tartr_ale26_f10__2,6.172655593,-0.012248862000000001,-0.35274892150000003,0.250459455
pal__tartr_ale26__1,4.8851503335,0.181995085,-0.45010071150000003,0.135640005
pal__tartr_ale26__2,3.773201847,0.31333308600000004,-0.3057581085,-0.011190665
pal__tartr_ale28_f10__1,3.9289788498,0.105939612,-0.4779141955,0.428030885
pal__tartr_ale28_f10__2,6.3517872957,-0.18419226700000002,-0.48248354050000003,0.205704095
pal__tartr_ale28__1,4.4016856614,-0.18126693500000002,-0.5465418105000001,-0.166460525
pal__tartr_ale28__2,4.3353104576,-0.197819979,-0.6007871505,-0.06146080500000001
efeU__delmenFentC_citr__1,2.2122077262,-0.16500572700000002,-0.3912163105,-0.145626785
efeU__delmenFentC_citr__2,1.1336584653,-0.060268574000000005,-0.5284220465,-0.116302715
efeU__delmenFentC__1,3.7580472286,0.046698162,0.08356590650000001,0.549578395
efeU__delmenFentC__2,3.4095391428,0.07604543300000001,0.053814073500000004,0.43058213500000003
efeU__menFentC_ale39__1,2.473713835,0.408833092,-0.3340089295,0.190655385
efeU__menFentC_ale39__2,2.3891953754,0.266246753,-0.2956222475,0.252124195
efeU__menFentC_ale29__1,2.0368723322,0.649775583,-0.0378373955,0.5006850850000001
efeU__menFentC_ale29__2,2.0560069358,0.855815356,-0.0412327315,0.521677585
efeU__menFentC_ale30__1,3.7917471287,0.114248626,-0.7487878285,-0.189715765
efeU__menFentC_ale30__2,2.8239771372,0.10694139999999999,-0.7009630315000001,-0.220002785
efeU__menFentCubiC_ale36__1,2.490211597,0.054119429000000004,-0.18203062050000002,0.28719155500000004
efeU__menFentCubiC_ale36__2,2.5023888235,0.303961813,-0.2151145645,0.25688472500000004
efeU__menFentCubiC_ale37__1,2.8085790951,0.19429415300000002,-0.0737356045,0.346392305
efeU__menFentCubiC_ale37__2,3.8413920335,0.023774669000000002,-0.0430306665,0.490369765
efeU__menFentCubiC_ale38__1,3.8774653344,0.17759702700000002,-0.0768021715,-0.32222528500000003
efeU__menFentCubiC_ale38__2,3.3544396869,0.214553872,-0.2355697055,-0.262492545
misc2__salc_glc__1,3.5415728484,-0.10190526700000001,0.1359028115,-0.24330995500000002
misc2__salc_glc__2,3.9898956001,-0.050375899,0.44392921550000003,-0.073045625
misc2__dbcn_glc__1,13.5135678489,-0.864961003,-0.6235655355,-1.271892759
misc2__dbcn_glc__2,13.1849587422,-0.7753624530000001,-0.4320346105,-0.634524159
misc2__tyr_glc__1,2.4449976036,0.35018291100000004,-0.2007496575,0.254435625
misc2__tyr_glc__2,3.0934415485,0.47090155400000006,-0.1041754705,0.410888815
misc2__arg_cytd__1,3.3725620677,0.040667111000000006,-0.6218984005,-0.48980773
misc2__arg_cytd__2,3.1407108637,0.138613333,-0.5839646795,-0.5114058730000001
misc2__delyheO_pyr__1,4.5332434961,0.269678079,-0.45300003250000004,0.115925255
misc2__delyheO_pyr__2,4.8003088381,-0.074566874,-0.5385766335000001,0.059341995
nquinone__delubiC__1,2.7602289389,0.164196492,-0.3668799975,-0.316502855
nquinone__delubiC__2,3.058865579,0.067710249,-0.3155679335,-0.027274305000000002
nquinone__ubiC_ale1__1,2.592549857,0.24945098300000002,-0.1009341795,0.21852216500000002
nquinone__ubiC_ale1__2,3.3983283457,0.18650048700000002,-0.2546691535,0.089544445
nquinone__ubiC_ale2__1,2.3876061736,0.175622451,-0.40340550750000004,0.25115724500000003
nquinone__ubiC_ale2__2,2.9460088713,0.151878232,-0.3678198875,0.231592915
nquinone__ubiC_ale3__1,4.8405017824000005,0.18714651100000002,-0.8875475355,-0.39827128500000003
nquinone__ubiC_ale3__2,5.2212440722,0.271821959,-0.7537812915000001,-0.361897055
nquinone__ubiC_ale4__1,3.3249726981,0.069155705,-0.32932624050000003,0.234477855
nquinone__ubiC_ale4__2,3.147504595,0.288607955,-0.1580608585,0.152283425
nquinone__delpdhR__1,4.2710243804,-0.188850775,-0.6353274335,-0.068099535
nquinone__delpdhR__2,4.0288360597,-0.42512074600000005,-0.7252746255,-0.036035855000000006
quinone__glu_ale4__1,3.1449213771,0.10205148900000001,-0.5979053565,-0.18176504500000001
quinone__glu_ale4__2,1.1812109795,0.867578736,-0.36403217250000003,0.269205825
quinone__delmenF__1,2.9515989211,-0.06000181500000001,-0.1925102585,0.148042285
quinone__delmenF__2,3.3168598547,0.104947837,-0.4212613405,-0.250908275
quinone__menF_ale5__1,2.482567448,0.623622395,0.0905275655,0.48513176500000005
quinone__menF_ale5__2,2.9777998759,0.466767721,-0.028343522500000003,0.266281765
quinone__menF_ale6__1,2.797027458,0.654186495,-0.0886333495,0.38202392500000004
quinone__menF_ale6__2,2.0888737084,0.49706197300000005,0.0306147075,0.421074335
quinone__menF_ale7__1,1.1672720418,0.336245198,-0.0059721975,0.636740065
quinone__menF_ale7__2,2.0459500096,0.37659370400000003,0.0742940055,0.691051775
quinone__menF_ale8__1,3.274321976,0.333138038,-0.1555023795,0.695164695
quinone__menF_ale8__2,3.0244446027,0.5330231750000001,0.0782791145,0.971904815
quinone__delmenFubiC__1,2.3499393799,0.19468696800000002,-0.2155050915,0.045415855000000005
quinone__delmenFubiC__2,2.0080981683,0.064843627,-0.2042967585,0.152257115
quinone__menFubiC_ale1__1,1.020450301,0.137714456,-0.1498709755,0.5501011250000001
quinone__menFubiC_ale1__2,0.7444319662000001,-0.054755608000000004,-0.1392940585,0.532344675
quinone__menFubiC_ale2__1,0.1607212187,0.41253554600000003,0.0115364335,0.626683035
quinone__menFubiC_ale2__2,0.24668504670000002,0.301724989,0.0398572935,0.596736845
quinone__menFubiC_ale3__1,2.9446962635,-0.03251477,-0.5764822375,-0.15358316500000002
quinone__menFubiC_ale3__2,2.5253179089,-0.568482683,-0.4922614065,-0.036589665
quinone__menFubiC_ale4__1,3.790750908,0.5223276020000001,-0.32117187350000004,0.775029505
quinone__menFubiC_ale4__2,3.2341462303,0.562743565,-0.2823155285,0.8413603550000001
oxyR__wt_glc__1,3.1922335885,-0.18603043300000002,-0.6475323565000001,-0.48556983000000004
oxyR__wt_glc__2,3.1880812538,-0.12245786700000001,-0.5660511595000001,-0.46299467600000005
oxyR__wt_h2o2__1,3.6972496963,-0.323205256,-0.6317375725000001,-0.5230424
