,A,ArgP,BasR,SlyA
SRX5694252,-1.2975561381,0.872839884,0.7872892526,-0.2517042194
SRX5694253,0.8996853021000001,0.2200876294,0.4337738551,0.1907892367
SRX5694254,0.5155444465,-0.3893851433,0.8879447647,0.1403111876
SRX5694255,-3.1569774942,-2.7660583713999998,-1.8914538543,-3.6054672082
SRX5694256,0.7610052455,-0.45738035120000003,0.13863780150000002,-0.7235495083
SRX5694257,1.050716669,0.0711851627,0.3247744448,0.2963762707
SRX5694258,1.9025799893,0.668821624,0.8014039586,-0.1973635032
SRX5694259,-2.6184156916,-2.1499875625,-1.9361896806,-1.7937457112000001
SRX5694260,0.305924195,-0.0879146474,0.37589207290000004,-0.7414284344000001
SRX5694261,-0.47752760250000004,0.7408609477,0.1702601521,-1.8256838238
SRX5694262,-1.8157893979000002,1.0420647456,1.1518746032,0.2350671795
SRX5694263,-0.189243177,-0.22873594500000002,0.0862757487,-1.0732212481
SRX5694264,-0.9803478328,-0.6639614963,0.2082526174,-0.0733119181
SRX5694265,0.4010031536,-0.3079758111,-0.07926351990000001,-1.2031754703
SRX5694267,0.3379163838,0.1558624592,0.1844345137,0.3079349543
SRX5694268,-0.0607602427,0.13636080650000001,0.423710833,-0.9489206169000001
SRX5694269,0.7756983893,-0.1668162182,0.4500717185,-0.6305896043
SRX5694271,0.0163781905,-0.1781955208,0.0750106127,0.033405959
SRX5694273,-1.5167710451,-0.7942599840000001,-0.5758972313,-3.9651948156000003
SRX5694274,0.23189401210000002,-0.4067670242,0.3716846398,-0.7871183091
SRX5694275,0.6031184373,-0.1066832704,0.0901618909,-3.7127172467
SRX5694276,-1.8041702005,-0.8967941921,-1.1382148476,-1.0977009292
SRX5694277,0.9049770454,0.0995818859,0.2241432065,-0.7320730635
SRX5694278,-0.11655522010000001,-0.4636324659,-0.6733659782,-2.3847012014
SRX5694279,0.342014823,0.24924194660000001,0.11928270810000001,-0.8908592147000001
SRX5694280,3.1633603552,0.3256573278,0.2138507834,-2.779560547
SRX5694281,1.601461639,0.0500430498,0.5478645535000001,-1.2563423411999999
SRX5694282,-2.9056434609,-1.8016251222,-0.8810098355,-1.6353041928
SRX5694283,0.9080233241000001,-0.2742117731,-0.3191864075,-2.1999773877
SRX5694284,0.5791693102000001,-0.42945241580000004,-0.5005513535,-2.0835345225
SRX5694285,1.1318670834,0.29225842560000004,-0.054744292900000005,-2.8325289372
SRX5694286,-0.3349470445,0.0136228935,0.2336997716,-3.371782722
SRX5694287,1.6622943806000001,0.7908794164,0.3208006961,-1.6681661934
SRX5694288,0.1793389165,-0.534458277,-0.0249301143,-0.0542272613
SRX5694289,0.40996783740000003,0.09205834560000001,0.16926314050000002,-0.07210117690000001
SRX5694290,-0.1002786781,-0.5604272609000001,-0.0809966341,-0.0006425648
SRX5694291,-4.123312062,-3.1686186748,-2.3635700423,-4.0694921997
SRX5694292,1.5868624353,0.0789482301,0.4746019462,-1.1483789564
SRX5694293,0.2581026832,-0.0992918812,0.2649149776,0.1765231167
SRX5694294,1.9102265034,0.5255908855,0.8269151807,0.2081761717
SRX5694295,3.2461462121,-0.5275158117000001,-0.8950385605000001,-4.1768817233
SRX5694296,0.9567383252,0.3844262559,0.6475606257000001,0.0041847115
SRX5694297,-0.6645640562,-0.7191638563,-1.0864871665,0.3185607556
SRX5694298,0.8635086801,0.109226349,-0.0488523067,-3.2030345543
SRX5694299,1.4168957307,-0.0556845513,0.13297865350000002,0.1154612924
SRX5694300,-0.1830518106,-0.8240457341,-0.2153444234,-0.1794350203
SRX5694301,2.0513896103,0.336564425,0.22971110500000003,-1.4534797226
SRX5694302,0.47302025750000004,-0.5048172631,0.1970450894,-0.7430325495
SRX5694303,0.5976924399,-0.6016343164,0.17285560900000002,-0.7426727119000001
SRX5694304,-0.9595195438,-0.4706982485,-0.2767813252,-0.46399431680000003
SRX5694305,-1.0203744567,-0.7048997058,-0.9251012340000001,-0.8961265336
SRX5694306,-0.46228157350000004,1.6311861356000001,1.6057103897,0.4443765443
SRX5694307,-3.0480670295,-1.7449710054,-0.3643346955,-1.7074935386
SRX5694308,-0.0395350047,-0.9842423939,-0.2411318002,-0.2797017057
SRX5694309,-3.9448962632,-2.1158688802,-1.7187607079,-0.5310556525
SRX5694310,3.0156077339,0.22480735570000002,-0.8127804173000001,-3.4732693628
SRX5694311,-2.9882293773,-2.1333170647,-2.0391746212,-1.7957098887
SRX5694312,-2.1293381936,0.7193738014000001,1.2556775301,-0.4454535525
SRX5694313,3.7128098059,-0.1961410308,-0.6603288302,-5.1892193747
SRX5694315,0.3746038966,-0.4364639079,0.4492269236,-1.2301880397
SRX5694317,1.2352623872,1.3076990667000001,0.49315249250000004,-1.5757979215
SRX5694319,0.5571568201,-0.3573487164,0.1757277717,-0.3081810058
SRX5694320,-3.748187521,-3.4558790054,-1.9167950763000001,-3.7527435864000003
SRX5694321,1.7825390104,0.2747024533,0.1156419515,-0.345672652
SRX5694322,-3.3550178875,1.2742168323,0.6854003288,-1.1419071596
SRX5694323,2.6707308973,0.19192439490000002,0.3098126341,-0.5835435101
SRX5694324,0.9948234187,-0.0606159051,-1.0008557985,-1.4944925008
SRX5694325,-0.23460126820000002,-0.31566148600000005,-0.7953768587000001,-0.597941845
SRX5694326,0.9963769668,-0.29450080300000003,0.5387257345,-0.7471942971000001
SRX5694327,1.8167473093000002,-0.0241162651,-0.7334826952,-2.8417327278
SRX5694328,0.8368227354000001,-0.3686277475,0.1112268762,-0.0006656982
SRX5694329,0.2371589056,-0.5572766878000001,0.1703363916,0.1581018475
SRX5694330,-1.9620590636,0.9955191113,1.2387226803,0.1733742064
SRX5694331,0.2152283302,-0.0659315639,-0.22308598540000002,0.16785431480000002
SRX5694332,-0.2188469324,-0.4887870523,0.18643004840000002,-0.2655560882
SRX5694334,-0.8627136124,-0.6708089292,-0.2540275014,-0.8612161296
SRX5694335,-0.21557447970000002,-0.9963320622,-0.4100138156,-0.365385401
SRX5694336,-2.0391653226,-0.9621876055,-0.7965752445000001,-0.4337753575
SRX5694337,1.6438072728000002,-0.1804098666,0.3087822377,-0.8429201356
SRX5694338,0.40810122870000004,-0.0100779097,0.3891732254,-1.3725142518
SRX5694339,0.5375861861,-0.5407484486,0.1166790778,-0.31193566100000003
SRX5694340,3.6824039628,0.9281178559000001,0.4161168167,-3.6387813952
SRX5694341,-2.5143773105,-1.4176591385,-0.8035009096,-1.4546903263
SRX5694342,-0.35527961150000004,-0.7826988632,-0.23246738990000002,0.041095682
SRX5694343,0.4150549456,0.3010686597,1.3909799274,0.3650899687
SRX5694344,0.4849216267,-0.2837064044,-0.16627730170000002,0.4482177854
SRX5694345,-0.4795843965,-0.5110864595,-0.2101058636,-0.3931957012
SRX5694346,2.1409279451,0.1937553115,0.5799147779,-0.8077721145000001
SRX5694347,0.45264471910000004,-0.0469607619,0.4112231127,-0.0236698179
SRX5694348,-0.24983726320000002,0.1519910301,0.2564390555,-2.5094830232
SRX5694349,1.7464094683,-0.0883527211,-0.1636535938,-3.7774147527
SRX5694350,0.1012190929,-1.0233757452,0.2386245412,-0.0682987929
SRX5694351,-0.7614901655,-1.0476546957,-0.2201551974,-0.5092174505
SRX5694352,-0.0807539782,-1.6852908813,0.5357573914,-2.1878278551
SRX5694353,-1.0889164120000001,-0.2622017299,0.2645151086,-0.2634725913
SRX5694354,0.1038005676,-0.1429990677,-0.3593987541,-2.1914717639
SRX5694356,-1.3437158996,-0.1438452549,0.2609475343,-0.2947413318
SRX5694357,-0.9768851879,-1.2767221475000001,-0.4883850961,-0.0202363248
SRX5694358,-1.2725706355,-2.9431571196,-0.27499806920000003,-2.4298023915
SRX5694359,0.0466631613,-0.0080010949,0.7282148091,-2.7812641004
SRX5694360,0.1536439063,-0.2648337615,0.29327261,-1.5500076148000002
SRX5694361,-1.396767346,1.2784405314,1.1216969576,-1.1047840647
SRX5694362,-1.1756947644,1.3924633019,1.2847640095,-0.1624578502
SRX5694363,0.9359370603,-0.026513389000000002,0.5347889159,0.0611048774
SRX5694364,-2.7349510659,-2.6649773936,-2.3092550627,0.0649100636
SRX5694365,-0.3376499026,0.12877425380000002,1.1024594978,0.36928626810000004
SRX5694366,-0.1544697427,-0.763868893,-0.1316228106,-0.37048805570000004
SRX5694367,0.20502413600000002,-0.1841437753,-0.6430386722,-0.8082719803
SRX5694368,0.5087484262,-0.5821766256,0.2031695785,-0.7599164202
SRX5694369,0.48923216280000004,-0.4346420393,0.1568699237,-1.7738031664
SRX5694370,0.2205892421,-0.5043179184000001,0.0909434712,-0.9073368837
SRX5694371,-4.3001693436,-2.2698922638,-1.4425391265,-0.4489591
SRX5694372,-0.008318284700000001,0.22740047970000002,0.2394382387,-3.3754424651
SRX5694373,1.0464273057,-0.8475671370000001,0.0709826803,-0.3140014457
SRX5694374,-3.413087879,-4.5737037795,-2.3889623932,-4.5215298235
SRX5694375,1.4007371169,-0.0783404691,0.46462541090000004,-1.3094006503
SRX5694376,-1.5357331012,0.3677705624,1.0954304011,0.4589439844
SRX5694377,-2.44184189,-3.022133942,-2.3907303488,-4.6844216188
SRX5694378,-0.1082321059,-0.035229383100000004,0.41245867140000003,-2.5486932876
SRX5694379,3.1344303406,0.7810314377,0.6597487619,-2.5984829447999997
SRX5694380,1.7371394757,-0.30241094420000003,0.6115368084,-1.0440480676
SRX5694381,-0.8066243104,-1.2671977713,-0.6824879938,-0.6757495113
SRX5694382,0.5863717868,0.053552363400000004,0.395293948,0.8760662749
SRX5694383,1.6518367771,-0.0449080149,0.3173450829,-3.1041885573
SRX5694384,-0.2101046251,-0.054747042600000004,-0.0219095971,0.0348482885
SRX5694385,2.7322151658,0.9585529770000001,0.96637025,-1.570779144
SRX5694386,-2.098010905,-2.041293056,-2.1115733257000002,-4.0908330922
SRX5694387,-0.2493351011,-0.5189089447,-0.18504873700000002,-0.2078499876
SRX5694388,0.44744700130000004,-0.4243883506,-0.5526522714000001,-1.4956813687000001
SRX5694389,3.9572828646,0.8900391979000001,0.5686380751,-3.5598152319
SRX5694390,1.6125951493000001,-0.1790748906,0.34450673260000003,-1.8080744608
SRX5694391,2.0104031321,0.7832894095,0.8431020487,-1.3038127102
SRX5694392,3.4496528928,0.6297353599000001,0.5548494227,-2.4840193827
SRX5694393,0.3322590401,-0.09674898800000001,0.06816895540000001,0.15268114900000002
SRX5694394,0.8575686547,0.1006188423,0.3789707658,-1.054335108
SRX5694395,0.8825635460000001,0.1623051639,0.1418474193,0.060138304600000005
SRX5694396,-1.2122988697000001,-1.1736897995,-0.3037073348,-0.5510885076
SRX5694397,1.3975855487,-0.12819844830000002,-0.1540990985,-3.0039008421
SRX5694398,0.6200953223,-0.0731397028,0.3152480818,-3.1878381835
SRX5694399,2.9356135506000003,0.4834284943,0.735390854,0.011637023500000001
SRX5694400,0.24677800960000001,-0.0952129689,-0.1039914038,-2.6468948347
SRX5694401,-0.0140348854,-0.38531025350000003,0.5457856537,-0.39098182130000003
SRX5694402,-2.29856926,-1.9665075589,-2.0654049466,-4.0247582759
SRX5694403,-0.5721976675,-0.8856607808,-1.0177403233,-0.4556219684
SRX5694404,1.4189333452000001,0.0353239123,0.0899265804,-2.5187497193
SRX5694405,0.2567249353,0.3691211298,0.543692394,0.7603492719
SRX5694406,0.3407279991,-0.2373389082,0.21168294170000002,-0.8475069741
SRX5694407,0.6685802308000001,-0.3918137693,0.4605780894,-0.8873135943
SRX5694408,1.2067038904,-0.34112731350000003,0.7036746471,-0.4019097944
SRX5694409,-0.5014721355,-1.0663762844,-1.5457928847,-2.0396646589
SRX5694410,-0.42711568980000003,1.2222489442,0.8606882006000001,0.027540481300000003
SRX5694411,0.2325345071,-0.3664447381,0.16515132600000001,-2.9136455614
SRX5694412,1.5443634611000001,0.0347529052,0.1834303719,-4.3660451544
SRX5694413,-0.3478991211,0.8504857411000001,1.4402021424,-0.154394616
SRX5694414,0.2852775479,-1.5490501022,-0.18084002670000002,-0.5463280369
SRX5694415,1.6180657696,-0.3114177402,0.4145453005,-2.0587149659
SRX5694416,0.0121236221,0.1006196442,0.0451638757,0.11769855330000001
SRX5694417,0.044094920100000004,0.14395869120000002,0.1445584977,0.6462279426
SRX5694418,-2.6917428875000002,-1.6303281404,-1.2484260198000001,-1.6497645052
SRX5694419,-2.1962251245,-1.1018570898,-0.4682763078,-0.2789669017
SRX5694420,1.2968524659,0.1707507345,0.3298284745,-0.0292176587
SRX5694421,-0.7329378019,-0.8968145128,0.1284894788,-0.5020498643
SRX5694422,2.0072638766,-0.2029505618,0.0325863987,-1.604204157
SRX5694423,-1.9039133425,-1.0501445828,-0.4737480169,-0.8173003581
SRX5694424,0.5961675056,-0.1096555865,-0.29372391810000004,-2.5862375949
SRX5694425,0.7006923489,-0.345315509,0.5729895064,-1.856649853
SRX5694426,-0.8421763603,-0.7465930922,-0.1377601057,-0.5557415693000001
SRX5694427,1.9718909258,-0.0811722507,0.7382048947000001,-0.2788051938
SRX5694428,0.26111606400000004,-0.1993638467,0.35512208030000003,-1.3314296481
SRX5694429,-0.8953345546,-0.7863032997,0.17949588360000002,-3.3641527238
SRX5694430,1.8280299235,-0.0773991544,0.8459330104,-0.2484516381
SRX5694431,1.0616895556000001,0.267869467,0.6027123431,0.38793042850000004
SRX5694432,0.6311574667000001,0.0063012558,0.0744706281,-3.2535040691
SRX5694433,0.1041932772,0.9522825524,1.2915670329,-0.18254139460000002
SRX5694434,0.9654136308000001,-0.1303868394,0.5099960953,-0.9963826198000001
SRX5694435,-1.9238345463000002,-1.8985624148,-0.8683908902,-0.8326361969
SRX5694436,-1.7571085156000001,-1.5466198455,-1.5384602503,-2.7146853061
SRX5694437,1.8475800882,0.4324415695,0.3754205506,-1.1664403249
SRX5694438,1.1163768371,-0.310827046,0.37368719780000004,-1.0737648921
SRX5694439,-1.4993921905,-2.217983099,-1.4546196681,-3.3227681051
SRX5694440,0.4207052878,0.024895414,0.035638238100000004,0.0555081543
SRX5694441,0.2095354426,-0.204476035,-0.0926160887,0.33738823230000003
SRX5694442,0.5515924181,-0.5198262914,-1.0106639922,-1.3765429665
SRX5694443,0.5168294739,-0.43368773990000004,0.2535418867,-0.21033860610000002
SRX5694444,2.243994741,-0.0620698119,0.10797469430000001,-2.5144602952
SRX5694445,-1.1733402882,0.028252578400000002,-1.5226429448,-1.6396461805
SRX5694446,-1.3532807507,-0.08730858770000001,-0.016057793600000002,-0.4579905783
SRX5694447,1.3180228527,0.15534825100000002,0.18747095190000002,-4.5409837867
SRX5694448,-1.4582704037,0.7681644131,0.43273915030000004,0.2487024575
SRX5694449,1.4259827466,-0.24531130350000002,0.6453990070000001,-0.4742039317
SRX5694450,-0.735329097,0.5988968473,0.6011645366,-0.021222857300000002
SRX5694451,0.3672151836,-0.20376841240000002,0.0888236694,-0.8708907345
SRX5694452,-0.6440500560000001,-1.1271984355,-0.2857644176,-0.7074561093
SRX5694453,-0.281080591,0.5359806799,1.6190377953000001,0.39811979820000004
SRX5694454,-0.0760876894,-0.1588139378,-0.0441504952,0.07064749940000001
SRX5694455,-2.8613326267,-1.0894210914,-0.8035423460000001,-0.5877677354
SRX5694456,0.9630679637,-0.522012574,0.1168194426,-0.5703950717
SRX5694457,0.3178207554,0.011129204600000001,0.4012306704,0.1968450822
SRX5694459,-0.4384347813,-0.2974720704,0.056025259200000004,-0.3919273045
SRX5694460,-1.6467570564,-1.6755409391,-0.7483639921,-2.15584561
SRX5694461,0.6712622335,0.21808769960000002,0.1817721297,-3.5813432306
SRX5694462,0.3085273879,-0.5050229454,-0.6460286434,-2.4701600254000002
SRX5694463,2.0889988983,0.1161876468,0.3951441513,-0.5573798935000001
SRX5694464,0.4580017337,0.1251580853,0.32033689930000003,-3.0250546685
SRX5694465,1.0418351677,-0.4768945799,0.42060622140000004,-0.9082778991
SRX5694466,2.1893573902,0.2338501219,0.011683203000000001,-0.624556764
SRX5694467,-0.735834199,-0.5574873849,0.1017345713,-0.2875649066
SRX5694468,-3.8776748271,-3.5945972461,-2.2509249268,-3.7356466183
SRX5694469,1.3996373287,-0.5097285288,0.2032998318,-0.3451841516
SRX5694470,-0.1521918404,-0.1024124696,-0.0769616635,0.049143944200000005
SRX5694471,0.1465290699,-0.19592221040000002,-0.1213794755,-0.8347875997
SRX5694472,-0.7198881155,-0.5815198892,-0.2481725642,-0.5373027009
SRX5694474,-0.133349511,-0.1618707099,-0.0338461436,-1.3713240644
SRX5694475,0.9304033581000001,-0.2319953295,-0.0056818169,-0.8554405835000001
SRX5694476,1.5188415687,-0.36832436230000004,0.14872932560000002,-2.9894804181
SRX5694477,-1.2866236229,-1.6427905472000002,-0.7773965310000001,-3.3105140121
SRX5694478,3.4661944002,0.8982727352000001,0.5525038666000001,-3.1607221001
SRX5694479,-0.49757083100000005,-1.0220097738,-0.33092128190000003,-0.25631760200000003
SRX5694480,0.973279133,0.1464596642,0.7260473168,0.1901042638
SRX5694481,1.1931145698,0.24184972670000002,0.174590185,-3.8020647817
SRX5694482,0.0828537345,-0.10404189870000001,-0.0126785809,0.2140716749
SRX5694483,1.8093185420000002,-0.1374446607,0.3762216136,-0.5920280996
SRX5694484,0.11814479600000001,-0.21318446470000002,0.0079201151,-2.5217368931
SRX5694485,0.2729605248,1.0454137415,0.5658858915,-1.692899262
SRX5694486,-0.113027424,-0.2161763598,0.2003211091,-0.028741077400000002
SRX5694487,0.675746346,0.4345774355,0.48058173740000004,-1.9271313988
SRX5694488,0.9197947460000001,-0.0971603369,-0.006384452400000001,-2.9909396166
SRX5694489,0.48125775130000004,-0.6305140467,0.095063967,-0.8415665442
SRX5694491,-1.1464038006,-0.6930095224,-0.42427625830000004,-3.8384874796
SRX5694492,-2.3085925753,-0.8336324199,-1.0315203817,-0.9331612165000001
SRX5694493,-0.8046067097,-1.5851198674,-0.16670840180000002,0.18681111890000002
SRX5694494,0.110583706,-0.050323928500000004,-0.0282616943,-1.4039267488
SRX5694495,0.53984161,-0.08151515470000001,0.14795294380000001,0.1508735235
SRX5694496,-0.44632013800000003,-0.3537935618,-0.0332114842,-0.0646350346
SRX5694497,0.1233425524,0.1113135922,-0.48890277060000004,-1.6966319039000002
SRX5694498,0.5604429411,-0.1662284402,-0.034334996,-0.9895816421
SRX5694499,-2.8744651627,1.7674037565,1.8948125598,0.9286262753000001
SRX5694500,2.1101868223,0.3193279864,0.096328931,-3.1344580086000002
SRX5694501,1.120998829,0.1340728475,-0.1041860819,-2.3597552006
SRX5694502,-2.5050030807,1.043701749,1.3146264976,-1.6275265343
SRX5694503,-0.8958881002,0.5330841848,0.0126121137,-1.7412447017
SRX5694504,0.1178558158,-0.15089769220000002,0.1408274359,0.1567150488
SRX5694505,-2.6623322864,-1.8072360068000002,-2.4727087525,-1.6957515298999999
SRX5694506,-1.0572642998,0.9703109528,0.32000277590000004,-0.2151557237
SRX5694507,-0.7758866361000001,-0.390465777,-0.027351656800000002,-0.22384157500000001
SRX5694508,0.7862961496,0.09396674990000001,0.7383823721,0.2006870684
SRX5694509,0.8572217223,-0.2029438895,-0.49063561600000005,-1.2181075941
SRX5694510,0.8552525165,-0.6635792196,0.4318022198,-0.393295905
SRX5694511,1.2889472958,-0.22171395300000002,0.1369676389,-1.723993809
SRX5694512,-1.0409221076,-0.9803818665,-0.8688180556,-3.6347854192
SRX5694513,1.2782484184,0.2449739001,1.0491337302,0.1784095571
SRX5694514,-1.3172374653,-1.867332873,-1.0073555495,-2.9798151512
SRX5694515,3.3342214409,0.9176365037,1.0636747932,-3.2783510089
SRX5694516,-1.4668182774,-2.1089623093,-1.6853053856,-3.1260163421
SRX5694517,0.5170264926,-0.4892657152,0.3526250886,-2.9354820445
SRX5694518,0.6669718273,-0.2645227972,0.1662224462,-0.6200013104000001
SRX5694519,1.3469262693,-0.11833797260000001,0.1763970406,-0.48726982350000003
SRX5694520,0.2575763681,1.3697302157,0.8030730554000001,0.36488363960000003
SRX5694521,-0.19227190190000001,-0.1543720879,0.3822917317,-0.9116635378
SRX5694522,1.1367972419,-0.0285570105,0.0482726418,-3.0024793402
SRX5694523,1.2534682672,0.1260510668,0.1791288197,-3.9610156468
SRX5694524,1.2970353755000001,-0.3897155511,-0.127574384,-2.0125278058
SRX5694525,-0.1738945264,-0.0101732057,0.21906283170000002,0.4101836176
SRX5694526,1.2696842049,-1.8941566365,0.3515175117,-3.9779855606
SRX5694527,2.4314298882,0.2617904346,0.1609850702,-3.1893988388
SRX5694528,-0.5894228299000001,-1.0336413311,-0.5114293142,-0.2798896966
SRX5694529,1.068579956,0.0650598133,0.5123189965,-2.4858277582
SRX5694530,-0.5827411256,1.1964874977,1.3114329767,0.3433133447
SRX5694532,-0.0584965339,-0.9027735887,-1.0859176,-0.2719903092
SRX5694533,0.7050126021,0.19122921710000002,1.394115626,0.32051898560000003
SRX5694534,-0.8714162565,-0.6245022351,0.3351850819,-2.5381056754999998
SRX5694535,-0.9884238501,1.4282637649,1.9517096909,0.8125312622
SRX5694536,0.9543226545000001,0.0140740945,0.1766253838,-2.2110232905
SRX5694537,0.9961599573000001,-0.39995692930000004,0.2102793885,-0.3791180136
SRX5694538,0.7660075691,-0.16086893200000002,0.260322436,-0.2494155488
SRX5694539,3.85980218,0.8194255591,0.8053030038000001,-3.666920979
SRX5694540,-0.8191126009,-0.9746531951,-0.9356313429,-0.5122723432
SRX5694541,-0.9005234268000001,0.1581261435,0.0535957569,-3.3852706516
SRX5694543,-1.6743639489,-2.6425920253,-2.4408022923,-4.0261943384
SRX5694544,0.7719873289,-0.2795278264,0.02589352,-1.7688115669000002
SRX5694545,1.6910434086000001,-0.1359582719,0.1427269931,-2.5600333518
SRX5694546,0.6989381052,-2.6883443577,0.6654747320000001,-3.1187737421
SRX5694547,0.7354925646,-0.029078513400000002,0.269298953,-0.5391449161
SRX5694548,0.1400682183,0.0017928253000000002,0.0317977878,-0.16684249750000002
SRX5694550,1.8284083221,0.2853675589,0.3106076836,-0.12679133
SRX5694551,-2.0971987674,1.3727527382,1.0147966723,0.44078812370000003
SRX5694552,0.6936417098000001,-0.0087558575,0.2917397257,-0.1016470785
SRX5694553,0.5816103545,0.09652308550000001,0.3587453912,0.1763036198
SRX5694554,-0.7425795503,-0.6254633564000001,-0.07671971080000001,-0.4018085181
SRX5694555,-1.7026413401,-0.6556281936,-0.6594869564,-0.6542411956
SRX6072760,1.4819364543,-0.16124317130000002,-0.6558574326000001,-3.6442394316
SRX6072761,1.7517966325,-0.36244951750000004,-0.7349586142000001,-3.7484076414
SRX6072762,1.5031620711,0.0634389721,-0.6624480427,-3.2059263477
SRX6072763,2.5480213739,0.4656820897,-0.13332869690000002,-2.8229679022000003
SRX6072764,0.8741590570000001,-1.159043318,-1.2465252341,-4.3203413187
SRX6072765,1.5455759673,0.5361335543,-0.32190630470000003,-3.1385381091
SRX6376491,1.4067008237,0.8775514111,1.4416801491,-0.0462465602
SRX6376492,-1.8917008375000002,-0.9876881664,-0.9950412401000001,-1.2798250787
SRX6376493,-2.8158013603,-1.2185412883,-1.3012580485,-1.4658092184
SRX6376494,-1.841663037,-1.037307503,-0.3787987736,-1.2845867704
SRX6376495,1.9126573592,0.6215906272,1.4610913034,-0.2732354899
SRX6376496,1.4342825832,0.712511599,1.1369785675,0.0790128323
SRX2723951,1.6025755145,0.6444059626,0.6999618249,0.6901314958
SRX2723952,2.6456370012,1.1977578364,1.1547362139,0.8999127625000001
SRX2723953,1.9833291299,0.8896059226,0.8952834034,-0.3885598967
SRX2723954,3.3610654626,1.5035248385000002,2.0924660628,1.3876495580000001
SRX2723955,0.3511807487,-0.10450102110000001,0.3348217857,0.4030610757
SRX2723956,2.2146409115,1.1204441639,0.8728393741,0.8170785810000001
SRX2723957,0.1823523044,0.277739941,0.1579477995,0.0063103149
SRX2723958,0.3721065807,0.0617424944,0.19809005440000002,-1.4316000517
SRX2723959,0.3785529923,-0.0065701428000000004,0.12855071710000002,0.0628051796
SRX2723960,1.3808872339,0.8393684407,0.6458816665,0.44473613440000004
SRX2723961,3.2858149891,1.5107478115,2.0857523257,1.3828262876
SRX2723962,1.694733803,0.644262462,0.32003381010000004,0.4699762001
SRX2723963,-0.38656143660000003,-0.5165870003,-0.2719237161,-0.0594763176
SRX2723964,-0.1060494808,0.033373772,0.2656472503,0.5162566275
SRX2723965,1.2244000535,0.4845284178,0.46267861800000004,0.3836870605
SRX2723966,-0.31599667800000003,0.2222079899,0.169141031,-0.2479232577
SRX2723967,0.1537362186,-0.1436306936,-0.1590619153,0.1229509871
SRX2723968,0.1622604594,-0.0785772964,-0.0100791156,0.1249722706
SRX6977206,-2.4723070775,-1.2855144451,-0.5687463566000001,0.14866871280000002
SRX6977207,-2.6603738392,-0.9093762897000001,-0.5884133351,-0.039838427100000004
SRX6977208,-0.4157407339,-0.183004255,0.0563520081,0.7157555118000001
SRX6977209,0.09844987740000001,-0.3418596956,-0.1761290553,0.5402852272
SRX6977210,-0.38369180420000004,-0.1301118238,-0.0174949802,0.5567495843
SRX6977211,-0.0168941568,-0.1311457116,0.1624454573,0.2125906809
SRX6977212,0.0082426222,0.2337427629,-0.0334917555,0.08364753970000001
SRX6977213,0.0086515346,-0.1025970513,-0.12895370180000001,-0.2962382206
SRX6977214,-3.2751816775,-1.5517934050000002,-1.2316627854,0.0075714691
SRX1153733,0.0763034798,-0.0393445226,0.0644985535,-0.0828839136
SRX1153734,-0.0763034798,0.0393445226,-0.0644985535,0.0828839136
SRX1153735,-0.2725480744,-0.3664609898,-0.1355262239,-0.39801658240000004
SRX1153736,-0.2846694479,-0.24777585,-0.43043749000000003,-0.2682032345
SRX5204053,1.9290947289,-0.1729786717,-0.1856773979,-0.3009856057
SRX5204054,1.0154115255,0.19005445640000002,0.38469765440000003,0.46242781380000003
SRX5204055,1.4826889389,-0.0456095638,-0.050998953400000005,0.18637514230000002
