,A,MalR2
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:10.0,7.2181972933,0.2283576537
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:11.0,3.1231077832,-0.5014152079
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:12.0,2.889912825,0.3226119534
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:13.0,1.8574024385999999,0.1887908639
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:14.0,0.615760811,-0.2922185596
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:15.0,2.0217540416,-0.1524775713
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:16.0,-0.5545123765000001,0.3645928646
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:17.0,-3.4132081479,0.0488900415
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:18.0,-2.5030386474,0.1600835655
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:19.0,-1.9549425982000002,0.0658477331
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:20.0,-3.4929853412,0.2049955917
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:21.0,-2.3668912006,0.2444184899
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:1.0,9.4128911046,-1.0112618116
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:2.0,8.5348248165,-1.8580681881
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:3.0,8.4662199974,-1.4816788425
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:4.0,16.4821150024,-1.0660870318
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:5.0,13.3588427529,-1.0055236046
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:6.0,18.1188294958,-1.0305947486
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:7.0,13.624957065,-0.9164056382
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:8.0,14.8817986078,-1.0664024798
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:9.0,15.996837957,-0.9182229337000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:10.0,15.8341663244,-1.339028962
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:11.0,14.0677231533,-1.5012954017
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:12.0,17.085521029,-1.6333217582000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:13.0,16.4015475765,-0.9983396942
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:14.0,18.2983883644,-0.8269156288
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:15.0,18.4550485812,-0.9692565757
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:16.0,9.9039692225,-1.3336632668
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:17.0,10.5718193224,-0.8909916109
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:18.0,9.653617574,-1.3570737313
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:19.0,9.3806641099,-1.1911163171
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:20.0,8.2212712856,-1.1671569505
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:21.0,9.5123077909,-1.0063998002
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:1.0,-0.41992221890000003,0.0187987156
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:2.0,0.2211725883,0.0621345915
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:3.0,0.1987496306,-0.0809333071
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:1.0,18.5644692738,-0.9075105154
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:2.0,18.0199965074,-1.3504889544
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:3.0,18.2633244709,-1.1848659022999999
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:4.0,17.3544961303,-0.9354341298000001
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:1.0,-0.2341428946,-0.1154270418
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:2.0,-0.3971286828,0.0275728267
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:3.0,-0.4831954912,0.0197603555
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:4.0,1.1144670686,0.06809385970000001
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:1.0,4.0816375842,0.34146669820000003
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:2.0,3.6747175558,0.43933188
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:3.0,4.3633146592,0.4054608504
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:4.0,4.9941280592,0.622896211
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:1.0,1.6810125886,0.41561799850000003
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:2.0,1.5775101132,-0.1476850956
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:3.0,3.0018387508,0.1746436352
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:4.0,2.8913439931,0.0364082185
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:1.0,-1.7369367547999999,0.3593162368
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:2.0,-2.1065271899,0.1863559281
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:3.0,-1.7216911508,0.22383388380000002
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-T284A_late-exponential:4.0,-1.3249549319,0.1381801309
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:1.0,0.5578829743,-0.2754329526
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:2.0,0.8009227897000001,-0.4719635661
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:3.0,0.5942177038,-0.4133726868
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:1.0,8.9170805094,-1.0715497072
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:2.0,8.2479052358,-0.9573080545
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:3.0,9.4266764855,-0.9415395504
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:1.0,-2.8184318906,0.8380628954
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:1.0,4.8008244491,-0.3345079742
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:2.0,-2.4852144993,0.7992907793
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:2.0,4.8777442048,-0.2448559731
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_mid-exponential:3.0,-2.4748023635,0.9975551440000001
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_Del_dahA_early-stationary:3.0,6.5538202312,-0.288731609
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:4.0,-1.2962465848,0.30516506590000003
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:4.0,1.2257297534,-0.3096952026
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:5.0,-0.7875840604000001,0.43902425580000004
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:5.0,1.6914619443999999,-0.5141836846
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_mid-exponential:6.0,0.1308071774,0.41657988370000004
S. pyogenes_THY_WT_vs_Del_dahA:THY_None_WT_early-stationary:6.0,1.5094413524,-1.0596826857
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:1.0,-0.3869324078,0.13156086250000001
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:2.0,-0.9760061083,-0.3204262202
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_mid-exponential_OD1.0:3.0,1.3629385161,0.18886535770000001
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:1.0,-2.4157363571,-0.1443858348
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:2.0,-1.8300162260000001,-0.21086155480000002
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_mid-exponential_OD1.0:3.0,-0.47876521520000004,-0.24961050850000002
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:1.0,-2.5826852333,0.0781306306
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:2.0,-1.6236623602,0.044536237
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_mid-exponential_OD1.0:3.0,-1.0475668192,0.4468089572
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:1.0,-1.3985497909,0.00039376550000000003
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:2.0,-1.5333240374,-0.0591859994
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_mid-exponential_OD1.0:3.0,-1.4419945189,-0.061695074100000004
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:1.0,13.1030936031,-0.2969032824
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:2.0,13.2192411175,-0.2274166587
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_WT_stationary:3.0,13.4389630583,-0.007764107
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:1.0,10.4850625871,0.1797913133
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:2.0,9.8046111914,0.1364347142
S. pyogenes_THY_WT_vs_Del_fabT:THY_35°C_Del_fabT_stationary:3.0,10.0848129128,-0.2382013668
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:1.0,12.4159081236,0.5935508828
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:2.0,12.1202891709,0.8118265809
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_WT_stationary:3.0,12.0280356765,0.5678007182
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:1.0,10.7182283058,0.9626707655000001
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:2.0,10.3796253317,1.1250036037
S. pyogenes_THY_WT_vs_Del_fabT:THY_40°C_Del_fabT_stationary:3.0,11.6866139727,0.9303366427
