,A,EvgA
SRX5694284,-0.49754893800000005,-1.2981443352
SRX5694285,-1.438339767,-1.8477529089
SRX5694286,-2.2218780555,-2.1081158545
SRX5694287,-2.1754091918,-0.2958424505
SRX5694288,-0.5947241561000001,-0.1840997834
SRX5694289,2.1037634242,-0.27690278900000004
SRX5694290,-1.5193801541,-0.2682264216
SRX5694291,7.1448369861,-0.5992166614000001
SRX5694292,-2.2223591898,-0.4210544156
SRX5694293,-1.8331821222,0.0285101089
SRX5694294,1.2198477954,0.2307639069
SRX5694295,5.8299588396,-1.1031578216
SRX5694296,-0.0040952561,0.245190235
SRX5694297,5.6377615773,0.6662427196
SRX5694298,-2.0367756272,-1.5913674456
SRX5694299,-0.6279983054,-0.135072736
SRX5694300,0.0425428807,-0.47221228130000004
SRX5694301,-2.2295850678,-0.215509209
SRX5694302,-0.7941222185,-0.7287133899
SRX5694303,-1.7579876175,-0.969876861
SRX5694304,-0.9487598119,-0.6884949534
SRX5694305,4.2167867962,0.4254683392
SRX5694306,-0.5049348731000001,-4.5107232436
SRX5694307,4.5594876255,-0.1936652725
SRX5694308,-0.6976828118,-0.2796742494
SRX5694309,2.6370286387,-0.3749746706
SRX5694310,-1.4479268306,-3.0750731369
SRX5694311,4.701865398,-0.3008856593
SRX5694312,-2.462477888,-4.4773391269000005
SRX5694313,5.8455448822000005,-1.1062422356
SRX5694315,-1.097565996,-0.8712856116000001
SRX5694317,0.38280969200000003,0.2888051117
SRX5694319,0.17468397,-0.1597113668
SRX5694320,7.2866959546,-1.0935355896
SRX5694321,3.563983612,-0.5340043616
SRX5694322,4.0887145717,-2.341306538
SRX5694323,3.4105042337,-0.7131573659
SRX5694324,2.8481314535,0.2255325753
SRX5694325,-0.4392492334,-1.8352623408
SRX5694326,-0.8849541315,-1.0220244337
SRX5694327,-1.6174779348000001,-2.5984787963000002
SRX5694328,0.8870388713,0.0039210426
SRX5694329,5.7329498979,0.4294045533
SRX5694330,-2.926441108,-3.6765500356
SRX5694331,-2.369626421,0.1746467284
SRX5694332,3.77129933,-0.5393785079
SRX5694334,-0.7610861751,-1.6022181883000002
SRX5694335,7.1639382847,-0.24100756510000002
SRX5694336,3.1394495574,0.26399772180000003
SRX5694337,0.4047020089,-0.7884177891
SRX5694338,-1.9127249431000002,-0.7523088778
SRX5694339,0.620007706,-0.23539004670000002
SRX5694340,-1.8476771802,-2.6213691617
SRX5694341,2.4923466142,-0.0894195655
SRX5694342,6.3266875619,0.6972996366
SRX5694343,5.8051629456,-0.3654635148
SRX5694344,3.0469505821,0.47984740330000003
SRX5694345,-1.2741991298,-0.46084099640000004
SRX5694346,6.143463202,-1.2942260013
SRX5694347,-0.1992004271,-0.078289958
SRX5694348,-1.432400496,-0.4806268577
SRX5694349,-1.77330484,-1.1797500955
SRX5694350,3.1220595298,-1.4946352787000001
SRX5694351,3.3493785294,-0.2005096517
SRX5694352,-0.4449762626,-1.6674828395999999
SRX5694353,-0.4118424345,-0.2630520303
SRX5694354,-2.4610886556000002,-1.1093850089
SRX5694356,-0.3412703662,-0.31394083170000003
SRX5694357,5.1650443618,0.5918231935
SRX5694358,7.2131374008,-1.2061312894
SRX5694359,-3.0789825608,-2.1681540212
SRX5694360,-1.6703703327000001,-1.6277324192
SRX5694361,1.5533098556,-4.2154595164
SRX5694362,-2.1258458079,-3.6566385413
SRX5694363,-0.7492272565,-0.6248232137
SRX5694364,4.2636360816,-0.106246715
SRX5694365,3.1196514523,-2.7678233949
SRX5694366,-1.682649632,-0.4934588661
SRX5694367,-0.0654300142,-1.5801579655
SRX5694368,-1.1691211212,-1.1186529566
SRX5694369,-2.0572472201,-0.9421814817
SRX5694370,-0.43064166130000003,-0.3711286941
SRX5694371,1.7293870495,-0.6635470245
SRX5694372,-2.3972064258,-1.9984416012000001
SRX5694373,4.0273428843,-1.5500035519000002
SRX5694374,6.118663901,-1.6915451809
SRX5694375,-2.7734982627,-0.6601297772
SRX5694376,-0.2886247838,-2.0981108156
SRX5694377,5.8084134641,-1.7900575368
SRX5694378,-2.011363677,-2.9132181495
SRX5694379,-1.134050978,-3.5494472298
SRX5694380,6.075256324,-1.5779899367999999
SRX5694381,5.0623264977,0.349619355
SRX5694382,4.1800745258,0.0442053331
SRX5694383,-2.4261263961,-0.6556120556
SRX5694384,-1.4808330760000001,0.1539754891
SRX5694385,-1.874587594,-1.2959763491
SRX5694386,3.4971996917,-1.275063863
SRX5694387,-1.4952791115,-0.49314633430000004
SRX5694388,4.1315840813,0.4419594342
SRX5694389,-0.928587173,-2.0502892622
SRX5694390,-2.6704025446,-0.7198882179
SRX5694391,-0.8610864140000001,-0.19390013320000002
SRX5694392,-1.4300824879,-1.0948453576
SRX5694393,-0.9834966621000001,0.3295805282
SRX5694394,-1.4901021242999999,-0.14516232210000002
SRX5694395,-0.7984259260000001,-0.7162710431
SRX5694396,4.2880747222,-0.2961145591
SRX5694397,-1.9630059618,-1.1810163005
SRX5694398,-1.6728995228999999,-1.1671419011
SRX5694399,0.29764694080000004,0.0343924143
SRX5694400,-0.9026548114,-1.5983888671000002
SRX5694401,-1.7994675028,-0.33730876390000003
SRX5694402,2.0071568687,-1.1794700796
SRX5694403,0.24035499270000002,-0.7683430914
SRX5694404,-2.9262405696,-0.42754819520000004
SRX5694405,1.1059712383,-0.6959115769
SRX5694406,-2.6095758861,-0.7441240575
SRX5694407,-0.7858756711,-0.8431569723000001
SRX5694408,-0.4562008028,-0.6123810313
SRX5694409,7.1616334201,1.0656762555000001
SRX5694410,-1.554807227,-5.6558810225
SRX5694411,-1.1605012253,-2.080619031
SRX5694412,-2.2537776678,-1.517750203
SRX5694413,6.6453237466,-3.0708117677
SRX5694414,4.5955558116,0.2125469503
SRX5694415,-1.7756615939,-0.4163889631
SRX5694416,0.7298227985,0.1371198603
SRX5694417,0.4567086461,0.0457319781
SRX5694418,-0.0206967316,-0.8603904543
SRX5694419,2.1461326264,0.1386702141
SRX5694420,-1.4602644158,0.06474380760000001
SRX5694421,0.08808938420000001,-0.3349879243
SRX5694422,-0.357550171,-0.3538848569
SRX5694423,-0.30380943600000004,-0.8115267964
SRX5694424,-1.6189055731000002,-1.595708372
SRX5694425,-2.635615509,-1.1101800009
SRX5694426,-0.052569479100000004,-0.9513719532
SRX5694427,-1.4000804521,-0.2856547363
SRX5694428,-1.5877239015,-0.7130866235000001
SRX5694429,-0.0390264042,-1.4808626793
SRX5694430,-0.9070934996000001,-0.2686411409
SRX5694431,3.0975632826,-0.2563660821
SRX5694432,-2.9495490785,-1.9935141483
SRX5694433,7.6349411968,-3.2434270468
SRX5694434,5.9622677717,-1.6518541248
SRX5694435,2.0143623533,-0.6702236606
SRX5694436,8.0450497838,0.38533651420000004
SRX5694437,1.2988838241,0.3197358857
SRX5694438,-1.985003931,-0.34225890070000003
SRX5694439,5.4712703578,-1.2993950358
SRX5694440,-3.9211698297,0.209864782
SRX5694441,3.6859282411,0.4963350789
SRX5694442,3.9966821677,0.4546014679
SRX5694443,-1.0367246506,-0.2934414786
SRX5694444,-2.9070309268,-0.9193568647
SRX5694445,4.4473184946,0.1539918957
SRX5694446,-1.2805087096,-0.2595014303
SRX5694447,-1.9023216224000001,-2.0643966874
SRX5694448,-2.1742294708,-4.874080146
SRX5694449,-1.3672836325,-0.41511478830000004
SRX5694450,-0.6770600614000001,-3.5876884896
SRX5694451,-0.9981044664000001,-0.5615197637
SRX5694452,3.2181336401,-0.482660195
SRX5694453,6.3783630822,-3.2127667509
SRX5694454,-1.7727150839,0.3720926815
SRX5694455,1.0704306536,-0.2114816088
SRX5694456,-2.0894801276,-0.4308759434
SRX5694457,0.1996636638,0.4530552091
SRX5694459,-0.23050259750000002,0.015114011200000001
SRX5694460,2.8667972846,-1.2358373876
SRX5694461,-1.9054270361999999,-2.3443059874
SRX5694462,-1.0159496051,-0.5220889688
SRX5694463,-1.730529975,-0.5064862512
SRX5694464,-1.221333107,-2.337906528
SRX5694465,-0.5979566598,-0.9429531842000001
SRX5694466,-2.4538347581,-0.0998057989
SRX5694467,-0.7812384656,-0.5847956179
SRX5694468,7.0242423484,-0.8883835543
SRX5694469,-0.6326947436,-0.0757948581
SRX5694470,-0.2344866687,-0.0439158705
SRX5694471,-2.1677041973,-0.10266530530000001
SRX5694472,-0.6619474214000001,-0.5005025801
SRX5694474,-2.3117438875,-1.7240017594000001
SRX5694475,-0.9000280159,-0.4354180285
SRX5694476,-3.0975238877,-0.36634706300000003
SRX5694477,1.7163699577,-1.4651480481
SRX5694478,-3.5881763744,-1.8186823886
SRX5694479,7.5498171726,-0.5562206183
SRX5694480,5.1987602544,-0.356460439
SRX5694481,-2.2267839851,-1.8742205274
SRX5694482,-0.8094867624000001,0.0281028641
SRX5694483,-0.2190137155,-0.6774998152
SRX5694484,-1.6561207015,-1.6392898262000002
SRX5694485,-2.4143613619,-0.085353835
SRX5694486,-2.3575006306,0.1324636998
SRX5694487,-3.1069526256,-2.1404752486
SRX5694488,-1.8102809536,-0.9326081247
SRX5694489,-0.8916342543,-0.4846891076
SRX5694491,-1.0586251029,-2.2471669112
SRX5694492,1.6291416201,-0.0857392294
SRX5694493,3.6757399905,-0.9094683144000001
SRX5694494,-1.8230323515,-1.5237394358
SRX5694495,-1.5826980642000001,0.3711767248
SRX5694496,-1.8631764535,-0.1405835531
SRX5694497,-1.3357195822,-2.300433478
SRX5694498,-1.5326134866999999,-0.5192858496
SRX5694499,-2.277083136,-5.1528958567
SRX5694500,-2.1085574838,-2.7529013605
SRX5694501,-1.2065948994,-1.3504491965
SRX5694502,-1.2681597848,-5.1571557626
SRX5694503,-1.4858336595,-4.8254082943
SRX5694504,-1.5312035958,0.1337115807
SRX5694505,5.3402471102,-0.10340154180000001
SRX5694506,-0.0683350145,-5.8749262281
SRX5694507,-1.8857241999999999,-0.1973545109
SRX5694508,2.7519577525,0.0400496506
SRX5694509,-1.1755466108000001,-0.9911867725000001
SRX5694510,-0.37584887640000003,-0.3959545122
SRX5694511,-3.098504326,-1.2119756288
SRX5694512,-0.0947841474,-1.4958570794
SRX5694513,5.8146253579,-1.0830846597
SRX5694514,2.3631034186,-1.6407679982999999
SRX5694515,-2.6489031832,-1.3415906871
SRX5694516,6.1288846129,-1.2365475162
SRX5694517,-1.9125760151,-0.7220951185000001
SRX5694518,-0.6952006296000001,-0.2414705937
SRX5694519,-0.548462927,-1.1968763334
SRX5694520,-0.9776344948000001,-4.0472839569
SRX5694521,-2.2009486155,-0.5281668409
SRX5694522,-3.4745262495,-0.3084978543
SRX5694523,-2.3982747209,-1.3158858136
SRX5694524,-1.42828755,-1.1889731754
SRX5694525,-0.4623681355,-0.0662226494
SRX5694526,-0.7048753815000001,-1.7267075452
SRX5694527,-2.1315600384,-3.2021934359
SRX5694528,7.755351851,-0.6177153874
SRX5694529,-1.9873587673,-0.7679952907
SRX5694530,-2.3772953116,-4.6781262817
SRX5694532,0.3673387362,-0.9894780239000001
SRX5694533,3.2317763256,-3.2603856872
SRX5694534,-0.6480084131,-2.3106079712
SRX5694535,-4.191484737,-7.684022426
SRX5694536,-2.0055240074,-1.2823139157
SRX5694537,-1.3415881469,-0.9151226362
SRX5694538,-0.5427402457,-0.1191497074
SRX5694539,-2.7276912813000003,-2.1056944457
SRX5694540,0.6349018081000001,-0.8806641417000001
SRX5694541,-2.9058273521,-1.7016658068
SRX5694543,5.9235972295,-1.4353561463
SRX5694544,-0.5634751060000001,-0.8246302555
SRX5694545,-3.2381006005,-0.8050251564
SRX5694546,0.09909586420000001,-1.2303173238
SRX5694547,-0.9309369466,-0.21241864030000002
SRX5694548,-0.4953361298,-0.0932039899
SRX5694550,5.0528864537,-0.8847149268000001
SRX5694551,-1.5274810978,-5.5184483707
SRX5694552,0.4659656267,-0.2402099204
SRX5694553,-0.9884490638000001,-0.0718071952
SRX5694554,-0.0780756836,-0.4457229964
SRX5694555,0.2326158626,0.1034287658
SRX6072760,-0.6210594997000001,-1.2085501065
SRX6072761,-0.6492553604,-1.8139523557000001
SRX6072762,-2.0078714046,-1.0896625449
SRX6072763,-1.506780491,-0.8575891541
SRX6072764,-1.2482907278,-2.1307821791
SRX6072765,-1.6368112461000002,-0.9074132185
SRX6376491,5.4821190764,0.058223242300000005
SRX6376492,5.0772235517,0.3815071833
SRX6376493,4.662170703,0.2991170734
SRX6376494,5.5132766318,0.1155422313
SRX6376495,5.7267407834,-0.1566019246
SRX6376496,3.939273619,0.14412516590000002
SRX2723951,5.2106781924,0.4506735116
SRX2723952,3.3762340025,0.6937094879
SRX2723953,4.678629381,-0.4340724634
SRX2723954,-3.9978453548,1.3617688996
SRX2723955,-1.817802887,-0.360499664
SRX2723956,-2.0132545747,0.531895173
SRX2723957,-0.9872213653,-0.10455441110000001
SRX2723958,-0.8393644436000001,-1.2574218961999999
SRX2723959,-0.4021815537,0.20589115600000002
SRX2723960,6.4302916514,0.5890667594
SRX2723961,2.7362785139,1.4481097057
SRX2723962,5.9935157726,0.5285659711
SRX2723963,-0.504699321,-0.5264399466
SRX2723964,-1.3223361395,0.33621767820000004
SRX2723965,-1.5284569794,0.45271945300000005
SRX2723966,-0.1586674982,0.0253299176
SRX2723967,0.0674774586,-0.2054901792
SRX2723968,0.09119003960000001,0.1801602616
SRX6977206,-0.4498098659,-0.8858933541
SRX6977207,-0.42428042380000003,-1.1124278233
SRX6977208,-1.6090107449,-0.3837643182
SRX6977209,-1.810936453,-0.5032528572
SRX6977210,-1.5173132704999999,-0.5723434971
SRX6977211,0.37011655920000003,0.2538088858
SRX6977212,0.0926607383,0.0797249321
SRX6977213,-0.4627772975,-0.33353381790000003
SRX6977214,-0.3011517969,-1.6274616379
SRX1153733,-0.1168757616,0.09183542160000001
SRX1153734,0.1168757616,-0.09183542160000001
SRX1153735,0.0393124567,-0.0220214135
SRX1153736,-1.6904484321000002,0.0855008713
SRX5204053,0.4335066443,0.3987575586
SRX5204054,2.2787518817,0.4263136487
SRX5204055,0.9601014233,0.1905902857
SRX5204056,0.2731466516,0.9586626856
SRX5204057,0.22133390630000002,0.8622507525
SRX5204058,0.1202921002,0.9637683273000001
SRX5204059,-0.3860086434,-0.28639741690000003
SRX5204060,0.0271579632,0.0111187183
SRX5204061,-0.1849955289,-0.184734264
SRX5204062,-0.7057801744000001,-0.25136361090000003
SRX5204063,-0.3732997296,-0.35180058550000004
SRX5204064,-0.0853961947,-0.49166757320000004
SRX5204065,0.06615707800000001,1.4362282937
SRX5204066,0.45468708750000003,1.3399488108
SRX5204067,1.6283031097,1.1698333278
SRX5204068,-0.059681924500000004,-0.0271452143
SRX5204069,-0.4215417319,0.019434379800000002
SRX5204070,0.6669162304,0.3737867087
SRX5204071,1.8914090426999999,0.5627639876
SRX5204072,1.3727163268,0.7103079212000001
SRX5204073,2.1445230049,0.9078781724
SRX5204074,2.6738822973,0.4743812611
SRX5204075,0.4747929441,0.1208975192
SRX5204076,1.5824666275000001,0.520897856
SRX5204077,2.3931528459,-0.1292416092
SRX5204078,1.2398570149,-0.1614998798
SRX5204079,0.7725848008,-0.2874208726
SRX5204080,1.5809015202,0.16666679750000002
SRX5204081,1.4627007377,0.11572746140000001
SRX5204082,1.4250171024,0.2741672566
SRX5204083,-1.2885077547,-0.042708496900000004
SRX5204084,-0.5618919047,-0.2207775078
SRX5204085,-1.5364491143999999,-0.2557506156
SRX5204086,-0.3965758056,-0.1732701552
SRX5204087,-1.2641462515,-0.3189355741
SRX5204088,-0.439559747,-0.1549576348
SRX5204089,-1.5026278702,-0.4741112369
SRX5204090,0.4194432796,-0.4303105813
SRX5204091,-1.3153881164,-0.3014569064
SRX5204092,-0.020301079700000002,-0.3549813663
SRX5204093,-0.23657064290000002,-0.166329251
SRX5204094,-1.1233599039,-0.1633217314
SRX5204095,0.8008201494,0.17380142
SRX5204096,-0.213891497,-0.1223807774
SRX5204097,-0.5869286525,-0.051420642600000004
SRX683459,-0.29507893760000004,-0.2006300057
SRX683460,-0.6125358131,0.6154950629
SRX683461,0.2489898463,0.1722803149
SRX683462,-0.599879249,0.335620279
SRX683463,0.0460890913,0.0283496908
SRX683464,0.0191831844,0.3734929688
SRX683465,0.4129577025,-0.617306588
SRX683466,-0.4582296591,-1.1447840374
SRX683467,-0.1624133605,-0.7098483016
SRX683468,-1.9349586169,-1.7580400680000001
SRX683469,-0.63632884,-1.1240211811
SRX683470,0.2124335495,-2.5911090096000002
SRX322077,-1.7362187486,-0.2379194006
SRX322078,-0.1082903035,-0.2671514754
SRX322079,0.2399299477,0.0081885102
SRX322080,-0.3467270917,-0.38684771100000004
SRX322081,0.3550794691,0.23271067150000002
SRX322082,1.2815682002,0.1793777509
SRX322083,1.6784787598,0.1419567498
SRX322084,0.047169141500000004,-0.3308576972
SRX322085,-1.7256479013,0.18890094740000002
SRX2708592,-1.3574699144,-2.5410501106
SRX2708593,-2.3752224921,-3.3334212972
SRX2708594,-1.3198833221,-1.9500905097999999
SRX2708595,-0.254266317,0.0626334041
SRX2708596,0.349893296,-0.0290541447
SRX2708597,-0.09562697910000001,-0.0335792594
SRX2708598,-0.3825909516,-0.4011612684
SRX2708600,0.9418010539,0.1366348097
SRX2708601,0.1878425606,0.1771111085
SRX2708602,0.7396673762,-2.0374191028
SRX2708603,-0.11892718220000001,-0.26435676680000003
SRX3073814,-0.0389551168,-0.1017582434
SRX3073815,2.6152891956,-4.6256226834
SRX3073816,5.8921440987,-4.8815384462
SRX3073817,6.5740981082,-4.0496966539
SRX3073818,5.9497842873,-3.8707995420000003
SRX3073819,0.6089406862,1.1395904374
SRX3073820,3.7893351831,-3.0091478027
SRX3073821,6.1282265022,-3.9307466805
SRX3073822,4.250909464,-2.596757874
SRX3073823,5.2869891411,-1.5888732964
SRX3073824,0.0389551168,0.1017582434
SRX3073825,2.3817508493,-4.2661120574
SRX3073826,5.2803598122,-4.956707384
SRX3073827,5.3979708433999996,-4.2753012172
SRX3073828,5.5632765178,-3.5254491358999998
SRX3073829,0.4230262514,0.8332569573
SRX3073830,4.4067124373,-3.6006977376
SRX3073831,5.9357584207,-3.3111319899
SRX3073832,4.6764393474,-2.288411067
SRX3073833,4.6328810321,-0.8840790346
SRX2391456,0.0859489378,0.06275008210000001
SRX2391457,0.6093654216000001,-0.2736999036
SRX2391458,-0.0902672137,-0.028669295600000002
SRX2391459,-0.32615974810000004,0.0060544253
SRX2391460,-0.1147179675,-0.1207520581
SRX2391461,-0.2769106826,-0.20860725870000002
SRX2391462,0.23748205930000002,-0.07402187810000001
SRX2391463,1.3320192746,-0.048297827
SRX2391464,1.8963885880000002,-0.1829469532
SRX2391465,-0.3576674629,-0.18583475100000002
SRX2391466,-0.2177125607,-0.1822433417
SRX2391467,-0.13905413460000002,0.061670600900000004
SRX2391468,0.7393877462,0.15396578400000002
SRX2391469,0.5318158761,0.0239166827
SRX2391470,0.07809706770000001,-0.5449287454
SRX2391471,0.6750124083,-0.6578073753
SRX2391472,0.0272206584,-0.2812294158
SRX2391473,-0.0558361493,-0.2815426171
SRX2391474,0.2159986815,0.0084190124
SRX2391475,0.2003614061,-0.1694434199
SRX2391476,1.1280998047,-0.47948414240000004
SRX2391477,-0.6741483924,-0.23914357760000002
SRX2391478,-0.4752057678,0.1343081582
SRX2391479,1.2924793523,-0.5551597021
SRX2391480,-0.6094969144,-0.640434505
SRX2391481,-0.45404780100000003,-0.36526247700000003
SRX2391482,-0.3882094135,-0.6624878739000001
SRX2391483,-0.2220948631,-0.2552449849
SRX2391484,0.5835393185000001,-0.041139938
SRX2391485,-0.1900395067,-0.2351904742
SRX2391486,-0.20855807910000002,-0.1051521648
SRX2391487,0.1764383973,0.043879288600000003
SRX2391488,0.30572469700000005,-0.0759474245
SRX2391489,-0.8226685490000001,-0.2136091789
SRX2391490,-0.3082355872,-0.11112544840000001
SRX2391491,-0.3481607485,-0.1629914829
SRX2391492,-0.6011900805,-0.0681471772
SRX2391493,-0.5258042860000001,-0.09625767290000001
SRX2391494,0.1786079087,-0.1791836587
SRX2391495,0.13905413460000002,-0.061670600900000004
SRX2391496,-0.0804643719,0.035043709900000004
SRX2391497,0.0736094519,-0.0689676774
SRX2391498,1.0470007921,-0.8951232202
SRX2391499,0.3191120636,-0.1640009017
SRX2391500,0.3089600802,-0.1567250982
SRX2391501,0.1266387101,-0.1283900173
SRX2391502,-0.1408277028,-0.0734889192
SRX2391503,-0.2440710438,-0.27618389860000003
SRX2391505,-0.25545320250000003,-0.2807620831
SRX2391506,-0.2538061884,-0.1621196913
SRX2391507,-0.2915579454,-0.3205199694
SRX2391508,-0.6358360967000001,-0.33857183150000003
SRX2391510,0.0379023486,-0.7726000382
SRX2391512,-0.31619275700000005,-0.7181587095
SRX2391513,0.2080710821,-0.6222819059
SRX2391514,0.0695249303,-0.32734927280000004
SRX5632598,-1.032506095,1.0967811612
SRX5632599,-0.0289372986,0.1776703744
SRX5632600,-2.9359870778,1.5385846307
SRX5632601,-1.5316424302,1.7784003627
SRX5632602,-0.23478941890000002,1.3747117488
SRX5632603,-3.3676404739,1.2928195803
SRX5632604,-1.018941386,1.7059954121
SRX5632605,-1.9056728472,1.5929477892000001
SRX5632606,-1.0577747114,0.9349515571
SRX5632607,-0.043568949700000005,0.6231958708
SRX5632608,0.0828762237,-0.042832849400000005
SRX5632609,0.3569579784,0.37344361340000004
SRX5632610,-0.8492442562,0.0430068225
SRX5632611,-0.4398342022,-0.3306107639
SRX5632612,0.0237283367,-0.0376905187
SRX5632613,-0.0757084484,0.5676476849000001
SRX5632614,-0.2881851105,-0.44848552900000005
SRX5632615,-0.7447044475,-0.14823905510000002
ERX2874132,0.4096492894,1.2185103499
ERX2874133,-0.4134718979,1.8822175021
ERX2874134,-0.9687394327000001,1.6804273421
ERX2874135,-0.7347165634,1.2858788372
ERX2874136,2.691236984,2.6019596724
ERX2874137,2.8776804696,2.5774894511
ERX2874138,-1.5038331678999999,1.1927691549000001
ERX2874139,-1.517974289,1.5811064179
ERX2874140,0.4512328338,-0.5570938807
ERX2874141,-0.4512328338,0.5570938807
ERX2874142,1.560126069,1.0953857653
ERX2874143,1.1315177877,1.3218467275
ERX2874144,3.5388349509,1.0708290109
ERX2874145,2.7499038994,1.6913858864
ERX2874146,0.5528737046000001,0.8468956924000001
ERX2874147,-0.3120728923,1.2625199957
SRX1300292,0.084939178,-0.2265737887
SRX1300293,-0.084939178,0.2265737887
SRX1300299,-0.0195158902,-0.3936969885
SRX1300300,-2.1791933302,0.052158214200000004
SRX1300304,2.4820171004000002,0.5525541804
SRX1300305,-0.1218115407,0.17310811980000002
SRX1300306,0.0290813468,0.5494693328
SRX1300310,2.015602394,-0.2144074347
SRX1300311,1.1407054738,0.11692638050000001
SRX7291195,-0.5836960466000001,-0.3884189436
SRX7291196,-0.8508393399,-0.5006533964000001
SRX7291197,-0.0628244889,-0.5472586604
SRX7291198,0.1797698999,-0.0972843163
SRX7291199,0.0785200866,0.2067697798
SRX7291200,-0.2582899866,-0.10948546340000001
SRX7291201,-0.7503506677,-0.5961136162
SRX7291202,-0.8226997753,-0.11049233380000001
SRX7291203,-0.9815938016,-0.36432014700000004
SRX7291204,0.5754144635,0.19774517020000001
SRX7291205,0.19173993590000002,0.2560265593
SRX7291206,0.4318051282,0.3370491906
SRX2436955,-1.2456912828,-0.7504792438
SRX2436956,0.7506148798000001,0.0476942792
SRX2436957,0.7137013939,0.1227275461
SRX2436958,0.3584876221,-0.009615847700000001
SRX2436959,-0.2828195972,-0.1524548451
SRX2436960,0.0274494532,-0.177325867
SRX2436961,0.7606035550000001,0.8337007030000001
SRX2436962,0.6757319809,0.2474570614
SRX2436963,0.5594953859,-0.47315294550000003
SRX2436964,0.5339215672000001,1.7371283358
SRX2436965,1.0420595923,-2.1080214631
SRX2436966,-0.6537727763,-0.2595715718
SRX2436967,0.9059206862,0.8843385908
SRX2436969,0.8900774979,-0.2691011843
SRX2436970,-0.4463891103,-0.2570484031
SRX2436971,0.46269648960000004,0.9853620557
SRX2437029,0.8927137504,0.2785901542
SRX2437030,-1.167022592,-0.9426692208
SRX2437031,-0.4739607542,0.47099601350000003
SRX2437032,-0.497637635,0.4385393812
SRX2437033,-0.2623382298,0.19380866300000002
SRX2437034,0.7282341155000001,-2.3307795166
SRX2437035,-0.1524145579,-0.4594096989
SRX2437036,-0.4322226502,-0.42926141160000003
SRX2437037,0.3120642654,1.2960070897
SRX2437038,-1.1806420168,-0.0825710885
SRX2437039,-0.9491791225,-0.1900496815
SRX2437040,-0.0796727351,-0.42296229500000004
SRX2437041,-1.3488709191,-0.8685145078000001
SRX2437042,0.3657973331,-0.0109600037
SRX2437043,0.435664702,1.3354345352
SRX2437044,0.6505651219,-0.007625397700000001
SRX4705203,2.8091852368,0.4429756648
SRX4705204,-0.6226501358000001,0.0858119958
SRX4705205,-0.8268229851000001,0.16558104240000002
SRX4705206,-0.9258323162000001,0.1299798479
SRX4705207,0.6300177734,1.2724300133
SRX4705208,-0.5854326443,0.5953817652
SRX4705209,0.4606588185,0.7425151918
SRX4705210,1.0185746469,0.3693669852
SRX4705211,0.21225474660000002,0.0834010731
SRX4705212,0.3100645983,0.32612301850000003
SRX4705213,-2.7379383535,-0.28484094060000004
SRX4705214,-2.4136722533,0.0204075454
SRX4705215,2.6037001577,-0.005376655
SRX4705216,-2.5756236681,-0.23082060640000002
