,A,PerR
USA300_TCH1516_U01-Set003_CAMHB_Control_2,-4.025802782,7.0650596961
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_2,-5.637881934,8.2213775977
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_2,-2.738345308,8.2487506417
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_2,0.10381572300000001,8.5450281366
USA300_TCH1516_U01-Set003_CAMHB_Control_3,-4.990392757,8.0351769324
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_3,-5.072182205,8.0649135065
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_3,-0.42171949200000003,8.2691192971
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_3,-1.162546247,8.5126608014
USA300_LAC_ICA-Set001_R10LB_Control_1,5.490030604,11.0963430668
USA300_LAC_ICA-Set001_R10LB_Control_2,4.983650958,11.0564302879
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_1,5.362006559,11.0557710572
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_2,4.954331053,11.18981788
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_1,3.5563312639999998,10.6716008841
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_2,3.5153834010000002,10.6698754997
USA300_LAC_ICA-Set001_R10LB_5.5pH_1,5.626071775,10.9940045793
USA300_LAC_ICA-Set001_R10LB_5.5pH_2,5.096891609,10.8481245527
USA300_TCH1516_BK-Set001_THB_Control_1,-13.31455371,5.9779206839
USA300_TCH1516_BK-Set001_THB_Control_2,-9.94770424,7.3888790706
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_1,-12.33718137,8.9934030114
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_2,-10.66168722,8.9809674992
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_1,-13.70217554,9.1137327205
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_2,-9.724587715,8.7340090933
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_1,-9.665040265,7.610633131
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_2,-14.15216351,7.4737102321
USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_1,-0.359263818,9.4217245597
USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_2,-0.7012115130000001,9.281384848
USA300_LAC_ICA-Set002_CAMHB_2gLglucose_1,0.10295184900000001,9.7829913732
USA300_LAC_ICA-Set002_CAMHB_2gLglucose_2,0.345890784,9.7335215957
USA300_LAC_ICA-Set002_CAMHB_Control_1,1.388141056,9.1779928158
USA300_LAC_ICA-Set002_CAMHB_Control_2,3.0416776150000002,8.5597496271
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_1,3.060498912,10.5431816899
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_2,4.455260306,10.809882097500001
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_1,1.328817152,10.0260985324
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_2,1.5303547,10.1398247173
USA300_SNFM1_ICA-Set002_CAMHB_Control_1,-13.96920441,9.2731200701
USA300_SNFM1_ICA-Set002_CAMHB_Control_2,-12.70509004,9.2513167699
USA300_SNFM1_ICA-Set002_R10LB_Control_1,-11.02991972,10.3274948544
USA300_SNFM1_ICA-Set002_R10LB_Control_2,-10.33013968,10.3005785137
USA300_SNFR19_ICA-Set002_CAMHB_Control_1,-13.68270512,9.0300455659
USA300_SNFR19_ICA-Set002_CAMHB_Control_2,-13.56484094,9.2782256474
USA300_SNFR19_ICA-Set002_R10LB_Control_1,-9.409280048,10.3003019441
USA300_SNFR19_ICA-Set002_R10LB_Control_2,-9.080080356,10.3095741819
USA300_TCH1516_ICA-Set002_CAMHB_Control_1,-0.276847357,7.7311125874
USA300_TCH1516_ICA-Set002_CAMHB_Control_2,0.276847357,7.4689435484
USA300_TCH1516_ICA-Set002_R10LB_Control_1,2.034052431,8.9308594375
USA300_TCH1516_ICA-Set002_R10LB_Control_2,2.516450901,8.8155073219
USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_2,14.68359273,11.1051644242
USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_1,4.999221974,9.7158957831
USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_1,15.26601208,11.0464007844
USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_2,4.454569144,9.4659602964
USA300_TCH1516_ICA-Set003_250nMParaquat_1,-6.647666159,7.2011190186
USA300_TCH1516_ICA-Set003_250nMParaquat_2,-4.613747545,7.4654228514
USA300_TCH1516_ICA-Set003_2gLGalactose_1,-5.0917271,7.6615623759
USA300_TCH1516_ICA-Set003_2gLGalactose_2,-5.201881843,7.4695085347
USA300_TCH1516_ICA-Set003_2gLPyruvate_1,-3.511915273,7.1167492933
USA300_TCH1516_ICA-Set003_2gLPyruvate_2,-1.56644294,7.2158023008
USA300_TCH1516_ICA-Set003_Control_1,-9.155326886,7.1773596758
USA300_TCH1516_ICA-Set003_Control_2,-7.065729404,7.1773203104
USA300_TCH1516_ICA-Set003_StationaryPhase_1,0.18426441100000002,8.3034314786
USA300_TCH1516_ICA-Set003_StationaryPhase_2,1.7715455549999999,8.1951328921
