,-0.2213198338137986,-0.19181052263862547,-0.16230121146345233,-0.1327919002882792,-0.10328258911310606,-0.07377327793793292,-0.04426396676275979,-0.014754655587586651,0.014754655587586485,0.04426396676275962,0.07377327793793276,0.1032825891131059,0.13279190028827903,0.16230121146345217,0.1918105226386253,0.22131983381379844,0.2508291449889716,0.28033845616414477,0.30984776733931785,0.33935707851449093
ppGpp_genes,[],[],[],[],[],['yahO' 'yegR' 'crp'],['ydiY' 'nrfA' 'ycaD' 'greA'],"['gfcC' 'tyrP' 'emrD' 'uhpA' 'argR' 'iraP' 'tabA' 'rutR' 'yfcZ' 'yegQ'
 'trmA' 'ygaM' 'yagU' 'pyrG' 'hdhA' 'yqaE' 'raiA' 'uhpB' 'cysK' 'ybgS'
 'trxA' 'aphA' 'yafD' 'ycgB' 'truC' 'ilvG' 'dusC' 'argI' 'argA' 'lpxP'
 'yjbD' 'yraQ' 'yqcC' 'cedA' 'dgcJ' 'nlpA' 'nlpC' 'ydiV' 'nrdF' 'ycaP'
 'yceD' 'yccU' 'glsB' 'ybjQ' 'yjgR' 'gltX' 'folA' 'pepT' 'rpsP' 'dauA'
 'ispD' 'argC' 'ydfO' 'cecR' 'epmA' 'ycaM' 'tadA' 'ftnB' 'gstA' 'yegS'
 'leuA' 'yfdX' 'metI' 'nrdI' 'queA' 'ybaP' 'ymfA' 'prkB' 'yjeI' 'rplD'
 'sixA' 'srmB' 'ebgR' 'rnc' 'yfhL' 'ugpB' 'yehL' 'agp' 'flgJ' 'yciA'
 'rpmB' 'leuE' 'trpC' 'purE' 'rimM' 'yafV' 'yibT' 'gsiA' 'rpsJ' 'rfbA'
 'putA' 'cutA' 'yhfA' 'uup' 'iaaA' 'mrcA' 'yagN' 'dnaG' 'pyrB' 'purM'
 'efp' 'rplB' 'rplC' 'fpr' 'gntP' 'dtpD' 'accB' 'mioC' 'dnaE' 'yjdC'
 'tsaB' 'leuB' 'rplK' 'yaeP' 'gcvT' 'dacC' 'menE' 'menH' 'purF' 'yqeG'
 'yhhM' 'rof' 'sufA' 'ytfB' 'rfbB' 'argO' 'lysP' 'trmI' 'purK' 'era'
 'dgoR' 'yiiQ' 'yqgC' 'queD' 'nhoA' 'yhhA' 'ymfJ' 'ispU' 'xdhC' 'fadD'
 'tsf' 'gluQ' 'ydfV' 'yfjF' 'yebQ' 'rfbX' 'yejL' 'rimI' 'rplW' 'recT'
 'zupT' 'gsiB' 'ybhS' 'rplM' 'gltA' 'alaC' 'argS' 'dnaJ' 'yjjZ' 'sfmC'
 'yeiS' 'rfaH' 'ansA' 'rarD' 'essD' 'smg' 'yeaO' 'pdeL' 'atpB' 'lpxK'
 'ilvI' 'nrdE' 'metN' 'cspF' 'yodB' 'rplJ' 'ppnP' 'cvpA' 'yccF' 'ltaE'
 'ybhG' 'tdcA' 'nth' 'pyrL' 'rpsB' 'gsiC' 'glnH' 'trmJ' 'ftp' 'yhcN'
 'rplF' 'wecB' 'mreD' 'rpsL' 'yfcF' 'ybhF' 'opgC' 'mltF' 'yceA' 'yaeH'
 'ydiZ' 'yidE' 'wecC' 'smf' 'recQ' 'rsmF' 'ybhR' 'kptA' 'ybeL' 'holD'
 'yiiS' 'miaB' 'yqiK' 'rimJ' 'ldtB' 'yeaG' 'dtpB' 'glcF' 'ydcL' 'obgE'
 'yojI' 'gpt' 'thrB' 'ycjY' 'rplA' 'yciH' 'ygdQ' 'yehS' 'cheZ' 'argB'
 'rpsA' 'yidD' 'rlmN' 'xanP' 'mazF' 'frr' 'mnmA' 'yfaZ' 'ilvA' 'waaQ'
 'recX' 'qseB' 'qseC' 'yjeM' 'waaA' 'satP' 'aspS' 'fadE' 'ynjE' 'recO'
 'dadX' 'glnP' 'rplU' 'casE' 'rpsG' 'waaG' 'ychH' 'ycaN' 'ybfA' 'yeiG'
 'yeaY' 'rmf' 'nupC' 'yfbU' 'plsX' 'menA' 'yihI' 'ggt' 'dnaA' 'pyrR'
 'rfbC' 'rplN' 'bioA' 'purC' 'rlmL' 'mutM' 'nikR' 'yqjF' 'purB' 'livJ'
 'yhcO' 'yhcB' 'gcvP' 'pphB' 'yhdT' 'ilvM' 'rnhB' 'rnt' 'insA-6' 'nlpI'
 'rhlE' 'yhbE' 'xylR' 'ybjL' 'potC' 'nudB' 'prfC' 'rplR' 'yidL' 'ilvH'
 'ilvD' 'fucU' 'yecJ' 'trmD' 'yceM' 'amn' 'rsxC' 'yaeI' 'aceB' 'yfcJ'
 'yicI' 'nudI' 'kdpB' 'pyrF' 'tcdA' 'ygjR' 'rbsA' 'yccS' 'yihD' 'ycjN'
 'hflD' 'gsk' 'rlmC' 'lpxL' 'clsB' 'leuD' 'yafT' 'ycbZ' 'lysO' 'ppsR'
 'atoD' 'yfdF' 'mnaT' 'cysB' 'thiI' 'intA' 'aceK' 'metH' 'glgB' 'rsxB'
 'yceH' 'ycfZ' 'aceA' 'spy' 'rbbA' 'prfA' 'bcsE' 'prmA' 'sufD' 'yfgJ'
 'tesA' 'rpsH' 'clpA' 'clcB' 'cysQ' 'yebO' 'cdsA' 'truB']","['glgX' 'aroD' 'rfbD' 'gstB' 'ybeQ' 'fis' 'yhhJ' 'hpf' 'yagH' 'ytiD'
 'sufS' 'thiQ' 'aroG' 'yhbO' 'rluB' 'rpsS' 'yhiN' 'yjiJ' 'yjjJ' 'mrdB'
 'rffC' 'yghU' 'rlmA' 'pth' 'yghD' 'ybdK' 'yoaC' 'endA' 'curA' 'chiQ'
 'nrdH' 'accC' 'fucR' 'mazE' 'menD' 'psiE' 'relA' 'prs' 'gcvH' 'udk'
 'ydcK' 'ycaO' 'mscK' 'yhhN' 'argT' 'hsdR' 'rpsT' 'yfaA' 'rayT' 'rpsN'
 'der' 'ghxP' 'ycfH' 'ais' 'cmk' 'ydgI' 'dgcM' 'msrA' 'murJ' 'ndk' 'ssuB'
 'yajO' 'rplE' 'ychQ' 'kefG' 'mrdA' 'yiiD' 'grxB' 'pnp' 'yfcC' 'ygcN'
 'phoH' 'yjfZ' 'adeP' 'yecF' 'allB' 'lpxT' 'dksA' 'ykgF' 'dadA' 'yebF'
 'purD' 'yejM' 'insA-1' 'serC' 'yihY' 'eutD' 'uspD' 'kup' 'tsaC' 'serA'
 'rpsK' 'tsgA' 'atpI' 'bipA' 'rpmA' 'ssuA' 'yhhX' 'rlmG' 'ftsK' 'yiaC'
 'priB' 'rpsR' 'purL' 'yafC' 'leuC' 'mdfA' 'wbbH' 'rsfS' 'lnt' 'rsmB'
 'cmoB' 'cspA' 'rplI' 'proY' 'nusA' 'panF' 'upp' 'ygiV' 'yhaJ' 'ybcV'
 'sgrR' 'ygjQ' 'yccT' 'yafW' 'rbsC' 'ykfI' 'tyrB' 'thrC' 'lepA' 'potB'
 'purR' 'pitA' 'insA-7' 'mazG' 'rplX' 'speA' 'rnd' 'yfjW' 'potI' 'apt'
 'yiiX' 'rsxG' 'dctA' 'fkpA' 'ruvC' 'yjiR' 'yicH' 'uspC' 'znuC' 'aroB'
 'ghrB' 'hisD' 'rsxD' 'ccmB' 'lpxH' 'tolQ' 'ychF' 'yfiP' 'dgcF' 'plsB'
 'nudK' 'ldtE' 'yebV' 'envR' 'rpsD' 'rpsM' 'cysN' 'mhpC' 'sufB' 'btsS'
 'ytiC' 'rlmF' 'rplY' 'dgt' 'kefB' 'ilvB' 'suhB' 'yhiI' 'yheV' 'parE'
 'yedE' 'aroE' 'dusB' 'mnmE' 'hcaE' 'modF' 'yhfZ' 'pspF' 'rhaT' 'kdpC'
 'yecT' 'secG' 'rsxE' 'ybhP' 'pgaD' 'yqhH' 'prmC' 'dtd' 'dnaC' 'znuB'
 'rpsI' 'yqeH' 'sdaB' 'yeaQ' 'ldtD' 'ygeA' 'aroK' 'rimO' 'purT' 'yhjE'
 'gntU' 'qorA' 'pspG' 'yajC' 'mltG' 'betB' 'yidC' 'rnpA' 'yejK' 'pssA'
 'rpoB' 'lpxB' 'rpsE' 'fliP' 'argF' 'nusG' 'rpoD' 'rpoA' 'prfB' 'sufC'
 'ycdZ' 'tas' 'potA' 'yjgL' 'pyrI' 'yedP' 'rpsF' 'envY' 'pyrD' 'yjcE'
 'codB' 'lepB' 'ybhN' 'rplL' 'rluC' 'yaiA' 'uraA' 'rplO' 'thiL' 'marR'
 'yjfY' 'betI' 'hisM' 'tgt' 'ygiQ' 'ykfB' 'yieF' 'msbA' 'rplT' 'yddM'
 'rlmI' 'opgH' 'thrA' 'insL-3' 'yniA' 'nac' 'yhaH' 'yhjY' 'ttcA' 'secE'
 'yjgH' 'gspC' 'mreC' 'rimP' 'hcaT' 'hisP' 'katG' 'yhjV' 'pheS' 'ppc'
 'udp' 'yhhQ' 'yfdG' 'asd' 'thiB' 'hisJ' 'uspA' 'rpsO' 'betA' 'insL-2'
 'fimB' 'tag' 'opgE' 'mdtI' 'ydiP' 'ampD' 'ybjS' 'yqeF' 'yjaZ' 'secY'
 'yjiK' 'pyrC' 'ppnN' 'ybiT' 'ilvN' 'cmoA' 'dgcT' 'tsx' 'yohC' 'ybfE'
 'tusA' 'pheP' 'yihX' 'sdaC' 'cspD' 'wzxC' 'ybbC' 'ilvE' 'hisQ' 'casB'
 'mntP' 'yjdF' 'infC' 'insL-1' 'hlyE' 'thiP' 'argH' 'uspG' 'infB' 'rpsU'
 'rlmH' 'yehE' 'yegP' 'ynfD' 'rapA' 'yhdH' 'rsxA' 'ysgA' 'mcrA' 'pgeF'
 'ybcI' 'plaP' 'ybaQ' 'rplQ' 'rluD' 'rpmH' 'yeaH' 'yddH' 'deaD' 'mdtJ'
 'pxpA' 'pxpC' 'narZ' 'purH' 'ybgI' 'cdgI' 'gcvR' 'hcaB' 'tufB' 'yadK'
 'glpA' 'yhhY' 'dbpA' 'pxpB' 'hslO' 'waaH' 'yciI' 'rplS' 'argE' 'mepS'
 'ytfL' 'sbmC' 'sufE' 'yhjD' 'sgbE' 'yhbW' 'mltD' 'yjhI' 'ivy' 'mgtA'
 'lysS' 'yphA' 'rluA' 'rpmE' 'ytfI' 'yhjC']","['uspF' 'infA' 'leuO' 'alx' 'adhP' 'pgl' 'yghA' 'gdhA' 'kch' 'ybaA' 'ydgK'
 'aroM' 'yjjU']",['dmlA'],[],[],[],[],[],[],[],[],[]
RpoS and GadX_genes,[],[],[],[],[],[],[],['ynfB' 'speG'],[],[],[],[],[],[],[],[],[],[],[],[]
RpoS and FliZ_genes,[],[],[],[],[],[],[],['csgA' 'csgB'],['pdeR' 'csgC'],['mlrA'],[],[],[],[],[],[],[],[],[],[]
RpoS and GadE_genes,[],[],[],[],[],[],[],[],['gltF'],[],[],[],[],[],[],[],[],['yhiM'],[],[]
RpoS and ppGpp_genes,[],[],[],[],[],[],['ariR' 'osmF'],"['pabA' 'proW' 'proV' 'csiD' 'pqiA' 'yggE' 'blc' 'speC' 'uspB' 'csrA'
 'poxB' 'proX' 'tam' 'puuA' 'pcnB' 'rsmG' 'mglA' 'msyB' 'sgrT' 'ftsQ'
 'treA' 'mnmG' 'yeiL' 'mglC' 'folK' 'gabT' 'yehY' 'dkgA' 'ymgC' 'wrbA'
 'otsB' 'ftsA' 'ftsZ' 'yehX' 'ybgA' 'yabI' 'yccJ' 'ecnB' 'bolA' 'sra'
 'kbp']","['talA' 'ymgA' 'rssB' 'evgS' 'osmB' 'sodC' 'yadV' 'yehW' 'fadL' 'pstS'
 'dnaN' 'phr' 'dhaR' 'gabD' 'lhgO' 'ydcV' 'setA' 'rseC' 'yiaG' 'alkA'
 'rseB' 'elaB' 'ansP' 'yihG' 'rseA' 'treF' 'osmE' 'artM' 'puuD' 'ycgZ'
 'recF' 'tktB' 'rpoE' 'artQ' 'osmC' 'glgC' 'otsA' 'katE' 'hdfR' 'glgA'
 'murR' 'dps' 'ybjP' 'gabP' 'glgP' 'cfa' 'hmp' 'iraD' 'glgS' 'insI-1'
 'fbaB' 'patA' 'acnA' 'yadS']",['narU' 'hchA' 'appA' 'nhaA' 'rsd' 'cbpA'],['cbpM'],['aidB'],[],[],[],[],[],[],[],[]
GadX and ppGpp_genes,[],[],[],[],[],[],[],[],['cadA' 'uspE' 'asnB' 'rpoS'],[],[],[],[],[],[],[],[],[],[],[]
GadX and GadW_genes,[],[],[],[],[],[],[],[],[],[],['dctR'],[],[],[],[],[],[],[],[],[]
FliZ and ppGpp_genes,[],[],[],[],[],[],[],['flhD'],['yjbJ' 'flhC'],[],[],[],[],[],[],[],[],[],[],[]
GadE and ppGpp_genes,[],[],[],[],[],[],[],['lrp'],['yjbR' 'yjbQ'],[],[],[],[],[],[],[],[],[],[],[]
"RpoS, GadX, FliZ, GadE, ppGpp, and GadW_genes",['hdeB'],[],['hdeA'],[],[],[],[],['gadE'],['yhiD'],[],[],['mdtE' 'mdtF'],[],[],['gadB' 'gadC'],[],[],[],[],[]
"GadX, ppGpp, and GadW_genes",[],[],[],[],['slp'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
"RpoS, GadX, GadE, and ppGpp_genes",[],[],[],[],[],[],['hdeD'],[],[],[],[],[],[],[],[],[],[],[],[],[]
"RpoS, FliZ, and ppGpp_genes",[],[],[],[],[],[],[],['csgF'],['osmY' 'csgE' 'csgG' 'csgD'],[],[],[],[],[],[],[],[],[],[],[]
"RpoS, GadE, and ppGpp_genes",[],[],[],[],[],[],[],['gltB' 'gltD'],[],[],[],[],[],[],[],[],[],[],[],[]
"RpoS, GadX, GadE, ppGpp, and GadW_genes",[],[],[],[],[],[],[],['gadW' 'gadX'],[],[],[],[],[],[],[],[],[],[],[],[]
"RpoS, GadX, and ppGpp_genes",[],[],[],[],[],[],[],[],[],[],['glsA'],['ybaT'],[],[],[],[],[],[],[],[]
"RpoS, GadX, ppGpp, and GadW_genes",[],[],[],[],[],[],[],[],[],[],[],[],[],[],['gadA'],[],[],[],[],[]
