,A,GadE,GadX,GadW,FliZ,RpoS
aat__05m_00s__3,-0.0524740774,-0.9678010195000001,-0.6250523681,-0.5088306049,0.5336201420000001,1.0364768899
aat__10m_00s__3,0.1342281213,-1.2284636416999999,-0.44868729430000004,-0.3645023391,0.18726486850000001,0.7744984592
abx_mega__dmso-2__1,2.7385488917,-1.7063474712,-2.3499672652,-1.747753737,1.0998712491,-0.6575883396000001
abx_mega__ery_dmso__1,0.1630859841,-1.4227546253,0.7928732780000001,0.2163582634,-0.9365060833000001,-0.41439528130000003
abx_mega__nal_naoh__1,1.5526926681000002,-4.5605077804,-2.4224282235,-4.8910971814,0.33206465820000003,-1.5267586985000001
abx_mega__dmso-5__1,0.8897080014000001,1.045356825,0.1668165807,0.4747264939,0.2775806115,0.013532579400000001
abx_mega__rif_dmso__1,1.2671952937,2.0593195543,1.9662204062000002,2.8553766501,-1.0805716956,-0.4507050045
abx_mega__novo_h2o__1,0.4084183004,0.1046641752,0.501196129,0.9282738501000001,-1.0142291483,-1.3699185348
abx_mega__rach_dmso__1,-0.41530499470000004,-0.4964382377,-1.7148761242,-0.578146689,-0.1238042664,0.0290375594
abx_mega__metro_dmso__1,0.8651637806,0.38158250460000004,1.5200517399,0.5418337367,0.3529432879,-0.18024768900000002
abx_mega__dmso-6__1,-0.3869914344,1.5958281687,0.7656232519,0.8132924708,0.41633740340000003,-0.34416743510000003
abx_mega__chl_h2o__1,3.4381813737,-3.3128256518,0.6815171684,1.4507418637,-2.0176901103,-0.4766743304
abx_mega__cst_h2o__1,1.0135866238,0.11608212080000001,-0.3299062304,0.27372301660000004,-0.1070576275,0.2482267076
abx_mega__tec_h2o__1,3.6409928961,-3.6358730242,-3.2226228409,-4.5456831867,-1.5965448491,0.022944085000000003
abx_mega__str_h2o__1,2.4698415938,-3.3287021187,-1.9566249129000002,-2.1820006428,0.0879048102,-1.1664088354
abx_mega__ctx_h2o__1,1.5660383927,-0.4397971825,-0.8786231087,-0.3016644752,0.4449621881,0.2455560166
abx_mega__nal_naoh__2,0.2490189317,0.43782235220000004,-0.0761600344,-0.7817498318,-0.0508016138,-0.7270261651000001
abx_mega__phos_h2o__1,1.269829819,-0.5722216720000001,-1.1091857831,-1.3949916739,-0.1496204877,0.1246632279
abx_mega__dmso-5__2,0.7783702921000001,1.2688724873,0.376795678,-0.0218773579,0.1473289956,0.17891339180000002
abx_mega__polmyx_h2o__1,2.4407862608,-1.363562354,-1.7436352791,-1.1795227811,0.09207659160000001,0.8690290136000001
abx_mega__h2o-8b__1,1.3301904529,-0.3072507333,-0.511696689,-0.6080245165,0.1460819966,0.1019266675
abx_mega__h2o-6__1,0.06721222090000001,-0.0924618771,-0.07581218590000001,-0.24398370160000002,0.3555818577,-0.159521414
abx_mega__thio_dmso__1,1.9176294782,-2.8772927939,-2.1267472409,-1.0926089695,-0.5201763776,-0.7117395496000001
abx_mega__phos_h2o__2,0.7642923484,-0.3623026205,-1.2403638727,-0.7418616888,-0.3176717726,0.2200444192
abx_mega__ctx_h2o__2,1.6212368399,-3.2839056054,-3.1051406477,-2.5828278875,-0.5647734192,-0.24488367700000002
abx_mega__lzd_dmso__1,1.3729095284000001,-2.4826404768,-0.3728021711,-0.45014896050000003,-1.1278609141,-0.6076757834000001
abx_mega__naoh-9__1,1.3423919259,-0.6607328271,-0.9322027937,-0.5012943320000001,0.23303915960000002,0.4192586639
abx_mega__dox_dmso__1,0.9894423713,-0.7255561041,-0.8765831047,-0.3874958356,-0.0072231261,0.3345453216
abx_mega__phos_ethanol__1,0.3519485766,-0.027302434900000002,-0.40183986400000005,-0.42482587390000004,0.3273532034,0.9291638342
abx_mega__teix_dmso__1,0.40460022900000003,-2.529356985,-2.4687764906,-1.4385209238,-0.2306742386,0.6945469896
abx_mega__dmso-10__1,1.6547666145000002,1.3632711,-0.7513260327,0.3485572799,0.17316698690000001,0.7728686116
abx_mega__van_dmso__1,1.5143015751,-4.1068654799,-1.4329339531,-1.3178029966,-2.6751714517,1.381880559
abx_mega__ramo_h2o__1,1.2104171683,-2.282083813,-1.431567725,-1.3539580154,-0.2608043259,0.8471900986
abx_mega__tec_h2o__2,1.2850575342,-2.4563760988,-1.6205083346,-2.036579961,-1.8003606527,0.9445992575000001
abx_mega__h2o-7__1,2.1889177142,-0.4437220542,-1.3468065535,-1.1294158264,0.16048060050000001,-0.101510944
abx_mega__cro_h2o__1,1.1334692661,-2.1718149848,-2.3473347349,-1.740640889,-0.1438582707,-0.39254390580000004
abx_mega__tric_ethanol__1,1.8063675879,-0.43372625610000004,-0.4288208538,1.8952096850000002,-0.6630811163,1.6641543512
abx_mega__nor_naoh__1,0.1371034874,0.6134386042000001,0.2573011581,-0.4356772155,-0.31521110900000004,-0.6444778476
abx_mega__teix_dmso__2,-0.7858459928,0.5352186476,-0.24775163050000001,-0.4819330909,-0.1951486474,-0.28779240840000003
abx_mega__nal_naoh__3,-0.42076710640000003,0.38548183550000004,0.0183788918,-0.6346248517,-0.1328305091,-0.6870264622000001
abx_mega__novo_h2o__2,1.6791719543,-0.406351615,0.2447267686,0.9366542116000001,-1.1042332969,-1.3007259393
abx_mega__dmso-10__2,2.9568765833,0.6012156823,-0.36236828200000004,0.447430207,0.3267594695,0.8062681238
abx_mega__phos_h2o__3,-0.017507634600000002,0.5584385489,-0.4192109835,-0.9842348676,0.2702130949,-0.4039469799
abx_mega__dmso-6__2,-0.6854729229000001,1.4629122597,0.1696465278,1.2143164398,0.1482371993,-0.38068987460000003
abx_mega__rfp_ethanol__1,5.953614087,0.5317937379000001,0.9935815526,1.2411860387,-2.6768354223,1.1971556762
abx_mega__dmso-5__3,0.6050363568,1.0806453395,0.4317259873,0.6652820924,0.4358965598,-0.0579672664
abx_mega__amyc-d_dmso__1,-2.3276870722,3.4118167844,1.8701901873,1.0703736334,-2.746146362,-1.1718080658
abx_mega__sxt_dmso__1,1.7677944865000002,0.8469387127,-0.9797652477000001,0.8524858004,-0.252829645,-0.0579887361
abx_mega__dmso-1__1,-0.0468368721,0.7054832608,0.159103836,0.4371358145,-0.1079124144,-0.0090804595
abx_mega__pen_h2o__1,-1.0088600162,-0.8408210866,-0.8223882814,-1.0193071192,-0.3629657751,-0.2858089984
abx_mega__dmso-10__3,2.1315817756,0.5953510284,-0.6188705213,0.4778983338,0.4447141267,0.7487499111
abx_mega__nal_naoh__4,0.2632812701,-0.1172498515,-1.1899180729,-0.580259001,-0.32778120850000003,-0.2880430808
abx_mega__cip_naoh__1,0.38381331020000004,0.2168853734,-1.3682942998,-1.4085220433,-0.0565620826,-0.4022624342
abx_mega__pen_h2o__2,-0.4130519125,-2.0109520715,-0.6600796003,-1.1587799748,-0.4899465656,-0.102787711
abx_mega__ery_dmso__2,2.0359213387,-1.3554149242,0.7591724793,0.4180517626,-1.4593836297,-0.5464442224
abx_mega__dmso-2__2,3.1252380066,-3.2163431299,-0.4981753976,-2.0751650822,0.5323671235,-0.7664779575
abx_mega__van_dmso__2,1.2730909723,-3.2195393458,-1.5582623303,-1.2653036158,-2.9741860609,0.9269590489
abx_mega__h2o-1b__1,0.58265208,-0.38003294530000004,-0.842764209,-0.8347901378,-1.0840693405,0.0122038535
abx_mega__ery_h2o__1,1.5980466918,-2.4037995264,-0.4543213488,-0.3020337236,-1.3295676825,-0.9940082433
abx_mega__bacit_h2o__1,3.1176881158,-3.9474367155000003,-2.8879711853,-1.5665330675,-1.4973665918,2.0411292587
abx_mega__chl_h2o__2,3.091682258,-2.7744955274,0.06966349100000001,0.4750816601,-2.0924181973,-0.3039589573
abx_mega__str_h2o__2,2.7522126026000002,-4.9543248985,-1.9927050321,-2.3979780265,-0.37825171300000004,-1.2338569192
abx_mega__rfp_ethanol__2,5.1623620923,2.0055429386,1.1298134488,2.170072863,-2.8434470724,1.5108161085
abx_mega__polmyx_h2o__2,1.4021660089,-1.547670821,-1.3471602564,-1.248800724,-0.3489597146,0.0882130678
abx_mega__tric_h2o__1,2.1960278994,1.6028198251,1.4323739718000001,3.040692951,-0.5268356839,1.863543381
abx_mega__cip_naoh__2,0.1953888573,-0.0464632497,0.5303945427,-0.6995963589,-0.1121606861,-0.7670528724
abx_mega__novo_h2o__3,1.6283777910000001,-0.9607347717,0.22614956630000002,0.9938919358,-1.0577932562,-1.3988456439
abx_mega__bacit_dmso__1,0.912712952,0.7767468198,0.034567584900000004,0.5125120384,-0.2983050313,0.1389480637
abx_mega__gen_h2o__1,3.2201435572,-4.9543248985,-1.258112722,-2.9538490659,-2.1761582209,0.6382039402
abx_mega__bacit_dmso__2,0.3227065103,0.5971726587,0.1027261953,0.4305774778,-0.5924370210000001,0.6371311275
abx_mega__chl_dmso__1,3.1434476276,-2.7445693753000002,-0.177495377,0.6419124973,-2.3100390593,0.5891552134
abx_mega__bacit_h2o__2,0.43484317440000003,-2.5253085899,-1.3730748544,-1.4414713383,-1.2226803148,1.1364192666
abx_mega__lvx_dmso__1,0.0300015175,0.0351541105,-1.0915837913,-0.8993721645,-0.2985328256,-0.1227754323
abx_mega__bacit_h2o__3,2.1699850689,-3.0719010931,-3.0724238099,-0.9937902148000001,-1.1666394743,1.842083342
abx_mega__nor_naoh__2,-0.6225907055000001,0.9054789811,1.1464631220000001,-0.25540222900000004,-0.2058305195,-0.3056609431
abx_mega__amyc-d_dmso__2,0.2519222318,2.1786432003,1.2134750358,1.2517009074,-1.0322711043,-0.36055310500000004
abx_mega__polmyx_h2o__3,3.5411302007,-3.1429497140000002,-2.2041395746,-3.6904612311,1.2383038308,-0.7452061929
abx_mega__naoh-6__1,-0.3847780837,0.1112741497,-0.08721752540000001,-0.3248625584,0.3342815029,-0.19376253370000002
abx_mega__cst_h2o__2,1.0750941817,-0.3357663616,-0.5129801512000001,-0.0188302326,-0.1012611726,-0.1069060403
abx_mega__h2o-1b__2,1.2870021538,-2.1071603126,-1.6267876303,-0.8554400354,-1.1984862062000001,0.1476735541
abx_mega__rfp_h2o__1,2.1556449147,1.0444189645,1.6576436654000002,2.0845812926,-2.1752729067,0.2184687528
abx_mega__tet_h2o__1,0.2794324453,-2.1319087211,-0.5827990094000001,-0.8204157858000001,-0.9267373099,-0.3321838082
abx_mega__flavo_dmso__1,0.35073071780000004,-1.6449659583,-1.7126764421,-0.9132800384,-1.0267122471,1.1410073011
abx_mega__zeocin_h2o__1,1.8196655262,-0.2625667256,-1.4560920614000001,-0.6856464837,0.488730192,0.5042714405000001
abx_mega__nor_naoh__3,0.165621925,0.5606130136,0.6265660686,-0.3771558396,-0.30970809600000004,-0.7028224034
abx_mega__rach_dmso__2,0.7367138601000001,-0.2263059536,-1.203651768,-0.6479121655,0.2744020266,-0.3897788184
abx_mega__thio_dmso__2,1.168260682,-1.9675613194000001,0.0492532314,0.9087578616,-0.6725002051,0.6749000182
abx_mega__amyc-d_dmso__3,-1.7768232253,2.6569698135,1.4053386570000002,1.0370060361,-2.5418863935,-1.0340379245
abx_mega__rif_dmso__2,1.4202538645,2.4871426115,2.7270269393,2.0655773802,-0.5990711827,-0.5313228746
abx_mega__amyc-d_dmso__4,-0.2616520837,2.4672997353,1.7210075158,0.960147626,-0.6706961768,-0.3395083618
abx_mega__teix_dmso__3,-0.0542961718,-1.1728397895,-1.4782147131,-1.6317102306,-0.2693361888,-0.0744392624
abx_mega__valin_dmso__1,0.5780576147,0.3833199228,-0.3767676439,0.6080636418,-0.6643900960000001,-0.17103448070000002
abx_mega__teix_dmso__4,-0.19913972570000002,0.6959005214,-0.3000431813,-0.3579142788,0.0537517973,-0.3425261498
abx_mega__ethanol-10__1,1.5279883029999999,0.7176966884,-0.3829922609,1.2722308549,0.21829830690000002,0.7875061899
abx_mega__inh_h2o__1,2.5805746623,-0.2435831011,-1.5312679487,-0.7327210373,0.059987513900000004,0.12003723670000001
abx_mega__rif_dmso__3,2.3630336388,1.7043420878000002,1.1626932107,2.0376670159,-2.2560026482,-0.7659405174
abx_mega__van_dmso__3,1.4689747046,0.0278922705,0.34066572310000004,0.18376735700000002,-2.3216059006,0.7263733076000001
abx_mega__doxo_dmso__1,3.4891077774,0.7114492885,-1.5200894457,-0.5973638894000001,-1.5089800009,-0.6013224671
abx_mega__tmp_dmso__1,0.30806351530000003,0.479893453,-0.12381166460000001,-0.5300398863,-0.6424534597,-0.8785134040000001
abx_mega__ethanol-10__2,1.7378072689000001,0.25205146700000003,-1.4062341272,-0.218591113,0.18363056530000002,0.7901452873
abx_mega__tmp_dmso__2,0.6456691141,-0.057586964500000004,-0.6287617667000001,-0.8577849544,-0.5437951596,-1.0691180943
abx_mega__amyc-d_dmso__5,-3.0142667416,1.9121225458,0.8526378452000001,0.7401996772,-2.85537669,-1.224876475
abx_mega__novo_h2o__4,-0.5663987767,0.6097665779,0.2021108455,1.1001166972,-0.4674176111,-0.8674783247000001
abx_mega__cro_h2o__2,1.3200565034,-2.5994465329,-2.6027393814,-1.4400920118,-0.0723936322,-0.5275191918000001
abx_mega__cro_h2o__3,0.6098109792,-3.1231140534,-2.6275901444,-1.9964506101000001,-0.4480011884,-0.5277439766
abx_mega__gen_h2o__2,0.3839955155,-4.9543248985,-1.7014477846,-2.7183343802,-2.167161905,0.5715646187
abx_mega__phos_h2o__4,3.1431789415,-3.1277425702,-2.4581859073,-4.8910971814,0.6280308407,-0.4801473545
abx_mega__metro_dmso__2,0.5321234562,0.4152760186,1.2581171051,0.5840687245,0.3715130968,-0.2058316979
abx_mega__ery_h2o__2,3.5417932344,-2.0180888102,-0.2178661539,0.10187227930000001,-1.3674934092,-0.4031858943
abx_mega__sacet_h2o__1,3.0727377135,-0.1948645188,1.3686681192,0.9922695331,-4.1396324298,0.5258567861
abx_mega__nal_naoh__5,0.2425668515,-0.2520024628,-0.28383058240000003,-0.800287728,-0.33899609740000003,-1.0791491496
abx_mega__bacit_h2o__4,0.8867966237,-2.4599714223999998,-1.406122229,-1.2572790989,-1.4393239767,1.1625349641
abx_mega__cip_naoh__3,0.9550664117000001,-0.5039561531,-1.4850170806,-1.0287644981,-0.4572722638,-0.3946522053
abx_mega__ethanol-8__1,0.4237600293,0.06410913800000001,-1.1426991465,-0.3330580984,-0.9878976726,0.0892968809
abx_mega__h2o-8a__1,-0.165643162,-0.6118013976000001,-0.8141824234,-0.3969086083,-0.057919253000000004,0.3895898545
abx_mega__ery_h2o__3,1.4771323609,-1.9599985835,-1.0809776375,-0.2732299694,-0.9059199235000001,-0.9798657269000001
abx_mega__flavo_dmso__2,1.6949598217,-2.2889570474,-2.2510887843000003,-1.2344387918,-0.0418427398,-0.3558929129
abx_mega__rif_dmso__4,3.2967036075,1.799038221,1.4589715909,1.8366907833,-1.9003735265000001,-0.3203433341
abx_mega__novo_h2o__5,1.7760367732,-1.2711502776999999,-0.7557081366,-0.1755166437,-1.3002525699,-1.8907045999
abx_mega__teix_dmso__5,1.0666092311,0.2951519691,-1.6714548291,-0.9367536064,-0.0090669077,0.5235856839
abx_mega__naoh-2__1,2.4356626263,-2.9725627728,-2.4787426515,-4.8910971814,0.1985228637,-0.6960164566
abx_mega__novo_h2o__6,1.4500442649,-1.4445559099,-0.3935290685,0.0838947104,-1.3156570373,-1.5270626442
abx_mega__ctx_h2o__3,1.717623679,-3.6698576791,-3.1224787433,-2.7318894662,-0.4149296213,-0.4634139386
abx_mega__rach_dmso__3,0.7646246630000001,-1.2193333542,-2.9486539133000003,-1.0753116717,-0.24544042270000002,-0.5227460333
abx_mega__valin_dmso__2,0.5889010368,-0.1906119209,-0.18754661320000002,0.6424118412000001,-0.7259468871,-0.6079369570000001
abx_mega__amyc-d_dmso__6,-2.1490042136,2.3123967012,0.4404051054,1.1715743885,-2.0187565297,-0.5831907388
abx_mega__dox_dmso__2,-0.4777268692,1.3820300756,1.1711102859,0.1375857281,-0.27780351810000004,-0.5897015176
abx_mega__teix_dmso__6,0.9269836575,0.571848851,-2.1828391598,-0.9067711859,-0.3428818138,0.33302975900000004
abx_mega__naoh-6__2,0.7091711381,-0.433570328,0.2429309094,-0.5309814011,0.2934399706,-0.17128217310000002
abx_mega__inh_h2o__2,-0.2339461675,-0.5164639072,1.2137537669,3.1129248237000002,-3.0996293374,0.6983107852
abx_mega__chl_h2o__3,4.2301707937,-3.0775866468,-1.1024621673,0.089950447,-2.979639997,-0.047770770600000005
abx_mega__nal_naoh__6,0.1164147112,0.28145106740000003,0.0206374895,-0.659987785,-0.2488361346,-0.7783978846
abx_mega__chl_dmso__2,1.4174219337,-1.8958507005,0.6898100468,0.8791769017000001,-2.3852818131999998,0.5795485447000001
abx_mega__rach_dmso__4,1.8400012208,0.6555329397,-1.3743196683,-0.9470324642,0.1910102699,-0.4604892508
abx_mega__teix_dmso__7,1.9083633197,0.5721943913,-1.0668293136,-0.3240781942,-0.036463504,0.5469985911
abx_mega__ceru_ethanol__1,3.0805342983,1.0779205164,0.6245768559,2.5076182925,-0.8707349821,1.9391797668000001
abx_mega__dmso-7__1,1.4677438148,1.9622329109,-0.3094789572,0.7063442915,0.39644299200000005,-0.18206983540000002
abx_mega__naoh-6__3,0.1354207281,0.0692182702,0.3356057732,-0.34629161010000004,0.357894368,-0.2625622673
abx_mega__phos_ethanol__2,1.3998711251,-0.0967970304,-0.4240843804,0.220233277,0.30240131670000003,0.6362886964000001
abx_mega__metro_dmso__3,1.0569457466,0.3333191813,1.3486063755,0.4160830991,0.4065183956,-0.24292153970000002
abx_mega__van_dmso__4,0.9942778733000001,-0.2620286464,0.25340080930000003,0.26548519800000003,-2.2230310181,0.6048608691
abx_mega__h2o-10__1,1.5464175866,-1.0495686776,-1.6253708915,-1.2279605187,0.4197516042,0.7306458363
abx_mega__h2o-10__2,2.4075939656,-1.1150714301,-1.2911718066,-0.6423233591,0.27261994300000003,0.47634399800000005
abx_mega__dmso-6__3,-0.14250198860000002,1.9029085629,1.6873485281,1.2214580611,0.12147280120000001,-0.3464694589
abx_mega__mem_dmso__1,1.2131916517,-0.6197874677,-1.6380481919,-1.2048870876,-0.1079874895,-0.2505482308
abx_mega__ethanol-8__2,0.5684926333,-0.12775472400000001,-0.49721029310000003,-0.081813516,-1.3506261458,0.6124656474
abx_mega__chl_h2o__4,2.590296193,-4.9543248985,-1.3993768753,0.0519022907,-2.3509419834,-0.0719270178
abx_mega__van_h2o__1,-0.6425668124,-1.7893360891,-0.6970904211000001,-1.04505682,-0.7674267516000001,0.6540059885
abx_mega__dcs_h2o__1,1.9927687245,-0.13565808710000002,-0.6436700295000001,-0.029180954800000002,0.365407288,0.4711092564
abx_mega__rif_dmso__5,0.6075921334000001,1.5191894561,1.0658776417,1.4803294006,-0.5055140204,-0.5450956153000001
abx_mega__dox_dmso__3,0.4538928849,-0.3391652087,-1.2253160951,-0.11473524700000001,0.2856674088,0.2452439907
abx_mega__mem_dmso__2,-1.3054893573,0.059936557,-0.9999387465,-1.0600606308,-0.479906885,-0.1035126536
abx_mega__lvx_dmso__2,-0.3405032363,0.5181622808,-0.34134591410000004,-0.4259850021,0.0712851904,-0.009095269900000001
abx_mega__tet_h2o__2,4.4664367691,-1.9162773740999999,1.6110508811000002,2.2387106573,-1.9753799322,1.087692968
abx_mega__phos_h2o__5,3.6209384116,-4.9543248985,-3.3560239774,-3.8632825184,0.9219050390000001,-0.3560818886
abx_mega__monac_dmso__1,2.4561994902,-1.9664685955,-1.9532054695,-1.0091629269,-1.3468475501000001,1.7535099344
abx_mega__str_h2o__3,1.8022110079,-1.7601172909,-2.6726129792,-1.4221182586,0.2256753032,0.5170498195000001
abx_mega__zeocin_h2o__2,3.4804237266999998,-1.0594771918,-0.9882422247,-0.3206705268,-0.0691565241,-1.0193472069
abx_mega__amyc-d_dmso__7,-2.3654619339,2.4613174268,0.1399522441,0.8130415005,-2.3479712186,-0.523282682
abx_mega__fidax_dmso__1,2.7548653688,1.278167899,-0.5453488694,0.5443926844,0.0087028444,0.43947406520000004
abx_mega__h2o-1a__1,-0.14411695400000002,-0.030163769400000002,0.22966816110000002,-0.1223820494,-0.0626134158,0.0446724711
abx_mega__dox_dmso__4,-0.8646979285,0.9148591133,-0.1029815256,-0.2441944158,0.36704257560000003,-0.2893820741
abx_mega__lzd_dmso__2,0.0710120778,-4.5166815677,-1.9456735139,-0.6653013488,-0.706115221,-0.2117878394
abx_mega__tet_h2o__3,0.7710631574,-2.7467429878000003,-0.6032791315,-0.5302797124,-0.8130634488,-0.3179564891
abx_mega__dmso-1__2,-0.1775001668,0.9267932156,-0.0946637461,0.1371072115,-0.3540265952,0.08899595980000001
abx_mega__sxt_dmso__2,-0.322046948,-0.7001653907000001,-0.6450425211,0.7793700425000001,-0.319712059,0.028312995400000002
abx_mega__tric_ethanol__2,2.1008112488,1.8270244221,0.6500235939,1.9463973842,-1.1120095257,1.3392921219
abx_mega__teix_dmso__8,-0.15785504590000002,-1.6578827532,-1.6148922651,-1.2011162943,-0.507126293,-0.9200105722
abx_mega__ramo_h2o__2,2.0678731523,-1.3195446075000001,-1.9851563352000001,-1.269186194,-0.41745101490000003,1.5403945842
abx_mega__inh_h2o__3,2.4404621545,-1.4320238697,-1.9797951042,-2.0677290612,-0.0018033885000000001,0.5704792652
abx_mega__cst_h2o__3,1.4242976953,-0.6072021213000001,-1.1715805594,-0.46579445480000004,-0.3268088257,0.1799193872
abx_mega__dmso-9__1,0.5242086634,0.6436057614,-0.3400528087,0.0104689025,-0.0474623699,0.4667043355
abx_mega__ethanol-8__3,0.6783035956,0.3541610036,-0.8342393238,-0.1248935386,-0.5647240072,0.20339786340000002
abx_mega__monac_dmso__2,2.7896014052,-2.8139210524,-1.8003626640000001,-1.6847850133,-1.7755475748,1.7636918297
abx_mega__dmso-9__2,0.9171006873,0.6788051904,-0.5567476294,-0.0470832166,-0.0740367488,0.3315411609
abx_mega__metro_dmso__4,0.5065241359,0.7832718772,0.49314829050000003,0.5276744011,0.1307398746,-0.35813353740000003
abx_mega__ctx_h2o__4,1.945622077,-2.2767975008,-2.7378240187,-2.5955616505,-0.1200287127,-0.36327625890000004
abx_mega__zeocin_h2o__3,4.2620921593,-0.5876932126000001,-0.1151507559,-0.8553006082,0.40978410870000004,-0.9242360812
abx_mega__bacit_h2o__5,2.4632796335,-0.840905199,-1.131116067,-0.2959685241,-1.2568144443,1.1244853324
abx_mega__reta_dmso__1,0.7530383496,-1.8126983510999999,-0.0583735658,1.0162072457,-0.4486225251,0.2482560155
abx_mega__ery_h2o__4,4.2218780514,-0.819631941,1.7956901916999999,2.5364021452000003,-2.7318125279,0.6052921899
abx_mega__ceru_ethanol__2,1.725457534,-0.2229935604,0.6878821351000001,1.8051813532,-2.3731000759,1.6927350389
abx_mega__fidax_dmso__2,2.0866480218,0.7803203105000001,-0.9037213132,0.249849701,0.0470500895,0.4568848408
abx_mega__novo_dmso__1,1.5737944733,0.26814920130000003,0.07083677790000001,1.167048477,-0.1513770067,-0.9789359647
abx_mega__naoh-6__4,1.9290362041,-0.2494912223,0.5120405033000001,-0.4191395918,0.2112592419,-0.16993395320000002
abx_mega__amyc-d_dmso__8,-0.11398364180000001,2.0929095148,1.6203477468,1.0781019275000001,-0.7967600378,-0.30292878300000003
abx_mega__chl_dmso__3,1.5949935507,-1.9562912745,0.635566681,1.0763743969,-2.0066052691,0.5264198142000001
abx_mega__nal_naoh__7,0.5754518576000001,0.0198516907,-0.9308079283,-0.9788826219000001,-0.1807907456,0.2397725474
abx_mega__teix_dmso__9,1.3551244097000001,0.6525305375,-1.8487120163,-0.6984002971000001,-0.1308961337,0.5519567652
abx_mega__ery_dmso__3,0.5137557895,-3.0309320467,-0.0555601568,0.7573474003,-1.5743659265,-0.2960727922
abx_mega__tmp_dmso__3,0.8176845938,0.7105428434000001,-0.0198128219,-0.7251003142,-0.7164231473,-0.9535799394000001
abx_mega__sxt_dmso__3,2.2272914778,-0.5699347735,-1.5373330517000001,0.4155098595,-0.3464155807,0.1879820745
abx_mega__polmyx_h2o__4,3.2149565393,-4.9543248985,-2.4361986097,-2.8194800238,0.7050455701,-0.33462678430000004
abx_mega__mem_dmso__3,-0.06516453430000001,0.1775386341,-1.1215918381,-0.5045200351,-0.42194322710000004,0.4853458886
abx_mega__nal_naoh__8,0.5874108594,-2.6538506584,-2.4321687235000002,-3.9291861793000002,-0.25385139830000003,-1.5466922668
abx_mega__pen_h2o__3,0.3226166291,-0.9920698066,-0.9942600170000001,-1.0626506032,-0.7709574188,0.3364849925
abx_mega__van_dmso__5,0.9703487956,-0.38855835320000004,-0.2741974699,-0.8520464807,-2.2495941643,0.5538937326
abx_mega__zeocin_h2o__4,2.5974494204000003,-1.1864130107,-2.3977767625,-4.8910971814,0.0638385415,-0.9333736147
abx_mega__h2o-6__2,0.085559434,-0.10067935880000001,-0.5544296793,-0.6073435347,0.4446198277,-0.43851679990000003
abx_mega__tet_h2o__4,0.6961244552,-1.7182570855,-0.6694465951,-0.5707622161,-0.8968994548,-0.6122638961
abx_mega__nor_naoh__4,0.9828956113,0.0152697274,-0.8690630574,-0.8157736804,-0.06288396360000001,0.0192414513
abx_mega__cip_naoh__4,0.1621445628,1.5946622867,1.4431127885000001,0.3737364373,-0.3316129689,-0.4865215724
abx_mega__tmp_dmso__4,0.047668026700000005,1.5283246176,0.42413899320000004,0.0470449177,-0.8474655168,-0.7272492188
