,A,Fnr,ihfB
rpoB__wt_lb__2,3.3599404369,-0.47569201600000005,0.29310171500000004
rpoB__rpoBE546V_031__1,1.2767312171,-0.21907488400000003,0.34542376500000005
rpoB__rpoBE546V_044__1,1.6579367132,-0.29527451800000004,0.433644805
rpoB__rpoBE546V_lb__1,4.3537479907,-0.177257513,0.154811065
rpoB__rpoBE546V_lb__2,4.1201652341,-0.18967989200000002,0.184431905
rpoB__rpoBE546V_glc__1,0.1192433195,-0.139703868,-0.25137586500000003
rpoB__rpoBE672K_glc__1,1.9069389421,-0.21448740600000002,-0.868628418
rpoB__rpoBE672K_glc__2,1.833371514,-0.21332366900000002,-0.841749195
rpoB__rpoBE672K_lb__1,-2.2540458114,-0.31724649200000005,-0.730282673
rpoB__rpoBE672K_lb__2,-2.3608054282,-0.309938502,-0.70811133
crp__wt_fru__1,1.4938709966000001,-0.222994296,-0.120886425
crp__wt_glyc__1,2.7076434833,-0.174284776,-0.235195225
crp__wt_glyc__2,2.8196889163,-0.089958595,-0.226979175
crp__delar1_glyc__1,-0.7103606708,-1.2857264019999999,0.817711665
crp__delar1_glyc__2,-2.3293013278,-1.501529713,0.8890342950000001
crp__delar1ar2_glyc__1,-0.5019207321,-0.155629982,0.427391075
crp__delar1ar2_glyc__2,-0.4796523036,-0.114934488,0.49290713500000005
crp__delar1ar2_glyc__3,-0.5636691612,-0.147109753,0.45579148500000005
crp__delar2_glyc__1,2.250017059,-1.271483779,1.075854265
crp__delar2_glyc__2,2.7749544334,-1.177351436,0.8624663450000001
crp__delar2_glyc__3,3.0195468267,-1.174853432,0.782298315
crp__delcrp_fru__1,-0.9377183394,-0.24670364600000003,0.7741806250000001
crp__delcrp_fru__2,0.1437601278,-0.217710901,0.780515025
crp__delcrp_fru__3,-0.7285738901000001,-0.34636329800000004,0.668204965
crp__delcrp_glc__1,-0.9297315549,-0.14795257,0.9036337950000001
crp__delcrp_glc__2,-1.5678047562000001,-0.13383598800000002,0.880205215
crp__delcrp_glc__3,-1.3187062437,-0.24589322600000002,0.9120195050000001
crp__delcrp_glyc__1,-2.2413376806,-0.17621799900000001,0.895131325
crp__delcrp_glyc__2,-1.9471247941,-0.25661334,0.8307353350000001
crp__delcrp_glyc__3,-1.9133423208,-0.279568501,0.894754805
glu__glu_ale3__1,2.420810491,-1.531208371,0.6064907850000001
glu__glu_ale4__1,4.9454333547000005,-0.333096123,-0.26191363500000003
glu__glu_ale5__1,1.8229654825,-0.77865494,-0.846024697
glu__glu_ale6__1,5.0651088577,-0.12059369700000001,-0.775242359
glu__glu_ale8__1,0.7840288448,-1.378413375,0.6607472950000001
glu__glu_ale9__1,5.8574783766,-0.7807343670000001,-0.066971575
glu__glu_ale10__1,3.1158995045,-1.360002336,0.21387256500000001
42c__wt_42c__1,2.6446379115000003,-1.014558191,-0.314610025
42c__42c_ale1__1,4.1016377233,-1.871778225,0.116353545
42c__42c_ale2__1,3.9741857167,-0.44312802300000004,-0.254239745
42c__42c_ale3__1,4.8736018648,-0.17273049999999998,-0.295363645
42c__42c_ale4__1,2.3864952857,-0.320755442,-0.598037926
42c__42c_ale5__1,6.1201924348,-0.527302844,-0.42064137500000004
42c__42c_ale6__1,4.8452148011,-1.720490645,-0.051506065000000004
42c__42c_ale8__1,3.1295450719,-0.7990813750000001,0.068028155
42c__42c_ale9__1,4.4806399677,-0.447372739,-0.241751655
42c__42c_ale10__1,3.6318809314,-0.9696312210000001,-0.179127275
ssw__wt_ac__1,-3.5363668403,-0.80825286,-0.346710805
ssw__wt_glc__1,3.2705039267,-0.249604124,-0.342105245
ssw__wt_glyc__1,2.7511488313,-0.396644965,-0.589388949
ssw__wt_xyl__1,0.4258369715,0.21574725800000003,-0.050211675000000004
ssw__glc_ale1__1,3.5922332978,-0.46381721600000003,0.112337685
ssw__glc_ale2__1,3.5167931371,-1.5070222580000001,0.8555401050000001
ssw__glc_ale3__1,4.4040573204,-1.237537221,0.353007465
ssw__glyc_ale1__1,4.6133339911,-0.391325409,0.5749310550000001
ssw__glyc_ale2__1,4.408478181,-1.29649857,0.20948735500000001
ssw__xyl_ale1__1,1.6035992022,-0.9544926520000001,0.125166975
ssw__xyl_ale2__1,1.6362238951,-0.635754672,-0.22523246500000002
ssw__xyl_ale3__1,3.896496448,-0.9828595450000001,-0.522299721
ssw__glc_ac_ac2__1,2.2904522741,-2.294399248,0.171467045
ssw__glc_ac_glc1__1,2.7280202763,-0.356102436,0.336416765
ssw__glc_glyc_glc__1,0.6139257057,-1.465999144,0.527257035
ssw__glc_glyc_glyc__1,1.244675373,-0.580660179,0.27466824500000003
ssw__glc_xyl_glc__1,0.2914484727,-1.242127184,-0.35453504500000005
ssw__glc_xyl_xyl__1,0.2430549378,-0.7752710380000001,-0.20853702500000001
ica__wt_glc__1,2.0912628854,-0.7268877690000001,-1.114766093
ica__wt_glc__2,2.4700090834,-0.769908319,-1.198454692
ica__wt_glc__3,2.3302387076,-0.5550889640000001,-0.531726669
ica__wt_glc__4,0.4701064025,-0.70189007,-0.262344285
ica__arg_sbt__1,7.5934243347,-0.9857155870000001,-0.713059603
ica__arg_sbt__2,7.6530968013,-0.8052297820000001,-0.552746132
ica__cytd_rib__1,1.293130901,-0.643594239,0.8413076650000001
ica__cytd_rib__2,0.6718812478,-0.6875447610000001,0.716887895
ica__gth__1,-4.0251342444,-0.814034076,0.23464762500000003
ica__gth__2,-3.2550516604,-0.919774324,0.036029945
ica__leu_glcr__1,4.4798632181,-0.538158396,-0.38924391500000005
ica__leu_glcr__2,4.5209542827,-0.539788284,-0.49012625
ica__met_glc__1,7.2832174067,-0.73392979,-1.2518318019999999
ica__met_glc__2,7.459289105,-0.730469433,-1.190588725
ica__no3_anaero__1,0.21628716180000002,-0.799681293,-0.11737177500000001
ica__no3_anaero__2,-0.1266284299,-0.764805285,-0.23463296500000003
ica__phe_acgam__1,3.3886170392,-0.558335586,-0.88716264
ica__phe_acgam__2,3.603587481,-0.491804536,-1.056596459
ica__thm_gal__1,2.6145031621,-0.620650347,-0.164828625
ica__thm_gal__2,2.9265877239,-0.6047507440000001,-0.156698685
ica__tyr_glcn__1,4.2289305915,-0.603412708,-0.612021456
ica__tyr_glcn__2,4.6613768077,-0.601450473,-0.6368662970000001
ica__ura_pyr__1,1.3690101386,-0.589455429,-0.315836855
ica__ura_pyr__2,0.8270018652000001,-0.5449526920000001,-0.11250578500000001
ica__wt_glc__5,2.7306917292,-0.6705241160000001,-0.197048255
ica__wt_glc__6,3.3962543898,-0.606799751,-0.016725155000000002
ica__bw_delpurR_cytd__1,0.9881404956000001,-0.719011072,-0.756265837
ica__bw_delpurR_cytd__2,0.6265838471,-0.696804961,-0.246303875
ica__ade_glc__1,0.6522712496,-0.670683031,-0.308254705
ica__ade_glc__2,0.23654866160000002,-0.7218945370000001,-0.753961313
ytf__wt_glc__1,-1.7135532433,-1.016246127,0.048335155000000005
ytf__wt_glc__2,-0.8528722488,-1.308233625,0.008906585
ytf__delyafC__1,-2.8256068456000003,-1.716427353,0.9312559250000001
ytf__delyafC__2,-3.7077072915000002,-1.621011786,0.8762793350000001
ytf__delyeiE__1,-1.1979747391,-0.146112814,0.374492025
ytf__delyeiE__2,1.2496344561,-0.43263766000000003,0.10842385500000001
ytf__delyiaJ__1,-1.6200469852000001,-1.55639051,0.8927779450000001
ytf__delyiaJ__2,-2.0073261151,-0.8717574610000001,0.9751252050000001
ytf__delyieP__1,0.3098605102,-1.347170503,0.41649266500000004
ytf__delyieP__2,0.06769820630000001,-1.305195932,0.42112533500000005
ytf__wt_ph5__1,-0.4267421449,-0.557043083,0.077391735
ytf__wt_ph5__2,-0.6489229777000001,-0.5606580010000001,0.130486615
ytf__wt_ph8__1,-3.9334983842,-0.5787427820000001,0.172641955
ytf__wt_ph8__2,-3.2256920515,-0.39573632200000003,0.207431095
ytf__delybaO__1,-0.838466252,-1.65527256,0.7855035850000001
ytf__delybaO__2,-1.2043608114,-1.4105320030000001,0.670479245
ytf__delybaQ__1,-1.6855863918,-0.606795733,-0.104676025
ytf__delybaQ__2,-1.4504062598,-0.583630595,-0.139979205
ytf__delybiH__1,-4.0122272159,-0.978089003,0.183526605
ytf__delybiH__2,-5.2512152722,-1.476111577,0.5048975450000001
ytf__delydcI_ph5__1,-0.1257354308,-0.604571167,-0.133531365
ytf__delydcI_ph5__2,-0.48093982830000004,-0.61283708,-0.094717825
ytf__delydcI_ph8__1,-3.6796473350000003,-0.49415536200000004,0.292940975
ytf__delydcI_ph8__2,-2.7485624121,-0.629762844,-0.073970795
ytf__delyddM__1,0.49600459430000005,-0.522693497,0.5608763050000001
ytf__delyddM__2,0.18601529900000002,-0.42543202100000005,0.493183935
ytf__delyheO__1,-1.2481096673,-1.821853724,0.7981991850000001
ytf__delyheO__2,-1.657160503,-1.82958307,0.797997595
fps__bw_glc__1,-0.8022875626,-0.6606700440000001,-0.593982416
fps__bw_glc__2,-0.6815406803,-0.7722607140000001,-0.46387607100000006
fps__fps_thrA_ale1__1,1.4726426599,-0.567476288,0.250692175
fps__fps_thrA_ale1__2,1.7449258578,-0.710008164,0.117195875
fps__fps_thrA_ale2__1,1.2788889404,-0.708427322,-0.056704485000000006
fps__fps_thrA_ale2__2,1.5441854113,-0.674129635,-0.07788523500000001
fps__fps_serB_ale1__1,-2.288827733,-0.747203834,-0.053282165000000006
fps__fps_serB_ale1__2,-2.4004441936,-0.6559473680000001,-0.17460455500000002
fps__fps_serB_ale4__1,-6.5807124254,-1.184646649,0.330804415
fps__fps_serB_ale4__2,-6.5844905875,-1.019253874,0.34874165500000004
fps__fps_ptsI_ale1__1,0.3247883637,-0.9269502930000001,0.18153876500000002
fps__fps_ptsI_ale1__2,0.4207549286,-0.8308143870000001,0.07463568500000001
fps__fps_ptsI_ale3__1,-0.6142182552000001,-0.8180644960000001,-0.048072745
fps__fps_ptsI_ale3__2,-0.46287783330000004,-0.8140812820000001,-0.084592575
pal__lyx_ale2_f6__1,1.0887276799,-0.499433516,0.168173235
pal__lyx_ale2__1,1.5195129783999999,-0.5389567430000001,0.40226726500000004
pal__lyx_ale2__2,1.2991311495,-0.523578816,0.31857179500000005
pal__lyx_ale4__1,0.3201081867,-0.7789653710000001,-0.18964956500000002
pal__lyx_ale4__2,0.5722189865,-0.754669546,-0.254357585
pal__5drib_ale10_f18__1,3.9123257663,-0.858436865,-0.26528265500000003
pal__5drib_ale10_f18__2,4.6304762869000005,-0.753607601,-0.279414645
pal__5drib_ale10__1,3.6728840103,-0.6081119500000001,-0.027787695
pal__arab_ale14_f9__1,0.3375625659,-0.650729125,0.353868815
pal__arab_ale14_f9__2,-0.6756183715,-0.579090658,0.41974093500000004
pal__arab_ale14__1,2.9440151307,-0.56126696,-0.073725045
pal__arab_ale14__2,2.8386188413999998,-0.632727778,-0.208171285
pal__arab_ale16__1,3.5300839456,-0.664846897,-0.6507081960000001
pal__arab_ale16__2,2.3399881423,-0.686483075,-0.478276798
pal__tartr_ale26_f10__1,2.1245397877,-0.703734273,0.186856515
pal__tartr_ale26_f10__2,1.1859833446,-0.660902781,0.250459455
pal__tartr_ale26__1,2.6671950249,-0.7898414690000001,0.135640005
pal__tartr_ale26__2,2.5748215552,-0.794304505,-0.011190665
pal__tartr_ale28_f10__1,-0.10290112010000001,-0.6169361680000001,0.428030885
pal__tartr_ale28_f10__2,0.1475468913,-0.6927632880000001,0.205704095
pal__tartr_ale28__1,2.6738940979,-0.7137339220000001,-0.166460525
pal__tartr_ale28__2,2.1313653711000002,-0.652156995,-0.06146080500000001
efeU__delmenFentC_citr__1,-0.5701945357,-1.164833993,-0.145626785
efeU__delmenFentC_citr__2,-0.4210474743,-1.284891394,-0.116302715
efeU__delmenFentC__1,-3.2552738222,-0.5161069770000001,0.549578395
efeU__delmenFentC__2,-3.2038985086,-0.5080433480000001,0.43058213500000003
efeU__menFentC_ale39__1,1.6001765954,-2.10984967,0.190655385
efeU__menFentC_ale39__2,1.5142796419,-2.096847789,0.252124195
efeU__menFentC_ale29__1,1.7019557781999999,-2.366996998,0.5006850850000001
efeU__menFentC_ale29__2,2.0114202413,-2.395424304,0.521677585
efeU__menFentC_ale30__1,2.4310504733,-0.5423336,-0.189715765
efeU__menFentC_ale30__2,3.2122177557000002,-0.41125174000000003,-0.220002785
efeU__menFentCubiC_ale36__1,-3.1680896957,-0.459053835,0.28719155500000004
efeU__menFentCubiC_ale36__2,-3.1193126631,-0.5276504510000001,0.25688472500000004
efeU__menFentCubiC_ale37__1,-1.4601776354,-0.42921199800000004,0.346392305
efeU__menFentCubiC_ale37__2,-0.7270121076,-0.379678224,0.490369765
efeU__menFentCubiC_ale38__1,3.4836438663,-0.403674517,-0.32222528500000003
efeU__menFentCubiC_ale38__2,3.4412226772,-0.37325750100000005,-0.262492545
misc2__salc_glc__1,5.1302431664,-0.22932395800000002,-0.24330995500000002
misc2__salc_glc__2,5.2620418643,-0.033457264,-0.073045625
misc2__dbcn_glc__1,3.1862497678,-0.7301900130000001,-1.271892759
misc2__dbcn_glc__2,2.0970819896,-0.809273511,-0.634524159
misc2__tyr_glc__1,1.8884658188,-0.557564307,0.254435625
misc2__tyr_glc__2,1.8957622516,-0.55390057,0.410888815
misc2__arg_cytd__1,2.4688324263,-1.103463808,-0.48980773
misc2__arg_cytd__2,2.4217326936,-0.7432087820000001,-0.5114058730000001
misc2__delyheO_pyr__1,2.7172856023,-0.7526202150000001,0.115925255
misc2__delyheO_pyr__2,2.3059786666,-0.41916110700000003,0.059341995
nquinone__delubiC__1,3.6007824102,-0.609506733,-0.316502855
nquinone__delubiC__2,2.7231773916,-0.60441007,-0.027274305000000002
nquinone__ubiC_ale1__1,1.4732223786,-0.43235832,0.21852216500000002
nquinone__ubiC_ale1__2,0.8575084951,-0.606702598,0.089544445
nquinone__ubiC_ale2__1,1.1028199017,-0.5499352390000001,0.25115724500000003
nquinone__ubiC_ale2__2,1.7149109524,-0.502872402,0.231592915
nquinone__ubiC_ale3__1,1.3039725742,-0.582336814,-0.39827128500000003
nquinone__ubiC_ale3__2,1.8806306080000001,-0.559977896,-0.361897055
nquinone__ubiC_ale4__1,0.1729808719,-0.600151792,0.234477855
nquinone__ubiC_ale4__2,0.4447264897,-0.536388949,0.152283425
nquinone__delpdhR__1,1.7732028167,-0.8817682130000001,-0.068099535
nquinone__delpdhR__2,0.9170965639,-0.867665945,-0.036035855000000006
quinone__glu_ale4__1,3.3068900479,-0.7937296570000001,-0.18176504500000001
quinone__glu_ale4__2,3.8007294817,-1.334528925,0.269205825
quinone__delmenF__1,-0.5624099450000001,-0.626396132,0.148042285
quinone__delmenF__2,-0.1323273506,-0.590486033,-0.250908275
quinone__menF_ale5__1,0.5421521613,-1.5730570959999999,0.48513176500000005
quinone__menF_ale5__2,0.7084786034,-1.5773257790000001,0.266281765
quinone__menF_ale6__1,-0.2742828064,-2.032580734,0.38202392500000004
quinone__menF_ale6__2,-0.2898196851,-2.029661312,0.421074335
quinone__menF_ale7__1,-0.6624513766,-2.266448492,0.636740065
quinone__menF_ale7__2,-0.2768739127,-2.358642473,0.691051775
quinone__menF_ale8__1,0.8659239615000001,-2.30937575,0.695164695
quinone__menF_ale8__2,0.46642963860000003,-0.821020288,0.971904815
quinone__delmenFubiC__1,0.8251227051000001,-0.544667939,0.045415855000000005
quinone__delmenFubiC__2,1.4833561287,-0.530756546,0.152257115
quinone__menFubiC_ale1__1,1.2617093001,-2.548110757,0.5501011250000001
quinone__menFubiC_ale1__2,1.1807843625,-2.574525767,0.532344675
quinone__menFubiC_ale2__1,-0.31993157170000003,-2.5041279210000003,0.626683035
quinone__menFubiC_ale2__2,-0.6796236807,-2.445112978,0.596736845
quinone__menFubiC_ale3__1,1.3363939662,-0.505443239,-0.15358316500000002
quinone__menFubiC_ale3__2,1.5181583495000002,-0.5051048730000001,-0.036589665
quinone__menFubiC_ale4__1,0.3734851906,-1.639778015,0.775029505
quinone__menFubiC_ale4__2,-0.2103197171,-1.525707863,0.8413603550000001
oxyR__wt_glc__1,3.2698966449,-0.8089780310000001,-0.48556983000000004
oxyR__wt_glc__2,3.2615143452,-0.6878140150000001,-0.46299467600000005
oxyR__wt_h2o2__1,3.0646562697,-0.770999387,-0.5230424
oxyR__wt_h2o2__2,3.1761759218,-0.5165665970000001,0.050135135000000004
oxyR__glu_ale4__1,4.4376198898,-0.49981868,0.5308955750000001
oxyR__glu_ale4__2,5.3344615644,-1.053543247,0.239963105
oxyR__glu_ale4_h2o2__1,4.9288650882,-0.876172555,0.321393215
oxyR__glu_ale4_h2o2__2,6.7977522676,-1.004410894,0.175331545
oxyR__oxyR_ale17__1,5.9758366739,-0.9421467330000001,-0.012998075000000001
oxyR__oxyR_ale17__2,6.8693287674,-1.093086918,-0.17918820500000002
oxyR__oxyR_ale17_h2o2__1,4.6234126305,-0.979628476,0.11520936500000001
oxyR__oxyR_ale17_h2o2__2,5.0074036802,-0.589808277,-0.10849309500000001
oxyR__oxyR_ale18__1,4.7845229239,-1.166562635,-0.712682895
oxyR__oxyR_ale18__2,5.1005330328,-0.672576971,-0.45515782
oxyR__oxyR_ale18_h2o2__1,9.7471633348,-1.09189336,-0.19995716500000002
oxyR__oxyR_ale18_h2o2__2,9.1997764443,-1.139352826,-0.057134725000000004
oxyR__oxyR_ale19__1,2.8924541275999998,-1.045196496,-0.6934130190000001
oxyR__oxyR_ale19__2,4.5837093767,-0.7250733540000001,-0.61577951
oxyR__oxyR_ale19_h2o2__1,3.6508362073000002,-0.735836771,-0.8395102720000001
oxyR__oxyR_ale19_h2o2__2,3.3955515883,-0.803938064,-0.70593072
oxyR__oxyR_ale20__1,7.6888387266,-1.402755684,-0.6174351720000001
oxyR__oxyR_ale20__2,7.5488208536,-1.428067927,-0.7454431260000001
oxyR__oxyR_ale20_h2o2__1,7.2250324499,-1.098697508,-0.553778804
oxyR__oxyR_ale20_h2o2__2,7.5156411019,-1.1274932340000001,-0.39342944500000004
svns_pgi__BmePgi24_15__1,0.9198458136000001,-0.5360552860000001,-0.242068375
svns_pgi__BmePgi24_15__2,0.18014565100000002,-0.536045576,-0.145811075
svns_pgi__BmePgi24_26__1,-0.6817427629,-0.524884001,-0.22252184500000002
svns_pgi__BmePgi24_26__2,-1.6458771087000001,-0.48640995000000004,-0.290125915
svns_pgi__BmePgi24_41__1,0.1521346818,-0.446965349,0.818727175
svns_pgi__BmePgi24_41__2,0.7547875768000001,-0.467055863,-0.43698767
svns_pgi__BmePgi24_52__1,0.9410966256000001,-0.494457847,-0.23280757500000002
svns_pgi__BmePgi24_52__2,-0.21034956570000002,-0.541468839,-0.44035611500000005
svns_pgi__PaePgi2_34__1,-1.7352108285,-0.355877681,0.48633563500000004
svns_pgi__PaePgi2_34__2,-1.9895099975,-0.371652078,0.469224085
svns_pgi__PaePgi2_63__1,-1.6234372731,-0.330622578,0.310422755
svns_pgi__PaePgi2_63__2,-1.252060631,-0.390185284,0.406436905
svns_pgi__PaePgi24_54__1,-1.5342649444,-0.8311115560000001,0.107600365
svns_pgi__PaePgi24_54__2,-1.8709159198,-0.8662979580000001,0.14424013500000002
svns_pgi__PaePgi24_90__1,-2.1989781988,-0.770292729,0.21443858500000001
svns_pgi__PaePgi24_90__2,-2.8083515017,-0.7893792930000001,0.256181475
abx_media__m9_ctrl__1,0.0824722989,-0.893828944,-0.7748466310000001
abx_media__m9_ctrl__2,-0.7720310144,-0.8991160770000001,-0.64266658
abx_media__rpmi_ctrl__1,-14.6807073809,-1.5575180670000002,-1.939577305
abx_media__rpmi_ctrl__2,-13.8389987224,-1.58392193,-2.241790295
abx_media__camhb_ctrl__1,-12.0005761323,-1.179529736,-1.209246395
abx_media__camhb_ctrl__2,-11.7111627894,-1.261389653,-1.408883126
abx_media__m9_mero__1,-2.8030875340000003,-0.9119070650000001,-0.692410551
abx_media__m9_mero__2,0.4815646199,-1.133278434,-0.760633267
abx_media__rpmi_mero__1,-13.3089949704,-1.653565839,-2.122024952
abx_media__rpmi_mero__2,-13.9804554473,-1.832894068,-1.985576121
abx_media__camhb_mero__1,-11.3609800437,-1.464487794,-1.809309373
abx_media__camhb_mero__2,-11.2241425082,-1.4166246660000001,-1.769452582
abx_media__m9_trisulf__1,4.9355398135,-0.46760251500000005,-0.654139134
abx_media__m9_trisulf__2,4.9309579056,-0.569228457,-0.673502463
abx_media__rpmi_trisulf__1,-13.7942976543,-0.7884398340000001,-1.495545031
abx_media__rpmi_trisulf__2,-13.9653210617,-0.754359556,-1.3725593790000001
abx_media__camhb_trisulf__1,-11.2193425657,-0.686895557,-1.642703878
abx_media__camhb_trisulf__2,-11.4224861107,-0.741423825,-1.608883975
abx_media__m9_cef__1,2.5893948971,-0.60199696,-0.7174840370000001
abx_media__m9_cef__2,2.9312126644000003,-0.801525192,-0.795013022
