,A,CsgD,ihfB,MlrA,MqsA,CpxR,RstA,hns,BtsR,FliZ,Cra,rcsB,OmpR,BasR,Crp,RcdA
ecoli_00017,1.886504762,0.72531287,0.33218594500000004,0.549829774,-0.1422329235,0.003416019,0.47837226050000003,-0.15523974000000001,-0.0114852465,0.3083133565,-0.1426848045,0.108337662,0.5208449365,0.161289503,0.43240872300000005,0.07825267250000001
ecoli_00018,1.5039778688,0.6722059250000001,0.239560985,0.661280619,-0.19089801750000002,-0.023407665,0.46060794250000003,-0.13083348,0.1837235605,0.6903257665,-0.2107098605,0.072209356,0.4388766685,0.20872923300000001,0.482436193,-0.0670982225
ecoli_00019,-0.46613548380000003,0.806856758,0.946614625,1.8091560160000002,3.0487724845,0.161531063,-0.0679146245,0.48668311000000003,-0.7754807875,0.6379101805,-0.9948958295,0.23190697000000002,1.6675239165,1.483156371,0.17662370300000002,-0.0508669255
ecoli_00020,-0.5641720834,0.658113489,0.9488081850000001,1.674774857,2.9299924895,0.244877788,-0.1701084965,0.38230353,-0.6519271775000001,0.6319914995,-1.0895483045,0.236120992,1.7681886635000001,1.456662307,0.24038529300000003,0.2210400335
ecoli_00021,-0.7916992499000001,0.762357433,0.874908725,1.165694507,1.8017341065,-0.10101905500000001,-0.0466011135,0.55926339,-0.6496301435,0.5573718185000001,-0.22714133450000001,0.630127003,2.2664033475,1.60976741,0.513155013,0.29585781450000004
ecoli_00022,-1.1645667813,0.720336713,0.9672342150000001,1.268618065,1.7657711875,-0.118285491,0.0026436205,0.64062106,-0.6936894945000001,0.6224436555,-0.1089024705,0.646838733,2.2841397175,1.524032128,0.536337303,0.1270244825
ecoli_00023,2.019854537,1.701380697,1.071325345,1.868572323,3.3513167515,0.130968896,0.36915773150000003,0.30159602,-0.6605761675,0.7196819015,-0.8179514835,0.14160092,0.8586901355000001,1.039943573,0.334672533,-0.3954181165
ecoli_00024,1.9303086107,1.576173413,1.168231695,1.91013298,3.3432543155,0.16416381700000002,0.4315238115,0.24839989999999998,-0.5743270965,0.1697800475,-0.8006893435,0.10364316300000001,0.8787264795,0.9555797130000001,0.387059873,0.030098944500000002
ecoli_00025,1.1369664339,1.775583241,1.135143795,2.142810678,1.6786037115,0.5578435850000001,0.0601145705,0.32007261,-0.7462437495,0.6189384355,-1.1173508365,0.33070318400000004,1.2742078985,1.683834078,0.513462963,-0.0102416355
ecoli_00026,0.769236856,1.715711352,1.020138575,2.177995716,1.6183128305,0.587865716,0.1714651225,0.31466579,-0.5246088725,0.8666765095000001,-0.9308994235,0.268074327,1.2808481675,1.764109535,0.5104807530000001,0.3698214395
ecoli_00027,3.4501730622,1.36009628,0.172544145,1.8992711450000002,0.6201918305,0.479075976,3.0219897935,-0.14105018,-0.7331625605000001,0.8967490335,-0.2068408135,0.100205557,0.5813607155,0.400098777,-0.07279683,0.16789987450000002
ecoli_00028,3.4828614464,1.36595648,0.213025175,1.848567261,0.7101775615,0.43220153,3.0402714325,-0.20188572,-0.6948758355,0.6943545345000001,-0.2683508555,0.038323557,0.5250616165,0.47687145700000005,-0.093243951,0.2224867895
ecoli_00029,-3.6901337854,-1.42457741,0.457530655,0.894215238,-0.0421693225,0.207309178,3.4919983735,0.01979154,-0.7579426125000001,-0.1759698035,-0.0824133625,0.11874911,0.5383131135,0.716168012,-0.043119613,-0.24247614350000002
ecoli_00030,-3.2857229927000002,-1.329289645,0.597994515,0.7591019120000001,0.1678288925,0.157351611,3.4485512635,0.16168658,-0.8039465935000001,0.4355141155,-0.1677115365,0.12854416700000001,0.5782536755000001,0.596569874,-0.07348926,-0.5420329355
ecoli_00031,-0.2534214433,-0.407520828,1.040972635,1.726962865,0.18847526350000002,0.661718113,3.2802808635,0.37983694,-0.8086718015000001,0.9296836405000001,0.0801267355,0.168085757,0.8457322555000001,1.3198489690000001,0.16383650300000002,0.2684668125
ecoli_00032,-0.2948863698,-0.11106802900000001,1.115534085,1.582490618,0.3710762405,0.5436341450000001,3.2145642535,0.41889962000000003,-0.7356018065000001,0.7808863245000001,0.0043702345,0.08297951,0.9669782635,1.140578279,0.11651884600000001,-0.0051365595
ecoli_00033,2.8388294609,2.007248355,0.215499185,2.255012879,0.9842862235000001,0.731233737,1.7884780805,-0.72500221,-0.0557499605,0.9823133015000001,-0.3579043765,0.162635197,0.7899459955,0.48101235200000003,0.16921202300000002,0.5403926675
ecoli_00034,-0.6237326133000001,1.018111058,-0.16648385500000001,2.147739271,-0.0699878585,0.89835275,2.0059056295,-1.06691429,-0.3775662065,0.5109296265000001,-0.1233860915,-0.036419338,1.2358673395,0.534629017,0.03216219,0.0820507815
ecoli_00035,-1.4557397556,-0.411161159,0.46454559500000003,0.817728212,-0.0309485005,0.36012009300000003,2.0466336935,-0.14804482,-0.2824232345,0.4909895845,-0.18457792450000002,0.211951476,0.6289478975,0.06739537100000001,0.29367586300000004,0.0815595555
ecoli_00036,-2.0737245393,-0.569765751,0.423041565,0.785969844,-0.07330595150000001,0.28217445,1.8754529954999999,-0.26308135,-0.1412460985,0.3315756375,-0.21771202550000002,0.13820242800000002,0.4997017365,0.308753345,0.22863865300000003,0.1092139465
ecoli_00037,0.0010120656000000001,0.313032138,0.8464916450000001,1.43801001,-0.0514327065,0.37726644600000003,2.1674812525,0.03699667,-0.6042938115,1.1338019695,-0.058414558500000005,0.40291679900000005,0.6439744135000001,0.5002348950000001,0.505105143,0.013234639500000001
ecoli_00038,0.8323986713,0.453089687,0.8042016750000001,1.519957406,0.12178324750000001,0.443128212,2.1915250645,0.12667077000000002,-0.3686735245,0.8423167795000001,0.0276207205,0.338969683,0.7248375975,0.622012899,0.563775123,-0.0098610525
ecoli_00039,-1.410557521,-0.490730127,-0.302034215,-0.387263528,-0.3679532955,-0.045097728000000004,-0.3292875145,-0.24249227,0.010371337500000001,4.1206323985,-0.1843641365,0.14955079000000002,0.1037203085,-0.6078434220000001,0.339165103,-0.1630857635
ecoli_00040,-1.7665918093,-0.845183122,-0.19284083500000002,-0.773386385,-0.27332647050000003,-0.047231382,-0.2325577785,-0.26696523,-0.2652228265,4.1800953755,-0.2454034005,0.09878370600000001,-0.0229902095,-0.8332628240000001,0.360235063,-0.1260228995
ecoli_00041,3.6504275934,1.6426698339999999,0.868944275,0.927963948,0.9385571855,0.265605576,-0.1949144085,0.18538134,-0.3068806625,0.47294876550000003,-0.46721748750000003,0.126950543,0.5624659635,0.467756235,0.32216916300000004,-0.1046216635
ecoli_00042,1.8163793458000002,0.897342155,0.509379655,0.5771824480000001,-0.2234371165,0.21461374500000002,-0.2827341155,0.04769501,-0.4729037855,0.4528387015,-0.2667226935,0.078327955,0.2955410415,-0.069293045,0.315987593,-0.5118323485
ecoli_00043,-0.07780944120000001,0.030764031,-0.339403675,-0.112833105,-1.0609799135,-0.36555257100000005,-0.0616351615,-0.25008186,0.3194014995,0.3330587775,-0.2915494965,0.024149814000000002,-0.0310592095,-0.201485129,0.30577407300000004,-0.1884832085
ecoli_00044,0.31228979030000004,0.063068595,-0.297203465,-0.09230358500000001,-0.9402758575000001,-0.290672036,-0.048354309500000005,-0.22467193,0.2438202095,0.4261567565,-0.28677707750000003,0.10651987600000001,-0.0556702525,0.0036497670000000004,0.322569413,-0.0236796975
ecoli_00045,-2.035597815,-1.333145507,-0.6204796650000001,-0.9299771560000001,-1.2028197405,-0.49350523100000004,-0.19767260250000002,-0.42875787,0.38456816850000003,5.0187083265,-0.2201390145,-0.076234008,-0.3772684395,-0.5109368830000001,0.194465293,-0.1216026905
ecoli_00046,-2.656519282,-1.361357435,-0.5922961330000001,-1.038392501,-1.0221747075,-0.40606392900000005,-0.2270415245,-0.44294003,0.28671190150000003,5.0665612585,-0.3216772765,-0.067101622,-0.2503541515,-0.41646381600000004,0.13385438500000002,-0.43504873050000004
ecoli_00047,-0.2713054507,-0.132246647,-0.26224984500000004,-0.070223529,-0.6922603795000001,-0.131238931,-0.09649668950000001,-0.24506315,-0.1785286505,2.3434754145,-0.2075440335,0.01578738,0.0706361115,-0.082163624,0.325118883,-0.5647353015000001
ecoli_00048,-0.2625945196,0.010951547,-0.136506935,-0.14673239700000001,-0.8123906375000001,-0.088533862,0.036204651500000004,-0.18162453,-0.043567376500000005,2.6874843105,-0.1982028295,-0.024825562000000002,-0.1550542655,-0.07012762800000001,0.343466333,0.1341422865
ecoli_00049,1.9453693178,0.9546058310000001,0.036167395000000005,1.4449315600000001,-0.5550388625,0.561196726,0.1621009955,0.0755795,-0.5931653355000001,0.2716637885,-0.2527009105,0.19850430800000002,0.5799196735000001,0.165595941,0.215598863,-0.09087199750000001
ecoli_00050,-0.9511263465,0.21193784000000002,-0.13827825500000002,1.164945407,0.2817839695,1.100875522,0.3451088525,-0.34721862000000003,-0.5825948125,0.9750987565,0.2896546635,0.940534277,0.1015298355,-0.18302890400000002,0.348125933,-0.7001998945
ecoli_00051,-1.2709326243,0.014139413000000002,-0.251474605,1.186670894,-0.3102873715,1.237183526,0.4190463795,-0.19832874,-0.1194545875,1.1510341975,0.1785036485,0.946766764,-0.0315778465,-0.330518329,0.319898823,-0.3527082455
ecoli_00052,-3.0132684709,-0.52758168,-0.8723242170000001,0.338945099,-0.2361802945,0.832935233,0.030532754500000002,-0.8712711200000001,-0.3997597665,0.7552429835000001,0.0584354255,0.476395614,0.10879134650000001,-0.383851198,0.31218181300000003,-0.3489869625
ecoli_00053,-3.1515042401,-0.822090139,-0.871424807,0.384416497,0.0699192955,0.864445447,0.0006140825,-0.85417863,-0.5585283145000001,0.5501307025000001,0.08485717250000001,0.524635783,0.0533057985,-0.379672954,0.348980073,-0.9827001745
ecoli_00054,-4.8803672432,-1.096230363,-0.185728995,1.019192641,1.2406115625,1.441400653,0.6422067775,-0.44451516,-0.16470919850000001,1.0339362845,0.6122284505000001,0.6793390370000001,0.8866898015,0.550960097,0.883560683,0.5265058605
ecoli_00055,-4.7430557205,-0.7301206100000001,-0.34076356500000005,1.276830501,0.9964241525,1.424536454,0.7275540625,-0.50677285,-0.3027200595,1.1341204635,0.6146578485,0.8439817220000001,0.8338375125,0.46994148700000005,1.1275514229999999,0.1635861425
ecoli_00056,-1.0613466657,-0.164825249,0.647908585,0.9155376690000001,0.2372748955,0.281755229,0.44564945450000004,0.07924673,1.6220064175000002,2.0972930665,0.8817667035000001,0.11975411200000001,0.3684764575,0.605264629,0.46435899300000005,0.7409257055
ecoli_00057,-2.1228946712,-0.331594116,0.605473425,0.762434256,0.3557030725,0.188715756,0.6467916775,0.14440285,1.4272188125,2.2616698835,0.8924773015,-0.01304259,0.3689345265,0.623512512,0.46188222300000004,0.8750907535
ecoli_00058,-5.3148020301,-2.083663326,0.018456405000000002,-0.613966141,0.22602843450000001,-0.18006717500000002,0.3713748895,0.52905826,1.4606617035,3.5078887705,0.5877983865,-0.022121233,0.2187370475,-0.264190735,0.44664785300000004,0.48104538150000004
ecoli_00059,-5.6481940755,-2.031573419,-0.006356255000000001,-0.522421048,0.2189884085,-0.031336151,0.4322804135,0.50611535,1.2816211345,3.2427790975,0.5226877135,-0.05618730500000001,0.2390676445,-0.11727796600000001,0.49525865300000005,0.49150858950000004
ecoli_00060,0.7161886934,0.283931431,0.164126605,0.17262991200000002,0.3990092085,-0.059620317000000006,0.3954681465,0.34010188,0.1233455175,0.8449404515000001,0.0273994885,0.30711650700000004,0.0418111275,0.15213077,0.319951353,0.2837733355
ecoli_00061,0.3164480149,0.33456971900000004,0.15512309500000002,0.07506212100000001,0.46996142350000003,-0.051596002,0.3931633935,0.30898115,0.0979981815,0.8526082915000001,0.0728779705,0.23777131,0.1326083935,-0.046132141,0.360933593,0.2812627655
ecoli_00062,-3.0603676303,-1.111321758,0.644921705,-0.06067199,0.8654657245,0.063542728,0.4367388855,0.40122765,1.7395990015,0.5572991685,0.4805777875,0.307997034,0.1298215835,0.092282309,0.8061810030000001,0.4159224255
ecoli_00063,-3.53442129,-0.80380428,0.659472645,-0.205558168,0.9145257115000001,0.031548838,0.3590992865,0.42220741,1.7183728515,1.0259083735,0.5675752305,0.275971519,0.2672209385,0.49243234,0.764467493,-0.0563660885
ecoli_00064,-8.1123045274,-1.985920767,0.277552005,1.6347761969999999,0.3927955155,0.470277959,-0.3499731815,0.24013622,-1.1563843635,1.3184003295,-1.5929679745,-0.07090629100000001,0.9505348375,0.5277788990000001,-0.686581477,0.20342276950000002
ecoli_00065,-7.980161932,-2.04511696,0.08413458500000001,1.602734103,0.41756377250000004,0.595664834,-0.5826678015,0.09760655,-1.6205879505,0.9939089385000001,-1.7497737265,-0.057111211,1.1507879035,0.621969177,-0.620927,-0.3042027695
ecoli_00066,-14.747603286,-6.009046678,0.009492215,1.504895738,0.11907176550000001,0.25057528500000004,-1.5581128555000001,-0.16485909,-1.4762248445,2.0060834595,-1.7213951165,-0.5003220070000001,-7.3287963615,0.19733920700000002,-1.046248202,0.1883396605
ecoli_00067,-14.6804195793,-6.009046678,-0.13246892500000002,1.367414106,0.23174716850000002,0.31728971,-1.5541119515,-0.15346479,-1.5660195685,1.7740441545,-1.8707998295000001,-0.475191856,-7.3287963615,0.311903619,-1.071490687,0.24195426250000002
ecoli_00068,-2.2897448385,-0.6233766040000001,0.323090545,-0.6314549220000001,0.3596627075,-0.303016885,0.1410549895,0.31169691,-0.4595413875,1.2541238005,-0.4489845905,0.636194186,-0.20745900050000002,-0.24205309300000002,-0.09169608400000001,-0.35429955350000003
ecoli_00070,3.305968304,1.160945896,-0.0050519250000000005,-0.674753382,0.10380578750000001,-0.366281515,-0.6858440265,-0.4047781,-0.6389207845,4.3815072635,-0.2207924055,0.23831896300000002,-0.1422187115,-0.40336848900000005,-0.171476714,-0.5671748725
ecoli_00071,4.1599364306,1.212184139,0.045105535,-0.7214720950000001,0.1206113255,-0.39905693600000003,-0.6721567675,-0.42564953,-0.2417250525,4.5542461755,-0.1532301705,0.302596696,-0.10897056150000001,-0.7764904530000001,-0.216511799,-0.43488104850000003
ecoli_00072,3.5302953744,0.985543834,-0.07972467500000001,-0.765774295,0.1583143725,-0.197432551,-0.6730035845,-0.47148023,-0.25068625850000004,4.5180164875,-0.1654427225,0.24112209999999998,-0.0633119335,-0.45955593200000006,-0.237794143,-0.3384550765
ecoli_00073,2.0345226935,0.138314546,-0.17243101500000002,-0.9671876450000001,-0.1067367515,-0.519723361,0.7067022265,-0.011164199999999999,-0.4027397935,5.3340936845,0.7999081985000001,0.354595319,-0.1858501405,-0.529658127,0.097308024,-0.38802475750000004
ecoli_00074,0.8504051346,-0.38011659600000003,-0.170063665,-0.49622420800000006,-0.0748152675,-0.123981032,0.5848116885,-0.36310159000000003,-0.43985643150000003,5.0238996225,1.1722754415,0.24381532600000003,0.0237857585,-0.10268838100000001,0.0007891440000000001,-0.7622338865
ecoli_00075,-0.38760659820000004,-0.66079953,0.631325145,-0.44229251900000005,0.5069587795,-0.21628477200000001,-0.2984399875,-0.71765075,1.0207633205,4.8530707655,0.4102215775,0.130308322,0.5776341745,0.021818931,0.37930993300000004,0.2294267325
ecoli_00077,0.050895173700000004,0.429217921,0.5065485750000001,-0.52630899,0.8487352215,-0.0010492020000000002,-0.0629366325,-0.34685613,0.26776881750000003,1.1910176015,-6.3602353955,-0.06311263,0.6001697145,0.176729611,0.207746483,-0.2718147145
ecoli_00078,1.5951490125999999,0.28233070400000004,0.906130685,-0.458898387,0.6558393855,-0.351655979,-0.1509007285,-0.35391567,0.6516471905,1.3416767905,-4.7930176055,0.133435196,0.2036643975,0.223557689,0.245706203,0.19277151650000002
ecoli_00079,-4.047504431,-1.272997485,0.004072415,-1.6252179070000001,-0.0195106375,-0.233844026,0.2331803425,-0.9349272999999999,0.8749943085,6.3040545975,0.5425909545000001,-0.088462066,0.5676465765,0.136021327,0.395080543,-0.1136136585
ecoli_00080,0.5294434489000001,0.36341641900000005,0.073518865,-1.110720558,0.0350131185,-0.83793286,-0.5616847315,-0.64709315,0.26363376250000004,1.9550858975,-0.7930149015,0.801007542,-0.7209944715000001,-0.36029177300000004,0.005806082000000001,-0.1770307035
ecoli_00081,5.918399198,2.100194633,0.12347822500000001,-0.35195611,0.7175713585,-0.5596798390000001,-0.6002839115,0.01202467,-0.0471384615,4.1933784015,-0.0986223765,0.39407921900000004,-0.25736778450000003,-0.553912821,0.19238992300000002,-0.22771452150000002
ecoli_00082,-2.3301294258,0.253987232,-0.30622956500000004,1.571172904,-0.08817828450000001,0.914020224,0.3316706915,0.04067145,0.9081226345000001,2.0863480225,0.9012172285000001,0.47578300700000004,0.3674172275,-0.24911516,0.7848307330000001,0.1901464045
ecoli_00083,-2.2372782769,0.20981448600000002,-0.352816565,1.533068632,-0.1928246545,0.888485166,0.46707030250000003,-0.07536717,0.7592637795,2.2137390515,1.1057735505,0.531641946,0.3384722415,-0.19770441900000002,0.774460393,-0.1154495215
ecoli_00084,-2.3684279905,-0.21998487200000003,-0.26311180500000003,1.249098403,0.24030661650000001,1.134151356,0.4629212905,0.03859801,0.48958372050000004,3.0051012785,0.7123657575,0.5970210960000001,0.3834883685,-0.084474351,0.31349375300000004,-0.2522704635
ecoli_00085,-1.4989871869,0.052164741,-0.088390225,1.048966948,0.17490980250000002,1.082567691,0.5488677005,0.16989901000000002,0.4599132785,2.9457264435,0.47676490250000003,0.760850719,0.2054923085,-0.003542508,0.373244063,-0.2570020765
ecoli_00086,-4.1248623329,-0.270172956,0.08919740500000001,1.066237748,0.43740763850000003,0.26330238300000003,0.1638531915,-0.5463671,2.0558524395,0.0811476445,-7.2746930645,-0.288056262,0.2869327275,-0.069037313,0.205353913,1.0535280515
ecoli_00087,-4.1425112673,-0.677647659,0.021087685000000002,0.98579602,0.4867896815,0.19419856400000002,-0.0635602735,-0.60164381,2.0454693455,0.1281678135,-7.2746930645,-0.333104891,0.3210419345,-0.11546951800000001,0.159225273,1.0777838095
ecoli_00088,3.5612341267,1.452455724,0.279636635,0.550928219,-0.4034285905,0.105368764,-0.0486853435,0.08214941,-0.4885821255,0.4770984125,-7.2746930645,0.030276397000000004,0.051735604500000004,0.153699791,0.12650519300000002,0.1532226345
ecoli_00089,3.2522669027,1.311389267,0.32569436500000004,0.669709254,-0.1822017625,0.084918884,0.052960019500000004,0.0512861,-0.36473696250000004,0.9094384725,-7.2746930645,-0.011744985000000001,-0.0001282705,-0.027984963,0.163147493,-0.029990310500000002
ecoli_00090,1.9104537144,0.7493367780000001,-0.027273645000000003,0.027964989000000003,-0.3138558665,-0.20316713600000003,-0.1244268075,-0.21585034,-0.2236883895,0.6681787855,-7.2746930645,-0.005461662,-0.012929336500000001,-0.151487075,0.046791002000000005,0.1027072775
ecoli_00091,1.8421185931,0.77354734,-0.13678458500000001,-0.24026734100000002,-0.2622901675,0.001045006,-0.3663019865,-0.17183222,-0.023797737500000003,0.4221365595,-7.2746930645,0.03107586,0.0606533915,-0.098959999,-0.014761104,-0.1620790815
ecoli_00092,-2.6690347297,-0.415668268,-0.018986005,0.376076862,-0.0056363955,-0.08811020700000001,0.0687277795,-0.03265871,0.6884255335,-0.07170356950000001,0.7803328845,0.00850632,0.8796580805,0.07415584600000001,0.271760703,0.6145144165
ecoli_00093,0.5431943707,0.339630712,-0.16863898500000002,0.48701875800000005,-0.7612362195,0.180257883,0.0015399495,-0.28323202000000003,-0.5611728505,-0.1423367045,0.10390239150000001,0.121081062,0.1529809235,-0.489092911,0.20485867300000002,-0.3234026715
ecoli_00094,-7.0589582616,-1.6431092340000002,0.377391115,1.044862729,-0.6822263125,0.18127199900000002,0.2198804325,0.31083477,0.8679233385,-0.1963407325,0.5522476165,0.143933889,1.7296796185,0.7639581350000001,0.24727295300000002,0.48670812750000003
ecoli_00095,-6.8911377045,-1.593727875,0.29310171500000004,0.935412898,-0.6432636985,0.12299757900000001,0.1745772955,0.30948265,0.9859388435,-0.4040910405,0.5466030005,0.010913744000000001,1.8043669795000001,0.7574840690000001,0.204154523,0.8161005095
ecoli_00096,-0.8345164651,-0.33581760200000005,0.34542376500000005,-0.290651826,0.2265626365,-0.0068059570000000005,-0.036877255500000004,0.18085242,-0.2518550035,-0.20678857350000002,0.5672867075,0.22785987400000002,1.0493520285,-0.046955444000000006,0.45717146300000006,0.6386496225
ecoli_00097,-0.46220154820000003,0.135167014,0.433644805,-0.535104106,-0.2180292345,0.08366097600000001,-0.0291329715,0.08944964,-0.1028289335,0.1856578545,0.5335004895000001,0.285143348,0.8949292855000001,0.298841452,0.376256283,0.3502829475
ecoli_00098,-8.7306324106,-2.061671988,0.154811065,-0.093855399,-1.2877233825,-0.19123894300000002,0.7932482585,0.18659112,0.6989152315,-1.1840552505,0.6674809845,-0.056968457,1.4959443845,0.633345883,0.11748048200000001,0.4539746425
ecoli_00099,-9.1121247477,-2.160692036,0.184431905,-0.16899966100000002,-0.4743707595,-0.19221227700000001,0.6553544615,0.17551241,0.5134001775,-0.7583225675,0.5745490675,-0.12766796,1.4852367445,0.6522298120000001,0.125422963,0.6711903105
ecoli_00100,-4.465441731,-1.874081066,-0.25137586500000003,-0.8502597770000001,-0.5967938115,-0.45536037500000004,-0.0975647885,-0.37339942,-0.10821354650000001,-0.5579261015,0.1860434845,-0.035501603,-0.2559158055,-0.30671468300000004,-0.004082425000000001,-0.2353331165
ecoli_00101,-9.143686935,-3.458976245,-0.868628418,-4.309825892,-2.0549413785,-1.013562137,-1.2424024325,-0.30097453,-0.2746976275,-0.9710645665000001,-0.0267189575,-0.273362307,-0.1398647825,-0.324227323,-0.66628918,-0.7144243425
ecoli_00102,-9.079063849,-3.345360569,-0.841749195,-3.034669989,-1.8086426805,-0.9952300150000001,-1.0522460855,-0.31629168,-0.1442705215,-1.3668724365,-0.0257166055,-0.338086579,-0.1516897425,-0.5045167180000001,-0.570898456,-0.6464499105
ecoli_00103,-9.743885174,-3.796281602,-0.730282673,-3.238299085,-1.2691407065,-1.059313448,0.16395919050000002,-0.45813851,0.7063598975000001,-1.9124584375,-0.6128218315,-0.638854961,0.3326916445,-0.161564822,-0.228845183,-0.4212575905
ecoli_00104,-10.5713301055,-4.108626977,-0.70811133,-3.568534014,-1.1330273585,-0.9056743490000001,0.1228156355,-0.42975629,0.8392628875,-1.6813022565,-0.5361180115,-0.733260739,0.3498458125,0.298787114,-0.18410035800000002,-0.4391169065
