,A,TyrR
cra_crp__wt_fru__1,-3.2788321960999998,-0.5530930915
cra_crp__wt_fru__2,-3.3912864839,-0.4252242665
cra_crp__delcra_ac__1,7.4911842146,0.4851165505
cra_crp__delcra_ac__2,7.3467947468,0.5274774675
cra_crp__delcra_fru__1,-1.3967837543,0.4656201075
cra_crp__delcra_fru__2,-1.4503431381,0.4390404255
cra_crp__delcra_glc__1,-0.21226782060000002,0.2105217345
cra_crp__delcra_glc__2,-0.1587742294,0.2801752655
rpoB__wt_031__1,-2.4977248107,0.1808491025
rpoB__wt_044__1,-0.9764419133000001,0.2325263075
rpoB__wt_lb__1,-6.0384563786,0.09866591050000001
rpoB__wt_lb__2,-5.5737780337,0.1453555065
rpoB__rpoBE546V_031__1,-2.2088074121,0.3645278945
rpoB__rpoBE546V_044__1,-1.3823134713,0.4658118565
rpoB__rpoBE546V_lb__1,-5.2330066691,0.39654654450000004
rpoB__rpoBE546V_lb__2,-5.5814180238999995,0.4440201695
rpoB__rpoBE546V_glc__1,0.1003142469,0.0553210305
rpoB__rpoBE672K_glc__1,1.8001049072000002,-0.13450243550000002
rpoB__rpoBE672K_glc__2,1.8750261368,-0.27102848350000003
rpoB__rpoBE672K_lb__1,-5.747351061,-0.1648632535
rpoB__rpoBE672K_lb__2,-5.2887619835,-0.1839164225
crp__wt_fru__1,-0.9459683439000001,-0.17981884850000002
crp__wt_glyc__1,-2.2793414732,-0.2347526225
crp__wt_glyc__2,-2.0492948444,-0.3581313325
crp__delar1_glyc__1,0.760945863,0.7314217165
crp__delar1_glyc__2,4.1149034467,0.9071223965
crp__delar1ar2_glyc__1,-1.3000360829,0.1326508935
crp__delar1ar2_glyc__2,-1.7061029175,0.2463388705
crp__delar1ar2_glyc__3,-1.3476765443,0.2303422045
crp__delar2_glyc__1,1.091376931,0.4853504785
crp__delar2_glyc__2,-1.919616095,0.3927659975
crp__delar2_glyc__3,-2.5473366350999997,0.3948630155
crp__delcrp_fru__1,-1.9123782135,0.6162616575000001
crp__delcrp_fru__2,-2.0634056586,0.6096158695
crp__delcrp_fru__3,-2.5250289466,0.6696930565
crp__delcrp_glc__1,-2.1788885239,0.6159912395
crp__delcrp_glc__2,-2.8603886769,0.5769884305
crp__delcrp_glc__3,-2.8637248535,0.6433646555
crp__delcrp_glyc__1,-3.2074873723,0.5216225305000001
crp__delcrp_glyc__2,-3.5725578122,0.5136604235000001
crp__delcrp_glyc__3,-3.6074688403,0.5493486975
glu__glu_ale3__1,-1.9275368302,0.9842932275
glu__glu_ale4__1,1.4415261779000001,0.0720306065
glu__glu_ale5__1,0.5656348263000001,-0.2066171585
glu__glu_ale6__1,1.6906216672,-0.2827235155
glu__glu_ale8__1,-6.4721530335,1.1711866145
glu__glu_ale9__1,-1.5272240041,0.6189531415
glu__glu_ale10__1,-1.9570690847,0.8068898215
42c__wt_42c__1,-0.43778429480000003,0.3514444485
42c__42c_ale1__1,-5.6916687166,0.6629417285
42c__42c_ale2__1,-0.1081466642,-0.0690696895
42c__42c_ale3__1,-0.25226078900000004,0.3102083805
42c__42c_ale4__1,-3.9622703767000003,0.49830451550000004
42c__42c_ale5__1,-1.1608661617,-0.09100902550000001
42c__42c_ale6__1,-5.3283261562,1.0296959145
42c__42c_ale8__1,-5.0537385373,0.7974113855
42c__42c_ale9__1,2.0763541694,0.0404771565
42c__42c_ale10__1,-6.8817538296,0.8240788465000001
ssw__wt_ac__1,-0.5201359557,-0.0022315105
ssw__wt_glc__1,-0.43259070400000005,0.018138064500000002
ssw__wt_glyc__1,-6.4174665602,0.6275589565
ssw__wt_xyl__1,-3.645963199,0.5066825475
ssw__glc_ale1__1,-2.7072971545,0.07746391550000001
ssw__glc_ale2__1,-1.6921123292,0.6450221375
ssw__glc_ale3__1,0.3293261903,0.7567198115
ssw__glyc_ale1__1,-1.9294835165,0.32418669450000004
ssw__glyc_ale2__1,0.9213759249000001,0.7786523445
ssw__xyl_ale1__1,-6.2261280082,-0.41880499050000003
ssw__xyl_ale2__1,-4.8367277732,-0.0753927975
ssw__xyl_ale3__1,-3.3925304624,-0.2257314075
ssw__glc_ac_ac2__1,-0.49713602440000004,0.3142730865
ssw__glc_ac_glc1__1,-1.8897546436,-0.5662200235
ssw__glc_glyc_glc__1,-2.328472698,0.26125609650000003
ssw__glc_glyc_glyc__1,-3.1420314994,-0.1648736745
ssw__glc_xyl_glc__1,-1.5596810692,-0.44930116750000004
ssw__glc_xyl_xyl__1,-2.4876380954,-0.4403320665
ica__wt_glc__1,1.0771094609,-0.38050993450000004
ica__wt_glc__2,0.9278090543,-0.3395163305
ica__wt_glc__3,-0.5063595948,0.0448650185
ica__wt_glc__4,-1.1470196875,-0.08828588550000001
ica__arg_sbt__1,-6.6131011404,0.0442928415
ica__arg_sbt__2,-6.2206003989,-0.1373279315
ica__cytd_rib__1,-3.0019622983,0.15591161850000002
ica__cytd_rib__2,-3.0972500175,0.2147745795
ica__gth__1,-3.9715576033,0.4174664725
ica__gth__2,-4.0615324495,0.5693265205
ica__leu_glcr__1,-5.9894146945,-0.0990638855
ica__leu_glcr__2,-5.9897776205,-0.1666303405
ica__met_glc__1,1.1146905964,-0.2602991415
ica__met_glc__2,1.1771693653,-0.3463274425
ica__no3_anaero__1,-0.47546932540000003,0.4437923395
ica__no3_anaero__2,-0.6186640642,0.3945434645
ica__phe_acgam__1,-0.2914666086,-0.27006354850000003
ica__phe_acgam__2,-0.3179094118,-0.3286892495
ica__thm_gal__1,0.24680400460000002,-0.1712124355
ica__thm_gal__2,0.0468096114,-0.0123281855
ica__tyr_glcn__1,-5.8804163966,-0.5788652405
ica__tyr_glcn__2,-5.6823754454,-0.4623621705
ica__ura_pyr__1,-0.7616535914,-0.2522158305
ica__ura_pyr__2,-0.2666391623,-0.1871445475
ica__wt_glc__5,0.1122884734,-0.1255222965
ica__wt_glc__6,0.0490814553,-0.1132508385
ica__bw_delpurR_cytd__1,1.0255339172,-0.36566553350000003
ica__bw_delpurR_cytd__2,-0.3135445027,-0.47030838350000004
ica__ade_glc__1,-0.6930376136,-0.3558620065
ica__ade_glc__2,0.8521166118,-0.4657624685
ytf__wt_glc__1,-0.0904313025,-0.0172654235
ytf__wt_glc__2,-1.8980427164,0.1976335685
ytf__delyafC__1,-3.9060818263,0.5656874815
ytf__delyafC__2,-4.2034190658,0.5766021605
ytf__delyeiE__1,-0.5903655831,0.3033699375
ytf__delyeiE__2,0.1795400848,-0.0004741605
ytf__delyiaJ__1,-2.577716603,0.5240269315
ytf__delyiaJ__2,-2.6836552402000002,0.5307552265000001
ytf__delyieP__1,-4.0213807904,0.6510175845
ytf__delyieP__2,-4.3482005396,0.4749709375
ytf__wt_ph5__1,-0.6707949492,0.0462692145
ytf__wt_ph5__2,-1.3546148333999999,-0.0060055055
ytf__wt_ph8__1,1.1300136044,-0.050385978500000005
ytf__wt_ph8__2,1.3146165223000001,-0.11868331650000001
ytf__delybaO__1,-3.9382025889000003,0.45847293650000004
ytf__delybaO__2,-4.7229303668,0.4733400735
ytf__delybaQ__1,0.0338155673,0.022831273500000002
ytf__delybaQ__2,0.09593128420000001,0.0165793755
ytf__delybiH__1,-0.8783829794,0.3851366525
ytf__delybiH__2,-4.3247636726,0.5312406685000001
ytf__delydcI_ph5__1,-0.7561108031,-0.0632748965
ytf__delydcI_ph5__2,-0.4842065405,-0.0995178845
ytf__delydcI_ph8__1,3.650262514,-0.0487368415
ytf__delydcI_ph8__2,0.8530595016,-0.1145527805
ytf__delyddM__1,-1.7760989695,0.3805022595
ytf__delyddM__2,-1.7891043823000001,0.31563739150000003
ytf__delyheO__1,-3.6343101709,0.5185415695
ytf__delyheO__2,-4.5643080941,0.5950104515
fps__bw_glc__1,0.9940456677,-0.11897339350000001
fps__bw_glc__2,0.9535897979,-0.1876094305
fps__fps_thrA_ale1__1,-0.9516581029000001,0.0364597635
fps__fps_thrA_ale1__2,-0.6545154145000001,0.0247278585
fps__fps_thrA_ale2__1,-1.846125512,-0.0388479025
fps__fps_thrA_ale2__2,-1.3987179569000001,0.0496640805
fps__fps_serB_ale1__1,1.7932965941,0.1015159925
fps__fps_serB_ale1__2,1.9823818578,0.1460643425
fps__fps_serB_ale4__1,-0.5690804636,0.0579870625
fps__fps_serB_ale4__2,-0.5169052999,0.038559774500000005
fps__fps_ptsI_ale1__1,-1.4886692966,-0.2493875315
fps__fps_ptsI_ale1__2,-1.4703028943,-0.2188357435
fps__fps_ptsI_ale3__1,-0.9961924830000001,-0.3297567745
fps__fps_ptsI_ale3__2,-1.3191109093,-0.3017834345
pal__lyx_ale2_f6__1,-2.6061490314,0.0289854165
pal__lyx_ale2__1,-2.5261673546,-0.030062717500000002
pal__lyx_ale2__2,-3.0665583695,0.0825845675
pal__lyx_ale4__1,-1.4298241764,-0.5253323565
pal__lyx_ale4__2,-1.6482216003999999,-0.5971134225
pal__5drib_ale10_f18__1,-3.6496737508,-0.2750957175
pal__5drib_ale10_f18__2,-4.0346073432,-0.4649782905
pal__5drib_ale10__1,-2.7819737045,0.0273224255
pal__arab_ale14_f9__1,-2.2756995169,0.0744084275
pal__arab_ale14_f9__2,-1.6747048657999999,0.0462658075
pal__arab_ale14__1,0.2223331664,-0.16607948150000001
pal__arab_ale14__2,0.5768119056000001,-0.2610197745
pal__arab_ale16__1,-3.5773304158,-0.1383743895
pal__arab_ale16__2,-3.360208635,0.1688846175
pal__tartr_ale26_f10__1,-4.1815329824,-0.2831895895
pal__tartr_ale26_f10__2,-4.4144670786,-0.1176862765
pal__tartr_ale26__1,-3.1136717677,-0.2056136775
pal__tartr_ale26__2,-3.122424562,-0.1667168365
pal__tartr_ale28_f10__1,-3.4599928348,0.2585135195
pal__tartr_ale28_f10__2,-3.5425063216,0.1535454575
pal__tartr_ale28__1,-1.2946038157,-0.1524944065
pal__tartr_ale28__2,-1.3347122919,-0.2785926395
efeU__delmenFentC_citr__1,0.46397024880000004,-0.027820755500000002
efeU__delmenFentC_citr__2,1.1330696969,0.0552518145
efeU__delmenFentC__1,-1.5071629573,0.33851788050000003
efeU__delmenFentC__2,-1.6330585007,0.3544107815
efeU__menFentC_ale39__1,-0.44415362070000003,0.8759950055
efeU__menFentC_ale39__2,1.7196018510000002,0.8395594895
efeU__menFentC_ale29__1,-3.0753248797,0.5191820695
efeU__menFentC_ale29__2,-3.2231862334,0.6371801505
efeU__menFentC_ale30__1,-0.0428458906,-0.0669747525
efeU__menFentC_ale30__2,0.188771666,-0.1452234365
efeU__menFentCubiC_ale36__1,-1.6809777395,0.2019123935
efeU__menFentCubiC_ale36__2,-1.516687815,0.1515568945
efeU__menFentCubiC_ale37__1,-2.1890810835,0.1324167705
efeU__menFentCubiC_ale37__2,-2.1089038995,0.1272345645
efeU__menFentCubiC_ale38__1,-0.15395265090000002,-0.2164090395
efeU__menFentCubiC_ale38__2,-0.6061578896,-0.2740227635
misc2__salc_glc__1,-2.1096030592,0.1161174405
misc2__salc_glc__2,-2.2200953827,0.3342462145
misc2__dbcn_glc__1,3.1306435228,-0.35917890350000004
misc2__dbcn_glc__2,1.9548249414,-0.0422559395
misc2__tyr_glc__1,-6.3300055755999995,-0.0357407095
misc2__tyr_glc__2,-6.51843161,-0.0160271545
misc2__arg_cytd__1,0.48092074030000004,-0.2321965215
misc2__arg_cytd__2,0.8679760741,-0.3173456705
misc2__delyheO_pyr__1,-0.4642501986,-0.0463636075
misc2__delyheO_pyr__2,0.2874842502,-0.1190859315
nquinone__delubiC__1,-0.19335890400000003,-0.0226051575
nquinone__delubiC__2,-1.1187185376,0.07962564750000001
nquinone__ubiC_ale1__1,-0.8627624297,0.1032627415
nquinone__ubiC_ale1__2,-0.9452945142,0.0826953485
nquinone__ubiC_ale2__1,-0.8214306548,0.050494130500000005
nquinone__ubiC_ale2__2,-0.6576203877,0.0173607275
nquinone__ubiC_ale3__1,-2.024774415,0.1833523765
nquinone__ubiC_ale3__2,-2.0995562299,0.1524629635
nquinone__ubiC_ale4__1,-0.8298640136000001,0.12694610750000002
nquinone__ubiC_ale4__2,-1.3821433749,0.1310559785
nquinone__delpdhR__1,-0.0481354559,-0.3822973465
nquinone__delpdhR__2,-0.3701467021,-0.2678021715
quinone__glu_ale4__1,0.594790084,-0.1201467175
quinone__glu_ale4__2,0.8837650375,0.2523213505
quinone__delmenF__1,0.18479812140000001,-0.0362942645
quinone__delmenF__2,0.4240667674,0.0865877525
quinone__menF_ale5__1,-3.1953680098,0.7966112745
quinone__menF_ale5__2,-3.1143943191,0.7371054345
quinone__menF_ale6__1,-3.7163921901,0.8014125415000001
quinone__menF_ale6__2,-3.6060284978,0.7170202525
quinone__menF_ale7__1,-3.1806483728,0.7876835745
quinone__menF_ale7__2,-3.400184428,0.6989472365
quinone__menF_ale8__1,-2.5383372261,0.9384274825000001
quinone__menF_ale8__2,-3.2566524506,0.6171622905
quinone__delmenFubiC__1,-1.0901788899,0.2337289675
quinone__delmenFubiC__2,-1.2169738654,0.2006469945
quinone__menFubiC_ale1__1,-1.9250252494,0.7407681985
quinone__menFubiC_ale1__2,-1.5097446463000002,0.7280058805
quinone__menFubiC_ale2__1,-1.8415064272000001,0.8368812395
quinone__menFubiC_ale2__2,-1.771155013,0.8741204555000001
quinone__menFubiC_ale3__1,0.31179713200000003,-0.0547037405
quinone__menFubiC_ale3__2,0.11820609600000001,-0.20616322650000002
quinone__menFubiC_ale4__1,-3.9254614576,0.7221217105000001
quinone__menFubiC_ale4__2,-4.3953024934,0.6551152035000001
oxyR__wt_glc__1,0.6439940551000001,-0.2604133435
oxyR__wt_glc__2,0.2541997818,-0.2761225955
oxyR__wt_h2o2__1,0.2122454174,-0.2157244465
oxyR__wt_h2o2__2,-0.2636291358,0.0287031625
oxyR__glu_ale4__1,-0.6204021674,0.34623504250000003
oxyR__glu_ale4__2,-0.736658785,0.3688593545
oxyR__glu_ale4_h2o2__1,-0.2983604828,0.5433138695
oxyR__glu_ale4_h2o2__2,0.0400349105,0.5943429725
oxyR__oxyR_ale17__1,1.0098821372,0.26625520950000003
oxyR__oxyR_ale17__2,1.7816151858,0.45756600950000004
oxyR__oxyR_ale17_h2o2__1,-0.1062557196,0.1879807345
oxyR__oxyR_ale17_h2o2__2,0.08216492510000001,0.0634208655
oxyR__oxyR_ale18__1,1.5173396621,-0.38836777250000004
oxyR__oxyR_ale18__2,1.3847410058,-0.4791334815
oxyR__oxyR_ale18_h2o2__1,1.0341559107,0.0610812185
oxyR__oxyR_ale18_h2o2__2,0.7742862665,0.0773576805
oxyR__oxyR_ale19__1,1.9501858214,-0.5384180455
oxyR__oxyR_ale19__2,2.4312416789,-0.38069722850000004
oxyR__oxyR_ale19_h2o2__1,2.1741209358,-0.5851973005000001
oxyR__oxyR_ale19_h2o2__2,2.1066061044,-0.5863889075000001
oxyR__oxyR_ale20__1,2.6055564928,-0.0026499365
oxyR__oxyR_ale20__2,2.3112032243,-0.0399742715
oxyR__oxyR_ale20_h2o2__1,1.4970854107,0.0039179955
oxyR__oxyR_ale20_h2o2__2,1.3224275047,0.0485342005
svns_pgi__BmePgi24_15__1,0.1792522162,-0.0273723225
svns_pgi__BmePgi24_15__2,0.1514271211,-0.0478000125
svns_pgi__BmePgi24_26__1,0.1898763867,-0.10168561450000001
svns_pgi__BmePgi24_26__2,0.3270710122,-0.13863780550000002
svns_pgi__BmePgi24_41__1,-1.4498096184,0.3488196785
svns_pgi__BmePgi24_41__2,-0.0989059438,-0.0873080375
svns_pgi__BmePgi24_52__1,0.5320155957,-0.0100724235
svns_pgi__BmePgi24_52__2,0.4856791627,-0.1764878575
svns_pgi__PaePgi2_34__1,-1.5662275541000001,0.2018475935
svns_pgi__PaePgi2_34__2,-1.2925137933,0.1173453935
svns_pgi__PaePgi2_63__1,-2.1738720508,0.2694432275
svns_pgi__PaePgi2_63__2,-2.4614926404,0.2452913095
svns_pgi__PaePgi24_54__1,-0.6330817158000001,0.1335388605
svns_pgi__PaePgi24_54__2,-1.0951715843,0.0878285585
svns_pgi__PaePgi24_90__1,-0.6567759295000001,0.19032787850000002
svns_pgi__PaePgi24_90__2,-0.8070216217,0.1896671355
abx_media__m9_ctrl__1,-0.20664007310000002,0.0096385845
abx_media__m9_ctrl__2,0.4715154502,0.1482531135
abx_media__rpmi_ctrl__1,-5.4637612914,-0.1820912245
abx_media__rpmi_ctrl__2,-4.9385527159,0.20297444950000001
abx_media__camhb_ctrl__1,-3.8169480832,-0.5455479735000001
abx_media__camhb_ctrl__2,-4.0837574415,-0.6385058355000001
abx_media__m9_mero__1,0.5000633394,-0.1343648215
abx_media__m9_mero__2,0.0933704857,-0.16004899150000002
abx_media__rpmi_mero__1,-4.774600802,-0.33039199750000003
abx_media__rpmi_mero__2,-5.1998393435,-0.0647507645
abx_media__camhb_mero__1,-3.1375456448,-1.0091651075
abx_media__camhb_mero__2,-2.976659797,-0.9203391425
abx_media__m9_trisulf__1,-3.0696163524,-0.0157147825
abx_media__m9_trisulf__2,-2.8064806366,0.051639723500000005
abx_media__rpmi_trisulf__1,-4.0349285909,-0.5295442765
abx_media__rpmi_trisulf__2,-4.0864602658,-0.5068848585
abx_media__camhb_trisulf__1,-4.7172489469,-0.26725747250000004
abx_media__camhb_trisulf__2,-4.4928319987,-0.37751837050000003
abx_media__m9_cef__1,-1.7954083574,-0.0081174705
abx_media__m9_cef__2,-1.2194933472,0.0132191045
abx_media__rpmi_cef__1,-1.6998575141,0.28301578450000003
abx_media__rpmi_cef__2,-1.2608824151,0.29630900050000003
abx_media__camhb_cef__1,-3.7258795971,-0.24334722350000002
abx_media__camhb_cef__2,-3.3304424888,-0.2493751385
abx_media__m9_cipro__1,-1.7847222070000002,-0.1887439065
abx_media__m9_cipro__2,-2.0562429344,-0.20996622450000002
abx_media__rpmi_cipro__1,-3.7865424607,-0.4821898545
abx_media__rpmi_cipro__2,-3.8136258023,-0.5204770475
abx_media__camhb_cipro__1,-4.6327504111,-0.5370838245
abx_media__camhb_cipro__2,-4.4708390162,-0.4516269375
hot_tale__42c_ale3_30c__1,1.9012396031,-0.3249688555
hot_tale__42c_ale3_30c__2,1.6171557876,-0.3795756395
hot_tale__42c_ale3_37c__1,0.9276609905000001,-0.30828850950000003
hot_tale__42c_ale3_37c__2,0.6686631421,-0.2941863865
hot_tale__42c_ale3_44c__1,-0.4002364657,0.5488233025
hot_tale__42c_ale3_44c__2,-0.1157781001,0.4516306295
hot_tale__hot_ale3_mid_30c__1,2.2158900000000002e-05,0.1138309225
hot_tale__hot_ale3_mid_30c__2,-0.3820820508,0.062107023500000004
hot_tale__hot_ale3_mid_37c__1,-0.1897704586,-0.3070936575
hot_tale__hot_ale3_mid_37c__2,-0.2611834568,-0.15959407850000001
hot_tale__hot_ale3_mid_44c__1,0.48006842660000004,0.0293072605
hot_tale__hot_ale3_mid_44c__2,0.3715641005,0.2443419735
hot_tale__hot_ale3_30c__1,-0.2997550988,-0.0635110465
hot_tale__hot_ale3_30c__2,-0.1234926867,-0.1947191705
hot_tale__hot_ale3_37c__1,-0.4196331504,-0.4305963285
hot_tale__hot_ale3_37c__2,-0.3891887999,-0.3544595525
hot_tale__hot_ale3_44c__1,-0.0497641408,-0.1738420565
hot_tale__hot_ale3_44c__2,0.3751426022,-0.0505229695
hot_tale__hot_ale4_30c__1,1.9849838896,-0.3119748785
hot_tale__hot_ale4_30c__2,1.9293247466,-0.3825624325
hot_tale__hot_ale4_37c__1,1.6037764222000002,-0.4684274935
hot_tale__hot_ale4_37c__2,1.5733725666,-0.3443794375
hot_tale__hot_ale4_44c__1,0.8485715144,0.2692837755
hot_tale__hot_ale4_44c__2,0.4880085632,0.2631765595
hot_tale__hot_ale8_30c__1,1.3816563993,-0.1575936165
hot_tale__hot_ale8_30c__2,1.6781022901,-0.2661097135
hot_tale__hot_ale8_37c__1,0.24636932890000002,-0.2372451105
hot_tale__hot_ale8_37c__2,0.17062272990000002,-0.2488959075
hot_tale__hot_ale8_44c__1,-0.3656610792,0.6890013535
hot_tale__hot_ale8_44c__2,-0.3668247303,0.5105992175
hot_tale__hot_ale9_mid_30c__1,0.1370117692,-0.2508406205
hot_tale__hot_ale9_mid_30c__2,0.5953205401,-0.31365199450000003
hot_tale__hot_ale9_30c__1,2.5672797084,-0.47418367650000004
hot_tale__hot_ale9_30c__2,2.5545634284,-0.5080223285000001
hot_tale__hot_ale9_mid_37c__1,1.1606134515,-0.2485643975
hot_tale__hot_ale9_mid_37c__2,0.966162747,-0.3082346855
hot_tale__hot_ale9_37c__1,1.4005399969,-0.41230487050000003
hot_tale__hot_ale9_37c__2,1.3202657398,-0.38296332650000003
hot_tale__hot_ale9_mid_44c__1,-0.2916300585,0.3486319185
hot_tale__hot_ale9_mid_44c__2,0.7050471202,0.46530473650000004
hot_tale__hot_ale9_44c__1,1.6974241317,0.1985409385
hot_tale__hot_ale9_44c__2,1.592967551,0.16124646950000002
hot_tale__hot_ale10_30c__1,0.1365534318,-0.13006518150000002
hot_tale__hot_ale10_30c__2,0.3692184659,-0.2547496385
hot_tale__hot_ale10_37c__1,0.645806799,-0.4034446715
hot_tale__hot_ale10_37c__2,0.8707788138,-0.4633705695
hot_tale__hot_ale10_44c__1,0.5858452080000001,0.2758828405
hot_tale__hot_ale10_44c__2,-0.3333283408,0.2307635445
hot_tale__hot_ale16_30c__1,0.2642379522,-0.3366500845
hot_tale__hot_ale16_30c__2,0.0796654121,-0.2285800985
hot_tale__hot_ale16_37c__1,-0.3786850147,-0.5441485665
hot_tale__hot_ale16_37c__2,-0.21432751630000002,-0.5946061675000001
hot_tale__hot_ale16_44c__1,-0.7834039294,0.1911661695
hot_tale__hot_ale16_44c__2,-1.2151107333,0.2011261815
pdhr_ale__pdhR-13_51__1,-1.3061603180999999,-0.1832230605
pdhr_ale__pdhR-13_51__2,-1.4335657159,-0.1498962905
pdhr_ale__pdhR-14_46__1,-2.385639218,0.1746852575
pdhr_ale__pdhR-14_46__2,-2.4156695086,0.3906057905
pdhr_ale__pdhR-15_51__1,-1.8391763396,0.1101380135
pdhr_ale__pdhR-15_51__2,-2.107246635,0.0857822325
pdhr_ale__pdhR-16_49__1,-3.2414437559,0.31038570050000003
pdhr_ale__pdhR-16_49__2,-2.974635543,0.19123444650000002
tcs__del_atoC_LiAcet__1,-1.7158363031000001,0.3891515425
tcs__del_atoC_LiAcet__2,-2.1757113904,0.5097199635
tcs__del_atoC_LiCl__1,-3.1191492245,0.6021355315
tcs__del_atoC_LiCl__2,-3.40557957,0.5831505945000001
tcs__del_atoC_m9__1,-2.5916057201,0.6474667495
tcs__del_atoC_m9__2,-2.6967169313,0.7039626025
tcs__del_baeR_etoh__1,-6.6524739497,0.5678975895
tcs__del_baeR_etoh__2,-6.2661182191,0.6364931475000001
tcs__del_baeR_lb__1,-5.9481022251999995,0.2957524015
tcs__del_baeR_lb__2,-5.5820489454,0.3143950655
