,A,LevR
MG+15_2,-3.005589499,10.6926
MG+25_2,-3.2821339346,9.734
MG+45_2,-1.0774538187,9.4402
MG+60_2,-1.1098543311,9.637
MG+90_2,-0.1241564467,9.0669
MG+120_2,-0.009197121400000001,9.7041
MG-0.1_3,0.8095245232,10.7584
MG-0.2_3,0.2713409046,10.357
MG+5_3,-1.7648028798,9.9472
MG+10_3,-1.9624997576,9.6518
MG+15_3,-3.2099271112,10.3686
MG+25_3,-3.9764800754,10.3948
MG+45_3,-2.0454147369,10.659
MG+60_3,-1.5332759126000002,9.9717
MG+90_3,-0.39809055200000004,9.9236
MG+120_3,-0.28479350270000003,9.4435
MG+150_3,2.7547289914,9.7819
