sample,b0562_2
cra_crp__delcra_fru__1,3.54274336121418
cra_crp__delcra_fru__2,3.30971174970433
cra_crp__delcra_glc__1,3.01907400122365
cra_crp__delcra_glc__2,2.61362746798812
rpoB__wt_031__1,3.28046054526728
rpoB__wt_044__1,2.23243842717567
rpoB__wt_lb__1,2.41031269077697
rpoB__wt_lb__2,2.84480227313595
rpoB__rpoBE546V_031__1,3.73681180313745
rpoB__rpoBE546V_044__1,3.8186133697578297
rpoB__rpoBE546V_lb__1,2.66509534287872
rpoB__rpoBE546V_lb__2,3.03983769996867
rpoB__rpoBE546V_glc__1,3.26375812372629
rpoB__rpoBE672K_glc__1,1.20096795690445
rpoB__rpoBE672K_glc__2,1.6532563482936697
rpoB__rpoBE672K_lb__1,2.03308770740217
rpoB__rpoBE672K_lb__2,1.8818316037965102
crp__wt_fru__1,3.7197726618068905
crp__wt_glyc__1,3.5187008429117297
crp__wt_glyc__2,3.4326326545102597
crp__delar1_glyc__1,4.14188376983728
crp__delar1_glyc__2,3.86048124926287
crp__delar1ar2_glyc__1,3.7663019973011203
crp__delar1ar2_glyc__2,3.36455409669843
crp__delar1ar2_glyc__3,3.5614310681349997
crp__delar2_glyc__1,4.1846050260298995
crp__delar2_glyc__2,3.53648442915699
crp__delar2_glyc__3,4.1734309074482105
crp__delcrp_fru__1,2.9065349895614796
crp__delcrp_fru__2,2.20470656993121
crp__delcrp_fru__3,3.8026442402005696
crp__delcrp_glc__1,2.50478236165646
crp__delcrp_glc__2,3.10727542812393
crp__delcrp_glc__3,3.15142791834258
crp__delcrp_glyc__1,2.91518386458785
crp__delcrp_glyc__2,2.76368308312518
crp__delcrp_glyc__3,3.11867163338787
glu__glu_ale3__1,3.40185965748911
glu__glu_ale4__1,1.2447472026258999
glu__glu_ale5__1,2.0059409621103
glu__glu_ale6__1,1.7913027245161102
glu__glu_ale8__1,1.77683925255932
glu__glu_ale9__1,2.8319166261387996
glu__glu_ale10__1,3.9654962524187702
42c__wt_42c__1,2.37508791319278
42c__42c_ale1__1,3.09652966050735
42c__42c_ale2__1,2.90821120585669
42c__42c_ale3__1,1.61951390785929
42c__42c_ale4__1,3.94633360964711
42c__42c_ale5__1,4.54707210364204
42c__42c_ale6__1,3.08670941320864
42c__42c_ale8__1,3.6085442693437004
42c__42c_ale9__1,1.4737588612917398
42c__42c_ale10__1,4.14803467769909
ssw__wt_ac__1,3.38148474838848
ssw__wt_glc__1,3.6927923649468797
ssw__wt_glyc__1,2.81796348028085
ssw__wt_xyl__1,3.4182414592121697
ssw__glc_ale1__1,4.10208910480569
ssw__glc_ale2__1,4.64129745928389
ssw__glc_ale3__1,2.57020688343064
ssw__glyc_ale1__1,3.3083489897441503
ssw__glyc_ale2__1,3.9893697393654297
ssw__xyl_ale1__1,4.757656201430111
ssw__xyl_ale2__1,4.50175825009914
ssw__xyl_ale3__1,3.6320694183179505
ssw__glc_ac_ac2__1,4.2796670810380295
ssw__glc_ac_glc1__1,3.89653262024213
ssw__glc_ac_glc2__1,4.38787440573617
ssw__glc_glyc_glc__1,4.2398387759586
ssw__glc_glyc_glyc__1,3.71639781530823
ssw__glc_xyl_glc__1,3.88093871910335
ssw__glc_xyl_xyl__1,3.8258373828914904
pgi__glu4_delpgi__1,2.27068866288476
pgi__pgi_ale1__1,3.16383556977134
pgi__pgi_ale2__1,4.037537138227941
pgi__pgi_ale3__1,2.7887781346089398
pgi__pgi_ale5__1,3.3204922339088
pgi__pgi_ale6__1,3.00373411950171
pgi__pgi_ale7__1,3.3328020931959106
pgi__pgi_ale8__1,2.7590144358423596
ica__wt_glc__1,4.10507793656095
ica__wt_glc__2,3.93784248751029
ica__wt_glc__3,3.43145509457923
ica__wt_glc__4,3.73517182822402
ica__arg_sbt__1,3.4042177980391095
ica__arg_sbt__2,3.3986557474426697
ica__cytd_rib__1,4.72408149963413
ica__cytd_rib__2,4.77634919093394
ica__gth__1,3.83536835940112
ica__gth__2,3.4694222243755197
ica__leu_glcr__1,3.78989880958835
ica__leu_glcr__2,3.57550763386549
ica__met_glc__1,3.2963093499500604
ica__met_glc__2,3.31850397141033
ica__no3_anaero__1,3.76158131084748
ica__no3_anaero__2,3.755201395880001
ica__phe_acgam__1,3.20457010835402
ica__phe_acgam__2,3.42598273065202
ica__thm_gal__1,4.28126158546435
ica__thm_gal__2,3.7410081757857996
ica__tyr_glcn__1,3.2180233023209603
ica__tyr_glcn__2,3.5606638091305096
ica__ura_pyr__1,4.10638523904083
ica__ura_pyr__2,3.62425889913249
ica__wt_glc__5,3.81791773233044
ica__wt_glc__6,4.142122647569201
ica__bw_delpurR_cytd__1,3.70587306265669
ica__bw_delpurR_cytd__2,3.97466820730035
ica__ade_glc__1,5.283173499807741
ica__ade_glc__2,4.83644359421463
ytf__wt_glc__1,3.7188313113675804
ytf__wt_glc__2,4.155685174788109
ytf__delyafC__1,4.31442252049304
ytf__delyafC__2,4.810982946615121
ytf__delyeiE__1,4.3202902659395095
ytf__delyeiE__2,3.3230373052907995
ytf__delyiaJ__1,4.5925095656107695
ytf__delyiaJ__2,4.74469524214763
ytf__delyieP__1,4.421859604094861
ytf__delyieP__2,4.51053135865121
ytf__wt_ph5__1,4.04556220495164
ytf__wt_ph5__2,4.07388608433034
ytf__wt_ph8__1,3.08414133488342
ytf__wt_ph8__2,3.6010611457901605
ytf__delybaO__1,4.18021527228724
ytf__delybaO__2,4.30779171139942
ytf__delybaQ__1,4.09912403515561
ytf__delybaQ__2,3.54966122497377
ytf__delybiH__1,4.2442848785813
ytf__delybiH__2,4.5055527571192995
ytf__delydcI_ph5__1,3.92739599319138
ytf__delydcI_ph5__2,3.85996287850582
ytf__delydcI_ph8__1,3.14158020748532
ytf__delydcI_ph8__2,3.8277592226756902
ytf__delyddM__1,4.3781829535071095
ytf__delyddM__2,3.82776449809179
ytf__delyheO__1,4.55015185468782
ytf__delyheO__2,4.670133145301651
fps__bw_glc__1,3.8673812127948097
fps__bw_glc__2,4.13175323434149
fps__fps_thrA_ale1__1,4.7133182646142995
fps__fps_thrA_ale1__2,4.44800024610524
fps__fps_thrA_ale2__1,4.65638257541956
fps__fps_thrA_ale2__2,4.546375600835691
fps__fps_serB_ale1__1,4.61883061703086
fps__fps_serB_ale1__2,4.48754291052675
fps__fps_serB_ale4__1,5.20208780511453
fps__fps_serB_ale4__2,5.12508438837579
fps__fps_ptsI_ale1__1,5.39482128760274
fps__fps_ptsI_ale1__2,5.31381769832477
fps__fps_ptsI_ale3__1,4.86116800292986
fps__fps_ptsI_ale3__2,5.09951257653525
pal__lyx_ale2_f6__1,4.904400257790121
pal__lyx_ale2__1,4.81182435983943
pal__lyx_ale2__2,4.30061688446527
pal__lyx_ale4__1,4.81182435983943
pal__lyx_ale4__2,4.30061688446527
pal__5drib_ale10_f18__1,5.30557700531625
pal__5drib_ale10_f18__2,5.321678613697389
pal__5drib_ale10__1,4.99192731672587
pal__arab_ale14_f9__1,4.55950377776938
pal__arab_ale14_f9__2,4.32727309856999
pal__arab_ale14__1,3.7403691693760197
pal__arab_ale14__2,4.000474345251121
pal__arab_ale16__1,5.1667084179204
pal__arab_ale16__2,4.49929935548108
pal__tartr_ale26_f10__1,4.4819512342216905
pal__tartr_ale26_f10__2,4.497942436142679
pal__tartr_ale26__1,4.463481191890731
pal__tartr_ale26__2,4.10440909901319
pal__tartr_ale28_f10__1,4.39996344462111
pal__tartr_ale28_f10__2,4.77945644606332
pal__tartr_ale28__1,4.279967614380101
pal__tartr_ale28__2,4.9009921454172005
efeU__delmenFentC_citr__1,3.6533378278201605
efeU__delmenFentC_citr__2,4.11316749826723
efeU__delmenFentC__1,3.8836956902534596
efeU__delmenFentC__2,3.94943429913783
efeU__menFentC_ale39__1,4.3995372104627695
efeU__menFentC_ale39__2,3.48104680691486
efeU__menFentC_ale29__1,3.5433365578524603
efeU__menFentC_ale29__2,2.97013762641083
efeU__menFentC_ale30__1,3.8943341089100403
efeU__menFentC_ale30__2,4.10944573638295
efeU__menFentCubiC_ale36__1,3.7829623357332003
efeU__menFentCubiC_ale36__2,3.99172819212282
efeU__menFentCubiC_ale37__1,4.12949543126456
efeU__menFentCubiC_ale37__2,4.0534607578636805
efeU__menFentCubiC_ale38__1,3.9355410906617703
efeU__menFentCubiC_ale38__2,3.89740575472825
