,A,NikR,Fnr,NarL,RpoN
acid__delgade_ph5__2,0.93420673190986,0.2405585729999995,-0.5235996460000011,0.4452644244999986,0.23216701249999794
oxidative__wt_pq__1,0.8649123010219492,-0.3779949930000006,-0.27798360400000105,1.1253454755000003,0.4468107434999986
oxidative__wt_pq__2,0.2918677327436477,-0.644510855,-0.40360473400000174,1.2190429044999993,0.3896680744999994
oxidative__deloxyr_pq__1,0.0194877117514424,-0.15277171800000033,-0.11731480800000148,1.0256380375000012,0.3630092974999979
oxidative__deloxyr_pq__2,0.7016904686393454,0.10535089299999978,-0.05299572400000052,1.1128686854999996,0.36022816349999864
oxidative__delsoxr_pq__1,0.9085369572879728,-0.281286379,-0.4695711340000006,0.8344043914999997,0.4533836634999986
oxidative__delsoxr_pq__2,0.8606208330321958,-0.1928526450000012,-0.4755742960000013,0.8354505564999997,0.4385974174999987
oxidative__delsoxs_pq__1,0.4338400685447062,-0.5497164090000002,-0.1387633190000006,1.2055026184999995,0.6504048324999978
oxidative__delsoxs_pq__2,0.5646918591362466,-0.4957176470000002,-0.1421156520000011,1.1488311055000002,0.6203968144999994
nac_ntrc__wt_csn__1,0.4852538985726877,0.8636447499999989,-0.1587119630000018,-0.07344860249999917,0.3878049414999989
nac_ntrc__wt_csn__2,0.6408764407090627,0.6011160449999995,-0.2040164890000007,-0.10560864150000082,0.3861706294999987
nac_ntrc__wt_cytd__1,0.1357472407414237,0.3968451799999988,-0.2233020650000004,0.09312365450000026,0.17801387349999942
nac_ntrc__wt_cytd__2,-0.0580422872261351,0.08773661299999969,-0.14878209200000114,0.11562003450000002,0.14013047449999938
nac_ntrc__wt_gln__1,1.4392555879739295,0.6799708029999998,-0.1339289860000008,0.3107882125000003,0.3875584074999985
nac_ntrc__wt_gln__2,1.0105450238033655,0.6376246090000004,-0.07252378100000101,0.4495536754999998,0.311200883499998
nac_ntrc__bw_delnac_csn__1,1.880319839560282,0.6414026960000001,-0.17298681200000132,0.2402466455000001,0.6216542454999985
nac_ntrc__bw_delnac_csn__2,2.245050600898324,1.430925339,-0.2073357070000004,0.15004977349999926,0.8497727804999986
nac_ntrc__bw_delnac_cytd__1,0.3111100487342778,0.5846258849999995,-0.3990849310000009,0.4465692275000004,0.16361194549999958
nac_ntrc__bw_delnac_cytd__2,0.17484847289053,0.4505320379999995,-0.4580705310000006,0.4666444895000002,0.20669714449999965
nac_ntrc__bw_delnac_gln__1,1.0751194413532452,0.3704833519999999,-0.3877521210000019,0.6344954094999986,0.3080251984999993
nac_ntrc__bw_delnac_gln__2,0.9675298097489866,0.4593700439999999,-0.3182893920000005,0.6517965395000003,0.29679560549999984
nac_ntrc__bw_delnac_nh4__1,2.4538298067883586,-0.118037932,-0.4074629840000004,0.049252151500000174,-0.20403797450000027
nac_ntrc__bw_delnac_nh4__2,1.907728012612109,0.3346974629999995,-0.4319254960000016,0.09158619050000016,-0.2513449025000014
misc__wt_no_te__1,0.111159110418866,0.3578434409999991,-0.5747228530000008,0.8055963485,0.4210455764999992
misc__wt_no_te__2,1.1699644102421247,0.2889317390000006,-0.4345764080000016,0.7341074955,0.34090928549999866
misc__bw_delcbl__1,0.7667104767578142,0.6811852390000004,-0.5447975610000011,0.035281455499999836,0.2606270084999984
misc__bw_delcbl__2,1.0872744404475432,0.6469406719999995,-0.5101214760000019,0.0774423845000003,0.32841042449999946
misc__bw_delfabr__1,2.246988644592588,0.6238798799999996,-0.5468835700000003,-0.1645777104999997,0.12483548650000033
misc__bw_delfabr__2,2.445277007997248,0.6220782979999999,-0.5969020620000016,-0.3014689524999996,0.10311443849999867
misc__bw_delfadr__1,2.1783182162624395,0.3089109670000001,-0.6318394690000009,0.0227612465,0.2262561374999983
misc__bw_delfadr__2,2.149541457558226,0.5485080030000011,-0.5991148660000007,0.08063040849999936,0.2539545304999997
misc__nitr_031__1,2.726641168834277,-0.03213457799999997,-0.4462157430000016,0.3691834524999997,0.3646965854999991
omics__wt_glu__1,3.60182439712909,1.6267470609999997,0.6836297179999988,0.4817487815000003,0.2962516994999991
omics__wt_glu__2,3.929538602357393,1.5568231719999996,0.7885854679999991,0.3933811924999997,0.4666522204999986
omics__wt_gly__1,4.763595544542764,0.8767454440000001,0.206760040999999,-0.050986039499999684,0.08866842549999987
omics__wt_gly__2,4.590214459170786,0.7515944880000012,0.1833143229999994,-0.023109983499999487,0.056832367499998426
omics__wt_thr__1,5.695777853859147,1.5817661089999993,-0.542585261000001,0.5990756294999997,0.7135937784999982
omics__wt_thr__2,6.444424746987473,1.6117093199999983,-0.6071561150000004,0.5218365345000002,0.7710917564999988
omics__bw_ac__1,-0.1205205281788527,0.5143770379999992,0.045715160999998616,-0.5340536034999994,0.2626952734999985
omics__bw_ac__2,0.1490641763478875,0.14831985499999956,0.09762738399999904,-0.4149396495,0.2125339714999992
omics__bw_fum__1,1.397904508008463,0.6051264779999999,-0.1884815580000012,-0.8381361135000001,-0.07199432850000065
omics__bw_fum__2,1.2589703204930935,0.4717258769999999,-0.2422709619999992,-0.9121125334999984,-0.13216740750000078
omics__bw_glc__1,1.5176352140758147,0.6487301549999991,-0.2345112470000004,-0.35132409249999963,0.08772091650000036
omics__bw_glc__2,0.6983824219685537,0.692382973,-0.2088260980000012,-0.4675586545000003,0.08663182049999918
omics__bw_pyr__1,-0.6148578923004984,0.8020867079999999,0.08724294099999952,-1.2049065184999996,0.13049388650000004
omics__bw_pyr__2,1.2381968526200593,0.4651538090000002,0.02212409499999879,-0.5649073274999994,0.07503947049999837
ompr__wt_nacl__1,0.3666415157628643,-1.3068425810000006,-0.7696515920000007,0.5331391284999993,0.8458476444999992
ompr__wt_nacl__2,0.4129910498008833,-1.4665090509999998,-0.6463673310000004,0.5641948175000007,0.7361582904999988
ompr__bw_delompr_nacl__1,0.4352845893860456,-1.9001999520000004,-1.035417797000001,0.07354963949999949,0.3376980424999978
ompr__bw_delompr_nacl__2,1.0924508552128689,-1.7416288270000004,-0.9836439900000008,0.05694921849999979,0.3812324994999994
minspan__wt_ade__1,1.3639841671727138,-2.0824970740000004,-0.579642380000001,0.4253597615000002,-0.2312180505000008
minspan__wt_glc__2,5.100482858076419,-1.1062719900000006,-0.946672155,-0.10022184849999947,-0.2809332425000015
minspan__wt_glc__3,4.663057176720331,-0.6754514819999997,-0.702451240000002,-0.03482806650000025,-0.29022478250000106
minspan__wt_glc__4,3.8518708502052768,-0.5957486919999999,-0.6560544730000011,-0.12163705150000048,-0.20542882750000224
minspan__wt_glc_anaero__1,14.665355836347318,0.8149626899999989,-1.3752412100000004,-0.1538379884999994,0.03892021449999916
minspan__wt_glc_anaero__2,16.34999891212659,1.6329888329999998,-1.5192858430000022,-0.36792119249999894,0.060990017499998224
minspan__wt_trp__1,13.634902911232023,0.7036424590000001,-1.8579653490000012,0.4121324694999986,0.1072953324999979
minspan__bw_delcra_glc__2,12.386849978327763,-0.2603278830000004,-1.774069647000001,0.3630780825000004,0.0527145324999978
minspan__bw_delcra_trp__1,10.955484328840653,0.3035340440000001,-1.6792622710000007,0.6441685144999987,0.10897918549999908
minspan__bw_delmntr__1,12.23337063186233,0.049834072999999535,-1.529694333000002,-0.10895602949999984,0.2383428174999977
minspan__bw_delnac_ade__1,2.68198766988382,-1.8349072950000005,-0.24103003300000125,0.0731933895000001,0.0018527365000000628
minspan__bw_delnac_glc__1,3.555851276253298,-0.5292879319999999,-0.7240322750000008,-0.18664946849999972,-0.33567946050000064
cra_crp__wt_ac__1,3.8495263817065366,1.0935598840000005,0.5630292579999985,0.10308692949999987,0.19179876049999933
cra_crp__wt_ac__2,3.5726036541710955,1.0933878039999998,0.5452901479999994,0.18241066449999987,0.15321709349999854
cra_crp__wt_fru__1,3.280635255590721,1.5936916509999994,0.574998437999998,0.2525159454999999,0.26576759049999943
cra_crp__wt_fru__2,2.5903889870989385,1.6678682379999996,0.5622400479999996,0.17281035049999982,0.3237425104999989
cra_crp__delcra_ac__1,1.6950822438452675,-0.1397651290000006,-0.3505163840000005,0.09591121550000016,-0.023381640500000245
cra_crp__delcra_ac__2,2.0953225807779696,-0.004301781999998866,-0.29769803800000183,-0.051466273499999986,-0.1429831305000011
cra_crp__delcra_fru__1,1.648707438153081,0.4542242879999998,-0.4862878060000018,0.4381540525000007,0.1073611114999995
cra_crp__delcra_fru__2,1.7804715638091246,0.3817036149999993,-0.5381468600000012,0.5490068335,0.12499276149999973
cra_crp__delcra_glc__1,0.9173570946368704,0.2577055939999999,-0.5029783950000013,0.2574579395000001,-0.026159681500001145
cra_crp__delcra_glc__2,0.7916444510464785,-0.059117824000000326,-0.5727874140000004,0.2698259865000017,-0.10072994250000099
rpoB__wt_031__1,-0.8908574929553704,-0.5139777950000006,-0.4392632620000008,-0.3415813295000003,-0.05696854050000155
rpoB__wt_044__1,0.3329683547255072,0.19437456999999905,-0.35546248300000194,0.11219308750000057,0.2237648204999996
rpoB__wt_lb__1,3.1009808699320165,-0.653241544000001,-0.4312754440000006,0.5881046484999999,-0.028158271500000612
rpoB__wt_lb__2,3.1117252767872903,-0.4787947790000002,-0.4756920160000018,0.4456274494999999,0.010328368499997964
rpoB__rpoBE546V_031__1,0.7535676673649746,0.3846056549999988,-0.2190748840000012,-0.10447847550000056,-0.1267133255000008
rpoB__rpoBE546V_044__1,0.0539401533111106,0.3463369149999993,-0.29527451800000115,-0.08270643449999948,0.023719754499998302
rpoB__rpoBE546V_lb__1,3.3424949504100505,-0.003517269000000489,-0.1772575130000007,0.3906797055000002,-0.01329458850000087
rpoB__rpoBE546V_lb__2,3.793915387342316,-0.04845332500000055,-0.1896798920000009,0.44091671450000014,-0.016251761500001294
rpoB__rpoBE546V_glc__1,4.165627280092896,0.4128583919999995,-0.13970386800000156,-0.3587007084999998,-0.514114525500001
rpoB__rpoBE672K_glc__1,5.261622775315761,-0.23823691099999955,-0.2144874060000017,-0.8582225215000001,-0.20276037750000064
rpoB__rpoBE672K_glc__2,5.419486808004148,0.019299825999999243,-0.2133236690000011,-0.6973849044999998,-0.2285063375000007
rpoB__rpoBE672K_lb__1,4.830477252943598,-0.5047255390000007,-0.31724649200000066,0.12599003650000018,-0.6724268015000012
rpoB__rpoBE672K_lb__2,5.5762340477323225,-0.4796288450000006,-0.3099385020000014,0.15349259949999985,-0.5883223085000004
crp__wt_fru__1,0.178225188434018,0.027341075999999017,-0.2229942960000013,-0.4725241865000003,-0.26149362750000194
crp__wt_glyc__1,0.3341360375765925,-0.09109735899999992,-0.17428477600000036,-0.4338023084999998,-0.4111413085000004
crp__wt_glyc__2,0.228533856615558,-0.247436327,-0.08995859500000059,-0.4517896045000001,-0.3161550525000019
crp__delar1_glyc__1,-0.0362316836425708,0.4191544130000002,-1.2857264020000017,0.7869022914999997,0.6530569714999999
crp__delar1_glyc__2,1.2938269209716204,0.7861309590000003,-1.5015297130000018,1.0605303565000002,0.6094381865000003
crp__delar1ar2_glyc__1,3.3166334303979257,0.8358333289999997,-0.15562998200000067,0.4460130265000002,0.4106341614999991
crp__delar1ar2_glyc__2,3.451312805795084,1.085782762,-0.11493448800000115,0.4088875744999987,0.3926384064999997
crp__delar1ar2_glyc__3,4.03700174021207,0.902884823,-0.1471097530000005,0.4974127275000004,0.3384137364999997
crp__delar2_glyc__1,13.024372553423074,1.0581197109999998,-1.2714837790000022,1.2369219454999998,0.2390130574999993
crp__delar2_glyc__2,14.822635121298616,1.4457641540000001,-1.1773514360000004,0.8874602844999986,0.3881425054999994
crp__delar2_glyc__3,14.866609092200576,1.6392063390000002,-1.1748534320000008,1.0767604395,0.5417163864999992
crp__delcrp_fru__1,1.7017494789032497,0.3291549009999981,-0.24670364600000205,0.5996688084999997,0.4873410544999999
crp__delcrp_fru__2,2.3479024651986027,0.6855399890000005,-0.21771090100000198,0.5703166005,0.6076043144999996
crp__delcrp_fru__3,1.8337463599151385,0.7404981859999991,-0.34636329800000176,0.5036175315000015,0.46314233749999895
crp__delcrp_glc__1,3.1198861580761883,0.8851222249999989,-0.14795257000000106,0.2273135154999997,0.6373608284999985
crp__delcrp_glc__2,2.464042717474549,0.9060427249999988,-0.1338359880000013,0.3345255854999998,0.6669930294999986
crp__delcrp_glc__3,1.9549166928325432,0.6891543579999997,-0.2458932260000015,0.4058469044999997,0.5979555294999983
crp__delcrp_glyc__1,2.627480573988684,0.925209024,-0.17621799900000035,0.4500058444999997,0.4546922764999994
crp__delcrp_glyc__2,2.602657019101166,0.8971217940000002,-0.25661334000000124,0.3381277484999998,0.4769414484999981
crp__delcrp_glyc__3,2.4892087793054243,0.647535425,-0.2795685010000017,0.4754143025000008,0.4892179915000003
glu__glu_ale3__1,3.6944683762848025,1.1993888139999995,-1.5312083710000015,-0.4428699924999995,-0.1601779305000015
glu__glu_ale4__1,5.591120630271831,0.17994711699999932,-0.3330961230000007,-0.2461249024999992,-0.28002795650000145
glu__glu_ale5__1,6.107652625953984,0.22435255999999887,-0.7786549400000009,-0.6606236855000001,-0.6870798615000009
glu__glu_ale6__1,5.060926263527041,0.17166481999999927,-0.12059369700000032,-0.7887084074999997,-0.5723060855000011
glu__glu_ale8__1,-0.0013428551359613,1.125044599999999,-1.378413375000001,0.2722742915000005,0.16357349049999925
glu__glu_ale9__1,5.798651960000301,0.7125799329999998,-0.7807343670000009,-0.2739036004999997,0.0031536634999991264
glu__glu_ale10__1,4.632893219018812,0.6937532840000005,-1.3600023360000009,-0.7454388865000006,-0.2871971685000005
42c__wt_42c__1,10.114137477535044,0.19472518499999936,-1.0145581910000008,-0.06704781849999986,0.0244120204999998
42c__42c_ale1__1,0.8585187260377896,0.6617515359999997,-1.8717782250000008,0.1811508085,0.34912003849999884
42c__42c_ale2__1,0.4711293757603497,0.30751486399999983,-0.4431280230000017,-0.3306118815000003,-0.3153191495000014
42c__42c_ale3__1,0.8828088076034303,1.0649155090000004,-0.1727305000000019,-0.1838051574999993,0.09912298549999933
42c__42c_ale4__1,-0.0454359806548856,0.8542099709999995,-0.3207554420000012,0.4484809985,-0.10734334550000037
42c__42c_ale5__1,0.74975985554879,0.2430357110000001,-0.5273028440000012,0.3130631115,-0.2023175995000006
42c__42c_ale6__1,3.1581770414996493,2.541323145,-1.720490645,-0.049182822499999716,0.8135905604999998
42c__42c_ale8__1,-0.6823717381700799,0.8759826889999998,-0.7990813750000001,-0.09290142249999978,0.3201673924999984
42c__42c_ale9__1,1.525161695759049,0.4820112899999991,-0.4473727390000004,-0.05750777349999936,-0.0553719955000016
42c__42c_ale10__1,-0.7133803645662731,1.2527146399999989,-0.9696312210000002,-0.008791543499998333,0.21542995749999785
ssw__wt_ac__1,2.22810614374536,-0.2709653870000004,-0.8082528600000014,-0.8583090594999998,-0.21780781650000056
ssw__wt_glc__1,2.7184117021896377,0.2565429859999995,-0.2496041240000011,0.0038348415000015726,-0.22127274850000056
ssw__wt_glyc__1,11.518392944346289,0.04449924199999966,-0.3966449650000019,-0.7905101045,-0.2125297985000003
ssw__wt_xyl__1,4.648135810438934,-0.8925076000000001,0.2157472579999986,-0.6531480724999996,0.4108722804999996
ssw__glc_ale1__1,6.790084480863057,0.1952546169999998,-0.4638172160000007,-0.5733266404999995,-0.7788251875000016
ssw__glc_ale2__1,8.335934155220876,0.3771296399999988,-1.507022258000001,-0.3617682765000003,-0.06379253150000075
ssw__glc_ale3__1,10.917569930581225,0.5676372499999989,-1.2375372210000002,-0.38723354150000056,0.2370279344999986
ssw__glyc_ale1__1,9.056628957723536,-0.20318618300000055,-0.391325409000002,-0.0020606384999997123,-0.3120889155000013
ssw__glyc_ale2__1,12.191961277511586,1.146687460999999,-1.296498570000001,-0.3970384554999997,0.20205476849999826
ssw__xyl_ale1__1,8.9448722738401,0.69392721,-0.9544926520000008,-0.6818209104999999,-0.1082888095000012
ssw__xyl_ale2__1,6.085135339340627,-0.20474636299999996,-0.6357546720000009,-0.34240253650000074,-0.14978203550000124
ssw__xyl_ale3__1,5.201173264299763,-0.1888498400000005,-0.9828595450000002,-0.08376697150000023,-0.3262490615000013
ssw__glc_ac_ac2__1,13.369463068618408,1.058333802,-2.2943992480000013,-0.4176094644999999,-0.0901773505000012
ssw__glc_ac_glc1__1,4.576296696327403,0.05640896400000006,-0.3561024360000005,-0.8176861595,-0.2899039005000006
ssw__glc_glyc_glc__1,8.166359344705322,-0.05011552000000119,-1.4659991440000013,-0.3219710434999996,-0.274164401500002
ssw__glc_glyc_glyc__1,4.542734674535479,0.20430461599999905,-0.5806601790000006,-0.38845042949999975,-0.4525024585000006
ssw__glc_xyl_glc__1,12.578544916873982,0.014585783000001127,-1.242127184000001,-1.3542981185,-1.0410889935000007
ssw__glc_xyl_xyl__1,4.007774653630366,-0.3324699200000003,-0.7752710380000014,-0.4038016254999999,-0.8552477355000008
ica__wt_glc__1,2.751602472600001,-0.9529346879999999,-0.7268877690000011,-1.2482984155,-0.5082379055000006
ica__wt_glc__2,3.607247905998015,-0.7727984309999999,-0.7699083190000007,-1.0586845324999992,-0.4994340875000018
ica__wt_glc__3,2.2119249500977847,0.3653006140000006,-0.5550889640000012,-0.7520441115000001,-0.1040741495000006
ica__wt_glc__4,1.4520947394462962,-0.321606117,-0.701890070000001,-0.8188419215000007,-0.2792215905000006
ica__arg_sbt__1,4.85547525403594,-1.5313402230000002,-0.9857155870000014,-0.2863410384999998,-0.267100214500001
ica__arg_sbt__2,4.44428919200559,-1.2170937510000002,-0.8052297820000014,-0.468019407499999,-0.3823479205000009
ica__cytd_rib__1,0.9095129182217296,-1.2112338010000006,-0.6435942390000005,-0.4358049355000002,0.1386887864999995
ica__cytd_rib__2,1.54215477462638,-1.4104171010000002,-0.6875447610000016,-0.6309743794999996,0.12476168449999925
ica__gth__1,0.7543199975510002,0.4612896809999994,-0.8140340760000004,-0.7184819784999998,0.3953586514999987
ica__gth__2,0.8522947696776029,1.1355671509999998,-0.9197743240000024,-0.7504386355000001,0.5102487215
ica__leu_glcr__1,1.4456544929758326,-0.7730322390000001,-0.5381583960000018,-0.5791105414999995,-0.2586659055000009
ica__leu_glcr__2,1.5443603283992895,-0.8466714610000006,-0.5397882840000019,-0.6834166564999995,-0.33747655350000016
ica__met_glc__1,3.7022804628617423,-1.0503305020000004,-0.7339297900000012,-0.9902756455000016,-0.8079442385000002
ica__met_glc__2,2.784208766792361,-0.6225603710000005,-0.7304694330000014,-1.2867556815000007,-0.8131288585000007
ica__no3_anaero__1,7.403685427101641,-0.3372654420000005,-0.7996812930000008,-0.32411681550000004,0.023476880499998742
ica__no3_anaero__2,7.52799777347034,-0.4852384640000009,-0.7648052850000013,-0.5466204944999999,0.012221922499998428
ica__phe_acgam__1,2.4275573320278814,-0.8502027980000006,-0.5583355860000019,-0.9350117724999992,-0.5329956575000017
ica__phe_acgam__2,2.9664207054868985,-0.748402264000001,-0.4918045360000018,-1.1942437415000002,-0.5109843565000025
ica__thm_gal__1,2.522619204117328,-0.5052575810000004,-0.6206503470000015,-0.010120483499999722,-0.1857659965000007
ica__thm_gal__2,2.9441995189389787,-0.1064498580000004,-0.6047507440000004,0.05020451349999977,-0.08514855650000186
ica__tyr_glcn__1,2.6708233242164727,-0.6465642469999997,-0.6034127080000005,-0.5662972534999984,-0.3903549005000011
ica__tyr_glcn__2,3.5698039802481394,-0.6398878010000004,-0.6014504730000017,-0.4109628755000001,-0.3410315705000011
ica__ura_pyr__1,0.1631213387248357,-0.2497486929999999,-0.5894554290000009,-0.8255950734999997,-0.3768134025000016
ica__ura_pyr__2,0.7320843864563806,-0.25592663800000004,-0.5449526920000007,-0.8005288574999998,-0.4399327825000024
ica__wt_glc__5,2.20153495456925,-0.2911954290000009,-0.6705241160000011,-0.5925904434999998,-0.5177360115000011
ica__wt_glc__6,1.243902095267767,-0.21793474700000012,-0.6067997510000005,-0.5365248515000003,-0.4911570285000009
ica__bw_delpurR_cytd__1,1.296849163390805,-0.7510703169999999,-0.7190110720000007,-1.150300382499999,-0.7443637615000025
ica__bw_delpurR_cytd__2,2.2810622593769843,-0.12934094900000034,-0.6968049610000016,-1.1125573584999984,-0.7433956735000002
ica__ade_glc__1,1.7574985856673522,-0.09395720699999988,-0.6706830310000012,-0.9379271884999998,-0.7138325825000011
ica__ade_glc__2,1.0773459267074024,-0.7718159260000004,-0.7218945370000007,-0.8743913924999998,-0.8051262665000012
ytf__wt_glc__1,3.346942969011644,-0.517376144,-1.0162461270000005,-0.12357321249999932,-0.21770051350000053
ytf__wt_glc__2,4.756274881402715,-0.059007386000000224,-1.3082336250000015,-0.15965931849999834,-0.17772786350000125
ytf__delyafC__1,11.803350997731304,0.8650532669999995,-1.7164273530000018,0.8482297725000008,0.11754725149999955
ytf__delyafC__2,3.5069632856089306,-0.06509421599999943,-1.6210117860000004,0.7273271894999986,0.1546335704999997
ytf__delyeiE__1,7.536577938099436,1.386449880999998,-0.1461128140000003,0.4105892334999988,0.02506978449999941
ytf__delyeiE__2,2.123284967306179,-0.012183988000000312,-0.4326376600000009,-0.05585968050000023,-0.14861009750000065
ytf__delyiaJ__1,11.09295761279601,0.6193280909999999,-1.55639051,0.43253308550000025,0.08753290149999947
ytf__delyiaJ__2,9.126728143690574,0.4520548609999997,-0.8717574610000014,0.5352296384999997,0.23139318550000001
ytf__delyieP__1,10.777288508155582,0.4313785890000004,-1.347170503000001,0.19399182650000046,0.2141136244999995
ytf__delyieP__2,9.37725487456477,0.2922885409999996,-1.305195932000002,0.13679431949999987,0.20653274349999864
ytf__wt_ph5__1,1.163258169382403,-0.30824944300000023,-0.5570430830000017,-0.21598817950000004,-0.15667631850000066
ytf__wt_ph5__2,2.3727770936726524,0.09284467200000003,-0.5606580010000021,-0.19248613749999954,-0.121676410500001
ytf__wt_ph8__1,1.2242648775441398,-0.19530555900000035,-0.5787427820000008,-0.35995393949999954,-0.28805662350000105
ytf__wt_ph8__2,1.5116997009521846,-0.08353724300000033,-0.3957363220000012,-0.27431484150000074,-0.35179708450000113
ytf__delybaO__1,12.59706134254538,1.06541657,-1.6552725600000002,0.4246207255000005,0.0868237454999985
ytf__delybaO__2,12.7150046097345,0.9477794839999998,-1.410532003000002,0.5214714285000001,0.1171547664999988
ytf__delybaQ__1,2.0537779490218666,-0.2302630030000001,-0.606795733000002,-0.2681458604999998,-0.3664812775000019
ytf__delybaQ__2,2.186313485660369,-0.2554057910000003,-0.5836305950000007,-0.2141154734999997,-0.4210866755000007
ytf__delybiH__1,3.816022149711382,-0.4702399079999999,-0.9780890030000008,-0.021794833499999555,-0.08041245350000104
ytf__delybiH__2,8.33510626548427,-0.06580582499999997,-1.476111577000001,0.20510170549999973,0.1485691504999984
ytf__delydcI_ph5__1,1.692424875163741,-0.3440636650000002,-0.6045711670000014,-0.3228478054999995,-0.2860461955000009
ytf__delydcI_ph5__2,1.5154122893318622,-0.2666298540000005,-0.612837080000002,-0.4355703905000015,-0.2915660545000005
ytf__delydcI_ph8__1,2.601013881845176,-0.37015064300000056,-0.4941553620000008,-0.23065727849999984,-0.19775634250000174
ytf__delydcI_ph8__2,1.7426989771098442,-0.311771641,-0.6297628440000018,-0.3051913155000001,-0.43030544550000105
ytf__delyddM__1,3.13283736980266,0.3983690079999995,-0.5226934970000006,0.11745116450000025,0.04367951749999932
ytf__delyddM__2,2.147052077617797,0.2842901250000001,-0.4254320210000007,0.07583943649999991,0.05102436849999848
ytf__delyheO__1,7.569349930029042,-0.08391858400000096,-1.8218537240000008,0.3870393585,0.009473350499998643
ytf__delyheO__2,12.742947066528158,0.9052150159999997,-1.8295830700000009,0.3588376784999987,0.024496082499998902
fps__bw_glc__1,1.009301234308146,-0.41876840000000026,-0.6606700440000015,-0.7943733424999992,-0.5196136545000014
fps__bw_glc__2,0.0273756209534883,-0.5641024010000004,-0.7722607140000015,-0.6581343165,-0.6788874785000001
fps__fps_thrA_ale1__1,-0.3721451798405841,0.1910998299999989,-0.5674762880000017,-0.2444576485000001,-0.32055944650000257
fps__fps_thrA_ale1__2,0.3398810216254457,-0.2006650909999994,-0.7100081640000013,-0.22257904050000032,-0.4281293025000013
fps__fps_thrA_ale2__1,0.0634273949404433,-0.2505325540000003,-0.7084273220000004,-0.3165566974999994,-0.4658414105000013
fps__fps_thrA_ale2__2,0.0979759414383347,-0.13061697200000033,-0.6741296350000017,-0.2330808065000003,-0.40762423550000093
fps__fps_serB_ale1__1,-0.0146865740091348,-0.24980566900000056,-0.7472038340000005,-0.42182246549999997,-0.3878105415000013
fps__fps_serB_ale1__2,-0.4065428255970982,-0.024730438000000632,-0.6559473680000014,-0.2425066065000001,-0.3348743525000017
fps__fps_serB_ale4__1,0.8257732903542224,-0.4599311640000003,-1.1846466490000012,-0.7474121245000003,-0.19072830050000175
fps__fps_serB_ale4__2,-0.0533119348659147,-0.2506676340000009,-1.019253874000002,-0.4772296524999993,0.1012634694999992
fps__fps_ptsI_ale1__1,-0.4604594708819818,-0.6385222129999999,-0.9269502930000008,-0.9798916594999998,-0.8559759545000007
fps__fps_ptsI_ale1__2,-0.6003612461903622,-0.779674474000001,-0.8308143870000021,-0.9160638715000003,-0.7988730515000011
fps__fps_ptsI_ale3__1,-0.2895897023156596,-0.93241801,-0.8180644960000016,-1.0673735244999998,-0.8056928055000014
fps__fps_ptsI_ale3__2,-0.1923618251719944,-0.8467042090000003,-0.8140812820000018,-0.9897267365000006,-0.8484199965000014
pal__lyx_ale2_f6__1,-1.0448069088759242,-0.6953741820000001,-0.4994335160000016,-0.8733868394999984,-0.3722573105000011
