,A,Fnr,NikR,RpoN,NarL
SRX5694409,-3.8192134459,0.2983443387,-1.6080075488,-0.0535992765,-0.46924192730000003
SRX5694410,4.0628678501,0.12871355610000002,1.7272350459,1.1368348911,1.6275674107
SRX5694411,-2.8115610558,1.4088048351,-2.4388909203,0.2581631515,0.0717431857
SRX5694412,-0.0895079718,0.08708125080000001,-2.3751769877,0.2098929226,0.1418999508
SRX5694413,3.4664564949,-0.42460153910000004,2.0701511443,0.716158543,1.3045613756
SRX5694414,-2.550716898,0.9037219768,-0.736610816,-1.8195500993,-1.2192577822
SRX5694415,-3.5475109056000003,0.35278275610000004,-0.8200368299,0.3895025579,0.5364471703
SRX5694416,-0.0529153222,-0.1301828894,0.2232771168,-0.014744452600000001,-0.0076170702
SRX5694417,0.7049647916,0.1499766492,0.240844526,0.2542183783,-0.27625373140000004
SRX5694418,-4.0710167137,0.8640746426,-1.2485403949,-0.8593610486000001,-1.0222917741
SRX5694419,-2.7825885316,-0.014793680600000001,-1.4416590687,-0.9487100239,-1.5087092232
SRX5694420,-3.1645197747,-0.0468660871,-0.5259480120000001,0.3007382105,-0.5589211898
SRX5694421,4.1970227646,0.1322961821,0.8299227224,-0.1313019466,0.068627529
SRX5694422,-3.9551208626000003,0.619159111,-1.1359358272,0.6589152801,0.23941269040000002
SRX5694423,2.1118917546000002,-0.0780351353,0.5315298577,-0.3706064465,-0.3793496945
SRX5694424,-1.12860302,-0.5733023752,-0.9084679835,0.0097559328,0.09514280300000001
SRX5694425,-1.0498752539,0.3346755523,-0.9752508192,0.4438443918,0.3216977505
SRX5694426,0.735565946,0.6157335293,0.6507804434000001,0.093635272,-0.3478318655
SRX5694427,1.3006599814,-0.029816820400000003,0.0694695446,0.5502023702000001,0.1757205838
SRX5694428,-3.9721843945,-0.1057688244,-1.6852026694000002,0.23941242100000001,0.36504344
SRX5694429,-4.6750024328,1.4863412037,-2.1571990575,-0.7440725934,-0.3366484642
SRX5694430,-0.7388160922,-0.0200467158,-0.8486836641000001,0.4683853437,0.1457238569
SRX5694431,-1.5677164935999999,0.6682181821000001,0.0285767009,0.5657900501,-0.173456255
SRX5694432,6.8524750186,0.1093383753,1.5228743366000002,0.1570129421,0.9764181073
SRX5694433,3.9497620288,-0.42024945410000003,2.0522463545,0.7747464813,1.219990166
SRX5694434,-1.0877324012,-1.0686406259,0.19152348660000001,-0.2931713245,-0.4873407738
SRX5694435,-1.0342911112,0.2624442987,-1.1193417035,-0.5449878411,-0.14538301080000002
SRX5694436,-4.4707575724,0.1838410419,-1.7996488157,0.0784509131,-0.4901782139
SRX5694437,-6.4903529292,1.4458719120999999,-0.711605775,0.7547704340000001,-0.08747928320000001
SRX5694438,-2.2144972998,0.061060066100000004,-0.4953084559,0.3536250526,0.5088590205
SRX5694439,0.7810741027,0.8339819837,-0.5890347836000001,0.8746578005000001,-0.8191870707000001
SRX5694440,0.9591085269,0.2749615761,-0.1058914586,0.29936246310000003,0.3838430101
SRX5694441,-0.919994127,0.1675077619,-0.8431329125,-0.4710809825,0.1386459591
SRX5694442,-3.5699730769,0.2359552994,-0.7336214907,-0.326672564,-1.2035076039
SRX5694443,1.5459173193,-0.1143720156,0.2824518053,0.3962943741,-0.32990943310000004
SRX5694444,-2.8490209907,0.19924687600000002,-2.5115675108,0.37532094790000003,0.350365087
SRX5694445,0.012416357000000001,-0.1930182149,-0.08984406240000001,-0.6216938097,-0.8914052882
SRX5694446,2.5488677134,0.021624803,0.4011705732,0.13931253130000001,0.3805848848
SRX5694447,3.4818971101000002,0.1404174962,-0.2849059407,0.558718774,0.8127445483
SRX5694448,4.2090474691,0.7190717129,2.5605409256,0.9320456988,1.162897535
SRX5694449,1.5427518565,-0.106792127,0.2543365959,0.3979415361,0.12293057980000001
SRX5694450,4.5463344813,-0.5226446066,1.8153974567,0.9156218947,1.0434381186
SRX5694451,-1.6944736131,-0.9448240483,-0.8845709495,0.0770701456,-0.3811294766
SRX5694452,-3.1248688217,0.3519942873,-2.7980677732,-0.9236914394,-0.7681838617000001
SRX5694453,2.9655797819,-0.3420308308,1.8696509203,0.8473467504000001,1.4810631343
SRX5694454,-0.2994049992,0.2237971175,-0.3150839991,0.3170738315,0.12666160140000002
SRX5694455,-0.2769397752,-0.09366302650000001,-1.5159583394,-1.1251574594,-1.2428560724
SRX5694456,0.5877190586000001,0.1884711132,-0.3249294068,0.39791129080000004,-0.2609186745
SRX5694457,1.7020672389,0.1897163396,0.4556231606,0.3648318555,-0.0755452092
SRX5694459,3.5792923399000003,0.46955750020000003,1.2668175134,0.5319673363,0.2225884108
SRX5694460,2.5265641907000003,0.079054857,-0.44805847460000003,-0.775060662,0.16663621180000002
SRX5694461,6.6839485119,0.1562169847,1.0298391379,0.3689014584,1.1260659392
SRX5694462,-4.0128905856,0.5560831223,-1.8696290298,0.0294679464,0.0273460971
SRX5694463,1.6309172244,0.16093619850000002,0.0174132312,0.4541069357,-0.1009953331
SRX5694464,3.0913535673,0.21465859110000002,0.06734328690000001,0.4279902372,0.8172587432
SRX5694465,4.9353332993,-0.4506960218,1.1487361752,0.3348146301,0.32986084450000003
SRX5694466,-5.6323719201,1.4078249743,-0.9464010177000001,0.8618926901,0.4043260756
SRX5694467,-0.32439407330000003,-0.024926434900000002,-0.1265671239,0.0201267037,-0.2090247448
SRX5694468,0.2274581282,0.28331731590000003,-0.7171230129,-0.16178331940000001,-1.6490916468
SRX5694469,-0.0916579408,0.1656484172,-0.44097161490000003,0.37991272070000004,0.5836041919
SRX5694470,0.47906955630000003,0.0397621094,-0.0713077568,-0.037277264500000004,0.07538422110000001
SRX5694471,1.5515302334999999,0.0295181061,0.0378950388,0.3548311478,-0.2137039597
SRX5694472,-0.37590831680000003,0.6765520599,0.31769503660000004,0.1030718915,-0.2134462412
SRX5694474,-0.0924298606,-0.1313395527,-0.3285836881,-0.0312494943,-0.2306398724
SRX5694475,2.2624659708,-1.1849000443,0.691596702,0.4373284991,-0.5936463758
SRX5694476,-2.1924754309,0.1917764428,-0.9490622772,0.48419750240000003,0.11993875400000001
SRX5694477,2.2268057551,-0.1254083886,-0.3325377624,-0.7107889245,0.237909008
SRX5694478,5.1823163807,0.0413045956,1.0602967979,0.8456941073,1.8895943154000001
SRX5694479,-2.0145103377,-1.2130654544000001,0.0020483278000000002,0.344381459,1.2509991628
SRX5694480,-0.4075827869,-1.1475451275,0.7780141368,0.5506100709,1.1704671685
SRX5694481,7.3061037174,0.23990241980000002,1.4826097433,0.5508957859,1.3514043206
SRX5694482,1.9119045556,-0.042177127,0.23461643610000002,0.0168630616,0.0185558471
SRX5694483,1.3018810045,-0.341587067,-0.2739443158,0.39087303290000003,0.32390818520000003
SRX5694484,2.2719047777,0.1067217318,-0.1534979728,0.0445700484,0.4918307497
SRX5694485,-5.2457235459,1.3284647298,-0.6213144491,0.7730122446000001,0.5095991614000001
SRX5694486,0.0932365977,0.13667702310000002,-0.041516193300000004,0.2524576478,0.1723091054
SRX5694487,5.450582543,0.0400555976,0.8369980592,0.4396618196,0.5866863516
SRX5694488,0.43216777,0.1579017148,-0.9954606746,0.0991312743,0.2516220524
SRX5694489,-1.104488023,-0.2295144067,-1.0009847657,0.2002313933,-0.45374010200000003
SRX5694491,5.6834990978,-0.40999634500000004,0.24654291800000003,-0.30735370970000003,-0.0785225256
SRX5694492,1.3927617298000001,0.41635551470000004,-0.40969194130000003,-0.5015458618,-1.0671567044999999
SRX5694493,-6.2784402349,0.8852669989,-2.189407093,-0.9672754863,-1.70122574
SRX5694494,3.6600265556,0.47019160320000003,0.915186209,0.5316735566,0.7365673686
SRX5694495,0.4512301547,0.4263555999,0.2385763212,0.4761598155,0.0122959707
SRX5694496,0.7798897476000001,0.0158778074,0.08340869520000001,0.0169839429,0.0259563891
SRX5694497,-0.3241858567,-0.353805546,-0.6208656943,-0.2305984282,-0.3540785295
SRX5694498,2.2382657531,-0.0949833372,0.4484042985,0.3116507979,0.8158985592
SRX5694499,-1.9203464906,-0.0402154183,0.9892770503,1.5216893711,1.3660196396
SRX5694500,1.224213632,-1.0545825032,0.1523959036,0.2245963553,1.5077788525
SRX5694501,5.0086492043,0.0329465014,0.6406675341,0.1371741921,0.2878216163
SRX5694502,2.2853045086,0.49062571110000003,-0.11225812240000001,1.1305458372000001,1.742029518
SRX5694503,-0.7255681944,-2.5030278976,1.2656951747,1.0538105626,0.2939771813
SRX5694504,0.9541586013000001,0.22288803100000001,0.2130921935,0.1186262654,0.1611020242
SRX5694505,-2.7961422827,0.35465275100000004,-1.0935351568,-1.0961085104,-1.0212711095
SRX5694506,4.9613706187,0.49303985780000004,1.9068436048000001,1.1499602633000001,1.581232123
SRX5694507,0.6280119397,0.0909615292,0.2890299469,0.10986960450000001,-0.10018570930000001
SRX5694508,0.1423595296,-0.6050113022,0.8059447602,0.5247555823,0.6620764086
SRX5694509,-0.5039687139,-0.9469901951,-0.6277428465,0.28553015200000004,0.0350527978
SRX5694510,1.5648785825,0.0893514383,0.6794253323,0.1534864812,0.45207968070000004
SRX5694511,-1.6310596058,0.533781862,-1.4006069931,0.4048724238,0.3259638522
SRX5694512,4.1403817381,-0.5504288499000001,-0.2395595798,-0.6222267499,-0.5091000744
SRX5694513,-0.0633237524,-1.5708370051,0.4292321839,0.4140184986,1.1736352166
SRX5694514,3.3565506078,0.025528003,-0.5811032231000001,-0.7268102176,0.1218603947
SRX5694515,-0.7873392913,1.1960883277,-1.4484105708000001,0.6849445812,-0.1781436395
SRX5694516,0.0442748935,0.7337960436000001,-1.2207013959,0.7372848823,-0.6037946919
SRX5694517,3.7694641538,0.16543111060000001,0.447733048,0.4539067214,0.12449228870000001
SRX5694518,1.5919854608000001,-0.3013275018,0.34905329430000004,0.32490079320000004,-0.1297530696
SRX5694519,-4.5665094401,0.0524331097,-0.6153840420000001,-0.12180968210000001,0.1017590336
SRX5694520,2.5380916038,-0.1296792457,2.157492482,1.5449819276999999,2.3131630958000002
SRX5694521,-0.5586055738,-0.1166385846,-0.10753920530000001,0.22832263900000002,-0.07385166500000001
SRX5694522,-0.2937744376,0.5228202102,-1.3365412958,0.5151084096,0.406341769
SRX5694523,0.4371497287,0.0620767183,-1.0156108002,0.3231262352,0.4473448175
SRX5694524,-1.1679108834,-0.1670867104,-1.2574602646,0.22258493570000001,-0.4009290956
SRX5694525,-0.3884295303,-0.023023933200000003,0.0096016645,0.27905037790000004,-0.1585778277
SRX5694526,1.9346329207,-0.1780022674,-1.0086083687,0.078736579,0.5881761555
SRX5694527,4.8088445254,-1.288192235,0.8663011871,0.141757141,1.0121133392
SRX5694528,-2.7278250428,-1.1735091948,-0.23170391070000002,-0.0217036996,0.9215387213
SRX5694529,0.8340228482,0.4256665049,-1.3371278241,0.35144685610000004,0.7019706149
SRX5694530,4.3065404213,-0.14596955720000002,0.9715842746000001,1.3397554379,1.9011813671
SRX5694532,-1.8455909998000002,-0.6767342955,-0.8459346778,-0.6558120901000001,-0.6610720347
SRX5694533,-1.2095844967,1.5844404703000001,-0.045150363900000004,1.8194889627,1.8919933899
SRX5694534,-4.7223021587,1.4941188956,-1.9898612844999999,-0.1014722777,-0.6246931994
SRX5694535,2.9155174988,-0.0048985968,2.0546197579,1.4152471684,1.9307420204999999
SRX5694536,0.4326667455,0.23466406990000002,-0.7208479721000001,0.1218754201,0.22299274160000002
SRX5694537,1.2803180709,0.10958004780000001,0.1826287765,0.34099238190000003,-0.45803047500000005
SRX5694538,0.9131023655,0.2428538366,-0.1692219279,0.5996398814,0.014430849
SRX5694539,4.7836930519,0.0122195926,1.7405664539,0.8699823852,2.0435775268
SRX5694540,-0.6959027367,-0.7705289413,-0.8230738502,-0.7245664336000001,-0.5492119811
SRX5694541,6.7263799202,0.14097936390000002,1.4242843897,0.3460788568,1.1567118324
SRX5694543,2.0025155419,0.7008066596,-0.4239222917,0.684112421,-0.6898733783000001
