,A,RplJ
LoTm_2,-10.6787865796,-0.6306333333333285
LoTm_3,-11.4970089215,-0.9243333333333297
HiOs_1,-8.460651802,-0.4265333333333281
HiOs_2,-8.4589288212,-0.48793333333333067
HiOs_3,-7.7805221323,-0.1630333333333276
BMM_1,-1.5596862535,-0.00043333333332995494
BMM_2,0.0153892482,-0.00683333333332925
BMM_3,-1.8269440395,-0.01823333333332755
Heat_1,-5.9837472804,-0.016733333333327494
Heat_2,-5.400033718,-0.009333333333330529
Heat_3,-5.8402707862,-0.047933333333329387
Cold_1,-1.2872178358,-0.004733333333330592
Cold_2,2.2357072461,-0.025333333333328767
Cold_3,3.189761823,-0.16753333333332776
Etha_1,-25.4485975285,-3.7216333333333296
Etha_2,-26.1704907688,-3.17733333333333
Etha_3,-23.0403426115,-2.942233333333329
SMM_1,-1.5241402153,-0.028533333333328414
SMM_2,-1.2705993808,-0.01243333333333041
SMM_3,-1.5085372587,-0.004433333333327738
Salt_1,-3.0665858507,-0.6730333333333292
Salt_2,-3.6178999211000002,-0.5391333333333286
Salt_3,-3.4161530532,-0.7545333333333293
Mt0_1,2.2604142338,-0.009433333333330296
Mt0_3,0.624627441,0.028466666666670193
M0t45_1,-1.7487504265,-0.01243333333333041
M0t45_2,-0.4262745891,0.004066666666670216
M0t45_3,-2.9003457298,0.014066666666671779
M0t90_1,-33.1634637385,-4.66353333333333
M0t90_2,-24.9247285412,-3.3043333333333287
M0t90_3,-35.5771746145,-4.78793333333333
M40t45_1,-1.0337376872,-0.038633333333329745
M40t45_2,-11.5632844455,-1.6610333333333287
M40t45_3,-3.0660357418,0.0037666666666709148
M40t90_1,-30.9063502973,-4.509133333333329
M40t90_2,-25.1139552833,-3.23973333333333
M40t90_3,-33.9076709873,-3.9774333333333285
dia0_1,3.9370895627999998,-0.008433333333329074
dia0_2,1.4059727371,-0.006733333333329483
dia0_3,-0.3700776025,0.01466666666667038
dia5_1,-2.3848858236,-0.010733333333330819
dia5_2,-4.266552299,-0.22503333333332876
dia5_3,-1.8262930148,-0.3032333333333277
dia15_1,-9.0945481013,-0.9091333333333296
dia15_2,-5.1942857446,-0.011533333333328954
dia15_3,-0.0452864077,-0.03523333333333056
Diami_1,-2.9376109521,-0.9299333333333291
Diami_2,-3.0223215109,-0.12643333333332762
Diami_3,-2.6730597084000003,-0.0792333333333275
Paraq_1,0.7490079171,-0.024333333333327545
Paraq_2,-2.8062781831,0.0005666666666712672
Paraq_3,5.7214901404,-0.2727333333333277
H2O2_1,-1.8655476118,-0.01553333333333029
H2O2_2,-4.6758253426,-0.01103333333333012
H2O2_3,-4.4127439410000004,-0.03223333333333045
Oxctl_1,2.4238124864,-0.0722333333333296
Oxctl_2,4.6551566408,-0.029233333333330336
Oxctl_3,0.5566524031,-0.013433333333328079
GM-0.1_1,-3.5000195004,-0.21223333333333017
GM-0.2_1,-5.0347026341,-0.25353333333332984
GM+5_1,-3.5531358251,-0.19033333333332791
GM+15_1,-5.0390434549,-0.25323333333333053
GM+25_1,-1.3145862843,0.008666666666670153
GM+45_1,-2.604413374,-0.008833333333328142
GM+60_1,-1.7631987443,-0.019433333333328306
GM+90_1,-2.3156305009,-0.014933333333328136
GM+120_1,-3.2054300318,-0.42033333333332834
GM+150_1,-1.9891654051,-0.03173333333332806
GM-0.1_2,-1.2959550498999999,0.009566666666671608
GM-0.2_2,-2.3201087323,-0.045533333333327874
GM+5_2,-0.5884402811,0.004366666666669516
GM+10_2,-0.4834610334,0.00016666666667219943
GM+15_2,-1.5698953266,-0.0048333333333303585
GM+25_2,0.41445223810000004,0.0067666666666710285
GM+45_2,1.1298621424,-0.3539333333333303
GM+60_2,-1.7249845111000002,-0.37933333333332797
GM+90_2,-1.9195544526,-0.035533333333329864
GM+150_2,-4.1108779516,-0.8320333333333298
GM-0.1_3,-4.277584884,-0.023033333333330575
GM-0.2_3,-2.0750990837,0.008566666666670386
GM+5_3,-2.2163546013,-0.007433333333327852
GM+10_3,0.8985656197,-0.35863333333333003
GM+15_3,-2.5989181677,-0.09463333333333068
GM+25_3,-0.7606720102000001,-0.07343333333333035
GM+45_3,-4.7941156114,-0.6386333333333294
GM+60_3,-2.7134110628,-0.400233333333329
GM+90_3,-0.8788776518,-0.0810333333333304
GM+120_3,-4.1607590022,-0.07733333333332837
GM+150_3,-0.26146487420000003,-0.013633333333327613
MG-0.1_1,-3.548486109,-0.10103333333332998
MG+5_1,-0.5461901168000001,-0.03173333333332806
MG+10_1,-2.2775346053,0.003566666666671381
MG+15_1,0.2926639746,-0.01133333333332942
MG+25_1,-0.0382217796,-0.006333333333330415
MG+45_1,0.4967268315,-0.019133333333329006
MG+120_1,-3.8506463853,-0.5719333333333285
MG+150_1,-0.7620495844,-0.03433333333332911
MG-0.1_2,0.08264078500000001,-0.61093333333333
MG-0.2_2,2.3494969239,0.007666666666668931
MG+5_2,0.2927001072,-0.01933333333332854
MG+10_2,0.3960443314,0.007566666666669164
MG+15_2,-3.8886674875000002,-0.025133333333329233
MG+25_2,-0.1973755775,-0.13663333333332872
MG+45_2,-1.2180937055,-0.4813333333333283
MG+60_2,-0.5509426254,-0.02353333333332941
MG+90_2,1.1905878922,-0.0813333333333297
MG+120_2,-4.0018554125,-0.013633333333327613
MG-0.1_3,-1.8117664825,-0.007233333333328318
MG-0.2_3,-1.1556560945,-0.026833333333328824
MG+5_3,0.7628489903,-0.03263333333332952
MG+10_3,-1.8071153889,-0.44123333333332937
MG+15_3,-0.4799992142,-0.0028333333333279143
MG+25_3,0.37995216870000004,-0.005133333333329659
MG+45_3,-1.6605070292000002,0.011066666666671665
MG+60_3,0.5101466991,-0.026833333333328824
MG+90_3,0.1031975643,0.004766666666672137
MG+120_3,-3.5370304453,-0.13263333333333094
MG+150_3,0.6046238229,-0.01513333333332767
