,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X
73,Stress Time Course__M40t45,-4.5217333333333345,1.2715014051637277,3.0,178.0,-4.8077000000000005,179.0,-3.1316000000000006,180.0,-5.6259000000000015,,,,,,,,,,
74,Stress Time Course__M40t90,-2.563666666666668,0.17317671129032747,3.0,181.0,-2.7112000000000016,182.0,-2.6068000000000016,183.0,-2.373000000000001,,,,,,,,,,
75,Stress Time Course__dia0,-1.875566666666667,1.2450762600472844,3.0,184.0,-3.3085000000000004,185.0,-1.2603000000000009,186.0,-1.0579,,,,,,,,,,
76,Stress Time Course__dia5,-0.829600000000001,0.13954250248580144,3.0,187.0,-0.9157000000000011,188.0,-0.6686000000000014,189.0,-0.9045000000000005,,,,,,,,,,
77,Stress Time Course__dia15,-2.3977000000000004,0.866164603294316,3.0,190.0,-1.6981000000000002,191.0,-2.1285000000000007,192.0,-3.3665000000000003,,,,,,,,,,
78,Stressors__Diami,-1.9037666666666677,0.5152120469606017,3.0,193.0,-2.1533000000000015,194.0,-1.311300000000001,195.0,-2.2467000000000006,,,,,,,,,,
79,Stressors__Paraq,-6.561333333333335,1.2968238328058803,3.0,196.0,-6.3992,197.0,-5.353200000000001,198.0,-7.931600000000001,,,,,,,,,,
80,Stressors__H2O2,-7.697500000000001,0.17944188474266545,3.0,199.0,-7.901200000000001,200.0,-7.562800000000001,201.0,-7.628500000000001,,,,,,,,,,
81,Stressors__Oxctl,-5.722833333333334,0.31900799885478276,3.0,202.0,-6.0067,203.0,-5.377600000000001,204.0,-5.7842,,,,,,,,,,
82,Carbon Transition__GM-0.1,-0.34616666666666757,0.28234369717302543,3.0,205.0,-0.6721000000000004,215.0,-0.17660000000000053,225.0,-0.18980000000000175,,,,,,,,,,
83,Carbon Transition__GM-0.2,-0.31963333333333505,0.39333073021737364,3.0,206.0,-0.7659000000000002,216.0,-0.023400000000002308,226.0,-0.16960000000000264,,,,,,,,,,
84,Carbon Transition__GM+5,-0.4578666666666666,0.42823892085299103,3.0,207.0,-0.9522000000000013,217.0,-0.1999999999999993,227.0,-0.22139999999999915,,,,,,,,,,
85,Carbon Transition__GM+15,-0.3356000000000006,0.19421737821317692,3.0,208.0,-0.5466000000000015,219.0,-0.2958999999999996,229.0,-0.16430000000000078,,,,,,,,,,
86,Carbon Transition__GM+25,-0.22036666666666824,0.34730914663068185,3.0,209.0,0.052899999999997505,220.0,-0.102800000000002,230.0,-0.6112000000000002,,,,,,,,,,
87,Carbon Transition__GM+45,-1.0948333333333338,0.8006017819948532,3.0,210.0,-0.1708999999999996,221.0,-1.5299000000000014,231.0,-1.5837000000000003,,,,,,,,,,
88,Carbon Transition__GM+60,-0.8549333333333339,0.6539039404479332,3.0,211.0,-0.10069999999999979,222.0,-1.2627000000000006,232.0,-1.2014000000000014,,,,,,,,,,
89,Carbon Transition__GM+90,-0.23056666666666695,0.06308806014875998,3.0,212.0,-0.21219999999999928,223.0,-0.1786999999999992,233.0,-0.3008000000000024,,,,,,,,,,
