,A,Zur,ZntR
crp__delar1ar2_glyc__1,0.5487860665000001,6.4493164251,4.7412470224
crp__delar1ar2_glyc__2,0.2962298836,6.3485900555,4.7273190066
crp__delar1ar2_glyc__3,0.0547925058,6.2035116364,4.9584567679
crp__delar2_glyc__1,-0.1835961553,6.6726575845,5.2538698706
crp__delar2_glyc__2,-0.5529229221,6.774426949,4.7986746327
crp__delar2_glyc__3,0.8901748685,6.7978587193,4.7604630475
crp__delcrp_fru__1,0.0405759859,5.9323908407,5.7085884894
crp__delcrp_fru__2,-1.4774732406,5.6573264016,6.0735218017
crp__delcrp_fru__3,-0.27084932770000003,5.8908899141,6.0971843984
crp__delcrp_glc__1,-0.7493559357,6.3580886980999995,5.3611777534
crp__delcrp_glc__2,0.09765652080000001,5.8403415086,5.2880528034
crp__delcrp_glc__3,-0.6722064182,6.1168475259,5.346340923
crp__delcrp_glyc__1,-1.1073709343,5.5970959107,5.4832086475
crp__delcrp_glyc__2,-1.9631548031000001,5.5815268418,5.6881545404
crp__delcrp_glyc__3,-1.3130675678000001,6.180511306,5.7085037032
glu__glu_ale3__1,17.602972685,7.5167520942,5.8319625614
glu__glu_ale4__1,11.0247205342,6.6977961093000005,5.4012180713
glu__glu_ale5__1,12.3838106203,6.3422145134,5.2713152951
glu__glu_ale6__1,11.5576051128,5.5281197615,4.9395361246
glu__glu_ale8__1,2.2343316239,7.4228530974,5.8130542589
glu__glu_ale9__1,14.1507074199,7.6464230376,5.5888440999
glu__glu_ale10__1,17.5666417697,7.7240236241,5.2344452277
42c__wt_42c__1,7.0095751061,5.754184024,5.0474312234
42c__42c_ale1__1,0.24690777700000002,6.9887914898000005,5.187081232
42c__42c_ale2__1,3.2224597515,6.9886794543,5.06958318
42c__42c_ale3__1,0.3117358872,6.0875849139,5.3018792012
42c__42c_ale4__1,2.1943795362,8.132450631,6.6079702269
42c__42c_ale5__1,2.1176765065,5.8881099621,5.1720584778
42c__42c_ale6__1,-1.1192223279,7.7490713359,5.9220526359
42c__42c_ale8__1,1.3798318219,8.3639256559,6.2985475935
42c__42c_ale9__1,2.3351465917,6.0062500681,4.8580538451
42c__42c_ale10__1,2.4569635861,7.826854304,5.9710029299
ssw__wt_ac__1,0.8483346819,5.6627335103,6.3499274515
ssw__wt_glc__1,21.497189637,5.8024832695,4.8998467875
ssw__wt_glyc__1,4.1869928218,7.3377217243,6.3593490059
ssw__wt_xyl__1,0.1188242661,7.6816178233,6.9763600409
ssw__glc_ale1__1,-1.4249423168,7.3086493429,6.0313299104
ssw__glc_ale2__1,-0.4505917748,7.0830453282,6.3753005388
ssw__glc_ale3__1,0.2255874904,6.9664978839,5.9927197292
ssw__glyc_ale1__1,-1.2864546551,6.5964053066,6.5297443725
ssw__glyc_ale2__1,1.0079581724,6.1931283928,6.6945251584
ssw__xyl_ale1__1,1.4267024927,6.8327609278,6.2668383829
ssw__xyl_ale2__1,1.1183027555,7.0172333679,6.1786540462
ssw__xyl_ale3__1,1.6463158057,5.9725674581,6.3364102827
ssw__glc_ac_ac2__1,2.9571428818000003,5.4820691341,6.2525469651
ssw__glc_ac_glc1__1,1.3346891031,7.5217641642,5.8156649856
ssw__glc_ac_glc2__1,1.5386924675,6.6266690294,5.8205696669
ssw__glc_glyc_glc__1,2.3392272439,7.1545300046,6.46128546
ssw__glc_glyc_glyc__1,0.8654856419,7.3686263865,6.0309446534
ssw__glc_xyl_glc__1,2.5396782021,6.9745245413,6.2028019494
ssw__glc_xyl_xyl__1,1.4927636906,5.7983382218,5.862893991
pgi__glu4_delpgi__1,13.0996025559,6.3796813291,5.7333701498
pgi__pgi_ale1__1,18.000919541,6.4244571593,5.5860845109
pgi__pgi_ale2__1,20.2662223153,7.0901983008,5.3903138317
pgi__pgi_ale3__1,12.6506348868,6.1101312612,5.885739311
pgi__pgi_ale5__1,16.7305295385,6.5293646958,5.6683003725
pgi__pgi_ale6__1,18.0579881524,6.2431694068,5.5727872979
pgi__pgi_ale7__1,19.0939385545,6.2407727117,5.6168367409
pgi__pgi_ale8__1,18.6866868989,6.2709992974,5.844356194
ica__wt_glc__1,1.3637495322,5.4282609973,4.8424872822000005
ica__wt_glc__2,2.3321028061,5.049814476,4.9811313459
ica__wt_glc__3,-0.518839135,5.3295462808,5.1834743345
ica__wt_glc__4,0.8963293239000001,5.5040188209,5.0940622137
ica__arg_sbt__1,-0.0499014744,5.7996681739,5.4005010971
ica__arg_sbt__2,0.3071858644,6.0416112172,5.4874697343
ica__cytd_rib__1,0.9862557471000001,5.1786588981,5.3441137272
ica__cytd_rib__2,0.4611059521,4.9440678193,5.0002423145
ica__gth__1,0.870661255,6.4384286782,7.5401131459
ica__gth__2,-0.37571079999999996,6.2608334514,7.713083694
ica__leu_glcr__1,1.0916242978,5.284531866,5.6207556215
ica__leu_glcr__2,0.6711874595,5.1107182437,5.7249247797
ica__met_glc__1,1.5081546575,5.1956322873,4.95799347
ica__met_glc__2,0.9053234787000001,5.2945534257,4.8509126658
ica__no3_anaero__1,-0.2994080075,6.2981677688,5.780905829
ica__no3_anaero__2,-1.0269324629,6.3714160874,5.785715042
ica__phe_acgam__1,0.7527481316,5.4378686534,4.9295185116999996
ica__phe_acgam__2,0.5603300760000001,5.094095956,4.6564870885000005
ica__thm_gal__1,0.41483392100000005,5.7536827703,5.3348032701
ica__thm_gal__2,0.5255140231000001,5.3710079803,5.3587362993
ica__tyr_glcn__1,-0.08814645310000001,5.1243892624,4.8729534917
ica__tyr_glcn__2,0.39026864720000004,5.4208170165,4.8363290841
ica__ura_pyr__1,0.2212367153,5.4890066392,5.0849224462
ica__ura_pyr__2,0.15130730150000002,5.6001250063,5.5581283126
ica__wt_glc__5,1.0051330852,5.7432584302,5.3421197039
ica__wt_glc__6,1.7925175378,5.2430945205,5.1516360745
ica__bw_delpurR_cytd__1,0.8476999381,5.9534453438,4.5890533087000005
ica__bw_delpurR_cytd__2,1.7437612239,5.7124243987,5.0535895398
ica__ade_glc__1,1.7272346434,6.1663065955,5.489806983
ica__ade_glc__2,1.6716214719,6.2186342093,5.6105042518
ytf__wt_glc__1,1.6433309238,6.2308211455,5.643935114
ytf__wt_glc__2,3.5782353464,6.2160333271,5.9179473007
ytf__delyafC__1,0.6454415823,6.4629620055,5.7069372917
ytf__delyafC__2,0.409953526,6.3633343509,6.0264850235
ytf__delyeiE__1,0.7578464519,5.8559327619,4.9760136228
ytf__delyeiE__2,-0.1258054882,5.4883374543,5.4900516686
ytf__delyiaJ__1,0.8064148569,6.2445591209,5.8967361359
ytf__delyiaJ__2,0.215145742,6.3918221624000005,5.9859334666
ytf__delyieP__1,1.1793466504,6.8551333866,6.0913993558
ytf__delyieP__2,1.9308707424,6.652053189,6.2102463041
ytf__wt_ph5__1,0.7232538707,5.5856885171,5.7522340443
ytf__wt_ph5__2,1.2154963657,5.499548253,5.4853491719
ytf__wt_ph8__1,1.2220955417,5.2475689739,5.1445172463
ytf__wt_ph8__2,1.1321676633,5.4051538714,5.2187726673
ytf__delybaO__1,0.023854131900000002,6.3358725772,5.7619400901999995
ytf__delybaO__2,1.3763264463,6.3481699063,5.6862881908
ytf__delybaQ__1,0.7135869614,5.9367633036,5.1571959761
ytf__delybaQ__2,0.7810503560000001,5.6496299401,5.3008098266
ytf__delybiH__1,2.8633352691000002,6.6676967679,5.7532699439
ytf__delybiH__2,2.5498617238,6.6262802516,5.9587433367
ytf__delydcI_ph5__1,1.5308213776000001,5.3812634609,5.4060443631
ytf__delydcI_ph5__2,1.4628782294,5.1152925466,5.2779520595000005
ytf__delydcI_ph8__1,0.9648168547,5.4636502997,5.1738541558
ytf__delydcI_ph8__2,1.7538548147,5.3987008932,5.3005343045
ytf__delyddM__1,0.8579968097,5.6557489387,5.5817423652
ytf__delyddM__2,1.2046191774000001,5.998547,5.6546341256
ytf__delyheO__1,-0.1570653776,6.6058040938,5.9426155332
ytf__delyheO__2,0.6752930361,6.6801853827,5.4510716484
fps__bw_glc__1,1.5470609732,5.7763889137,5.2959286013
fps__bw_glc__2,1.9248250147000001,5.8739250697,5.5707554055
fps__fps_thrA_ale1__1,1.2156282915,5.8293275592,5.7769042078
fps__fps_thrA_ale1__2,2.1072199558,5.614907914,5.7965203985
fps__fps_thrA_ale2__1,1.9784136514,5.6840593133,5.6253101411
fps__fps_thrA_ale2__2,2.1357183758,5.6102673309,5.7110969863
fps__fps_serB_ale1__1,1.8103607036,5.7294349802,5.8825750155000005
fps__fps_serB_ale1__2,1.1580917393,5.845091961,5.5532903122
fps__fps_serB_ale4__1,1.3789956684,6.5575211864,6.3197431177
fps__fps_serB_ale4__2,2.011815943,6.2465775477,6.5362850419
fps__fps_ptsI_ale1__1,2.5687024636,5.3299258268,5.4447799431
fps__fps_ptsI_ale1__2,2.2671574351,5.706568175,5.5622512575
fps__fps_ptsI_ale3__1,2.6070477663,5.6460104027,5.5525406247
fps__fps_ptsI_ale3__2,2.6991894807,5.6625646716,5.3546768367
pal__lyx_ale2_f6__1,0.617048762,5.8519954894,6.1687259549
pal__lyx_ale2__1,1.3501684966,5.4743578508,4.9706750189
pal__lyx_ale2__2,1.5256039229,5.4063910381,4.9863231753
pal__lyx_ale4__1,1.3501684966,5.4743578508,4.9706750189
pal__lyx_ale4__2,1.5256039229,5.4063910381,4.9863231753
pal__5drib_ale10_f18__1,0.2797575021,5.7861426603,6.2438837246
pal__5drib_ale10_f18__2,0.9266118945,5.5185887421,5.9995494174
pal__5drib_ale10__1,1.5702080858,5.4731171797,6.1223447718
pal__arab_ale14_f9__1,1.3892313255,5.8989687685,5.991531367
pal__arab_ale14_f9__2,0.45899203590000004,5.897199917,5.867536546
pal__arab_ale14__1,0.5266577145,5.3911330182,5.4088340789
pal__arab_ale14__2,0.6345137854,5.4013626568,5.246845925
pal__arab_ale16__1,0.4679014184,5.8129230442,5.8536587581
pal__arab_ale16__2,1.6516411394000001,5.887951286,6.2021072138
pal__tartr_ale26_f10__1,13.7392048546,5.7088759092,5.7655412842
pal__tartr_ale26_f10__2,9.7409988798,5.8838668547,5.7747263192
pal__tartr_ale26__1,14.6100253327,5.3284385796,6.1540079643
pal__tartr_ale26__2,14.7642622393,5.5867692149,5.6877891349
pal__tartr_ale28_f10__1,0.8852689166000001,5.6492094136,6.8957759736
pal__tartr_ale28_f10__2,3.1917535363,6.0028575384,6.4570510643
pal__tartr_ale28__1,1.2548491528,5.6336075756,5.7811251978
pal__tartr_ale28__2,0.3920365598,6.1634458945,5.7517572176
efeU__delmenFentC_citr__1,1.8268028583,6.1212769161,5.0639729408
efeU__delmenFentC_citr__2,1.8183816943000002,6.5486944463,5.4941477811
efeU__delmenFentC__1,2.3789718271,5.6321286047,5.8380245158
efeU__delmenFentC__2,2.4177242615,5.6929313323,5.4710939765
efeU__menFentC_ale39__1,1.4422993744000001,7.0221685801,5.4437594303
efeU__menFentC_ale39__2,0.48247470140000004,6.617123432,5.693437788
efeU__menFentC_ale29__1,1.1120563642,6.8530840561,5.813884489
efeU__menFentC_ale29__2,0.3055921103,6.8255181165,6.0771824573
efeU__menFentC_ale30__1,1.9537724188,5.630590879,5.3702589967
efeU__menFentC_ale30__2,1.6400667305,5.5099618846,5.0667647788
efeU__menFentCubiC_ale36__1,0.2540930359,5.4340651836,5.0260567888
efeU__menFentCubiC_ale36__2,1.4063504753,5.1594887771,5.2576025651
efeU__menFentCubiC_ale37__1,1.483232667,5.5235154016,5.9197715436
efeU__menFentCubiC_ale37__2,1.4725802519,5.7269883747,5.7063351997
efeU__menFentCubiC_ale38__1,1.67223474,5.7493891132,5.6993017079
efeU__menFentCubiC_ale38__2,1.4726402288,5.7585928982,5.6187850931
