,A,Fnr,DcuR,NarL
abx_mega__tec_h2o__1,-8.5431427767,-2.6112045671,-0.6688113391,0.6985329095
abx_mega__str_h2o__1,1.0042065212,0.2482154852,0.17355252340000002,1.5091314717
abx_mega__ctx_h2o__1,1.1494039986,0.0230880885,0.0781600644,0.0599282165
abx_mega__nal_naoh__2,-0.5811618877,0.3075812793,0.5252650067,-0.3923176547
abx_mega__phos_h2o__1,2.4947892319,-0.7038356709,0.2244167485,-0.4271510985
abx_mega__dmso-5__2,-0.9952331742,-0.2244639849,-0.0790144223,0.2821523801
abx_mega__polmyx_h2o__1,0.43182180340000004,0.32801548280000004,0.1072315696,0.07094828710000001
abx_mega__h2o-8b__1,1.0445564331,-0.0363903054,0.6290011099,0.19399510790000002
abx_mega__h2o-6__1,-0.1190876498,0.1539794799,0.6159082689,0.0642121101
abx_mega__thio_dmso__1,-1.3244981816,-0.315089026,-0.5241724314,-0.07041621590000001
abx_mega__phos_h2o__2,2.8007843729,-0.19593564700000002,0.2990620443,0.2387249998
abx_mega__ctx_h2o__2,4.1581482631,0.1826918599,0.3231776746,0.4765491027
abx_mega__lzd_dmso__1,-4.3979589418,0.6125076868,-0.9311166928,-0.9480551533
abx_mega__naoh-9__1,1.5132443622,0.518483773,0.5196141029,0.3874315129
abx_mega__dox_dmso__1,-1.8016127243,0.6077452839,0.0591533023,-0.30677911280000003
abx_mega__phos_ethanol__1,0.036308089200000004,0.7489705412000001,0.9880285171000001,0.45546757130000004
abx_mega__teix_dmso__1,-6.5972505152,-1.2905505804000001,-0.7057099713,0.8811496315
abx_mega__dmso-10__1,1.7201199005,0.4743514224,0.506821676,0.5259159415
abx_mega__van_dmso__1,-8.2359614883,0.8302627999000001,-2.8255316924000002,-1.1704676525
abx_mega__ramo_h2o__1,-3.6604389996,-0.8002749045,-0.3901452648,-0.1456506972
abx_mega__tec_h2o__2,-3.7825147195,-1.6551107114999999,-0.5214273236,-0.0240085228
abx_mega__h2o-7__1,3.1633076043,0.21844817860000001,0.2590747482,0.5443759374
abx_mega__cro_h2o__1,3.522538183,0.0879280571,0.150444073,0.9783104235000001
abx_mega__tric_ethanol__1,-4.8080349953,0.8900785727,0.522171453,0.7166860521
abx_mega__nor_naoh__1,0.6744354151,-0.0313845657,0.6565259913,-0.0818044565
abx_mega__teix_dmso__2,-1.4680041454000001,-0.4150383489,-0.0695017102,0.2538442496
abx_mega__nal_naoh__3,-0.6159831798000001,0.2272209504,0.7347906752000001,-0.32002223220000003
abx_mega__novo_h2o__2,-4.9043743231,0.16806743940000002,-1.8309629012,-1.4231800896
abx_mega__dmso-10__2,1.9122683393000002,0.40832126950000003,0.5832566707,0.371962511
abx_mega__phos_h2o__3,0.2716475168,0.0877333852,0.6396914008,0.040928029000000005
abx_mega__dmso-6__2,-2.6595162644,-0.1654402185,0.6636264331,0.3072546497
abx_mega__rfp_ethanol__1,-6.6797246175,-0.12067474560000001,-2.0806047948,0.3371132867
abx_mega__dmso-5__3,-0.8237109386,0.1613415464,0.3227692192,0.3899857407
abx_mega__amyc-d_dmso__1,-15.2749558497,0.257224454,-1.0073787213,-1.9056921008
abx_mega__sxt_dmso__1,2.4089016431,0.047755995,0.1868402649,1.3605355026
abx_mega__dmso-1__1,-0.606307389,-0.1308553567,-0.1466847202,-0.1621879518
abx_mega__pen_h2o__1,0.25029952450000004,-0.3609283863,-0.3048458503,-0.4011629601
abx_mega__dmso-10__3,1.9465477359,0.20815252,0.46968264340000004,0.6602530221
abx_mega__nal_naoh__4,0.9096391243,0.0028938907,0.3207137472,-0.3741219792
abx_mega__cip_naoh__1,1.2907205833,0.11078089020000001,0.1642135451,-0.3082369024
abx_mega__pen_h2o__2,-0.9687262151,-0.2836689398,-0.39244303420000004,-0.3006640419
abx_mega__ery_dmso__2,-13.8837714894,0.0804674744,-1.3138658261,-1.1971011775
abx_mega__dmso-2__2,2.2148395231,-0.2221077391,0.4312539099,1.5801977473000002
abx_mega__van_dmso__2,-4.0581981492,0.6605546913,-3.0483387707,-0.884127384
abx_mega__h2o-1b__1,1.3339412880000001,0.030807355300000002,-0.36349744040000004,-0.452432223
abx_mega__ery_h2o__1,-6.9158394769000004,0.1635488437,-1.133659959,-1.3563246039
abx_mega__bacit_h2o__1,-13.068625939,-0.4774994905,-1.6154886751,-0.6817547788
abx_mega__chl_h2o__2,-8.7205522329,0.0987552064,-1.5620808425,-1.3195528967999999
abx_mega__str_h2o__2,-1.8699387764000002,0.2741965069,0.5180282904,1.3047365667
abx_mega__rfp_ethanol__2,-6.4556634664,0.12295077100000001,-1.1972343348,0.0825550003
abx_mega__polmyx_h2o__2,1.2843714124,-0.3737381984,-0.1399102728,-0.2047876144
abx_mega__tric_h2o__1,-4.1743294501,1.3424886167,0.7715530923,0.6570030657
abx_mega__cip_naoh__2,-0.41913814720000003,0.09932130680000001,0.5678486001,-0.0042746708
abx_mega__novo_h2o__3,-4.4631906979,0.0559133562,-1.6160458802000002,-1.6268601596
abx_mega__bacit_dmso__1,-8.2865312758,-0.2242105774,-0.0703984804,-0.2149626757
abx_mega__gen_h2o__1,-13.4016536953,0.41129122560000003,-2.7686062673,-0.0023401669
abx_mega__bacit_dmso__2,-10.3020762771,-0.2049744387,-0.229487826,-0.1358000564
abx_mega__chl_dmso__1,-14.0486723148,0.1866328231,-1.2643032149,-1.2077453185
abx_mega__bacit_h2o__2,-6.337663889,-0.8589924069,-0.7810372574000001,-0.4745572525
abx_mega__lvx_dmso__1,-0.3802091244,-0.18501779240000002,0.1378342574,0.7236428398
abx_mega__bacit_h2o__3,-12.7480275083,-0.3986390476,-1.1804214477000001,-0.4942506949
abx_mega__nor_naoh__2,-0.4957462608,-0.11461450370000001,0.6817933829,-0.1796711266
abx_mega__amyc-d_dmso__2,-12.6933896244,0.1534325597,-0.6437114956000001,-0.23408638040000002
abx_mega__polmyx_h2o__3,-1.1909632851,0.4256416268,0.6886612801,1.4636209179000002
abx_mega__naoh-6__1,0.12268990900000001,0.1918842788,0.5538185348,-0.0738028359
abx_mega__cst_h2o__2,-4.0251497045,0.2575678173,0.1038408468,-0.2211989576
abx_mega__h2o-1b__2,0.0200370744,0.7809611414000001,-0.5588448052,-0.32526084780000003
abx_mega__rfp_h2o__1,-11.168477657,-1.0905972262999999,-0.0959983306,0.9832435012
abx_mega__tet_h2o__1,-5.0786953878,0.0295461953,-0.2892439684,-1.741102497
abx_mega__flavo_dmso__1,-4.351237648,-0.9098451584,-0.7104949667,0.3338762417
abx_mega__zeocin_h2o__1,1.8785650154,0.11093211330000001,0.4858438936,0.356397116
abx_mega__nor_naoh__3,0.463256412,-0.2660034833,0.4070410752,-0.2272100971
abx_mega__rach_dmso__2,-1.8383277077,0.1360391327,0.0041439120000000005,1.7463769081
abx_mega__thio_dmso__2,-15.1566296661,0.3253789217,-1.8704776158,-0.3890854292
abx_mega__amyc-d_dmso__3,-13.074996418,0.33467356740000004,-1.6604259521,-1.6884538489
abx_mega__rif_dmso__2,-7.186622312,-0.7654036895,1.2481536828,0.6145146939
abx_mega__amyc-d_dmso__4,-7.9573188547,0.0720316185,-0.29599529620000004,-0.335661769
abx_mega__teix_dmso__3,0.6115689908,-0.1127364899,-0.0161613764,-0.1154299023
abx_mega__valin_dmso__1,-9.5124026341,-0.1452747475,-0.2546506548,0.0956653423
abx_mega__teix_dmso__4,-0.22189860020000002,-0.2103049645,0.0737285901,0.23881420290000002
abx_mega__ethanol-10__1,-0.13054884120000002,0.6194313426,0.6366164976,0.6441814068
abx_mega__inh_h2o__1,1.8342958864,-0.0340580552,-0.0189051778,0.44933268930000003
abx_mega__rif_dmso__3,-6.499958606,-1.5589165824,-0.1195119064,1.197837956
abx_mega__van_dmso__3,-9.1167802544,0.2389667466,-1.6809851075000002,-0.7705163065
abx_mega__doxo_dmso__1,4.4132400388,-0.1301723133,0.5533072316000001,0.42316666420000004
abx_mega__tmp_dmso__1,1.4074006896,0.0567992999,0.7038342062,0.37644281350000003
abx_mega__ethanol-10__2,0.1283242071,0.4463184544,0.3427298278,0.3676884166
abx_mega__tmp_dmso__2,1.2786811374,-0.011770757000000001,0.6228727517,0.3141558765
abx_mega__amyc-d_dmso__5,-13.0646251664,0.4703427457,-1.5882075419000001,-0.7713514634
abx_mega__novo_h2o__4,-7.0464700856,0.7891519738,-1.5101858463,-1.9558634060000002
abx_mega__cro_h2o__2,2.2035233817,0.0823465979,-0.08759580110000001,1.2346799578
abx_mega__cro_h2o__3,2.4643194721,-0.21446519260000002,0.07854963720000001,0.5304175659
abx_mega__gen_h2o__2,-12.3626270885,0.5545946817,-5.615037757,-0.48062680010000003
abx_mega__phos_h2o__4,2.5823183454,-0.1556899832,0.602329616,1.4968619098
abx_mega__metro_dmso__2,-4.0233876762,0.40866825960000003,0.6199948261,-0.2002604006
abx_mega__ery_h2o__2,-6.574250099,-0.0307498051,-0.209079293,-1.8801459853
abx_mega__sacet_h2o__1,-12.4648892802,1.8984960352,0.5058943199,1.5862913974000001
abx_mega__nal_naoh__5,0.6996408695,0.11935505780000001,0.38355775870000003,-0.2314427329
abx_mega__bacit_h2o__4,-8.8973012559,-0.7716038602,-0.8717187868,-0.6522742559
abx_mega__cip_naoh__3,0.4655447073,-0.1062377801,0.027434017800000002,-0.49739226270000003
abx_mega__ethanol-8__1,2.2466955599,-0.0429042057,0.2547138501,0.6304378737
abx_mega__h2o-8a__1,-2.2978451417,-0.1697118587,0.3239637685,-0.1934353014
abx_mega__ery_h2o__3,-4.5557886244,-0.046749594000000005,-1.1043234757,-1.5593456345
abx_mega__flavo_dmso__2,1.8395365575,0.060263538500000005,0.2608100441,1.3837328354
abx_mega__rif_dmso__4,-7.2295287384,-1.4686879149,0.0164297578,1.0818833664
abx_mega__novo_h2o__5,-3.5458144583999998,0.2258676651,-2.5271537098,-1.3957788496
abx_mega__teix_dmso__5,2.0757402889,-0.0180107938,0.18273770120000002,0.2339403894
abx_mega__naoh-2__1,0.8747932442,0.12440957970000001,0.40349773450000004,1.5570266128
abx_mega__novo_h2o__6,-4.525999617,0.7205527484,-2.4861030754,-2.0014040988
abx_mega__ctx_h2o__3,3.6877879473,-0.064859922,0.24809986,0.6053981366
abx_mega__rach_dmso__3,-0.30623429690000004,-0.0946227506,-0.1027114097,1.604092458
abx_mega__valin_dmso__2,-10.1981154628,-0.1504039911,0.034985673200000005,0.6228761494
abx_mega__amyc-d_dmso__6,-21.6265718512,1.0932260792,-2.623331947,-0.8243217897
abx_mega__dox_dmso__2,-2.1588608288,-0.3495048284,0.5658051185,-0.6210031891000001
abx_mega__teix_dmso__6,2.8277125774,-0.19216870800000002,0.1400900994,0.46369876390000003
abx_mega__naoh-6__2,0.4314899252,0.2508705046,0.5723897966,0.0115520281
abx_mega__inh_h2o__2,-6.8733340811,1.0236963855,0.3034462049,-1.044426633
abx_mega__chl_h2o__3,-10.4860401155,0.8645055481,-1.6550777862000001,-0.46185970600000004
abx_mega__nal_naoh__6,0.0694301603,0.1051428429,0.5928440629,-0.3703789377
abx_mega__chl_dmso__2,-14.424989965,0.2708431966,-1.2977442416,-1.1513063757
abx_mega__rach_dmso__4,2.0272690854,0.2606390819,0.1120367047,1.4684025725
abx_mega__teix_dmso__7,2.7540272372,0.3504676022,0.2733513328,0.3922415131
abx_mega__ceru_ethanol__1,-3.4275081626,1.4535275098,0.5043664491000001,0.6149460887
abx_mega__dmso-7__1,0.5162485018,0.0944210472,0.4529778366,1.2176890491
abx_mega__naoh-6__3,0.18553812660000002,0.2067024995,0.7417417503,0.0786879999
abx_mega__phos_ethanol__2,1.9245623024,0.5219782296000001,0.5767509261,0.4392596675
abx_mega__metro_dmso__3,-3.4053529317,0.5121052174,0.5649655290000001,-0.2137913818
abx_mega__van_dmso__4,-7.8953240045,0.28659288180000003,-1.4778681163,-0.9419717976
abx_mega__h2o-10__1,-2.7675239575,0.2130377387,-0.12774023510000002,0.1814334535
abx_mega__h2o-10__2,0.1835888454,0.1522575818,0.48438408930000004,0.48796528650000004
abx_mega__dmso-6__3,-1.5665599512,-0.35454569550000004,0.2522852983,0.3898016124
abx_mega__mem_dmso__1,1.6447805357,-0.3062884087,0.2390493413,0.9646124930000001
abx_mega__ethanol-8__2,1.1103288447,-0.0252304237,0.2671828285,0.3186268997
abx_mega__chl_h2o__4,-9.7738212267,0.7271274121,-1.3687843785,-0.6661033798
abx_mega__van_h2o__1,-5.4291951301,-0.903332961,-0.9385522231000001,-0.5742892551000001
abx_mega__dcs_h2o__1,1.5919661031999999,0.6936041281,0.36782066350000003,0.2068721395
abx_mega__rif_dmso__5,-3.7824988712,-0.7666040526,1.1365940622,0.8425442237
abx_mega__dox_dmso__3,-2.1975881659,0.2468405504,0.4389213609,0.10017048020000001
abx_mega__mem_dmso__2,-1.8766887925,-0.4892115863,-0.0946414107,0.6332738483
abx_mega__lvx_dmso__2,0.0018406546000000001,-0.129152751,0.3123300605,-0.0869541332
abx_mega__tet_h2o__2,-9.8488140996,0.2983443387,-0.5247196696,-0.46924192730000003
abx_mega__phos_h2o__5,1.2161207933,0.12871355610000002,0.5145575796,1.6275674107
abx_mega__monac_dmso__1,-6.7142852521,1.4088048351,-0.7490194897,0.0717431857
abx_mega__str_h2o__3,-0.2283161742,0.08708125080000001,0.0471939987,0.1418999508
abx_mega__zeocin_h2o__2,-4.512282833,-0.42460153910000004,0.42617218910000004,1.3045613756
abx_mega__amyc-d_dmso__7,-22.9640282679,0.9037219768,-2.2436862318,-1.2192577822
abx_mega__fidax_dmso__1,1.9527392782000002,0.35278275610000004,0.4219032158,0.5364471703
abx_mega__h2o-1a__1,-0.056609682300000005,-0.1301828894,0.0321467027,-0.0076170702
abx_mega__dox_dmso__4,-0.0986315757,0.1499766492,0.9524940618000001,-0.27625373140000004
abx_mega__lzd_dmso__2,-15.966756932900001,0.8640746426,-1.1244658323,-1.0222917741
abx_mega__tet_h2o__3,-4.1218692824,-0.014793680600000001,-0.3367715196,-1.5087092232
abx_mega__dmso-1__2,0.2177132554,-0.0468660871,0.0470926402,-0.5589211898
abx_mega__sxt_dmso__2,-1.4558325203,0.1322961821,-0.23150759170000001,0.068627529
abx_mega__tric_ethanol__2,-2.4805271389,0.619159111,0.5213273432000001,0.23941269040000002
abx_mega__teix_dmso__8,-0.22641001970000002,-0.0780351353,-0.1816973657,-0.3793496945
abx_mega__ramo_h2o__2,-3.4860060308,-0.5733023752,-0.3889623175,0.09514280300000001
abx_mega__inh_h2o__3,1.8745135692,0.3346755523,0.4626444918,0.3216977505
abx_mega__cst_h2o__3,-0.5402332006,0.6157335293,-0.3095551257,-0.3478318655
abx_mega__dmso-9__1,0.3553139154,-0.029816820400000003,0.3298943413,0.1757205838
abx_mega__ethanol-8__3,2.1717964331,-0.1057688244,0.5263011597,0.36504344
abx_mega__monac_dmso__2,-7.5660468879,1.4863412037,-1.9649587438,-0.3366484642
abx_mega__dmso-9__2,1.1531477029000001,-0.0200467158,0.11937682420000001,0.1457238569
abx_mega__metro_dmso__4,-6.9645084413,0.6682181821000001,0.762439109,-0.173456255
abx_mega__ctx_h2o__4,2.6526965618,0.1093383753,0.0844618147,0.9764181073
abx_mega__zeocin_h2o__3,-7.5638159939000005,-0.42024945410000003,0.7257111783,1.219990166
abx_mega__bacit_h2o__5,-11.4551793643,-1.0686406259,-0.2847431814,-0.4873407738
abx_mega__reta_dmso__1,-10.3089164764,0.2624442987,-0.4652008607,-0.14538301080000002
abx_mega__ery_h2o__4,-10.0019556732,0.1838410419,-0.9297456390000001,-0.4901782139
abx_mega__ceru_ethanol__2,-16.5967458925,1.4458719120999999,0.33253912290000004,-0.08747928320000001
abx_mega__fidax_dmso__2,1.7473004566,0.061060066100000004,0.4686376915,0.5088590205
abx_mega__novo_dmso__1,-8.216355963,0.8339819837,-1.6166255253,-0.8191870707000001
abx_mega__naoh-6__4,0.6017262224000001,0.2749615761,0.8762621357,0.3838430101
abx_mega__amyc-d_dmso__8,-10.7849931251,0.1675077619,-0.3860640855,0.1386459591
abx_mega__chl_dmso__3,-13.4991784751,0.2359552994,-1.4541769045000001,-1.2035076039
abx_mega__nal_naoh__7,1.5366994849,-0.1143720156,0.1905010721,-0.32990943310000004
abx_mega__teix_dmso__9,2.5738503726,0.19924687600000002,0.1927275272,0.350365087
abx_mega__ery_dmso__3,-7.3470811554,-0.1930182149,-1.2640979152,-0.8914052882
abx_mega__tmp_dmso__3,1.6238679186,0.021624803,0.8471498970000001,0.3805848848
abx_mega__sxt_dmso__3,3.046415238,0.1404174962,-0.0042657025,0.8127445483
abx_mega__polmyx_h2o__4,-2.2362442431,0.7190717129,0.3046323128,1.162897535
abx_mega__mem_dmso__3,0.27935711290000004,-0.106792127,0.21477689690000001,0.12293057980000001
abx_mega__nal_naoh__8,1.410390222,-0.5226446066,0.12235601730000001,1.0434381186
abx_mega__pen_h2o__3,1.4142251283,-0.9448240483,0.0426543646,-0.3811294766
abx_mega__van_dmso__5,-7.0553479474,0.3519942873,-1.7342964377999999,-0.7681838617000001
abx_mega__zeocin_h2o__4,-3.7920544257,-0.3420308308,0.8242153845,1.4810631343
abx_mega__h2o-6__2,0.6908335796,0.2237971175,0.5390379432,0.12666160140000002
abx_mega__tet_h2o__4,-3.9622725014,-0.09366302650000001,-0.1948447183,-1.2428560724
abx_mega__nor_naoh__4,0.5426084127,0.1884711132,0.7019742161,-0.2609186745
abx_mega__cip_naoh__4,-0.6098443846,0.1897163396,0.7755427501000001,-0.0755452092
abx_mega__tmp_dmso__4,1.0361843464,0.46955750020000003,0.9460416634000001,0.2225884108
abx_mega__reta_dmso__2,-5.9709786010000006,0.079054857,-0.3362454777,0.16663621180000002
abx_mega__mem_dmso__4,2.974331057,0.1562169847,-0.1721213871,1.1260659392
abx_mega__dox_dmso__5,-2.4234754037,0.5560831223,-0.26677734140000003,0.0273460971
abx_mega__tmp_dmso__5,0.9853380799,0.16093619850000002,0.12059746,-0.1009953331
abx_mega__flavo_dmso__3,3.2272533634,0.21465859110000002,0.4914255973,0.8172587432
abx_mega__tmp_dmso__6,1.8704688054,-0.4506960218,0.12311945490000001,0.32986084450000003
abx_mega__ceru_ethanol__3,-11.2868610639,1.4078249743,-0.0717940492,0.4043260756
abx_mega__teix_dmso__10,-0.399097558,-0.024926434900000002,0.19207623570000001,-0.2090247448
abx_mega__novo_h2o__7,-4.6614326644,0.28331731590000003,-2.3314060306,-1.6490916468
abx_mega__fidax_dmso__3,0.0470411108,0.1656484172,0.17707137480000001,0.5836041919
abx_mega__h2o-1a__2,-0.0927761049,0.0397621094,-0.0031725596,0.07538422110000001
abx_mega__dcs_h2o__2,0.8084515633,0.0295181061,0.1802342586,-0.2137039597
abx_mega__cst_h2o__4,-1.7707331071999999,0.6765520599,0.09818323600000001,-0.2134462412
abx_mega__van_h2o__2,0.2758573632,-0.1313395527,-0.3526430493,-0.2306398724
abx_mega__pen_h2o__4,1.3507986185,-1.1849000443,0.0756111866,-0.5936463758
abx_mega__h2o-8b__2,2.956892481,0.1917764428,0.6808320621,0.11993875400000001
abx_mega__reta_dmso__3,-1.4562102889,-0.1254083886,-0.2661121549,0.237909008
abx_mega__dmso-7__2,-0.6968319626,0.0413045956,0.1704709512,1.8895943154000001
abx_mega__rfp_h2o__2,-12.0063645312,-1.2130654544000001,-0.3190404485,1.2509991628
abx_mega__rif_dmso__6,-9.1378875723,-1.1475451275,0.7970546494,1.1704671685
abx_mega__sxt_dmso__4,2.2596517071,0.23990241980000002,0.2183011746,1.3514043206
abx_mega__cip_naoh__5,0.48325161200000005,-0.042177127,0.6722423561,0.0185558471
abx_mega__dmso-9__3,0.5622689914,-0.341587067,0.076161881,0.32390818520000003
abx_mega__mem_dmso__5,2.0685053131,0.1067217318,0.1250213869,0.4918307497
abx_mega__tric_h2o__2,-2.013173297,1.3284647298,1.0594459021,0.5095991614000001
abx_mega__phos_h2o__6,1.3219450587,0.13667702310000002,0.6529881824,0.1723091054
abx_mega__h2o-7__2,3.6774989469,0.0400555976,0.3934689329,0.5866863516
abx_mega__h2o-10__3,0.6367852247,0.1579017148,0.4004819337,0.2516220524
abx_mega__h2o-8a__2,-3.0144116043,-0.2295144067,0.0545261951,-0.45374010200000003
abx_mega__thio_dmso__3,-0.3674421451,-0.40999634500000004,-0.4623023734,-0.0785225256
abx_mega__lzd_dmso__3,-2.6741632267,0.41635551470000004,-0.756500629,-1.0671567044999999
abx_mega__monac_dmso__3,-12.5594963025,0.8852669989,-2.095569653,-1.70122574
abx_mega__polmyx_h2o__5,-2.413195377,0.47019160320000003,-0.0941886495,0.7365673686
abx_mega__naoh-6__5,-0.7492104422,0.4263555999,0.7083150589,0.0122959707
abx_mega__teix_dmso__11,0.3576011597,0.0158778074,0.249505831,0.0259563891
abx_mega__van_h2o__3,-0.4834206735,-0.353805546,-0.7702307266,-0.3540785295
abx_mega__teix_dmso__12,-0.5114069048000001,-0.0949833372,-0.00030539980000000004,0.8158985592
abx_mega__dox_dmso__6,0.9450101378,-0.0402154183,0.4847417979,1.3660196396
abx_mega__teix_dmso__13,-3.6514958418,-1.0545825032,-0.5938249964,1.5077788525
abx_mega__h2o-7__3,2.4497581528,0.0329465014,0.16605972430000002,0.2878216163
abx_mega__str_h2o__4,-1.3540024782,0.49062571110000003,0.0903340601,1.742029518
abx_mega__tec_h2o__3,-10.3516113315,-2.5030278976,-0.6828017204,0.2939771813
abx_mega__phos_h2o__7,-0.1359268287,0.22288803100000001,0.5137894696,0.1611020242
abx_mega__chl_h2o__5,-10.9241073586,0.35465275100000004,-1.3765458025,-1.0212711095
abx_mega__polmyx_h2o__6,0.764280719,0.49303985780000004,0.3407071866,1.581232123
abx_mega__teix_dmso__14,0.3764971488,0.0909615292,0.2709143765,-0.10018570930000001
abx_mega__rif_dmso__7,-5.609710434,-0.6050113022,0.9890072267000001,0.6620764086
abx_mega__ramo_h2o__3,-4.9679071762,-0.9469901951,-0.509230579,0.0350527978
abx_mega__fidax_dmso__4,-0.1741593783,0.0893514383,-0.1166075248,0.45207968070000004
abx_mega__teix_dmso__15,2.2453619151,0.533781862,0.1438911323,0.3259638522
abx_mega__thio_dmso__4,-1.2468536674,-0.5504288499000001,-0.5905581777000001,-0.5091000744
abx_mega__rif_dmso__8,-9.448873947,-1.5708370051,0.588316572,1.1736352166
abx_mega__reta_dmso__4,-5.2597273467,0.025528003,-0.6288444940000001,0.1218603947
abx_mega__inh_h2o__4,-9.0129618487,1.1960883277,0.6033680294,-0.1781436395
abx_mega__novo_dmso__2,-6.1166490392,0.7337960436000001,-1.3942402845,-0.6037946919
abx_mega__dcs_h2o__3,0.4262218044,0.16543111060000001,0.2541658069,0.12449228870000001
abx_mega__h2o-8b__3,2.4411803009,-0.3013275018,0.3268250455,-0.1297530696
abx_mega__valin_dmso__3,-5.9078607468,0.0524331097,-0.4763369354,0.1017590336
abx_mega__h2o-2__1,1.6837270836,-0.1296792457,0.5289166027000001,2.3131630958000002
abx_mega__cro_h2o__4,0.5740995121,-0.1166385846,0.4794630764,-0.07385166500000001
abx_mega__dcs_h2o__4,2.1919885957,0.5228202102,0.45460465170000003,0.406341769
abx_mega__str_h2o__5,1.359626654,0.0620767183,0.0381170054,0.4473448175
abx_mega__h2o-8a__3,-3.0086861767,-0.1670867104,0.033315282200000004,-0.4009290956
abx_mega__dox_dmso__7,1.0507225344,-0.023023933200000003,0.6909579807,-0.1585778277
abx_mega__doxo_dmso__2,3.4398215119,-0.1780022674,0.0881241294,0.5881761555
abx_mega__teix_dmso__16,-4.8126673787000005,-1.288192235,-0.9462372929,1.0121133392
abx_mega__rfp_h2o__3,-13.3872281481,-1.1735091948,-0.41837437390000004,0.9215387213
abx_mega__ethanol-10__3,1.3969602165000001,0.4256665049,0.6207549305,0.7019706149
abx_mega__naoh-2__2,0.3334510155,-0.14596955720000002,0.6204052518000001,1.9011813671
abx_mega__van_h2o__4,-5.9483740203,-0.6767342955,-0.9163581820000001,-0.6610720347
abx_mega__sacet_h2o__2,-12.2670231398,1.5844404703000001,0.0946646081,1.8919933899
abx_mega__monac_dmso__4,-9.9836674359,1.4941188956,-1.1083150814,-0.6246931994
abx_mega__h2o-2__2,2.6009925027,-0.0048985968,1.1107605084,1.9307420204999999
abx_mega__zeocin_h2o__5,1.7296533204,0.23466406990000002,0.21978223090000001,0.22299274160000002
abx_mega__nor_naoh__5,0.6476670102000001,0.10958004780000001,0.188688236,-0.45803047500000005
abx_mega__naoh-9__2,0.6747082201,0.2428538366,0.34290489420000003,0.014430849
abx_mega__dmso-7__3,0.0377791766,0.0122195926,0.30073223320000003,2.0435775268
abx_mega__van_h2o__5,-6.5176899328,-0.7705289413,-0.9591672147,-0.5492119811
abx_mega__flavo_dmso__4,0.9789313937,0.14097936390000002,0.2001662853,1.1567118324
