,A,LacR
USA300_LAC_ICA-Set002_CAMHB_2gLglucose_1,-10.49443285,6.0741552569
USA300_LAC_ICA-Set002_CAMHB_2gLglucose_2,-10.64472022,6.2361126989
USA300_LAC_ICA-Set002_CAMHB_Control_1,-0.020897621,6.2164951627
USA300_LAC_ICA-Set002_CAMHB_Control_2,-0.45219932,6.3375001535
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_1,-9.870370342,7.102700073
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_2,-10.28310159,7.0561209784
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_1,-9.238481289,6.6925087358
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_2,-10.11909071,6.730729364
USA300_SNFM1_ICA-Set002_CAMHB_Control_1,-3.166658853,6.5345370126999995
USA300_SNFM1_ICA-Set002_CAMHB_Control_2,-1.780083613,6.3843966537
USA300_SNFM1_ICA-Set002_R10LB_Control_1,-10.79757548,6.8120596421
USA300_SNFM1_ICA-Set002_R10LB_Control_2,-8.105660050000001,6.8089153664
USA300_SNFR19_ICA-Set002_CAMHB_Control_1,-8.419101495,6.9281706789
USA300_SNFR19_ICA-Set002_CAMHB_Control_2,-8.611762711,6.9119365139
USA300_SNFR19_ICA-Set002_R10LB_Control_1,-8.347075785,6.9598381955
USA300_SNFR19_ICA-Set002_R10LB_Control_2,-7.595173982,7.0566980849
USA300_TCH1516_ICA-Set002_CAMHB_Control_1,-0.044324053,6.2773266589
USA300_TCH1516_ICA-Set002_CAMHB_Control_2,0.044324053,6.3640859057
USA300_TCH1516_ICA-Set002_R10LB_Control_1,-9.428774919,6.9797465814
USA300_TCH1516_ICA-Set002_R10LB_Control_2,-7.712062645,7.0993876074
USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_2,-9.010226734,8.0044797009
USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_1,0.697057679,6.3330421635
USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_1,-9.695461786,8.0253238369
USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_2,0.346062813,6.2574941225
USA300_TCH1516_ICA-Set003_250nMParaquat_1,-5.8217430750000005,6.6586796946
USA300_TCH1516_ICA-Set003_250nMParaquat_2,-3.066436239,6.870097692
USA300_TCH1516_ICA-Set003_2gLGalactose_1,11.27590211,7.3980013866
USA300_TCH1516_ICA-Set003_2gLGalactose_2,10.849762609999999,7.0628131113
USA300_TCH1516_ICA-Set003_2gLPyruvate_1,-7.335108535,6.5180666291
USA300_TCH1516_ICA-Set003_2gLPyruvate_2,-2.747342282,6.2150757527
USA300_TCH1516_ICA-Set003_Control_1,-7.503986338,7.5288995144
USA300_TCH1516_ICA-Set003_Control_2,-4.588172593,7.4741808097
USA300_TCH1516_ICA-Set003_StationaryPhase_1,-4.83507777,6.8262391111
USA300_TCH1516_ICA-Set003_StationaryPhase_2,-9.532611254,6.8843469345
