,A,NtrC
co_culture__b_thai_30__2.0,0.4653544545,0.1406867312
co_culture__c_viol_35__2.0,-1.8179893534,-0.5272795720000001
co_culture__b_thai_40__2.0,0.6699979525,-0.3398728194
co_culture__b_thai_12.5__2.0,-0.09867798430000001,0.1021736844
co_culture__b_thai_c_viol_12.5__2.0,-6.1747573137,-1.2732990073
co_culture__mono_35__3.0,-0.4059551317,-0.14635682960000002
co_culture__mono_12.5__3.0,-0.8605042675000001,-0.13467382
co_culture__b_thai_c_viol_45__4.0,-3.9871615547,-0.6724100598
co_culture__b_thai_c_viol_35__3.0,-4.1903514083,-0.7685461819
co_culture__b_thai_c_viol_30__3.0,-5.0261755657,-0.9458306752000001
co_culture__b_thai_c_viol_30__4.0,-5.2824801978,-1.2196570067999999
co_culture__b_thai_c_viol_40__3.0,-2.0827985825,-0.28566167470000003
co_culture__c_viol_40__4.0,-2.894727505,-0.0842267367
co_culture__b_thai_35__3.0,2.4008144291,-0.1828281541
co_culture__b_thai_30__3.0,2.9969292116,0.0835338207
co_culture__b_thai_45__3.0,1.6344419056000001,-0.4366435155
co_culture__mono_25__3.0,-1.6462498448,-0.3702720087
co_culture__mono_45__3.0,-2.0988293229,-0.3602350804
co_culture__mono_40__3.0,-2.218157901,-0.4006411852
co_culture__c_viol_25__3.0,-0.2925772058,-0.2637384597
co_culture__c_viol_35__3.0,-1.4721205182000001,-0.39636630170000003
co_culture__mono_25__4.0,-2.3179130696,-0.28950123440000003
co_culture__mono_35__4.0,-3.0235535167,-0.4408270718
co_culture__mono_45__4.0,1.9267810792,0.2370344455
co_culture__mono_40__4.0,-2.3600471450000002,-0.2571857717
co_culture__b_thai_30__4.0,-1.0010812558,-0.4656124608
co_culture__b_thai_40__3.0,0.4463874353,0.1748229355
co_culture__b_thai_35__4.0,-0.0033302836,0.0671664411
co_culture__c_viol_25__4.0,-1.7848534773,-0.3018860531
co_culture__c_viol_35__4.0,-1.2990261059,-0.2417543463
co_culture__c_viol_12.5__3.0,-0.6866425399,-0.19937239980000002
co_culture__c_viol_12.5__4.0,-0.7112477895,-0.26850354400000004
co_culture__b_thai_12.5__3.0,16.167295738,2.2694771361
co_culture__mono_12.5__4.0,1.3857016866,0.3053129994
co_culture__c_viol_30__3.0,-0.7773097434,-0.3695546054
co_culture__b_thai_c_viol_35__4.0,14.4782600909,0.9770597078000001
immunity_2__WT_sid2__1.0,-3.2611938467,-0.5197914202
immunity_2__WT_pad4__1.0,-2.1525321169,-0.269122676
immunity_2__WT_PS__1.0,-2.2950433915,-0.29098392
immunity_2__WT_sid2__2.0,1.2344129418,0.31766988
immunity_2__WT_pad4__2.0,1.5238862348,0.400120998
immunity_2__WT_PS__2.0,1.0075134952,-0.0258776639
immunity_2__WT_sid2__3.0,2.0267809049,0.2021215402
immunity_2__WT_pad4__3.0,1.9226398549,-0.168541044
immunity_2__WT_PS__3.0,-1.1282072609,-0.0323509909
immunity_in_vitro__WT_MM__1.0,-0.0871140557,-0.2242456702
immunity_in_vitro__WT_MM__2.0,0.18329765110000001,-0.0907705052
immunity_in_vitro__WT_MM__3.0,-0.9065507312000001,0.2447393827
immunity_in_vitro__WT_MM__4.0,0.8103671359,0.07027679270000001
immunity_isolated__WT_DE__1.0,-0.6106377852,0.1303295543
immunity_isolated__WT_DEPS__1.0,-0.2865749449,0.0232497742
immunity_isolated__WT_WT__1.0,4.0407970881,-0.2594053335
immunity_isolated__WT_npr1__1.0,0.3883141446,-0.36915093260000004
immunity_isolated__WT_DE__2.0,0.0897200167,-0.3434532802
immunity_isolated__WT_DEPS__2.0,-1.6421637908000002,0.0038526688000000003
immunity_isolated__AvrRpt2_WT__1.0,3.6310555351,0.25060159930000003
immunity_isolated__AvrRpt2_npr1__1.0,-0.3831219408,-0.6013739765
immunity_isolated__AvrRpt2_DE__1.0,-2.5788931916999998,-0.1535637362
immunity_isolated__AvrRpt2_DEPS__1.0,-3.3799134556,-0.5928342990000001
immunity_isolated__WT_WT__2.0,6.827907641,1.1732481871
immunity_isolated__WT_pad4__1.0,3.1827635667,0.5891039454
immunity_isolated__WT_PS__1.0,3.2266670341,0.4839048151
immunity_isolated__AvrRpt2_WT__2.0,4.6419070287,0.7705586092000001
immunity_isolated__AvrRpt2_sid2__1.0,1.3764552026,0.5953366806
immunity_isolated__AvrRpt2_pad4__1.0,-1.7833449963999999,0.293508258
immunity_isolated__AvrRpt2_PS__1.0,1.6629871022,0.4375617409
immunity_isolated__WT_WT__3.0,-0.4961252312,0.5197055456
immunity_isolated__WT_sid2__1.0,-1.374782829,-0.4688427624
immunity_isolated__WT_pad4__2.0,-1.4357712696,0.1624108518
immunity_isolated__WT_PS__2.0,-3.8387291358,-0.3694479411
immunity_isolated__AvrRpt2_WT__3.0,1.5318397089,0.0655637734
immunity_isolated__AvrRpt2_sid2__2.0,-0.4900438439,0.1176961799
immunity_isolated__AvrRpt2_pad4__2.0,-1.9534714221,-0.22611327720000002
immunity_isolated__AvrRpt2_PS__2.0,-3.3381190235,0.034686995400000004
immunity_isolated__WT_WT__4.0,1.7463134378,0.48789174290000004
immunity_isolated__WT_npr1__2.0,1.5391878118,0.0745761617
immunity_isolated__AvrRpt2_WT__4.0,-2.0737765669,-0.0398858111
immunity_isolated__AvrRpt2_npr1__2.0,-0.0179240138,-0.474727877
immunity_isolated__AvrRpt2_DE__2.0,-3.7549256302,-0.2492322455
immunity_isolated__WT_WT_mock__1.0,5.6345954294,0.3556458528
immunity_isolated__WT_WT__5.0,-0.9767349995000001,-0.2323368372
immunity_isolated__WT_SP__1.0,-1.9541991947000001,-0.2627039975
immunity_isolated__AvrRpt2_b2b3__1.0,-3.5445098722,-0.3799078366
immunity_isolated__WT_WT__6.0,-1.8826736748,-0.25907660920000003
immunity_isolated__WT_SP__2.0,-3.3576845712,-0.46725784140000004
immunity_isolated__AvrRpt2_WT__5.0,-3.1409743207,-0.568533348
immunity_isolated__AvrRpt2_b2b3__2.0,-2.4188352591,-0.3435223933
immunity_isolated__WT_WT__7.0,2.1038263242,-0.0627394449
immunity_isolated__WT_sid2__2.0,-0.9076621184,-0.11782147870000001
immunity_isolated__WT_pad4__3.0,0.9066847908000001,0.1927647606
immunity_isolated__WT_PS__3.0,0.3062292582,-0.0954150497
immunity_isolated__AvrRpt2_WT__6.0,-0.1753281032,0.0848943649
immunity_isolated__AvrRpt2_sid2__3.0,0.7312885897,0.5713930537
immunity_isolated__AvrRpt2_pad4__3.0,0.7480954409,0.0207949938
immunity_isolated__AvrRpt2_WT__7.0,-0.8362797011,-0.40745431470000004
immunity_isolated__AvrRpt2_npr1__3.0,-1.7656936891,-0.3955792051
immunity_isolated__AvrRpt2_DE__3.0,-2.8884324614,-0.7460186807
immunity_isolated__AvrRpt2_DEPS__2.0,-4.4458172343,-1.1930874205
immunity_isolated__AvrRpt2_RR__1.0,0.00034313540000000003,-0.026631581300000002
immunity_isolated__AvrRpt2_WT__8.0,-3.4058718697,-0.8323609052000001
immunity_isolated__AvrRpt2_RR__2.0,-4.3901563533,-1.0067008416
immunity_isolated__WT_WT_mock__2.0,0.9031629004,0.33913854060000004
immunity_isolated__WT_WT_SA__1.0,5.166579437,0.7457155167
immunity_isolated__WT_WT_chitin__1.0,11.2830781873,1.5259488275000002
immunity_isolated__WT_WT_SA__2.0,6.6889414456,0.1018628077
immunity_isolated__WT_WT_mock__3.0,-0.3411275304,-0.5108132804000001
immunity_isolated__WT_WT_chitin__2.0,7.2282006656,0.7047310411000001
immunity_isolated__WT_WT_SA__3.0,3.5889508984000003,-0.0244407949
immunity_isolated__WT_WT__8.0,-2.4024501608,-0.5681729985
immunity_isolated__AvrRpt2_WT__9.0,-5.0486031305,-0.30046372460000004
immunity_isolated__AvrRpt2_WT__10.0,-4.5255351557,-0.227645845
immunity_isolated__WT_WT__9.0,-3.1574426678,-0.25970932150000003
immunity_isolated__AvrRpt2_WT__11.0,-2.2900237058,0.0418629827
immunity_isolated__WT_WT__10.0,-1.4344741658,-0.1513193232
immunity_isolated__WT_pad4__4.0,-2.2157145149,-0.0788255946
immunity_isolated__WT_PS__4.0,-2.5801104129,-0.0663909777
immunity_isolated__AvrRpt2_WT__12.0,-3.7593099805,-0.08052476260000001
immunity_isolated__AvrRpt2_pad4__4.0,-1.6553291312,-0.1658599568
immunity_isolated__AvrRpt2_PS__3.0,-2.1706641277,-0.1384801466
immunity_isolated__WT_WT__11.0,-3.226975591,-0.1739945578
immunity_isolated__WT_stp__1.0,1.1670164928,-0.283245515
immunity_isolated__AvrRpt2_WT__13.0,-2.899195836,-0.5643219555
immunity_isolated__AvrRpt2_stp__1.0,-3.5539600404,-0.1546289826
immunity_isolated__WT_WT__12.0,-1.1419680003,-0.21409104980000002
immunity_isolated__WT_stp__2.0,-0.9931214526000001,-0.0211447703
immunity_isolated__AvrRpt2_WT__14.0,0.013040277000000001,-0.1202423205
immunity_isolated__AvrRpt2_stp__2.0,0.9496508760000001,0.2546393784
immunity_no_isolation__WT_WT_mock__1.0,0.1953428153,0.1296558241
immunity_no_isolation__WT_WT_flg22__1.0,9.2738844778,1.154097918
immunity_no_isolation__WT_WT_flg22__2.0,10.7462831747,1.6690057623999999
immunity_no_isolation__WT_WT_flg22__3.0,6.5707576655,0.658551663
immunity_no_isolation__WT_WT_mock__2.0,0.5703171337,-0.225540607
immunity_no_isolation__WT_WT_mock__3.0,-0.765659949,0.0958847829
immunity_time__mock_1hpi__1.0,0.28080004470000003,0.2445853013
immunity_time__mock_1hpi__2.0,-1.9996962822,-0.4841605356
immunity_time__mock_1hpi__3.0,1.7188962376,0.2395752343
immunity_time__flg22_1hpi__1.0,-0.7187823448,0.016766961
immunity_time__flg22_1hpi__2.0,-4.4586329596,-0.9645586054
immunity_time__flg22_1hpi__3.0,-0.39090062470000003,-0.4474999397
immunity_time__mock_3hpi__1.0,-7.8872765931,-1.3065169469
immunity_time__mock_3hpi__2.0,-3.201286854,-0.869434201
immunity_time__mock_3hpi__3.0,-11.9814787131,-2.0881342958
immunity_time__flg22_3hpi__1.0,-1.168693946,-0.0832820368
immunity_time__flg22_3hpi__2.0,0.7681183092,0.0984527756
immunity_time__flg22_3hpi__3.0,-8.2868003957,-0.8773853229
immunity_time__mock_5hpi__1.0,-8.6509449607,-2.3033844477
immunity_time__mock_5hpi__2.0,-6.4887904705,-1.0424615629
immunity_time__mock_5hpi__3.0,-9.1961264319,-1.6330076964
immunity_time__flg22_5hpi__1.0,-5.0331717355,-0.9865366288
immunity_time__flg22_5hpi__2.0,-0.0335503547,0.2813066996
immunity_time__flg22_5hpi__3.0,-2.9045738621,-0.3009502793
