,A,FadR,IclR
rpoB__wt_lb__1,6.7093127919,6.9234006390000005,7.266028155
rpoB__wt_lb__2,6.0866674837,7.2284435265,7.1152187075
rpoB__rpoBE546V_031__1,3.550405354,7.6365617531000005,7.7649835162
rpoB__rpoBE546V_044__1,3.5057695886999998,7.3878468126,7.7719976703
rpoB__rpoBE546V_lb__1,3.3594832086,7.4943351232,7.539701301
rpoB__rpoBE546V_lb__2,3.8787343715,7.2843074234,7.3135377857
rpoB__rpoBE546V_glc__1,-3.5395297936,7.2871192215,7.898776648
rpoB__rpoBE672K_glc__1,-1.7050682497,7.9360147654,7.640189187
rpoB__rpoBE672K_glc__2,-1.786405285,7.9922960282,7.642019876
rpoB__rpoBE672K_lb__1,1.0465376865,6.9152446417,7.352578322
rpoB__rpoBE672K_lb__2,0.1349591624,6.9038711817,7.4758059517
crp__wt_fru__1,0.6511896695,7.6846652697,7.6130812311
crp__wt_glyc__1,2.3062247942,7.7046770953,7.3566512719
crp__wt_glyc__2,1.558506513,7.7908858038,7.3412157181
crp__delar1_glyc__1,-0.0383239672,7.1691800674,7.2587343299
crp__delar1_glyc__2,-2.3545917293,7.2494743297,7.5070161488
crp__delar1ar2_glyc__1,1.6755455193,7.2117373543,7.5038879075
crp__delar1ar2_glyc__2,1.6143564561,7.0343789637,7.5380604954
crp__delar1ar2_glyc__3,1.2620948494,7.0442461596,7.4784615419
crp__delar2_glyc__1,-1.7732578932,7.9169856071,6.8360293189
crp__delar2_glyc__2,-1.8207078591,7.8093360882,7.0880756565
crp__delar2_glyc__3,-1.6364106873000002,7.7848418857,7.2710361336
crp__delcrp_fru__1,1.6534056355,7.0497206764,7.3475808012
crp__delcrp_fru__2,1.1541481508,7.0736389392,7.2479698625
crp__delcrp_fru__3,1.5452024457,7.1257398353,7.3886298597
crp__delcrp_glc__1,2.1958665812,6.9541177925,7.4542173434
crp__delcrp_glc__2,2.1195755497,7.1908416774,7.4324069435
crp__delcrp_glc__3,2.0356931665,7.0195527957,7.5188130929
crp__delcrp_glyc__1,0.4219662233,7.0748021646,7.0018383338
crp__delcrp_glyc__2,0.2880997644,6.9715300054,7.156712022
crp__delcrp_glyc__3,-0.3050972957,6.9425611916,7.0520904536
glu__glu_ale3__1,-3.1454661361,6.9508104251,6.8060554141
glu__glu_ale4__1,-3.6906180445,7.0016599146,7.4292582973
glu__glu_ale5__1,-1.7281996740999999,7.1308787153,7.3064383196
glu__glu_ale6__1,-1.2451295089,6.9582475233,7.1916251063
glu__glu_ale8__1,-4.3920298364,6.8900690428,7.4871764328
glu__glu_ale9__1,-2.8720620325,7.4482197856,7.5481158519000005
glu__glu_ale10__1,-4.3334922873,6.9399266302000004,6.7951684553
42c__wt_42c__1,0.49268481700000005,7.195842231,8.0017244492
42c__42c_ale1__1,-3.7070363343,7.5457464622,7.3507279324
42c__42c_ale2__1,-4.4371849405,7.0516400849,7.7810771266
42c__42c_ale3__1,-5.2123638012,6.7346387362,8.0189423427
42c__42c_ale4__1,-4.8069485824000004,6.8337785274,8.2016586545
42c__42c_ale5__1,-4.6300711137,6.7644711062,7.9044240559
42c__42c_ale6__1,-4.9818100133000005,7.1827959448,8.067317569
42c__42c_ale8__1,-4.9547521889,7.2183364923,8.2378822338
42c__42c_ale9__1,-3.3507606958,6.9050576829,8.0811059258
42c__42c_ale10__1,-5.4904210584,7.2935386383,8.3877825974
ssw__wt_ac__1,3.4563264354,7.234138736,7.564949336
ssw__wt_glc__1,-2.7447392004,6.9142961763,7.723254643
ssw__wt_glyc__1,-2.3576233023,8.2941164963,8.52883441
ssw__wt_xyl__1,-2.5904029365,8.3594128815,7.8205675093
ssw__glc_ale1__1,-4.4393603054,8.1652634388,7.8307129343
ssw__glc_ale2__1,-5.3646544983,7.536841164,7.4001689909
ssw__glc_ale3__1,-3.8954934305,8.3605356756,7.6827357441
ssw__glyc_ale1__1,-4.4049678683,7.323280923,7.3441601282
ssw__glyc_ale2__1,-2.451823974,7.1947099094,7.5762611686
ssw__xyl_ale1__1,-5.5146953858,7.6851106046,8.2268971916
ssw__xyl_ale2__1,-4.5577445827,7.9323158402,8.2926894236
ssw__xyl_ale3__1,-4.583456125,7.0653475655,7.5640083584
ssw__glc_ac_ac2__1,1.6678858589,7.2018150837,7.3019925747
ssw__glc_ac_glc1__1,-7.6232838975,7.9245304519,8.0498201304
ssw__glc_ac_glc2__1,-5.5018940408,7.7239623754,7.608763308
ssw__glc_glyc_glc__1,-3.9852546323,6.9663722315,6.8308088714
ssw__glc_glyc_glyc__1,-4.4440122623,7.5436344192,7.0435348706
ssw__glc_xyl_glc__1,-7.1910799659,7.4912127564,6.4672526113
ssw__glc_xyl_xyl__1,-4.727876168,7.2203078816,7.3568127074
pgi__glu4_delpgi__1,2.1610331709,7.0226166418,7.7292760695
pgi__pgi_ale1__1,0.6056826359,6.8648701379,7.2592689092
pgi__pgi_ale2__1,3.1410142531,6.6551495346,7.3701126909
pgi__pgi_ale3__1,0.9564304045,6.6845791173,7.5673147546
pgi__pgi_ale5__1,2.8093129051,6.9658620856999995,7.3936137306
pgi__pgi_ale6__1,0.5723256573000001,6.6998087351999995,7.7560321695
pgi__pgi_ale7__1,0.0047117153000000005,6.8947709192,7.676648121
pgi__pgi_ale8__1,1.5393579546,6.7625027833,7.6563322978
ica__wt_glc__1,-2.5744436056,6.9834230537,6.7431416579
ica__wt_glc__2,-3.5171184883,7.0755167565,6.7603293282
ica__wt_glc__3,-4.7107377315,7.2413698519,7.2820611063000005
ica__wt_glc__4,-5.1104573789,7.3321264177,6.9150885323
ica__arg_sbt__1,1.7155444174,7.0959978558,6.5795556399
ica__arg_sbt__2,1.6200198101,7.4427885199,6.8085247814
ica__cytd_rib__1,6.8860486969,7.3154565662,6.4065897627
ica__cytd_rib__2,7.1505946147,7.2806197709,6.4583750501
ica__gth__1,-0.6463191611,6.7001870867,7.2081648536
ica__gth__2,-0.9429008509000001,6.4982718958,7.4657268806
ica__leu_glcr__1,-1.9600500282,7.4739856943,7.0245885749
ica__leu_glcr__2,-2.2063284838,7.687972931,6.8388861747
ica__met_glc__1,-3.0871610444,7.0573988037,6.5899522996
ica__met_glc__2,-2.9340846759,7.2259451082,6.7243334173000004
ica__no3_anaero__1,-6.0356435763,7.2804973881,7.1347502805
ica__no3_anaero__2,-6.0903313721,7.3772607532,7.3839411566
ica__phe_acgam__1,-2.6422565629,7.1340476894,6.8958395458
ica__phe_acgam__2,-3.0715089521,7.314466708,7.0087304182
ica__thm_gal__1,2.9104301028,7.26692927,7.0274864376
ica__thm_gal__2,3.0375780479,7.3243454558,7.2391778704
ica__tyr_glcn__1,-4.205299042,7.0555198188,6.9130528585
ica__tyr_glcn__2,-4.5769936746,7.2028874994,6.9047238845
ica__ura_pyr__1,-1.45785361,7.3924730053,6.7779820006
ica__ura_pyr__2,-0.2929037396,7.5437893738,7.1286095742
ica__wt_glc__5,-5.2399152344,7.3958560209,6.9984720324000005
ica__wt_glc__6,-5.3675050249,7.2001625487,6.9836894348000005
ica__bw_delpurR_cytd__1,-5.8625182673000005,7.166806519,7.0834333752
ica__bw_delpurR_cytd__2,-5.9745177768,7.0162277895,7.05035449
ica__ade_glc__1,-6.7375512101,7.6584200687,7.4633171265
ica__ade_glc__2,-6.2422563267,7.6658111015,7.3446200213
ytf__wt_glc__1,-0.6634880539,6.8511138886000005,6.6945521632
ytf__wt_glc__2,-2.3274094336,6.7013123982,6.6900979913
ytf__delyafC__1,-4.2601642295,7.0829389963,6.7810410885
ytf__delyafC__2,-3.990992079,6.9543217288,6.7789504886
ytf__delyeiE__1,-4.4965851425,7.470071213,7.332640454
ytf__delyeiE__2,-3.6031884357,7.2876396841,7.1476213343
ytf__delyiaJ__1,-4.0280590948,6.9825125429,6.6226034117
ytf__delyiaJ__2,-3.7707038779,7.1639218508999996,6.6410060749
ytf__delyieP__1,-4.8223984117,7.3779662077,7.3809060231
ytf__delyieP__2,-4.5386478136,7.2047275962,7.1382019847
ytf__wt_ph5__1,-1.9517361820999999,7.2257643533,7.136969112
ytf__wt_ph5__2,-2.1739712708,6.9625543854,7.1066840854
ytf__wt_ph8__1,-1.2615605465,7.0077269932,7.0426398995
ytf__wt_ph8__2,-1.1208950399,7.1083213731,7.0093566365
ytf__delybaO__1,-3.4983529113,7.196915684,6.9090744617
ytf__delybaO__2,-3.6635738707,7.2696592136,7.0084601718
ytf__delybaQ__1,-1.7907822815,7.1588346654,7.1514830827
ytf__delybaQ__2,-1.5630005312000002,7.2292411584,7.0827952949
ytf__delybiH__1,-2.2313397963,6.9340248809,6.2697988589
ytf__delybiH__2,-3.7721307676,7.0817607061,6.7918896024
ytf__delydcI_ph5__1,-1.6946262404999999,7.0310363454,7.3005269066
ytf__delydcI_ph5__2,-1.8849242481,7.133157422,7.0811132809
ytf__delydcI_ph8__1,-1.9650713462,6.9798513986,7.0777599047
ytf__delydcI_ph8__2,-1.4359312800000001,7.1766622307,6.8875016057
ytf__delyddM__1,-1.5710152658,7.2822445028,7.3372027878
ytf__delyddM__2,-2.0381907174,7.2956126621,7.4129955217
ytf__delyheO__1,-3.8418077755,7.211991671,6.5518850105
ytf__delyheO__2,-4.3951248078,7.3372693935,6.7383561775
fps__bw_glc__1,-1.0458111488,7.707661763,7.1423936815
fps__bw_glc__2,-1.9933847682999999,7.4764651392,6.8218574919
fps__fps_thrA_ale1__1,-1.6163533373,7.7925214305,6.6515844556
fps__fps_thrA_ale1__2,-1.0133044253,7.5205280182,6.7202019455
fps__fps_thrA_ale2__1,-1.3397185051,7.5513995165,6.8434387284
fps__fps_thrA_ale2__2,-1.3400367705,7.5505307627,6.6877326919
fps__fps_serB_ale1__1,-0.6242943628000001,7.6047004488,6.7599963078
fps__fps_serB_ale1__2,0.1391862112,7.4350834396,6.7498999628
fps__fps_serB_ale4__1,-1.3791776054,7.8927991382,7.2346111795
fps__fps_serB_ale4__2,0.1418255634,7.6901915339,7.2889763758
fps__fps_ptsI_ale1__1,2.7960765305,7.7262396642999995,6.6778832758
fps__fps_ptsI_ale1__2,4.269152765,7.5382968088,6.7113159795
fps__fps_ptsI_ale3__1,0.9012152647,7.4363278049,6.8446536456
fps__fps_ptsI_ale3__2,1.1938019818,7.4839722005,6.7063574058
pal__lyx_ale2_f6__1,4.927957476,7.7482218701,7.5353403625
pal__lyx_ale2__1,0.5944703395000001,7.4739705716,6.9774799056
pal__lyx_ale2__2,0.6216931139,7.3945465956,6.9875116645
pal__lyx_ale4__1,0.5944703395000001,7.4739705716,6.9774799056
pal__lyx_ale4__2,0.6216931139,7.3945465956,6.9875116645
pal__5drib_ale10_f18__1,4.5375637895,7.4127437129,7.42562111
pal__5drib_ale10_f18__2,4.0440666576,7.4900663825,7.7548309781
pal__5drib_ale10__1,4.8416312078,7.6429770572999995,7.4524608852
pal__arab_ale14_f9__1,-0.0597176697,7.2279425009,7.4226394047
pal__arab_ale14_f9__2,0.6261969764,7.1610953913,7.5010376822
pal__arab_ale14__1,1.1431419613,7.0659537133,7.7228305401
pal__arab_ale14__2,0.6752445258,7.1779362802,7.6869966614
pal__arab_ale16__1,0.0506997297,7.2552676403,8.0042067355
pal__arab_ale16__2,0.1994845072,7.0086106826,7.8939210981
pal__tartr_ale26_f10__1,1.1953105358,7.3544244457,6.4368363613
pal__tartr_ale26_f10__2,2.7138907223,7.6345966759,6.3233680435
pal__tartr_ale26__1,1.3747808948,7.2599804142,6.7004303619000005
pal__tartr_ale26__2,1.5634620779000001,7.2915125058,6.7342904422
pal__tartr_ale28_f10__1,5.7018563361,6.9663647727,6.4160905135
pal__tartr_ale28_f10__2,3.926459584,7.5245065652,6.7409679443
pal__tartr_ale28__1,1.5787648733,7.4486032602,7.040810349
pal__tartr_ale28__2,0.5984098764,7.395872354,7.4135802933
efeU__delmenFentC_citr__1,-1.550429361,6.8458628118,6.6515456296
efeU__delmenFentC_citr__2,-1.2177359700000001,7.082824778,6.2657114735
efeU__delmenFentC__1,-1.3507012837,7.0591982929,7.0038174884
efeU__delmenFentC__2,-1.3209489868,7.1868920191,6.9735504444
efeU__menFentC_ale39__1,-3.1729302417,7.4414305177,6.7634274175
efeU__menFentC_ale39__2,-2.8788355818999998,7.4860666778,6.6900536089
efeU__menFentC_ale29__1,-5.0305769325,7.1376834565,6.3196589924
efeU__menFentC_ale29__2,-5.4393722677,7.4207275434,6.4581219224
efeU__menFentC_ale30__1,-4.6456949351,7.3770549582000005,7.1894304137
efeU__menFentC_ale30__2,-4.4088514732,7.1861771709,7.1524550434
efeU__menFentCubiC_ale36__1,-2.6952054413,7.2391908337,6.9063281233
efeU__menFentCubiC_ale36__2,-3.5292608325,7.3064749212,6.7488290081
efeU__menFentCubiC_ale37__1,-3.3842520312,7.1669659027,6.9004674357999995
efeU__menFentCubiC_ale37__2,-3.6900588792,7.3694633928,7.0538512514
efeU__menFentCubiC_ale38__1,-4.7307989114,7.0960109342,7.0421160472
efeU__menFentCubiC_ale38__2,-5.6051904438,7.2994541548,6.9679384419
