,-0.11403882533877223,-0.08552911900407917,-0.05701941266938611,-0.028509706334693047,1.3877787807814457e-17,0.02850970633469309,0.057019412669386135,0.08552911900407918,0.11403882533877226,0.14254853167346532,0.1710582380081584,0.1995679443428514,0.22807765067754449,0.25658735701223756,0.2850970633469306,0.31360676968162365,0.34211647601631673,0.3706261823510098,0.3991358886857029,0.42764559502039595
RpoS_genes,[],[],[],"['ompF' 'epd' 'speC' 'puuR' 'rsd' 'gabP' 'yhjG' 'gadE' 'yadV' 'pphA'
 'gpmA' 'bsmA' 'mpl' 'pfkB' 'yiaG' 'ddpA' 'fadL' 'dkgB']","['phr' 'yqiI' 'rsmG' 'ddpB' 'dps' 'yafN' 'yggE' 'mlrA' 'dhaK' 'nhaR'
 'pqiB' 'yciE' 'lsrG' 'mtn' 'btuF' 'lhgO' 'ycgZ' 'pqiC' 'actP' 'appA'
 'speB' 'patA' 'bolA' 'astB' 'insN' 'yhfG' 'yafP' 'pdeR' 'ygiB' 'csgE'
 'xapB' 'pqiA' 'csgG' 'ybaT' 'fic' 'pgk' 'xthA' 'rpoE' 'galE' 'hofM' 'blr'
 'ariR' 'ygiC' 'ftsQ' 'yehY' 'ada' 'fbaA' 'insI-1' 'elaB' 'astC' 'dhaL'
 'rseA' 'ecnB' 'dinB' 'mglB' 'rseB' 'hofO' 'rseD' 'mutS' 'glgA' 'glk'
 'insC-5' 'mdtA' 'envC' 'alkB' 'ftsA' 'alkA' 'blc' 'znuA' 'evgS' 'lsrA'
 'xapA' 'ilvY' 'tolC' 'appB' 'hchA' 'ldcC' 'mdtC' 'speG' 'pabA' 'acs'
 'ddpF' 'glgP' 'araH' 'sodC' 'osmF' 'mdtB' 'ddpC' 'tpiA' 'folK' 'ihfA'
 'csgF' 'fau' 'rseC' 'ppk' 'ytfK' 'glsA' 'ybiI' 'dhaR' 'yjcH' 'csgB'
 'csiE' 'patD' 'htrE' 'mglA' 'ybgA' 'nhaA' 'gor' 'hdeB' 'yafO' 'pcnB'
 'pgi' 'treA' 'cpxA' 'gyrB' 'csgC' 'hofN' 'sra' 'ddpX' 'dgcC' 'yciG'
 'astE' 'gabD' 'artM' 'ydcU' 'hdeD' 'astD' 'artP' 'btsT' 'mdtF' 'dhaM'
 'mnmG' 'yddG' 'narU' 'yibQ' 'ymgC' 'rhaS' 'sohB' 'talA' 'ybjP' 'ansP'
 'glgC' 'galK' 'csrA' 'dkgA' 'oxyR' 'pdeC' 'yehX' 'csgA' 'gapA' 'ymgA'
 'gabT' 'osmE' 'puuC' 'proP' 'baeS' 'baeR' 'setA' 'insD-5' 'mdtD' 'appC'
 'katE' 'mdtE' 'rhaR' 'ihfB' 'dnaN' 'csgD' 'ddpD' 'puuD' 'cpxR' 'cfa'
 'hdeA' 'eno' 'csiD' 'galT' 'luxS' 'proV' 'ydcT' 'proX' 'ydcV' 'recF'
 'glgS' 'gadB' 'artQ' 'crr' 'rssA' 'yehW' 'cbpM' 'kbp' 'sgrT' 'puuB'
 'araF' 'astA' 'yciZ' 'metK' 'yciF' 'tam' 'rpoH' 'yhiD' 'ftsZ' 'ynfB'
 'cbpA' 'lsrB' 'otsB' 'osmY' 'rssB' 'hdfR' 'aidB' 'treF' 'galM' 'yadS'
 'topA' 'yccJ' 'pfkA' 'otsA' 'msyB' 'yciT' 'wrbA' 'pykF' 'artI' 'yihG'
 'tktB' 'proW' 'gadC' 'ydcS' 'asr' 'araG' 'ydbD' 'lsrC' 'ppx' 'yffP'
 'fbaB' 'gpmM' 'murR' 'lsrF' 'osmC' 'evgA' 'rraA' 'mglC']","['puuE' 'yhiM' 'murP' 'aldB' 'ompN' 'ydbK' 'yffO' 'uspB' 'yabI' 'lsrD'
 'yqiH' 'murQ' 'osmB']",['appY'],[],[],[],[],[],[],[],[],[],[],[],[],[]
NarL_genes,[],[],[],[],['hybO' 'torC' 'hybA' 'torA' 'torD' 'ogt' 'hybD'],['hybG' 'hybB' 'hybC' 'hybE' 'hybF'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Fnr_genes,[],[],['feoB' 'feoC'],"['feoA' 'nrdD' 'aer' 'narL' 'hypB' 'fumA' 'nrdG' 'narX' 'ompX' 'gapC'
 'ssuA' 'hyfA' 'sdhC' 'ycaC' 'ybdN' 'hyfE' 'acrE' 'yffS']","['cydB' 'rplS' 'malP' 'gcvP' 'ssuB' 'tdcC' 'cadC' 'rpsP' 'glpT' 'tdcB'
 'cydA' 'ydeJ' 'trmD' 'hypC' 'hypD' 'caiA' 'ssuD' 'emrK' 'scpB' 'entF'
 'hyfC' 'ygbA' 'rimM' 'rpsS' 'uxaA' 'ung' 'glpA' 'soxS' 'dppD' 'uxaC'
 'malQ' 'glnD' 'ssuE' 'caiB' 'ortT' 'ynfK' 'caiC' 'cyoB' 'cyoA' 'xdhC'
 'ydfZ' 'rplW' 'cheR' 'mltA' 'hyfR' 'upp' 'rplM' 'amtB' 'pepT' 'moaC'
 'gnd' 'grcA' 'aroP' 'emrY' 'cyoD' 'tar' 'sdhB' 'msrB' 'acrF' 'hyfB'
 'glpQ' 'sdhD' 'ansB' 'cyoE' 'rplV' 'aspC' 'hyfJ' 'rpsJ' 'dppA' 'dppF'
 'rplD' 'tdcE' 'purM' 'moaA' 'hemA' 'thrA' 'dppB' 'rplP' 'nac' 'bcsZ'
 'ydfO' 'cheZ' 'rpsC' 'cheB' 'garP' 'hypE' 'bcsB' 'ysgA' 'ychO' 'garR'
 'glpB' 'nfeR' 'prfA' 'yfcZ' 'focB' 'arcA' 'gcvT' 'yibN' 'xdhA' 'ackA'
 'sdhA' 'rplB' 'fepE' 'gdhA' 'moaD' 'aldA' 'glnK' 'hyfD' 'rplC' 'tdcD'
 'moaB' 'scpC' 'xdhB' 'rpsQ' 'tdcF' 'fnr' 'fixA' 'hlyE' 'moaE' 'cyoC'
 'fixC' 'ybdZ' 'fixB' 'hyfI' 'tap' 'garL' 'rpsI' 'pitA' 'dppC' 'ssuC'
 'pdeF' 'tdcA' 'uraA' 'garK' 'prmC' 'tdcG' 'ccp' 'yecR' 'sodA' 'tpx'
 'caiT' 'rpmC' 'caiE' 'argK' 'rplT' 'purN' 'cheY' 'zwf']","['glpC' 'fhlA' 'scpA' 'hyfG' 'hyfF' 'gcvH' 'dcuC' 'katG' 'caiD' 'hyfH'
 'ndh' 'soxR' 'garD' 'fes' 'iraM']",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
RpoS and Fnr_genes,[],[],[],['iraD' 'gltF' 'lpd' 'puuP'],"['sucA' 'puuA' 'pstS' 'gadX' 'sucB' 'yeiL' 'gadW' 'hmp' 'phoU' 'pykA'
 'acnA' 'pstB' 'pdhR' 'pstA' 'pstC' 'aceF' 'gadA' 'fumC' 'sucC' 'ymjE'
 'sucD' 'aceE' 'gltD' 'gltB']",['ravA' 'viaA'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
NarL and Fnr_genes,[],[],[],['nuoN' 'narJ' 'nuoA' 'aspA' 'caiF'],"['pflB' 'dpiB' 'narH' 'nuoC' 'nikB' 'focA' 'ubiA' 'nuoM' 'nuoB' 'narK'
 'narI' 'nuoK' 'ompW' 'nikA' 'nuoF' 'dpiA' 'cydD' 'nuoJ' 'nuoL' 'nikD'
 'citD' 'moeA' 'nuoE' 'nikR' 'nuoG' 'nikE' 'dcuR' 'nuoI' 'citC' 'dcuS'
 'moeB' 'nuoH' 'nikC' 'dmsA' 'cydC' 'ubiC' 'narG' 'citG']",['dmsB' 'dcuA' 'fumB' 'citE' 'dmsC' 'dcuB' 'citF'],['citX'],[],[],[],[],[],[],[],[],[],[],[],[],[]
NarL and NarP_genes,[],[],[],['ydeP'],['yoaG' 'yeaR'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
"RpoS, NarL, and Fnr_genes",[],[],[],['frdA'],['frdB' 'adhE' 'frdD' 'frdC' 'dmsD'],['ynfH'],['ynfG' 'ynfE' 'ynfF'],[],[],[],[],[],[],[],[],[],[],[],[],[]
"RpoS, NarL, and NarP_genes",[],[],[],['hyaA'],['hyaF' 'hyaB' 'hyaC' 'hyaE' 'hyaD'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
"NarL, Fnr, and NarP_genes",[],[],[],['fdnI' 'napC' 'ccmA'],"['cysG' 'fdnH' 'napG' 'nirD' 'nirB' 'napA' 'nirC' 'nrfB' 'ccmB' 'nrfA'
 'ccmD' 'napD' 'fdnG' 'nrfG' 'nrfF' 'nrfE' 'napH' 'hcr' 'hcp' 'ccmE'
 'napB' 'norV' 'napF' 'ytfE' 'nrfD' 'nrfC']",['norW' 'ccmG' 'ccmH' 'fdhF' 'ccmF' 'ccmC'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
"RpoS, NarL, Fnr, and NarP_genes",[],[],[],[],['poxB'],[],[],[],[],[],['ydhT'],['ydhU'],[],['ydhW' 'ydhX'],[],['ydhV'],[],['ydhY'],[],[]
