,A,Fnr,NarP,NarL,RpoS
darobactin__daro_30m__1,1.0140734347,-0.21927705500000003,0.9871667178,0.7284092859,0.9622415594
darobactin__daro_30m__2,0.11461135950000001,0.0068389657000000005,0.7514377199000001,0.4246301596,0.7550729143
darobactin__solv_1h__1,1.7937752322,-0.39919583750000004,-0.1706782725,1.0373981939,1.8153011222000002
darobactin__solv_1h__2,0.8990366386,-0.15292812990000001,0.16082470840000002,1.2576795023,1.6305390598
darobactin__daro_1h__1,1.1793570073,-0.5413516662,1.3208998759,1.4009456965,2.66022843
darobactin__solv_1h__3,0.8806130211000001,-0.5255719177,-0.6762528471,1.2853268692,2.0770640183
darobactin__daro_1h__2,-0.3657823365,-0.4380107324,0.7661344433,1.3244833698,2.5665020116
darobactin__daro_1h__3,0.10490395450000001,-0.6924116879000001,0.8678561977,1.3857240534,2.8456212339
darobactin__daro_30m__3,0.2492071075,-0.023623925,0.6723792165,0.7652728165,1.1736554388
darobactin__solv_30m__1,0.4129202723,-0.2769247087,0.7422985984,0.500861994,0.2661366081
darobactin__solv_15m__1,0.0332972879,0.022569228400000002,-0.19117541570000002,-0.3044582545,-0.0111502136
darobactin__solv_15m__2,-0.1154741626,-0.0149231714,0.2309709237,0.30226830450000003,0.2054542597
darobactin__daro_15m__1,0.9903814937000001,-0.059067987700000005,0.18920579580000002,0.1665464679,0.7391266073
darobactin__solv_15m__3,0.0821768747,-0.007646057,-0.039795508,0.00218995,-0.19430404610000002
darobactin__daro_15m__2,-0.0721630561,-0.3998425611,-0.1756016257,0.1625546682,0.7199340907
darobactin__daro_15m__3,-0.8864232351,-0.2961707172,0.1044404515,-0.0420865568,1.2277820302
darobactin__solv_30m__2,0.041291107800000004,-0.0197029371,0.38981051510000003,0.2689682221,0.0215407991
darobactin__solv_30m__3,0.8246126792,-0.2057315476,0.8594948432,0.382244295,-0.0150692206
ddp__pNT3_aroP__1,-0.029917498100000002,0.0648785776,0.1567471745,0.5979051968,0.0663741888
ddp__pNT3_aroP__2,-0.38112198620000004,0.1318960147,-0.283822124,-0.0199559407,0.4506381236
ddp__pNT3_bamC__1,-0.9482861142000001,-0.18930506100000002,-0.30049329820000004,1.2818083355,0.28768228490000003
ddp__pNT3_bamC__2,-0.9024084206,0.048734282000000004,-0.6502364096000001,1.0522916616,0.1535386401
ddp__pNT3_cusA__1,0.675258235,-0.1222527779,0.0927653427,1.0320046949,0.15565523180000002
ddp__pNT3_cusA__2,1.1938129013,0.2651479138,-0.0896525383,0.7609959868,0.131350726
ddp__pNT3_hemX__1,-1.5757166212,-0.18178306500000002,-0.09763270760000001,0.5856344474,0.7917607625
ddp__pNT3_hemX__2,-1.6998422293000002,-0.0481881923,-0.1619953418,0.2921182026,0.6527340802
ddp__pNT3_empty__1,0.4797424032,0.0035004484000000003,0.040359769600000005,0.0626236352,-0.0220604303
ddp__pNT3_empty__2,-0.4797424032,-0.0035004484000000003,-0.040359769600000005,-0.0626236352,0.0220604303
ddp__pNT3_topA__1,-0.9227356604,0.2884841145,-0.3143547218,0.5306601487,1.0835072224
ddp__pNT3_topA__2,-1.4050990263,0.6061379563,-0.6187415562,0.0063539721,0.9596565713
ddp__pNT3_yicR__1,2.0615325094,-0.6059054221,-0.2700885068,0.25629960960000003,0.5855899905
ddp__pNT3_yicR__2,1.809508522,-0.4301566023,-0.39152739540000003,-0.2211240432,0.5974975256
ddp__pNT3_yqjD__1,0.777513287,-0.2255559323,0.3352563744,0.7782545998,0.3973549986
ddp__pNT3_yqjD__2,-0.2261452133,-0.1661942998,-0.09472025810000001,0.4418493845,0.3463440169
ecomics__del_gabT__1,0.6778212744000001,0.0654297724,-0.17576158050000001,-0.2558356651,0.0319115236
ecomics__del_gabT__2,-0.6778212744000001,-0.0654297724,0.17576158050000001,0.2558356651,-0.0319115236
ecomics__del_putP__1,-0.0014828989000000002,0.0394489063,-0.0913590397,0.0252704775,0.1755425277
ecomics__del_putP__2,0.33771802910000004,0.2651847274,-0.3845829965,0.0533145967,0.024489941100000003
ecomics__del_entF__1,0.9447424927,-0.1274267449,1.0401780122,0.35173000730000004,-0.2854373702
ecomics__del_entF__2,-0.11328473130000001,-0.0156335277,0.6361260588000001,0.187345971,0.3764522019
ecomics__del_entF__3,-1.2454575801,-0.0681908374,0.5560934693,0.3538666499,0.2949215998
ecomics__del_cysA__1,1.4193090349,-0.3039509496,1.1036989155,0.8789809757,-0.0268914219
ecomics__del_cysA__2,1.2793927103,-0.18626809560000002,1.1473892754,0.7735650338000001,0.056630553900000005
elyC__wt_21C__1,-1.1644285214,-0.0019092608000000001,-0.2579833125,-0.17239399390000001,0.8425441532
elyC__wt_21C__2,-1.1200090127,0.0184901467,-0.3815933832,-0.039473231000000004,0.6879051231000001
elyC__wt_21C__3,-1.0495208752,0.0880267361,-0.4714856075,-0.16596388850000002,0.6686345142
elyC__wt_37C__1,0.2946223336,0.0063945471,0.1571588063,0.15780662110000002,-0.5242501190000001
elyC__wt_37C__2,-0.2824458418,-0.0357761938,-0.2105147174,-0.0722310566,0.3029605819
elyC__wt_37C__3,-0.0121764918,0.0293816467,0.0533559111,-0.0855755645,0.22128953710000002
elyC__delelyC_21C__1,-1.1084102763,0.0098731567,-0.3765587408,-0.1654629797,0.5729494946
elyC__delelyC_21C__2,-1.5212940639,-0.1897870955,-0.311102696,-0.258966122,0.8031390428
elyC__delelyC_21C__3,-1.4267985925,-0.0409235603,-0.3788739786,-0.20104031860000002,0.5992687779
elyC__delelyC_37C__1,-0.0566878114,-0.0254851513,0.26746768390000003,-0.0865105382,-0.2291631891
elyC__delelyC_37C__2,-0.23634594150000002,0.0355440585,0.2956056328,0.07553486050000001,-0.18907728040000002
elyC__delelyC_37C__3,0.1281475061,0.0057575253,0.4223045596,0.061852098800000005,-0.1244349435
evo_acid_w__F9_2__1,-3.6674140040000003,-7.3552758056,-0.1344019484,-0.0888399111,1.097039597
evo_acid_w__F11_1__1,-3.1233717459,0.7139563072,1.8704860046,0.7065790823,-0.9273947829
evo_acid_w__F11_1__2,-3.5148930806000003,0.9185294265,1.2585676727,0.7386335782,-1.0439189205
evo_acid_w__F11_1__3,-0.0071834569,0.7798311562,1.4210610885000001,0.8138956489,-0.8374599219000001
evo_acid_w__wt__1,-1.4415687822,0.0845328856,0.4343523409,-0.0839775374,-0.0241568321
evo_acid_w__F11_2__1,1.3756928631,0.196271321,2.159065596,0.7062556104000001,-0.0860494442
evo_acid_w__B11_2__1,4.0592569865,-0.21254939720000002,1.4501015635,0.6953554794,-0.2103483814
evo_acid_w__F11_2__2,3.6535283628,0.45666608210000004,1.8606589863,1.6437094670999999,-0.7525754931
evo_acid_w__wt__2,0.9526562785,0.0023046192,1.0414799579,-0.043374079,-0.0423046222
evo_acid_w__B11_1__1,7.5943081657,0.030882746500000002,0.4118579717,0.3553058173,-2.0566938058
evo_acid_w__H9_1__1,0.8661976934000001,0.9365946801,-0.479922822,-0.3280518362,-0.9828317065000001
evo_acid_w__H9_2__1,1.5834686125,0.39447972600000003,1.0554273252,0.4331012071,-0.5097708088
evo_acid_w__B11_2__2,4.2177806079,-0.2747681118,1.3666384043,0.6206496690000001,-0.2337895701
evo_acid_w__wt__3,0.9644621475,0.1197434681,2.2017455388,-0.29263095580000004,0.5081283672
evo_acid_w__H9_2__2,1.3619319208,0.4314267907,1.2060458719,0.5051565148,-0.47408949180000004
evo_acid_w__B11_2__3,4.8092599046,-0.2345901954,1.540690969,0.6962143766000001,-0.6043009345
evo_acid_w__F11_2__3,3.4805995163,0.456708999,1.9729553553999999,1.6755633808,-0.6240025128000001
evo_acid_w__F9_2__2,-3.4658172536,-7.8525940196,-0.8518439793,0.1400424825,0.9201684831
evo_acid_w__wt__4,-0.7013366855000001,0.2973060844,-0.5677582922000001,0.6123452586,0.4262621594
evo_acid_w__wt__5,0.0697329595,0.3124097697,-0.3705456193,0.7063927401,-0.0907873793
evo_acid_w__wt__6,1.3679575552,-0.1751172912,-0.9231565988,-0.4659502613,-0.6271696783
evo_acid_w__H9_1__2,0.6810763177,0.9036193136,-0.2842164529,-0.38384030410000003,-0.9878038137
evo_acid_w__F9_1__1,-3.4393042625,-7.5369515417,0.3603594959,-0.1033873485,0.1061579939
evo_acid_w__F9_1__2,-3.5909144527,-7.0361766568,0.1681802355,-0.010538875100000001,0.0811030881
evo_acid_w__B11_1__2,7.7793769786,-0.0131986588,1.5041161454,0.5218018408,-1.4706241186
evo_acid_w__H9_2__3,2.3611512062,0.1964461357,1.1560854842000001,0.6081714487000001,-0.4671100716
evo_acid_w__wt__7,-2.3741927731,0.1707039968,-0.7069637105000001,0.0180629813,0.291305217
evo_acid_w__F9_1__3,-3.0921077579,-7.7499151628,0.1820430585,0.046942355500000005,0.0806200884
evo_acid_w__F9_2__3,-3.3906684057,-7.0926670476,-0.4959411768,-0.0829499602,1.2349298928
evo_acid_w__wt__8,0.7280425671,-0.22741367480000002,-1.0391004758,-0.2819431939,-0.5168503485
evo_acid_w__B11_1__3,8.258214067,-0.0619256138,1.2074997116,0.5324068082,-1.5198680512
evo_acid_w__wt__9,0.4342467331,-0.5844698577,-0.0700531412,-0.16892495270000002,0.0755731168
evo_bz__c3_1_bz__1,2.6341477128,1.2617788521,-1.636535397,0.5762343186000001,0.6045900864
evo_bz__c3_1_bz__2,-6.252594989,0.013602002200000001,-1.8972790812,1.2983206766,0.6665521292000001
evo_bz__c3_1_bz__3,-1.4277980882999999,-0.011886655900000001,-1.1837751168,0.7465112118,0.5463657323000001
evo_bz__c3_1_bz__4,-1.1198039872,0.0928465604,-1.4006546721,0.8942923287000001,0.6278999625
evo_bz__g5_1_bz__1,-3.7595168168,1.4522089644,-1.0994469099,0.25686588790000003,1.5070312818
evo_bz__g5_1_bz__2,0.7336014885000001,1.4799556311,-0.7153965995,0.5486288687,0.8280153045
evo_bz__g5_1_bz__3,-3.0665065464,1.2878835212,-0.3340174602,0.3260326055,1.5406839391
evo_bz__g5_1_bz__4,-3.6779989578,0.5038059594000001,-0.5475833447,0.7897283174,2.2125833362
evo_bz__g5_1_bz__5,-1.5801560841,0.360903352,-0.6943970726,0.49558195120000004,1.7876219128000002
evo_bz__g5_1_bz__6,-1.7252520678,0.5015165093,-0.36254436760000003,0.4566782632,1.9715246501
evo_bz__w3110d13__1,1.4825967186,-0.2848580515,-0.5125855479,0.1724557368,-0.2027626566
evo_bz__w3110d13__2,0.1632926426,-0.061697307900000005,-0.2738784492,-0.030635029900000003,-0.1722772558
evo_bz__w3110d13__3,-0.6653449941,0.1678169173,0.1632059475,-0.0722359716,-0.0238262804
evo_bz__w3110d13__4,-0.23890464520000002,-0.3500729039,-0.0999277088,0.0013491506000000001,-0.3323414589
evo_bz__w3110d13__5,-0.831799127,0.2581440398,0.38275978590000004,-0.26139924600000003,0.09276473390000001
evo_bz__w3110d13__6,0.0901594052,0.2706673062,0.3404259725,0.19046536020000002,0.6384429179000001
evo_bz__w3110d13_bz__1,2.2282318881,0.4075951256,-1.4657015157,0.7234735221,1.0306032465
evo_bz__w3110d13_bz__2,1.7874778503000002,0.4723477928,-2.0010544501,0.8461263958,1.0620790756
evo_bz__w3110d13_bz__3,-2.0383844828,0.0966315491,-1.3832379776,0.9141561881,1.1761166277
evo_bz__w3110d13_bz__4,1.655539254,0.4559032226,-1.532095044,0.664258193,1.0781661632
evo_bz__c3_1_bz__5,2.9937658544,1.3849591353,-1.8024552306000001,0.7452993698,0.5970242542
evo_bz__c3_1_bz__6,2.6735412403,1.4019401177,-1.9927816739000002,0.5785401985,0.41313108940000004
evo_bz__g5_2_bz__1,-6.4788506118,0.032233089300000003,-1.007265906,0.4802957195,0.6560503050000001
evo_bz__g5_2_bz__2,-4.9332235033,-0.0453090219,-0.5476771832,0.49381386400000005,0.5163063446
evo_bz__g5_2_bz__3,-2.302601708,0.0014162464,-0.7514221903,0.5898432175,0.5921911449
evo_bz__g5_2_bz__4,5.0216067136,0.2852736966,-1.7137459561,0.9554701996,0.4145018807
evo_bz__g5_2_bz__5,4.7962710865,0.2818975743,-1.6212636189,0.7713469477,0.3385546109
evo_bz__g5_2_bz__6,4.6124031002,0.9043918405,-1.4145132440000001,0.657317507,0.6707933292
evo_bz__w3110d13_bz__5,-1.2001070231,0.2892210988,-1.3674921518,0.8135768659,1.0105470486
evo_bz__w3110d13_bz__6,-2.2502968435,0.2841031,-1.4677593481,0.8840772914,1.2598023969
evo_bz__a1_1_bz__1,-0.048868086000000005,-0.4692650607,-2.0805516963,0.2345764287,1.8700815334
evo_bz__a1_1_bz__2,5.6425333336,0.359532976,-1.0165328679,0.6899307175,1.2053437335
evo_bz__a1_1_bz__3,-3.8141573108999998,1.0300605526,0.4137341713,0.4485482959,0.8512096507
evo_bz__a1_1_bz__4,6.3100831917,0.06453909170000001,-0.228545607,0.478671245,1.0336142905
evo_bz__a1_1_bz__5,-5.1908840969,1.0883072748,0.7617366428,0.1767654194,0.8297124726
evo_bz__a1_1_bz__6,-2.5147201641,0.9656259972000001,0.5905102694000001,0.4141056352,0.9577840338
evo_metab__wt__1,-0.0776706058,0.1288576417,-0.022696146400000002,0.3706986647,0.6428626927000001
evo_metab__del_zwf__1,0.6488662390000001,-0.0383819357,-0.197169858,0.39092617890000003,0.5569332490000001
evo_metab__zwf_ale1__1,0.19006214100000002,0.1318576497,0.1097569092,0.5842403459000001,0.45583812900000004
evo_metab__zwf_ale2__1,-0.0022812768,0.019056687000000003,0.037858136800000004,0.5959497501000001,-0.0059625017
evo_metab__del_ppk__1,-1.252210114,-0.0419896674,-0.7772977034,-0.8026795525,-0.7958093834000001
evo_metab__ppk_ale1__1,-1.323214721,0.23862317660000001,-0.5276708831,-1.1079643948,-0.9913625079
evo_metab__ppk_ale2__1,0.31956958500000004,0.1611058857,0.35358751250000003,0.7774519143,0.8636873724
evo_metab__ppk_ale3__1,-0.3245436565,0.4581252995,0.4980028863,0.3939165264,0.9692145481000001
evo_metab__del_dapF__1,0.5681077004,0.3172238424,-0.1618089996,0.243656734,0.5484635499
evo_metab__dapF_ale1__1,0.5531953316,0.1383090976,0.022543798900000002,0.5492736877000001,0.47975582850000004
evo_metab__dapF_ale3__1,-0.7003561437,-0.3716839181,-0.7717061212,-0.7256898118,0.0560243226
evo_metab__del_entC__1,-0.5745294609,-0.2415756215,-0.6368249217,-0.1402465632,-0.4189636936
evo_metab__entC_ale1__1,0.5324334144,-0.15906388330000001,-0.9245576052000001,-0.3618465671,-0.9782229419
evo_metab__entC_ale2__1,0.7026105207000001,0.007812727200000001,0.1568959154,0.6184222671,0.5822594640000001
evo_metab__del_dgk__1,-0.4150533785,-0.12566082550000002,-0.6383199969000001,-0.6088164535,-1.0677223828
evo_metab__dgk_ale1__1,0.5393207439000001,0.0504878854,-0.6980053877,-0.4372946351,-0.6452112251000001
evo_metab__dgk_ale2__1,0.4820381172,0.5392612067,-0.7518052764,0.21005723110000002,0.1060509201
evo_metab__dgk_ale3__1,0.2085441559,-0.1771450645,-0.6385251476,0.3298116539,-0.601614632
evo_metab__wt__2,0.1436871109,-0.0641102801,-0.3770133507,-0.147708369,-0.7106380433
evo_metab__del_zwf__2,2.3055867796,0.4335230942,0.5574255159,0.1776874777,0.48744292520000004
evo_metab__zwf_ale1__2,1.178989683,-0.1511554798,0.0023126014,-0.6758762535,-0.1201034834
evo_metab__zwf_ale2__2,0.27395846430000004,-0.0774772219,-0.3415925085,-0.3830104012,-0.49547265960000003
evo_metab__del_ppk__2,0.4241857728,-0.1502114202,-0.48444085080000004,-0.6258374279000001,-0.7485561418000001
evo_metab__ppk_ale1__2,0.7595261289,0.1315080696,-0.19891322050000002,-0.8211100075000001,-0.1073952073
evo_metab__ppk_ale2__2,-0.08356128980000001,-0.0719380109,-0.4049088349,-1.323253442,-0.5009317645
evo_metab__ppk_ale3__2,0.2514985939,0.12563758,-0.8527262456,-0.9410560172,-0.8764053693
evo_metab__del_dapF__2,2.9072106279,0.9592729955,-0.0481223942,0.0507837041,0.2653966235
evo_metab__dapF_ale1__2,4.0256438705,0.8334966567000001,0.10384389840000001,-0.36151505040000004,0.8576571565000001
evo_metab__dapF_ale3__2,3.5013872495,1.0963381317,0.0738779786,0.015682493000000002,0.5060509845
evo_metab__del_entC__2,0.6269439715,-0.09922067500000001,-0.26137277670000003,-0.8430240657,-0.7526508004
evo_metab__entC_ale1__2,0.5932918152000001,-0.1683037611,-0.1833071832,-0.7095500967,-0.6745435179
evo_metab__entC_ale2__2,1.0098337666,0.12045115120000001,-0.44253011280000004,-0.9011111180000001,-0.2096922728
evo_metab__entC_ale3__1,0.4948340563,-0.10618114270000001,-0.446762853,-0.9978276163,-0.5210191926000001
evo_metab__del_dgk__2,0.0828063458,-0.4606796238,-0.6754981247,-0.5477391271000001,-0.9885591913
evo_metab__dgk_ale1__2,1.32329914,-0.2463820843,-0.07145826150000001,-0.3795001022,-0.5335854546000001
evo_metab__dgk_ale2__2,1.1408489156,0.3616560525,-0.4823670472,-0.8229495654000001,-0.6650077532
evo_metab__dgk_ale3__2,0.03165315,-1.0284903831,-0.43409591340000003,-0.49900804390000003,-0.6734272628
evo_metab__wt__3,-0.0660165051,-0.0647473615,0.39970949710000003,-0.2229902957,0.0677753505
evo_metab__del_zwf__3,-0.19488993570000002,-0.0761053958,-0.17887231280000002,-1.050438918,-0.6635944368000001
evo_metab__zwf_ale1__3,0.6285596025,-0.09697300660000001,0.010444783800000001,-0.9253455741000001,0.24001536340000001
evo_metab__zwf_ale2__3,-0.38588904,-0.2615945059,-0.4122120703,-1.143631335,-0.39957036030000004
evo_metab__del_ppk__3,-0.5616830766,-0.162388314,0.022754137600000002,-0.6899662739,0.13779702600000002
evo_metab__ppk_ale1__3,0.9196868382000001,0.06995235600000001,-0.3917278658,-0.431709809,-0.2892728428
evo_metab__ppk_ale2__3,0.3604931972,0.16927389210000002,-0.1225056204,-0.8646589433,0.063880307
evo_metab__ppk_ale3__3,0.335609149,-0.21989089520000002,-0.3997059032,-0.45853898340000004,-0.0446195849
evo_metab__del_dapF__3,2.8796951926,0.8976741623000001,0.0834395968,-0.2640806834,0.6790029578
evo_metab__dapF_ale1__3,3.2818244712,0.7015805322,0.3608213022,-0.5786324041,0.5657041852
evo_metab__dapF_ale3__3,3.002025422,0.8552512050000001,0.3834445456,-0.680639905,0.7180691943
evo_metab__del_entC__3,-0.023534444,-0.3455777802,-0.45927943400000004,-0.9313440660000001,-0.4285660378
evo_metab__entC_ale1__3,0.3301717342,-0.3496650475,-0.198315561,-0.8045448596,-0.37244374420000004
evo_metab__entC_ale2__3,1.0129978219,-0.3209950742,-0.3073502466,-0.9736267228000001,-0.5556808697
evo_metab__entC_ale3__2,-0.0002878189,0.10337487640000001,-0.4179557645,-1.7514730810999999,-0.1552247884
evo_metab__del_dgk__3,0.7116423022,-0.1810282464,-0.8890720193,-0.9426322646,-0.6178347536000001
evo_metab__dgk_ale1__3,0.8249451764,-0.1042635281,-0.6502022962,-0.9324803580000001,-0.1980209816
evo_metab__dgk_ale2__3,0.4102671111,0.17177478340000002,-1.1263124784,-1.1485021186,-0.2259185498
evo_metab__dgk_ale3__3,0.9643125766,-0.3989806461,-0.7791888210000001,-0.5130261229,-0.7817842324000001
flag_reg__wt__1,-0.1105388546,0.0,0.19980019170000002,0.027978306,-0.0242983062
flag_reg__del_fliA__1,0.1665817629,0.1430180401,0.07267635900000001,-0.28426126290000003,0.7349939390000001
flag_reg__del_flhC__1,0.6806263451,0.0,-0.3433674795,-0.40835610370000003,0.42723498790000003
flag_reg__del_flhD__1,0.0728216228,0.0,-0.8564162667,-0.18742537580000002,0.2324750193
flag_reg__wt__2,0.1105388546,0.0,-0.19980019170000002,-0.027978306,0.0242983062
flag_reg__del_fliA__2,0.7930301934,0.1810243454,0.0701416252,-0.12312843670000001,0.6642612716
flag_reg__del_flhC__2,-0.1618412888,0.0,0.30835879850000003,-0.2665569219,0.43708541440000004
flag_reg__del_flhD__2,0.7130132466,0.3016847958,0.0877401889,-0.3419932559,0.7065415546
flgM__27C__1,-1.7116712182,-0.5190136381,-0.1796496621,0.4951291902,0.9454235623
flgM__27C__2,-2.0652858622,-0.3222420219,-0.168072726,0.5282612775000001,0.7759384872
flgM__27C__3,-1.5071276787999999,-0.4530709885,-0.0347154799,0.5388327452,0.5711733054
flgM__32C__1,-2.4842720369,-0.2782649171,-0.17133669340000002,0.0733341685,0.9374318935
flgM__32C__2,-0.5056756131,-0.2806686959,0.0541334511,0.23331332970000002,0.910492182
flgM__32C__3,-1.013110373,-0.4037237883,0.0559414447,0.2936524889,0.8612305479
flgM__37C__1,0.020640138500000002,-0.0037651177,0.0844621906,0.0053444871,-0.037221874200000005
flgM__37C__2,-0.47405059730000004,-0.0090358951,-0.082302913,-0.0380483048,0.0013268786
flgM__37C__3,0.4534104588,0.0128010128,-0.0021592776,0.0327038177,0.0358949956
flgM__42C__1,-0.16884458430000002,-0.093188196,0.0238383271,-0.1505166587,-0.0877083962
flgM__42C__2,-0.24533436990000002,-0.0238553789,0.0554037542,-0.1406825428,-0.044082464
flgM__42C__3,-0.2620889889,-0.0313487078,0.33822658240000003,0.19901135550000001,0.0040361203
histone__untreated__1,-0.1164131557,0.0095465275,-0.2806123235,-0.0307052643,-0.3611764005
histone__untreated__2,-0.1919238338,0.0232059397,0.048528958500000004,-0.29837836030000003,0.0771642025
histone__untreated__3,0.3083369895,-0.032752467300000004,0.232083365,0.3290836246,0.2840121979
histone__10ug_H2A__1,-0.1319529085,-0.15256787230000002,0.31486008600000004,0.1228972319,0.1505303285
histone__10ug_H2A__2,-0.1522329105,-0.12441594560000001,0.27084092530000003,-0.1692551499,0.1160648475
histone__10ug_H2A__3,-0.2639464662,-0.10435943240000001,0.3590626414,0.3676494218,0.3506432363
histone__50ug_H2A__1,0.7849052932,-0.4254753164,0.4329661447,0.3538193458,1.0733189414
histone__50ug_H2A__2,0.4712746494,-0.3196076483,0.6052419305,0.41197237610000004,0.9355091798
histone__50ug_H2A__3,0.8363487457000001,-0.3156598178,0.5899694939,0.27205525880000003,0.6864147749
histone__100ug_H2A__1,0.6590350112000001,-0.5449668212000001,0.4296274499,0.1546633298,1.4027260516
histone__100ug_H2A__2,0.1392973095,-0.523218044,0.4769412975,0.181779925,1.1597094079999999
histone__100ug_H2A__3,0.4953485374,-0.5631612565,0.6113668889,0.241015746,1.2837350512
hns__del_hns_spike__1,3.5668547305000002,-1.8529613086,-0.39397574090000004,0.1025900143,-0.5141281642000001
hns__del_hns_spike__2,3.5055929302999997,4.4171410107,-0.036025850400000003,0.0325783359,0.4709148805
hns__del_hns__1,3.5024556684,-1.9114182228,-0.2373554327,0.2102891741,-0.4309899782
hns__del_hns__2,3.9307174263,4.1511978614,-0.0268183548,0.1220451763,0.5072233562
hns__wt_spike__1,-0.45664036160000004,-1.9114182228,-0.3524756605,0.4081639314,0.0010033149
hns__wt_spike__2,0.45107821950000004,1.5058805974,0.2757242386,-0.4645212761,0.1241556788
hns__wt__1,-0.5339875971,-1.8065297164,-0.49580533200000004,0.18506455360000001,-0.095928678
hns__wt__2,0.5339875971,1.8065297164,0.49580533200000004,-0.18506455360000001,0.095928678
hns_stpA__evo100G4_delhns_delstpA__1,4.4898808193,-1.6696986845000001,-1.0936344842,-1.1222129359,-1.6296757112
hns_stpA__evo100G4_delhns_delstpA__2,3.5105387378,-1.4652493593,-1.2615444251,-1.0371567741,-1.5207212803
hns_stpA__evo100G12_delhns_delstpA__1,8.8321781631,-0.35889479760000004,-0.0404046418,-1.1150671133,-2.1551091053
hns_stpA__evo100G12_delhns_delstpA__2,8.058500996,-0.8014556473000001,-0.11821539730000001,-1.2359529551,-2.271826186
hns_stpA__delhns_delstpA_delrpoS__1,10.3962524404,-0.8388314320000001,-1.1955337236,-1.1514785621,-8.919357295
hns_stpA__delhns_delstpA_delrpoS__2,9.9758536595,-0.4152274681,-0.2859263353,-0.9487566627,-8.5537604829
hns_stpA__wt__1,-0.5904591949,0.1043733763,0.2491958775,0.0560385855,0.2355117427
hns_stpA__wt__2,0.5904591949,-0.1043733763,-0.2491958775,-0.0560385855,-0.2355117427
hns_stpA__delhns_delstpA__1,-1.4990605698000001,-1.5472205910999999,-1.0139647237,0.5119362405,-3.123507769
hns_stpA__delhns_delstpA__2,-1.3427547314,-1.5531352302,-0.7930615849,0.8331544412,-2.652046765
hu__wt_log_pH7__1,0.27793678050000004,-0.19100837710000002,0.21761410850000001,-0.5857785061,-0.07601669750000001
hu__wt_log_pH7__2,0.0798340124,0.7087330881,0.5224830125000001,-0.1325261094,-0.2865615411
hu__wt_log_pH7__3,-0.4805293391,0.34349852080000004,0.5304003047,-0.2807598049,0.200378254
hu__wt_lag_pH7__1,-0.298156441,0.1536742525,-0.2564166598,-0.1085302749,-0.2852539933
hu__wt_lag_pH7__2,-0.7267437516,-0.0322767413,-0.4341405017,-0.7430338169,-0.38528219900000005
hu__wt_lag_pH7__3,1.0249001926,-0.1213975112,0.6905571616,0.8515640918,0.6705361923000001
hu__delhupA_lag_pH7__1,-0.7477166246,0.21202446060000002,0.0289087636,-0.4063618183,-0.2520204133
hu__delhupA_lag_pH7__2,-0.7065265597,0.5987173526,-0.47021134670000003,-1.4274961940000002,-0.561476191
hu__delhupA_lag_pH7__3,-0.2587222636,-0.1807484194,0.1487430159,0.6691944452,0.3723034616
hu__delhupB_lag_pH7__1,-0.5473519008000001,0.1036303247,-0.19820863060000002,-0.3338674667,-0.4987923756
hu__delhupB_lag_pH7__2,-0.6574566679,0.0875729346,-0.2149857141,-0.736156319,-0.40853676120000004
hu__delhupB_lag_pH7__3,0.7914682326,-0.3900321698,0.3511439227,0.4992284853,0.4330006176
hu__delhupAhupB_lag_pH7__1,-1.2603455564,-0.5681724135,-0.5901460105,-1.053754119,-0.1061310161
hu__delhupAhupB_lag_pH7__2,-1.0989696025,0.019754427,-0.6560632526,-1.0941416626,-0.26026007500000004
hu__delhupAhupB_lag_pH7__3,-0.9043185851000001,0.27332833030000003,-0.146897896,-0.2991678736,1.1858326733
hu__hupAE34K_hupB_lag_pH7__1,0.5801950788,-0.0690832475,0.23444943810000002,0.5698469427,0.1802800029
hu__hupAE34K_hupB_lag_pH7__2,-0.3118770817,0.6704954660000001,0.1139770155,-0.6646076642000001,0.0778207767
hu__hupAE34K_hupB_lag_pH7__3,1.2997123278,-0.2908193112,0.38319485200000003,0.6551848883,0.5343687421000001
hu__hupAE34K_delhupB_lag_pH7__1,0.4368772548,-0.2406689964,-0.0960327134,0.0231489962,0.0135547038
hu__hupAE34K_delhupB_lag_pH7__2,-0.0624338341,0.14526903260000001,-0.0124360522,-0.1375288171,0.2293122333
hu__hupAE34K_delhupB_lag_pH7__3,1.3973500064,-0.21581755660000002,0.5598028837,0.6588762081,0.5407124442
hu__wt_lag_pH5__1,-0.1056345487,0.5535835338,-0.6444970978,-0.4082138135,0.8095686286
hu__wt_lag_pH5__2,-0.22586132420000002,1.2081234349,-0.321038733,-0.52645941,1.2513711449
hu__wt_lag_pH5__3,0.2622302258,0.8957372423000001,-0.1040356721,-0.1553081325,1.548525294
hu__delhupA_lag_pH5__1,-0.2996419923,0.6569229851,-0.8271854177,-0.6733790077,0.8769834036
hu__delhupA_lag_pH5__2,-0.5662113943,0.6167569178,-0.5062810738,-0.2355483518,1.2547770457
hu__delhupA_lag_pH5__3,-0.0391803913,0.8316677062000001,-0.24889549530000002,0.18508565870000002,1.1842660553
hu__delhupAhupB_lag_pH5__1,-0.9080057016,0.1999734554,-1.0537984379,-0.8351352551000001,1.1372458531
hu__delhupAhupB_lag_pH5__2,-0.6138212322000001,0.2197027038,-0.863906838,-0.6537333584,1.1463289075
