,A,MtrB
Fru_3,-0.36651576350000004,-0.3730666667
Mal_1,-0.09933095930000001,-0.9544666667
Mal_2,-1.3803411460000001,-0.6381666667
Mal_3,0.7414784597,-0.4747666667
G+S_2,-6.7084579424,-0.6501666667
G+S_3,-3.0559355834,-0.5414666667
Pyr_1,-5.2960333249,-0.9140666667
Pyr_2,-3.90700892,-0.7175666667
Pyr_3,-5.9694618166,-0.9188666667000001
Gly_1,3.0521476433,-1.1843666667
Gly_2,3.0269035415,-0.5053666667
Gly_3,0.9553759281,-2.0396666667
Glucon_1,-3.7064664786,-0.9989666667
Glucon_2,-2.5867040315,-0.5936666667
Glucon_3,-3.4621720854,-1.8139666667
aero_1,-5.7503008638,0.6000333333
aero_2,-7.2780276326,-0.4128666667
aero_3,-6.9769061982,0.1545333333
nit_1,-8.6562073282,-0.37526666670000003
nit_2,-8.8378149801,-0.0412666667
nit_3,-7.0084741759,-0.4098666667
ferm_1,-9.6976669907,-0.6506666667000001
ferm_2,-6.2953185883,-0.4012666667
ferm_3,-4.533951084,-0.0869666667
T-5.40H_1,0.39535052530000003,0.46443333330000003
T-4.40H_1,0.8833206186,0.3123333333
T-3.40H_1,0.006528549000000001,0.2069333333
T-2.40H_1,0.2406546155,-0.1150666667
T-1.40H_1,-0.3377874031,-0.35506666670000003
T-1.10H_1,-0.8279946161,-0.5158666667
T-0.40H_1,-1.3932423955,-0.2394666667
T0.0H_1,0.2836692219,-0.6126666667
T0.30H_1,1.3639318094,-3.3730666666999998
T1.0H_1,1.3096201434,-2.7443666667
T1.30H_1,-0.179558721,-2.7839666667
T2.0H_1,-1.5827578033,-2.0920666667
T2.30H_1,-2.6105951307,-1.0896666667
T3.0H_1,-3.5271168706,-1.1877666667
T3.30H_1,-3.7939300922,-0.7287666667
T4.0H_1,-4.9648251497,-0.7311666667000001
T5.0H_1,-5.3257938599,-1.1601666667
HPh_1,-9.0378694137,0.5185333333000001
HPh_2,-9.7706708105,0.2080333333
HPh_3,-10.5844607681,0.4501333333
LPh_1,-10.8163350349,0.4445333333
LPh_2,-9.327732217,0.9608333333
LPh_3,-9.7518456982,0.3803333333
LPhT_1,-11.3690669042,-0.7230666667
LPhT_2,-9.875281625,-0.7949666667
LPhT_3,-9.2358294572,-0.7279666667
SMMPr_1,0.0008219861000000001,-0.3269666667
SMMPr_2,-0.9174579005,-0.15236666670000001
SMMPr_3,-1.2215040846,-0.17226666670000002
HiTm_1,-9.6734451399,-0.5230666667
HiTm_2,-9.7634739458,-0.4342666667
HiTm_3,-10.2479672635,-0.1725666667
LoTm_1,-4.743599089,0.0415333333
LoTm_2,-4.885726021,-0.28196666670000003
LoTm_3,-5.3460763963,-0.3422666667
HiOs_1,-3.1212618748,0.2454333333
HiOs_2,-4.0206129011,-0.011766666700000001
HiOs_3,-3.6045624139,0.1405333333
BMM_1,0.7504335693,0.0990333333
BMM_2,-4.0291946401,-0.0527666667
BMM_3,-2.3492993726,0.048133333300000004
Heat_1,-2.8599910022,0.5126333333
Heat_2,-0.3284381234,0.1824333333
Heat_3,-2.0692192948,-0.0924666667
Cold_1,-0.5653971632,0.0812333333
Cold_2,-1.4006850493,-0.4439666667
Cold_3,-0.6661115779,-1.1070666667
Etha_1,7.805579494,-0.9594666667
Etha_2,5.0394743813,-1.4280666667
Etha_3,7.2753773221,-0.8092666667
SMM_1,-1.3392091455,-0.1884666667
SMM_2,-1.4524715633,-0.2265666667
SMM_3,-2.0569541577,-0.1400666667
Salt_1,-6.4504044977,0.0135333333
Salt_2,-7.1423291411,0.0409333333
Salt_3,-7.3196942725,0.08393333330000001
Mt0_1,-10.7760955212,0.1618333333
Mt0_3,-10.442898953,0.3647333333
M0t45_1,-5.9784555058,-0.0706666667
M0t45_2,-9.8158657704,-0.2083666667
M0t45_3,-8.6087568378,-0.0346666667
M0t90_1,-12.3469690663,-2.3915666667
M0t90_2,-10.5863716745,-1.1831666667
M0t90_3,-9.6959102493,-1.7772666667
M40t45_1,-5.8421716172,-0.4229666667
M40t45_2,-10.9083274808,-0.9939666667
M40t45_3,-8.1345437193,0.1315333333
M40t90_1,-11.2625931405,-2.3475666667
M40t90_2,-9.8141665925,-1.7303666667000002
M40t90_3,-9.6782770646,-1.9422666667000001
dia0_1,-9.775511763899999,-0.1953666667
dia0_2,-11.2024319561,-0.1642666667
dia0_3,-10.9105514018,0.1271333333
dia5_1,-12.5233348382,-0.3759666667
dia5_2,-10.3497105648,-0.11106666670000001
dia5_3,-9.6109627698,0.2538333333
dia15_1,-10.102894589,0.7071333333
dia15_2,-8.9037370134,0.9717333333
dia15_3,-8.9460612687,-0.0159666667
Diami_1,-5.9842664667,0.1191333333
Diami_2,-8.38078232,0.5853333333
Diami_3,-8.2588224224,0.6605333333
Paraq_1,-3.0113875146,0.4227333333
Paraq_2,-7.1110506077,0.6473333333
Paraq_3,-7.2759808905,-0.9987666667
H2O2_1,-5.301057425,0.3954333333
H2O2_2,-8.1432943478,0.6733333333
H2O2_3,-9.4521346157,0.4642333333
Oxctl_1,-4.9866457512,-0.1251666667
Oxctl_2,-6.3810734705,-0.0338666667
Oxctl_3,-8.8458074195,0.6106333333
GM-0.1_1,0.7635723041,-0.2697666667
GM-0.2_1,1.0677536799,-0.2300666667
GM+5_1,-1.917372125,-0.2924666667
GM+15_1,3.0315171993,-0.0701666667
GM+25_1,-2.7084818529,0.32123333330000003
GM+45_1,1.696402648,0.2060333333
GM+60_1,-5.8458098059,0.1439333333
GM+90_1,-5.1604232119,0.1397333333
GM+120_1,2.2255737851,-0.7112666667
GM+150_1,0.1430336146,-0.2268666667
GM-0.1_2,-0.3765559975,0.2065333333
GM-0.2_2,-0.24652021710000002,0.2036333333
GM+5_2,-0.8429444331,-0.0947666667
GM+10_2,1.172548993,-0.0815666667
GM+15_2,2.4947223565,-0.1319666667
GM+25_2,-3.0622285484,0.0387333333
GM+45_2,3.1019848832,-0.8012666667
GM+60_2,-4.5176025098,-0.7294666667
GM+90_2,-1.9447640065,0.1947333333
GM+150_2,2.4959342012,-1.1362666667
GM-0.1_3,-0.6213015028000001,-0.1067666667
GM-0.2_3,-0.8397099587,-0.0447666667
GM+5_3,-1.5536399554,0.15483333330000001
GM+10_3,1.4694595875,-0.9771666667000001
GM+15_3,2.771685306,-0.1668666667
GM+25_3,-1.3133868118,-0.2772666667
GM+45_3,2.9066769079,-0.8341666667000001
GM+60_3,-4.8661633493,-0.6135666667
GM+90_3,-7.2788892588,-0.31116666670000004
GM+120_3,-7.4810396971,-0.3092666667
GM+150_3,-6.4654091627,-0.1502666667
MG-0.1_1,0.6711210722000001,-0.0493666667
MG+5_1,-0.6142278366,-0.026466666700000002
MG+10_1,3.9278333627,0.3117333333
MG+15_1,1.744164013,-0.5418666667
MG+25_1,-6.8451989765,0.1203333333
MG+45_1,-1.4354279771,-0.1965666667
MG+120_1,-9.0350115485,-0.9228666667000001
MG+150_1,-8.4833175369,-0.37676666670000003
MG-0.1_2,1.9158668310000002,-1.0198666667
MG-0.2_2,0.3377700443,-0.2433666667
MG+5_2,-0.0846533299,-0.1055666667
MG+10_2,4.7641403615,0.0993333333
MG+15_2,2.6141705598,0.5396333333000001
MG+25_2,-4.8833379705,-0.2848666667
MG+45_2,3.0648545384,-0.6324666667000001
MG+60_2,-4.4287212962,-0.11826666670000001
MG+90_2,-2.7716571550999998,-0.6011666667000001
MG+120_2,-10.5191801906,-0.17676666670000002
MG-0.1_3,0.34637067260000004,0.5332333333
MG-0.2_3,-1.0304871299,0.1896333333
MG+5_3,-1.032677247,-0.1019666667
MG+10_3,6.8415481181,-0.6837666667
MG+15_3,2.2501709998,0.0340333333
MG+25_3,-6.6391436767,0.2937333333
MG+45_3,0.9890724671000001,0.5315333333
MG+60_3,-2.2403246230000002,0.041333333300000004
MG+90_3,-1.4784501309,-0.0041666667
MG+120_3,-10.0603787839,-0.6157666667
MG+150_3,-8.1114221216,-0.4085666667
