,A,CsoR,SigA,SigE,SigK
S8_5,26.5815459536,-2.2831333333,0.2585333333,2.9736333333,6.6006
G135_1,0.6233033088000001,-1.4984333333,1.0403333333,0.0541333333,-0.3816
G135_3,10.4384598438,-3.1654333333,-0.5351666667,-0.2868666667,-0.5902000000000001
G150_1,-1.9077809861000001,-1.1920333333,0.060033333300000005,-0.0657666667,-0.5750000000000001
G150_2,-9.3755424093,-0.9364333333,0.8795333333,-0.18736666670000002,-0.3704
G150_3,-4.3598323189,-0.8772333333000001,0.7559333333,-0.1079666667,-0.38580000000000003
G180_1,-2.0331498474,-1.0099333333,0.8065333333,-0.1332666667,-0.5301
G180_2,-6.9362272833,-0.8057333333000001,1.1408333333,-0.3342666667,-0.7018
G180_3,3.3526046689,-1.9232333333,0.0162333333,-0.5803666667,-0.8433
C30_1,19.0907258818,-2.0669333333,0.45133333330000003,0.7977333333000001,0.5686
C30_2,15.9628713606,-2.0337333333,0.4866333333,0.7859333333,0.8247
C90_1,26.1439784834,-1.0516333333,0.4576333333,0.8593333333000001,0.16590000000000002
C90_2,26.6259461379,-0.6685333333,0.5262333333,0.43413333330000003,-0.5734
BI_1,-10.6126045381,-0.9600333333000001,0.5050333333,0.5982333333000001,-0.0045000000000000005
BI_2,-10.9981871661,-0.6216333333,0.7180333333000001,0.7021333333,-0.09680000000000001
BC_2,-14.8120561191,-0.2631333333,1.0966333333,4.2106333333,2.0983
BC/t_1,-6.3176231008,-1.1941333333,0.9815333333,3.6086333333000002,1.0391
BC/t_2,3.5750582318,-0.2156333333,1.0916333333,3.9511333333,2.2721
BC_1,-7.3480918203,-1.1103333333,0.5115333333000001,3.7128333333,1.0768
Sw_1,-10.3333846461,0.2911666667,1.0459333333,2.0431333333,-1.0788
Sw_2,-13.3546848493,0.6128666667,1.0478333333,2.4950333333,-0.9369000000000001
BT_1,-3.6815050096,-0.8971333333,0.5767333333,4.4521333333,5.9204
BT_2,-2.3200090750999998,-1.6129333333,-0.0334666667,3.7704333333,5.5565999999999995
B36_1,-11.2261512446,-1.3077333333,0.0932333333,5.9355333333,6.415
B36_2,-10.2009567007,-1.5019333333,-0.2855666667,5.5746333332999995,6.2294
B60_1,-0.3243900572,-0.3180333333,-0.8806666667,6.1084333333,5.0686
B60_2,1.7329651948,0.4066666667,-1.4178666667,5.9211333333,4.911
M9exp_1,-1.3891452873,0.3050666667,0.4500333333,0.1011333333,0.4218
M9exp_2,0.6522945627,-0.0518333333,0.0428333333,0.0663333333,0.16390000000000002
M9exp_3,0.7368507246,-0.25323333330000003,-0.4928666667,-0.16746666670000002,-0.5857
M9tran_1,2.235778782,-0.6464333333,-0.5197666667,0.5983333333,-0.0755
M9tran_2,1.8345094197,-0.6340333333,-0.4929666667,0.7548333333,0.1163
M9tran_3,1.4392668272,-0.5278333333,-0.2826666667,1.3667333333,-0.08990000000000001
M9stat_1,11.5213297062,-1.7993333333,-2.3677666667,6.1333333333,1.9871
M9stat_2,13.2223454573,-0.9033333333,-2.5926666667,4.8058333333,0.2031
M9stat_3,12.4335764272,-1.1042333333,-2.8581666667,4.7942333333,-0.07390000000000001
M+G_1,11.857381492,-0.6797333333000001,-0.2651666667,0.9718333333,0.4112
M+G_2,7.6856570267,-0.8200333333000001,-0.0698666667,0.1377333333,-0.052500000000000005
M+G_3,6.4733626543,-0.7772333333,0.0202333333,0.0061333333,-0.1716
Glu_1,5.6733247369,-0.2205333333,0.0385333333,0.4501333333,-0.0357
Glu_2,2.7750374806,-0.2664333333,0.1411333333,0.31823333330000003,-0.033100000000000004
Glu_3,5.1924401529,-0.44113333330000004,0.2310333333,0.4937333333,-0.0646
Fru_1,-5.8249192823,-0.3284333333,0.5758333333,-0.1479666667,-0.7287
Fru_2,2.8814664623,-0.6243333333000001,0.6035333333,1.6203333333,0.5632
Fru_3,4.5096915977,-0.8227333333,-0.3261666667,0.3708333333,-0.2008
Mal_1,10.3472253635,-0.8944333333000001,-0.033066666700000004,-0.1395666667,-0.5537000000000001
Mal_2,7.0381402595,-1.1922333333,0.1433333333,0.1740333333,-0.0533
Mal_3,5.7191402616,-0.18053333330000002,-0.0349666667,0.0147333333,-0.6524
G+S_2,2.3721948489,-0.9477333333,0.4199333333,5.1985333333,4.6974
G+S_3,2.8826742788,-0.8837333333,0.1964333333,5.3629333333,5.4106
Pyr_1,4.5323278031,-1.4725333333,-1.0976666667,5.1284333333,4.067
Pyr_2,-0.48881924740000005,-1.4806333333000001,0.0542333333,4.9880333333,4.7976
Pyr_3,2.3003559208,-1.3111333333,-0.4892666667,4.6087333333,4.709
Gly_1,8.6251386074,1.0733666667,-0.9769666667,-0.1239666667,0.0613
Gly_2,7.3446127569,1.2392666667,0.1869333333,0.3292333333,0.5622
Gly_3,15.077128759,-0.45583333330000003,-1.3730666667,0.2295333333,-0.0173
Glucon_1,12.5371901455,-1.3681333333,-0.7808666667,2.5417333333,1.8749
Glucon_2,7.2258657927,-0.6799333333,-0.4182666667,2.2893333333,2.1062
Glucon_3,11.551401765,-1.1143333333,-1.2729666667,0.45133333330000003,0.0753
aero_1,-7.8844746272,-0.9635333333,0.6217333333,0.5094333333000001,1.6857000000000002
aero_2,3.7359734286,-1.3118333333,-0.4162666667,-0.1565666667,-0.0013000000000000002
aero_3,-1.4809687174000001,-0.5850333333000001,0.5514333333,0.20543333330000002,1.2309
nit_1,-1.2241378994,-1.3020333333,0.053733333300000005,1.9970333333,5.0279
nit_2,-1.3856222284,-0.8738333333,0.0560333333,1.4031333333,3.2705
nit_3,-2.4946245622,-1.2255333333,-0.2976666667,2.0592333333,4.5777
ferm_1,-2.3756696448,-1.1260333333,-0.1811666667,2.3132333333,5.0242
ferm_2,-3.015382622,-1.0350333333,-0.0399666667,0.9941333333000001,2.6761
ferm_3,-5.2308835604,-1.2978333333,0.5924333333,2.3045333333,4.432
T-5.40H_1,-9.1447437001,-0.47753333330000003,0.2856333333,2.9718333333,2.8854
T-4.40H_1,-7.9110532717,-1.0656333333,0.4948333333,2.1225333333,2.2257
T-3.40H_1,-6.7747797453,-1.0306333333,0.2287333333,1.7386333333000001,1.2718
T-2.40H_1,-4.0090975943,-1.1874333333,0.0729333333,1.2777333333,0.7912
T-1.40H_1,-3.0405310337,-1.0806333333,0.0468333333,0.8613333333000001,0.28800000000000003
T-1.10H_1,-3.3598938214,-0.9358333333000001,0.19213333330000001,0.7811333333,0.4692
T-0.40H_1,1.2671010039000001,-0.8922333333,-0.30466666670000003,0.2469333333,0.5878
T0.0H_1,4.0433557268,-1.0317333333,-0.3593666667,0.4031333333,-0.0465
T0.30H_1,7.0850956865,-1.4118333333,-1.0119666667,0.13693333330000002,-0.19160000000000002
T1.0H_1,2.7576929183,-1.7448333333,-1.1535666667,0.5165333333000001,-0.2039
T1.30H_1,6.6563254574,-1.7692333332999999,-1.2814666667,2.3361333333,-0.0697
T2.0H_1,7.7888829874,-1.7584333333000002,-1.3330666667,3.3788333333000002,0.0626
T2.30H_1,-1.1386561532,-0.9618333333,-0.7498666667,4.7490333333,0.42110000000000003
T3.0H_1,0.37078070620000003,-1.3416333333,-1.1512666667,4.8426333333,0.6152000000000001
T3.30H_1,-0.47961037630000003,-1.1295333333,-1.2810666667000001,5.7004333333,1.4915
T4.0H_1,-3.6083706592,-0.9945333333,-1.7384666667,6.2536333333,2.4333
T5.0H_1,3.9567882554000002,-1.4753333333,-2.0764666667,6.2238333333,2.9833
HPh_1,10.1996474919,-0.5784333333,0.5045333333,0.1731333333,0.399
HPh_2,13.9516082936,-0.7911333333,0.39183333330000003,-0.1939666667,-0.0045000000000000005
HPh_3,17.821814846,-0.4964333333,0.49003333330000004,0.1944333333,0.3759
LPh_1,12.4550634939,-0.5281333333,0.5711333333,0.21223333330000002,0.2069
LPh_2,15.0769006008,-0.47443333330000004,1.1716333333,0.1793333333,0.2214
LPh_3,14.291997644,-1.2051333333,0.6312333333,0.3673333333,0.0849
LPhT_1,3.986161157,0.3598666667,-0.2227666667,0.8766333333,0.7796000000000001
LPhT_2,3.1289817076,0.19466666670000002,-0.3203666667,0.36813333330000003,0.7806000000000001
LPhT_3,1.5918110379,0.011766666700000001,-0.1312666667,0.6595333333,0.8265
SMMPr_1,-4.8934790088,-0.8731333333,0.5559333333,2.1933333333,3.3551
SMMPr_2,-2.3919757703,-0.6702333333,0.5471333333,2.2062333333,3.1035
SMMPr_3,-0.6677274939000001,-0.7000333333000001,0.5252333333,1.8906333333,2.7556000000000003
HiTm_1,4.9392466269,0.7279666667,0.6267333333,0.6557333333,-0.6853
HiTm_2,-2.2033173373,-0.09403333330000001,-0.1802666667,0.1781333333,-0.8609
HiTm_3,-1.9777560111999999,-0.0254333333,0.0995333333,0.49663333330000003,-0.6784
LoTm_1,2.8758806363,-0.5658333333000001,-1.1258666667,6.0851333333,2.383
LoTm_2,3.5966931159,1.2531666666999999,-1.2631666667,5.9582333333,2.3747
LoTm_3,3.1308051329,-0.7880333333,-1.2358666667,5.8060333333,3.1359
HiOs_1,-2.241372354,-0.1556333333,-0.2702666667,3.2401333333,1.0548
HiOs_2,-1.8513490592,-0.5682333333,-0.3356666667,3.3867333333,1.3231
HiOs_3,-2.6448820313,-0.20343333330000002,-0.2142666667,2.8895333333,0.7553000000000001
BMM_1,17.9342671754,-0.7582333333,-0.0417666667,0.1255333333,-0.41100000000000003
BMM_2,17.5784093417,-1.0033333333,-0.1710666667,-0.09446666670000001,-0.489
BMM_3,17.8185429931,-1.0121333333,0.0546333333,0.24023333330000002,-0.3299
Heat_1,6.7627265476,0.6919666667000001,-0.2581666667,0.5352333333,-0.067
Heat_2,4.7103565161,0.5203666667,-0.49306666670000004,0.3410333333,-0.5886
Heat_3,10.1428625469,0.26686666670000003,-0.5707666667,0.5299333333,-0.3007
Cold_1,17.6917515827,-1.3388333333,1.3287333333,-0.2776666667,-0.1444
Cold_2,18.7163829135,-1.7023333333,0.6937333333,-0.3326666667,-0.26940000000000003
Cold_3,18.5233058963,-1.8464333333,0.2647333333,-0.3705666667,-0.3791
Etha_1,25.3644396511,0.8907666667,-0.6342666667,0.3896333333,-0.4233
Etha_2,25.6913514867,0.3776666667,-0.7672666667,0.3552333333,-0.31020000000000003
Etha_3,24.8784903243,0.6481666667,-0.5228666667,0.2630333333,-0.6417
SMM_1,-0.39847098540000003,-0.6587333333000001,0.0136333333,1.1308333333,0.2182
SMM_2,-2.29079906,-0.6507333333,-0.07516666670000001,1.7339333333,0.1855
SMM_3,-1.8277513986,-0.7786333333000001,0.0329333333,1.8676333333000001,0.6335000000000001
Salt_1,-0.9675800259,0.1405666667,-0.0103666667,0.3551333333,0.0126
Salt_2,-0.47862057090000004,0.041066666700000004,-0.1629666667,0.47343333330000004,0.052500000000000005
Salt_3,-1.2611020284,0.0907666667,0.0982333333,0.13793333330000002,-0.0849
Mt0_1,-6.0991058995,-0.7654333333000001,0.6742333333,0.1377333333,-0.38280000000000003
Mt0_3,-10.8599340704,-0.6444333333000001,0.5918333333,0.0788333333,-0.516
M0t45_1,0.2217157551,-0.2598333333,0.6627333333000001,0.3018333333,-0.5782
M0t45_2,-3.6184295849,-0.7284333333,0.6930333333,-0.1035666667,-0.43360000000000004
M0t45_3,1.5657287986,-0.2630333333,0.7735333333000001,0.3848333333,-0.6975
M0t90_1,10.5425505192,-1.7515333333,-0.8367666667,0.3050333333,-0.6503
M0t90_2,1.2744591442,-1.2524333333,0.2521333333,0.7896333333000001,-0.9617
M0t90_3,8.1729804324,-1.1980333333,-0.1758666667,0.7294333333,-0.9715
M40t45_1,28.9615002618,-0.7463333333000001,0.1509333333,0.3184333333,-0.5
M40t45_2,20.3129535186,0.033566666700000004,0.5476333333,0.1411333333,-0.7656000000000001
M40t45_3,18.4978521995,0.19016666670000001,0.6054333333,0.32423333330000004,-0.7721
M40t90_1,72.955713377,-2.0726333333,-0.45386666670000003,0.2791333333,-0.9612
M40t90_2,47.5553437124,-1.1804333332999999,-0.3858666667,0.5827333333,-1.084
M40t90_3,71.5562699187,-0.9712333333000001,0.1024333333,0.7526333333,-0.9569000000000001
dia0_1,-4.3165353146,-0.8898333333,0.20543333330000002,0.0739333333,-0.7017
dia0_2,-5.3349024839,-0.6976333333,0.34443333330000003,0.1310333333,-0.6294000000000001
dia0_3,-7.0557439359,-0.2524333333,0.7850333333,0.0786333333,-0.4011
dia5_1,-3.2018084828,1.8502666667,-1.0404666667,0.28953333330000003,-0.9958
dia5_2,-3.7185442318,1.8989666667,-1.0363666667,0.6861333333,-0.7032
dia5_3,-7.3534744881,1.8440666667,-0.8109666667000001,0.4751333333,-1.135
dia15_1,-8.1104911032,2.3763666667,0.1478333333,1.3743333333,-0.047900000000000005
dia15_2,-11.1043065661,1.3828666667,0.9208333333000001,1.7784333333,0.7024
dia15_3,-2.5438324387,0.2438666667,-0.2680666667,0.7163333333,-0.5153
Diami_1,-2.1337418948,0.9414666667,-1.1459666667,0.4959333333,-0.47340000000000004
Diami_2,-3.8135640026,1.6667666667,-0.5841666667000001,0.9090333333,-0.7736000000000001
Diami_3,-2.6800394098,1.7040666667000002,-0.6146666667,0.8547333333,-0.1469
Paraq_1,-4.3238879857,-1.5285333333,0.7408333333,0.0253333333,0.338
Paraq_2,-5.4299345395,-0.39023333330000004,0.9730333333000001,0.2594333333,0.1637
Paraq_3,2.684021182,-2.0487333333,-0.43976666670000003,-0.2808666667,-0.4258
H2O2_1,-5.3832863131,-0.6642333333,0.4620333333,0.1271333333,0.2969
H2O2_2,-5.0755652177,-0.5005333333,0.6901333333,0.5325333333,0.5677
H2O2_3,-4.4656992494,-0.2870333333,0.4272333333,0.42803333330000004,0.6968000000000001
Oxctl_1,3.2104284887,-1.4316333333,0.3683333333,0.1293333333,0.1935
Oxctl_2,1.6118086330999999,-1.2816333333,0.2219333333,0.0407333333,0.1431
Oxctl_3,-3.7961795394999998,-1.0600333333,0.9864333333,0.1488333333,0.0533
GM-0.1_1,-1.1206040921,-0.4869333333,-0.0725666667,0.11053333330000001,-0.46640000000000004
GM-0.2_1,1.0353325476,-0.7229333333,-0.1156666667,0.3991333333,-0.0154
GM+5_1,3.0481920017,-0.7423333333000001,-0.12016666670000001,0.0919333333,-0.4172
GM+15_1,0.29081613840000003,-0.3201333333,0.0400333333,0.1189333333,-0.30060000000000003
GM+25_1,0.6549678426000001,-0.0865333333,0.3367333333,0.4715333333,-0.1766
GM+45_1,7.5547979228,-0.2766333333,0.32523333330000004,0.2972333333,-0.1321
GM+60_1,8.7666028188,-0.41093333330000004,0.4418333333,0.2514333333,-0.23700000000000002
GM+90_1,7.8902251858,-0.3936333333,0.3171333333,0.41603333330000003,0.022600000000000002
GM+120_1,10.26674318,-1.1781333333,-0.6702666667,0.3649333333,0.1526
GM+150_1,12.9126825957,-0.6802333333,-0.0900666667,0.6456333333000001,0.1126
GM-0.1_2,-8.1512201099,-0.30813333330000003,0.2604333333,-0.2305666667,-0.7049000000000001
GM-0.2_2,-0.7487557387,-0.1794333333,0.37923333330000003,0.3191333333,-0.3773
GM+5_2,-5.5287792726,-0.5464333333,-0.0136666667,-0.5122666667,-0.776
GM+10_2,-4.6774642703,-0.44013333330000004,0.0517333333,-0.5437666667000001,-0.9789
GM+15_2,-0.8549254216000001,-0.4142333333,-0.1918666667,-0.23646666670000002,-0.6833
GM+25_2,-1.1179511916,-0.1257333333,0.00043333330000000004,-0.2404666667,-0.7258
GM+45_2,4.9147931325,-1.5643333333,-0.4550666667,-0.8104666667,-1.0885
GM+60_2,12.7831955543,-1.3758333333000001,-0.6092666667000001,-0.0124666667,-0.4874
GM+90_2,9.8450873646,-0.4515333333,0.2807333333,0.5906333333,0.1298
GM+150_2,3.2022812918,-1.6115333333000001,-0.7810666667,0.8733333333000001,-0.31870000000000004
GM-0.1_3,0.7622426303000001,-0.3317333333,-0.0572666667,0.5409333333,-0.2442
GM-0.2_3,-1.7619157988,-0.5318333333,0.0636333333,0.1590333333,-0.5519000000000001
GM+5_3,0.8080876447,-0.3312333333,0.09503333330000001,0.6253333333000001,-0.3047
GM+10_3,3.5627556553,-1.5621333333,-0.7991666667,-0.1487666667,-0.6998000000000001
GM+15_3,2.3360577678,-0.6233333333000001,-0.1754666667,0.0954333333,-0.4016
GM+25_3,4.5721282583,-0.6199333333,-0.3334666667,0.0962333333,-0.2877
GM+45_3,8.2273317391,-0.8530333333000001,-0.6200666667,0.23213333330000002,0.006200000000000001
GM+60_3,11.090120796,-0.9713333333,-0.5594666667,0.0811333333,-0.1542
GM+90_3,14.1547773694,-0.7961333333,-0.0513666667,0.5576333333,-0.0772
GM+120_3,12.3099014823,-0.8082333333,-0.0019666667,0.9572333333,0.5579000000000001
GM+150_3,14.3153255221,-0.8077333333000001,0.0067333333,0.5035333333,-0.0217
MG-0.1_1,-2.1510336477,-0.1630333333,0.1107333333,-0.2832666667,-0.6448
MG+5_1,1.5319732237,0.053466666700000005,0.1254333333,-0.1705666667,-0.4365
MG+10_1,-0.5282067329,0.2063666667,0.4738333333,-0.0686666667,-0.6355000000000001
MG+15_1,3.4725045748,-0.7037333333,-0.3707666667,-0.1620666667,-0.6544
MG+25_1,4.4970210882,-0.2924333333,0.26933333330000003,-0.045666666700000004,-0.4722
MG+45_1,8.6688705185,-0.2903333333,0.0490333333,-0.1453666667,-0.5125000000000001
MG+120_1,12.8870452891,-1.1922333333,-0.39686666670000004,0.2494333333,-0.331
MG+150_1,12.0338307413,-0.8140333333,-0.2510666667,1.1637333333,-0.1194
MG-0.1_2,-1.7206877833,-1.0455333333,-0.6843666667,-0.7356666667,-1.2443
MG-0.2_2,-4.9271087702,-0.4978333333,-0.1482666667,-0.5747666667,-1.1338
MG+5_2,-4.1128179818,-0.2647333333,-0.1624666667,-0.7373666667000001,-1.1862
MG+10_2,-3.6953325525,-0.0880333333,0.20723333330000002,-0.4278666667,-1.0041
MG+15_2,0.2595207017,0.6864666667,0.9027333333,0.4117333333,-0.3165
MG+25_2,2.1155360658,-0.43513333330000004,-0.1571666667,-0.4143666667,-0.7096
MG+45_2,1.8891764097000001,-0.9181333333,-0.6668666667,-0.44226666670000003,-0.8532000000000001
MG+60_2,3.1926796526,-0.4918333333,0.033833333300000004,-0.2446666667,-0.5516
MG+90_2,6.531816929,-1.0093333333,-0.4441666667,-0.7253666667,-0.9943000000000001
MG+120_2,13.7965969117,-0.2736333333,-0.0602666667,0.6983333333,-0.4803
MG-0.1_3,-5.8689369649,0.3032666667,0.49413333330000003,-0.1476666667,-0.8155
MG-0.2_3,-1.2840501464,0.0937666667,0.1645333333,-0.0836666667,-0.7045
MG+5_3,2.0427721393,-0.2924333333,-0.1720666667,0.0378333333,-0.5691
MG+10_3,3.0616595373,-0.3483333333,-0.2909666667,-0.0101666667,-0.3266
MG+15_3,-2.1108836694,0.1779666667,0.2964333333,-0.1250666667,-0.807
MG+25_3,0.34061983030000004,0.0792666667,0.18023333330000002,-0.0606666667,-0.8657
MG+45_3,-1.1476842686,0.11146666670000001,0.3075333333,0.033333333300000004,-0.7067
MG+60_3,0.0442384652,-0.1293333333,-0.14326666670000002,-0.1094666667,-0.4796
MG+90_3,6.1373996384,-0.2770333333,0.1077333333,-0.2748666667,-0.8925000000000001
MG+120_3,11.9046976744,-0.7246333333,-0.3436666667,0.2091333333,-0.9052
MG+150_3,10.671847695,-0.6331333333,-0.4068666667,1.0307333333,-0.4194
