,A,CpxR
SRX5694309,-4.0230443993,-1.2008334368
SRX5694310,5.9749758498,0.2660047775
SRX5694311,-6.4669235897,-1.5169624899
SRX5694312,-0.5484703125,0.5807647243
SRX5694313,-0.5492084211,-0.23835781420000002
SRX5694315,-1.2742334807,0.06999049830000001
SRX5694317,-2.1342095154,0.3969217732
SRX5694319,-0.7926952487000001,0.3839472142
SRX5694320,-3.8830747674,-0.9429622161000001
SRX5694321,2.1269177161,0.6074640797
SRX5694322,10.166352327,1.8596698893
SRX5694323,2.5121756412,0.6708217417
SRX5694324,2.8869685486,1.3957326331
SRX5694325,7.320631163,0.3179212409
SRX5694326,-0.6563057147,0.4080035117
SRX5694327,4.5783866092,0.3187331281
SRX5694328,-2.0851470468,0.2396575336
SRX5694329,-1.5020826283000002,0.5348083152
SRX5694330,-0.21511370330000001,0.4746400404
SRX5694331,1.0196780165,0.1883531891
SRX5694332,-0.8374175083000001,0.2915022264
SRX5694334,2.8566499772,0.4425020082
SRX5694335,-3.1869500361,-0.1315665405
SRX5694336,-4.7265478227,-0.5381750919
SRX5694337,1.961517664,0.1159177101
SRX5694338,-2.7656979621,-0.0446682346
SRX5694339,-0.7185542245000001,0.338906971
SRX5694340,0.6910348175000001,0.5562415157
SRX5694341,-2.9894427321,-0.0432123226
SRX5694342,-2.5079422367,0.1267051197
SRX5694343,-4.5370292714,0.1220846799
SRX5694344,-0.2653078538,0.1032390752
SRX5694345,2.5896855405,0.033353407200000004
SRX5694346,-1.7554595484000002,0.0771250232
SRX5694347,1.4024081171,0.33679936520000003
SRX5694348,-4.2078288915,-0.0753781119
SRX5694349,-2.5612253432000003,-0.22037630430000002
SRX5694350,-3.1771795765,0.3819250746
SRX5694351,5.7984940841,0.1097132105
SRX5694352,-1.6005322701,-0.9470954505
SRX5694353,-0.2757791344,0.1187786171
SRX5694354,-3.2744356378,-0.37192626370000004
SRX5694356,0.7985582101,0.10523402180000001
SRX5694357,-2.4667611924,0.11645987860000001
SRX5694358,-4.4179762999,-0.5797902723
SRX5694359,-1.3179213517,0.2694753345
SRX5694360,-1.7988801009,0.1633657727
SRX5694361,9.5135889644,1.6826018297
SRX5694362,-1.2707261246,0.2908099749
SRX5694363,0.6840865789,0.6535301744
SRX5694364,-2.8333683030000003,-0.9659850511
SRX5694365,0.060324911700000004,-0.3306979439
SRX5694366,1.2684817008,0.6673118725
SRX5694367,8.1491553431,0.40760410700000005
SRX5694368,1.9151535606,0.7857297332000001
SRX5694369,-0.7452625839,-0.1719491078
SRX5694370,-2.5503295984000003,0.2277511855
SRX5694371,-5.3712453999,-1.3023468236
SRX5694372,-0.70299396,0.2237454573
SRX5694373,-3.9709375432,0.18654978860000002
SRX5694374,-5.626314988,-1.0206670439
SRX5694375,-0.143929476,0.0662030157
SRX5694376,2.0006232262,0.5771612002000001
SRX5694377,-3.8038458941,-1.067605701
SRX5694378,-1.8514990103,-0.0380028156
SRX5694379,-0.26899520590000003,0.40291101360000003
SRX5694380,-2.8651044668,0.16609462290000002
SRX5694381,-3.4304370865,0.7824178825
SRX5694382,-2.3727072556,0.0390618168
SRX5694383,-0.2406759295,-0.17711142870000002
SRX5694384,1.2467782055,0.10048710470000001
SRX5694385,-1.7311128554000002,-0.0587325101
SRX5694386,-10.449550932,-1.5803933219
SRX5694387,0.6671045783,0.5736189093
SRX5694388,3.1475788441,1.4931992555
SRX5694389,1.5096410578000001,0.42669449330000003
SRX5694390,-0.5015567053000001,0.10323332660000001
SRX5694391,1.1744489246,-0.0839838975
SRX5694392,1.3344072756,0.5080663899
SRX5694393,1.0524453136,0.1148339533
SRX5694394,-1.928349211,0.058115575200000005
SRX5694395,1.0174258361,0.6637942684
SRX5694396,6.6299536318,0.2701480981
SRX5694397,-3.7220715825,-0.23625456590000002
SRX5694398,-5.5979307088,-0.1953878215
SRX5694399,1.4619895365,0.41245130760000004
SRX5694400,-1.6451107935,0.1265414432
SRX5694401,-1.6597850404,-0.1076750762
SRX5694402,-10.3293648831,-1.6254863923
SRX5694403,3.8001369535,-0.1016900835
SRX5694404,-1.534913489,-0.20921000110000001
SRX5694405,-2.9117987433,0.2940651697
SRX5694406,-2.0317653257,0.5295849658
SRX5694407,-1.6528105522,-0.0973917511
SRX5694408,0.0015933589,0.47987595800000005
SRX5694409,-9.3581618954,-0.5328043983
SRX5694410,-0.1267630565,0.2943101529
SRX5694411,3.3498395113,0.2520452993
SRX5694412,-2.5778931086,0.07118498990000001
SRX5694413,-3.3264469141,0.4649472606
SRX5694414,-3.647311244,0.7757964379000001
SRX5694415,-1.5172017985,-0.16590032570000002
SRX5694416,-0.3570112862,0.0241466561
SRX5694417,-1.3929414673,0.2491868622
SRX5694418,-3.8426960469,-0.4308452119
SRX5694419,-4.9302300798,-0.3273358249
SRX5694420,0.5272546372,0.4432919692
SRX5694421,-0.8152941519,0.19075444560000002
SRX5694422,0.5599476355,0.6120963638
SRX5694423,-1.0198895512,-0.1869057979
SRX5694424,4.3305904878,0.242156858
SRX5694425,-1.7666785912,-0.046517019800000003
SRX5694426,3.5336382202000003,0.3338539648
SRX5694427,-0.3475531497,0.6159683715000001
SRX5694428,-2.0363091665,-0.1678437107
SRX5694429,4.7703550927,0.32766464370000004
SRX5694430,0.4845426424,0.4709831559
SRX5694431,-1.8915399275,0.727913335
SRX5694432,-1.2734502234,0.0982272217
SRX5694433,-6.4845424802,0.3167563718
SRX5694434,2.0477293477,0.28004187950000003
SRX5694435,-5.8212811451,-0.7640141887
SRX5694436,-7.9137651325,-1.2611018782
SRX5694437,-1.5089556714999999,0.1459124564
SRX5694438,-1.39499587,-0.1736173732
SRX5694439,-3.6098900072999998,-0.25407595780000003
SRX5694440,1.0212471883,0.23118249340000002
SRX5694441,-0.9219059533,0.4003396286
SRX5694442,1.9756917129,1.2150427258
SRX5694443,0.5618326083,0.3406812039
SRX5694444,-0.8653236668000001,-0.0340694758
SRX5694445,-2.8019568595,0.1216784439
SRX5694446,-0.5538798729000001,0.2178216607
SRX5694447,3.2483332774,0.3666325163
SRX5694448,1.2439105177,0.7480874413
SRX5694449,0.2528110123,0.5109877485000001
SRX5694450,2.0834138488,0.5995504568000001
SRX5694451,6.4222131155,0.13190141060000002
SRX5694452,7.6473942924,0.3131687821
SRX5694453,-2.157060359,0.5047694008
SRX5694454,0.572309917,0.0218655964
SRX5694455,-3.8674362439000003,-0.46866042150000004
SRX5694456,0.9573712943,0.5077070325
SRX5694457,-1.4775645081,0.3228250902
SRX5694459,0.1387871683,0.157954021
SRX5694460,-6.5631334906,-0.6673840347000001
SRX5694461,-1.4833539468,-0.0085156521
SRX5694462,-2.1377160551,-0.23607196800000002
SRX5694463,0.6753248216000001,0.6528997239000001
SRX5694464,-0.7740753622000001,0.34998021090000003
SRX5694465,1.0111095505,0.5786229626
SRX5694466,-1.674073372,0.46504815310000003
SRX5694467,-0.1331764604,0.0143207878
SRX5694468,-3.3195386218,-0.8533948025
SRX5694469,0.43411489670000003,0.19736870080000002
SRX5694470,-0.13628350420000002,-0.0427704894
SRX5694471,0.0595016915,0.30651931930000004
SRX5694472,2.8991272045,0.393554398
SRX5694474,2.7393666093,0.2235476956
SRX5694475,5.5884655383,0.5682074037
SRX5694476,-0.27980006560000004,-0.0432831359
SRX5694477,-6.0579157273,-0.8965939874000001
SRX5694478,1.4410173326,0.3723425776
SRX5694479,-2.8105888015,-0.2321501382
SRX5694480,-2.699961275,0.1253730612
SRX5694481,2.836066021,0.2946144966
SRX5694482,-2.0125686306,0.33085108490000004
SRX5694483,0.7637087579,0.3683161601
SRX5694484,-0.7509147398,0.2409390961
SRX5694485,-1.7750222511,0.3222887331
SRX5694486,0.340109847,-0.0061316169
SRX5694487,-0.011823606700000001,0.45855461890000004
SRX5694488,-5.1279326828,-0.2635437523
SRX5694489,-1.8676827596,0.2647000981
SRX5694491,-4.8442624323,-0.4120816578
SRX5694492,-2.0855355437,-0.3157026452
SRX5694493,2.6839714368000003,-0.12502424280000002
SRX5694494,1.9604333248999999,0.5832519882
SRX5694495,0.3615215064,0.3418276237
SRX5694496,2.0687142162,0.1109720738
SRX5694497,3.3445218982,0.1657711967
SRX5694498,1.1976398182,0.3679783384
SRX5694499,-0.8736164306,0.0400809759
SRX5694500,3.3187443222,0.42380452820000003
SRX5694501,0.7997616421,0.1963435908
SRX5694502,-2.0810664679,0.3445607753
SRX5694503,8.5897746939,0.7802553468000001
SRX5694504,-0.057066229600000004,-0.0390303789
SRX5694505,-5.6380995085,-1.4670149993
SRX5694506,1.0231205959,0.4858977822
SRX5694507,2.529323122,0.0577615796
SRX5694508,-2.0842381638,0.1449490718
SRX5694509,5.5107955601,0.7036301876000001
SRX5694510,0.09791251640000001,-0.0476989363
SRX5694511,0.28727151100000003,0.1354926552
SRX5694512,-4.5498473352,-0.5327336902
SRX5694513,-2.509079591,0.1598597089
SRX5694514,-6.6722469244,-0.8352231055
SRX5694515,-5.0482066041,-0.2687958146
SRX5694516,-3.3259426254,0.0461342255
SRX5694517,0.1362389313,0.3434190887
SRX5694518,0.107291232,0.24902781410000002
SRX5694519,1.9725090330000001,0.14886653860000001
SRX5694520,-0.3007842287,0.055378143500000004
SRX5694521,-2.1043937428,0.39820335170000004
SRX5694522,-1.5599979125,-0.2801882385
SRX5694523,-4.1061824422,0.0320975614
SRX5694524,-1.4611530101999999,0.2434147133
SRX5694525,-0.7890053606,0.1838809211
SRX5694526,-3.3561019741,-1.2464746391000001
SRX5694527,3.2738253917,0.10311039450000001
SRX5694528,-1.3704701576,-0.5673130965000001
SRX5694529,-4.4306182872,-0.29749789120000003
SRX5694530,-0.3589315681,0.2076550918
SRX5694532,5.1058526198,0.0575912534
SRX5694533,-1.3195871026,-0.7230170877000001
SRX5694534,3.3277646385,0.2392429217
SRX5694535,-1.7711873301,-0.0117589496
SRX5694536,-3.1132320149,-0.0704405776
SRX5694537,2.2369809546,0.654868588
SRX5694538,2.1686516825,0.6744681244
SRX5694539,1.3297855140000001,0.5078811487
SRX5694540,4.439718931,0.0162742224
SRX5694541,-0.2345541348,0.0935416527
SRX5694543,-3.6237591525,-0.37212294890000003
SRX5694544,0.4699448194,0.3088185247
SRX5694545,0.044301162500000005,-0.035192271500000004
SRX5694546,-1.7039188085,-1.3599263987999999
SRX5694547,0.4044078511,0.6508842241
SRX5694548,0.4932947904,0.0186238333
SRX5694550,0.44535965660000004,0.45309949180000003
SRX5694551,-2.3370758838,0.2669148115
SRX5694552,2.2518445259,0.3634409279
SRX5694553,-0.2923562893,0.1776554195
SRX5694554,-1.2750552436,0.0025121796
SRX5694555,-1.0700317961,-0.0607438084
SRX6072760,-5.2687092641,-0.2612160234
SRX6072761,-2.1687971171,-0.054999300200000004
SRX6072762,-4.564744528,0.0912482288
SRX6072763,-1.920963277,0.6040814594
SRX6072764,-4.9645109544,-0.39903587420000003
SRX6072765,-2.5937214406,0.3824226227
SRX6376491,-1.4421873374,0.6914400967000001
SRX6376492,-5.9277595659,-0.6777001869
SRX6376493,-6.3697797731,-0.8402871301
SRX6376494,-6.8286014703,-0.6799494332
SRX6376495,-2.7425320285,0.6659753428
SRX6376496,-1.0636421695,0.7663307066
SRX2723951,1.9825161146,0.6836901925000001
SRX2723952,1.3070299303000001,1.1002716858000001
SRX2723953,0.38064992210000004,0.5912656601
SRX2723954,1.3614216638,1.5075615808
SRX2723955,-0.6825378271,0.0256515645
SRX2723956,0.2054134709,0.7988655828
SRX2723957,0.3178698594,0.13069101090000002
SRX2723958,-0.8248906433000001,-0.2427649494
SRX2723959,0.2561334313,0.0859724424
SRX2723960,0.6073405094000001,0.9161998491000001
SRX2723961,2.032330044,1.7002499349
SRX2723962,1.4165088644,0.7574621941
SRX2723963,-0.6673108887,-0.38432269210000003
SRX2723964,-1.0026620707,-0.0841343142
SRX2723965,-0.1996656494,0.2662363043
SRX2723966,-0.815651136,0.1584772915
SRX2723967,0.2266227721,-0.1434977965
SRX2723968,0.5890283639,-0.014979495
SRX6977206,-2.8433099941,-0.5030240734
SRX6977207,-3.2063202985,-0.6672837847
SRX6977208,1.4520527483,-0.39160677120000004
SRX6977209,1.1879437353,-0.5247781789
SRX6977210,1.3376877029,-0.4412657975
SRX6977211,1.2508764141,0.0915750733
SRX6977212,0.2738283835,0.1855116666
SRX6977213,-1.5247047976,-0.2770867399
SRX6977214,-3.7707815058,-0.8719110193
SRX1153733,-0.0352562908,0.0933964514
SRX1153734,0.0352562908,-0.0933964514
SRX1153735,-2.2753941895,-0.72088615
SRX1153736,-0.7000899286000001,-0.7000538508
SRX5204053,1.9543996924,-0.0439876654
SRX5204054,1.6984008642,0.4065079485
SRX5204055,2.2769992643,0.0985094562
SRX5204056,1.6488786315000001,0.5589626085
SRX5204057,1.8240847534,0.4473171905
SRX5204058,2.2535338184,0.5476369948
SRX5204059,1.4101138398,0.64782283
SRX5204060,1.1673172659,0.6166848971000001
SRX5204061,1.6886957201000001,0.4166143296
SRX5204062,0.7099071357000001,0.4644353183
SRX5204063,0.7487073392,0.3873631361
SRX5204064,-0.0704833705,0.3620472421
SRX5204065,5.2537916509,0.49069207070000004
SRX5204066,4.9635962652,0.5247988736
SRX5204067,5.6694014902,0.48437750830000004
SRX5204068,-0.5703940624,0.5402274567
SRX5204069,-0.545035084,0.4477182722
SRX5204070,-0.5796493037,0.5346366064
SRX5204071,1.5423514315,0.42505249580000004
SRX5204072,1.5362610777999999,0.3260547634
SRX5204073,1.8029078970999999,0.3009044457
SRX5204074,-0.49755423340000005,0.41288596320000004
SRX5204075,0.13662244510000002,0.1469185071
SRX5204076,0.6375482116,0.2849551164
SRX5204077,-0.1590819288,0.2879734158
SRX5204078,-0.6467016710000001,0.1990695176
SRX5204079,-0.2414604343,0.2153401348
SRX5204080,-0.6782157827,0.6210973076
SRX5204081,1.0768118279,0.3079542404
SRX5204082,1.0444792193,0.3017497992
SRX5204083,8.949921221,0.24787443380000002
SRX5204084,9.103361736,0.2713911403
SRX5204085,8.9756278299,0.3981143478
SRX5204086,1.7208320107000001,-0.4872590184
SRX5204087,3.1567509598,-0.2988255998
SRX5204088,2.0399110932,-0.5253425834000001
SRX5204089,2.9204834305,-0.0070306735
SRX5204090,2.3021902538,-0.0278435171
SRX5204091,2.636354347,-0.13465489290000002
SRX5204092,0.5350860093,0.1125292407
SRX5204093,1.0513553227,0.1297841109
SRX5204094,0.8775245850000001,0.42906723500000005
SRX5204095,0.0370139127,0.18147164000000002
SRX5204096,-0.0658790997,-0.1884966687
SRX5204097,0.028865187,0.0070250288
SRX683459,0.6763696896,0.050261673800000004
SRX683460,-1.059151055,0.9897551237000001
SRX683461,-0.0227035052,-0.1827846725
SRX683462,0.0429731898,1.0488952146
SRX683463,-0.6536661844,0.1325229987
SRX683464,-0.33740727800000003,0.9807687691
SRX683465,0.5621875417000001,-0.5705465218
SRX683466,-1.6727031268,0.5584498286
SRX683467,0.5889656535000001,-0.2570076456
SRX683468,0.8357809482,0.7205160624
SRX683469,0.4951283038,-0.043471755
SRX683470,-1.3413934256,0.7394845426000001
SRX322077,0.1177329912,-0.3876124234
SRX322078,-0.4642232663,-0.1453241484
SRX322079,0.6378517492,-0.0984703452
SRX322080,-0.4437955253,-0.0906163041
SRX322081,-0.2822743595,0.2294722149
SRX322082,-0.7243079749,0.0011860943
SRX322083,0.66273593,0.0920301508
SRX322084,-0.2722717006,-0.1807523405
SRX322085,-0.39046422940000003,0.08872218970000001
SRX2708592,-2.206137553,-0.2011027787
SRX2708593,-2.7946402149000003,-0.24713623170000001
SRX2708594,-2.2256676912,0.23623161580000002
SRX2708595,0.9148112013,-0.07052645290000001
SRX2708596,-0.7187591603,-0.042945122
SRX2708597,-0.196052041,0.11347157490000001
SRX2708598,-0.3960478073,0.2069536948
SRX2708600,-0.7583413852,0.018541971100000002
SRX2708601,0.162232817,-0.1901912003
SRX2708602,0.1787682175,-0.3734914829
SRX2708603,0.9213047239000001,0.0187520745
SRX3073814,-0.8857599368,-0.2751065314
SRX3073815,-2.5021719388,-1.133433744
SRX3073816,-2.8216115564,-1.389520064
SRX3073817,-1.8459848486000001,-0.805003582
SRX3073818,-1.1260579442,-1.042658216
SRX3073819,0.8400009426,0.3141520179
SRX3073820,-0.8316846274,-0.8477750493
SRX3073821,-0.7845724108000001,-1.1643127129
SRX3073822,0.9516133523,-1.0997504226
SRX3073823,0.9687790053,-1.228388075
SRX3073824,0.8857599368,0.2751065314
SRX3073825,-1.8737105804,-0.8074667914
SRX3073826,-1.9250805672,-1.2731743385
SRX3073827,0.0139504894,-0.5467326714
SRX3073828,1.041986033,-0.8164605172
SRX3073829,0.7226543951000001,0.1571673827
SRX3073830,-1.8771932846000001,-1.1521207482
SRX3073831,-0.1610627741,-1.3835066158
SRX3073832,0.1877777009,-0.7790367175
SRX3073833,-0.043427852600000004,-0.8233035831000001
SRX2391456,0.1135495625,-0.1217455139
SRX2391457,-0.5953053380000001,-0.3389276491
SRX2391458,-0.39896580460000003,-0.138563818
SRX2391459,-0.5508305172,-0.0397707287
SRX2391460,-0.8822468711,-0.0930839002
SRX2391461,-0.6196792825,-0.1356623888
SRX2391462,-0.5222070227,-0.15908430310000002
SRX2391463,-0.9528174473000001,-0.1312780015
SRX2391464,-0.6254058315000001,-0.067692103
SRX2391465,-0.3286799717,-0.2008829628
SRX2391466,-0.043587871800000004,-0.14715383240000002
SRX2391467,0.0452656912,0.0046908708
SRX2391468,-0.0485028854,-0.0598075688
SRX2391469,-0.1842193952,-0.0263673834
SRX2391470,0.9579000794,0.2084274822
SRX2391471,0.0921752333,-0.0578283121
SRX2391472,0.10110502040000001,0.09885933470000001
SRX2391473,-0.0709056949,0.0155853003
SRX2391474,-0.3529976848,-0.19138731380000001
SRX2391475,-0.0570880215,0.0211351258
SRX2391476,-0.29114519510000003,0.1038648655
SRX2391477,-0.2863342701,-0.1534282751
SRX2391478,0.45808879280000003,-0.2519126961
SRX2391479,-0.4237704808,0.034615735200000004
SRX2391480,1.1589675724,0.1234423338
SRX2391481,0.0653348712,0.0215511185
SRX2391482,0.8306340461,0.1003255143
SRX2391483,0.018997457000000002,-0.012467204400000001
SRX2391484,-0.7194187774,-0.3241700716
SRX2391485,-0.7142791605000001,-0.3818170013
SRX2391486,-0.6549310957000001,-0.1884153708
SRX2391487,-1.0638211783,-0.1638353112
SRX2391488,-0.7376165666000001,-0.1936216767
SRX2391489,-0.6788859553000001,-0.1710308344
SRX2391490,-0.7855093902,-0.0425711217
SRX2391491,-0.3459569279,-0.1662376502
SRX2391492,-0.27843601830000003,-0.23461402680000001
SRX2391493,0.0433696619,-0.0409192558
SRX2391494,-0.3988315309,-0.0266458722
SRX2391495,-0.0452656912,-0.0046908708
SRX2391496,-0.1997968315,0.0002925998
SRX2391497,-0.1296472481,-0.06573088740000001
SRX2391498,0.3371270847,0.0100782945
SRX2391499,0.0643047534,-0.1873353106
SRX2391500,-0.2293906,-0.0937267255
SRX2391501,-0.1628467821,-0.2486352276
SRX2391502,-0.3711235547,-0.3590823829
SRX2391503,-0.3245558914,0.0261429662
SRX2391505,-0.1904017779,-0.0841844714
SRX2391506,-0.3284346987,-0.1266065058
SRX2391507,0.1464660266,-0.14106875970000002
SRX2391508,-0.39193034660000003,-0.2205103502
SRX2391510,1.0279452639,0.0590101793
SRX2391512,0.7977216487000001,0.0521620451
SRX2391513,0.5867357588000001,-0.0258938985
SRX2391514,0.0727803671,-0.1032165936
SRX5632598,3.6592730435,0.2669631187
SRX5632599,4.7749502275,0.3658684269
SRX5632600,0.35551843710000003,0.7223273944
SRX5632601,-0.6366458088,0.5849123486000001
SRX5632602,9.3402833759,1.3893453303
SRX5632603,0.9446996670000001,0.4714827854
SRX5632604,7.4459896114,1.2542593153000001
SRX5632605,8.2026990539,1.5268966248
SRX5632606,3.80014184,0.3034616704
SRX5632607,0.9143561322,-0.1095929654
SRX5632608,0.1103322524,-0.029326970400000003
SRX5632609,0.1657090892,0.0024235085
SRX5632610,7.0893167661,0.9133880542
SRX5632611,-0.2760413416,0.0269034619
SRX5632612,6.8458834347,0.7690954945
SRX5632613,7.9280391891,1.0862577141
SRX5632614,-0.0547377145,-0.10036468750000001
SRX5632615,0.9377881014,-0.2475138388
ERX2874132,4.866805071,-0.2064574833
ERX2874133,3.9209456618000003,-0.43835466970000003
ERX2874134,-0.8463837339,-0.2362294128
ERX2874135,-0.704304256,-0.3865531005
ERX2874136,-0.0291192719,-0.1390282497
ERX2874137,0.1133580458,-0.2271688732
ERX2874138,4.3657475001,-0.5015572156
ERX2874139,4.0336949996,-0.6067976934
ERX2874140,-0.0306086825,-0.010644213900000001
ERX2874141,0.0306086825,0.010644213900000001
ERX2874142,1.4297764856000001,-0.3352189608
ERX2874143,2.4216984897,-0.6721323308
ERX2874144,-0.9404094343,0.1476436076
ERX2874145,-0.5630384468,-0.0966378355
ERX2874146,-0.2803467843,0.2112157296
ERX2874147,-0.26359911080000004,-0.0454320265
SRX1300292,-0.35866960800000003,-0.1190208261
SRX1300293,0.35866960800000003,0.1190208261
SRX1300299,-0.8432694143,0.178413759
SRX1300300,-1.9320318795,-0.0056325565
SRX1300304,-2.1452239351,-0.24440209270000002
SRX1300305,-2.1360240058,0.1766298858
SRX1300306,-1.4263959063,0.0095472809
SRX1300310,-1.4887737249000002,0.087424261
SRX1300311,-1.6154116669,0.2269580525
SRX7291195,0.6512374318,-0.13160778680000002
SRX7291196,0.0665326712,-0.1224522514
SRX7291197,0.39334086970000004,-0.11992247630000001
SRX7291198,-0.5159426867,-0.0693209092
SRX7291199,0.41895800050000004,0.1503790572
SRX7291200,0.0969846862,-0.08105814800000001
SRX7291201,1.1175487428,-0.1432799142
SRX7291202,2.2194227327,0.0971216127
SRX7291203,1.338472436,-0.1209024392
SRX7291204,0.005027044400000001,0.1069245982
SRX7291205,0.4476804057,-0.0377297082
SRX7291206,-0.2861182426,0.0623433261
SRX2436955,0.3724664686,0.1168458395
SRX2436956,0.2325905388,0.1024958552
SRX2436957,0.431060779,-0.027054930600000002
SRX2436958,0.5449090601000001,0.2930065381
SRX2436959,0.0836307585,0.1762148048
SRX2436960,1.9435471357,0.5482148519
SRX2436961,2.3888274698,0.6090409476
SRX2436962,3.0377910189,0.5170535655
SRX2436963,-0.9006404063000001,-0.05028569
SRX2436964,3.2944378326,0.1846504888
SRX2436965,1.9889487829,-1.7243275941
SRX2436966,0.5003320482,-0.024634011100000002
SRX2436967,2.3026129875,0.6020970956
SRX2436969,-1.1003445207,-0.0671102244
SRX2436970,0.2543093555,-0.0801522576
SRX2436971,2.4750200498,0.6737933368
SRX2437029,3.108685379,0.45720679700000005
SRX2437030,0.5381607666,0.27701676410000003
SRX2437031,0.9888667512,0.0938320029
SRX2437032,0.8361094668,0.0894754707
SRX2437033,-0.4278208432,-0.2736240874
SRX2437034,2.040896714,-1.6429957246
SRX2437035,-0.6838685656,0.1160762797
SRX2437036,-0.429769024,0.0839656367
SRX2437037,2.9209787621,0.2031246137
SRX2437038,0.1332876167,0.059061844
SRX2437039,0.7570324616,0.1169916908
SRX2437040,-0.4330811485,0.0844062733
SRX2437041,0.4496303397,0.18376677560000002
SRX2437042,0.0027238690000000003,-0.1237522085
SRX2437043,2.7859767842,0.1897072569
SRX2437044,-0.2395575368,0.0382582411
SRX4705203,-2.2869535452,-0.33151754910000003
SRX4705204,-0.032004445,-0.1332014449
SRX4705205,-0.5029647921,-0.1381783195
SRX4705206,-0.2104571097,-0.0419448371
SRX4705207,-0.7402372599,-0.07253444170000001
SRX4705208,-2.355027812,-0.4440657738
SRX4705209,-0.5924705908,-0.1382794621
SRX4705210,-1.5053926763,-0.1702060812
SRX4705211,-1.3516496198,-0.2025075809
SRX4705212,-1.2883678943999999,-0.1111644247
SRX4705213,-0.0592113052,-0.0231601011
SRX4705214,0.0951861809,0.3573503233
SRX4705215,0.2799966768,-0.1784814844
SRX4705216,-0.5020348154000001,0.11393533900000001
SRX4705217,0.3346287592,-0.2216552118
SRX4705218,-0.1485654964,-0.047988864900000004
SRX4705219,-0.17351668480000002,0.09095173570000001
SRX4705220,0.2641553634,-0.024713051700000002
SRX4705221,-0.7803814524,0.1121055624
SRX4705222,-0.0189458485,0.1862578631
SRX4705223,-2.2355429785,-0.3290399509
SRX4705224,-1.793176838,-0.48705604830000004
