,A,Fis,Crp,RpoS,ihfB
cstr_pfr__str_ref2__2,-0.4662430937,0.0606862564,-0.0359995768,-0.0276449604,-0.1410483777
cstr_pfr__str_ref3__2,-0.3531305168,0.10144661,0.058544858000000005,-0.1012084702,-0.2992241516
cstr_pfr__pfr_P5_0005m__2,-0.0316855824,-0.1066968236,-0.048752147,0.30589295710000003,-0.1919072104
cstr_pfr__pfr_P5_0010m__2,0.4386095753,0.142671809,0.0814724538,0.0795924583,-0.2106737712
cstr_pfr__pfr_P5_0025m__2,-0.21956828990000002,0.1367928948,0.14086945920000002,0.0206000678,-0.4396286763
cstr_pfr__pfr_P3_0025m__2,-0.2189107506,0.52037051,-0.0582763844,-0.3247070877,-0.43113698440000003
cstr_pfr__pfr_P1_0025m__2,-0.1629881921,0.5944288306000001,-0.2331385879,-0.39807763690000003,-0.5285459621
cstr_pfr__pfr_P5_0045m__2,-0.4919281627,-0.30567362540000004,0.0354719414,0.045134451900000004,-0.7789340456
cstr_pfr__pfr_P5_0120m__2,-0.43004074800000003,-0.049653716,0.305318221,0.1301877645,-0.47990665450000003
cstr_pfr__pfr_P3_0120m__2,0.1421121463,0.2289279667,0.0945138693,-0.13219797960000002,-0.40638696950000003
cstr_pfr__pfr_P1_0120m__2,-0.1754915674,0.3062890209,-0.0124149267,-0.2535108333,-0.4920680422
cstr_pfr__pfr_P5_0210m__2,-0.3923924133,-0.1641562449,0.3356911857,0.48425317040000004,-0.2794220631
cstr_pfr__pfr_P5_1500m__2,-0.0339835195,-0.0834540627,0.41076687230000003,0.2794221789,-0.6138260592
cstr_pfr__pfr_P3_1680m__2,0.1498258733,-0.11396918040000001,0.3983587121,0.3854533687,-0.5289399786
cstr_pfr__pfr_P5_1680m__2,0.3042220359,0.0618995564,0.2226821065,0.1738750254,-0.45414213950000004
cstr_pfr__pfr_P1_1680m__2,0.342774635,0.0997404394,0.03072544,0.019325781900000002,-0.48781659310000003
darobactin__daro_30m__1,0.8515609545,-0.40148430150000003,0.9297661229,0.9622415594,0.172211879
darobactin__daro_30m__2,0.0338598216,0.1344392673,0.5458194559,0.7550729143,0.2852446293
darobactin__solv_1h__1,9.0174915309,-1.5103430657999999,0.8896791535,1.8153011222000002,-0.034085819600000004
darobactin__solv_1h__2,7.964488559,-1.3614163122,0.7544298497,1.6305390598,0.0714393256
darobactin__daro_1h__1,5.3133424453,-0.8391686561,0.9083268103000001,2.66022843,0.7262429691000001
darobactin__solv_1h__3,9.4617510686,-1.6092606401,0.8378540299,2.0770640183,-0.54570419
darobactin__daro_1h__2,6.9465792311,-1.0707844469,1.2087494064,2.5665020116,0.2129508923
darobactin__daro_1h__3,6.0876862236000004,-1.4302093213,1.1494446188,2.8456212339,0.14178574160000001
darobactin__daro_30m__3,3.1183663351,-0.4504878827,0.7221774194,1.1736554388,0.2678849863
darobactin__solv_30m__1,0.8235693485000001,0.1964987598,0.3322589038,0.2661366081,-0.0398567252
darobactin__solv_15m__1,0.2944584653,0.06597989230000001,-0.0405799602,-0.0111502136,-0.011565161000000001
darobactin__solv_15m__2,0.1779403944,0.0713297845,0.0211711041,0.2054542597,-0.0110295462
darobactin__daro_15m__1,0.34849538490000004,-0.2348329657,0.32684287360000003,0.7391266073,0.14964342960000002
darobactin__solv_15m__3,-0.4723988597,-0.1373096768,0.019408856000000002,-0.19430404610000002,0.0225947072
darobactin__daro_15m__2,0.0103130546,-0.1987746408,0.3689308805,0.7199340907,0.1396423013
darobactin__daro_15m__3,-0.39218839640000003,-0.1041404887,0.221949515,1.2277820302,0.6544630542000001
darobactin__solv_30m__2,1.5513963517,0.1079538777,0.1618995187,0.0215407991,-0.312079486
darobactin__solv_30m__3,3.2015949207,-0.15648901070000001,0.2420582473,-0.0150692206,-0.4423228079
ddp__pNT3_aroP__1,-3.2655223727,-0.6239197979000001,0.4265026615,0.0663741888,0.1266565106
ddp__pNT3_aroP__2,-2.3300104194,-0.2297412021,0.7271404589,0.4506381236,-0.19509359999999998
ddp__pNT3_bamC__1,-12.9901444696,3.0231784308,0.8519065269,0.28768228490000003,-0.5672458622000001
ddp__pNT3_bamC__2,-12.823198315199999,2.3202658635,0.5921076495,0.1535386401,-1.1369997208
ddp__pNT3_cusA__1,-10.4065297869,3.585583478,1.0354136519,0.15565523180000002,-1.1653131053
ddp__pNT3_cusA__2,-11.8584187667,3.4521562427,0.7451035267,0.131350726,-1.834437337
ddp__pNT3_hemX__1,-1.6798878152,2.2410353148,0.8182462086000001,0.7917607625,-0.3100348107
ddp__pNT3_hemX__2,-1.5214756465,1.879845411,0.7045028161,0.6527340802,-0.3205994297
ddp__pNT3_empty__1,-0.4012390894,-0.2336929399,-0.139956359,-0.0220604303,-0.0232892471
ddp__pNT3_empty__2,0.4012390894,0.2336929399,0.139956359,0.0220604303,0.0232892471
ddp__pNT3_topA__1,-8.9751712549,2.4965166696,0.5908025523,1.0835072224,-0.9207812597
ddp__pNT3_topA__2,-9.6683925289,3.1856201873,0.9994652368,0.9596565713,-1.3071923027
ddp__pNT3_yicR__1,0.6621783291000001,2.4701123107000003,0.7827099169,0.5855899905,-0.45955464420000003
ddp__pNT3_yicR__2,0.6382237858,2.3050675208999998,0.7206732189,0.5974975256,-0.7959901979
ddp__pNT3_yqjD__1,-0.2975407968,0.7332346591000001,0.5565290979,0.3973549986,0.4344459372
ddp__pNT3_yqjD__2,0.0659049043,0.8660502453000001,0.5652993358,0.3463440169,0.3504806305
ecomics__del_gabT__1,-0.6097046145,-0.20326393040000001,-0.2183604482,0.0319115236,-0.0056595274
ecomics__del_gabT__2,0.6097046145,0.20326393040000001,0.2183604482,-0.0319115236,0.0056595274
ecomics__del_putP__1,0.5260453734,-0.0825427549,0.0496916416,0.1755425277,0.062111151
ecomics__del_putP__2,-1.1976920672,0.0336603295,0.2503393265,0.024489941100000003,-0.1246500822
ecomics__del_entF__1,3.3600958288,1.5476896820000001,0.39555321730000004,-0.2854373702,-0.32022293760000003
ecomics__del_entF__2,0.9514534009000001,0.4018239786,0.11605645020000001,0.3764522019,-0.18921608780000002
ecomics__del_entF__3,0.5711713335,0.5858999062,0.2931170004,0.2949215998,-0.0718275669
ecomics__del_cysA__1,-2.2828839259,1.4248384284,0.3087574011,-0.0268914219,0.0014180174
ecomics__del_cysA__2,-2.7522671350000003,1.1984242662,0.0756466625,0.056630553900000005,-0.0314311242
elyC__wt_21C__1,0.8499968653000001,0.3771354375,0.2997067975,0.8425441532,0.25078108450000003
elyC__wt_21C__2,0.5767965541,0.509388119,0.2171652813,0.6879051231000001,0.3183754319
elyC__wt_21C__3,0.4806155244,0.48062607100000004,0.20048826090000002,0.6686345142,0.301183598
elyC__wt_37C__1,0.2885080599,0.1394315285,0.0055111309,-0.5242501190000001,0.0474008011
elyC__wt_37C__2,-0.4728972019,-0.1542708204,0.0383910612,0.3029605819,-0.0484154558
elyC__wt_37C__3,0.184389142,0.0148392919,-0.0439021921,0.22128953710000002,0.0010146547
elyC__delelyC_21C__1,0.4698076285,0.49311404880000004,0.2526018277,0.5729494946,0.3186137509
elyC__delelyC_21C__2,0.9367319819000001,0.3537705665,0.270288277,0.8031390428,0.30219993900000003
elyC__delelyC_21C__3,0.6796838799,0.4754753548,0.2825423364,0.5992687779,0.2917894999
elyC__delelyC_37C__1,-0.2785654265,-0.07399847500000001,0.1877512114,-0.2291631891,0.09051329500000001
elyC__delelyC_37C__2,-0.0546375341,0.023794240600000002,0.1650360705,-0.18907728040000002,0.1174934251
elyC__delelyC_37C__3,0.4758082662,0.051536903700000004,0.1449864971,-0.1244349435,0.11349563530000001
evo_acid_w__F9_2__1,2.7270839549,-0.5093630551,0.45212262210000004,1.097039597,1.2565419311000001
evo_acid_w__F11_1__1,-0.6494609915,1.0448240257,0.0515482653,-0.9273947829,-0.8093952846
evo_acid_w__F11_1__2,0.058954486800000004,1.3949710003,0.1563578091,-1.0439189205,-0.5522377374
evo_acid_w__F11_1__3,0.7739119734000001,1.0738428079,0.2851965476,-0.8374599219000001,-0.2151484244
evo_acid_w__wt__1,4.1827160429,0.6279534183000001,0.1360930215,-0.0241568321,-0.1374971984
evo_acid_w__F11_2__1,3.0992994347,-0.3132555821,0.1526137479,-0.0860494442,0.2263643548
evo_acid_w__B11_2__1,3.0306510022,-0.5439089850000001,0.7470542054,-0.2103483814,0.1338611287
evo_acid_w__F11_2__2,-0.2570290313,0.17956962810000002,-0.0330759678,-0.7525754931,0.2189045622
evo_acid_w__wt__2,-0.2480561295,0.7840393394,0.0921125297,-0.0423046222,-0.7429114568
evo_acid_w__B11_1__1,-1.2443875322,-0.7293389396000001,0.0459686345,-2.0566938058,0.0881715998
evo_acid_w__H9_1__1,-0.9534573069000001,1.7779188062,-1.7381250601,-0.9828317065000001,-0.8041098849
evo_acid_w__H9_2__1,-0.5801433011,0.8633148513000001,0.1060124781,-0.5097708088,0.7958109651
evo_acid_w__B11_2__2,3.6601559301,-1.0434970141,0.7565786075,-0.2337895701,-0.0253147293
evo_acid_w__wt__3,-0.3251862495,0.0930653412,-0.0206086192,0.5081283672,-0.5291315211000001
evo_acid_w__H9_2__2,-0.6892879778000001,0.8914924555,0.2191212157,-0.47408949180000004,0.861613673
evo_acid_w__B11_2__3,3.2025355151,-1.0738210716,0.701250519,-0.6043009345,0.0989163598
evo_acid_w__F11_2__3,-0.0172427733,-0.2266908223,0.0061447768000000005,-0.6240025128000001,0.1265679443
evo_acid_w__F9_2__2,2.5042053335,-0.6093413027,0.5616911087,0.9201684831,1.226954437
evo_acid_w__wt__4,-0.7895615260000001,0.40157637690000003,0.2075206627,0.4262621594,0.9211761875000001
evo_acid_w__wt__5,-0.9751373441000001,0.3272748216,0.07605606050000001,-0.0907873793,0.9600903644000001
evo_acid_w__wt__6,-1.2454931390000001,-1.0786827828,-0.0229880917,-0.6271696783,-0.823212393
evo_acid_w__H9_1__2,-0.3641668263,1.9312242163,-1.7211272316000001,-0.9878038137,-0.6308114248000001
evo_acid_w__F9_1__1,1.2521600054,0.3365615109,0.33539129840000004,0.1061579939,-0.1923440525
evo_acid_w__F9_1__2,0.9772815810000001,-0.0320332964,0.37333806010000004,0.0811030881,-6.0176e-05
evo_acid_w__B11_1__2,-1.2131178237,-0.2880409691,0.1027974094,-1.4706241186,0.1408796672
evo_acid_w__H9_2__3,-0.2822134972,0.7264883133000001,0.2542201101,-0.4671100716,0.8741056694
evo_acid_w__wt__7,0.2894824039,0.39649041,0.1532453091,0.291305217,0.7605394983
evo_acid_w__F9_1__3,2.335512262,0.1565363276,0.3624937381,0.0806200884,-0.0228632045
evo_acid_w__F9_2__3,3.4318731943,-0.47432717080000003,0.5062765036,1.2349298928,1.3315944608999999
evo_acid_w__wt__8,-1.0071803835,-0.5565783599,-0.3269025847,-0.5168503485,-0.4763504617
evo_acid_w__B11_1__3,-1.4214461241,-0.3943179129,0.09219357800000001,-1.5198680512,0.2004499127
evo_acid_w__wt__9,0.11841632490000001,-0.9951385649000001,-0.2945282879,0.0755731168,0.0672969808
evo_bz__c3_1_bz__1,-0.7290989088000001,0.1932521797,-0.385355987,0.6045900864,0.2288210901
evo_bz__c3_1_bz__2,2.9050672729,-0.11367726040000001,-0.6930073795,0.6665521292000001,0.6101915694
evo_bz__c3_1_bz__3,0.9169788223,-0.055300474200000005,-0.7755713976,0.5463657323000001,0.576618225
evo_bz__c3_1_bz__4,0.837984915,-0.050601478500000005,-0.6576656106000001,0.6278999625,0.6110947582
evo_bz__g5_1_bz__1,7.5738556087,1.0977452562,-0.1341736427,1.5070312818,0.5652189377
evo_bz__g5_1_bz__2,0.49980932100000003,1.6067169379,-0.5635110724,0.8280153045,-0.2131127912
evo_bz__g5_1_bz__3,6.4680100787,1.2337849475,-0.1045202598,1.5406839391,0.46224616560000004
evo_bz__g5_1_bz__4,3.3449559509,0.6487535925,-0.5514972085000001,2.2125833362,0.5648670378
evo_bz__g5_1_bz__5,1.9476909523,0.4313845094,-0.5907591781,1.7876219128000002,0.2495908246
evo_bz__g5_1_bz__6,2.4787034191,0.5314377797000001,-0.5379723588,1.9715246501,0.25883636260000004
evo_bz__w3110d13__1,-0.2876719083,-0.090826216,0.5884298837,-0.2027626566,-0.3371452922
evo_bz__w3110d13__2,0.0747106262,-0.2275090176,0.5233414408,-0.1722772558,-0.4144919876
evo_bz__w3110d13__3,0.2603019049,0.1507807058,-0.4463507494,-0.0238262804,0.0859386959
evo_bz__w3110d13__4,-0.40903563670000004,0.26904184870000003,0.4678437997,-0.3323414589,-0.5315682872
evo_bz__w3110d13__5,0.3581927452,-0.3688713026,-0.7475887920000001,0.09276473390000001,0.6184017657
evo_bz__w3110d13__6,0.0035022687,0.2673839818,-0.38567558290000004,0.6384429179000001,0.5788651053
evo_bz__w3110d13_bz__1,-1.263528139,0.0702495348,-0.31419254,1.0306032465,-0.5625498558
evo_bz__w3110d13_bz__2,-0.9285450216000001,0.4987004956,-0.1236678575,1.0620790756,-0.31589760570000003
evo_bz__w3110d13_bz__3,1.9880291703,-0.31829052350000003,-0.7518707576,1.1761166277,1.1900981018
evo_bz__w3110d13_bz__4,-0.3918225108,0.1930835283,-0.10341932470000001,1.0781661632,-0.2427241886
evo_bz__c3_1_bz__5,-0.47571173050000004,-0.0603150774,-0.31786441590000003,0.5970242542,0.9276404627
evo_bz__c3_1_bz__6,-1.6273922156,0.030817823100000002,-0.5855978821,0.41313108940000004,0.0796417516
evo_bz__g5_2_bz__1,2.7775456665,0.0996390431,-0.9927383484000001,0.6560503050000001,0.2109846849
evo_bz__g5_2_bz__2,2.1814893591,-0.2768246876,-1.0770436531,0.5163063446,0.23533751830000002
evo_bz__g5_2_bz__3,2.0218369777,-0.6500033339,-0.9319843065000001,0.5921911449,0.21035469750000002
evo_bz__g5_2_bz__4,-0.0634444002,-0.3410497646,-0.3099510565,0.4145018807,0.351986183
evo_bz__g5_2_bz__5,-0.7910546792,-0.4108510732,-0.5033890871,0.3385546109,0.13782204180000002
evo_bz__g5_2_bz__6,-1.2409751221,-0.0331066877,-0.43552663960000004,0.6707933292,0.2137416066
evo_bz__w3110d13_bz__5,1.1136100397,-0.5176073027,-0.9039885132000001,1.0105470486,1.1509351128
evo_bz__w3110d13_bz__6,1.155001671,0.0390048894,-0.882397812,1.2598023969,1.210246552
evo_bz__a1_1_bz__1,9.5732569505,-1.8786517409,-0.1968594431,1.8700815334,0.9463787208000001
evo_bz__a1_1_bz__2,0.3132542309,0.5361451732,-0.0757624216,1.2053437335,0.6894988855
evo_bz__a1_1_bz__3,1.8523081067,1.3088622026,-1.1352115054,0.8512096507,1.0535282181
evo_bz__a1_1_bz__4,-0.3377032674,0.2024257022,-0.1630694594,1.0336142905,-0.1420939679
evo_bz__a1_1_bz__5,3.3912698681,1.8037451479,-1.1430905682,0.8297124726,0.9057751446000001
evo_bz__a1_1_bz__6,1.5539599185,1.2205659637,-1.1479592129,0.9577840338,1.1254304514
evo_metab__wt__1,0.15971322200000002,-1.6493450053,0.0216952277,0.6428626927000001,1.4426827544
evo_metab__del_zwf__1,-0.9073384184000001,-0.7442162344000001,0.0089552738,0.5569332490000001,0.6087812218
evo_metab__zwf_ale1__1,0.0679414539,-0.6383483829000001,-0.029136735400000002,0.45583812900000004,1.453697321
evo_metab__zwf_ale2__1,-1.199986288,0.28114724700000004,-0.22346250180000002,-0.0059625017,1.5126676941000001
evo_metab__del_ppk__1,-1.8688937544000002,0.2732446559,-0.5950074874,-0.7958093834000001,1.1758653763
evo_metab__ppk_ale1__1,-0.6507493947,1.0259451355,-0.2819178846,-0.9913625079,0.7068659902000001
evo_metab__ppk_ale2__1,-0.4315018812,-0.9024142098,-0.2129587413,0.8636873724,2.7404168595
evo_metab__ppk_ale3__1,-1.1723228267,-0.652088098,-0.6664505470000001,0.9692145481000001,1.4055007212000001
evo_metab__del_dapF__1,0.4947050277,-2.1722072706,-0.2899666271,0.5484635499,1.5731943474999999
evo_metab__dapF_ale1__1,0.6801056358,-1.6052180138,-0.0956451908,0.47975582850000004,1.3286870738
evo_metab__dapF_ale3__1,1.6370485631,0.3620233339,-0.534902734,0.0560243226,-0.5334557359000001
evo_metab__del_entC__1,-1.2696256281,-0.49893765240000004,-0.09387450950000001,-0.4189636936,1.0691534304
evo_metab__entC_ale1__1,-1.09510803,0.5466123304,-0.4795015226,-0.9782229419,-0.2272644741
evo_metab__entC_ale2__1,0.672409204,-1.2977643723,0.3381492062,0.5822594640000001,1.2407535673
evo_metab__del_dgk__1,-1.7408174989,0.1951553286,-0.2479411708,-1.0677223828,-0.2811494248
evo_metab__dgk_ale1__1,-3.2831714378,0.4056362652,0.1803691418,-0.6452112251000001,0.3734034026
evo_metab__dgk_ale2__1,-2.6083516772,-1.1910265089,0.5647813138000001,0.1060509201,1.0406558945
evo_metab__dgk_ale3__1,-3.9645023512,-0.1072731442,-0.0535453575,-0.601614632,1.5872047917
evo_metab__wt__2,-0.20421963640000002,0.83271207,0.0598112988,-0.7106380433,-0.5988409250000001
evo_metab__del_zwf__2,-1.0062883634,-0.2743643188,0.1188856227,0.48744292520000004,1.4638075866
evo_metab__zwf_ale1__2,-0.6294535830000001,0.7857869584,0.34647646330000004,-0.1201034834,-0.065066414
evo_metab__zwf_ale2__2,-0.9082405923,0.39781253320000004,-0.08200134910000001,-0.49547265960000003,-0.3694768094
evo_metab__del_ppk__2,1.0431171548,0.9618331763,-0.1543697162,-0.7485561418000001,-1.3381919271
evo_metab__ppk_ale1__2,1.4362309513,0.37364485550000004,0.5010526678,-0.1073952073,-0.3357301543
evo_metab__ppk_ale2__2,0.048042808000000006,0.6290338879,0.033069829700000004,-0.5009317645,-0.4951080302
evo_metab__ppk_ale3__2,-0.0759760698,1.5166701272,-0.1021128979,-0.8764053693,-0.4177804027
evo_metab__del_dapF__2,-0.1281917499,-0.5625280567000001,-0.5275545316,0.2653966235,0.8912843678
evo_metab__dapF_ale1__2,-0.15357781,-0.6907673522000001,-0.8740408744,0.8576571565000001,0.7457290625
evo_metab__dapF_ale3__2,0.1256331674,-0.5231355216,-0.6052099843000001,0.5060509845,0.4106332983
evo_metab__del_entC__2,-0.3802173097,0.8212813583,-0.520378201,-0.7526508004,-1.5295929048999999
evo_metab__entC_ale1__2,-0.6379722879,0.3088496385,-0.1808186141,-0.6745435179,-0.42164055240000003
evo_metab__entC_ale2__2,1.0223058118,-0.0104370819,-0.2481074814,-0.2096922728,-1.8189793688
evo_metab__entC_ale3__1,0.8751781676,0.5082582503,-0.1007067708,-0.5210191926000001,-0.6449885269
evo_metab__del_dgk__2,-1.4690210519,0.18013646660000002,-0.2493838519,-0.9885591913,-1.0202695171
evo_metab__dgk_ale1__2,-1.5391267934,0.6615309996000001,0.0934857714,-0.5335854546000001,-0.4636976262
evo_metab__dgk_ale2__2,-2.5348434235,-0.21710432870000002,0.0258529291,-0.6650077532,-0.0876755152
evo_metab__dgk_ale3__2,-3.4435319053,-0.0723385831,-0.7092992376,-0.6734272628,0.2687374822
evo_metab__wt__3,0.0445064144,0.8166329353,-0.08150652650000001,0.0677753505,-0.8438418294000001
evo_metab__del_zwf__3,-1.2249817445,1.4229401458,-0.38365261440000004,-0.6635944368000001,-0.8046802190000001
evo_metab__zwf_ale1__3,0.051835955100000004,0.680223743,0.30292598800000003,0.24001536340000001,-0.1292274729
evo_metab__zwf_ale2__3,-0.24279902350000002,0.8789431159000001,-0.5695966895,-0.39957036030000004,-1.3119733839
evo_metab__del_ppk__3,1.1154163186,0.9800089392,-0.5088220601,0.13779702600000002,-1.1567435402
evo_metab__ppk_ale1__3,-1.1942810683,1.6211682894,-0.5568547845,-0.2892728428,-0.5962353548
evo_metab__ppk_ale2__3,1.0440764453,0.4227996136,-0.1075832786,0.063880307,-0.42237850050000003
evo_metab__ppk_ale3__3,0.8971113132,0.6111533806,-0.2548516616,-0.0446195849,-0.2330364484
evo_metab__del_dapF__3,-0.0156300925,-0.6977877481,-0.5224634022,0.6790029578,0.7267281071
evo_metab__dapF_ale1__3,-0.9271787074000001,-0.6402862152000001,-0.6997337682,0.5657041852,1.633609074
evo_metab__dapF_ale3__3,-0.9488167987,-0.058366774,-0.164303206,0.7180691943,0.5375879140000001
evo_metab__del_entC__3,0.4524063312,0.4816537571,-0.2838038458,-0.4285660378,-1.2151198529
evo_metab__entC_ale1__3,-0.8505653644000001,0.3647950216,-0.14120318680000002,-0.37244374420000004,-0.9595485512
evo_metab__entC_ale2__3,-0.9762507086000001,1.2040757313000001,-0.2275315786,-0.5556808697,-0.9363784741000001
evo_metab__entC_ale3__2,-0.3688691445,1.1202764922,-0.1971165942,-0.1552247884,-1.1393529857
evo_metab__del_dgk__3,-2.3691373704,1.0180106172,-0.7030767083,-0.6178347536000001,-1.6868286117
evo_metab__dgk_ale1__3,-2.1616136798,1.2066855321,-0.3391076354,-0.1980209816,-1.0194093062
evo_metab__dgk_ale2__3,-2.5046598634,0.6882293386,-0.8919006833,-0.2259185498,-2.0533163881
evo_metab__dgk_ale3__3,-3.7796590716000003,0.13935533020000002,-0.8480468999,-0.7817842324000001,0.1201491622
flag_reg__wt__1,-0.7528020616000001,0.0730248436,-0.0552460372,-0.0242983062,0.16429681270000002
flag_reg__del_fliA__1,2.7970236668,0.0643501076,0.2379487723,0.7349939390000001,-0.015058738600000001
flag_reg__del_flhC__1,2.8391520512,1.0720314628,0.1666261772,0.42723498790000003,0.1129815054
flag_reg__del_flhD__1,2.8783242595000003,0.9546770033,0.3038599931,0.2324750193,0.1308799863
flag_reg__wt__2,0.7528020616000001,-0.0730248436,0.0552460372,0.0242983062,-0.16429681270000002
flag_reg__del_fliA__2,3.1707023339,0.2858839488,0.2803346536,0.6642612716,0.10135033510000001
flag_reg__del_flhC__2,0.0817519632,-0.3191639852,-0.038816530200000005,0.43708541440000004,-0.0248447382
flag_reg__del_flhD__2,3.5863473285,0.7770957466,0.21736006800000002,0.7065415546,0.021092889
flgM__27C__1,1.0725389195,0.6023896792,0.02870798,0.9454235623,0.24784995
flgM__27C__2,1.0529400687,0.9399468184,0.0422419746,0.7759384872,0.1064565189
flgM__27C__3,0.8738087508,0.9580009028,-0.0473495293,0.5711733054,0.005539048
flgM__32C__1,0.565636916,0.5457587479,-0.1275263066,0.9374318935,-0.0982544908
flgM__32C__2,0.6335916925,0.5130037107000001,-0.1188682696,0.910492182,-0.15643323380000002
flgM__32C__3,0.6664269957,0.6993471295,-0.0775782685,0.8612305479,0.0867734718
flgM__37C__1,0.24448382600000002,0.019990185,-0.0172228206,-0.037221874200000005,-0.033570588000000005
flgM__37C__2,-0.2695406555,0.013572340300000001,-0.0153227698,0.0013268786,-0.057117415000000005
flgM__37C__3,0.025056829500000002,-0.0335625254,0.032545590400000005,0.0358949956,0.090688003
flgM__42C__1,-0.754751921,0.0142478612,0.1223491476,-0.0877083962,0.1092855969
flgM__42C__2,-0.8805190346,-0.2213432794,0.1974911759,-0.044082464,0.1973599473
flgM__42C__3,-1.3830131987,-0.5866124358,0.2034264775,0.0040361203,0.0520428904
histone__untreated__1,-0.5096361082,0.0883832858,-0.060392566700000004,-0.3611764005,0.0126545278
histone__untreated__2,0.6998666892000001,-0.222208977,0.0044704471,0.0771642025,-0.0106326912
histone__untreated__3,-0.190230581,0.1338256911,0.0559221196,0.2840121979,-0.0020218365
histone__10ug_H2A__1,-0.2219416841,0.2707169634,-0.0294229657,0.1505303285,-0.129348762
histone__10ug_H2A__2,0.3471560449,-0.0203041477,-0.10860318570000001,0.1160648475,-0.0711125526
histone__10ug_H2A__3,0.6190513394,0.2616089287,-0.1133642725,0.3506432363,-0.0494529187
histone__50ug_H2A__1,0.4169546125,0.401276157,0.029688543100000003,1.0733189414,-0.0136252659
histone__50ug_H2A__2,0.2348019728,0.5326771554,0.0276315887,0.9355091798,0.040501495900000004
histone__50ug_H2A__3,0.4363040964,0.3627152817,-0.0099621376,0.6864147749,0.0660673569
histone__100ug_H2A__1,0.4661641086,0.2758458686,0.0895954796,1.4027260516,0.0680506139
histone__100ug_H2A__2,0.5563407684,0.3746823043,0.10367688060000001,1.1597094079999999,0.1463277796
histone__100ug_H2A__3,0.95344415,0.22114017330000002,0.0034602426000000003,1.2837350512,0.058645976
hns__del_hns_spike__1,0.3247790854,0.0544761327,0.2075117463,-0.5141281642000001,0.8947661931
hns__del_hns_spike__2,0.18959658540000002,-0.2892167136,0.009730694,0.4709148805,0.8245761367000001
hns__del_hns__1,0.6347899973000001,0.0579722669,0.2850669433,-0.4309899782,0.9172620950000001
hns__del_hns__2,-0.3243500694,-0.4665531661,0.1631970502,0.5072233562,0.4369839626
hns__wt_spike__1,-1.8464495056999999,0.44239441760000003,0.1392690724,0.0010033149,0.7686354297
hns__wt_spike__2,4.8707716502,-1.3861222248,0.5908241112,0.1241556788,-0.7693821899000001
hns__wt__1,-1.1172810328,-0.0160536305,0.1104686965,-0.095928678,0.5138647472
hns__wt__2,1.1172810328,0.0160536305,-0.1104686965,0.095928678,-0.5138647472
hns_stpA__evo100G4_delhns_delstpA__1,3.824522284,0.4686909125,-1.5681109031,-1.6296757112,-2.0371496979
hns_stpA__evo100G4_delhns_delstpA__2,5.1234567935,0.1449711787,-1.7787209304,-1.5207212803,-2.2684730482
hns_stpA__evo100G12_delhns_delstpA__1,1.5986943028,1.3782961321,-2.3286332422,-2.1551091053,-1.3068979798
hns_stpA__evo100G12_delhns_delstpA__2,1.8846607708,1.4721652701,-2.0720734261000002,-2.271826186,-1.0530082661
hns_stpA__delhns_delstpA_delrpoS__1,1.0938411489,-0.058826803100000005,-2.2153905101,-8.919357295,-1.886946245
hns_stpA__delhns_delstpA_delrpoS__2,0.28006425100000004,2.003139303,-2.5455493469,-8.5537604829,-2.0984424845
hns_stpA__wt__1,-0.063583519,0.2868207166,0.0910120247,0.2355117427,-0.2592372978
hns_stpA__wt__2,0.063583519,-0.2868207166,-0.0910120247,-0.2355117427,0.2592372978
hns_stpA__delhns_delstpA__1,-0.18786585660000002,1.3011462374,-2.4304813555,-3.123507769,-1.4481975116
hns_stpA__delhns_delstpA__2,-0.1240854945,1.5140560712,-2.283345836,-2.652046765,-1.5487593325
hu__wt_log_pH7__1,0.7867023583,0.9224140444000001,-2.5610024343999997,-0.07601669750000001,0.5725168552000001
hu__wt_log_pH7__2,-0.1779641665,1.2645704017,-1.7192127447,-0.2865615411,0.5767602426
hu__wt_log_pH7__3,-0.5233333512,0.6514656069,-2.5656982779,0.200378254,0.5408314315
hu__wt_lag_pH7__1,0.0651479585,0.2599690871,0.2181867704,-0.2852539933,-0.3724250743
hu__wt_lag_pH7__2,0.4750866093,-0.0199836324,-0.051637196,-0.38528219900000005,-0.5506885260000001
hu__wt_lag_pH7__3,-0.5402345678,-0.23998545470000002,-0.1665495744,0.6705361923000001,0.9231136003
hu__delhupA_lag_pH7__1,1.2622258698,0.1187457385,0.5013664708,-0.2520204133,-0.015400114400000001
hu__delhupA_lag_pH7__2,-0.1416672871,0.9327793190000001,-0.0310669673,-0.561476191,-0.1280760356
hu__delhupA_lag_pH7__3,0.1289230411,-0.2498376408,-0.0959832862,0.3723034616,0.8585979411
hu__delhupB_lag_pH7__1,0.1154303314,0.7348410063,0.1827632689,-0.4987923756,-0.1118771202
hu__delhupB_lag_pH7__2,0.4186731127,0.5334120243,-0.0362566025,-0.40853676120000004,-0.3732720155
hu__delhupB_lag_pH7__3,0.5082329971,-0.7344683120000001,-0.13451388420000002,0.4330006176,0.8058659089
hu__delhupAhupB_lag_pH7__1,2.1271516591,-0.3699780399,-0.3668404044,-0.1061310161,0.4054833875
hu__delhupAhupB_lag_pH7__2,0.5201919743,0.9189064052,-0.0648374225,-0.26026007500000004,-0.02338005
hu__delhupAhupB_lag_pH7__3,1.8080200488,-0.5182375265,0.0483373318,1.1858326733,0.9979107099000001
