,A,LexA
T-1.40H_1,0.5843761414,-0.2248666667
T-1.10H_1,0.2556857939,-0.35456666670000003
T-0.40H_1,1.9318843696,-0.2371666667
T0.0H_1,1.9018234511,-0.4980666667
T0.30H_1,2.2677297028,-1.3346666667
T1.0H_1,1.2489851102,-1.6373666667
T1.30H_1,2.7213686631,-1.7321666667
T2.0H_1,3.2132456365,-1.3454666667000001
T2.30H_1,1.9446637663000002,-0.5101666667
T3.0H_1,1.8869335257,-0.6172666667000001
T3.30H_1,2.4630221690000003,-0.4731666667
T4.0H_1,2.7409234614,-0.4727666667
T5.0H_1,3.110192403,-1.2720666667
HPh_1,2.2042627971,0.5768333333
HPh_2,2.4056076606,0.5134333333000001
HPh_3,3.2151861478,1.0486333333
LPh_1,2.1290367712,0.7160333333000001
LPh_2,1.8354014429,1.2386333333
LPh_3,1.133861841,0.7178333333
LPhT_1,3.4816527511,0.8830333333
LPhT_2,3.1627532175,0.8446333333
LPhT_3,2.8549401823,0.8524333333
SMMPr_1,-1.7632331426,-0.34246666670000003
SMMPr_2,-1.2695485068,-0.34446666670000003
SMMPr_3,-0.9085446926,-0.24856666670000002
HiTm_1,0.6228034899,-0.3390666667
HiTm_2,2.851769636,0.0445333333
HiTm_3,2.8287193004,0.1901333333
LoTm_1,3.986939465,-0.3124666667
LoTm_2,5.6554019471,-0.47846666670000004
LoTm_3,3.976330064,-0.7569666667
HiOs_1,3.0113563133,0.26633333330000003
HiOs_2,2.3844954017,0.2954333333
HiOs_3,3.0101095248,0.32523333330000004
BMM_1,-3.1897958723,-0.37466666670000004
BMM_2,-3.3133505396,-0.46996666670000004
BMM_3,-3.3939185036,-0.5128666667
Heat_1,1.1505237392,0.2396333333
Heat_2,1.8014529263,-0.1479666667
Heat_3,2.2464305206,-0.3523666667
Cold_1,1.7668446546,0.6552333333
Cold_2,3.2770551698,0.4534333333
Cold_3,3.3219537344,0.0705333333
Etha_1,1.0600615586,-1.0016666667
Etha_2,2.8453098018,-1.4430666667
Etha_3,1.0895126781,-1.0050666666999999
SMM_1,-0.3258698581,-0.1672666667
SMM_2,-0.5200914601000001,-0.2091666667
SMM_3,-0.49524392240000004,-0.24756666670000002
Salt_1,2.2043038571,-0.1415666667
Salt_2,2.344120615,-0.17726666670000002
Salt_3,1.3747523753,-0.2803666667
Mt0_1,0.1506938833,0.1958333333
Mt0_3,0.3482841991,0.2510333333
M0t45_1,-0.596247441,0.4847333333
M0t45_2,-0.6326334089,-0.1259666667
M0t45_3,0.0132013306,0.47943333330000004
M0t90_1,-0.4100130792,-0.6564666667
M0t90_2,0.3116012124,0.2518333333
M0t90_3,-1.7889408785,-0.0967666667
M40t45_1,15.3604383588,1.8154333333000001
M40t45_2,22.7516318075,2.8614333333
M40t45_3,17.2865377496,2.2018333333
M40t90_1,19.1922719507,1.9849333332999999
M40t90_2,21.3001691318,2.4840333333
M40t90_3,19.418333393,2.3088333333
dia0_1,0.2527076283,-0.1506666667
dia0_2,0.6610174133000001,-0.0672666667
dia0_3,0.5398744227,0.2622333333
dia5_1,0.48432919900000004,0.1234333333
dia5_2,1.3776814066,0.0359333333
dia5_3,-0.8912092473000001,0.0184333333
dia15_1,0.2941067697,-0.4428666667
dia15_2,2.0271108761,0.2559333333
dia15_3,2.8916099591,0.27433333330000004
Diami_1,4.12102204,0.1811333333
Diami_2,3.936581316,0.4675333333
Diami_3,2.7715998277000002,0.0694333333
Paraq_1,0.6136236523,0.0245333333
Paraq_2,0.1256266643,0.1555333333
Paraq_3,-0.0119029723,-1.4094666667
H2O2_1,22.6969892247,0.8051333333
H2O2_2,21.9360018168,1.1408333333
H2O2_3,21.9083938262,0.8233333333
Oxctl_1,0.23802497350000001,-0.5543666667
Oxctl_2,-0.8709539082000001,-0.5170666667
Oxctl_3,-1.269754627,0.0022333333
GM-0.1_1,0.029445370300000002,-0.26586666670000003
GM-0.2_1,0.4680416003,-0.23546666670000002
GM+5_1,-0.6484878621,-0.4076666667
GM+15_1,-1.5321520133000002,-0.0895666667
GM+25_1,-2.0187586541,0.3778333333
GM+45_1,-1.5343778652,0.23823333330000002
GM+60_1,-2.1879987954,0.12583333330000002
GM+90_1,-0.4299906478,0.0203333333
GM+120_1,1.9275264598000001,-0.8919666667
GM+150_1,-0.21469852550000001,-0.1766666667
GM-0.1_2,0.7249093509,0.45423333330000004
GM-0.2_2,1.1098571837,-0.2536666667
GM+5_2,-0.11479158290000001,0.1877333333
GM+10_2,-0.5183237363000001,0.0463333333
GM+15_2,-0.5282910573,0.0170333333
GM+25_2,-0.7777487235,0.28493333330000004
GM+45_2,-0.8047481404,-0.4761666667
GM+60_2,-0.5811538942000001,-0.6088666667
GM+90_2,-1.3937272011,0.3667333333
GM+150_2,-0.7204716176,-0.8979666667
GM-0.1_3,0.8339926296,0.2523333333
GM-0.2_3,-0.1635884424,0.1317333333
GM+5_3,-0.8414315735000001,0.40383333330000004
GM+10_3,-1.1905390486,-0.7220666667000001
GM+15_3,-1.2648926824,-0.0653666667
GM+25_3,-0.8299111060000001,-0.2238666667
GM+45_3,-0.7173312565000001,-0.3457666667
GM+60_3,0.2927068406,-0.7155666667
GM+90_3,0.1977474784,-0.8197666667
GM+120_3,1.8203201965,-0.0976666667
GM+150_3,0.9011056298000001,-0.4882666667
MG-0.1_1,-0.2368251859,-0.0866666667
MG+5_1,1.0247333333,-0.20906666670000001
MG+10_1,0.5923949895,0.37773333330000003
MG+15_1,1.171236828,-0.5344666667
MG+25_1,0.8565261498000001,0.1852333333
MG+45_1,0.7267626007,-0.3114666667
MG+120_1,-0.4676940021,-0.5078666667
MG+150_1,0.305639302,-0.5803666667
MG-0.1_2,0.16484965740000002,-0.9522666667
MG-0.2_2,0.0040950841,-0.2244666667
MG+5_2,0.9603559089,-0.20906666670000001
MG+10_2,0.48876582700000004,-0.0561666667
MG+15_2,1.2739643448,0.08973333330000001
MG+25_2,1.168275944,-0.4093666667
MG+45_2,1.2950527024,-0.6979666667000001
MG+60_2,0.7451100275,-0.3415666667
MG+90_2,0.3966709386,-0.4525666667
MG+120_2,0.5623226459,0.2664333333
MG-0.1_3,0.7329294854,0.5084333333000001
MG-0.2_3,1.5882648694000001,0.029033333300000002
MG+5_3,2.0798277309,-0.0221666667
MG+10_3,1.7310563039,-0.5033666667
MG+15_3,2.114965763,0.2714333333
MG+25_3,2.1960798675,0.2124333333
MG+45_3,1.2915752228000001,0.5374333333
MG+60_3,1.9686136094000002,0.10233333330000001
MG+90_3,2.2493251618,0.1048333333
MG+120_3,0.9097003374,-0.0992666667
MG+150_3,0.67338757,0.0149333333
