,A,GatR,Crp,ArcA
SRX5694291,-14.5374144743,-2.9739108318,0.1874058842,-0.6557503914
SRX5694292,1.180818302,0.4917850795,0.0513472187,-0.6482476939
SRX5694293,-0.2348069251,-0.2333007251,0.3866879371,-0.4793409832
SRX5694294,-0.9972524181,-0.2942486253,-0.0602559214,-0.5675396422
SRX5694295,-8.9438727563,-2.5889205832,-1.4743546362,-0.034679769900000004
SRX5694296,-1.1266246655,-0.0030235365,-0.13444608700000002,-0.3525345714
SRX5694297,-12.7618539443,-0.3453451081,-1.621907484,-0.0338108436
SRX5694298,2.3541926001,0.6000592866000001,-0.0376343135,-0.4064062229
SRX5694299,-0.0492655251,-0.1222714547,-0.0810478849,-0.40150323260000004
SRX5694300,-1.3806671752000002,-0.9574749107,0.1296583874,-0.4034077274
SRX5694301,1.2981633238999999,-0.0217428347,0.2017965224,-0.7157018740000001
SRX5694302,-0.7852817619,-0.5192531471,0.1490464558,-0.7166546285000001
SRX5694303,-0.0543476778,-0.09015303940000001,0.2623448043,-0.5501377366
SRX5694304,-3.3796459056,-0.9509158385,-0.22631582460000002,-0.3916451892
SRX5694305,-15.4112200501,-1.5991445325,-1.9945889461,-0.7050130261
SRX5694306,-1.5099525182,0.3498184623,-0.303318389,0.5643015045
SRX5694307,-12.1659590828,-1.7655734332000002,-0.9213934478,0.7962936861000001
SRX5694308,0.8922756355,0.2513045711,-0.5542551321,-0.2826643938
SRX5694309,-13.2573425219,-1.8287249828,-2.4371824129,-0.9324801713
SRX5694310,-8.2864390708,-2.9062096625000002,-0.6975730314,-0.7154435960000001
SRX5694311,-14.6144078901,-1.5949770201,-2.788252041,-1.0549187552000001
SRX5694312,-3.9505275752999998,0.6501283056,-0.46271994780000003,1.2063663425
SRX5694313,-7.2585814773,-1.6133690931,-1.0117169578,0.24705451250000002
SRX5694315,-0.5959404007,-0.7146216761,-0.1729404675,-0.8248140526000001
SRX5694317,-1.3452467771,-0.0010828766,0.2138522692,0.0642004802
SRX5694319,-3.0880727977,-0.6371178606,0.22403181360000002,-0.6773202813
SRX5694320,-14.263088114,-3.5807917988,-0.09237995040000001,-0.7345571464
SRX5694321,-8.2541215941,-1.4960396556,-0.38942819040000004,-0.6457091890000001
SRX5694322,-15.8700288346,-0.6553235857,-1.1362642293,0.9416705114
SRX5694323,-7.9132326032,-1.3867497034,-0.41342659340000004,-0.5853874625000001
SRX5694324,-13.1852031936,-1.9149098257000001,-1.6036324816,-0.9406118542
SRX5694325,-6.5747782759,-2.3232477639,-0.5104274184,-0.28599873
SRX5694326,-2.4524140171,-0.7890018839,-0.1584196907,-0.6848857907
SRX5694327,-7.4503156076,-3.085897567,-0.6589226995,-0.619184327
SRX5694328,-2.2131740583,-0.5235344517,0.1764471632,-0.7077585323000001
SRX5694329,-9.0801333052,-0.8522968103,-0.5799739837,-0.3164502813
SRX5694330,-5.4896251751000005,1.100000456,-0.6950204566,0.6378008244000001
SRX5694331,-0.4778767277,-0.0051660781,0.245553549,-0.2497476536
SRX5694332,-4.6176685296999995,-0.2525581531,-0.24882076420000002,-0.3739455369
SRX5694334,-1.5730456338,0.0353579216,-1.0972302127,-0.4412101766
SRX5694335,-8.7804838581,-1.2159052143,-2.0210704043,-0.5310190811000001
SRX5694336,-5.5051537972,-1.0512459916,-1.6584843203,-0.45421179570000003
SRX5694337,-5.2271927613,-1.946027381,-0.2397944182,-0.305938729
SRX5694338,-0.21482136470000002,0.0445700819,0.1989831632,-0.6137315737
SRX5694339,-2.0058329025,-0.7408808640000001,0.10670366340000001,-0.7445127357
SRX5694340,-1.8134472502,-1.2038213001,-0.1227589166,-0.440766099
SRX5694341,-16.4502439236,-0.7054627950000001,-1.4531793695,-0.1313631139
SRX5694342,-14.230832607,-0.5382724413000001,-1.642695013,0.2026076278
SRX5694343,-4.0105436277,0.4137640184,-0.659556922,-0.7345121231
SRX5694344,-6.5621349785,-0.8583705103,-0.5482364304,-0.33577681130000003
SRX5694345,-1.0501591914,-0.6565989080000001,-0.1455592358,-0.3764485198
SRX5694346,-6.171217393,-0.6305787131,-0.6506498564000001,-0.9055701749
SRX5694347,-1.6484722977000001,-0.5705059879000001,-0.0665078507,-0.7128745584
SRX5694348,-0.1951894797,-0.4391574634,0.0163008612,-0.3365434024
SRX5694349,1.2213653903,0.1388024966,0.3281616036,-0.9118016409
SRX5694350,-4.3560541095,-1.0217428735,-1.3897674496999999,-0.2723243866
SRX5694351,-10.2126387585,-1.5498607702,-0.94657928,0.7195692725
SRX5694352,0.5053085853,-0.5327659880000001,-0.11358356480000001,-0.7211493992
SRX5694353,-4.7956143574,-1.4195488714,0.2090437913,-1.1035471096
SRX5694354,0.7174183211,-0.2910645293,0.156288703,-0.8090334449000001
SRX5694356,-4.8133955578,-1.2500407759,0.1914919696,-1.0282208658
SRX5694357,-15.1398378695,0.13774447080000002,-1.6521756011000002,0.1033229876
SRX5694358,-12.0202514805,-2.4538458814,-0.2527058608,-0.989631354
SRX5694359,-3.4576733626,-1.2909494682,-0.30657057660000003,-0.6898793059
SRX5694360,-3.081125169,-1.5069599610000002,-0.2669976047,-0.9385224537
SRX5694361,-18.3906635987,-0.2078054754,-1.0307723459,1.0977147786
SRX5694362,-1.6408781615999999,0.6974116477,-0.0309958632,0.36099427310000004
SRX5694363,-1.3679802505,0.0632040391,-0.3804310446,-0.600790616
SRX5694364,-9.2555420093,-1.8313239189,-2.3462003852,-0.5144488377
SRX5694365,2.8355424477,2.1738830869,-0.6041545277,1.4841765936
SRX5694366,-2.6573645822,-0.8267819971,-0.054980210200000004,-0.7392321765000001
SRX5694367,-7.4494115541,-2.129393749,-0.7076949831,-0.2944956992
SRX5694368,-2.3328914279,-0.7347001156,0.1102525246,-0.8669199153
SRX5694369,1.95445944,0.4973935065,-0.0590977866,-0.5948867843
SRX5694370,-3.9271126014,-1.5207719926,-0.22081801820000002,-0.5244472115000001
SRX5694371,-12.2511595342,-2.1733666024,-2.3057897995,-0.786795397
SRX5694372,-1.4842782683,-0.07577310570000001,-0.3165443482,-0.5681068862
SRX5694373,-6.0402521429,-0.8516084115,-1.5399098517,-0.6737367768
SRX5694374,-15.2932712975,-3.5411676249,-0.3411830033,-0.9874018292000001
SRX5694375,0.4829266695,-0.0015713269000000001,-0.0340696975,-0.704628555
SRX5694376,-1.3098830966000001,0.2193271126,-0.31705369640000003,0.6390051229
SRX5694377,-12.5783288545,-3.7119752586,-0.5697764494,-1.119492052
SRX5694378,-4.2416343612,-1.7012924897000001,-0.31765341210000003,-0.5892935844
SRX5694379,-3.0254512939,-1.6225785061,-0.25011430100000004,-0.7488069058
SRX5694380,-7.9630131804,-0.1581370613,-0.8373204843000001,-0.9849220242000001
SRX5694381,-15.0418648852,-0.1445685429,-1.2728116676,0.0536946161
SRX5694382,-2.1964227216,-0.6743998741,-0.025511662,-0.4765596486
SRX5694383,0.8214705022000001,-0.2004791498,0.1480773849,-0.9315031237
SRX5694384,-0.9453809509000001,-0.1388460203,0.1439389809,-0.306814501
SRX5694385,1.1539094902,-0.1097464487,0.0779751018,-0.14971446900000002
SRX5694386,-14.1226426344,-2.3801256738,-2.8414442095,-1.7867935451
SRX5694387,-3.3137664874,-1.0584226367,0.0426535923,-0.5907873538
SRX5694388,-13.3156700243,-1.4820679754000001,-1.6022828696,-0.8765617776
SRX5694389,-0.0434922581,-1.0045398382,-0.0800003088,-0.5076306448
SRX5694390,0.9970756669,0.3274121551,0.0001683552,-0.9455588033000001
SRX5694391,1.6769605161999999,0.3998749495,0.1315329539,-0.0546648603
SRX5694392,1.545207757,0.11709862730000001,-0.1486598298,-0.7995883998000001
SRX5694393,-0.5296879232,-0.2113002633,0.232671539,-0.2305797444
SRX5694394,1.4119557028,0.730132569,0.2168248136,-0.2681092712
SRX5694395,-0.8229565739,0.4267222921,-0.3791651303,-0.6702235864
SRX5694396,-8.8222439047,-1.9954655071,-0.8353134788000001,0.8816852332
SRX5694397,-3.1026878884,-1.8697418779000001,-0.0202364792,-0.8235027764
SRX5694398,-3.2394252932,-1.9814211350000002,-0.0607073754,-0.4419145841
SRX5694399,-1.341207404,-0.4455888519,-0.2527744328,-0.7824784504000001
SRX5694400,-0.9613019225,-0.504860178,-0.1981004934,-0.8957583694000001
SRX5694401,2.7255047316,0.7574569921000001,-0.021523506600000002,-0.46520850020000004
SRX5694402,-11.2919558085,-2.2374780325,-2.6700349591,-1.9027115429
SRX5694403,-4.0858367924,-1.0390762377,-0.9103162108,-0.5633653791000001
SRX5694404,1.2115730488,0.4594922819,0.0943710534,-0.4577927678
SRX5694405,-1.9183905865000002,-0.100041343,-0.1829334597,-0.5244412812
SRX5694406,-3.9864777043,-1.0760130025,-0.3972091841,-0.4069620828
SRX5694407,-6.8320578871,-2.0126711185,-0.2638287498,-0.6797229178
SRX5694408,-0.18795244,-0.1544082639,0.0417388443,-0.7931955938
SRX5694409,-12.350066758,-0.8090740063,-2.2693012292,-0.7313918552
SRX5694410,-2.1257659861000002,-0.1458649079,-0.1972134109,0.5205305132
SRX5694411,-3.8770802637,-2.0415234224,-0.8663395759,1.2752649621
SRX5694412,-1.5260061486,-0.659887548,0.1259657223,-0.8681426453000001
SRX5694413,-6.7542044335,0.4799985881,-0.6476176532,0.0039227364
SRX5694414,-15.3646989722,-0.31679750760000003,-1.42088019,0.1272974469
SRX5694415,0.5258913729,0.27390051990000003,0.007690172800000001,-1.0048620916
SRX5694416,0.0298368309,-0.033634166300000004,0.0575483496,-0.0255081624
SRX5694417,-1.2486183139,-0.5638636078,0.2665585241,-0.37877042
SRX5694418,-14.5054259695,-1.8224324895000001,-1.9463157999,-0.8464666129
SRX5694419,-4.9183546789,-1.3962672912,-1.5689931018,-0.3984785491
SRX5694420,-0.1345959541,-0.2771421813,-0.0638843971,-0.302497715
SRX5694421,-3.7454604806000003,-1.1395364436,-0.6176702001000001,-0.6099977714
SRX5694422,2.045112674,-0.3338304918,-0.058214080700000004,-0.068855287
SRX5694423,-5.4409137823,-0.9062795520000001,-0.3208467193,-0.5813589195000001
SRX5694424,-4.226841854,-1.7640349165,-0.3043319677,-0.4586027053
SRX5694425,0.2843894938,0.09588296190000001,0.2263080572,-0.8332605673
SRX5694426,-1.7806202703,0.6889457954,-0.6604587882,-0.7600289733000001
SRX5694427,1.0524705368,0.201531059,0.1652363888,-0.3639876078
SRX5694428,3.538729543,0.7935342471,0.073808526,-0.6349855048
SRX5694429,-7.0685915056,-2.3735990209,-1.4421129371,1.262363916
SRX5694430,1.6577095173,0.4805643187,0.0124821121,-0.5589086929
SRX5694431,-3.7194743296,-0.44511706360000003,-0.0624036472,-0.11194467350000001
SRX5694432,-3.6738830053,-1.4881682937,-0.3304413054,-0.576840738
SRX5694433,-8.2307721174,0.809310898,-0.8187488844,0.38963961950000003
SRX5694434,-9.6043542332,-1.0015738954,-0.6212632720000001,-0.3241111343
SRX5694435,-15.6330394376,-1.0517489112,-2.0377494386,-0.25701469
SRX5694436,-13.5486968123,-1.0017446968,-2.3919325405,-1.3601739322
SRX5694437,-4.416553547,-1.1404477775,-0.2507206522,-0.0437337862
SRX5694438,0.5018081283,-0.1334971584,0.07346573220000001,-0.8291054388
SRX5694439,-14.3641234777,-2.7716749012,0.3143882568,-0.51258285
SRX5694440,-0.6439141802,-0.4552264918,0.1617989176,-0.37249924100000004
SRX5694441,-8.1164523923,-0.6779271994,-0.4081937196,-0.230511501
SRX5694442,-13.9254262807,-1.5098097381,-1.7002395932,-0.8200548711000001
SRX5694443,1.1133592881,-0.0073425985,0.1538530863,-0.4406184697
SRX5694444,1.1468152061,0.1365912812,0.1414549701,-1.0535215027
SRX5694445,-11.8082876215,-2.3462058997,-1.7943494913,-0.6204594402
SRX5694446,-5.3582966927,-1.939084136,0.2193526747,-1.0780453714
SRX5694447,2.1316282482,0.711771616,-0.3849941899,-0.2826101176
SRX5694448,-4.8493851302,1.2095664144,-0.732440443,0.3674181562
SRX5694449,0.3558867714,-0.05598850700000001,0.1017285234,-0.5328863570000001
SRX5694450,-2.8578805206,-0.1211198342,-0.2163555027,-0.4055443481
SRX5694451,1.4016893212000001,0.3403391262,-0.1832599433,-0.6397645289
SRX5694452,-9.3274947739,-2.1712154942,-0.9702752261,0.7842886771
SRX5694453,-5.2619612813,1.0011061857,-0.7029806271,0.0852071991
SRX5694454,0.3598124938,0.31130190900000004,0.2689052974,-0.18555417640000002
SRX5694455,-6.8096906779,-1.3679505427,-1.7485042558,-0.3648115819
SRX5694456,0.3059329254,-0.0702659653,0.2638014382,-0.5856403514
SRX5694457,-2.5114473897,-0.4124876032,0.1813226141,-0.6155918729000001
SRX5694459,-5.7330115499000005,-1.0489628886,-0.0659537084,-0.8278137878
SRX5694460,-14.7397930389,-1.2477014174,-2.6935232182,-0.346563681
SRX5694461,-1.8311072783000002,-0.5038823663,-0.24608755940000002,-0.6241635859
SRX5694462,-5.2264625156,-1.2930389936,-1.4072956342,-0.7549218009
SRX5694463,-0.5549345272,-0.1152252389,0.13500124700000002,-0.5317721226000001
SRX5694464,-0.4381728139,-0.0770431459,-0.16266356510000002,-0.42569096170000004
SRX5694465,-4.1798512026,-1.6804345649,-0.08100398930000001,-0.7787333394
SRX5694466,-2.037551257,-1.1011843202,-0.0203257193,0.2849311861
SRX5694467,-2.4260172493,-0.5832308298000001,-0.0864598209,-0.6791321378
SRX5694468,-13.2367219834,-3.289173059,0.09512308080000001,-0.5489293682
SRX5694469,0.0063112938,-0.0297903591,0.056592892000000006,-0.4651611836
SRX5694470,0.36987186980000003,-0.0066188147000000004,-0.0203162279,-0.0026546786
SRX5694471,-1.1395187739,0.16568786600000002,0.08127249760000001,-0.4027529064
SRX5694472,-3.0871917146,0.2514310187,-0.42764759150000003,-0.2620807039
SRX5694474,-2.6961469126,-0.8757877521,-0.3318785326,-0.1322773285
SRX5694475,-0.4396788387,-0.5399423257,-0.1072682971,-0.24219310500000002
SRX5694476,3.0796307284,1.2222642748,0.2832759084,-0.8656861585000001
SRX5694477,-11.261213254,-1.3510885745,-2.220698214,-0.0965249888
SRX5694478,0.6020094731,-0.1961277684,-0.324421403,-0.6125686037
SRX5694479,-8.8345122622,-1.3233319262,-2.078741852,-0.6780251964
SRX5694480,-5.2525979401,-0.0589782201,-0.8986833081000001,-0.3036139091
SRX5694481,1.4109630455,0.38579451740000004,-0.39061972300000003,-0.32311821100000004
SRX5694482,-1.8376795975,-1.0625315041,0.5302146851,-0.6472823522000001
SRX5694483,0.0390228064,-0.3613205257,-0.0648156579,-0.6886665677
SRX5694484,0.392201521,0.5890638775,-0.2015433442,-0.8571132198
SRX5694485,-0.0966892708,0.0445678266,0.0561230447,0.1284023329
SRX5694486,0.5753210395,0.0900184676,0.1840419059,-0.4840414957
SRX5694487,0.2648080994,-0.5137278003,-0.0687134662,-0.5855811282
SRX5694488,-2.3021095363,-1.2613936528,-0.0029101905,-0.6483210227
SRX5694489,-3.4374751961,-1.5231859120000002,-0.2414092729,-0.7268829535
SRX5694491,-7.3143623022,-1.9494701943,-1.3992598427,-0.6520774905000001
SRX5694492,-6.4931289159,-1.2479321767,-1.4757436121,-0.5106188083000001
SRX5694493,-6.2500009976,-1.6105789312,-1.5239909109,0.24239025290000002
SRX5694494,-4.1297303067,-0.7555479898,-0.5778881676000001,-0.117810119
SRX5694495,-1.093740259,-0.1701382635,0.2383405456,-0.17484840610000002
SRX5694496,-1.3807126012,-0.5261403880000001,0.2231626615,-0.37866698060000004
SRX5694497,-4.3706465543,-1.7287270084,-0.6145709097000001,-0.2466820523
SRX5694498,-1.5276079879,-0.133908034,0.0065499987,-0.44428095980000004
SRX5694499,-1.3765764545999999,0.6325432931,-0.2166458346,0.7972235026000001
SRX5694500,-2.5625141315,-1.3249616251,-0.6082655704000001,-0.6681049898
SRX5694501,0.49220321170000003,-0.6287785555000001,0.012213341,-0.6444253488
SRX5694502,-4.451991695,0.14442249370000002,-0.8489028276,1.3237205784000001
SRX5694503,-10.975523409600001,-1.7315377351999999,-1.5276697252,-0.7269781167
SRX5694504,-0.7682197079,-0.15700983070000002,0.23647347670000002,-0.419732614
SRX5694505,-16.3031883971,-1.5335874605000002,-2.8546736802,-1.20391518
SRX5694506,-3.8728676691,0.7963597683,-0.6676717403,0.3177096072
SRX5694507,-1.1189936172,-0.4382937449,0.10364661430000001,-0.3527548835
SRX5694508,-3.4358324963999998,-0.2944334417,-0.8174938777,-0.5273337604
SRX5694509,-4.2214663712,-1.4710852674,-0.1972418484,-0.09956798480000001
SRX5694510,-1.6660840060000002,-0.9013230433,-0.2550231206,-0.5793740741
SRX5694511,-0.08773927890000001,-0.0558606601,-0.1637807405,-0.6560487783
SRX5694512,-6.7690880384,-2.0603129429,-1.3135012281,-0.8122972091
SRX5694513,-5.9895476409,-0.686848613,-1.2176583871,-0.5523283406
SRX5694514,-14.308323743,-1.4822894514,-2.7449780099,-0.4941901373
SRX5694515,0.6111088244,0.33906828380000004,0.1674650962,0.018631723200000002
SRX5694516,-11.3451161371,-3.3158149391,0.7184192778,-0.5160877503
SRX5694517,-0.6918499409000001,0.48314597000000004,-0.0899811296,-0.7014788256000001
SRX5694518,-0.0134897249,0.022216398000000002,-0.0284053616,-0.5921202789000001
SRX5694519,-3.6888734176,-1.0901019175,-0.4440190169,-0.6426764761
SRX5694520,-1.0264334402,1.0361232264,-0.3742459546,0.8100192573
SRX5694521,-1.6385343212999999,-0.5428427135,-0.0823108953,-0.6810660943
SRX5694522,1.2659493759,0.5613163324,0.19009073370000001,-0.44490424640000004
SRX5694523,0.43247583430000003,0.0113283728,0.1230572979,-0.8069696731
SRX5694524,-3.7042110039000002,-1.8979031244,-0.3090692798,-0.8317090932000001
SRX5694525,-0.6803099788,-0.315882439,0.1271493457,-0.48981127210000003
SRX5694526,-0.14342815150000002,-0.7515631112000001,-0.057352962300000004,-0.7361761565
SRX5694527,-4.3269385578,-2.3161740406,-0.7911037301,-0.7635762723
SRX5694528,-10.1498098531,-1.2518674739,-2.2550692285,-0.673219145
SRX5694529,1.07202655,0.1943309392,0.09459037740000001,-0.6117182999
SRX5694530,-2.1931157081,-0.28252332680000003,-0.3417330189,0.8249116608
SRX5694532,-4.6576440214,-1.4855275064,-0.7655932475,-0.1835209761
SRX5694533,1.9536435851,2.5706311851,-0.8230648089,1.2297299564
SRX5694534,-6.6836085095,-2.3103310422,-1.0244460877,0.8964491817
SRX5694535,-0.62750805,0.5217377494000001,-0.3020521984,0.6051719506000001
SRX5694536,-0.9360833906,-0.7526296701,0.0940214917,-0.7366201193
SRX5694537,-1.068920112,-0.1918309937,0.0455558508,-0.6509915197
SRX5694538,0.6063822990000001,0.5649859236,0.22416250880000002,-0.3619950656
SRX5694539,-0.22210158030000002,-0.6557199217,-0.4554145486,-0.48443834680000003
SRX5694540,-5.4460744636000005,-1.3472006694,-0.9496879326000001,-0.5860169708
SRX5694541,-0.9365250038,0.2089918606,-0.14394191280000002,-0.4899706324
SRX5694543,-14.184532301600001,-3.4220760008,0.257330798,-0.6916261842
SRX5694544,-2.7530329351000002,-0.8751645247000001,-0.3373228733,-0.7723148823
SRX5694545,0.6376785580000001,-0.2043324111,0.035948117,-0.9345604604000001
SRX5694546,0.4575325209,-1.4734865407,-0.3182627866,-0.7274115978
SRX5694547,0.27507141020000003,0.49533605700000005,-0.1118469182,-0.3357729393
SRX5694548,-0.39970870070000003,0.040252981,-0.0372321217,0.028162841
SRX5694550,-7.0690517549,-0.9494703486,-0.4922607946,-0.7346413894
SRX5694551,-3.9143402726,-0.2098398975,-0.4416388787,0.4764316374
SRX5694552,-1.1452337692,-0.35364098,0.0105278607,-0.7448938301
SRX5694553,-0.0178490971,-0.0165784928,0.2876777482,-0.3273924877
SRX5694554,-1.3382990681,-0.7999100124,-0.1645882529,-0.4181937543
SRX5694555,-3.6869487538,-1.02371112,-0.8421746734000001,-0.2452545928
SRX6072760,-8.6290123362,-2.5685507682,-0.7797289048,-1.0870508238
SRX6072761,-9.8958307582,-2.7289255974,-0.9412126322000001,-0.9961289279000001
SRX6072762,-6.3679107959,-1.9794169228,-0.555678611,-0.771228957
SRX6072763,-4.4709873428,-1.6787385102,-0.38526479500000005,-0.2988503818
SRX6072764,-11.6828472211,-2.8622168289000003,-1.0984957077,-1.3060500737
SRX6072765,-6.1088564132,-2.2779848234,-0.4458656036,-0.4698493415
SRX6376491,-3.8551319489,-0.0888849403,-0.23661516940000002,-0.431836726
SRX6376492,-15.444814937,-1.6170941251,-1.8181327083,-0.2479315403
SRX6376493,-16.4842160988,-1.5401438525,-2.037821897,-0.3208997619
SRX6376494,-18.247460285,-0.40802308600000003,-2.2059426753,-0.5793796718
SRX6376495,-4.2962725028,-0.033258275000000004,-0.4792645071,-1.0214167472
SRX6376496,-2.9768018894,-0.23474336,-0.054275376300000004,-0.3290600459
SRX2723951,7.3923717152,0.9298826547000001,1.2971935035,0.6598914536
SRX2723952,12.8269529484,2.3920999259,2.020927993,0.9832884074
SRX2723953,4.4170970389,0.7796431589,0.5760517667,0.8721664519000001
SRX2723954,21.8861262512,4.6339986229,2.383091682,2.1359526484
SRX2723955,14.1444914584,2.2085047252,1.2512872247,0.2737678919
SRX2723956,3.5597096517,0.6081854193,1.4331106707,0.695521326
SRX2723957,1.5352859634,-0.075590263,0.1517886605,0.0027797833
SRX2723958,-3.62257907,-0.1884278893,-0.2646015759,0.40495222070000003
SRX2723959,2.6813275339000002,-0.0062003145,0.256464884,0.060148937000000006
SRX2723960,9.0883668026,0.8550558987,0.9591927252,0.5717783675
SRX2723961,19.8019105439,4.3954222681,2.5388323397,2.013377032
SRX2723962,6.6805601628,0.7561578223000001,0.9744724369000001,0.5681472350000001
SRX2723963,-0.9792459593,0.1157273618,-0.30103145470000003,0.010549156700000001
SRX2723964,17.0620573379,3.1061136151,1.2020478367,0.4934227188
SRX2723965,8.0473578206,0.7470376524,0.7380002376,0.5664943758000001
SRX2723966,2.3069097054,0.235119515,0.0829169912,0.0090813135
SRX2723967,-1.0686448947,-0.0418943622,-0.075921268,-0.0779921871
SRX2723968,-1.2382648107,-0.1932251528,-0.006995723200000001,0.0689108736
SRX6977206,-10.4788901245,-3.1093720347,-0.2546401567,-0.2660637843
SRX6977207,-10.0992436742,-3.2582414808999998,-0.30518404320000003,-0.1977449234
SRX6977208,-1.289400078,0.5370750913,-0.5181824078,-0.8011750807
SRX6977209,-2.2813958075,0.1879671856,-0.675081557,-0.7229537595000001
SRX6977210,-2.4344501049,-0.1174252767,-0.7835359689,-0.7316805148000001
SRX6977211,-0.1305175116,-0.2570240028,0.2440588662,0.24226025480000002
SRX6977212,0.47291950530000004,0.1041545776,-0.0309117965,0.035584912600000004
SRX6977213,-0.3424019936,0.1528694252,-0.21314706960000002,-0.27784516740000004
SRX6977214,-11.0905931343,-3.5578903598,-0.39514538390000004,-0.45637460430000004
SRX1153733,-0.3651814801,0.0657034387,0.1831441383,-0.0047153767
SRX1153734,0.3651814801,-0.0657034387,-0.1831441383,0.0047153767
SRX1153735,-3.6938405714,0.1302856097,-0.1003374077,-0.642745039
