,A,CodY,TnrA,ThrR,CcpA,SigA
G180_3,-57.9696195847,0.3793333333,-1.5469666667,0.40740000000000004,-0.6501333333,0.0162333333
C30_1,-17.854095265,0.6829333333000001,-0.5520666667,0.24080000000000001,-0.7088333333,0.45133333330000003
C30_2,-16.5828795457,1.1009333333,-0.5855666667,0.533,-0.4710333333,0.4866333333
C90_1,2.1735682691,-0.6184666667000001,0.2423333333,0.107,-0.6564333333,0.4576333333
C90_2,4.2485409172,-0.5764666667,0.5695333333,0.3412,-0.3997333333,0.5262333333
BI_1,-6.750776351,0.2583333333,0.1721333333,0.3763,0.013466666700000001,0.5050333333
BI_2,-8.1749507229,0.4383333333,0.0282333333,0.5571,0.0068666667,0.7180333333000001
BC_2,7.6389729786,-0.6156666667,1.2376333333,0.0198,-0.6377333333,1.0966333333
BC/t_1,8.1777239464,-0.6775666667,0.5483333333,-0.5902000000000001,-0.9039333333,0.9815333333
BC/t_2,2.7011322942,-0.6821666667,1.2954333333,-0.1077,-0.7770333333,1.0916333333
BC_1,7.6167642713,-0.9672666667,0.4123333333,-0.6661,-1.1451333333,0.5115333333000001
Sw_1,14.7610483878,-0.9667666667,-0.2830666667,-0.21050000000000002,-0.8632333333000001,1.0459333333
Sw_2,12.7254529228,-0.6038666667,-0.0333666667,0.0436,-0.5575333333,1.0478333333
BT_1,-3.261585259,0.9242333333,1.6720333333,-0.4601,-2.3656333333,0.5767333333
BT_2,-3.1174165239,0.40233333330000004,0.9551333333,-1.1467,-2.6984333333,-0.0334666667
B36_1,4.9277594741,0.6444333333000001,-1.6594666667,0.4383,-2.4830333333,0.0932333333
B36_2,3.3913699916,0.36813333330000003,-1.5413666667,0.1517,-2.1281333333,-0.2855666667
B60_1,1.2132773394,-0.0261666667,-0.8432666667000001,0.0903,-2.6098333333,-0.8806666667
B60_2,0.7876824463000001,-0.5102666667,0.5782333333,-0.49420000000000003,-2.4480333333,-1.4178666667
M9exp_1,0.0652278765,0.3317333333,0.2662333333,0.2508,0.3660666667,0.4500333333
M9exp_2,-0.7072034381,-0.10326666670000001,0.0051333333,-0.0367,-0.0714333333,0.0428333333
M9exp_3,0.6419755616,-0.22846666670000002,-0.27136666670000004,-0.2141,-0.2946333333,-0.4928666667
M9tran_1,-2.2249703927,-0.1239666667,-0.3344666667,-0.4093,-0.8617333333,-0.5197666667
M9tran_2,-3.0386512235,0.2476333333,-0.09496666670000001,-0.48860000000000003,-0.8056333333,-0.4929666667
M9tran_3,-1.63575281,-0.23476666670000002,0.15303333330000002,-0.431,-0.5131333333,-0.2826666667
M9stat_1,-11.396439291,-1.4780666667,-0.4963666667,-2.0129,-2.9123333333,-2.3677666667
M9stat_2,-11.8346281894,-2.5301666667,-0.7459666667,-2.3439,-3.0780333333,-2.5926666667
M9stat_3,-11.3279901968,-2.8394666667,-0.8518666667,-2.6069,-3.3521333333,-2.8581666667
M+G_1,-2.7875636265,-0.0016666667,-0.9493666667,-0.007,-0.3309333333,-0.2651666667
M+G_2,-3.3932445320999998,0.0736333333,-0.1411666667,0.1694,-0.3261333333,-0.0698666667
M+G_3,-2.2319897705,-0.0323666667,-0.5231666667,0.11,-0.1932333333,0.0202333333
Glu_1,-0.8699934828,0.12633333330000002,0.5384333333,0.5291,-0.0041333333,0.0385333333
Glu_2,-0.1762386283,0.0865333333,0.0285333333,0.6065,-0.26383333330000003,0.1411333333
Glu_3,-0.15152841350000001,0.2249333333,0.3304333333,0.48040000000000005,-0.2677333333,0.2310333333
Fru_1,2.6271838228,0.5371333333,0.11003333330000001,0.5603,-0.1518333333,0.5758333333
Fru_2,0.3801637332,0.4853333333,0.3695333333,0.6345000000000001,-0.1429333333,0.6035333333
Fru_3,-0.5026433251,-0.4534666667,-0.2005666667,0.0074,-0.6262333333,-0.3261666667
Mal_1,-1.3416629207000002,-0.1021666667,-0.8423666667,-0.2356,-0.5104333333000001,-0.033066666700000004
Mal_2,-1.9847354457000002,-0.010866666700000001,-0.3733666667,-0.4792,-0.1049333333,0.1433333333
Mal_3,-2.5667214171,0.0461333333,-0.5181666667,0.0641,-0.035533333300000004,-0.0349666667
G+S_2,-3.5463187403000003,0.2603333333,-0.6977666667,-0.0281,-0.9679333333000001,0.4199333333
G+S_3,-2.9262655892,0.5179333333,0.09943333330000001,0.0488,-0.4717333333,0.1964333333
Pyr_1,-0.7028447809,-0.5014666667000001,0.1223333333,-0.6931,-1.3967333333,-1.0976666667
Pyr_2,-0.8537933064000001,0.2378333333,0.0784333333,0.0599,-0.8257333333,0.0542333333
Pyr_3,-1.6474808036000002,-0.21786666670000002,0.09363333330000001,-0.3453,-1.1563333333,-0.4892666667
Gly_1,2.6291190432000002,-0.6988666667,-0.6181666667,-1.0123,-2.0904333333,-0.9769666667
Gly_2,3.6905505080000003,0.2958333333,-0.6555666667000001,0.0863,-1.3269333333,0.1869333333
Gly_3,-1.4879729437,-1.2417666667,-1.4243666667000001,-1.6649,-2.8181333333,-1.3730666667
Glucon_1,-1.7491039201,-0.9414666667,-0.1996666667,-0.8478,-1.4926333333000001,-0.7808666667
Glucon_2,-0.12137385910000001,-0.4582666667,0.1856333333,-0.1787,-0.7711333333,-0.4182666667
Glucon_3,-6.5164685322,-1.6474666667,-0.7617666667,-1.1632,-1.6042333333,-1.2729666667
aero_1,-11.8069860604,0.7939333333,0.1143333333,1.2424,0.30466666670000003,0.6217333333
aero_2,-5.7848022803,-0.4833666667,-1.4013666667,0.1471,-1.0207333333,-0.4162666667
aero_3,-7.5316959379,0.5541333333,-0.3901666667,1.1402,-0.1256333333,0.5514333333
nit_1,-14.1310091103,0.8141333333,-0.3282666667,0.0152,-1.0715333333000001,0.053733333300000005
nit_2,-11.7783768197,0.8845333333000001,0.15353333330000002,0.29860000000000003,-0.8992333333,0.0560333333
nit_3,-13.0782908907,0.6001333333000001,-0.3592666667,0.0261,-1.1826333333,-0.2976666667
ferm_1,-16.2062925316,0.7288333333,-0.4612666667,-0.47900000000000004,-1.4285333333,-0.1811666667
ferm_2,-12.4975279191,0.6373333333,-0.6505666667000001,-0.25980000000000003,-1.4323333333,-0.0399666667
ferm_3,-16.1096033742,0.9017333333,-0.11626666670000001,0.423,-1.2167333333,0.5924333333
T-5.40H_1,-0.6495186208,-0.1658666667,0.7436333333,0.5084000000000001,-0.0978333333,0.2856333333
T-4.40H_1,-0.23830031370000002,-0.2217666667,0.7216333333,0.5561,-0.2399333333,0.4948333333
T-3.40H_1,-0.4010474034,-0.29306666670000003,1.5564333333,0.3497,-0.2826333333,0.2287333333
T-2.40H_1,-0.4362864171,-0.4307666667,1.3614333333,0.033600000000000005,-0.5501333333,0.0729333333
T-1.40H_1,-0.0308192298,-0.7269666667,2.6909333333000003,-0.1101,-0.6770333333,0.0468333333
T-1.10H_1,-2.3290554173,-0.4877666667,2.8417333333,-0.0039000000000000003,-0.7866333333000001,0.19213333330000001
T-0.40H_1,-0.316878914,-0.5649666667000001,3.7892333333,-0.1568,-0.6464333333,-0.30466666670000003
T0.0H_1,-0.5402048725,-0.6845666667,3.3820333333,-0.3759,-0.6839333333000001,-0.3593666667
T0.30H_1,-17.5303436252,-2.0003666667,2.8670333333,-2.5168,-1.4412333333,-1.0119666667
T1.0H_1,-13.0063818083,-2.1136666667,1.8261333333,-1.9899,-1.7343333333,-1.1535666667
T1.30H_1,-10.8053784551,-2.2584666667,1.4885333333,-2.1562,-1.9537333333,-1.2814666667
T2.0H_1,-6.6364347103,-2.1726666667,1.1273333333,-1.4502000000000002,-2.0762333333,-1.3330666667
T2.30H_1,-3.0093723393,-1.2429666667000001,1.5373333332999999,-0.37460000000000004,-1.2276333333,-0.7498666667
T3.0H_1,-2.1252892374,-1.4679666667,0.9006333333000001,-0.8364,-1.8427333333,-1.1512666667
T3.30H_1,-1.3482619184,-1.0899666667,0.9397333333000001,-0.4707,-1.6416333333000002,-1.2810666667000001
T4.0H_1,-1.0048487324,-0.6327666667,0.7137333333,-0.3516,-1.6977333333,-1.7384666667
T5.0H_1,-1.5689759624000001,-1.1314666667,0.2628333333,-1.039,-2.4108333333,-2.0764666667
HPh_1,-7.6624207945,0.7531333333,-0.8891666667,1.0587,0.2283666667,0.5045333333
HPh_2,-7.1701062325,0.43313333330000003,-0.9435666667,0.962,-0.1665333333,0.39183333330000003
HPh_3,-7.7655006983,0.7686333333,-0.6680666667,1.1981,0.0523666667,0.49003333330000004
LPh_1,-9.3131697538,0.8666333333,-0.9020666667,0.8202,0.2075666667,0.5711333333
LPh_2,-8.9410972598,1.0883333333,-0.6150666667,1.6459000000000001,0.6828666667000001,1.1716333333
LPh_3,-9.7253469151,0.9384333333,-0.8643666667000001,1.2188,0.1566666667,0.6312333333
LPhT_1,-9.8154327434,0.0767333333,-0.6805666667,-0.5038,-1.5006333333000001,-0.2227666667
LPhT_2,-7.9526211583,0.16513333330000002,-0.9104666667,-0.3257,-1.7217333333,-0.3203666667
LPhT_3,-7.8162757464,0.5224333333,-0.7811666667,-0.0906,-1.4855333333,-0.1312666667
SMMPr_1,-2.796949792,0.0340333333,-0.1653666667,-0.27940000000000004,-0.7401333333,0.5559333333
SMMPr_2,-3.2525897383,0.2224333333,-0.3426666667,0.039900000000000005,-0.6279333333,0.5471333333
SMMPr_3,-3.243672674,0.32423333330000004,-0.2956666667,0.031,-0.5517333333000001,0.5252333333
HiTm_1,-2.2632122345,0.3376333333,-1.4256666667,-0.1453,-0.6587333333000001,0.6267333333
HiTm_2,-2.5978329841,0.1063333333,-0.5231666667,-0.006200000000000001,-0.44313333330000004,-0.1802666667
HiTm_3,3.6611139645,0.14723333330000002,0.1657333333,-0.0758,-0.5072333333,0.0995333333
LoTm_1,-0.7649017467,0.7313333333,1.2826333333,1.1759,-1.5815333333,-1.1258666667
LoTm_2,1.0794265668,0.4385333333,0.9664333333,0.7355,-2.2269333333,-1.2631666667
LoTm_3,-0.1313766666,0.44363333330000004,0.8078333333000001,0.6544,-1.7933333333,-1.2358666667
HiOs_1,5.2323168181,-0.1748666667,0.3371333333,0.46530000000000005,-0.9496333333,-0.2702666667
HiOs_2,5.4351176276,-0.2750666667,0.0981333333,0.21660000000000001,-1.1100333333,-0.3356666667
HiOs_3,5.0658788394,-0.0958666667,0.0833333333,0.39940000000000003,-0.8620333333,-0.2142666667
BMM_1,-1.7488000949,0.1449333333,-0.3018666667,0.40080000000000005,-0.0286333333,-0.0417666667
BMM_2,-1.0418792801,-0.1474666667,-0.43616666670000004,0.3144,-0.2826333333,-0.1710666667
BMM_3,-4.3218979238,0.1697333333,-0.6040666667,0.4753,-0.030633333300000003,0.0546333333
Heat_1,-7.3128868401,0.7598333333,-0.2028666667,0.26990000000000003,0.3770666667,-0.2581666667
Heat_2,-6.1795292575,0.5375333333,-0.5292666667,-0.149,-0.1155333333,-0.49306666670000004
Heat_3,-9.1409838961,0.38173333330000003,-0.9021666667,-0.2565,-0.4438333333,-0.5707666667
Cold_1,-11.0120772396,-0.0469666667,3.4216333333,2.2341,-0.8104333333,1.3287333333
Cold_2,-10.4055501376,-0.5773666667,2.7079333333,1.8671000000000002,-1.4657333333,0.6937333333
Cold_3,-12.3880959869,-1.0631666667,1.5536333333,1.262,-1.8767333333,0.2647333333
Etha_1,-5.2361083549,-1.2121666667,-1.9021666667,-1.344,-2.9229333333,-0.6342666667
Etha_2,-10.4418281778,-1.3622666667,-2.0973666667,-1.5779,-3.0761333333,-0.7672666667
Etha_3,-5.5359946877,-0.9567666667,-2.1009666667,-1.335,-2.6920333333,-0.5228666667
SMM_1,-0.4661659802,-0.058766666700000005,-0.1025666667,0.058,-0.5197333333,0.0136333333
SMM_2,0.113393663,-0.0841666667,0.0733333333,0.0424,-0.5385333333,-0.07516666670000001
SMM_3,0.13462210600000002,-0.13696666670000002,0.2133333333,0.0687,-0.41753333330000003,0.0329333333
Salt_1,-2.5076157591,-0.040366666700000005,-0.9025666667000001,-0.45380000000000004,-1.4422333333,-0.0103666667
Salt_2,-2.5702190798,0.0262333333,-1.2753666667,-0.49350000000000005,-1.6171333333,-0.1629666667
Salt_3,-2.6931407456,0.005033333300000001,-1.2147666667,-0.323,-1.2852333333,0.0982333333
Mt0_1,-40.1046861305,0.7123333333,-1.1991666667,-0.1194,0.1650666667,0.6742333333
Mt0_3,-47.399857037,0.5640333333,-0.9919666667,0.26880000000000004,0.6184666667000001,0.5918333333
M0t45_1,-15.7630965743,0.5846333333,-0.8214666667,-0.09240000000000001,-0.3488333333,0.6627333333000001
M0t45_2,-32.069058487,0.8269333333000001,-0.7571666667,0.45270000000000005,-0.1589333333,0.6930333333
M0t45_3,-25.3372628748,0.9258333333000001,-0.2859666667,0.1462,-0.0015333333,0.7735333333000001
M0t90_1,-11.6973007502,-0.1011666667,-0.7831666667,-0.9386,-1.3395333333,-0.8367666667
M0t90_2,-21.3243509,0.9578333333000001,0.6093333333000001,-0.26,-0.3878333333,0.2521333333
M0t90_3,-10.0750863721,0.4080333333,0.1639333333,0.016800000000000002,-0.8612333333000001,-0.1758666667
M40t45_1,-16.8812016115,0.3068333333,-1.5631666667,-0.1562,-0.5021333333,0.1509333333
M40t45_2,-17.657532658,-1.4214666667,0.2595333333,0.14780000000000001,-0.1534333333,0.5476333333
M40t45_3,-26.2314537362,0.9236333333000001,-0.0174666667,0.5305,0.1338666667,0.6054333333
M40t90_1,-10.3723360258,-0.1304666667,-0.7603666667000001,-0.75,-0.9429333333000001,-0.45386666670000003
M40t90_2,-19.7867059737,0.6190333333,0.23193333330000002,-0.223,-0.3078333333,-0.3858666667
M40t90_3,-14.7520482377,0.2395333333,0.1841333333,0.35760000000000003,-0.2338333333,0.1024333333
dia0_1,-41.9554767366,0.4968333333,-1.4471666667,0.023700000000000002,0.08816666670000001,0.20543333330000002
dia0_2,-39.8770055213,0.4000333333,-0.9167666667000001,0.2928,0.3181666667,0.34443333330000003
dia0_3,-34.6430347618,0.6679333333,-0.6245666667,0.5541,0.2860666667,0.7850333333
dia5_1,-20.9107801593,-0.9564666667,-1.5206666667,0.1178,-0.5191333333,-1.0404666667
dia5_2,-26.5744929845,-1.0562666667,-0.8277666667,0.5233,-0.3673333333,-1.0363666667
dia5_3,-26.4186779053,-1.0662666667,-1.0805666667,0.1666,-0.0649333333,-0.8109666667000001
dia15_1,-48.36334504,0.7762333333,-1.6847666666999999,1.2484,0.7606666667,0.1478333333
dia15_2,-47.1948231924,1.7317333333,-0.7659666667,1.3471,0.6367666667,0.9208333333000001
dia15_3,-31.3089007234,0.5916333333,-1.4475666667,0.0386,-0.8693333333000001,-0.2680666667
Diami_1,-28.6744215322,-0.1642666667,-1.8072666667,-0.1525,0.3281666667,-1.1459666667
Diami_2,-30.7937086827,0.2968333333,-1.8726666667,0.5865,0.6599666667,-0.5841666667000001
Diami_3,-36.8478616162,0.3185333333,-1.4467666667,0.2738,0.7382666667000001,-0.6146666667
Paraq_1,-52.2370207125,0.7100333333000001,-0.8052666667,1.0724,0.5350666667,0.7408333333
Paraq_2,-54.0032120826,1.4029333333,-0.5367666667000001,1.6807,0.9955666667,0.9730333333000001
Paraq_3,-52.8133455873,-0.08866666670000001,-1.9310666667,0.0557,-0.6105333333,-0.43976666670000003
H2O2_1,-59.2646794617,1.2182333333,-1.3228666667,0.9181,0.6727666667000001,0.4620333333
H2O2_2,-59.2189504388,1.5224333333,-0.6339666667,1.3611,0.8973666667,0.6901333333
H2O2_3,-58.8242569232,1.2072333333,-1.1424666667,1.0553,0.6261666667,0.4272333333
Oxctl_1,-48.7818870539,0.5088333333,-0.8824666667000001,0.6435000000000001,0.056366666700000005,0.3683333333
Oxctl_2,-47.9535306654,0.4641333333,-1.1722666667000001,0.40240000000000004,0.30516666670000003,0.2219333333
Oxctl_3,-52.2343293946,1.3229333333,-0.5681666667,1.2551,0.8312666667,0.9864333333
GM-0.1_1,0.0721483611,-0.2586666667,0.0760333333,-0.14650000000000002,-0.7555333333,-0.0725666667
GM-0.2_1,-1.0774114437,-0.41446666670000004,0.0714333333,-0.19890000000000002,-0.8528333333,-0.1156666667
GM+5_1,-0.2980063767,-0.4969666667,0.0531333333,-0.5012,-0.1512333333,-0.12016666670000001
GM+15_1,-1.7415553692999999,0.0374333333,0.0764333333,0.0903,0.2307666667,0.0400333333
GM+25_1,-0.1794037189,0.48243333330000004,0.4303333333,0.4806,0.9540666667000001,0.3367333333
GM+45_1,-1.2065291513,0.3940333333,0.4398333333,0.1506,0.4863666667,0.32523333330000004
GM+60_1,-0.27985894710000003,0.1352333333,0.0927333333,0.0925,0.3244666667,0.4418333333
GM+90_1,-2.3172705399,0.3315333333,0.33133333330000003,0.5495,0.2931666667,0.3171333333
GM+120_1,-4.0541291366,-0.9307666667000001,-0.5144666667,-0.42410000000000003,-0.5767333333,-0.6702666667
GM+150_1,-2.493523742,-0.2074666667,-0.3710666667,0.008,-0.0706333333,-0.0900666667
GM-0.1_2,3.7354791757,0.3190333333,0.4303333333,0.2605,-0.0340333333,0.2604333333
GM-0.2_2,1.8945034136,-0.0910666667,0.5693333333,0.2987,-0.0317333333,0.37923333330000003
GM+5_2,2.2438158342,-0.0827666667,0.1528333333,-0.1101,0.20246666670000002,-0.0136666667
GM+10_2,0.6353495461,0.0831333333,0.1687333333,-0.0839,0.0960666667,0.0517333333
GM+15_2,-0.7292899753000001,0.0547333333,0.1126333333,-0.2551,0.17326666670000002,-0.1918666667
GM+25_2,-1.6391589338,0.11053333330000001,0.0842333333,0.0085,0.5748666667,0.00043333330000000004
GM+45_2,-0.2998006096,-0.6961666667,-0.6792666667,-1.0526,-0.4344333333,-0.4550666667
GM+60_2,-1.3323547244,-0.7069666667000001,-0.6832666667,-1.1537,-0.5951333333000001,-0.6092666667000001
GM+90_2,-0.749838156,0.3314333333,-0.3306666667,0.5353,0.5115666667000001,0.2807333333
GM+150_2,-6.7412628183,0.2870333333,-0.5838666667,-0.8471000000000001,-1.1016333333,-0.7810666667
GM-0.1_3,1.0417915347,-0.0323666667,0.4833333333,0.1436,-0.3432333333,-0.0572666667
GM-0.2_3,3.4108937443,-0.0750666667,0.5443333333,-0.0,-0.3190333333,0.0636333333
GM+5_3,2.8455336734000003,-0.0708666667,0.2762333333,-0.0775,0.5315666667,0.09503333330000001
GM+10_3,1.328752293,-1.0189666667,-0.8055666667,-1.0785,-0.5870333333000001,-0.7991666667
GM+15_3,0.8680953048000001,-0.2944666667,0.08923333330000001,-0.4495,0.0928666667,-0.1754666667
GM+25_3,-0.9899319789000001,-0.6034666667,0.0358333333,-0.6451,0.0055666667,-0.3334666667
GM+45_3,-3.9584652807,-0.7559666667,-0.1662666667,-1.065,-0.0268333333,-0.6200666667
GM+60_3,-3.1729419871,-0.8748666667,-0.2369666667,-0.8048000000000001,-0.6423333333,-0.5594666667
GM+90_3,-1.616040693,-0.3216666667,0.0054333333,-0.2001,-0.0184333333,-0.0513666667
GM+120_3,-5.5431381245,0.1039333333,-0.5336666667000001,0.36920000000000003,0.0136666667,-0.0019666667
GM+150_3,-1.9321212963,-0.0854666667,0.0497333333,0.17950000000000002,0.11246666670000001,0.0067333333
MG-0.1_1,-1.8998537940000002,0.2058333333,0.1899333333,-0.0023,0.38076666670000003,0.1107333333
MG+5_1,0.7220962333000001,0.1287333333,0.3013333333,-0.3073,-0.4071333333,0.1254333333
MG+10_1,0.0688487091,0.5928333333,0.2684333333,0.43170000000000003,0.20426666670000002,0.4738333333
MG+15_1,-2.6454244625000003,-0.2204666667,-0.5491666667,-0.258,-0.6447333333,-0.3707666667
MG+25_1,-0.3972796261,0.3654333333,-0.0679666667,0.18610000000000002,-0.1118333333,0.26933333330000003
MG+45_1,-0.008081114,0.1703333333,-0.2546666667,-0.0966,-0.8328333333,0.0490333333
MG+120_1,0.3053923442,-1.2810666667000001,-1.1656666667,-0.8309000000000001,-1.3823333333,-0.39686666670000004
MG+150_1,-1.7795758583999999,-0.5825666667,-0.0171666667,-0.2119,-0.7635333333000001,-0.2510666667
MG-0.1_2,-0.6821594396,-0.7888666667,-0.8445666667,-1.1665,-0.33883333330000004,-0.6843666667
MG-0.2_2,0.9217721151,-0.1650666667,-0.3204666667,-0.2462,0.33236666670000004,-0.1482666667
MG+5_2,2.3820613417,-0.1424666667,-0.2116666667,-0.2817,-0.24473333330000002,-0.1624666667
MG+10_2,1.2433781937,0.1599333333,-0.2338666667,0.1534,-0.2008333333,0.20723333330000002
MG+15_2,-1.4337928058,0.7774333333,0.5223333333,1.0205,0.4967666667,0.9027333333
MG+25_2,-0.9612659313,-0.0606666667,-0.32476666670000004,-0.2381,-0.6521333333,-0.1571666667
MG+45_2,-0.2821490244,-0.5287666667,-0.8990666667,-0.5478000000000001,-0.9437333333000001,-0.6668666667
MG+60_2,0.5940580777000001,-0.06886666670000001,-0.4353666667,-0.34,-0.3360333333,0.033833333300000004
MG+90_2,1.1651118961,-0.42456666670000004,-1.1259666667000001,-0.661,-0.9501333333,-0.4441666667
MG+120_2,3.6289032105,-0.4087666667,-0.2977666667,0.1726,-0.8241333333,-0.0602666667
MG-0.1_3,0.36712930730000004,0.7161333333000001,0.6805333333,0.31870000000000004,0.9758666667,0.49413333330000003
MG-0.2_3,-0.6989345227,0.2439333333,0.3512333333,-0.2705,0.5773666667,0.1645333333
MG+5_3,0.6098507149,0.3040333333,-0.36866666670000003,-0.23850000000000002,-0.1247333333,-0.1720666667
MG+10_3,-2.015899954,-0.6101666667,-0.6159666667,-1.0927,-0.8029333333,-0.2909666667
MG+15_3,-0.8875961758,0.5644333333,0.3916333333,0.1102,0.0734666667,0.2964333333
MG+25_3,0.2025855404,0.5365333333,-0.07366666670000001,0.5131,-0.0658333333,0.18023333330000002
