,BSU_misc_RNA_23
LBtran_1,11.2064
LBtran_2,11.7406
LBtran_3,11.3625
LBstat_1,11.9924
LBstat_2,11.576
LBstat_3,10.9902
LBGexp_1,11.987
LBGexp_2,11.7875
LBGexp_3,12.8252
LBGtran_2,12.0473
LBGtran_3,12.5084
LBGstat_1,9.6976
LBGstat_2,9.4849
LBGstat_3,11.2022
Mt0_1,12.3967
Mt0_3,13.0708
M0t45_1,12.2667
M0t45_2,13.0906
M0t45_3,12.9218
M0t90_1,10.9596
M0t90_2,11.8863
M0t90_3,11.1783
M40t45_1,12.0777
M40t45_2,11.1309
M40t45_3,12.9164
M40t90_1,10.8588
M40t90_2,11.666
M40t90_3,11.8952
dia0_1,12.5301
dia0_2,12.9999
dia0_3,13.0867
dia5_1,11.9965
dia5_2,12.9369
dia5_3,12.9309
dia15_1,13.9595
dia15_2,13.9742
dia15_3,11.7227
C30_1,11.6184
C30_2,11.9932
C90_1,12.0285
C90_2,12.1278
SMM_1,12.1205
SMM_2,12.2105
SMM_3,12.2121
Salt_1,11.7941
Salt_2,11.714
Salt_3,11.7893
M+G_1,12.2876
M+G_2,12.6131
M+G_3,12.2692
Glu_1,12.8421
Glu_2,12.9844
Glu_3,12.8059
Fru_1,12.4241
Fru_2,12.9229
Fru_3,12.3018
Mal_1,11.5793
Mal_2,12.0265
Mal_3,12.0279
G+S_2,11.7245
G+S_3,12.0353
Pyr_1,11.1164
Pyr_2,11.9316
Pyr_3,11.4318
Gly_1,11.0379
Gly_2,11.3647
Gly_3,10.1862
Glucon_1,11.8329
Glucon_2,12.1083
Glucon_3,11.095
BI_1,11.5844
BI_2,11.4409
BC_2,10.5095
BC/t_1,10.4503
BC/t_2,11.0479
BC_1,9.2902
Sw_1,9.2693
Sw_2,10.1767
BMM_1,12.6648
BMM_2,12.2755
BMM_3,12.0754
Heat_1,12.9879
Heat_2,12.7724
Heat_3,12.584
Cold_1,13.6419
Cold_2,13.1345
Cold_3,11.9451
Etha_1,10.5626
Etha_2,10.7412
Etha_3,10.9001
SMMPr_1,11.0982
SMMPr_2,11.483
SMMPr_3,11.5029
HiTm_1,10.4082
HiTm_2,11.8901
HiTm_3,12.2126
LoTm_1,12.1717
LoTm_2,12.4903
LoTm_3,12.0706
HiOs_1,12.2881
HiOs_2,11.7122
HiOs_3,12.2898
Oxctl_1,12.7001
Oxctl_2,12.6701
Oxctl_3,13.2357
Diami_1,12.4196
Diami_2,12.8094
Diami_3,12.9438
Paraq_1,13.0512
Paraq_2,13.7022
Paraq_3,11.7926
H2O2_1,12.9348
H2O2_2,13.7392
H2O2_3,13.3226
HPh_1,12.6846
HPh_2,12.4555
HPh_3,12.7454
LPh_1,12.8938
LPh_2,13.2715
LPh_3,12.7024
LPhT_1,12.3572
LPhT_2,12.2259
LPhT_3,12.4364
aero_1,13.3252
aero_2,11.6858
aero_3,12.883
nit_1,12.2972
nit_2,12.4456
nit_3,11.8014
ferm_1,11.6858
ferm_2,12.4052
ferm_3,11.9338
