,b4193
efeU__menFentC_ale29__1,1.5442001041
efeU__menFentC_ale29__2,2.8105413548
efeU__menFentC_ale30__1,2.3523280067
efeU__menFentC_ale30__2,2.1983896158
efeU__menFentCubiC_ale36__1,1.2492081685
efeU__menFentCubiC_ale36__2,1.6784594627
efeU__menFentCubiC_ale37__1,1.346482817
efeU__menFentCubiC_ale37__2,2.0959545941
efeU__menFentCubiC_ale38__1,1.7890331823
efeU__menFentCubiC_ale38__2,2.0384663975
