,A,AbrB,SinR,SigA,RemA
C90_1,-6.1840553921,13.9003,11.6261,13.9492,13.8052
C90_2,-4.8133666831,13.9297,11.6818,14.0178,14.2332
BI_1,2.570323651,13.9855,12.0301,13.9966,14.2889
BI_2,2.5600586005,14.2291,12.3465,14.2096,14.2355
BC_2,-18.443310563,14.0215,13.1058,14.5882,13.973
BC/t_1,-15.2011778226,13.5928,12.553,14.4731,13.1508
BC/t_2,-13.6133243684,13.8926,12.795,14.5832,13.6297
BC_1,-15.523472177,13.344,12.4952,14.0031,13.4128
Sw_1,-20.9082780895,15.07,12.6208,14.5375,13.0173
Sw_2,-20.7706019958,14.7742,12.4249,14.5394,13.6836
BT_1,11.725963545900001,13.7292,11.8911,14.0683,13.0398
BT_2,11.4204038373,12.9448,11.528,13.4581,12.5572
B36_1,-1.3710038332,14.433,13.322,13.5848,13.7375
B36_2,-0.6362199944,13.6029,13.2123,13.206,13.5866
B60_1,-8.5215940193,13.8262,13.3565,12.6109,14.2841
B60_2,-10.2652742595,13.5103,13.5505,12.0737,14.5843
M9exp_1,-0.2735333085,14.0656,12.224,13.9416,14.7438
M9exp_2,-0.4013533938,13.7589,11.9156,13.5344,14.3382
M9exp_3,0.6748867023,13.2476,11.8389,12.9987,14.1645
M9tran_1,6.7572705346,13.0623,11.7772,12.9718,13.8613
M9tran_2,6.4914437112,12.7721,11.8818,12.9986,13.9528
M9tran_3,6.4522634776,13.2224,12.139,13.2089,14.1974
M9stat_1,-6.4389687257,9.559,12.3627,11.1238,12.6256
M9stat_2,-9.2518456095,11.3872,12.0099,10.8989,12.3048
M9stat_3,-8.9540130672,10.9869,12.0512,10.6334,12.1322
M+G_1,2.0297135883,12.3881,11.6512,13.2264,13.8107
M+G_2,1.5233660741000001,12.6065,11.6151,13.4217,14.1095
M+G_3,0.737351551,12.8215,11.8187,13.511800000000001,14.0619
Glu_1,-4.7031590099,13.8162,12.3237,13.530100000000001,14.5429
Glu_2,-6.3926312489,13.6636,11.706900000000001,13.6327,14.5223
Glu_3,-4.9567571577,13.9557,12.0236,13.7226,14.537
Fru_1,-16.7384448454,14.6213,12.1104,14.0674,14.5297
Fru_2,-1.0432810618,13.448,12.1795,14.0951,14.5047
Fru_3,-2.0338545862,13.222,11.4926,13.1654,14.1325
Mal_1,1.1469455026,12.8346,11.1326,13.4585,13.2576
Mal_2,-4.2515113777,13.0117,11.7167,13.6349,13.588799999999999
Mal_3,-2.9663165547,13.0448,11.6638,13.4566,14.0569
G+S_2,4.717777699,13.918800000000001,12.4785,13.9115,13.6729
G+S_3,4.2412409054,14.1013,12.5925,13.688,14.1897
Pyr_1,-7.8960298013,12.3953,12.2993,12.3939,13.7909
Pyr_2,-9.4229257501,13.1332,12.6966,13.5458,13.8978
Pyr_3,-9.1011519191,12.6722,12.4165,13.0023,13.806000000000001
Gly_1,-10.4928376004,14.7051,10.8349,12.5146,12.4803
Gly_2,-11.4331173806,14.9501,11.5528,13.6785,13.1879
Gly_3,-9.0591061466,13.9006,10.3159,12.1185,11.5624
Glucon_1,-8.488238018,13.4913,11.5792,12.7107,13.6928
Glucon_2,-12.9002505701,14.29,11.8269,13.0733,14.0765
Glucon_3,-6.1401649163,12.3997,10.4759,12.2186,13.1213
aero_1,4.2794185522,12.4835,12.4648,14.1133,14.7397
aero_2,5.2289778405,11.2133,11.76,13.0753,13.5633
aero_3,4.9701593233,12.5115,12.5689,14.043,14.4613
nit_1,-4.3960722009,11.8666,12.6483,13.5453,14.0142
nit_2,-2.7644632306,11.9448,12.8768,13.5476,14.3428
nit_3,-3.0615800613,11.7911,12.4953,13.1939,14.1014
ferm_1,-6.178387187,11.4283,12.4025,13.3104,14.0755
ferm_2,-3.0285639912,11.7321,11.9106,13.4516,14.0588
ferm_3,-4.8749147479,11.9532,12.8466,14.084,14.4596
T-5.40H_1,-12.8355633503,14.1329,12.6439,13.7772,14.7637
T-4.40H_1,-10.2785321006,13.9183,12.6976,13.9864,14.6127
T-3.40H_1,-7.9620458155,13.0688,12.6011,13.7203,14.2813
T-2.40H_1,-4.9896892738,12.378,11.9515,13.5645,14.0221
T-1.40H_1,-4.6632406092,12.227,12.0267,13.5384,13.9867
T-1.10H_1,-4.3344869099,12.4483,12.1159,13.6837,14.0347
T-0.40H_1,-5.2116527309,12.3541,12.3363,13.1869,14.0515
T0.0H_1,-3.3211291581999998,12.0179,12.1946,13.1322,14.0213
T0.30H_1,-7.5403244603,12.6472,12.0174,12.4796,13.351
T1.0H_1,-4.9305549049,10.9624,11.5436,12.338,13.2001
T1.30H_1,-8.5195547212,11.3133,11.5253,12.2101,12.9395
T2.0H_1,-9.0066579728,11.1531,11.071,12.1585,13.0693
T2.30H_1,-11.5073171065,11.8858,11.9974,12.7417,13.8311
T3.0H_1,-12.8528198174,10.9634,11.8787,12.3403,13.5586
T3.30H_1,-13.757895616,10.73,12.4316,12.2105,13.767900000000001
T4.0H_1,-14.5561887201,10.1372,12.4781,11.7531,13.8545
T5.0H_1,-13.9993533113,9.1242,11.8744,11.4151,13.1874
HPh_1,1.2576428777,15.2454,13.21,13.9961,14.3242
HPh_2,0.49456945550000003,15.0841,13.0598,13.8834,14.2297
HPh_3,-1.8196042970000001,15.6771,13.6645,13.9816,14.1164
LPh_1,-0.5397715825,15.2177,12.8261,14.0627,14.4281
LPh_2,-0.514996011,15.3145,13.0936,14.6632,14.916
LPh_3,-1.8810638535000002,15.181,12.8003,14.1228,14.4235
LPhT_1,-15.7270219155,14.4293,13.8819,13.2688,14.806000000000001
LPhT_2,-16.5083348138,14.1813,13.862400000000001,13.1712,14.7072
LPhT_3,-17.0889314748,14.2262,13.9116,13.3603,14.8691
SMMPr_1,1.0250989054,13.17,12.2587,14.0475,13.9729
SMMPr_2,2.1391490948,13.1728,12.1317,14.0387,13.9246
SMMPr_3,0.1716427634,13.383,12.4307,14.0168,14.0484
HiTm_1,-15.514203482,12.9883,11.561,14.1183,13.0744
HiTm_2,-16.3371135891,13.7307,11.8275,13.3113,13.7779
HiTm_3,-17.7357932041,14.1362,12.0189,13.5911,13.8444
LoTm_1,4.647313541,11.6731,14.4476,12.3657,14.6454
LoTm_2,4.4269012865,11.6024,14.0575,12.2284,14.5088
LoTm_3,3.7290778776,11.6914,14.1067,12.255700000000001,14.5549
HiOs_1,-21.7269982981,14.8163,12.161200000000001,13.2213,14.0446
HiOs_2,-21.0945668857,14.5943,12.276299999999999,13.1559,13.8668
HiOs_3,-20.650738018,14.787700000000001,11.9646,13.2773,13.9162
BMM_1,8.0704442601,13.2917,11.6596,13.4498,14.4043
BMM_2,7.0589978211,13.3409,11.4281,13.3205,14.074
BMM_3,5.008872558,13.9374,11.5632,13.5462,14.176
Heat_1,6.9399276676,13.5008,11.8613,13.2334,14.5946
Heat_2,7.5803216422,13.2665,11.6446,12.9985,14.225
Heat_3,5.5717625861,13.2949,11.4518,12.9208,14.0481
Cold_1,4.7868488385,13.1843,13.4522,14.8203,15.125
Cold_2,4.4099804198,12.7009,13.0547,14.1853,14.3948
Cold_3,3.2780932877,12.7131,12.6694,13.7563,13.8639
Etha_1,-2.294437661,15.5812,11.0197,12.8573,12.9839
Etha_2,-3.0488091742,15.4743,10.9923,12.7243,12.6798
Etha_3,-2.1646573475,15.4397,11.1312,12.9687,13.1728
SMM_1,-2.2328432554,13.3333,12.0991,13.5052,14.2948
SMM_2,-1.3764360325,13.2599,12.2546,13.4164,14.2878
SMM_3,-2.104529539,13.3772,12.062,13.5245,14.2906
Salt_1,-10.633611195,13.3219,11.7385,13.4812,14.1523
Salt_2,-10.9618945659,13.3498,11.445,13.3286,13.999600000000001
Salt_3,-10.9379524539,12.9817,11.2897,13.5898,14.1292
Mt0_1,-2.0667638882,14.432,12.383,14.1658,14.5678
Mt0_3,-6.6968871347,14.4578,11.9224,14.0834,14.6902
M0t45_1,0.5581727229,12.9323,12.4805,14.1543,14.4279
M0t45_2,3.0831266742,13.8176,11.8618,14.1846,14.4544
M0t45_3,-1.6618129499,13.2336,12.4174,14.2651,14.6586
M0t90_1,-0.7215048740000001,10.6192,11.5112,12.6548,13.5096
M0t90_2,-1.5354465168,11.4022,12.7287,13.7437,14.7047
M0t90_3,-1.3087043547000001,10.7845,11.983,13.3157,13.9512
M40t45_1,1.4209062627,12.3246,11.6692,13.6425,14.1049
M40t45_2,6.3567998016,13.8916,12.5675,14.0392,13.8835
M40t45_3,-2.4259886536,13.1009,12.2651,14.097,14.9137
M40t90_1,0.0747505155,10.8306,11.4599,13.0377,13.3212
M40t90_2,0.5363439199,11.4169,12.566,13.1057,14.2297
M40t90_3,-0.2246402083,11.6479,12.4914,13.594,14.1176
dia0_1,-3.3410284267,14.1067,11.9306,13.697,14.391
dia0_2,-2.033640219,14.05,11.9781,13.836,14.5314
dia0_3,-0.5480936482000001,13.8149,12.3492,14.2766,14.8731
dia5_1,-5.5618481052,15.325,11.6596,12.4511,13.8671
dia5_2,-5.0445501237,15.0455,11.7091,12.4552,14.3306
dia5_3,-4.2333372102,14.6494,11.767,12.6806,14.4128
dia15_1,-13.4987214095,14.2602,11.0172,13.6394,14.6197
dia15_2,-11.7797138505,13.5467,11.6528,14.4124,14.7856
dia15_3,-10.6296567921,13.3054,12.0688,13.2235,14.1256
Diami_1,-8.4720251592,13.8759,10.4395,12.3456,14.0099
Diami_2,-8.003488673,14.3024,10.6432,12.9074,14.6272
Diami_3,-7.8749805862,13.9205,10.5651,12.8769,14.5376
Paraq_1,-6.6127906103,14.2388,11.3886,14.2324,14.7133
Paraq_2,-6.3877336326,14.9383,11.4203,14.4646,14.9224
Paraq_3,-5.2435877896,13.4794,10.0896,13.0518,13.6577
H2O2_1,-10.330338956,13.9282,10.5101,13.9536,14.5883
H2O2_2,-9.5737272786,14.1418,10.8636,14.1817,14.7912
H2O2_3,-9.3829740989,13.9205,10.7444,13.918800000000001,14.6614
Oxctl_1,-5.0591551298,13.8872,10.7565,13.8599,14.2445
Oxctl_2,-3.9428527742,13.9184,10.8856,13.7135,14.2639
Oxctl_3,-5.8240426213,14.8837,11.3211,14.478,14.7387
GM-0.1_1,-11.6531866664,14.1334,12.2133,13.419,14.0055
GM-0.2_1,-10.6029611643,13.953,11.9093,13.3759,13.9328
GM+5_1,-11.789234156500001,13.9939,12.1205,13.3714,13.861
GM+15_1,-9.6041726254,14.3063,12.3512,13.531600000000001,14.2083
GM+25_1,-8.708637933,14.4241,12.3791,13.8283,14.627
GM+45_1,-6.43225693,14.3547,12.8136,13.8168,14.4751
GM+60_1,-4.1235754309,13.9884,12.4847,13.9334,14.3989
GM+90_1,-1.2223141098,13.5823,12.5279,13.8087,14.5211
GM+120_1,-0.2904819973,11.4963,11.5935,12.8213,13.5154
GM+150_1,2.0394231567,12.4498,12.0966,13.4015,14.0631
GM-0.1_2,-17.1887124735,14.3792,12.1556,13.752,14.5955
GM-0.2_2,-15.8609631259,14.3169,11.7628,13.8708,14.6661
GM+5_2,-16.1693520364,14.3858,12.2754,13.4779,14.3773
GM+10_2,-14.7527204612,14.3971,12.3104,13.5433,14.3707
GM+15_2,-13.3082810231,14.5363,12.5585,13.2997,14.01
GM+25_2,-13.5878789168,14.5298,12.2131,13.492,14.5277
GM+45_2,-10.1636438724,13.0044,11.6383,13.0365,13.6856
GM+60_2,-8.0508359057,12.7208,11.6024,12.8823,13.4724
GM+90_2,-4.6552647393,12.5036,12.5598,13.7723,14.4578
GM+150_2,0.2464745035,11.0735,11.7611,12.7105,13.5436
GM-0.1_3,-16.8588113375,14.2331,12.3903,13.4343,14.3742
GM-0.2_3,-17.1290889365,13.9885,12.1511,13.5552,14.4222
GM+5_3,-14.9538206373,14.2505,12.5213,13.5866,14.4049
GM+10_3,-12.8177164189,13.318200000000001,11.4318,12.6924,13.2797
GM+15_3,-12.8551351169,14.2886,12.4748,13.3161,14.1161
GM+25_3,-11.4574452657,13.8362,11.7473,13.1581,14.0037
GM+45_3,-7.7135990025000005,13.2286,11.8672,12.8715,13.7136
GM+60_3,-7.5457725015,12.8806,11.5267,12.9321,13.6764
GM+90_3,-4.9602208623,12.6183,11.4096,13.4402,14.2174
GM+120_3,-3.4474719192,12.2157,12.078,13.4896,13.9826
GM+150_3,0.45786040380000004,12.0757,11.5153,13.4983,14.2718
MG-0.1_1,-10.6163051989,14.3259,12.2335,13.6023,14.2513
MG+5_1,-9.5554454783,14.4848,12.0628,13.617,14.1734
MG+10_1,-8.7582114323,14.2908,12.2635,13.9654,14.6054
MG+15_1,-8.6477659606,13.850200000000001,11.6955,13.1208,13.9445
MG+25_1,-7.8526507632,14.5154,12.2514,13.7609,14.3913
MG+45_1,-7.2102042104,14.6548,11.9672,13.5406,14.1518
MG+120_1,2.3420321166,11.7472,11.619,13.0947,13.4008
MG+150_1,3.6056720339,11.8309,11.4855,13.2405,14.202
MG-0.1_2,-9.4699682062,13.6853,11.362,12.8072,13.6144
MG-0.2_2,-9.8084774985,14.2665,12.0768,13.3433,14.1747
MG+5_2,-8.3948057477,14.2948,12.1633,13.3291,14.0477
MG+10_2,-8.7451880444,14.4516,12.2959,13.6988,14.3955
MG+15_2,-8.6647158518,14.650500000000001,12.2076,14.3943,15.0366
MG+25_2,-8.559881817,14.3301,12.0527,13.3344,13.9801
MG+45_2,-6.9644330746000005,13.8516,11.7405,12.8247,13.717600000000001
MG+60_2,-6.2320723974,14.0062,12.2864,13.5254,14.1312
MG+90_2,-2.0654672293,13.0302,11.9201,13.0474,13.7466
MG+120_2,1.3578958532,12.2302,12.1828,13.4313,14.3032
MG-0.1_3,-11.4067936769,15.3251,12.7718,13.9857,14.788
MG-0.2_3,-11.0058444962,14.9967,12.7842,13.6561,14.3363
MG+5_3,-10.4619046406,14.7544,12.2037,13.3195,13.9503
MG+10_3,-8.1779962816,13.6141,11.5697,13.2006,13.8363
MG+15_3,-10.1845972498,14.9151,12.5032,13.788,14.6402
MG+25_3,-10.2363476209,15.0933,12.3923,13.6718,14.5427
MG+45_3,-8.6097221343,14.901,12.3691,13.7991,14.819
MG+60_3,-6.8352026441,13.901,11.7454,13.3483,14.4972
MG+90_3,-3.8883902358,13.8473,12.3384,13.5993,14.4435
MG+120_3,-0.7600944019,12.866,12.0772,13.1479,13.9867
MG+150_3,1.5256198309,12.6663,12.4674,13.0847,14.1508
